SOSR_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
SOSR179,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR201,..,2051,88495,201098,172877,146377,114067,65459,17585,808014,..,11198,76552,42699,27589,17321,7810,2508,391,186073,..,301,1544,5610,10652,8477,3732,2067,1458,33848,402421,..,..,..,..,..,..,..,..,402421,..,126143,..,..,..,..,..,..,..,126143,..,73140,61477,18505,12479,5477,846,19,0,171941,..,12795,15212,5249,4441,5273,4244,2346,1266,50835,..,7553,13376,4268,2618,1868,807,255,65,30801,..,25408,49562,12404,7070,6022,3953,1545,307,106267,..,8171,33852,30000,29543,30368,24825,15362,7694,179808,3398,4612,6185,3816,3187,2644,1614,778,256,26504,181,297,461,401,461,585,660,203,44,3288,406002,271667,346720,324049,270911,224410,162564,90544,29079,2125950,..,5360,125995,208502,172390,139445,104148,48263,7875,811973,..,16317,80396,39295,25538,14370,6014,1468,194,183592,..,1862,13625,32624,45694,27188,11850,8670,5734,147249,380844,..,..,..,..,..,..,..,..,380844,..,130033,..,..,..,..,..,..,..,130033,..,50733,42475,9867,6941,4071,924,50,0,115056,..,11144,10430,3361,4057,10053,11468,7828,4614,62948
SOSR203,..,189,6493,12200,11509,11232,10773,6311,1622,60336,..,1845,7277,3515,2539,1675,815,310,32,18023,..,43,314,668,1076,688,296,164,113,3367,33809,..,..,..,..,..,..,..,..,33809,..,7962,..,..,..,..,..,..,..,7962,..,6852,3564,1424,940,448,78,0,0,13305,..,898,832,285,296,398,292,130,71,3200,..,675,979,237,175,104,59,17,0,2251,..,2589,3485,773,602,583,413,152,35,8640,..,695,2763,2376,3079,3730,3251,1873,887,18648,389,664,673,369,334,239,161,62,26,2919,21,9,20,9,14,12,21,3,0,105,34222,22421,26390,21860,20566,19116,16160,9034,2794,172557,..,380,8572,13106,11654,11533,10105,4930,825,61111,..,2607,7550,3339,2456,1463,648,182,17,18270,..,434,2447,3927,4487,2248,1027,665,466,15700,32163,..,..,..,..,..,..,..,..,32163,..,8413,..,..,..,..,..,..,..,8413,..,4395,2143,651,435,308,78,0,0,8010,..,819,601,195,280,621,688,443,226,3873
SOSR211,..,75,2694,4711,3289,2922,2660,1188,218,17751,..,497,1871,1038,714,381,185,69,6,4755,..,17,122,248,335,190,101,56,19,1095,12560,..,..,..,..,..,..,..,..,12560,..,2392,..,..,..,..,..,..,..,2392,..,2307,1290,462,285,98,11,0,0,4448,..,406,510,190,130,140,131,72,25,1600,..,199,278,128,90,41,28,3,0,774,..,260,428,195,161,174,135,41,6,1395,..,175,756,695,780,821,745,343,118,4431,152,145,198,137,95,52,43,6,3,829,0,0,11,5,0,11,20,0,0,63,12716,6482,8156,7807,5879,4833,4048,1786,395,52102,..,181,3894,4610,3104,2872,2380,813,89,17940,..,678,1954,1060,625,357,143,42,4,4858,..,201,1114,1394,1269,605,316,219,72,5201,12412,..,..,..,..,..,..,..,..,12412,..,2577,..,..,..,..,..,..,..,2577,..,1447,713,227,113,70,13,0,0,2591,..,330,233,82,123,302,290,147,68,1572
SOSR212,..,109,4344,8717,8768,8656,8172,4418,1101,44274,..,897,4333,2469,1832,1261,661,213,41,11709,..,25,162,480,746,466,187,87,63,2224,24494,..,..,..,..,..,..,..,..,24494,..,5508,..,..,..,..,..,..,..,5508,..,5216,2622,838,573,224,44,0,0,9512,..,575,520,193,217,251,205,89,52,2105,..,366,512,202,153,105,51,11,3,1403,..,703,1315,537,414,361,336,95,22,3792,..,394,1466,1432,1841,2267,1963,1280,557,11210,317,427,418,286,272,215,109,66,26,2129,0,7,15,17,11,10,10,4,0,77,24806,14234,15709,15169,14820,13821,11738,6268,1873,118436,..,244,5723,9461,9073,8760,7676,3383,523,44840,..,1387,4512,2475,1759,1253,527,132,17,12068,..,266,1668,2610,2900,1426,593,390,281,10128,23007,..,..,..,..,..,..,..,..,23007,..,5886,..,..,..,..,..,..,..,5886,..,3351,1543,362,281,201,54,0,0,5796,..,507,313,87,226,430,499,279,139,2481
SOSR213,..,113,4072,7328,7288,8038,8294,5197,1219,41561,..,1052,4030,2232,1807,1262,713,218,40,11350,..,25,194,475,688,450,212,102,58,2199,22208,..,..,..,..,..,..,..,..,22208,..,4745,..,..,..,..,..,..,..,4745,..,4825,2228,831,614,252,48,0,0,8805,..,533,453,183,229,254,258,108,59,2068,..,344,422,182,161,87,49,27,3,1262,..,588,999,342,342,398,317,109,22,3126,..,413,1377,1332,1894,2647,2529,1521,708,12409,266,392,335,246,203,163,104,73,25,1808,9,3,13,12,8,9,6,3,0,56,22487,13041,14125,13163,13225,13552,12542,7352,2140,111619,..,227,5367,7823,7799,8240,7967,3983,603,42008,..,1566,4128,2296,1741,1136,569,157,16,11619,..,317,1704,2455,2733,1354,562,450,289,9873,20990,..,..,..,..,..,..,..,..,20990,..,5042,..,..,..,..,..,..,..,5042,..,3024,1291,416,321,228,41,0,0,5305,..,385,272,79,190,437,467,295,150,2281
SOSR214,..,34,1839,3504,3826,4734,5964,3833,868,24598,..,529,2049,1177,1075,803,552,204,27,6419,..,17,80,242,362,263,130,81,54,1233,11168,..,..,..,..,..,..,..,..,11168,..,2435,..,..,..,..,..,..,..,2435,..,2599,1225,524,409,209,39,3,0,5010,..,278,219,113,127,130,140,71,36,1109,..,191,246,92,79,56,36,11,6,711,..,366,488,200,178,264,228,84,12,1824,..,225,773,746,1133,1808,1881,1198,556,8312,151,221,196,121,135,122,104,50,7,1103,0,5,7,0,0,3,5,0,0,29,11318,6901,7126,6720,7327,8391,9068,5529,1560,63943,..,87,2417,3887,4111,5115,5879,2915,410,24818,..,799,2145,1223,1122,790,447,126,23,6668,..,132,863,1256,1511,806,415,309,199,5487,10539,..,..,..,..,..,..,..,..,10539,..,2531,..,..,..,..,..,..,..,2531,..,1592,701,220,220,148,42,0,0,2919,..,221,123,54,89,241,255,191,108,1283
SOSR215,..,81,3064,6066,6494,7771,8447,4861,1091,37873,..,752,3505,2137,1800,1419,880,265,33,10794,..,23,108,345,605,390,204,116,90,1885,19142,..,..,..,..,..,..,..,..,19142,..,3870,..,..,..,..,..,..,..,3870,..,3996,1873,756,568,283,48,0,0,7526,..,394,361,151,189,276,250,116,60,1799,..,229,305,149,126,95,57,15,3,970,..,324,578,271,297,440,377,145,30,2454,..,303,1022,1055,1760,2719,2881,1646,666,12047,217,308,300,195,225,199,157,69,17,1689,9,7,17,5,9,10,0,0,0,59,19367,10282,11138,11137,12064,13597,13303,7231,1994,100107,..,158,4095,6648,6883,8301,7974,3669,539,38279,..,1154,3677,2149,1837,1334,689,187,19,11047,..,209,1151,1853,2118,1080,503,421,262,7602,17959,..,..,..,..,..,..,..,..,17959,..,4248,..,..,..,..,..,..,..,4248,..,2327,1078,362,283,187,51,0,0,4284,..,305,164,66,137,365,415,286,164,1902
SOSR221,..,15,736,1677,1900,2458,2570,1295,246,10894,..,165,831,579,511,490,310,77,9,2974,..,6,32,89,158,103,52,29,21,495,4982,..,..,..,..,..,..,..,..,4982,..,996,..,..,..,..,..,..,..,996,..,1032,472,186,149,65,14,0,0,1916,..,120,68,27,35,71,87,38,19,460,..,49,54,30,26,35,13,4,4,220,..,70,85,56,78,127,101,38,11,567,..,83,276,300,541,922,1007,517,152,3792,69,87,69,56,50,66,53,15,5,474,0,3,4,0,0,0,3,0,0,13,5048,2628,2616,3006,3453,4343,4209,2020,463,27791,..,35,1011,1852,2109,2573,2392,938,123,11028,..,262,875,573,544,486,225,60,8,3037,..,35,227,409,496,252,120,98,83,1715,4744,..,..,..,..,..,..,..,..,4744,..,1136,..,..,..,..,..,..,..,1136,..,640,292,69,74,57,16,0,0,1155,..,63,30,11,27,91,99,63,40,424
SOSR222,..,6,331,824,1027,1295,1325,632,137,5576,..,87,405,292,329,285,142,51,5,1602,..,0,14,51,101,80,44,27,8,320,2522,..,..,..,..,..,..,..,..,2522,..,522,..,..,..,..,..,..,..,522,..,540,317,104,82,42,5,0,0,1087,..,54,35,18,31,36,40,17,6,233,..,36,30,19,11,18,3,6,0,120,..,41,97,37,46,77,59,21,3,381,..,28,130,167,298,552,552,226,80,2037,54,55,58,43,49,43,38,9,0,349,0,0,0,0,3,0,3,3,0,13,2582,1374,1419,1551,1976,2434,2208,984,243,14762,..,17,473,949,1073,1485,1136,471,49,5653,..,125,464,312,348,250,120,31,5,1649,..,18,142,211,261,144,77,59,43,956,2449,..,..,..,..,..,..,..,..,2449,..,585,..,..,..,..,..,..,..,585,..,372,128,49,30,26,5,0,0,621,..,32,23,11,8,43,67,45,35,264
SOSR231,..,146,4487,11978,17333,21357,19286,8510,1417,84502,..,864,4107,3589,4156,3767,2049,526,41,19093,..,29,140,479,1061,796,462,245,142,3356,34260,..,..,..,..,..,..,..,..,34260,..,9069,..,..,..,..,..,..,..,9069,..,9047,4202,1548,1160,544,97,6,0,16605,..,598,372,209,341,590,602,333,195,3240,..,452,541,259,276,250,166,63,8,2012,..,338,662,379,506,688,641,244,38,3494,..,374,1138,1452,2686,4631,4840,2385,657,18174,559,719,550,408,347,345,311,127,34,3392,19,14,22,9,16,11,11,3,0,111,34828,21645,16224,20310,27891,32974,28459,12445,2537,197306,..,229,6248,13934,19217,22020,17082,5903,582,85219,..,1304,4632,3779,4362,3465,1517,294,13,19365,..,180,987,1673,2168,1393,692,595,419,8108,32170,..,..,..,..,..,..,..,..,32170,..,9924,..,..,..,..,..,..,..,9924,..,5377,2638,709,508,322,58,0,0,9616,..,447,226,93,218,579,709,669,420,3351
SOSR279,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR301,..,1454,42304,88774,83464,69464,54825,29232,6346,375861,..,11412,41546,23035,15478,9276,4095,1217,158,106208,..,295,1612,4598,6572,3819,1818,963,549,20229,214719,..,..,..,..,..,..,..,..,214719,..,55891,..,..,..,..,..,..,..,55891,..,39780,22258,8051,4893,2112,321,15,0,77432,..,7581,6606,2669,2293,2707,2326,1310,564,26054,..,5262,7001,2579,1824,1188,599,181,43,18684,..,14268,19316,5745,4225,3874,2509,876,183,50998,..,4386,14821,14291,14969,14982,12694,7457,3136,86734,2347,3556,3766,2397,1865,1541,1265,575,159,17469,90,148,321,158,163,245,272,71,16,1490,217148,144047,159550,152291,135740,109215,80720,41909,11149,1051773,..,2931,57557,96592,84315,66724,49500,21002,2885,381507,..,16366,43459,21757,14432,7943,3080,759,82,107874,..,2529,12518,21302,23420,11663,5427,3579,2263,82698,203020,..,..,..,..,..,..,..,..,203020,..,57136,..,..,..,..,..,..,..,57136,..,26947,13770,4011,2983,1796,443,19,0,49976,..,6741,4823,1653,2254,5050,5874,3946,2026,32375
SOSR302,..,419,12194,28830,31255,28531,27617,16923,3787,149567,..,3371,14511,9390,6878,4802,2926,1074,188,43132,..,74,500,1635,2658,1569,702,385,280,7792,74651,..,..,..,..,..,..,..,..,74651,..,18776,..,..,..,..,..,..,..,18776,..,15316,7389,2755,1957,945,207,5,0,28577,..,2005,1819,878,753,851,892,497,275,7979,..,1936,2668,1028,813,544,318,113,32,7453,..,3924,6523,2146,1884,2053,1637,756,138,19058,..,1175,3696,4220,5365,6133,6007,3980,1748,32327,810,1299,1291,912,803,821,759,389,87,7168,43,51,126,70,83,87,94,50,12,608,75494,48342,50718,51859,52458,46345,41165,24166,6540,397089,..,805,17336,32642,32741,29001,25969,12301,1749,152537,..,5166,15947,9033,6752,4510,2159,664,83,44307,..,593,3921,8434,10076,4747,2087,1528,1098,32483,70434,..,..,..,..,..,..,..,..,70434,..,19837,..,..,..,..,..,..,..,19837,..,10472,4599,1357,1028,940,261,13,0,18673,..,1828,1230,432,735,1756,2211,1600,929,10718
SOSR303,..,348,6664,12167,13058,12294,10691,5806,1215,62240,..,2726,7326,4061,3179,2212,1011,286,36,20844,..,70,415,1094,1310,762,336,178,82,4245,39041,..,..,..,..,..,..,..,..,39041,..,8309,..,..,..,..,..,..,..,8309,..,7270,3216,1338,855,388,54,0,0,13127,..,1398,956,417,389,496,430,208,103,4404,..,886,938,392,350,214,109,36,5,2944,..,2023,2566,926,884,932,621,232,32,8218,..,1213,2947,2732,3363,4035,3427,1834,660,20215,699,883,813,578,553,535,552,248,67,4933,15,43,50,35,27,24,34,17,0,240,39759,25173,25890,23740,23973,21894,17259,8854,2209,188745,..,632,9033,14188,13862,12325,9594,4213,539,64387,..,3874,7763,4184,3127,1909,739,192,19,21805,..,708,3131,4916,4767,2037,1041,703,410,17707,37093,..,..,..,..,..,..,..,..,37093,..,8683,..,..,..,..,..,..,..,8683,..,4777,1773,589,488,362,77,0,0,8064,..,1328,640,267,447,903,946,599,301,5435
SOSR311,..,177,3671,6522,6793,7723,8076,5006,1170,39143,..,1404,3509,1969,1610,1303,709,300,62,10858,..,42,275,635,731,440,204,147,85,2562,22198,..,..,..,..,..,..,..,..,22198,..,4251,..,..,..,..,..,..,..,4251,..,4660,1897,930,706,354,44,0,0,8587,..,795,514,221,278,338,267,179,68,2652,..,510,514,252,207,150,60,26,10,1726,..,749,1059,472,508,529,424,180,29,3965,..,553,1426,1367,1717,2433,2426,1528,618,12064,394,519,471,324,359,345,347,169,38,2973,4,8,16,10,9,17,10,15,3,92,22594,13657,13360,12709,12919,13630,12572,7543,2084,111062,..,392,5054,7654,7657,8324,7638,3793,536,41053,..,2048,3790,2054,1678,1204,616,215,33,11635,..,446,2044,2775,2513,1133,644,518,334,10402,21000,..,..,..,..,..,..,..,..,21000,..,4330,..,..,..,..,..,..,..,4330,..,3030,957,388,357,273,59,5,0,5067,..,628,272,115,275,555,590,451,215,3099
SOSR312,..,81,1260,2321,2627,3170,3799,2311,504,16072,..,490,1255,795,705,589,393,158,24,4391,..,18,105,257,298,209,84,56,34,1061,7907,..,..,..,..,..,..,..,..,7907,..,1622,..,..,..,..,..,..,..,1622,..,1807,767,371,270,165,17,0,0,3403,..,250,157,87,114,128,95,46,36,910,..,171,172,91,92,53,39,12,5,638,..,252,330,133,195,257,250,108,17,1541,..,207,581,578,841,1211,1162,695,277,5553,146,168,178,122,142,122,115,41,3,1023,0,3,6,0,3,4,0,3,0,31,8055,5055,4807,4756,5278,5897,5963,3431,892,44137,..,149,1754,2657,2882,3525,3537,1771,238,16518,..,704,1345,851,683,573,327,107,8,4589,..,189,737,1042,1053,471,276,238,124,4133,7717,..,..,..,..,..,..,..,..,7717,..,1670,..,..,..,..,..,..,..,1670,..,1101,394,138,138,115,26,0,0,1903,..,194,78,26,96,218,227,166,78,1097
SOSR313,..,132,2661,4544,4595,4651,4557,2673,558,24364,..,1053,2788,1471,1003,714,417,131,19,7596,..,34,170,356,430,219,105,57,45,1411,16558,..,..,..,..,..,..,..,..,16558,..,2799,..,..,..,..,..,..,..,2799,..,2824,1095,500,307,138,24,0,0,4885,..,485,286,150,126,180,146,88,29,1491,..,329,321,162,127,70,38,11,3,1066,..,495,633,272,250,284,211,72,11,2227,..,448,1065,871,1145,1419,1196,703,244,7097,286,369,376,216,209,203,209,84,16,1973,5,3,23,7,4,8,6,5,5,60,16851,8975,9425,8555,8188,7879,6909,3826,933,71541,..,244,3627,5394,4977,4871,4260,1938,237,25553,..,1644,2902,1489,1025,719,302,92,11,8186,..,360,1484,1835,1490,728,327,254,158,6629,15786,..,..,..,..,..,..,..,..,15786,..,2823,..,..,..,..,..,..,..,2823,..,1738,499,201,174,128,36,3,0,2767,..,427,158,81,171,325,292,215,99,1770
SOSR314,..,114,2719,4941,5207,4961,4744,2758,597,26040,..,871,2356,1443,1240,839,443,156,18,7378,..,28,130,356,443,283,134,72,57,1503,15985,..,..,..,..,..,..,..,..,15985,..,2889,..,..,..,..,..,..,..,2889,..,2965,1201,492,391,187,36,0,0,5281,..,480,300,161,174,234,214,108,49,1718,..,314,365,185,131,112,61,13,0,1183,..,456,783,232,293,319,259,111,16,2468,..,339,851,781,1085,1465,1363,820,328,7032,233,301,292,194,220,203,210,76,23,1745,0,7,26,16,5,8,8,0,0,70,16213,8757,9027,8806,9191,8619,7460,4128,1088,73285,..,209,3742,5577,5452,5187,4393,2027,250,26843,..,1311,2494,1534,1254,751,336,113,14,7803,..,250,1203,1706,1523,672,357,274,179,6174,15129,..,..,..,..,..,..,..,..,15129,..,3052,..,..,..,..,..,..,..,3052,..,1876,609,219,204,144,37,0,0,3083,..,348,171,74,162,351,372,273,139,1883
SOSR315,..,162,3495,6140,7018,8138,8752,4697,898,39294,..,1256,3434,2308,2072,1663,946,311,39,12028,..,42,207,523,607,385,257,127,84,2230,22879,..,..,..,..,..,..,..,..,22879,..,3855,..,..,..,..,..,..,..,3855,..,4527,1836,885,682,319,53,0,0,8307,..,744,482,255,290,354,335,178,81,2722,..,389,455,246,217,162,103,34,3,1614,..,472,684,344,478,608,560,193,34,3375,..,420,1041,1109,1811,2694,2919,1565,489,12054,419,445,442,350,290,356,401,154,29,2878,12,18,40,10,8,12,5,0,0,103,23307,12333,12124,12163,13480,14686,14332,7252,1664,111348,..,282,4827,7300,7554,8776,8128,3369,402,40651,..,1802,3828,2415,2124,1562,781,193,12,12724,..,440,1809,2480,2137,1048,628,445,272,9252,21654,..,..,..,..,..,..,..,..,21654,..,4079,..,..,..,..,..,..,..,4079,..,2825,963,392,319,221,56,0,0,4779,..,619,226,134,255,618,601,369,254,3081
SOSR321,..,23,1024,2188,2855,3573,3761,1896,304,15626,..,372,1151,945,915,771,449,137,21,4758,..,22,68,195,244,175,100,71,27,884,8582,..,..,..,..,..,..,..,..,8582,..,1502,..,..,..,..,..,..,..,1502,..,1749,721,371,300,132,7,0,0,3286,..,282,169,90,143,173,153,91,38,1146,..,137,127,76,91,71,63,11,3,585,..,110,171,90,146,230,215,86,11,1049,..,140,307,368,696,1134,1224,683,160,4710,130,179,158,119,145,171,182,97,9,1183,0,0,11,0,5,3,0,0,0,29,8716,4512,3904,4445,5542,6429,6154,3063,565,43340,..,72,1468,2694,3260,3919,3385,1282,127,16205,..,572,1328,1027,926,726,350,86,11,5025,..,151,637,827,787,409,223,182,99,3314,7909,..,..,..,..,..,..,..,..,7909,..,1484,..,..,..,..,..,..,..,1484,..,1085,392,137,134,86,27,4,0,1868,..,217,88,45,124,242,251,190,103,1266
SOSR322,..,13,367,769,1024,1617,1674,876,125,6464,..,199,582,396,422,368,222,74,6,2278,..,12,45,73,98,87,45,31,23,417,3510,..,..,..,..,..,..,..,..,3510,..,492,..,..,..,..,..,..,..,492,..,667,336,166,128,60,14,0,0,1367,..,166,84,37,66,79,59,34,8,536,..,55,57,25,43,22,24,5,6,239,..,62,60,54,80,154,130,35,10,589,..,80,182,233,415,751,742,346,89,2838,69,88,87,69,72,92,91,49,13,621,0,0,3,0,0,0,5,0,0,20,3579,1845,1810,1838,2351,3231,3008,1453,272,19380,..,46,528,897,1251,1818,1500,592,66,6683,..,281,630,421,425,361,198,38,3,2349,..,79,346,394,332,164,101,105,46,1572,3380,..,..,..,..,..,..,..,..,3380,..,492,..,..,..,..,..,..,..,492,..,423,174,68,46,36,7,0,0,764,..,105,42,25,38,81,107,76,40,504
SOSR331,..,233,5206,12410,17450,20592,18303,8512,1285,83983,..,1233,3909,3339,3921,3546,1879,533,46,18408,..,54,245,620,1043,765,425,268,153,3577,36654,..,..,..,..,..,..,..,..,36654,..,7944,..,..,..,..,..,..,..,7944,..,8568,3777,1788,1339,565,85,0,0,16117,..,785,439,312,449,747,813,525,243,4307,..,707,651,382,457,451,323,137,22,3141,..,390,652,434,692,1040,945,347,34,4547,..,467,1113,1399,2766,4663,4554,2333,573,17861,665,880,805,503,555,796,989,371,67,5624,11,12,52,20,20,25,19,9,0,182,37325,21276,16848,21199,28695,33177,28338,13035,2429,202335,..,438,7442,14982,19997,21613,16059,5637,538,86698,..,1859,4476,3779,4137,3349,1363,293,18,19283,..,286,1491,2262,2451,1318,847,699,398,9751,34064,..,..,..,..,..,..,..,..,34064,..,8496,..,..,..,..,..,..,..,8496,..,5146,2097,710,574,364,66,3,0,8965,..,585,212,113,339,785,1123,974,451,4590
