SOSR_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SOSR612,413,158,217,208,235,60,31,59,1991,6,0,0,0,0,0,0,0,0,9,16,2578,400,529,183,238,261,271,82,41,173,4756
SOSR613,47,23,19,15,17,4,0,10,247,0,0,0,0,0,0,0,0,0,0,0,813,56,89,31,36,19,29,4,0,32,1107
SOSR614,58,27,18,19,13,0,8,4,280,0,0,0,0,0,0,0,0,0,0,3,1023,114,106,44,26,27,23,9,4,48,1421
SOSR615,424,127,173,172,139,53,22,59,1893,4,0,0,0,0,0,0,0,0,4,16,4768,620,678,178,230,217,212,77,24,274,7285
SOSR621,129,60,52,46,41,13,4,14,608,6,0,0,0,0,0,0,0,0,0,3,1822,242,226,90,72,57,54,21,6,102,2693
SOSR622,28,9,7,7,12,4,0,12,184,0,0,0,0,0,0,0,0,0,0,0,836,75,61,13,6,13,26,4,0,61,1102
SOSR631,438,135,150,143,156,62,15,58,2370,14,0,0,0,0,0,0,0,0,9,23,8625,1234,932,229,227,237,275,126,31,437,12345
SOSR679,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,6,31,5,3,0,0,0,0,0,0,8,42
SOSR703,6027,1858,1881,1757,1889,668,161,474,24733,18,6,16,0,6,7,3,3,0,124,186,12942,6440,7954,2235,2209,2110,2351,856,272,948,38316
SOSR712,788,291,264,275,340,117,68,79,3707,0,0,4,0,0,0,0,0,0,6,14,2163,1231,1285,391,361,431,521,253,184,162,6992
SOSR714,230,77,63,56,51,28,3,29,768,0,0,0,0,0,0,0,0,0,0,0,404,178,295,91,67,70,66,41,7,61,1278
SOSR715,128,32,23,59,64,15,3,28,610,0,0,0,0,0,0,0,0,0,0,5,494,206,213,49,46,75,93,29,8,52,1264
SOSR721,94,38,30,28,41,28,4,15,426,0,0,0,0,0,0,3,0,0,4,10,483,133,144,54,42,53,79,40,10,40,1080
SOSR722,46,15,9,15,16,19,3,9,231,0,0,0,0,0,0,0,0,0,0,0,434,86,86,30,20,22,37,28,7,31,783
SOSR731,220,55,48,69,159,96,13,59,1436,4,0,0,0,0,0,3,0,0,17,34,2989,536,489,94,85,122,255,142,26,226,4957
SOSR779,0,0,0,0,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,51,21,6,0,0,0,8,0,0,0,83
SOSR802,17694,4652,5711,5496,4856,2053,462,1362,84703,54,11,15,9,8,9,6,9,0,197,325,58285,20064,22101,5457,6493,6317,5682,2602,732,2472,130189
SOSR822,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,58
SOSR831,0,0,0,0,7,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,44,18,7,0,0,5,12,0,10,0,93
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,38,11,3,11,0,3,0,16,347,0,0,0,0,0,0,0,0,0,0,0,315,66,42,12,7,11,3,3,0,18,484
SOSR921,33,9,3,0,5,0,0,28,189,0,0,0,0,0,0,0,0,0,0,3,250,40,64,23,11,3,12,11,7,59,483
SOSR922,8,0,0,3,0,0,0,9,59,0,0,0,0,0,0,0,0,0,0,0,74,25,14,0,0,6,0,0,0,10,126
SOSR931,13,0,0,0,0,0,0,6,118,0,3,0,0,0,0,0,0,0,209,207,161,19,25,6,0,3,3,10,0,226,439
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
