SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,245,811,3115,6197,12257,21869,27917,22588,9972,104970,29023,23077,27876,25712,19624,15123,11577,6832,2389,161225,434,539,1288,2129,4249,9506,15648,13246,5189,52221,39,41,62,80,196,522,1732,4647,4703,12023,636,1338,3039,8738,15925,25511,29712,19578,6026,110501,804,607,1078,2580,7525,17696,27035,22937,10395,90659,535,366,687,1164,1868,3099,4566,4607,2421,19324,367,305,540,898,2022,4486,6998,6709,2956,25279,7048,18182,27489,24724,22677,18246,11260,6165,3058,138846,181,121,254,594,1546,3287,5471,5748,2967,20171,18142,12659,15063,18590,21963,25426,21182,12852,6343,152209,341365,217866,273308,243917,181508,122146,63990,25606,6628,1476345,29281,21687,28694,23905,20609,15810,10225,6748,3374,160330,421696,289057,368608,341215,284123,234672,170728,98203,36466,2244770,266,1308,4313,9239,22149,41354,55386,46451,24810,205267,18145,22706,33565,30503,26847,22517,19938,12271,5069,191566,324,455,1443,3613,8346,12819,15937,11698,5325,59976,19,18,46,61,164,485,1892,6283,10232,19206,545,1260,3262,6689,11858,19484,24172,17928,7919,93118,599,548,999,1491,3513,7938,14594,17094,12741,59502
SOSR203,34,115,433,772,1490,2734,3624,2773,1090,13060,3506,2525,2892,2459,1860,1730,1484,806,285,17551,32,62,98,196,420,983,1807,1525,566,5692,0,9,7,12,24,67,236,516,470,1334,60,155,324,655,1288,2163,2875,1825,595,9949,86,64,122,227,724,1826,3013,2541,1173,9784,46,43,70,88,156,278,441,482,251,1863,35,37,63,121,289,695,1100,936,400,3675,1252,2598,3378,3005,2871,2477,1650,737,332,18300,16,19,36,60,178,385,671,630,340,2337,2114,1384,1532,1618,1956,2315,2026,1221,554,14725,26724,16668,18954,14514,12308,9089,5625,2281,628,106785,3025,2220,2165,1727,1855,1572,1115,709,379,14769,35919,24658,28213,23187,21872,20240,17240,9973,3745,185044,41,200,586,1149,2645,5049,7001,5355,2781,24803,2363,3031,3912,3431,3021,2850,2652,1537,616,23405,31,50,144,372,772,1414,1828,1359,653,6647,0,8,9,4,21,60,231,622,1031,1983,61,158,351,615,1152,1937,2457,1785,768,9288,61,64,132,182,418,933,1851,1977,1536,7158
SOSR211,13,23,120,247,412,713,976,559,138,3206,1151,678,827,786,521,416,356,163,44,4948,9,11,32,54,100,226,425,287,72,1226,0,0,5,5,6,21,67,91,71,269,14,29,102,351,511,768,963,459,77,3270,32,26,38,99,225,492,853,499,148,2411,19,9,20,41,65,94,148,129,31,553,27,10,23,44,93,210,317,220,57,1007,376,633,838,825,763,624,428,177,51,4709,0,5,6,25,56,103,178,146,37,561,776,380,424,524,585,640,558,256,88,4227,10087,4939,6028,5369,3412,2157,1189,397,79,33671,1405,715,782,726,583,429,277,137,29,5079,13553,7111,8738,8318,6259,5094,4211,1906,470,55665,14,41,210,431,792,1349,1729,956,329,5854,862,747,1207,1076,894,832,649,298,71,6629,10,5,51,113,200,351,451,259,55,1489,0,3,0,0,5,18,41,94,112,281,25,43,157,298,436,661,763,372,116,2877,23,12,49,60,155,291,480,398,180,1649
SOSR212,20,56,259,512,1022,1921,2641,1967,726,9117,2504,1515,1602,1614,1341,1201,1003,509,178,11467,34,24,71,140,270,740,1329,1044,357,4006,4,5,6,3,10,47,161,342,273,860,36,106,212,368,875,1491,2153,1376,357,6974,57,49,76,133,523,1282,2200,1779,727,6830,32,26,45,60,103,212,323,373,188,1366,36,28,38,69,174,450,791,654,253,2497,680,1385,1764,1687,1813,1473,1059,506,199,10570,10,18,20,42,121,247,456,442,181,1529,1385,830,788,978,1260,1455,1459,792,351,9298,19576,10376,11508,10464,9180,7042,4142,1543,405,74238,2392,1475,1464,1460,1431,1222,895,647,372,11368,26141,15171,16910,16244,15895,14883,12667,7010,2505,127421,26,109,362,779,1817,3516,4767,3565,1818,16762,1717,1660,2310,2249,1955,1999,1828,1041,380,15138,20,26,80,225,526,934,1234,949,384,4375,3,3,5,4,12,53,164,388,565,1198,49,98,213,428,766,1307,1668,1139,478,6152,43,48,67,108,313,738,1328,1342,935,4923
SOSR213,17,69,231,502,1033,2108,3031,2293,897,10180,2287,1411,1563,1491,1272,1173,1046,677,205,11131,26,28,56,140,272,743,1336,1226,421,4247,0,0,0,4,14,45,151,394,331,946,46,102,175,395,849,1553,2254,1537,443,7357,50,38,62,151,467,1321,2272,2043,821,7227,37,32,42,63,114,205,401,357,186,1430,37,18,47,83,219,549,936,820,300,3014,783,1414,1651,1707,1750,1649,1184,561,242,10950,8,10,12,51,132,278,514,519,215,1747,1374,801,834,952,1238,1648,1503,935,430,9716,17327,9249,10044,8650,7841,6447,4380,1802,476,66207,2255,1320,1519,1352,1288,1077,882,589,322,10609,23632,13779,15282,14157,14178,14410,13311,8073,2871,119686,22,99,346,829,1894,3578,5185,4198,2123,18278,1515,1501,2113,2061,2003,1922,1863,1146,454,14590,26,27,96,199,485,944,1322,979,468,4552,0,0,11,0,16,48,148,475,678,1377,39,100,224,427,793,1346,1827,1357,555,6666,38,42,58,128,322,715,1330,1610,1128,5364
SOSR214,12,39,130,275,579,1300,2205,1796,660,6991,1157,748,784,713,645,738,762,473,151,6175,12,18,34,73,167,459,962,911,298,2915,0,0,5,4,10,39,123,298,243,729,15,55,87,182,465,975,1599,1198,332,4904,36,38,51,83,295,804,1675,1600,640,5222,27,12,19,25,48,130,244,284,124,909,13,8,27,36,130,380,636,598,211,2044,385,764,861,949,1008,1098,907,457,181,6606,16,10,8,18,53,178,353,378,169,1176,656,413,391,507,702,1034,1050,642,318,5709,8811,4977,5191,4452,4481,4052,3221,1401,351,36919,1194,653,705,698,710,768,695,514,244,6196,12009,7364,7734,7297,7925,9123,9796,6175,2142,69574,6,45,175,416,1090,2342,3698,2940,1495,12193,746,773,1028,1060,1171,1231,1361,835,302,8514,6,13,39,106,278,603,983,706,311,3046,0,0,0,4,4,25,115,313,509,978,19,37,80,195,417,813,1260,938,376,4132,15,19,37,66,173,473,948,1112,829,3671
SOSR215,23,50,211,426,944,2081,3133,2308,818,9986,1849,1115,1247,1203,1106,1162,1116,676,189,9651,28,26,55,119,247,712,1487,1218,350,4236,0,0,4,9,14,47,170,357,315,914,38,68,160,266,664,1381,2246,1456,393,6678,52,29,79,145,408,1284,2461,2011,750,7212,27,19,29,58,108,204,363,368,177,1345,37,17,28,65,189,581,999,798,266,2977,577,1016,1254,1369,1529,1585,1264,585,188,9358,10,9,19,23,104,252,476,493,235,1623,1010,580,626,789,1079,1514,1565,849,365,8383,15424,7520,7992,7506,7452,6943,4834,1890,504,60073,1954,1140,1100,1171,1213,1249,1086,655,293,9861,20586,11079,12052,12077,13082,14750,14478,8081,2661,108840,22,74,295,607,1562,3457,5025,3742,1889,16677,1360,1090,1661,1677,1646,1902,1886,1067,379,12676,16,22,46,184,432,963,1361,983,405,4411,3,8,4,9,8,36,145,454,720,1377,32,69,160,298,663,1186,1620,1211,490,5730,45,20,65,86,220,684,1364,1461,1015,4958
SOSR221,13,15,48,123,296,687,1053,652,199,3076,519,261,253,359,340,354,379,183,46,2689,11,9,5,29,63,217,470,315,86,1210,5,0,0,0,3,10,27,70,82,204,16,26,31,64,201,447,685,371,74,1909,7,7,8,34,118,417,781,539,191,2107,11,0,7,15,25,55,131,92,27,356,4,7,8,26,52,185,314,229,60,889,151,266,295,385,445,533,411,148,40,2676,9,0,0,13,34,81,140,110,43,440,261,132,133,181,323,536,463,216,83,2327,4057,2003,1960,2053,2101,2172,1512,547,96,16503,465,280,233,299,345,391,378,194,96,2677,5384,2870,2835,3263,3765,4751,4604,2248,640,30362,8,30,66,176,509,1095,1466,888,413,4646,331,260,393,402,509,583,547,252,82,3364,0,0,15,41,115,257,343,216,70,1075,0,0,0,0,4,8,32,94,127,267,9,24,35,84,155,349,444,250,107,1443,5,7,12,30,63,199,339,318,222,1195
SOSR222,4,8,41,68,171,412,559,300,85,1648,301,169,183,177,186,226,226,63,16,1558,9,4,7,15,47,142,253,135,44,651,0,0,3,0,0,7,18,29,26,94,5,9,16,32,107,255,358,186,43,1012,10,0,5,21,65,252,431,230,76,1088,5,0,0,4,13,23,58,40,24,173,3,6,8,10,40,112,206,97,29,518,88,153,202,202,262,311,232,62,11,1523,0,0,5,6,15,48,79,64,28,237,153,117,82,96,199,270,246,115,27,1305,2242,1312,1299,1239,1386,1354,826,288,54,10002,358,307,251,214,275,322,243,103,32,2103,3105,2016,1999,1924,2445,2933,2557,1105,291,18367,5,20,36,102,290,627,730,448,177,2428,189,207,214,279,260,365,270,131,29,1941,3,5,12,27,75,147,191,109,37,596,0,0,0,0,0,0,11,34,54,101,4,13,14,38,78,183,230,121,40,726,5,4,10,15,48,111,175,144,105,606
SOSR231,39,79,259,686,1959,4675,6147,3465,775,18078,2875,1982,1467,1986,2238,2446,2154,938,172,16263,32,56,83,181,548,1544,2950,1821,381,7598,0,0,4,7,23,65,191,333,178,808,67,137,172,389,1214,2712,3858,2019,386,10951,68,76,67,206,840,2623,4736,2980,774,12376,46,36,39,64,176,370,642,441,137,1959,41,25,53,127,321,982,1600,1020,217,4382,804,1549,1547,1915,2748,2874,1962,623,114,14130,5,12,18,56,184,447,824,667,170,2380,1445,1040,798,1212,2157,3360,2897,1190,329,14425,28904,17203,12438,14621,18358,17996,11669,3826,644,125650,3838,2739,2985,3335,3688,3765,2953,1402,335,25051,37569,24185,19148,23309,30959,36189,31145,13546,2832,218878,39,118,377,1032,3041,6735,7900,4169,1192,24590,1989,1875,2126,2614,3203,3465,2816,1148,218,19464,42,56,102,307,955,1847,2113,1114,258,6783,0,10,4,3,21,40,146,335,304,859,73,119,193,387,894,1793,2210,1274,320,7267,61,63,86,129,404,1176,1967,1455,579,5918
SOSR279,0,0,0,4,0,3,0,0,0,10,0,0,0,5,5,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,9,0,3,10,30,35,28,7,0,0,109,0,4,19,90,121,100,13,0,0,338,0,9,30,131,163,141,16,0,0,493,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,163,649,2271,4433,8435,13872,16778,11632,3936,62167,15743,12834,14172,13534,10858,8084,6387,3203,900,85714,229,350,716,1358,2711,5623,9051,7144,2248,29431,20,24,45,54,119,314,1131,2501,2023,6224,340,832,1619,3935,8363,12684,14596,8850,2044,53267,457,469,731,1598,4642,10246,15509,12189,4525,50360,225,222,349,586,1013,1581,2337,2201,1041,9559,473,265,393,731,1628,3604,5258,4559,1457,18376,6252,13348,17063,15649,14603,11014,7293,3392,1220,89834,72,74,157,343,896,1868,2863,2774,1117,10170,12818,8000,8953,10905,12801,13429,11285,6237,2473,86900,177720,111437,118925,108022,85351,55003,28631,10580,2365,698039,16911,12325,14142,12197,10669,7688,4944,2900,1482,83272,226294,154488,170218,161004,142810,114486,85183,45801,14432,1114721,201,1022,3060,6356,14572,23617,30200,21834,10132,111000,11263,14193,19113,18632,16873,14069,11870,6551,2208,114778,196,323,975,2403,5285,7562,8799,6241,2536,34314,12,16,36,24,105,259,1081,3005,4182,8724,343,837,1870,3669,6804,10275,11674,7532,2554,45559,357,456,723,1088,2622,5275,8963,9286,5856,34637
SOSR302,70,205,709,1563,3317,6215,9173,7029,2277,30568,5417,3792,3991,4382,3805,3110,2864,1777,506,29661,78,117,244,467,974,2521,4829,4151,1370,14750,6,5,6,26,41,146,547,1446,1164,3393,128,312,439,875,2091,3815,5694,4139,1066,18551,123,135,204,442,1419,3709,7160,6712,2510,22419,78,55,103,175,345,509,968,1142,572,3956,156,80,135,259,568,1309,2517,2415,814,8252,2247,3816,4232,4854,4997,4289,3198,1709,663,30010,29,29,52,120,334,745,1404,1590,655,4958,4072,2424,2332,3142,4175,5065,5126,3206,1350,30892,62208,37904,39611,37948,34962,25673,17145,7297,1543,264291,6972,4803,5380,4861,4943,4084,3474,2342,1004,37853,79932,52010,55289,55602,56011,50215,46253,28110,8648,432062,88,322,845,2182,5308,10058,15160,11805,5093,50862,3908,4315,5488,5842,5673,5079,5369,3168,1083,39933,51,109,284,821,2050,3346,4676,3379,1259,15970,7,6,9,22,42,125,524,1517,2131,4376,132,242,455,799,1596,2704,3850,3079,1133,14003,122,134,194,331,675,1905,3937,4495,2913,14695
SOSR303,35,133,477,938,1902,3336,4174,2729,894,14615,2873,2115,2163,1889,1746,1552,1247,686,160,14435,33,60,117,227,477,1291,2176,1622,474,6475,4,5,14,16,18,96,297,594,448,1485,53,148,269,644,1605,2572,3121,1804,399,10617,91,90,137,282,909,2139,3347,2566,889,10456,48,44,71,100,199,401,582,498,202,2137,79,51,74,156,350,819,1324,1004,279,4138,1195,2235,2789,2867,3052,2577,1714,758,211,17394,23,17,28,85,179,397,669,591,220,2212,2219,1420,1509,1797,2418,2733,2289,1311,460,16165,32877,20562,20131,16778,15069,11133,6441,2360,485,125845,4186,3833,3961,3246,3083,2502,2005,1069,365,24259,42829,29666,30133,26757,26913,24722,20072,10506,3038,214621,27,185,540,1164,2889,5349,6587,4839,2196,23770,2018,2535,3223,3140,3000,2886,2389,1282,409,20878,43,52,147,446,1002,1526,1941,1247,496,6911,4,3,8,11,22,99,281,746,898,2068,65,158,370,740,1537,2219,2531,1670,544,9832,89,102,137,295,574,1218,1994,1979,1185,7570
SOSR311,26,81,226,516,1156,2365,3582,2629,834,11412,1922,1202,1271,1180,1100,1104,1038,647,153,9632,25,33,70,124,282,844,1540,1347,432,4692,0,6,0,5,17,71,230,450,349,1130,45,92,165,406,952,1761,2528,1713,420,8085,54,75,93,189,606,1547,2769,2298,868,8485,15,29,43,60,113,252,427,491,212,1643,53,20,58,106,308,794,1231,1051,324,3943,741,1423,1501,1593,1750,1704,1357,707,240,11010,10,12,25,45,152,288,547,548,219,1853,1505,812,767,967,1311,1776,1672,1033,398,10241,17894,10200,9934,8768,7804,6577,4319,1949,459,67912,2393,1559,1562,1427,1484,1420,1148,749,315,12059,24075,14868,14834,14029,14350,15305,14482,8794,2737,123482,27,111,334,870,1970,3901,5568,4378,1884,19056,1479,1513,1887,1929,1923,2080,1958,1171,307,14237,13,33,102,223,521,1001,1376,1052,411,4741,0,5,4,4,17,49,175,556,693,1502,53,115,218,385,866,1514,1919,1441,500,7002,44,49,102,173,404,877,1655,1880,1087,6274
SOSR312,4,21,110,213,472,1053,1649,1168,340,5032,732,440,527,498,439,471,522,269,76,3977,5,11,19,43,120,351,794,595,167,2107,0,3,5,4,5,41,108,165,160,491,20,36,68,147,385,790,1081,694,182,3394,19,12,30,80,237,641,1206,1024,341,3587,8,13,21,23,47,92,186,204,88,687,22,10,20,47,137,364,565,446,127,1747,322,563,680,726,790,836,680,292,93,4977,0,0,5,18,52,104,213,214,98,709,603,339,302,409,593,840,778,472,186,4531,6205,3705,3328,3131,3137,2681,1992,825,172,25175,877,526,514,575,581,492,361,251,99,4278,8560,5379,5211,5282,5813,6401,6402,3757,1124,47929,5,42,138,357,856,1686,2407,1869,782,8139,539,544,705,753,801,933,918,529,168,5888,9,18,25,100,186,423,664,517,176,2120,0,0,0,4,9,34,76,195,313,628,19,41,86,138,311,605,802,558,191,2751,18,17,27,50,136,338,688,776,433,2470
SOSR313,19,46,169,304,624,1347,1858,1258,363,5984,1498,810,886,861,700,650,578,332,77,6407,10,20,50,88,190,456,824,612,190,2448,0,0,4,8,3,44,100,204,147,518,38,60,107,269,562,967,1349,754,175,4267,43,38,74,112,311,844,1450,1091,373,4331,20,10,29,37,71,136,243,208,84,835,37,20,22,59,144,371,593,441,132,1820,635,891,1030,995,969,895,682,281,82,6460,6,9,15,18,54,165,267,235,84,861,1044,467,494,592,758,909,833,456,137,5699,13448,6911,7213,6046,5226,4184,2784,1127,205,47161,1802,1196,1322,1165,1156,1043,789,371,131,8976,18098,10080,10840,9734,9412,9387,8479,4500,1214,81746,20,64,213,520,1119,2171,2939,2009,813,9868,1000,1029,1366,1346,1139,1196,1073,512,167,8820,10,23,70,164,326,564,785,510,164,2617,0,3,0,0,13,30,76,236,333,686,45,67,163,302,564,833,952,688,217,3831,35,25,73,88,205,560,807,805,473,3067
SOSR314,20,32,127,340,723,1405,1967,1360,400,6367,1339,757,761,854,783,677,627,311,82,6191,15,26,44,79,214,497,905,667,170,2604,0,0,0,8,13,38,125,252,177,617,29,54,81,249,646,1066,1451,915,197,4694,45,28,59,106,361,934,1477,1154,398,4559,15,21,21,42,96,131,255,242,96,919,27,18,19,54,171,440,611,480,151,1974,490,753,817,935,1044,918,748,344,116,6171,8,3,10,29,68,153,294,285,84,939,920,516,445,612,906,1005,917,537,190,6050,13059,6721,7296,6476,6037,4603,2926,1144,263,48525,2011,1444,1770,1626,1610,1339,937,529,197,11459,17607,10018,10988,10616,11012,10354,8993,4959,1444,85987,18,51,206,511,1221,2241,3013,2103,925,10290,943,880,1226,1325,1251,1206,1067,540,148,8593,15,13,54,138,350,587,806,524,194,2689,3,0,0,5,5,35,97,269,359,771,20,56,123,290,543,882,1009,689,239,3854,31,33,42,98,217,521,864,808,551,3163
SOSR315,20,70,223,510,1117,2650,4070,2530,639,11826,1905,988,1100,1180,1179,1283,1316,604,135,9692,32,23,74,132,325,927,1788,1235,345,4869,0,3,5,5,24,85,232,414,276,1050,42,91,143,375,946,1981,2757,1526,292,8162,59,57,73,180,618,1651,3116,2103,627,8489,32,19,34,64,128,267,503,430,146,1624,69,21,34,119,283,820,1418,1016,239,4028,775,1189,1275,1427,1780,1972,1602,671,187,10879,13,14,28,41,111,313,616,487,159,1782,1335,664,676,937,1421,2080,1940,958,331,10340,18776,9527,9854,8995,8754,7689,5589,2069,410,71659,2714,2014,3146,2801,2726,2491,1771,802,300,18766,25190,14125,15878,15449,16795,18397,17812,8716,2254,134622,36,98,306,804,1902,4129,5632,3408,1382,17688,1358,1241,1731,1787,1925,2180,2079,952,260,13518,20,27,93,236,521,1001,1516,901,277,4590,3,0,3,8,14,68,172,426,587,1288,48,88,226,441,876,1633,1902,1153,322,6692,46,65,89,132,388,953,1563,1399,766,5413
SOSR321,5,27,71,195,501,1170,1798,954,214,4935,669,388,328,429,438,523,514,267,43,3596,11,13,21,40,139,358,730,477,92,1876,0,0,0,4,6,24,73,114,88,316,17,30,51,158,381,756,1164,568,108,3232,23,34,21,64,255,707,1306,865,196,3473,14,10,17,14,48,128,209,168,67,665,17,9,18,26,114,330,579,412,74,1580,238,374,387,504,705,803,637,204,44,3899,3,0,4,18,39,143,224,184,55,665,450,246,200,328,565,892,811,367,74,3920,7002,3478,3103,3165,3448,3291,2560,975,133,27158,1207,709,896,843,902,829,709,370,68,6517,9498,5097,4887,5341,6482,7583,7641,3697,690,50918,10,32,97,274,720,1775,2218,1243,400,6763,479,402,546,601,744,909,811,378,75,4945,11,11,24,80,248,463,595,286,82,1798,0,0,4,0,0,22,53,113,128,322,10,31,80,161,363,650,778,427,91,2599,15,26,45,67,141,407,658,487,227,2073
SOSR322,8,15,35,62,225,641,986,538,90,2596,253,103,157,166,219,270,291,119,15,1598,8,3,11,24,60,227,420,251,39,1037,0,0,0,0,4,11,25,49,43,134,6,8,29,57,189,456,631,345,52,1777,15,11,19,24,101,387,662,471,87,1781,0,5,8,8,22,55,107,80,26,316,13,7,11,15,69,186,298,200,33,825,100,136,166,205,314,411,335,102,14,1780,0,0,0,10,16,70,128,97,29,351,187,88,85,140,257,442,407,171,47,1811,2929,1495,1570,1437,1584,1867,1503,473,73,12920,567,258,295,334,392,495,440,201,32,3013,3996,2067,2264,2323,2935,4262,4348,1923,334,24441,0,15,35,107,334,874,1176,626,155,3326,188,174,212,260,311,440,425,167,34,2201,8,4,15,30,98,231,306,158,31,872,0,0,0,0,4,3,28,57,60,159,7,14,39,88,185,344,424,200,44,1339,10,11,21,34,76,214,334,223,86,1011
SOSR331,31,102,300,807,2301,5487,7324,3847,745,20957,2743,1691,1534,2012,2238,2646,2251,978,174,16256,44,59,92,226,621,1770,3270,1960,376,8412,10,3,6,11,36,108,258,403,222,1055,49,130,190,461,1472,3330,4418,2243,335,12631,75,80,92,249,1059,3041,5242,3409,723,13972,32,30,44,92,211,433,713,579,182,2310,69,47,45,163,466,1433,2124,1326,235,5905,932,1528,1620,2118,2973,3499,2432,760,134,16000,10,14,32,75,171,510,926,719,181,2627,1780,1120,927,1487,2518,3886,3337,1314,303,16666,31052,17450,14576,16773,20147,18920,12327,4078,555,135873,4771,3824,5198,5446,6160,5497,3696,1615,295,36503,40903,25322,23724,28136,36188,40774,34645,15015,2673,247391,40,139,384,1170,3437,7508,8782,4334,1002,26804,1808,1685,2021,2745,3472,3837,3192,1229,215,20201,43,32,103,339,1129,2076,2334,1135,193,7389,0,3,3,6,30,69,193,352,296,957,77,111,222,433,1028,2213,2533,1281,216,8102,77,81,93,174,526,1511,2411,1681,577,7125
SOSR379,0,0,0,3,0,0,3,0,0,9,0,0,5,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,19,19,20,6,3,0,0,87,0,4,42,72,44,16,12,0,0,194,6,17,69,102,77,26,14,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
