SOSR_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SOSR201,25237,23513,48748,6140,8453,14590,287,118,398,9007,11443,20453,2756,2537,5298,615465,428182,1043647,29620,42396,72017,9516,196,9719,4950,562,5512,12420,5430,17851,5970,3671,9641,21217,24341,45557,742587,550841,1293433,4747,5833,10584,7,3,9,2624,3257,5879,4377,2748,7127,614,1293,1902,1145,664,1804,13508,13798,27306,12,0,12,644,818,1461,490,414,903,495,1030,1529,243,320,561,1889,2580,4468,7016,4694,11710,22405,21077,43487,3985,4916,8907,292,372,670,404,242,642,4678,5533,10215,315030,354270,669300,94012,156851,250867,5194,3896,9095,1183922,1092471,2276394
SOSR203,451,247,698,560,898,1462,37,6,43,7,12,17,245,247,492,60346,51098,111445,3857,4512,8370,690,11,704,358,48,408,936,326,1266,319,178,497,1923,2192,4118,69733,59790,129521,31,46,75,0,0,0,28,20,45,125,58,187,8,12,22,53,13,61,247,147,395,0,0,0,0,0,0,39,28,64,61,97,162,34,52,89,133,182,315,587,377,965,967,709,1676,58,64,126,34,32,65,32,9,38,119,106,228,13032,16545,29582,7479,13805,21285,448,381,827,91778,91338,183117
SOSR211,302,275,574,56,98,158,13,0,15,3,5,5,56,43,99,18537,13361,31896,1133,1222,2356,355,14,368,102,11,112,122,36,152,153,68,220,388,257,644,21210,15381,36592,36,72,111,0,0,0,15,21,35,71,61,128,12,22,34,17,7,21,149,178,321,0,0,0,0,0,0,13,0,13,9,25,30,5,10,12,23,34,55,204,109,312,377,320,699,58,74,137,0,8,9,6,0,6,69,86,151,2473,3762,6230,1918,3225,5144,147,117,266,26187,22891,49077
SOSR212,302,256,557,130,210,343,21,7,31,11,3,15,75,108,182,42632,35172,77804,2979,3449,6430,536,13,547,196,35,230,484,196,678,215,145,357,1304,1490,2801,48894,41088,89987,35,32,67,0,0,0,15,19,30,94,69,162,19,16,37,15,0,16,182,128,312,0,0,0,0,0,0,24,13,35,17,34,48,9,6,20,48,55,101,390,231,619,614,424,1037,46,36,76,8,15,21,17,11,25,65,56,123,7620,10980,18596,4816,8742,13556,342,288,630,62354,61575,123925
SOSR213,277,189,464,135,159,287,22,8,32,8,5,11,102,93,195,39015,32618,71631,2614,2796,5407,534,13,552,165,14,182,552,190,750,251,163,413,1300,1504,2807,44974,37746,82724,32,47,78,0,0,0,7,4,18,80,53,133,16,8,31,34,9,34,168,128,293,0,0,0,0,0,0,20,24,42,18,28,41,4,11,10,35,60,96,393,192,585,592,382,977,35,37,74,10,11,17,25,3,30,63,53,112,5404,8171,13571,4432,7930,12362,318,277,596,55783,54555,110334
SOSR214,126,86,212,45,76,121,12,4,19,3,4,8,28,32,59,20410,16915,37327,1353,1420,2771,382,17,396,89,10,104,275,106,378,122,67,185,957,1170,2126,23802,19901,43704,15,23,34,0,0,0,6,3,9,51,41,87,8,0,11,5,3,8,81,69,149,0,0,0,0,0,0,10,12,21,4,3,10,0,4,11,15,23,38,179,99,274,279,186,460,25,16,42,4,0,8,9,3,14,38,25,60,3293,4884,8178,2641,4589,7235,250,189,433,30299,29776,60077
SOSR215,164,119,287,156,90,247,25,5,25,3,6,10,33,8,39,33527,26529,60057,1983,1823,3805,758,16,778,140,25,164,348,153,499,214,118,332,1549,1887,3435,38901,30780,69680,23,9,35,0,0,0,5,9,14,72,36,113,14,9,28,18,0,18,132,69,203,0,0,0,0,0,0,24,8,25,10,13,27,8,0,8,40,24,65,332,138,468,502,234,734,36,33,66,3,3,9,17,3,20,63,40,101,5777,8479,14252,4128,7306,11431,395,363,763,49765,47194,96962
SOSR221,19,8,30,24,22,47,0,4,6,0,3,7,9,3,9,9167,7286,16453,492,485,973,251,7,263,31,0,30,74,41,111,82,27,110,449,531,982,10614,8419,19035,8,0,8,0,0,0,0,0,0,6,8,12,0,5,5,3,0,3,18,16,32,0,0,0,0,0,0,6,0,7,0,6,10,0,0,0,5,3,11,99,51,150,124,71,195,8,4,11,0,0,0,5,0,7,12,3,12,1685,2286,3968,1123,1992,3117,107,122,229,13655,12896,26550
SOSR222,15,6,21,68,61,137,3,0,5,0,0,0,4,0,7,5003,4012,9016,265,253,517,152,3,154,26,5,27,45,15,57,167,103,267,776,751,1525,6524,5211,11733,0,0,6,0,0,0,0,0,0,9,5,10,0,0,3,3,0,3,14,8,23,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,6,3,9,34,20,61,57,32,91,3,0,3,0,0,0,0,0,0,3,0,3,1047,1360,2409,961,1445,2406,92,62,155,8685,8110,16800
SOSR231,202,125,329,221,120,336,21,9,34,12,20,28,38,24,61,64825,52430,117258,3602,3597,7204,2781,75,2862,710,150,857,348,111,453,947,443,1391,5329,3029,8356,79037,60137,139173,16,13,32,0,0,0,6,11,13,114,53,166,19,19,35,16,5,17,171,93,264,0,0,0,0,0,0,20,15,41,21,42,62,5,3,14,46,70,113,825,303,1126,1045,463,1507,45,28,74,3,4,3,88,17,98,130,50,184,21914,24039,45948,7651,12890,20539,1218,1064,2279,110990,98636,209629
SOSR279,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,22,7,30,0,0,0,14,0,14,0,0,0,0,0,0,92,7,98,13,6,17,139,18,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,22,170
SOSR301,12118,12728,24847,12639,17460,30103,733,694,1424,36,22,56,1909,1996,3907,339753,282102,621853,18591,27913,46508,6785,168,6950,7551,876,8428,6679,2101,8782,3686,1813,5499,12011,12865,24876,422494,360744,783241,1904,2294,4196,8,5,20,25,24,50,2463,2543,5005,451,697,1143,635,284,920,5488,5846,11335,114,173,291,4,3,8,865,1147,2015,395,1015,1411,372,388,765,1762,2726,4484,4140,2419,6565,11391,10991,22384,984,1187,2172,259,325,587,174,89,263,1420,1601,3021,93842,108040,201882,46736,75754,122487,2347,1955,4305,578228,559088,1137316
SOSR302,958,806,1768,1183,1707,2892,62,26,91,635,1013,1651,355,413,767,140003,127308,267306,6966,9700,16670,2470,56,2525,2075,277,2358,2228,1017,3244,1493,702,2192,3790,4541,8328,162231,147563,309791,193,219,406,0,0,0,48,58,107,394,280,679,51,62,105,64,22,88,746,639,1391,5,6,0,176,304,475,83,72,156,73,178,250,65,65,131,396,624,1018,1628,1166,2789,2771,2425,5196,205,245,455,100,124,233,81,44,126,396,420,811,27099,35088,62191,18926,29982,48915,983,991,1977,212407,216467,428878
SOSR303,23,13,34,633,742,1379,41,23,70,4,5,8,363,425,789,69638,67279,136917,4658,6669,11329,1055,29,1082,1399,172,1572,1534,566,2097,1006,430,1438,2391,2236,4623,82743,78587,161329,7,3,8,0,0,0,0,0,0,27,18,38,5,0,5,4,4,5,33,25,57,0,3,5,0,0,0,49,25,70,44,128,165,56,53,106,144,208,351,946,621,1571,1126,851,1973,9,6,12,45,55,100,73,29,98,122,92,211,6708,9574,16278,10958,15310,26271,456,388,845,102110,104809,206917
SOSR311,18,3,20,512,256,768,25,6,38,6,0,0,165,218,381,39142,38251,77394,3052,3767,6816,689,11,700,592,50,646,553,180,733,311,167,479,1017,1187,2205,46067,44114,90185,4,0,5,0,0,0,0,0,0,10,7,17,0,0,0,0,0,0,14,8,26,3,0,3,0,0,0,84,14,96,22,29,45,6,9,17,113,58,168,449,272,721,577,330,911,3,5,4,16,16,28,30,11,40,47,28,72,1894,3208,5100,5317,6615,11928,281,253,536,54183,54553,108728
SOSR312,23,25,52,106,66,174,34,3,43,0,0,0,40,62,100,13767,12402,26176,909,1144,2047,246,10,253,293,20,314,197,51,250,136,57,196,409,464,877,16160,14296,30463,10,8,16,0,0,0,0,0,0,20,26,46,0,7,8,3,0,3,35,35,68,19,0,16,0,0,0,18,9,18,10,21,27,4,3,5,38,24,68,313,123,436,388,188,571,3,4,10,107,16,130,3,0,10,121,26,146,1080,1651,2726,1988,2468,4459,127,108,238,19860,18740,38599
SOSR313,6,10,18,573,194,767,48,40,85,0,0,0,103,124,233,25894,24299,50188,2148,2390,4536,543,22,558,395,41,443,318,95,420,299,109,411,1040,1116,2154,31365,28448,59818,9,6,12,0,0,0,0,0,0,17,14,30,6,6,8,3,0,3,26,26,55,0,0,3,0,0,0,75,14,91,0,17,15,16,3,23,98,38,131,347,209,558,470,266,743,9,8,20,11,3,16,27,15,36,44,22,64,1432,2631,4068,4015,4758,8772,187,185,375,37532,36311,73847
SOSR314,35,41,79,607,291,897,17,0,19,0,0,0,42,61,107,26865,23323,50183,2328,2587,4917,748,20,767,320,29,352,282,87,368,308,133,446,970,1092,2062,32519,27673,60192,3,11,14,0,0,0,0,0,0,41,42,84,3,0,8,6,0,10,61,57,114,7,0,10,0,0,0,81,48,123,15,14,39,9,4,13,110,67,180,365,177,549,540,304,839,10,12,20,32,7,41,25,5,34,73,25,100,2015,3652,5670,3648,4529,8179,253,237,487,39045,36417,75466
SOSR315,94,94,185,983,468,1449,81,43,122,0,0,0,32,46,77,35578,31559,67132,2831,3048,5873,1136,35,1174,416,58,470,423,241,657,563,339,900,2326,2834,5169,44461,38757,83216,13,18,29,0,0,0,0,0,0,49,57,105,6,12,15,8,0,9,79,82,164,26,36,67,0,0,0,82,39,124,20,19,39,18,4,25,149,101,253,654,438,1087,883,625,1507,12,16,31,60,37,103,54,30,78,129,79,205,3301,4987,8287,5913,7340,13255,450,406,858,55138,52188,107323
SOSR321,14,13,27,157,80,242,37,36,74,0,0,0,11,10,24,13107,11811,24916,953,972,1920,487,21,509,176,22,200,86,53,144,217,79,297,882,985,1873,16131,14089,30217,3,4,4,0,0,0,0,0,0,12,23,34,5,0,5,5,0,5,21,25,46,5,12,21,0,0,0,14,6,26,9,10,17,8,0,7,36,36,72,201,175,378,256,239,496,10,3,10,15,15,28,6,5,19,33,17,58,1352,2043,3393,2057,2602,4670,210,167,378,20040,19162,39207
SOSR322,12,3,11,112,57,169,7,11,20,0,0,0,4,10,11,5707,4693,10394,465,458,925,208,11,217,56,15,67,50,21,73,152,57,202,735,942,1679,7500,6269,13773,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,0,0,0,4,5,9,5,0,9,0,0,0,9,3,12,6,0,9,0,0,3,17,8,33,122,71,191,141,86,236,0,0,0,12,0,14,8,4,17,19,5,28,509,766,1274,1106,1262,2364,127,107,233,9410,8495,17909
SOSR331,172,123,296,1596,503,2102,77,15,92,6,0,6,32,15,50,65333,56956,122292,4222,4133,8359,3752,143,3896,965,144,1111,284,91,375,1893,710,2597,5573,3768,9343,83912,66612,150523,8,18,26,0,0,0,0,0,0,131,117,240,8,16,29,22,3,25,170,154,323,166,12,180,0,0,0,127,62,188,47,31,74,90,19,110,432,129,557,1007,382,1387,1611,662,2266,30,33,61,140,21,167,110,28,139,279,80,367,17416,18720,36138,10012,12350,22367,1215,892,2110,114454,99322,213770
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,10,0,10,0,0,0,0,0,0,57,0,57,3,0,0,75,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,0,0,0,90,13,99
SOSR401,2567,2683,5251,9826,13831,23657,60,32,87,968,1316,2284,922,971,1894,206491,170181,376678,9651,15941,25592,2101,55,2157,2306,268,2573,4760,1708,6464,2123,677,2802,5372,5686,11059,247145,213351,460494,476,472,948,0,0,0,59,94,150,479,511,992,63,123,184,86,48,128,1168,1244,2411,0,3,10,182,248,431,863,1105,1969,336,837,1177,242,283,529,1626,2492,4115,2296,1977,4277,5088,5716,10802,291,412,696,219,324,540,88,47,143,599,786,1383,26944,30309,57255,23265,39954,63217,1187,1032,2214,304224,291145,595366
SOSR412,10,6,9,397,316,709,9,0,8,0,0,6,66,66,130,16679,15252,31932,1090,1074,2167,200,5,199,157,19,177,175,27,199,129,42,174,444,442,890,19351,17251,36595,6,3,14,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,7,7,14,0,0,0,0,5,5,115,70,186,16,23,39,15,6,23,154,107,256,184,105,291,351,219,564,7,5,4,6,9,13,8,6,14,16,25,35,1089,1574,2658,2107,3077,5184,118,97,217,23021,22235,45260
SOSR413,13,4,15,159,170,330,4,4,7,0,0,0,39,52,93,12899,12314,25212,936,1114,2056,155,6,164,132,13,145,144,44,185,112,52,161,514,490,1007,15111,14263,29377,0,0,0,0,0,0,0,0,0,7,9,12,0,0,5,0,0,0,4,13,17,0,0,0,0,0,0,28,20,51,7,5,13,4,0,4,41,26,68,142,82,233,194,123,311,0,4,6,5,0,5,7,0,8,7,5,12,1233,1484,2718,1825,2498,4325,126,108,231,18493,18489,36978
SOSR414,6,0,6,44,50,85,3,0,3,0,0,0,0,4,4,4847,4289,9136,297,328,627,69,3,73,36,6,45,54,16,73,55,8,62,140,174,313,5535,4887,10422,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,9,31,3,3,10,0,0,0,24,14,39,52,26,80,82,46,123,5,0,6,0,0,0,0,0,0,5,7,4,401,610,1016,565,954,1512,57,45,101,6642,6547,13186
SOSR415,21,27,43,187,111,294,8,0,3,0,0,0,19,15,34,18772,16336,35104,1015,1181,2192,373,19,385,131,14,149,149,44,198,214,63,277,914,936,1848,21797,18742,40544,7,3,13,0,0,0,0,0,0,15,13,32,0,5,5,0,0,0,21,22,45,0,0,0,0,0,0,25,42,66,6,14,14,3,0,5,35,54,90,191,113,308,251,193,445,3,9,8,4,5,9,13,0,15,23,10,33,1368,2032,3395,2227,3410,5638,214,166,382,25877,24554,50434
SOSR421,4,0,9,74,51,127,5,0,5,0,0,0,0,0,0,5026,4144,9169,263,295,554,126,5,133,30,4,30,38,18,56,72,30,100,343,461,802,5980,5000,10982,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,25,23,45,4,5,3,0,0,0,22,30,50,57,27,81,78,51,132,0,0,0,6,0,6,0,4,4,6,4,7,388,611,993,637,989,1634,71,63,136,7165,6723,13887
SOSR422,0,0,4,15,16,27,0,0,0,0,0,0,5,0,7,2702,2205,4903,137,150,285,88,4,84,14,4,16,16,7,22,42,13,58,274,350,623,3289,2741,6026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,17,0,5,5,0,0,0,7,10,18,30,10,41,42,22,60,0,0,0,0,0,0,5,0,5,5,0,5,190,299,496,364,497,864,52,43,99,3940,3602,7544
