SOSR_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR301,32827,23540,26654,23232,20102,14856,10247,6590,4377,162427,440024,305465,348060,330818,294257,237578,180987,100265,39044,2276503
SOSR302,13307,9560,10795,9937,9838,8631,7312,5069,2708,77159,155263,104841,115746,117364,118180,107886,98495,59285,21461,898519
SOSR303,8157,6853,7337,6124,5777,4909,3819,2173,920,46070,83525,58965,61690,56646,56362,51290,41402,22605,8166,440651
SOSR311,4705,2997,3002,2792,2823,2702,2266,1673,757,23723,46968,29430,30772,29547,30185,32120,30015,18884,6922,254841
SOSR312,1710,925,978,1062,1050,957,740,548,263,8230,16839,10450,10581,10880,11984,13415,13192,8036,2855,98233
SOSR313,3476,2166,2384,2158,2081,1966,1500,741,345,16823,35276,19782,22338,20489,19439,19614,17307,9332,3119,166708
SOSR314,3951,2537,2993,2771,2719,2233,1705,1006,524,20434,34287,19448,22201,21495,21952,20766,18062,10205,3661,172075
SOSR315,5292,3661,4937,4404,4451,4281,3285,1628,764,32694,48992,27582,31644,31018,33207,37164,35021,17304,5543,267475
SOSR321,2295,1283,1465,1399,1533,1524,1361,676,158,11696,18201,9756,9959,11017,13116,15590,14728,6933,1580,100874
SOSR322,1109,472,559,597,699,909,809,361,82,5595,7901,4026,4603,4672,5831,8472,8141,3520,730,47889
SOSR331,9021,6655,8168,8644,9983,9432,6649,2887,555,61993,78835,47639,45278,54695,70455,78639,64062,26853,5159,471627
SOSR379,0,13,60,75,43,16,12,0,0,220,6,24,87,111,79,34,14,0,0,354
SOSR401,13634,9877,10518,10072,9729,8374,5987,4174,2515,74880,211678,152538,177179,166703,154004,146810,122359,72376,33254,1236891
SOSR412,1477,876,859,831,887,795,551,409,251,6935,18107,11715,12467,11538,12513,12175,9794,6219,2485,97006
SOSR413,1456,944,1234,1129,1045,936,766,466,261,8229,15196,9577,9943,9782,11112,12035,12151,7697,2987,90478
SOSR414,341,192,221,211,235,251,271,205,86,2015,5000,2942,3298,3333,3577,3995,4862,3100,1088,31188
SOSR415,1618,933,977,992,1172,1203,1106,850,395,9247,19808,11191,12679,12641,14229,16266,16101,9803,4062,116778
SOSR421,446,266,270,320,356,397,371,245,161,2831,5233,2946,3157,3311,3852,4961,4817,2566,1164,32004
SOSR422,324,191,174,195,259,413,356,175,54,2134,2930,1723,1883,1852,2422,3485,3327,1585,440,19643
SOSR431,2193,1591,1899,2048,2428,2512,1811,801,181,15469,24969,15064,14123,17090,22217,25707,20110,8245,1710,149237
SOSR479,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34
SOSR501,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
SOSR511,1200,776,906,824,801,677,477,308,213,6178,14925,8404,9066,9652,9467,8839,7068,3914,1511,72840
SOSR512,2616,1596,1901,1897,1739,1655,1150,610,300,13463,23259,13549,14779,15147,15483,15223,12300,7025,2895,119662
SOSR513,2444,1392,2426,2407,2176,1789,898,341,68,13941,16768,7637,12717,12761,10658,9210,6176,2466,563,78955
SOSR514,658,324,370,400,370,331,249,136,73,2908,5727,2686,3163,3817,3638,3411,3201,1587,561,27798
SOSR515,2636,1493,1840,1812,1785,1635,1238,682,274,13387,19012,9772,12625,12427,12665,13292,11923,5689,1898,99305
SOSR521,1056,557,953,871,946,975,719,360,89,6523,7239,3761,5007,4996,5446,6323,5435,2507,738,41457
SOSR522,712,311,378,390,400,493,461,199,65,3400,4291,2486,2895,2793,2915,3647,3384,1481,369,24271
SOSR531,3091,3462,7313,7191,7115,5607,2881,991,168,37824,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
SOSR579,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
SOSR603,2504,1796,2276,1803,1706,1445,1171,784,385,13871,32330,23017,34119,25445,23082,22522,19880,11745,4848,196998
SOSR611,1094,952,905,692,679,634,484,370,190,6003,13673,10262,12428,9780,9920,9379,8130,5218,2180,80963
SOSR612,716,418,430,388,434,394,335,284,130,3524,7771,5204,5842,4920,5478,5734,5115,3221,1261,44541
SOSR613,175,115,74,97,104,103,132,94,38,931,1924,1336,1247,1238,1499,1818,1743,1183,463,12450
SOSR614,304,170,158,184,169,172,152,82,27,1413,2956,1717,1932,1898,1958,2398,2082,1177,361,16477
SOSR615,995,565,542,550,585,603,610,417,202,5061,11034,6394,7586,6839,7512,8702,8825,5250,1923,64064
SOSR621,314,174,194,205,238,290,233,131,45,1813,3504,1903,2330,2414,2825,3525,3204,1699,463,21871
SOSR622,115,78,74,65,109,128,132,85,64,840,1332,757,820,881,1196,1636,1575,732,235,9163
SOSR631,1573,992,938,1063,1263,1436,1087,442,126,8907,17991,10353,10379,12363,15378,18400,14309,5634,1154,105965
SOSR679,0,0,28,25,30,30,0,0,0,114,5,21,62,80,90,75,33,3,0,366
SOSR703,2860,2043,3470,2785,2355,2072,1339,444,120,17490,25800,15488,25522,20971,16938,14722,10630,3766,808,134643
SOSR712,486,315,523,453,418,500,350,87,19,3149,5462,2819,5017,4187,3420,3483,2322,706,180,27595
SOSR714,248,140,212,169,168,157,84,26,3,1200,1406,799,1323,965,868,919,593,173,32,7086
SOSR715,520,277,450,333,278,236,96,25,3,2209,4420,2993,3301,2786,2208,1610,696,165,27,18207
SOSR721,226,133,224,169,185,212,126,23,0,1300,3020,2140,2442,1924,1723,1569,844,185,24,13877
SOSR722,359,165,223,149,189,251,218,42,7,1608,3061,1904,2120,1699,1597,1631,1303,281,34,13629
SOSR731,1040,1000,1547,1364,1411,1316,1010,237,18,8944,7420,5078,6425,6001,6547,7058,5743,1378,145,45785
SOSR779,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
SOSR802,4672,4612,4764,3752,3100,2341,1755,1007,537,26534,82383,60775,77435,69014,55886,44609,34756,18995,7190,451046
SOSR822,3,4,0,4,5,8,8,0,0,34,132,78,54,94,99,69,55,33,6,611
SOSR831,7,28,18,4,17,19,16,3,0,104,94,140,133,61,71,74,58,9,7,649
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,27,33,95,66,70,53,40,6,0,401,276,121,261,240,258,227,175,36,4,1601
SOSR921,44,19,22,32,29,40,33,23,6,242,263,148,133,209,247,379,279,139,37,1839
SOSR922,30,11,26,17,22,45,29,14,0,201,165,132,160,116,100,164,92,45,10,985
SOSR931,28,36,124,63,49,28,22,18,0,370,117,87,186,130,162,121,120,69,10,999
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
