SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR603,1343,1244,2588,5625,4963,10589,1628,1766,3392,863,870,1730,8127,7594,15720,3176,2921,6103,1426,1565,2988,1190,1150,2347,5797,5648,11444,457,429,887,1192,1216,2406,631,370,997,1167,1194,2356,14,18,32,3459,3231,6683,1823,2171,3990,1462,1695,3161,271,366,629,1103,1889,2994,10,11,18,4664,6123,10784,8130,9363,17492,466,490,952,446,682,1122,17,8,21,921,1179,2102,4752,4388,9142,312,165,476,29388,29581,58967
SOSR611,497,510,1007,2451,2347,4799,542,524,1067,414,412,827,3416,3277,6699,1495,1468,2969,474,508,983,527,484,1007,2494,2467,4965,130,157,294,291,342,628,289,173,464,398,442,839,7,8,12,1110,1122,2237,572,742,1315,431,534,968,83,144,223,328,574,898,5,7,5,1413,2001,3412,2522,3126,5653,195,172,360,193,286,485,0,3,5,388,460,851,2029,1904,3933,91,75,170,11440,11828,23270
SOSR612,256,203,464,1359,1410,2767,363,343,705,143,145,281,1861,1897,3754,991,1000,1987,275,276,550,87,90,178,1349,1370,2717,112,107,217,88,116,202,160,123,274,167,250,419,3,0,3,527,586,1114,99,203,306,63,140,202,29,54,82,141,239,382,0,3,3,334,640,970,865,1234,2096,73,83,151,75,120,195,0,8,8,140,209,351,1229,1252,2478,32,33,69,5734,6204,11935
SOSR613,63,57,116,351,314,663,93,82,172,54,66,123,500,464,968,256,229,484,71,72,143,48,51,94,367,354,724,31,20,53,15,28,41,46,24,67,33,72,110,0,0,0,122,142,269,16,37,51,20,27,45,4,22,24,34,59,93,0,0,0,69,142,215,192,290,482,21,13,26,19,33,48,0,0,0,38,43,84,338,335,678,4,7,13,1510,1549,3057
SOSR614,96,102,198,541,508,1056,166,147,315,22,34,55,731,690,1422,335,320,652,100,119,222,38,26,62,471,471,936,27,36,61,15,35,52,51,32,83,67,83,146,5,0,5,164,186,349,22,44,72,19,56,72,9,17,26,47,100,151,0,0,0,105,213,321,268,393,664,13,39,49,15,45,59,0,0,0,34,87,117,516,530,1042,7,7,8,2110,2278,4390
SOSR615,397,365,758,2075,1956,4035,431,414,843,234,250,481,2732,2622,5357,1292,1201,2500,305,305,607,227,194,418,1822,1699,3519,91,103,201,102,130,232,206,134,345,251,353,600,7,4,9,656,733,1384,118,231,345,110,173,279,41,57,99,160,390,548,0,0,4,420,859,1277,1078,1590,2671,73,91,172,97,160,256,4,4,4,181,253,434,1777,1875,3654,68,40,110,8059,8445,16500
SOSR621,113,108,225,686,676,1360,108,113,223,77,76,153,868,871,1738,391,351,749,77,118,193,83,92,177,559,561,1121,30,24,56,22,33,55,56,27,85,98,104,204,4,0,6,209,194,401,59,82,139,31,61,100,13,25,35,64,151,215,0,3,6,176,315,486,382,508,885,21,27,53,24,60,85,0,0,0,45,88,133,722,666,1386,38,19,60,2730,2824,5550
SOSR622,40,42,75,251,274,524,36,32,65,28,28,52,315,330,643,165,142,303,37,49,88,30,29,58,229,223,451,13,10,26,10,19,28,24,13,40,34,44,82,0,0,0,81,86,169,18,31,52,16,20,37,0,5,6,20,52,77,0,0,0,52,109,165,134,196,333,12,5,21,7,16,23,0,0,0,19,21,41,353,345,695,6,0,7,1091,1150,2245
SOSR631,537,522,1062,3212,2948,6154,807,783,1596,543,519,1067,4569,4255,8822,1937,1875,3811,684,657,1338,563,535,1105,3185,3073,6262,156,159,312,112,138,245,445,214,660,397,508,900,13,13,18,1115,1028,2136,224,429,652,155,277,426,52,91,143,271,686,959,4,9,9,696,1494,2190,1808,2528,4332,138,160,303,126,264,387,7,6,22,278,432,703,3542,3145,6687,89,42,128,14008,13988,27998
SOSR679,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,4,0,0,0,0,0,6,0,0,0,4,3,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,101,15,109,8,0,13,113,18,134
