SOSR_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SOSR212,5214,10499,4816,2646,6766,1674,49,31656,3222,6948,4632,3301,7437,1588,37,27156,1638,2959,2066,1836,5544,1474,12,15533,679,841,429,370,3346,1101,7,6776,40954,58593,26401,18889,53826,14209,346,213214
SOSR213,5007,9641,4684,2864,6776,1425,30,30432,3255,6927,4997,3772,7864,1452,16,28283,1862,3416,2516,2195,6300,1575,11,17882,700,908,572,442,3819,1246,6,7695,37410,54069,25942,19490,51899,12931,229,201975
SOSR214,3049,6319,3048,1921,3966,1051,17,19371,2308,5297,3743,2807,5385,1268,13,20833,1304,2459,1895,1689,4602,1224,7,13183,535,628,388,312,2942,821,3,5635,21174,32427,16289,12089,30416,8390,115,120898
SOSR215,4960,10005,5165,3076,5865,1750,25,30851,3343,7402,5463,4305,7254,1940,13,29721,1685,3371,2558,2312,5693,1568,12,17190,655,825,501,424,3694,948,5,7047,32610,50581,25717,19209,41555,13254,199,183126
SOSR221,1544,3146,1657,1023,1681,607,4,9666,1041,2193,1629,1368,2115,606,9,8963,409,824,649,665,1438,433,0,4418,148,170,152,96,792,275,0,1635,8995,14090,7404,5793,10481,3759,43,50560
SOSR222,959,1865,986,666,977,470,9,5932,521,1184,834,728,1118,379,7,4772,215,418,335,347,643,246,3,2210,79,88,70,54,312,89,0,689,5646,8409,4157,3277,6044,3030,107,30678
SOSR231,10760,22415,12970,8923,10678,5361,40,71155,6659,14173,10972,10053,11318,4650,32,57867,2825,4840,3676,4170,6572,2608,16,24700,779,927,551,505,2235,815,4,5817,65019,96159,53245,42616,62776,31977,354,352148
SOSR279,14,5,0,3,25,111,0,158,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,15,3,89,389,0,565
SOSR301,42752,81154,35826,20145,48049,9656,901,238479,23285,48610,31893,21546,47615,8041,750,181738,12000,21363,14604,10803,34640,6852,218,100479,4496,5243,2597,1784,19773,5147,60,39100,395682,534031,219349,144032,444026,99357,5013,1841492
SOSR302,19815,35748,15882,8589,22006,5846,385,108267,12932,26673,17065,10394,25606,5812,431,98922,6932,12386,8270,5928,20495,5275,209,59493,2329,2624,1431,1123,10255,3703,46,21510,154040,206852,90409,58613,183045,50293,2546,745805
SOSR303,8890,16574,6928,3965,11182,3745,139,51427,5022,10459,6495,4683,11405,3345,128,41534,2534,4206,2946,2560,8096,2262,57,22658,881,1014,543,409,4171,1152,14,8188,70753,97109,39299,27105,91209,31644,1349,358477
SOSR311,5276,9682,4508,3040,7597,2021,67,32185,3311,6997,5002,3993,8735,1978,65,30085,1968,3289,2386,2263,7104,1884,26,18914,760,771,423,394,3518,1047,9,6926,38284,54057,24450,18703,56528,15849,469,208345
SOSR312,2235,4087,2021,1338,3027,704,22,13432,1428,3300,2354,1813,3673,624,18,13209,826,1564,1148,1064,2819,617,16,8050,269,373,174,182,1473,373,6,2859,14536,21798,10406,8162,21191,5305,101,81494
SOSR313,3287,5980,2756,1694,4379,1518,40,19657,2017,4167,2809,2242,4744,1327,39,17347,1017,1854,1296,1226,3186,748,22,9352,320,410,231,162,1623,373,3,3125,24998,34822,15680,12265,32789,10873,562,131990
SOSR314,3276,6160,2941,1897,4678,1813,28,20794,2038,4064,2997,2460,4989,1512,39,18100,1081,1843,1397,1303,3513,1060,4,10210,369,445,223,220,1781,618,3,3665,24700,35128,16253,12617,34684,14408,1017,138801
SOSR315,5942,10720,5335,3586,7924,3647,82,37241,4003,8054,5636,4820,9484,3020,35,35051,1727,3013,2335,2297,6148,1787,27,17329,549,608,371,336,2776,911,6,5549,38630,54812,26403,21073,53183,24380,876,219358
SOSR321,2408,4527,2461,1728,3250,1217,22,15605,1688,3333,2407,2321,3781,1208,19,14748,711,1243,1041,960,2275,688,10,6942,187,199,120,108,773,187,3,1584,14472,21080,11078,9247,18549,8242,296,82962
SOSR322,1376,2347,1221,845,1895,794,17,8487,953,1843,1304,1098,2215,730,24,8168,346,598,467,503,1222,379,13,3525,82,103,58,64,307,118,0,733,6962,10034,5119,4110,9725,4042,157,40152
SOSR331,11448,22701,12790,9754,14053,7891,92,78733,7374,14292,10808,10891,14818,5884,112,64173,3136,4986,3819,4241,7853,2816,38,26888,746,787,495,441,2096,599,3,5166,68567,100906,53489,45841,77343,46641,1732,394529
SOSR379,0,5,0,6,9,16,0,34,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,6,5,81,220,24,380
SOSR401,26360,50848,22148,11921,30558,4961,400,147206,15793,34343,22163,14184,31408,4461,415,122775,8703,15927,11124,7948,24685,3989,132,72511,3776,4767,2515,1814,17598,2782,42,33295,216335,294492,126381,80968,263406,43625,2208,1027419
SOSR412,2054,4115,1882,1072,2540,502,10,12190,1112,2526,1725,1319,2660,442,19,9815,627,1188,924,801,2205,476,0,6220,280,326,173,162,1223,324,0,2485,15649,22892,10149,7180,18880,4158,82,78984
SOSR413,1967,3932,1916,1009,2489,714,14,12047,1287,3126,2385,1710,3005,639,15,12164,804,1574,1223,996,2582,514,8,7702,319,427,261,201,1503,276,8,2997,13309,20505,10465,7150,18264,5597,112,75396
SOSR414,710,1411,656,365,703,155,6,4001,572,1304,1030,680,1061,212,0,4860,293,684,534,423,957,209,0,3103,130,155,84,70,550,107,0,1089,5007,7776,3919,2646,5597,1246,35,26233
SOSR415,2785,5373,2585,1486,3098,935,28,16290,1874,3918,3033,2383,3919,981,15,16116,989,1787,1345,1395,3455,835,9,9808,354,511,302,232,2219,437,3,4067,17877,27040,13463,9806,22332,6455,564,97536
SOSR421,829,1669,828,476,847,312,7,4966,553,1177,878,765,1104,341,5,4819,270,465,372,405,802,253,0,2566,108,112,90,58,596,194,0,1164,4936,7461,3840,2973,5487,2077,20,26795
SOSR422,570,1078,565,348,590,329,3,3484,357,778,562,485,801,339,4,3331,130,273,224,259,518,184,0,1584,42,82,47,27,185,58,0,440,2915,4591,2389,1836,3342,1641,18,16726
SOSR431,4110,8201,4490,2830,4069,2001,15,25719,2456,4971,3798,3282,4048,1559,27,20137,883,1663,1337,1352,2205,799,12,8252,212,310,191,173,623,206,3,1723,23402,34723,18714,13987,21901,11547,386,124656
SOSR479,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40
SOSR501,40664,73666,31411,19290,48050,8531,910,222529,23094,47733,29737,21440,47111,7417,788,177310,11486,20937,13941,11281,33226,7065,267,98207,4611,5816,2973,2182,18828,5478,78,39957,349476,447152,183760,136880,412992,82217,4837,1617314
SOSR511,1523,2866,1332,892,1800,426,14,8854,841,1813,1268,923,1850,370,11,7074,454,831,578,503,1268,283,3,3920,141,241,121,92,639,280,0,1511,11443,16155,7288,5774,13600,3656,89,58003
SOSR512,2553,4860,2119,1232,3214,1239,39,15253,1493,3082,2055,1651,3055,966,23,12323,804,1370,955,892,2367,636,12,7037,332,371,240,216,1365,373,10,2902,18317,26033,11438,8785,23041,8792,192,96591
SOSR513,1590,2433,888,583,2095,1621,39,9248,793,1424,786,583,1773,811,32,6210,330,464,291,226,798,357,7,2466,67,92,32,28,253,93,0,563,11633,15547,5664,4449,14288,10599,332,62518
SOSR514,546,1090,529,320,664,261,6,3414,396,832,539,452,764,213,0,3198,178,288,214,241,502,159,3,1591,67,75,46,35,224,109,0,561,4082,6019,2795,2359,4894,1924,77,22147
SOSR515,2213,3837,1817,1215,2874,1337,34,13327,1514,2819,1821,1655,3089,1031,28,11946,571,1115,789,768,1784,659,8,5698,211,221,167,144,806,349,4,1904,14528,20569,9414,7846,18451,9500,480,80781
SOSR521,1088,1709,763,578,1345,839,8,6325,622,1211,754,828,1368,661,9,5446,248,437,322,341,783,375,0,2507,80,100,66,50,339,101,0,738,5917,8244,3842,3459,7701,5063,118,34335
SOSR522,605,1037,474,321,764,433,0,3646,438,756,517,393,833,452,5,3386,153,259,198,233,438,215,0,1481,35,49,22,38,141,87,0,373,3781,4974,2418,1965,4353,2492,79,20052
SOSR531,5017,9177,4564,3357,6607,4954,75,33753,3047,5563,3826,3563,5304,2478,40,23823,1043,1702,1289,1333,2346,948,12,8679,244,322,163,139,625,163,5,1662,29247,40235,19337,16166,36779,32078,733,174575
SOSR579,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
SOSR603,4104,8076,3362,1684,4412,891,56,22581,2524,5673,3637,2246,4858,932,44,19915,1306,2664,1700,1313,3955,812,14,11761,587,755,367,280,2410,456,7,4857,35135,48372,19773,11963,40907,8503,456,165114
SOSR611,1652,3158,1310,677,2187,398,8,9388,947,2017,1417,947,2373,433,15,8144,502,1014,688,608,2044,368,3,5220,200,312,158,113,1176,220,3,2182,13345,18491,7859,5302,18587,3697,159,67450
SOSR612,944,1766,809,476,1461,284,6,5738,515,1160,872,673,1614,278,7,5119,297,542,420,402,1268,296,6,3226,125,151,103,68,657,152,0,1256,6725,9617,4449,3370,10444,2167,69,36845
SOSR613,293,612,299,139,411,62,0,1823,199,388,306,270,485,96,0,1740,96,214,143,161,468,92,0,1183,52,68,25,29,253,47,0,461,1877,2871,1413,1012,2776,579,6,10535
SOSR614,372,742,339,227,595,126,0,2402,222,475,330,277,643,131,0,2085,127,213,148,167,449,73,0,1177,38,54,23,28,182,43,0,361,2455,3539,1760,1375,3518,876,8,13527
SOSR615,1405,2679,1320,919,1962,416,9,8710,986,2084,1489,1224,2532,509,8,8829,508,934,678,703,1961,468,3,5258,180,231,133,96,1002,279,7,1930,9621,14196,7006,5352,13643,3216,109,53136
SOSR621,549,1099,585,352,737,200,3,3527,325,844,604,458,769,201,5,3208,165,300,235,261,572,163,0,1699,43,61,38,36,240,46,0,463,3262,5142,2612,1957,4181,1215,55,18429
SOSR622,253,510,279,204,295,96,0,1636,146,395,298,266,354,115,0,1575,54,147,109,109,223,89,0,732,15,21,14,11,100,71,0,235,1315,2151,1187,970,1594,615,7,7841
SOSR631,2791,5984,3326,2246,3015,1041,15,18414,1583,3639,2833,2405,2947,905,3,14315,584,1117,886,964,1592,492,3,5638,167,186,108,105,451,138,4,1154,16005,25568,13672,10398,16583,5752,124,88099
SOSR679,7,15,3,3,16,25,0,77,3,13,0,0,7,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,53,20,13,125,116,13,374
SOSR703,2603,4428,1667,891,3247,1877,144,14864,1591,2658,1364,826,2917,1281,77,10705,507,785,434,273,1304,468,24,3789,103,117,38,30,388,134,6,809,21841,28699,10367,6660,27433,13847,2519,111361
SOSR712,666,1047,359,156,856,403,21,3507,329,615,271,167,620,325,7,2328,101,155,74,56,236,91,8,715,23,17,4,7,93,28,0,180,4732,5810,2083,1354,5786,2371,96,22232
SOSR714,148,213,87,50,249,174,13,935,100,125,69,32,180,85,0,598,27,21,9,12,79,28,0,178,3,3,0,0,27,5,0,32,1105,1268,510,293,1488,1017,29,5716
SOSR715,386,422,157,81,356,211,8,1622,140,169,65,30,200,92,3,698,22,34,14,6,66,24,0,165,10,4,0,5,9,0,0,27,3444,3675,1371,852,2849,1596,43,13831
SOSR721,318,471,166,96,324,186,7,1572,140,200,93,58,234,120,5,851,35,34,14,13,68,25,0,189,11,0,0,0,12,0,0,24,2650,2960,1290,808,2137,1021,65,10920
SOSR722,349,410,180,96,364,234,4,1636,211,268,142,88,384,208,0,1302,39,33,28,23,125,39,0,281,4,4,0,0,24,0,0,34,2650,2442,1324,725,2215,1214,17,10585
SOSR731,1146,1852,820,535,1490,1211,22,7082,783,1333,709,502,1488,933,14,5758,166,259,153,138,429,228,0,1379,23,26,9,12,61,20,0,145,6816,9315,4151,2802,7787,7508,343,38714
SOSR779,4,6,4,0,54,34,0,106,0,0,0,0,20,11,0,40,0,0,0,0,6,3,0,10,0,0,0,0,0,0,0,0,22,44,12,9,237,155,17,494
SOSR802,8245,17506,7434,3303,6630,1489,179,44784,4725,11543,6926,3767,6446,1346,153,34910,2496,5112,3263,2196,4854,1077,49,19045,1017,1314,679,434,2991,757,7,7199,85237,121957,46584,24414,73488,16981,1016,369675
SOSR822,22,24,13,4,3,4,0,69,6,19,11,11,0,10,0,62,4,7,5,0,7,4,0,33,0,4,0,0,0,0,0,6,117,164,66,35,64,22,0,479
SOSR831,13,29,12,4,3,15,0,74,4,13,9,14,9,8,0,58,0,0,4,0,4,0,0,9,0,0,0,0,0,0,0,7,112,134,65,30,124,88,0,553
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,37,56,26,21,36,46,0,227,20,34,19,9,54,33,0,175,6,6,6,8,8,3,0,36,0,0,0,0,0,0,0,4,211,265,119,74,301,349,6,1332
SOSR921,68,133,58,30,53,36,0,380,25,90,41,45,47,30,0,281,7,37,9,17,51,24,0,139,7,8,5,3,15,0,0,37,255,477,231,156,263,185,8,1578
SOSR922,19,43,12,5,36,49,0,164,13,16,9,6,24,28,0,92,9,4,0,3,12,16,0,45,0,0,0,0,8,3,0,10,116,153,47,41,300,162,3,828
SOSR931,15,33,18,6,20,23,0,120,11,28,17,19,17,19,0,120,8,16,4,8,19,14,0,69,5,0,0,6,0,0,0,10,128,182,69,69,104,333,5,893
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
