SOSR_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOSR703,26172,78469,2960,5820,2391,5310,5349,11126,4424,8911,2143,4491,3581,7546,2959,5917,33,53,13137,26926,1429,3155,323,670,276,424,18,45,2047,4296,357,627,47064,121440,4217,..,51284,121440
SOSR712,5704,16603,1780,3698,909,1944,2694,5638,383,620,31,48,0,0,0,0,7,24,428,696,684,1360,53,81,31,40,20,31,791,1514,270,493,9878,24943,1146,..,11030,24943
SOSR714,1528,4477,352,694,168,352,518,1049,61,124,0,3,8,3,0,0,0,0,62,132,128,241,0,0,66,74,0,12,194,325,93,161,2392,6140,370,..,2760,6140
SOSR715,3504,15128,344,1143,50,74,387,1215,152,264,26,49,10,38,0,0,6,20,208,374,53,102,27,49,11,75,11,24,108,256,59,109,4265,17075,633,..,4894,17075
SOSR721,2357,9802,704,1651,9,12,715,1662,261,457,0,0,0,0,0,0,0,0,261,457,310,662,25,39,53,96,3,17,392,810,133,215,3855,12942,761,..,4621,12942
SOSR722,2603,10451,209,633,3,12,216,646,52,173,0,0,0,0,0,0,3,18,63,186,574,1214,55,112,17,45,10,13,661,1382,177,337,3713,13008,645,..,4359,13008
SOSR731,9652,29999,93,267,8,40,103,303,33,104,0,0,0,0,0,0,9,18,46,120,2571,5336,285,515,585,1190,20,34,3462,7081,942,1778,14198,39290,2631,..,16834,39290
SOSR779,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,7,12,0,..,7,12
SOSR802,108743,309603,14308,28101,15821,36409,30126,64506,6015,10877,8201,15003,13663,23839,6695,11796,519,1036,35098,62550,64,103,239,381,58,56,10,29,365,566,254,515,174586,437742,11952,..,186537,437742
SOSR822,193,588,13,16,3,3,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,614,15,..,223,614
SOSR831,156,456,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,176,503,25,..,203,503
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR915,223,580,92,227,17,34,106,268,94,151,54,155,9,20,0,0,0,0,152,329,0,0,0,0,0,0,0,0,3,3,6,11,497,1186,109,..,605,1186
SOSR921,791,1622,10,21,4,3,14,19,9,9,0,0,0,0,0,0,8,12,16,22,0,0,0,0,0,0,0,0,0,0,15,22,839,1692,163,..,994,1692
SOSR922,201,693,0,0,0,0,0,0,6,4,0,0,0,0,0,0,4,3,6,8,0,0,0,0,0,0,0,6,0,6,13,20,215,728,29,..,245,728
SOSR931,250,601,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,0,0,5,10,4,11,256,617,31,..,285,617
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
