SOSR_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SOSR715,165,6,0,31,11,208,135,0,0,6,0,145,95,41,13,6,0,147,1024,97,40,0,5,1168,521,58,11,0,4,593,76,11,7,4,0,102,577,69,32,17,9,703,30,9,0,0,0,39,2320,271,106,30,20,2747,554,74,50,19,24,711,333,30,49,24,18,456,3504,387,208,108,59,4265
SOSR721,132,11,0,194,19,358,202,11,0,17,4,232,33,14,4,0,0,49,771,162,12,3,7,951,321,70,18,6,3,421,28,12,3,12,6,68,363,259,111,77,50,850,9,7,0,0,0,19,1529,518,156,94,66,2355,313,76,34,22,25,471,180,101,68,66,14,438,2357,715,261,392,133,3855
SOSR722,231,0,0,364,49,639,200,3,0,34,3,249,23,0,0,0,0,28,1063,97,32,0,7,1200,312,44,7,9,4,377,86,3,3,25,6,117,157,9,4,71,37,280,18,0,0,0,0,17,1661,162,47,106,59,2022,285,20,7,51,27,387,226,23,9,114,38,413,2603,216,63,661,177,3713
SOSR731,2256,9,3,1812,335,4416,3348,5,0,132,37,3524,297,0,0,22,13,324,422,26,12,13,9,475,373,8,10,9,4,409,568,12,7,140,55,781,411,21,3,452,197,1076,37,0,0,5,0,42,2106,61,26,640,282,3111,798,16,5,212,98,1135,1139,10,10,659,198,2014,9652,103,46,3462,942,14198
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,7
SOSR802,34959,5879,4088,102,30,45066,48869,9889,9102,7,31,67896,9459,6290,13215,0,49,29012,4432,2727,1447,18,10,8639,394,324,299,0,8,1027,4846,2385,3480,9,42,10766,1676,480,591,40,30,2824,112,54,52,0,0,213,20922,12265,19090,67,134,52476,1054,843,843,4,20,2770,2940,1253,1972,182,25,6378,108743,30126,35098,365,254,174586
SOSR822,66,4,0,0,0,66,102,0,0,0,0,102,13,6,0,0,0,9,3,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,27,3,0,0,0,0,3,9,0,0,0,0,9,193,14,0,0,0,212
SOSR831,35,0,0,0,0,37,32,0,0,0,0,32,3,0,0,0,0,8,9,0,0,0,0,9,0,0,0,0,0,0,23,0,0,0,4,27,19,0,0,0,14,25,0,0,0,0,0,0,48,0,0,0,16,65,12,0,0,0,0,17,29,0,0,0,0,29,156,0,0,0,19,176
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,63,25,24,0,0,109,40,12,6,0,0,63,0,0,0,0,0,0,7,31,49,0,0,86,0,0,3,0,0,5,26,19,12,0,0,65,29,9,17,0,0,54,0,0,0,0,0,0,66,56,89,0,0,213,32,7,11,0,3,52,18,9,24,0,0,59,223,106,152,3,6,497
SOSR921,291,0,0,0,0,296,177,5,0,0,3,183,81,4,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,112,4,5,0,0,121,22,0,0,0,0,18,0,0,0,0,0,0,210,9,8,0,4,226,31,0,0,0,0,28,84,4,3,0,3,99,791,14,16,0,15,839
SOSR922,13,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,17,44,0,0,0,0,47,9,0,0,0,0,9,3,0,0,0,3,11,32,0,0,0,3,37,0,0,0,0,0,0,112,0,0,0,8,118,29,0,0,0,0,25,50,0,0,0,4,48,201,0,6,0,13,215
SOSR931,81,0,0,0,3,91,44,0,0,0,0,44,16,0,0,0,0,16,0,0,0,0,0,0,28,0,0,0,0,28,26,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,67,0,0,0,3,71,13,0,0,0,0,14,46,0,0,0,0,46,250,0,0,5,4,256
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
