SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR179,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,18,0,0,0,0,0,0,11,3,18,0,0,0,0,3,3,31,4,38
SOSR201,83335,103619,186949,105833,133858,239692,1782,1862,3646,27241,31082,58324,799,809,1616,445971,500833,946806,2818,3543,6358,97089,103640,200727,4291,5530,9820,4165,4523,8684,4858,6197,11055,8678,9081,17757,8199,9454,17649,18629,21713,40342,22288,26493,48779,1710,2419,4135,3374,3944,7317,30476,42782,73260,56925,66348,123273,1458,1717,3174,846605,975815,1822419,105772,92236,198012,130426,121260,251683,21579,23448,45036,86,99,190,42267,36343,78604,7882,9496,17383,50235,45937,96173,851069,808859,1659929,7658,6126,13778,2978,4909,7889,861708,819891,1681599,145114,134077,279189,5196,5651,10845,2249962,2321946,4571908
SOSR203,1867,2404,4273,13104,17244,30348,3,0,4,2896,3404,6303,276,272,550,37064,44078,81144,462,647,1109,1850,1905,3757,440,594,1037,195,261,462,841,1033,1879,179,161,341,392,484,873,1313,1618,2930,2961,3793,6753,274,426,700,286,342,629,6238,9162,15404,3961,4860,8824,85,116,204,72828,90406,163233,3098,2225,5320,2804,2211,5011,121,109,234,27,11,41,1369,1168,2535,520,813,1332,1917,1998,3913,88879,86857,175743,670,511,1181,242,455,694,89799,87819,177615,12615,12080,24694,192,191,386,185240,199444,384686
SOSR211,663,884,1543,3656,4650,8306,12,8,20,905,1003,1907,85,74,165,11777,13175,24958,25,27,47,824,822,1644,254,319,572,296,283,584,323,368,696,251,252,503,306,330,635,625,761,1385,639,795,1433,57,103,160,130,193,320,1002,1390,2391,1985,2217,4203,33,41,71,23177,26818,49995,1899,1729,3621,2222,2257,4478,29,23,48,7,3,8,2448,2206,4661,154,213,362,2611,2426,5035,20391,19211,39603,133,111,244,79,100,174,20600,19419,40019,4470,4346,8819,72,114,179,55734,58008,113743
SOSR212,1319,1612,2939,9709,12839,22553,0,0,0,1283,1484,2762,191,185,377,27944,32352,60291,214,291,509,1262,1242,2503,328,481,805,206,224,432,518,688,1205,91,79,173,310,351,660,917,1071,1982,2314,2950,5262,158,252,409,214,268,483,3775,5622,9402,2489,2978,5465,57,76,125,51970,63417,115389,1325,1177,2502,3107,2824,5929,86,84,171,11,18,31,1287,1159,2450,277,387,662,1574,1568,3138,58075,55571,113645,332,282,612,134,280,415,58543,56135,114672,9493,9333,18830,182,180,369,127610,136332,263938
SOSR213,799,1187,1981,10617,13818,24434,5,9,10,1345,1535,2887,363,371,730,22940,26378,49318,263,362,625,847,877,1724,371,494,859,170,182,350,879,1166,2049,30,36,65,407,466,873,903,1122,2026,2493,2960,5456,237,348,590,163,214,382,4086,5982,10069,2418,2962,5386,61,66,120,48604,59347,107949,958,883,1841,1120,922,2047,64,77,140,16,13,27,793,714,1508,300,488,785,1109,1207,2325,57419,55300,112717,379,307,686,144,286,426,57948,55885,113829,9088,8511,17598,142,105,247,119833,128138,247964
SOSR214,465,702,1167,6706,8642,15349,8,4,13,718,863,1584,125,127,255,13425,15342,28764,83,122,203,566,564,1131,181,282,463,63,77,146,437,560,999,40,25,64,163,191,355,471,539,1011,1615,1898,3510,145,234,377,71,117,184,2850,3979,6826,1252,1503,2761,34,38,72,28952,35110,64062,521,438,956,390,305,697,34,44,76,15,4,24,348,337,684,172,254,427,539,597,1137,32842,31475,64318,216,162,379,97,196,294,33153,31836,64991,5520,5506,11028,64,69,134,69636,74611,144245
SOSR215,781,1026,1810,10603,13411,24007,6,6,12,1042,1184,2232,119,107,226,18933,21674,40609,146,207,354,602,608,1219,265,332,596,149,158,301,483,656,1147,26,18,48,261,299,556,649,747,1389,2257,2615,4876,165,237,393,244,276,520,4136,5701,9835,1923,2192,4111,60,68,129,42060,50501,92564,430,398,832,470,390,863,73,75,148,12,7,14,311,287,602,294,447,742,613,742,1356,54926,51528,106453,334,282,620,148,302,452,55413,52119,107531,8995,8773,17767,122,92,215,108961,114116,223077
SOSR221,183,267,448,3031,3486,6511,0,0,0,307,339,644,14,13,32,5035,5477,10515,46,59,101,181,159,340,69,89,158,33,32,66,146,207,349,7,6,18,64,58,118,158,185,339,674,694,1369,36,52,86,55,62,107,1294,1668,2961,575,678,1248,24,38,63,11736,13291,25032,84,83,167,129,74,206,24,20,40,0,11,9,30,19,49,66,127,195,97,155,253,15381,14183,29566,112,92,202,44,85,130,15531,14361,29892,2582,2410,4991,22,19,43,30390,30681,61068
SOSR222,120,156,275,1777,2010,3792,0,0,0,139,156,293,0,0,0,2760,3078,5839,27,39,66,102,87,192,28,39,70,13,16,29,154,158,315,0,0,4,40,42,86,67,72,144,373,377,749,18,28,45,19,34,56,675,889,1568,306,334,636,14,15,26,6516,7383,13901,25,34,55,47,43,93,31,31,64,4,0,7,11,13,21,54,72,126,68,87,151,9392,8541,17935,68,61,124,35,65,100,9497,8666,18165,2057,1870,3926,61,51,108,18425,18313,36743
SOSR231,1166,1562,2733,21257,23096,44362,3,8,9,2191,2367,4559,110,124,236,40218,39961,80177,381,435,812,1707,1505,3214,481,579,1063,193,192,384,1518,1637,3153,42,31,72,498,505,1000,1327,1395,2714,4646,4602,9245,240,282,521,435,453,886,10404,11357,21760,4356,4694,9052,164,171,338,90171,93383,183547,357,284,637,1047,865,1908,180,182,357,23,14,35,357,266,629,422,695,1115,797,978,1779,100206,88960,189155,601,462,1062,252,384,637,101055,89802,190857,24109,18655,42762,221,166,391,219099,205879,424976
SOSR279,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,34,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,11,0,3,3,0,0,0,64,13,78,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,80,8,90,4,0,4,0,0,0,87,8,94,337,49,387,0,0,0,493,72,565
SOSR301,19158,26699,45855,95935,116181,212118,20,30,51,21552,24231,45788,547,550,1105,199811,230228,430041,1160,1462,2621,11121,11714,22838,4234,5429,9664,6012,6549,12563,6873,8891,15765,1438,1457,2896,5948,6715,12665,14499,17351,31848,20408,23298,43699,1586,2137,3722,3711,4478,8187,30010,40664,70676,33492,39462,72953,1988,2269,4258,460353,543093,1003451,25956,24079,50037,23655,22309,45961,1068,1083,2152,116,144,255,10559,9229,19783,4135,5462,9598,14801,14835,29634,487705,453894,941599,4342,3455,7794,1659,2822,4479,493706,460170,953877,76018,69521,145536,2727,2669,5401,1117451,1164455,2281905
SOSR302,4475,7117,11590,48611,60596,109209,14,10,27,5497,6217,11714,58,50,111,73697,87701,161396,524,663,1185,3457,3807,7263,1846,2369,4213,1620,1686,3312,2620,3352,5974,384,357,737,1485,1711,3196,5403,6553,11954,8253,9890,18139,453,587,1038,715,891,1606,11784,16152,27935,12445,15152,27599,481,528,1009,179333,218274,397613,4655,4162,8811,3529,3273,6800,914,961,1878,29,26,55,1858,1526,3380,1194,1761,2957,3078,3317,6397,200240,192813,393047,1407,1028,2440,829,1566,2398,202484,195408,397894,33601,33940,67536,1420,1322,2743,433482,467771,901259
SOSR303,2154,3214,5369,22320,27310,49632,3,0,4,2431,2799,5227,158,145,310,42166,49462,91623,496,684,1180,988,1062,2042,810,1164,1978,398,490,887,1863,2412,4269,188,193,378,868,1053,1920,2926,3587,6513,4540,5271,9807,341,463,803,748,935,1677,6110,8387,14498,6397,7753,14150,216,271,488,93956,113434,207389,2549,2371,4922,1631,1521,3151,147,159,310,40,61,106,996,870,1868,1865,2154,4015,2899,3089,5986,88149,81864,170014,662,510,1173,310,445,751,89119,82824,171943,22164,19415,41578,808,580,1392,215432,226611,442042
SOSR311,895,1348,2249,15083,18370,33458,0,0,0,1976,2437,4413,123,122,245,23336,27515,50851,167,204,369,222,241,467,538,793,1337,275,299,573,1140,1456,2592,41,46,87,544,594,1130,1462,1822,3287,2955,3286,6244,287,421,705,412,543,961,5630,7670,13306,3245,3697,6941,209,232,442,57659,69748,127410,1069,950,2017,709,579,1284,34,50,86,17,9,26,265,224,490,288,537,820,568,777,1339,51548,47569,99115,310,232,544,171,235,404,52028,48032,100053,10525,9875,20399,227,261,485,123709,131625,255327
SOSR312,300,509,811,6004,7156,13156,0,0,0,903,988,1894,90,106,194,7348,8383,15731,121,147,259,120,140,264,268,359,623,121,131,260,404,548,950,10,8,14,283,282,561,658,807,1461,1229,1383,2608,96,151,244,66,110,170,1752,2437,4196,1284,1552,2841,58,51,116,20812,24738,45546,293,279,570,183,163,346,15,23,38,4,7,8,73,64,129,121,207,331,195,275,478,21979,20481,42457,148,116,266,89,151,242,22220,20746,42968,3905,3566,7471,59,41,104,47989,50344,98334
SOSR313,428,664,1088,9367,11419,20784,0,4,4,1313,1473,2787,161,148,306,14639,16783,31419,155,177,338,176,159,338,449,631,1080,297,321,617,899,1130,2033,15,15,26,384,457,844,1072,1204,2274,2045,2213,4256,164,234,405,232,289,518,3268,4415,7683,2635,3003,5638,92,95,185,37357,44178,81531,363,354,716,284,263,546,39,27,67,20,19,35,182,174,361,174,343,520,370,540,911,34667,32001,66668,217,156,375,125,189,315,35011,32343,67360,7890,6596,14487,358,231,586,82104,85185,167291
SOSR314,461,772,1226,10179,11689,21869,0,0,4,1261,1356,2621,17,22,45,14830,16853,31679,121,177,300,247,284,526,458,616,1072,191,233,421,802,970,1767,24,21,45,252,279,530,1115,1287,2403,2048,2185,4231,144,203,347,351,407,757,3122,3901,7025,2174,2462,4641,193,168,358,37520,43117,80642,487,402,893,557,419,980,30,38,67,7,4,13,485,398,885,227,342,571,720,749,1473,35395,32229,67623,211,179,382,131,219,359,35737,32625,68366,10464,7966,18435,749,282,1030,86732,86369,173101
SOSR315,673,1034,1706,17584,19780,37368,0,0,0,1828,2096,3925,212,241,450,22341,24705,47046,217,280,499,297,301,602,626,851,1473,222,247,471,1659,1956,3615,14,17,27,613,627,1242,1424,1713,3133,2836,2942,5781,227,317,546,412,535,949,5606,6863,12470,3213,3650,6863,251,314,570,59588,67429,127024,373,331,703,234,189,424,77,70,144,175,172,345,148,123,272,358,560,917,683,854,1531,54665,49797,104464,356,299,653,180,341,520,55200,50436,105636,17796,12505,30305,560,346,911,135183,133201,268382
SOSR321,245,414,656,7578,8335,15915,0,4,4,609,707,1314,38,39,75,7859,8677,16544,90,115,207,93,101,198,269,359,629,81,109,192,908,961,1869,3,3,6,275,278,559,532,609,1141,1182,1131,2308,131,163,286,158,202,358,2058,2554,4615,1256,1399,2648,103,103,207,23224,25846,49068,111,106,217,89,73,161,26,26,49,31,24,53,47,39,88,132,232,357,207,296,500,20735,18331,39066,138,107,251,96,122,218,20977,18566,39531,6053,4638,10695,178,125,301,51089,50081,101173
SOSR322,94,157,249,3931,4129,8064,0,0,0,261,291,555,9,8,10,4033,4196,8222,25,41,68,63,57,127,94,136,228,23,29,55,377,438,811,4,6,9,69,78,143,570,669,1241,609,546,1157,50,56,110,74,90,168,1137,1251,2386,576,628,1196,44,43,91,11951,12698,24646,39,31,63,26,27,49,8,16,22,16,11,23,13,21,32,53,90,142,79,121,206,9094,7717,16811,57,46,102,62,68,129,9213,7833,17041,3040,2567,5605,108,52,159,24545,23504,48051
SOSR331,1282,1847,3131,32895,34122,67024,3,5,3,3527,3563,7087,107,108,218,42636,41423,84055,463,493,960,512,465,975,1206,1417,2617,434,438,874,4083,4059,8142,19,12,30,899,836,1734,2303,2489,4785,6215,5591,11812,418,481,897,938,1017,1953,11586,12594,24182,7473,7564,15040,617,652,1275,116346,117323,233671,355,275,629,405,329,733,126,126,252,37,12,46,201,186,388,615,922,1543,851,1122,1973,91825,78070,169895,616,513,1128,359,559,921,92797,79141,171938,35222,24076,59303,1207,563,1770,248595,224806,473398
SOSR379,0,0,0,15,0,14,0,0,0,3,0,3,0,0,0,33,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,57,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,16,67,0,0,0,0,0,0,49,16,62,195,32,226,17,10,24,317,65,385
SOSR401,13158,16814,29971,36821,47355,84176,8,3,11,8846,10265,19111,229,251,478,98255,114200,212456,945,1396,2338,18703,19985,38691,1693,2205,3898,943,1069,2014,7575,9940,17513,972,949,1923,2169,2588,4756,6417,7655,14070,3487,4149,7639,741,1090,1831,873,1066,1937,19111,27493,46596,15072,18038,33108,1204,1345,2552,224068,271039,495106,19442,17162,36595,20183,18017,38198,446,497,946,65,55,119,8503,7379,15876,2901,3674,6580,11470,11105,22580,278378,262349,540725,2302,1668,3968,924,1566,2491,281603,265582,547188,34322,31977,66301,1146,1218,2365,605836,633417,1239255
SOSR412,257,364,617,3306,4183,7492,0,0,0,821,965,1792,98,105,201,5710,7034,12742,96,114,206,288,269,561,176,237,416,98,112,206,1217,1542,2757,24,18,47,151,164,324,609,699,1304,642,807,1450,121,155,277,57,87,146,1765,2630,4396,1134,1327,2464,69,98,166,16399,20550,36947,244,196,441,203,166,373,21,10,32,4,3,5,99,88,187,160,278,438,260,365,627,26394,24750,51144,163,123,285,78,136,214,26639,25003,51641,3272,3051,6327,50,42,88,47341,49754,97091
SOSR413,220,341,562,3311,4107,7418,0,0,0,575,664,1239,16,28,48,5322,6328,11654,107,173,276,205,213,418,199,312,506,52,53,108,1130,1532,2665,12,7,18,145,140,285,536,690,1227,342,369,713,104,164,271,93,109,205,2335,3335,5669,1108,1273,2379,100,105,205,15697,19598,35300,166,134,301,183,167,356,36,28,65,14,14,25,142,125,264,107,187,289,259,323,582,23096,22062,45152,134,114,252,71,133,210,23301,22313,45618,4500,3201,7701,61,48,112,44438,46159,90590
SOSR414,130,183,311,1189,1547,2736,0,0,0,189,192,380,0,0,0,1225,1574,2803,57,80,136,36,47,88,80,104,178,29,33,69,889,1124,2013,3,4,9,58,49,106,222,268,494,183,189,371,19,26,45,18,32,49,975,1365,2336,388,470,860,44,51,99,5603,7157,12762,32,14,50,211,114,327,3,7,14,0,0,0,7,9,11,34,71,100,41,76,115,7867,7564,15428,51,53,100,27,53,85,7947,7674,15622,986,1016,1998,22,14,38,14971,16253,31230
SOSR415,344,490,833,4270,5315,9591,0,0,0,524,619,1147,15,8,24,6271,7211,13481,154,238,391,677,588,1263,173,249,421,64,67,133,2914,3688,6602,7,0,9,197,182,374,517,654,1172,461,484,944,100,129,229,107,126,232,3753,5099,8855,1294,1447,2743,100,100,192,21601,26197,47797,206,172,377,327,197,523,11,15,30,12,20,34,309,279,592,122,213,328,453,507,952,29470,27176,56648,191,137,333,78,128,201,29736,27438,57178,4731,4360,9093,485,91,572,57885,59466,117352
SOSR421,57,99,158,1242,1463,2711,0,0,0,179,198,379,0,3,3,1571,1800,3372,22,21,43,37,35,72,48,69,117,22,29,47,673,830,1505,0,0,3,47,62,109,130,165,295,144,135,279,18,21,38,21,33,58,1466,1828,3295,387,409,805,38,35,73,6059,7154,13210,34,32,61,41,37,73,0,3,9,16,13,28,17,10,28,34,67,101,69,92,160,8038,7297,15339,50,40,84,18,48,70,8110,7388,15493,1470,1368,2841,13,16,20,15842,16179,32026
SOSR422,45,57,110,737,786,1523,0,0,0,120,128,250,7,9,9,968,992,1960,14,18,31,31,20,52,19,38,58,9,15,21,445,470,919,0,0,0,25,20,45,61,71,131,92,83,172,13,14,24,13,14,24,746,935,1683,308,318,626,10,13,21,3614,3939,7555,36,12,50,16,15,35,5,4,4,72,73,141,0,0,0,27,42,61,100,112,211,5039,4331,9370,24,19,42,20,27,47,5087,4378,9464,1169,1046,2219,9,5,18,10095,9562,19658
