SOSR_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,12580,3298,5178,620,21676,3725,782,1403,204,6112,2650,1372,2844,256,7121,2042,1247,4056,200,7544,10046,2961,6721,535,20262,7050,4380,10158,562,22146,37085,8813,12515,1114,59522,25083,13218,16851,1932,57085,28186,21876,18640,2057,70755,33285,30423,17479,2521,83704,20457,29632,13539,1675,65312,23526,31838,11528,1635,68523,52954,76488,19902,3039,152383,41166,65634,9165,1894,117860,31695,59894,6326,1146,99054,21455,41589,2712,617,66374,54142,146656,7689,1099,209595,13630,33514,11755,678,59573,6196,4676,2648,363,13888,426935,578308,181096,22149,1208493
SOSR203,536,98,216,26,868,259,32,90,9,400,173,58,190,22,446,137,47,388,9,584,887,113,872,42,1919,695,202,1581,54,2533,4480,492,1796,114,6873,3106,826,2353,200,6489,3413,1502,2341,207,7454,3920,2431,2035,224,8615,2257,2364,1422,140,6177,2514,2653,1064,100,6332,5170,6330,1672,228,13394,3549,5393,659,123,9721,2477,4801,401,52,7731,1377,2996,159,25,4568,2602,7075,336,40,10047,1350,2626,1184,73,5232,646,272,300,45,1259,39549,40318,19064,1704,100639
SOSR211,233,75,122,6,435,60,18,33,0,119,54,33,87,0,176,49,21,166,0,237,194,67,346,18,625,168,119,582,15,883,1104,267,643,32,2052,710,473,787,51,2017,751,747,767,42,2309,903,1162,654,54,2777,585,1072,398,34,2093,634,1168,332,36,2166,1462,2484,509,68,4513,908,1782,204,40,2939,496,1129,122,19,1763,232,707,41,12,998,365,1213,73,11,1661,349,844,318,16,1536,176,114,116,14,417,9440,13499,6300,471,29716
SOSR212,532,123,160,5,815,200,27,61,10,294,130,39,149,9,325,109,41,282,12,436,706,102,543,26,1380,483,150,960,25,1610,3087,317,1114,60,4582,2184,511,1444,122,4265,2411,968,1466,116,4972,2731,1604,1232,121,5686,1390,1726,954,74,4147,1722,1813,751,73,4356,3544,4699,1065,126,9436,2505,4095,457,54,7116,1697,3363,287,27,5377,925,2176,98,14,3213,2042,5158,222,30,7454,989,2124,857,36,4009,516,251,231,26,1019,27903,29278,12349,963,70491
SOSR213,523,84,151,15,765,219,16,55,11,300,149,35,149,13,342,129,23,296,11,464,821,93,580,27,1517,589,149,1046,24,1808,3710,327,1216,69,5322,2534,560,1576,129,4795,2615,1028,1462,114,5222,2813,1688,1208,98,5805,1462,1789,864,68,4185,1686,1970,606,65,4324,3465,4477,977,94,9006,2160,3590,391,57,6195,1451,2809,206,32,4492,716,1634,84,8,2437,1403,3443,190,26,5056,1063,1964,801,32,3859,616,210,221,26,1071,28131,25875,12075,906,66984
SOSR214,371,30,81,9,490,194,15,31,0,243,97,16,82,3,193,119,21,169,0,312,602,50,329,16,990,402,76,613,27,1117,2818,209,708,38,3767,1814,301,825,73,3014,1828,616,834,72,3347,1850,938,690,59,3544,927,961,464,36,2390,1115,1053,355,31,2555,1951,2232,492,64,4736,1229,1811,205,21,3271,807,1353,91,14,2263,421,819,49,3,1299,811,1467,104,8,2385,704,1118,467,28,2310,426,143,131,24,719,18492,13217,6722,519,38951
SOSR215,413,75,125,5,622,259,20,43,8,333,161,33,116,10,318,107,22,254,15,399,776,59,493,17,1339,548,100,793,19,1462,3726,294,975,55,5050,2524,482,1194,111,4315,2563,955,1131,109,4757,2756,1521,947,87,5308,1378,1559,615,59,3606,1619,1760,469,66,3920,3179,3875,704,66,7820,1967,3075,280,46,5364,1355,2269,166,13,3803,640,1474,63,19,2194,1446,2973,140,14,4577,1062,1847,731,56,3698,617,231,234,44,1121,27098,22618,9482,813,60017
SOSR221,143,12,30,0,182,68,8,11,0,87,61,12,30,5,104,48,5,48,0,107,268,23,101,3,399,188,39,199,5,428,1147,73,213,16,1450,721,145,293,28,1193,743,242,278,26,1292,801,456,222,20,1498,440,438,140,14,1040,496,452,109,11,1066,867,1024,161,19,2063,563,811,61,9,1449,354,626,31,0,1015,172,389,8,0,571,402,789,30,9,1236,291,577,181,15,1060,212,58,49,6,328,7997,6185,2210,192,16577
SOSR222,82,12,17,5,113,30,8,12,0,49,25,3,13,0,45,26,6,33,3,62,133,15,59,3,212,79,20,100,0,204,623,41,151,3,822,367,91,166,19,644,358,140,141,15,652,458,209,110,10,779,221,260,91,10,577,241,237,66,4,544,481,561,105,11,1155,279,424,33,8,738,178,286,13,3,482,84,159,0,0,246,194,377,22,0,587,176,352,111,3,646,93,40,39,3,173,4130,3234,1276,108,8750
SOSR231,1190,228,215,18,1646,570,66,76,6,725,375,100,179,12,670,352,79,243,12,694,1724,206,502,46,2477,1156,305,808,24,2302,5686,670,897,58,7320,4259,1052,1235,146,6686,4907,1884,1257,143,8195,5329,2929,1041,112,9414,2788,2902,739,44,6475,3622,3272,642,65,7599,6679,7142,981,96,14902,4273,6030,453,60,10817,2977,4920,278,29,8209,1662,3261,137,19,5086,4608,8862,375,39,13883,2359,5192,1116,60,8723,1342,681,272,37,2335,55871,49784,11459,1045,118159
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,3930,921,1907,189,6941,1446,248,538,79,2315,1118,394,1179,125,2817,924,314,2002,80,3318,4333,882,3806,236,9261,3448,1419,6892,324,12080,18750,3111,8215,594,30669,13980,4898,10437,1127,30448,15810,8793,11514,1164,37284,18566,13506,10526,1319,43920,11839,13631,8121,881,34478,13628,14944,6634,877,36084,30597,36783,11254,1624,80254,22226,32079,4509,1003,59826,16370,29500,3039,566,49481,10531,21465,1175,281,33451,24705,66794,3464,435,95395,8832,18769,6397,393,34383,2299,1674,1328,152,5449,223328,270139,102931,11446,607846
SOSR302,1941,387,741,66,3123,785,113,211,24,1138,567,148,445,15,1173,477,146,689,14,1325,2371,300,1326,68,4066,1897,494,2685,93,5170,10239,1057,3378,187,14861,7540,1698,4489,336,14060,8592,3208,5148,392,17347,9741,5519,4396,426,20084,5642,5446,3260,280,14627,6666,6133,2590,281,15671,13550,14660,3903,441,32550,8639,12432,1594,223,22894,5807,10557,973,121,17452,3287,6883,342,61,10576,8526,18078,963,97,27661,4347,8322,2625,138,15432,1448,838,530,64,2870,102059,96409,40283,3329,242077
SOSR303,621,147,326,23,1121,271,32,111,14,424,203,62,262,31,557,182,36,477,15,715,851,162,914,46,1982,654,234,1649,66,2605,4023,577,1976,97,6676,2866,848,2519,203,6435,3289,1470,2688,230,7673,3968,2436,2342,260,9003,2535,2452,1767,159,6903,2985,2778,1395,169,7330,6351,6532,2009,281,15177,4311,5694,729,162,10890,3037,4565,421,62,8087,1666,3111,155,27,4956,3279,6720,418,50,10475,2669,4733,1445,104,8945,569,275,333,42,1214,44325,42877,21945,2024,111168
SOSR311,530,62,161,20,775,270,19,55,13,348,158,32,157,8,357,145,25,318,7,491,803,76,624,28,1528,597,108,1138,33,1872,4214,308,1276,69,5864,2538,513,1667,158,4871,2476,902,1660,142,5178,2626,1438,1276,148,5492,1379,1348,928,85,3743,1565,1504,685,84,3850,3137,3639,1006,124,7914,2077,3045,401,68,5588,1484,2587,228,21,4318,830,1665,73,11,2584,1714,3518,221,28,5482,1778,3354,857,63,6054,556,184,241,28,1021,28886,24320,12966,1147,67315
SOSR312,211,26,63,3,307,112,10,25,0,148,83,23,61,3,168,71,9,122,6,207,434,31,283,10,759,270,57,508,24,863,1978,156,607,22,2762,1269,237,668,61,2242,1211,442,668,54,2378,1188,664,528,45,2427,572,571,327,23,1496,642,641,266,27,1583,1277,1379,358,35,3040,814,1090,122,15,2051,607,851,59,14,1530,306,512,29,5,845,590,1097,70,7,1760,601,965,321,16,1903,214,87,92,0,397,12451,8847,5193,372,26863
SOSR313,285,35,115,10,446,142,8,29,9,187,88,17,114,9,226,75,12,199,10,293,444,50,385,23,902,335,65,769,21,1184,2162,204,866,48,3289,1324,316,1000,64,2706,1352,636,1026,71,3088,1570,997,757,63,3383,911,980,546,24,2466,1023,1076,437,41,2574,2120,2516,616,63,5321,1356,2071,231,42,3699,1028,1798,164,23,3009,586,1178,43,14,1824,1182,2422,126,21,3757,1106,2119,459,32,3717,290,144,141,7,589,17373,16650,8040,592,42655
SOSR314,272,58,112,9,442,134,20,30,0,190,80,24,108,11,219,84,21,177,3,287,470,59,371,11,906,313,78,652,22,1063,2310,186,743,41,3276,1333,336,916,86,2667,1355,632,938,76,3007,1566,1021,780,76,3444,913,1021,534,59,2526,1076,1157,406,41,2674,2297,2731,648,68,5745,1392,2280,258,39,3961,1069,1967,138,17,3193,530,1130,63,10,1730,1074,2495,124,17,3715,1035,1932,527,33,3520,354,205,167,19,739,17640,17343,7676,642,43309
SOSR315,537,71,161,19,786,276,26,65,10,379,169,51,191,16,430,181,31,319,8,533,985,121,644,30,1789,678,195,1029,38,1939,4723,438,1276,66,6511,2616,599,1515,143,4872,2438,1058,1426,128,5044,2688,1489,1065,89,5330,1423,1523,716,61,3723,1658,1626,544,49,3874,3165,3797,778,84,7823,2019,3042,277,44,5381,1400,2418,170,17,4005,789,1468,61,17,2329,1524,3030,164,28,4740,1706,3078,828,57,5669,607,284,269,35,1187,29585,24323,11487,936,66332
SOSR321,249,33,71,3,363,111,11,26,3,152,94,17,92,8,215,102,21,157,3,290,456,72,245,18,788,303,69,387,18,782,1869,181,411,33,2501,1106,269,506,56,1931,1014,443,465,39,1965,1111,596,352,42,2105,602,583,248,24,1460,673,614,199,20,1502,1239,1440,231,39,2946,731,1125,103,14,1973,569,889,66,3,1525,247,526,38,9,816,569,1064,64,9,1705,771,1240,389,18,2413,301,140,145,25,605,12104,9338,4196,395,26034
SOSR322,121,0,27,0,152,56,3,15,3,73,40,11,55,3,115,41,14,76,0,132,214,44,131,12,405,148,48,218,3,415,846,122,219,14,1196,503,128,266,35,925,532,232,227,25,1012,521,300,174,23,1014,278,232,94,8,610,343,219,77,7,644,555,466,94,12,1134,338,365,33,7,744,204,300,41,6,548,106,180,12,5,302,241,306,22,0,572,342,515,142,10,1015,183,62,63,5,311,5611,3543,1987,178,11311
SOSR331,1444,226,221,27,1918,719,74,90,22,906,411,131,235,14,793,368,70,368,15,819,1950,273,619,46,2885,1377,317,1094,36,2825,6996,780,1190,74,9035,4459,1144,1575,194,7370,4871,2013,1453,151,8481,5295,2958,1188,115,9555,2734,2886,849,75,6541,3488,3061,675,70,7298,6209,6857,1040,103,14206,4051,5673,466,46,10240,2937,4574,260,23,7802,1540,3049,120,5,4723,3966,7782,329,35,12113,3431,7031,1221,62,11743,1459,649,321,49,2483,57703,49545,13328,1162,121738
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,2135,483,1010,113,3752,849,144,317,57,1362,648,244,757,64,1710,480,242,1309,56,2086,2881,661,2370,175,6092,2293,978,4138,225,7632,13825,2081,4906,399,21212,10274,3364,6554,673,20859,11201,5870,6867,697,24629,12463,8591,5986,806,27849,7255,8251,4448,444,20399,7932,8938,3587,491,20940,16750,21262,5716,747,44483,11360,18143,2415,424,32340,7789,15064,1394,229,24483,4514,10087,579,107,15282,9587,26306,1389,143,37423,4782,10214,3961,191,19156,1424,777,660,83,2941,128448,141701,58358,6124,334633
SOSR412,128,27,53,5,208,70,10,27,0,107,48,13,62,3,124,41,7,132,4,185,280,51,259,15,602,201,40,450,28,716,1427,120,532,20,2097,985,177,633,49,1849,901,385,655,47,1985,1045,605,528,41,2216,556,620,353,17,1550,708,683,297,24,1709,1464,1761,429,39,3691,940,1461,182,21,2604,594,1103,92,12,1802,315,736,26,4,1073,439,1340,70,4,1851,498,984,387,5,1867,171,57,75,7,315,10806,10181,5230,352,26575
SOSR413,136,22,64,4,214,63,9,25,8,102,56,8,69,6,140,45,6,130,0,182,296,44,256,10,610,249,56,401,9,712,1716,149,464,34,2365,1138,180,567,53,1938,1205,385,550,53,2193,1260,548,434,46,2283,562,541,286,25,1409,599,538,213,20,1370,1163,1236,273,21,2693,718,995,109,11,1839,478,791,54,6,1316,221,529,25,8,785,587,1363,63,3,2024,563,941,320,21,1848,192,66,83,13,353,11251,8380,4390,357,24377
SOSR414,75,3,14,3,96,29,3,5,0,33,13,3,12,0,34,31,0,25,0,61,118,13,55,6,187,106,19,102,3,228,742,49,142,5,936,559,73,179,12,821,521,129,184,13,841,481,236,122,9,848,246,241,91,8,584,282,236,67,10,586,439,566,117,10,1136,266,400,35,0,697,179,247,18,5,448,62,151,12,0,217,132,252,8,5,405,200,319,112,3,633,89,9,9,6,111,4550,2949,1320,87,8911
SOSR415,238,18,41,0,305,140,14,22,0,174,76,13,68,0,167,67,12,123,8,205,445,41,262,14,761,309,69,466,14,855,2347,188,507,30,3070,1516,239,582,56,2397,1421,467,568,38,2493,1652,782,483,43,2953,733,746,313,20,1811,890,825,261,23,2001,1605,1841,306,49,3802,1002,1494,141,16,2652,724,1123,75,10,1929,326,723,14,9,1075,707,1339,50,9,2098,713,1180,373,21,2286,290,79,87,19,471,15208,11188,4748,382,31525
SOSR421,48,0,9,0,60,37,0,5,3,47,31,0,16,0,56,23,4,32,0,57,136,15,65,0,213,85,18,109,5,211,661,43,122,7,834,446,74,125,12,657,414,123,118,7,666,481,227,99,14,814,214,206,59,13,497,260,227,57,3,545,474,504,76,13,1061,275,375,35,0,693,200,287,10,0,496,84,177,3,0,262,142,301,16,0,463,226,387,113,9,728,76,31,27,3,140,4314,3007,1104,93,8517
SOSR422,53,4,6,0,65,18,5,6,0,27,16,11,28,0,49,4,6,36,0,48,132,31,48,0,214,76,22,76,0,170,469,62,75,11,619,271,53,105,17,442,257,108,83,9,456,271,142,54,7,470,129,127,37,4,299,140,123,28,0,293,250,221,37,6,512,145,167,15,0,328,105,121,7,0,235,46,54,4,0,106,71,105,3,0,181,173,230,83,7,494,64,24,27,3,124,2692,1606,752,79,5131
SOSR431,359,78,46,8,490,143,34,26,0,207,110,28,65,7,207,97,30,88,3,221,638,81,190,10,927,461,103,279,6,850,2265,264,302,24,2859,1634,431,456,60,2581,1651,731,360,37,2779,1980,1160,331,48,3516,986,1018,258,14,2284,1318,1111,182,23,2634,2172,2348,281,34,4838,1409,1919,129,19,3474,948,1554,76,9,2593,485,952,36,4,1483,1309,2418,90,11,3829,1029,2262,384,18,3691,371,165,91,15,651,19355,16722,3680,350,40106
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,4158,787,1512,164,6631,1519,203,494,86,2304,1200,358,1078,128,2761,872,345,1930,86,3231,4405,823,3315,247,8794,3444,1235,5786,285,10751,17944,2623,6375,434,27381,12813,3995,8004,832,25650,14228,7249,8848,822,31153,15960,10796,7802,971,35533,9741,11581,6157,685,28164,11201,12814,5193,662,29863,24535,32211,8816,1235,66798,18627,28371,3881,745,51624,14910,26807,2740,462,44925,9259,18367,1079,251,28960,24341,61996,3208,432,89982,14372,29736,6317,339,50760,2452,1535,1050,123,5164,205986,251858,83590,8990,550426
SOSR511,124,12,43,0,183,49,4,14,0,69,48,7,38,0,101,37,3,93,0,140,206,21,164,8,399,157,36,318,4,513,963,77,353,13,1404,599,118,409,23,1142,629,228,430,16,1309,672,386,330,31,1417,378,417,224,30,1053,485,496,198,20,1201,1003,1220,303,27,2555,719,1081,119,16,1941,568,972,81,8,1626,267,575,32,0,875,613,1284,54,3,1955,589,1269,289,16,2160,85,58,39,0,186,8198,8268,3519,237,20221
SOSR512,190,31,75,7,306,96,9,31,5,143,79,14,85,5,181,46,8,135,3,189,295,27,271,12,607,248,43,431,18,743,1465,104,510,24,2106,914,174,556,44,1685,982,314,619,39,1956,1124,584,458,45,2206,619,615,361,29,1625,710,659,280,29,1675,1560,1738,427,46,3768,1146,1529,191,31,2900,882,1381,122,28,2415,510,854,43,6,1419,1138,2136,104,11,3395,971,1813,401,30,3223,220,102,98,11,427,13183,12137,5210,435,30964
SOSR513,68,14,50,7,138,21,7,16,7,46,9,6,46,5,67,0,3,86,0,102,67,16,121,10,216,69,25,147,7,243,301,39,162,13,519,193,61,213,12,483,231,128,212,17,589,250,207,197,24,679,157,219,176,9,559,223,306,159,11,698,686,893,281,31,1895,574,840,78,19,1505,621,914,94,12,1641,404,597,42,6,1050,1098,2127,99,9,3325,656,1177,220,17,2064,89,83,74,6,255,5732,7661,2475,214,16089
