SOSR_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SOSR179,31,4,32,26,0,27,0,0,0,0,0,0,0,0,0,33,3,35,0,0,0,0,0,0,96.9,66.7,94.3,96.9,66.7,94.3,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,11,0,11,29,3,33,6,0,6,20,0,19,12,3,17
SOSR201,1823071,1916937,3740009,843431,528470,1371895,277424,482236,759662,63060,81767,144834,68530,60712,129238,1252448,1153183,2405631,481070,675038,1156107,5.5,5.3,5.4,68.7,60.2,64.3,64.9,57,60.9,167591,174941,342538,38447,73835,112285,368597,437580,806175,166514,204460,370968,292384,153270,445653,12150,18009,30163,22511,33800,56314,327053,205082,532131,1781127,1850137,3631267,335022,342916,677944,1128225,1189453,2317681,873113,895005,1768121
SOSR203,149129,165126,314254,64775,37747,102524,22031,46267,68305,4968,7322,12291,5005,4029,9034,96782,95372,192154,44342,61461,105800,5.2,4.2,4.7,64.9,57.8,61.1,61.5,55.3,58.3,7604,8271,15877,3036,6472,9507,19952,28533,48490,12197,17456,29652,35391,21601,56992,1423,2335,3758,1685,2671,4358,38500,26610,65109,144343,155674,300014,28701,31254,59961,88586,95607,184191,74633,81726,156359
SOSR211,42106,44532,86640,19249,10531,29781,5357,10398,15756,1583,1960,3544,1786,1742,3523,27973,24634,52602,11491,17175,28661,6.4,7.1,6.7,66.4,55.3,60.7,62.2,51.4,56.6,1352,1620,2977,438,1156,1601,3731,5553,9285,3610,4807,8418,10569,6857,17428,481,725,1200,572,848,1421,11615,8434,20049,42961,44735,87703,8339,8754,17100,23959,24876,48828,23488,24785,48266
SOSR212,101280,111588,212868,45501,26674,72176,13206,29787,42986,3649,5113,8758,3058,2512,5569,65409,64087,129498,29578,40914,70489,4.7,3.9,4.3,64.6,57.4,60.8,61.6,55.2,58.2,3449,4406,7859,1706,4035,5735,11026,17207,28235,8087,12465,20547,25866,14366,40231,910,1544,2457,1237,1917,3153,28018,17826,45841,101070,107980,209049,17061,18699,35757,63499,67402,130898,47851,52746,100600
SOSR213,96060,105687,201740,40421,22132,62547,12133,28016,40150,3227,4406,7639,2987,2321,5311,58769,56869,115639,31952,42912,74862,5.1,4.1,4.6,61.2,53.8,57.3,58.1,51.6,54.7,2454,3356,5807,1396,3379,4777,8137,13573,21700,7296,11523,18822,26693,15393,42084,925,1625,2551,1278,1780,3058,28892,18797,47687,95029,101807,196833,15955,17513,33463,59818,63846,123665,44659,49220,93874
SOSR214,57560,63218,120775,20894,11773,32669,7279,15235,22512,2125,2763,4890,1453,1184,2638,31753,30963,62712,22095,28344,50436,4.6,3.8,4.2,55.2,49,51.9,52.6,47.1,49.7,1556,1916,3469,867,1987,2857,4711,7941,12652,4225,6838,11063,15546,8268,23812,509,1026,1541,748,1121,1873,16802,10419,27220,55154,59151,114307,8998,9786,18787,35272,37489,72765,25695,28315,54012
SOSR215,88256,94671,182919,35380,18436,53817,10909,24339,35250,3477,4422,7897,2176,1790,3966,51942,48993,100932,30481,39662,70135,4.2,3.7,3.9,58.9,51.8,55.2,56.4,49.9,53,2406,3238,5649,1328,3262,4595,7450,12588,20037,6235,10727,16959,25122,12792,37907,804,1498,2298,1158,1673,2828,27078,15963,43040,87193,91356,178548,12928,13875,26797,57296,59792,117083,37449,40405,77852
SOSR221,24978,25541,50519,9480,4812,14285,3201,6830,10034,971,1259,2228,573,444,1018,14227,13342,27569,9047,10518,19561,4,3.3,3.7,57,52.2,54.6,54.7,50.5,52.6,707,901,1613,405,881,1291,2073,3651,5725,1804,2938,4737,7336,3498,10827,197,394,591,325,439,759,7846,4322,12170,24477,24669,49143,3422,3571,6993,16590,16601,33187,9985,10319,20308
SOSR222,15263,15310,30571,5623,3112,8738,2267,4147,6418,792,848,1640,370,297,670,9055,8410,17467,4782,5541,10322,4.1,3.6,3.8,59.3,54.9,57.1,56.9,53,54.9,427,567,989,237,513,747,1470,2314,3792,1013,1702,2720,4115,1953,6067,128,244,368,198,250,443,4440,2439,6879,14381,14266,28652,2086,2209,4303,10250,9964,20216,5521,5791,11305
SOSR231,181314,170485,351794,79785,39488,119274,23572,50236,73806,7634,8915,16549,3477,2791,6267,114464,101432,215895,53197,56468,109660,3,2.8,2.9,63.1,59.5,61.4,61.2,57.9,59.6,4592,6332,10924,2457,6223,8679,15907,26438,42342,13180,20080,33258,51097,21381,72482,1434,2689,4123,2301,3133,5434,54835,27201,82037,177669,168894,346567,19211,19374,38585,131694,123694,255389,56891,56691,113583
SOSR279,493,72,565,131,22,147,7,0,7,11,0,13,4,0,4,151,22,174,7,0,9,1.3,0,1.2,30.5,29.2,30.4,30.1,29.2,30,3,0,3,3,0,3,16,3,19,21,3,32,68,6,73,8,0,8,8,0,8,80,6,86,135,20,154,25,4,28,91,11,105,60,12,71
SOSR301,888422,948050,1836477,410900,272233,683129,125676,225462,351136,41652,61395,103046,36037,30650,66684,614268,589737,1204003,231929,315213,547142,5.9,5.2,5.5,69.1,62.2,65.6,65.1,59,61.9,60733,62397,123130,17264,32489,49754,151067,196593,347659,77307,104085,181391,189579,112732,302307,10532,13893,24424,12755,19078,31832,212865,145699,358567,857542,895811,1753357,191146,203003,394150,503090,524969,1028062,485520,517003,1002521
SOSR302,352133,391122,743253,140101,89293,229394,54568,100538,155108,17737,26640,44377,12323,10820,23142,224731,227287,452020,105498,139819,245316,5.5,4.8,5.1,63.8,58.1,60.8,60.3,55.3,57.7,15899,17909,33808,5217,10721,15937,47265,68443,115709,33430,50244,83679,90209,49903,140110,3528,5426,8950,6075,9644,15717,99809,64975,164782,324120,348602,672728,78527,87082,165610,182435,195386,377819,199457,220733,420190
SOSR303,171800,185326,357125,73205,51561,124763,22983,45994,68976,5925,7252,13176,6754,5601,12353,108864,110408,219269,48106,61392,109500,6.2,5.1,5.6,63.4,59.6,61.4,59.4,56.6,57.9,6469,7531,13997,2319,5339,7660,18164,30354,48518,12900,18698,31596,44083,26294,70376,2420,3234,5651,2366,3401,5763,48868,32926,81791,157283,167000,324283,36628,40383,77011,94578,99788,194365,88389,97334,185717
SOSR311,99401,108471,207873,39718,26173,65896,11118,24615,35736,3342,3760,7100,3896,3063,6959,58078,57615,115694,34096,43760,77858,6.7,5.3,6,58.4,53.1,55.7,54.5,50.3,52.3,2205,2390,4597,1028,2174,3207,7275,13482,20758,5819,9521,15334,29446,16452,45901,1489,2116,3606,1425,2089,3513,32360,20660,53022,93593,99561,193160,20027,22124,42151,59391,62058,121445,47981,53849,101833
SOSR312,39371,42025,81391,13952,7909,21862,4375,9016,13392,1538,1807,3349,1848,1426,3277,21707,20165,41877,15179,19521,34703,8.5,7.1,7.8,55.1,48,51.4,50.5,44.6,47.4,758,870,1624,415,815,1238,2695,4657,7352,2692,3982,6672,12062,6767,18823,638,949,1589,620,901,1519,13316,8620,21931,36649,38525,75172,7800,8527,16319,22326,23113,45440,19864,21740,41605
SOSR313,63645,67782,131430,27916,17382,45303,7115,16077,23192,2501,2850,5347,2109,1811,3915,39639,38121,77760,18479,25160,43642,5.3,4.7,5,62.3,56.2,59.2,59,53.6,56.2,1331,1652,2976,721,1567,2294,4730,8792,13519,4020,6553,10572,18708,10791,29493,955,1481,2442,907,1337,2249,20573,13613,34186,59488,62398,121887,14677,16098,30774,34641,35517,70154,34679,38491,73171
SOSR314,68380,69405,137787,29040,17328,46368,7107,15819,22929,2897,3275,6170,2104,1861,3966,41156,38277,79429,19455,25517,44967,5.1,4.9,5,60.2,55.1,57.6,57.1,52.5,54.8,1306,1610,2911,605,1473,2078,4585,8260,12843,4318,6791,11107,19663,10632,30290,847,1351,2196,960,1398,2356,21467,13376,34842,62740,64096,126834,13268,14249,27519,38738,38890,77630,32746,35272,68013
SOSR315,109428,109053,218480,39700,23829,63532,10822,23138,33961,4618,5221,9839,3316,2787,6105,58455,54981,113430,38796,44811,83607,5.7,5.1,5.4,53.4,50.4,51.9,50.4,47.9,49.1,1783,2313,4096,1007,2256,3267,6731,12205,18935,6505,10708,17212,31218,16472,47692,1402,2200,3605,1562,2199,3766,34184,20871,55059,97623,99035,196657,20062,21571,41632,61511,61395,122906,49470,52858,102325
SOSR321,41418,41250,82670,13912,8426,22333,4303,8763,13071,1827,1971,3798,1417,1198,2622,21459,20363,41824,16339,17595,33937,6.6,5.9,6.3,51.8,49.4,50.6,48.4,46.5,47.4,746,972,1723,412,922,1333,2516,4716,7225,2625,4158,6786,11955,6108,18064,543,793,1337,592,863,1458,13093,7760,20854,38626,38546,77171,6696,6985,13683,26125,25471,51597,16830,17859,34692
SOSR322,20448,19547,39994,6609,3815,10427,1734,3700,5438,1064,982,2048,707,496,1206,10122,8996,19117,8295,8848,17140,7,5.5,6.3,49.5,46,47.8,46,43.5,44.8,291,419,712,154,393,548,1116,1954,3074,1133,1808,2941,5912,2832,8741,329,462,794,312,376,694,6555,3674,10231,18679,17850,36532,3130,3336,6470,13219,12431,25645,7456,7612,15072
SOSR331,206481,186310,392792,83807,44841,128649,20998,44607,65601,9644,9874,19519,4922,3858,8777,119377,103178,222551,63238,66441,129683,4.1,3.7,3.9,57.8,55.4,56.7,55.4,53.3,54.4,3964,4930,8892,1781,4254,6029,13896,25079,38972,12647,19307,31953,59095,26529,85631,2226,3443,5666,3017,3944,6957,64335,33916,98253,187687,174876,362559,27345,27267,54610,135317,123891,259204,70296,69639,139933
SOSR379,302,53,358,70,9,77,8,0,10,15,6,18,3,0,0,88,15,103,21,11,26,3.3,7.1,3.8,30.1,26.9,29.7,29.1,25,28.5,0,0,0,0,0,0,7,4,8,3,0,9,34,11,37,10,0,10,4,0,6,50,10,56,89,14,103,25,10,32,47,11,52,63,11,79
SOSR401,495920,529289,1025212,211998,129806,341811,78495,143625,222118,13732,17712,31443,20176,16088,36263,324405,307232,631632,152925,203220,356144,6.2,5.2,5.7,65.4,58,61.6,61.3,55,58.1,31928,34036,65958,8899,16259,25157,78564,100987,179550,40450,50905,91353,104060,62138,166198,5710,7631,13337,7172,10527,17697,116937,80290,197232,495420,520132,1015551,79358,82375,161736,326278,343461,669735,219019,231530,450554
SOSR412,37941,40960,78903,16920,9711,26631,4892,11033,15923,1212,1492,2703,1416,1081,2496,24439,23311,47751,11697,15806,27502,5.8,4.6,5.2,64.4,56.9,60.5,60.7,54.3,57.4,795,1048,1839,456,979,1436,2946,5113,8062,2530,3874,6403,10854,6651,17507,567,901,1465,549,845,1399,11970,8402,20375,37796,39781,77580,6523,6974,13493,24649,25680,50328,17239,18863,36109
SOSR413,36662,38629,75287,12443,7486,19931,4868,9725,14589,1187,1274,2457,1304,977,2277,19795,19459,39257,14758,17257,32013,6.6,5,5.8,54,50.4,52.1,50.4,47.9,49.1,1214,1279,2498,511,1014,1526,3269,5005,8279,2248,3427,5681,8828,5288,14121,458,743,1202,559,786,1342,9846,6821,16668,34803,37173,71972,5321,5933,11256,24032,25454,49483,14139,15727,29863
SOSR414,12430,13767,26195,4566,2545,7110,1702,3543,5243,366,467,836,336,296,636,6977,6843,13818,4916,6336,11253,4.8,4.3,4.6,56.1,49.7,52.8,53.4,47.5,50.3,224,324,546,114,321,437,944,1769,2716,932,1438,2370,3430,2081,5509,162,258,418,225,334,559,3813,2669,6491,12100,13198,25296,1973,2128,4100,7793,8359,16155,5638,6299,11940
SOSR415,47388,49586,96971,18492,10113,28606,5706,12616,18320,1676,1827,3501,1381,1042,2422,27254,25599,52858,17107,21133,38245,5.1,4.1,4.6,57.5,51.6,54.5,54.6,49.5,52,893,1066,1960,455,1116,1568,3214,5793,9005,2889,4842,7734,12750,7340,20093,616,925,1546,755,998,1748,14124,9259,23386,45839,47495,93330,7117,7660,14772,31130,31724,62851,19209,20852,40060
SOSR421,13174,13602,26773,5097,2581,7681,1606,3573,5175,465,565,1026,328,280,608,7493,7000,14494,4713,5670,10380,4.4,4,4.2,56.9,51.5,54.1,54.4,49.4,51.9,202,305,510,136,265,400,796,1590,2382,748,1336,2082,3626,1927,5552,159,256,418,219,291,513,4006,2472,6482,12831,13060,25887,1639,1775,3412,9277,9274,18550,4518,4901,9424
SOSR422,8580,8128,16715,2665,1387,4055,970,1933,2907,305,285,588,357,204,561,4299,3814,8110,3505,3623,7132,8.3,5.5,6.9,50.1,46.9,48.5,45.9,44.3,45.1,105,151,260,71,164,235,406,769,1173,425,663,1092,2196,1167,3361,108,172,284,146,162,302,2450,1494,3947,7981,7530,15514,1104,1112,2208,5899,5573,11470,2735,2663,5403
SOSR431,66608,57661,124267,29976,13340,43314,8248,17622,25867,2601,2643,5247,1469,1012,2478,42296,34623,76919,18542,19020,37566,3.5,2.9,3.2,63.5,60,61.9,61.3,58.3,59.9,1376,1667,3050,609,1501,2111,5100,8316,13417,4083,6101,10189,17602,8284,25887,757,1068,1825,1102,1170,2272,19459,10519,29979,64294,57615,121912,6803,6459,13265,48781,43093,91877,19356,18188,37546
SOSR479,34,0,34,19,0,19,0,0,0,0,0,0,0,0,0,22,0,22,6,0,6,4.3,0,4.3,67.6,0,67.6,64.7,0,64.7,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,7,0,7,22,0,22,5,0,5,16,0,16,13,0,13
SOSR501,776449,836033,1612479,374911,222641,597549,113715,235729,349444,26004,28949,54953,29765,27552,57316,544400,514862,1059262,197371,286120,483491,5.5,5.4,5.4,70.1,61.6,65.7,66.3,58.3,62.1,49269,48818,98086,14100,27267,41369,129002,169412,298420,69584,89102,158681,172444,96350,268788,10101,14539,24642,10009,18700,28709,192553,129584,322135,788298,829690,1617987,132691,142678,275373,507281,532879,1040162,359322,387930,747250
SOSR511,27709,30211,57919,13243,7136,20385,3157,8611,11774,1047,1030,2081,934,889,1824,18386,17672,36055,7963,11150,19112,5.1,5,5.1,66.4,58.5,62.3,63,55.5,59.1,611,660,1272,310,724,1035,2306,4016,6326,1892,2875,4765,8572,5424,13999,521,860,1379,378,754,1134,9472,7047,16512,27647,29561,57205,5166,5731,10894,18222,19248,37470,12581,14237,26819
SOSR512,47058,49344,96403,21160,12536,33695,5619,12983,18600,1779,1689,3470,1395,1072,2464,29955,28276,58226,13075,17486,30556,4.7,3.8,4.2,63.7,57.3,60.4,60.7,55.1,57.8,1043,1177,2219,490,1226,1718,3494,6300,9793,3008,4753,7756,13524,7307,20837,849,1328,2181,600,1079,1677,14975,9717,24693,43858,46148,90009,9020,9462,18477,28207,29160,57364,21594,23478,45071
SOSR513,32740,29444,62190,15697,8955,24652,2658,6157,8819,1817,1614,3429,733,671,1405,20902,17397,38302,5797,8009,13816,3.5,3.8,3.7,63.8,59.1,61.6,61.6,56.8,59.3,744,923,1666,326,855,1179,2567,4452,7012,2292,2885,5178,9575,3817,13393,409,740,1144,407,570,978,10387,5128,15520,26905,25176,52079,6877,7067,13947,14900,13482,28381,16544,16612,33160
SOSR514,10618,11447,22066,4297,2355,6647,1461,3369,4832,467,419,884,340,284,628,6564,6425,12987,3140,4158,7296,5.2,4.5,4.8,61.8,56.1,58.8,58.6,53.6,56,239,267,506,103,302,409,983,1676,2651,706,1174,1880,2953,1573,4522,159,256,413,179,265,439,3287,2089,5374,10240,10833,21073,2034,2182,4223,6626,6816,13442,4871,5484,10350
SOSR515,40378,39927,80302,16781,9506,26288,3931,8780,12714,2219,1960,4183,1106,890,1993,24039,21140,45182,11490,14665,26156,4.6,4.2,4.4,59.5,52.9,56.3,56.8,50.7,53.8,722,834,1553,378,912,1294,2795,4846,7644,2295,3633,5929,11409,5434,16845,597,970,1565,527,797,1323,12532,7209,19735,36029,35544,71574,7554,7856,15406,23256,22516,45770,17809,18492,36298
SOSR521,17631,16585,34216,6435,3401,9839,1467,3203,4672,886,747,1634,494,414,908,9284,7763,17051,5529,6799,12325,5.3,5.3,5.3,52.7,46.8,49.8,49.8,44.3,47.2,262,320,584,120,303,422,948,1739,2689,943,1296,2239,4327,2023,6351,211,369,580,192,322,506,4732,2713,7444,15087,14575,29664,2839,2812,5651,10383,9918,20307,6498,6506,12999
SOSR522,10341,9638,19979,3548,1908,5459,893,1746,2641,510,434,950,377,281,661,5330,4372,9704,3722,4239,7965,7.1,6.5,6.8,51.5,45.4,48.6,47.9,42.4,45.2,178,199,378,81,188,268,615,987,1602,541,742,1284,2386,1071,3451,144,195,341,122,199,316,2648,1462,4114,9401,8899,18298,1516,1534,3049,6773,6354,13123,3528,3500,7034
SOSR531,103108,70735,173841,44725,17852,62578,9050,17475,26525,5365,3971,9332,1608,1230,2840,60745,40534,101279,22355,22357,44712,2.6,3,2.8,58.9,57.3,58.3,57.4,55.6,56.6,2009,1922,3929,846,1823,2675,7811,10521,18338,6383,7250,13634,26715,9149,35860,1185,1549,2728,1192,1673,2867,29085,12374,41456,79394,63940,143331,12932,10442,23375,57446,46327,103774,31418,24971,56391
SOSR579,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
SOSR603,79008,85653,164664,31719,20582,52304,13718,23783,37500,2232,3103,5340,3596,3107,6703,51268,50578,101847,24367,31500,55863,7,6.1,6.6,64.9,59,61.8,60.3,55.4,57.8,7566,8553,16119,1746,3256,5005,13669,16817,30489,5814,7365,13177,15327,9220,24547,880,1390,2269,961,1548,2511,17168,12161,29322,74785,80297,155077,15028,15517,30543,48610,52756,101360,36714,38806,75518
SOSR611,32205,35082,67286,13068,7921,20988,5130,9680,14809,902,1180,2078,1461,1141,2601,20559,19920,40479,9979,13589,23561,7.1,5.7,6.4,63.8,56.8,60.2,59.3,53.5,56.3,1918,1900,3817,476,855,1335,3996,5756,9749,2148,2964,5116,7194,4628,11820,421,753,1183,391,726,1120,8008,6113,14124,30917,33183,64099,5726,6152,11875,19883,21230,41112,14921,16254,31174
