SOSR_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR203,147997,160421,308417,405,283,686,169,152,318,221,295,514,1111,1392,2500,609,676,1285,159,129,292,109,133,243,595,722,1319,205,216,422,165,172,341,4333,3106,7437,145,265,407,302,292,597,172,152,324,396,320,718,738,714,1451,69,180,252,137,180,316,70,54,120,508,594,1102,348,313,662,675,785,1455,1696,1777,3469,670,361,1030,978,1745,2719,143,251,395,163,196,359,554,586,1145,689,569,1261,69,122,192,624,954,1582,5342,5630,10975,456,532,980,329,461,794,4460,5104,9566,9237,9417,18659,192,191,386,185240,199444,384686
SOSR211,38006,39514,77521,56,42,97,251,235,488,31,44,82,125,214,336,124,167,290,102,109,210,164,177,341,225,256,479,71,67,139,26,28,57,3254,2906,6161,51,110,156,63,30,93,95,91,189,66,71,138,185,147,330,7,28,42,46,50,98,73,58,128,159,183,346,137,118,248,126,111,237,1235,1309,2541,393,367,758,917,1324,2242,66,82,145,51,60,109,120,112,230,310,267,577,15,44,54,83,202,286,1275,1325,2597,106,103,209,326,433,758,3937,4052,7994,3397,3455,6845,72,114,179,55734,58008,113743
SOSR212,100853,108134,208983,576,423,1007,90,74,160,149,212,363,427,623,1047,116,145,258,96,82,177,126,152,275,386,491,877,197,193,388,87,128,212,2248,2031,4283,117,169,284,108,95,200,300,267,566,310,293,597,774,706,1483,47,105,152,72,98,171,34,29,68,956,843,1800,153,144,293,423,464,885,1524,1531,3051,261,199,456,698,1250,1955,70,108,175,77,97,177,440,445,881,384,369,753,101,225,322,137,356,497,3820,4127,7949,304,347,646,316,404,723,3066,3188,6251,7603,7597,15199,182,180,369,127610,136332,263938
SOSR213,97471,104337,201814,96,42,136,41,32,71,137,150,286,332,474,805,131,146,280,67,48,113,89,106,198,491,544,1034,112,107,220,59,72,129,1457,1271,2730,90,132,228,60,35,100,71,50,118,227,196,427,649,641,1291,32,84,116,22,58,83,40,28,72,274,364,632,139,126,264,616,584,1195,1267,1309,2572,155,135,295,631,1318,1947,114,130,244,88,102,189,392,404,792,280,256,540,143,175,324,145,316,456,4191,4482,8678,282,286,566,272,293,569,2395,2307,4702,6623,6891,13517,142,105,247,119833,128138,247964
SOSR214,56114,60207,116319,11,4,13,25,22,51,76,93,174,226,221,450,86,50,138,55,36,90,42,46,92,284,354,633,149,119,271,36,32,65,780,658,1436,46,74,119,28,17,39,30,26,58,149,141,291,459,387,845,15,56,69,20,32,53,18,17,31,198,156,351,82,74,154,344,363,714,796,863,1661,52,36,88,309,560,870,47,67,114,32,51,88,154,188,344,116,100,217,95,110,195,67,189,257,2729,2997,5724,125,179,304,52,101,156,1123,1187,2311,4589,4739,9327,64,69,134,69636,74611,144245
SOSR215,88852,92974,181826,13,7,24,17,12,27,137,155,286,146,196,345,88,73,161,45,37,84,72,93,163,438,539,972,106,79,189,32,37,68,599,525,1125,56,94,148,20,9,30,25,19,45,221,198,423,469,376,849,25,88,114,16,28,44,28,25,51,306,278,581,100,76,174,553,539,1090,1272,1355,2628,58,39,88,296,725,1023,87,80,165,43,55,98,279,278,551,164,139,301,33,65,100,130,302,428,4325,4593,8929,261,293,555,170,240,408,1728,1772,3502,7634,7624,15257,122,92,215,108961,114116,223077
SOSR221,24796,25047,49839,0,0,5,14,0,13,28,34,65,27,57,88,25,13,44,20,3,16,20,26,47,151,134,288,43,29,71,6,9,23,114,116,231,12,24,40,10,0,16,3,0,4,72,56,125,113,59,170,4,20,30,5,10,11,0,3,3,45,54,103,8,6,14,143,124,266,343,358,703,12,8,19,61,171,228,19,27,42,7,13,22,76,97,168,27,37,63,3,11,15,28,79,112,1372,1307,2678,69,99,167,20,28,46,490,436,923,2182,2153,4340,22,19,43,30390,30681,61068
SOSR222,14639,14530,29168,0,0,0,4,3,10,32,27,60,24,47,67,9,7,18,15,3,19,9,5,13,64,79,146,13,9,25,7,17,22,58,39,93,5,27,34,0,0,4,0,0,0,28,37,67,53,36,95,3,8,15,10,7,16,7,0,4,42,32,73,11,10,21,85,78,165,210,192,403,0,0,4,59,138,195,10,11,20,10,14,21,42,40,88,13,14,24,18,27,44,13,44,55,691,708,1395,62,52,119,5,11,18,244,284,529,1859,1730,3582,61,51,108,18425,18313,36743
SOSR231,178657,167308,345964,38,12,54,26,13,36,233,306,534,321,428,751,277,218,497,82,38,129,107,105,210,887,944,1830,324,215,545,80,92,172,663,498,1157,90,149,235,61,33,92,49,24,71,399,297,690,1207,810,2020,32,125,159,29,45,74,128,96,224,501,437,937,24,8,37,1057,891,1951,2538,2449,4979,64,33,97,505,961,1467,132,155,287,94,112,205,535,591,1128,173,133,308,73,146,220,218,460,675,7166,7263,14429,449,612,1064,244,210,458,3575,3060,6637,17846,16426,34272,221,166,391,219099,205879,424976
SOSR279,122,20,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,9,0,9,335,49,385,0,0,0,493,72,565
SOSR301,756664,777825,1534488,2435,1835,4274,1177,1124,2304,2647,3020,5671,17888,23716,41600,901,956,1860,880,720,1596,4773,5683,10454,4036,4348,8384,1135,1050,2183,4583,5084,9670,27455,23604,51059,1920,3107,5024,3251,2964,6213,1395,1239,2635,3897,3187,7086,3358,2920,6282,1598,3866,5465,5901,7177,13080,597,528,1127,5191,6309,11497,3267,3173,6440,2768,2659,5430,50783,51251,102036,2636,2182,4821,9288,17065,26358,1301,1801,3104,2268,2725,4992,12453,12607,25052,4308,4265,8577,5288,7305,12589,2127,5011,7147,51966,48558,100517,4782,5021,9804,8612,11343,19958,53502,58839,112343,47677,47714,95389,2727,2669,5401,1117451,1164455,2281905
SOSR302,294425,312148,606572,83,74,156,206,186,392,1505,1947,3457,3837,5638,9474,515,548,1070,445,379,825,636,788,1426,2131,2575,4709,387,329,712,936,1074,2002,4983,4088,9070,548,994,1544,636,570,1207,170,150,325,1191,1168,2361,1562,1150,2710,1470,3316,4782,1773,2268,4041,206,174,372,1004,1339,2342,996,872,1872,1407,1486,2892,27189,28790,55975,454,284,735,2031,4991,7020,612,900,1511,548,730,1273,5960,6204,12167,557,555,1110,780,1190,1975,634,2074,2704,27873,28583,56458,2325,2415,4739,730,1094,1823,17567,20131,37695,23759,25244,49007,1420,1322,2743,433482,467771,901259
SOSR303,160731,167787,328518,93,87,188,119,109,232,496,617,1105,754,1117,1873,103,80,183,133,101,231,312,393,704,884,1073,1954,108,95,209,241,261,503,2844,2521,5369,250,441,692,132,141,280,1100,1144,2248,459,429,883,643,528,1171,501,1351,1853,623,688,1313,36,27,64,417,531,945,697,749,1449,549,518,1069,4797,4953,9749,193,135,330,1662,3545,5208,168,187,355,235,251,485,1221,1277,2491,518,500,1021,186,307,491,374,944,1324,7617,7425,15047,714,862,1578,345,488,831,7591,8965,16557,16775,15387,32166,808,580,1392,215432,226611,442042
SOSR311,98523,104257,202783,26,15,44,106,98,201,201,229,429,378,551,929,46,43,87,65,45,102,195,219,415,412,477,886,25,21,47,51,72,130,990,840,1829,66,158,223,51,44,88,18,15,32,167,165,330,233,183,413,64,115,172,143,174,319,15,9,27,220,264,485,253,256,506,383,328,712,2830,3030,5858,79,68,150,1183,2277,3461,56,72,129,60,75,134,927,992,1920,313,236,552,104,168,278,129,474,605,4188,4268,8454,242,280,528,270,321,587,2301,2488,4788,8175,8037,16206,227,261,485,123709,131625,255327
SOSR312,37835,39386,77227,8,4,13,25,25,42,94,91,184,62,118,176,23,31,48,23,20,40,69,68,134,200,210,414,29,15,43,28,23,55,313,273,586,33,79,107,17,16,32,10,8,10,83,78,157,85,51,136,10,65,73,14,32,48,0,0,5,72,67,135,27,31,61,153,170,329,1589,1649,3238,30,24,63,373,849,1220,34,49,80,24,36,59,392,390,779,49,48,100,4,16,23,34,190,226,2264,2344,4611,136,146,282,19,53,75,800,927,1730,2965,2719,5682,59,41,104,47989,50344,98334
SOSR313,64847,67828,132674,5,11,17,17,10,23,130,158,287,94,202,303,22,28,50,23,18,42,161,157,325,227,275,502,22,12,26,43,34,73,429,379,806,36,108,147,17,23,44,10,5,13,139,119,265,113,71,185,17,73,89,54,89,147,9,12,18,94,105,204,49,47,91,201,200,393,2553,2419,4974,53,41,92,638,1291,1934,38,68,110,35,53,89,707,716,1423,87,74,160,82,115,199,61,220,274,2469,2617,5085,217,220,439,59,118,179,1661,1689,3356,6322,5368,11684,358,231,586,82104,85185,167291
SOSR314,64530,66085,130611,14,12,26,37,28,59,127,141,267,240,316,556,36,30,66,27,18,45,98,112,210,292,318,614,36,38,69,49,73,118,790,633,1426,87,158,247,20,20,41,19,13,38,172,162,336,373,360,728,72,156,223,113,116,235,0,3,6,122,119,243,64,48,107,237,179,415,2473,2484,4959,55,42,98,456,1032,1488,38,55,93,44,57,104,614,611,1227,86,77,160,185,342,536,75,260,336,3060,2979,6041,206,254,459,90,128,212,2124,1975,4102,8929,6656,15585,749,282,1030,86732,86369,173101
SOSR315,103804,104024,207835,4,4,12,15,6,24,186,235,422,120,223,342,58,31,90,31,16,44,136,146,283,537,568,1101,28,16,42,49,64,108,403,312,712,90,166,257,44,20,64,6,0,12,206,199,403,332,336,667,58,127,186,116,127,240,8,5,17,111,158,269,102,99,197,440,415,856,3686,3582,7273,37,21,49,774,1535,2306,55,71,125,47,72,118,608,631,1235,69,51,119,72,112,182,83,326,414,5113,5215,10327,359,363,724,146,174,322,2562,2557,5122,14135,10850,24982,560,346,911,135183,133201,268382
SOSR321,40365,39462,79823,0,0,3,10,6,9,73,95,171,30,62,88,15,17,33,11,0,13,62,55,115,207,247,463,9,9,16,13,16,24,128,82,211,27,59,87,11,5,10,4,0,4,73,65,135,91,64,158,14,46,60,23,24,50,3,5,6,33,59,95,15,8,21,174,182,360,1284,1245,2530,15,7,19,163,412,572,27,25,44,17,27,51,248,260,509,22,21,46,8,25,37,25,115,140,2153,2098,4250,135,168,303,15,45,60,931,913,1845,4487,4030,8519,178,125,301,51089,50081,101173
SOSR322,19587,18790,38377,0,0,0,3,0,3,28,49,72,7,34,37,13,3,14,4,7,8,13,22,40,110,102,211,4,7,10,6,5,10,37,39,72,14,21,34,0,0,0,0,0,0,33,38,75,67,55,123,5,16,24,3,6,15,0,0,0,18,16,34,13,9,15,84,61,142,539,475,1015,3,0,4,34,136,171,3,10,14,9,10,19,92,100,195,9,3,9,4,0,3,8,54,69,815,809,1628,38,67,109,4,13,11,388,379,769,2450,2087,4534,108,52,159,24545,23504,48051
SOSR331,192350,175821,368170,11,0,13,7,4,18,399,491,892,170,288,461,94,71,167,36,18,56,185,204,387,989,1056,2047,37,33,74,75,99,175,411,330,739,147,228,379,42,16,58,21,9,22,377,308,691,515,373,883,75,236,317,84,86,170,22,15,36,190,278,464,17,20,40,859,698,1554,5654,5352,11002,39,41,79,438,1381,1822,119,136,252,110,147,255,1437,1381,2814,113,79,187,103,203,308,187,512,694,8643,8735,17383,664,763,1422,212,262,473,4496,4129,8625,28049,20434,48489,1207,563,1770,248595,224806,473398
SOSR379,76,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,3,0,0,0,3,0,0,192,29,222,17,10,24,317,65,385
SOSR401,411332,424981,836313,4422,3432,7853,1131,1019,2152,948,1050,2000,10652,13926,24579,1172,1274,2445,816,742,1563,514,584,1095,3028,3673,6703,3443,3925,7369,2052,1988,4039,22926,19510,42439,776,1209,1988,2605,2465,5071,854,725,1578,1345,1262,2611,7200,7806,15005,400,1019,1419,1647,1966,3618,864,868,1731,3651,4529,8180,3578,3448,7026,1883,1973,3856,4523,4487,9006,3030,2356,5385,4427,7813,12236,1885,2463,4347,1155,1391,2544,2959,3217,6179,2487,2352,4839,593,906,1503,879,1943,2824,38712,40493,79207,1983,1954,3936,6970,9019,15988,26329,28775,55097,21510,21668,43170,1146,1218,2365,605836,633417,1239255
SOSR412,38070,39512,77580,0,6,3,11,11,18,55,72,128,72,135,207,40,39,78,21,18,41,17,23,35,199,264,459,51,33,86,20,24,41,333,247,579,23,39,67,30,30,56,18,15,37,74,75,146,175,138,316,10,38,48,18,29,46,12,10,23,95,94,186,19,20,39,207,217,425,376,376,754,43,29,75,267,502,771,42,52,92,23,40,69,283,331,613,65,73,142,14,33,39,105,135,239,3308,3745,7056,116,119,233,30,49,78,824,888,1713,2229,2249,4479,50,42,88,47341,49754,97091
SOSR413,35964,37381,73345,10,0,14,14,13,30,53,54,109,142,184,327,55,40,90,16,10,26,18,18,40,237,269,515,31,29,53,18,21,33,283,230,516,22,36,56,12,8,23,7,0,7,46,69,112,186,137,321,15,27,42,25,30,60,3,6,10,56,71,126,24,35,61,154,187,338,381,321,700,45,26,69,280,525,800,32,40,72,18,34,50,172,164,332,45,31,71,9,30,48,23,78,101,2449,2617,5063,125,130,250,107,108,217,705,705,1408,2593,2449,5045,61,48,112,44438,46159,90590
SOSR414,11912,12956,24865,113,41,154,0,0,0,17,29,43,59,56,115,4,3,12,8,0,6,8,5,11,88,112,206,12,3,15,0,10,15,42,27,67,14,12,33,0,0,10,0,0,0,36,29,61,26,25,49,3,11,18,6,7,11,0,0,3,45,55,96,5,0,5,87,90,182,146,175,318,25,10,37,82,117,205,15,15,30,5,11,12,52,55,110,14,9,19,3,7,15,22,38,63,1057,1250,2311,40,42,80,22,31,54,240,201,439,747,788,1533,22,14,38,14971,16253,31230
SOSR415,46302,47709,94012,90,34,128,9,11,17,46,50,100,84,126,206,54,37,93,11,3,14,24,25,48,286,301,590,146,136,282,27,20,52,400,344,750,50,61,110,13,6,17,0,0,6,62,52,116,188,161,351,14,31,42,22,38,56,13,10,26,115,114,224,37,38,66,211,242,450,479,500,976,50,27,76,215,490,714,33,41,77,8,25,31,163,180,343,90,75,155,20,43,64,36,117,158,3228,3712,6944,112,157,268,93,123,218,806,687,1492,3851,3657,7501,485,91,572,57885,59466,117352
SOSR421,12965,13190,26156,0,0,5,9,3,9,16,13,27,11,25,38,8,0,12,3,0,3,0,7,7,79,64,144,0,3,4,6,6,8,42,32,78,0,20,17,0,0,0,0,0,0,15,20,33,19,15,34,3,0,3,0,7,4,0,0,0,5,11,20,11,8,22,57,71,126,124,110,238,4,3,10,63,121,182,16,14,33,3,6,7,58,58,111,9,8,12,8,22,26,8,24,25,874,938,1815,22,25,50,7,8,23,184,153,341,1202,1177,2379,13,16,20,15842,16179,32026
SOSR422,8108,7661,15774,0,0,0,0,0,0,4,5,13,0,18,17,11,0,15,0,0,0,0,8,8,53,49,103,3,4,7,0,0,0,30,17,50,0,4,3,0,0,4,0,0,0,12,12,26,19,11,24,3,6,11,0,4,4,0,0,0,4,7,7,0,5,7,58,30,92,91,91,182,0,0,0,14,53,68,4,5,12,0,0,3,28,29,63,5,4,13,0,3,3,4,23,22,531,545,1075,14,20,36,0,3,8,125,93,215,948,829,1775,9,5,18,10095,9562,19658
SOSR431,63862,56025,119882,36,9,43,9,3,13,70,121,189,67,103,172,48,31,82,14,4,21,34,34,68,345,332,674,169,146,315,15,34,46,241,186,426,37,61,101,28,15,39,7,3,9,97,90,187,301,217,514,19,35,51,32,18,52,14,16,25,119,114,234,15,8,25,296,283,581,730,549,1285,10,3,11,174,334,514,41,54,96,24,35,64,227,215,440,36,17,54,19,27,44,61,140,200,3914,3908,7820,148,207,353,224,223,446,971,886,1850,7088,5228,12314,293,103,392,79819,69811,149628
SOSR479,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,0,8,7,0,7,40,0,40
SOSR501,587114,604198,1191319,3070,2305,5377,1384,1258,2647,2191,2843,5035,11534,15426,26953,2011,2138,4152,1238,1105,2341,470,541,1011,3808,4674,8487,947,1033,1982,2874,3311,6184,29855,27814,57670,4862,7955,12815,3161,2989,6144,1835,1662,3495,8027,7568,15592,8176,7786,15967,1235,3071,4310,2634,3321,5956,603,534,1135,13851,16977,30827,2144,2051,4190,3224,3381,6608,28190,26974,55156,4392,2748,7144,12484,17635,30116,2127,2935,5059,6792,8282,15076,17876,19153,37031,4386,4145,8528,1148,2216,3361,2181,5979,8156,95422,96181,191611,4156,4312,8467,7211,9672,16876,54164,61826,115993,38773,38735,77508,2636,2568,5203,978179,1027301,2005481
