SOSR_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
SOSR521,176,443,1295,1333,1446,1373,356,25,3,6435,165,112,189,196,210,340,205,55,3,1467,24,22,100,83,104,186,72,6,0,606,22,19,55,45,61,48,14,8,0,275,382,593,1636,1659,1824,1943,639,90,12,8788,20,44,88,66,71,76,15,0,0,379,22,11,10,14,18,20,10,0,0,119,41,56,100,78,92,93,28,0,0,494,428,649,1735,1738,1912,2039,670,98,12,9284,447,172,288,323,406,757,1866,1002,262,5529,92,154,509,477,543,482,326,185,42,2817,975,976,2531,2545,2865,3280,2863,1281,317,17631,88,234,710,672,854,684,144,14,0,3401,218,163,507,690,678,692,221,33,0,3203,22,28,126,95,102,154,42,6,0,566,19,22,41,33,25,28,7,6,0,178,350,451,1387,1490,1651,1553,412,57,0,7350,27,20,40,44,41,38,3,0,0,211,30,16,28,38,36,35,9,0,0,197,59,41,70,79,74,72,18,0,0,414
SOSR522,102,229,725,702,802,733,227,27,0,3548,54,83,135,126,123,198,127,35,3,893,3,10,53,70,69,106,38,10,0,369,5,17,37,22,20,25,13,0,0,144,168,336,953,921,1014,1067,405,75,8,4951,18,44,56,45,44,42,8,0,0,263,16,11,21,19,15,22,9,0,0,115,36,58,78,71,59,65,17,0,0,377,196,395,1031,995,1077,1133,420,75,8,5330,363,165,281,263,280,476,1146,612,138,3722,58,60,174,195,208,222,240,106,35,1288,620,617,1478,1448,1563,1832,1807,796,179,10341,40,160,404,327,453,435,73,13,0,1908,119,130,292,362,312,372,141,16,0,1746,5,15,68,76,55,90,33,3,0,353,6,7,21,15,11,19,6,0,0,87,177,320,774,787,829,912,258,29,0,4089,11,19,26,34,29,17,3,0,0,145,20,11,35,37,18,19,4,0,0,139,33,25,65,67,51,37,7,0,0,281
SOSR531,1014,2801,8240,9485,10946,9142,2603,444,46,44725,1035,648,981,1088,1393,1976,1455,429,53,9050,100,180,604,831,984,1069,364,32,5,4173,68,87,208,227,219,201,105,57,18,1195,2216,3716,10028,11632,13539,12395,4529,963,126,59138,96,125,199,197,223,221,51,0,0,1109,146,51,44,42,58,88,62,4,0,503,237,180,245,238,282,308,112,8,0,1608,2450,3895,10275,11869,13822,12697,4639,969,129,60745,1915,741,1783,1715,1643,3230,7278,3430,628,22355,437,1247,4364,4435,4353,3276,1346,470,86,20012,4805,5878,16417,18019,19811,19205,13265,4870,842,103108,429,1453,3207,3243,4734,3769,882,139,10,17852,1446,912,2051,3572,3931,3840,1491,220,9,17475,97,161,651,551,607,883,213,19,0,3182,72,73,112,119,161,133,77,37,4,784,2047,2598,6023,7488,9433,8623,2662,410,20,39300,57,61,110,99,112,115,13,0,0,576,149,46,87,108,123,122,28,0,0,659,208,112,194,208,233,236,38,0,0,1230
SOSR579,3,49,219,432,404,198,25,6,0,1339,0,0,7,19,13,12,3,0,0,54,0,0,12,27,33,21,7,0,0,99,0,0,0,6,3,6,0,0,0,18,3,54,237,494,451,234,32,6,0,1517,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,5,0,0,0,7,6,54,242,491,457,240,32,6,0,1525,0,0,4,10,5,19,46,6,0,87,10,28,191,410,372,193,35,0,0,1247,13,81,430,908,842,449,117,15,0,2854,7,22,51,25,22,18,0,0,0,139,0,0,5,0,3,4,0,0,0,20,0,0,4,3,7,8,3,5,0,25,0,0,0,0,0,0,0,0,0,3,7,23,54,28,32,29,5,5,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,469,2068,8933,7570,6928,4782,896,62,0,31719,1337,1835,3999,2043,1473,1690,1125,205,8,13718,94,128,316,281,279,278,109,18,0,1489,29,93,287,132,104,60,23,3,7,745,1931,4125,13531,10031,8782,6812,2158,288,15,47668,161,401,732,363,237,188,27,6,0,2103,445,331,374,118,92,82,46,0,0,1495,605,731,1110,478,322,272,72,3,0,3596,2533,4851,14645,10509,9108,7079,2228,291,15,51268,2643,1194,1789,1375,1516,3109,6557,4556,1623,24367,208,255,741,494,438,400,400,305,144,3377,5381,6303,17165,12380,11063,10594,9183,5156,1785,79008,174,1548,5830,4490,4889,3199,437,23,0,20582,1911,2410,5665,4920,4004,3555,1205,117,10,23783,117,190,812,515,368,386,110,14,0,2504,43,77,229,94,75,55,24,8,5,607,2246,4220,12531,10013,9326,7191,1773,160,14,47471,90,207,553,221,131,94,12,0,0,1318,430,296,485,236,171,139,26,0,0,1785,526,502,1037,454,308,234,36,0,0,3107
SOSR611,251,1092,3426,2920,2837,2113,391,30,4,13068,647,655,1263,711,644,709,423,77,11,5130,50,51,141,85,113,125,29,9,0,594,11,55,108,50,33,34,12,4,5,302,959,1846,4940,3764,3627,2983,857,116,14,19102,63,196,283,162,121,88,14,0,0,918,166,124,112,47,49,36,12,0,0,548,229,314,396,206,170,123,20,0,0,1461,1193,2164,5334,3966,3793,3104,881,114,14,20559,1089,449,652,556,680,1143,2659,2050,701,9979,123,196,373,208,214,190,172,135,63,1672,2402,2808,6356,4730,4681,4433,3711,2300,781,32205,128,752,2031,1590,1946,1299,164,5,0,7921,985,925,1984,1934,1822,1509,485,31,3,9680,80,76,275,163,136,168,49,3,0,951,26,31,68,37,32,21,8,3,0,231,1222,1787,4360,3730,3936,2998,711,39,6,18780,51,83,144,69,79,53,7,0,0,492,154,106,132,82,73,85,13,0,0,651,198,192,283,149,156,136,26,0,0,1141
SOSR612,167,590,1609,1360,1436,1151,202,9,0,6520,373,258,446,277,301,352,207,40,0,2255,16,31,81,70,74,88,20,0,5,385,13,23,53,23,30,25,12,4,0,196,576,899,2190,1727,1844,1621,438,55,7,9354,55,97,138,90,89,58,11,0,0,533,61,32,41,23,29,32,5,0,0,229,118,128,179,119,118,85,15,0,0,761,694,1028,2371,1846,1960,1711,455,53,7,10124,562,195,346,328,497,814,1791,1337,414,6282,62,57,167,120,154,133,116,124,59,978,1310,1283,2880,2294,2614,2650,2361,1515,472,17381,77,434,886,801,960,650,81,3,0,3895,528,434,963,944,893,899,212,17,0,4894,15,35,161,74,82,92,18,0,0,480,11,15,31,19,20,14,15,3,0,128,638,918,2041,1834,1959,1653,318,33,3,9396,25,42,62,55,53,27,5,0,0,259,72,34,63,59,57,36,4,0,0,318,91,71,121,111,111,63,4,0,0,575
SOSR613,54,131,345,358,400,345,53,0,0,1695,95,60,94,75,84,117,63,19,0,601,10,9,19,11,26,39,7,0,0,119,0,12,6,5,11,8,7,4,0,50,155,213,459,451,512,510,132,19,4,2457,15,20,31,13,19,15,4,0,0,116,11,13,6,5,4,0,5,0,0,44,26,25,38,23,29,14,8,0,0,162,183,241,492,473,540,526,138,23,4,2625,155,47,71,71,124,273,625,474,158,1993,22,17,24,38,28,33,38,32,22,256,353,306,591,584,692,833,809,526,184,4871,23,100,194,185,268,176,30,0,0,976,147,112,235,251,298,313,63,9,0,1430,3,13,32,25,22,40,7,0,0,147,10,5,8,3,6,9,0,0,0,46,188,227,469,470,594,534,105,11,0,2597,4,10,15,9,10,3,0,0,0,51,25,10,10,9,15,14,0,0,0,87,28,16,27,21,29,21,3,0,0,142
SOSR614,67,198,594,526,494,495,80,0,0,2460,87,83,114,131,109,166,77,12,0,779,7,6,31,21,26,47,22,0,0,152,4,8,19,14,10,18,10,0,0,75,165,296,751,699,636,718,183,19,0,3467,16,33,31,35,26,24,3,0,0,164,17,8,11,4,9,16,8,0,0,80,34,44,39,39,36,44,6,0,0,247,205,336,795,737,670,760,197,23,0,3713,207,66,75,121,182,383,738,461,121,2358,28,26,50,61,53,65,60,36,17,395,436,425,924,915,908,1205,993,517,142,6464,21,141,283,260,323,243,39,0,0,1310,166,139,325,379,350,328,83,4,0,1780,8,13,53,45,34,34,11,3,0,206,3,8,13,16,0,6,0,0,0,55,203,304,669,706,712,616,132,10,0,3353,9,14,18,18,17,6,0,0,0,87,28,11,17,18,9,25,0,0,0,106,36,21,35,36,29,33,3,0,0,197
SOSR615,262,807,2379,2118,2081,1732,310,24,3,9703,401,271,473,385,403,621,354,61,4,2969,28,31,100,88,119,141,54,5,0,555,19,35,65,39,60,32,17,5,0,270,712,1145,3012,2617,2655,2521,733,92,6,13499,65,127,130,85,113,92,6,0,0,617,74,39,40,35,38,37,16,0,0,279,143,163,167,118,147,135,22,0,0,899,853,1307,3180,2738,2804,2659,752,97,9,14398,791,193,307,329,570,1294,3247,2105,631,9467,88,71,173,179,161,174,234,169,112,1369,1729,1574,3669,3246,3537,4133,4235,2365,751,25237,86,538,1213,982,1341,927,151,4,0,5257,566,540,1274,1447,1396,1352,393,43,0,7007,37,61,249,141,112,147,38,0,0,790,30,20,52,23,37,24,12,3,4,215,712,1159,2794,2598,2886,2459,589,57,4,13265,31,55,73,63,76,56,9,0,0,354,80,40,77,56,57,80,12,0,0,395,112,89,149,120,131,138,21,0,0,757
SOSR621,86,236,711,745,798,653,162,15,0,3417,103,89,172,180,200,291,178,44,0,1256,12,17,43,46,51,68,22,0,0,262,7,8,17,26,13,26,3,4,0,112,212,359,943,994,1067,1041,370,65,0,5041,21,27,36,23,39,34,5,0,0,183,13,12,11,10,12,23,9,0,0,81,35,39,41,36,49,54,14,0,0,259,244,396,987,1037,1118,1090,379,61,0,5300,248,59,93,100,206,517,1141,738,187,3284,41,41,67,68,84,103,97,75,15,589,531,487,1146,1205,1403,1709,1611,875,202,9173,24,133,335,353,477,365,56,3,0,1735,196,145,419,497,535,531,156,19,0,2493,13,12,90,48,46,67,22,3,0,302,6,4,10,14,24,13,3,4,0,75,236,298,856,907,1072,979,238,25,0,4612,8,14,19,15,18,18,5,0,0,90,22,9,22,23,20,32,14,0,0,132,31,21,38,37,36,45,18,0,0,225
SOSR622,35,84,240,251,321,316,61,11,0,1327,33,34,63,59,90,121,74,13,8,494,6,4,12,10,13,22,12,0,0,78,0,4,9,6,7,10,4,4,0,47,79,132,325,334,432,474,157,26,7,1948,7,9,15,8,15,14,0,0,0,67,9,9,4,4,8,12,3,0,0,41,19,13,23,10,21,27,3,4,0,113,86,145,347,342,453,499,156,24,9,2059,93,24,39,61,106,273,611,313,65,1590,13,18,28,18,33,45,63,45,29,287,197,188,410,424,590,815,831,378,99,3934,15,49,122,138,176,134,32,0,0,665,74,56,124,157,201,299,62,6,0,976,3,5,25,18,15,27,4,3,0,107,0,3,13,5,21,6,0,0,0,50,100,113,284,317,414,465,106,10,0,1795,0,6,8,5,11,9,0,0,0,39,5,8,11,8,9,13,0,0,0,57,8,13,21,16,21,21,4,0,0,100
SOSR631,579,1280,3146,3796,4459,3905,1022,162,12,18361,706,358,704,830,1079,1585,976,197,21,6460,57,51,155,190,273,335,102,20,8,1193,32,68,93,119,121,118,42,24,6,638,1374,1767,4093,4937,5938,5940,2146,410,51,26660,69,151,187,106,162,177,18,3,0,875,121,53,47,45,51,86,26,0,0,430,190,197,230,150,212,262,45,0,0,1299,1567,1963,4328,5086,6151,6204,2195,408,51,27961,1379,288,491,521,1033,2678,5168,2525,468,14555,170,124,362,369,435,514,458,231,67,2724,3117,2375,5178,5977,7619,9391,7821,3166,588,45239,205,665,1552,1977,2594,1895,357,44,0,9291,983,737,1740,2549,2864,2826,773,118,9,12604,62,82,361,247,253,323,80,16,0,1419,25,38,73,66,94,75,37,13,0,426,1277,1526,3725,4844,5802,5120,1249,188,10,23736,49,65,95,64,82,81,14,0,0,451,132,51,68,85,82,128,15,0,0,558,182,111,160,151,166,206,32,0,0,1007
SOSR679,0,8,42,54,52,35,7,0,0,208,0,0,4,0,0,0,0,0,0,11,0,0,3,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,52,60,58,44,10,0,0,228,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,52,60,57,44,10,0,0,230,3,3,0,0,3,5,16,0,0,31,0,0,0,4,15,11,0,0,0,31,0,9,58,65,70,62,25,4,0,289,0,6,3,9,11,4,0,0,0,30,0,0,3,0,3,6,0,0,0,11,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,421,2211,7302,6469,5198,3502,886,63,4,26062,935,855,1605,1022,733,711,464,69,3,6409,66,97,384,373,370,435,149,11,0,1880,44,97,222,138,106,78,19,3,3,715,1462,3256,9513,8007,6409,4731,1525,147,14,35058,105,157,275,181,162,161,36,3,0,1084,162,75,85,39,41,56,31,7,0,497,267,235,358,221,208,219,67,5,0,1582,1730,3493,9875,8222,6617,4951,1588,154,18,36639,1401,648,1144,958,918,1509,3263,1568,303,11715,279,532,1368,1074,983,933,654,196,40,6069,3406,4673,12383,10260,8516,7389,5506,1926,362,54421,268,1564,5740,4951,4261,2650,484,27,0,19947,1148,1093,2869,2380,1570,1204,493,54,0,10807,61,146,767,529,353,444,137,9,0,2439,32,62,191,105,67,61,18,7,0,541,1512,2859,9567,7964,6246,4359,1132,91,7,33737,65,106,214,146,95,88,7,0,0,722,178,81,180,123,74,55,17,3,0,703,242,184,396,266,161,140,24,0,0,1422
SOSR712,100,307,1417,1287,1011,860,212,11,0,5203,190,74,225,217,118,157,101,18,0,1103,8,15,71,69,64,116,41,3,0,393,4,8,45,26,13,8,0,3,0,118,301,409,1764,1603,1209,1142,355,35,0,6814,16,30,45,42,33,27,0,0,0,192,22,11,17,12,11,10,4,3,0,94,38,43,62,54,42,36,8,3,0,284,343,450,1825,1656,1257,1178,364,36,0,7106,345,124,251,208,194,303,636,263,52,2376,53,56,228,185,160,178,163,34,7,1068,743,630,2300,2049,1613,1659,1162,336,55,10551,87,268,1307,912,922,705,153,13,0,4371,196,127,470,463,268,263,123,11,0,1921,11,26,152,96,84,103,18,0,0,504,0,13,36,25,19,15,6,0,0,106,303,433,1969,1495,1299,1083,302,22,0,6904,8,17,45,30,22,12,0,0,0,134,21,13,19,21,17,14,4,0,0,115,30,34,66,49,35,32,11,0,0,252
SOSR714,25,113,351,267,189,165,36,3,0,1151,21,23,53,44,23,37,28,5,0,226,0,3,24,12,21,36,10,0,0,114,3,9,14,10,6,10,3,0,0,55,45,151,442,334,232,244,78,10,0,1542,0,11,15,19,10,7,0,0,0,58,9,0,10,0,5,6,5,0,0,29,8,13,29,19,11,10,4,0,0,87,56,162,467,350,247,252,81,10,0,1628,88,30,47,44,68,105,195,84,11,679,28,44,102,99,81,81,49,14,3,499,167,238,624,493,396,445,323,110,16,2811,18,89,347,205,181,144,33,0,0,1016,36,30,79,69,52,53,16,0,0,342,3,12,40,20,21,37,8,0,0,151,0,5,3,4,6,6,5,0,0,26,58,141,476,294,262,242,54,3,0,1531,5,6,6,6,12,5,0,0,0,42,0,13,8,8,0,0,0,0,0,27,10,17,13,15,13,3,0,0,0,67
SOSR715,32,104,457,448,373,299,93,9,0,1811,34,32,89,94,69,58,27,3,0,408,0,8,19,22,20,19,6,0,0,104,14,12,27,18,27,12,3,0,0,114,85,149,590,582,484,391,130,10,0,2432,43,54,108,76,44,15,3,0,0,348,29,25,40,32,15,10,4,0,0,146,76,74,143,108,57,26,5,0,0,496,155,227,736,691,537,418,141,10,0,2924,606,423,659,548,421,283,193,58,10,3198,70,67,188,161,144,126,55,15,0,809,833,715,1583,1398,1101,825,384,87,10,6931,25,101,432,353,358,248,44,3,0,1570,58,51,147,187,113,75,27,3,0,664,6,16,40,21,21,17,8,0,0,123,13,15,26,19,18,4,0,0,0,89,96,182,642,576,511,348,85,8,0,2448,28,46,94,55,32,16,0,0,0,262,23,21,47,31,22,4,4,0,0,152,52,69,136,81,53,21,3,0,0,416
SOSR721,36,125,362,353,334,286,65,3,0,1562,29,31,83,92,64,52,25,5,0,383,4,17,41,42,43,48,23,0,0,216,4,6,17,9,12,4,0,0,0,61,70,176,505,498,456,394,113,13,0,2221,15,34,45,28,15,18,0,0,0,159,8,12,18,14,8,9,0,0,0,63,23,50,65,41,17,20,0,0,0,222,92,223,569,538,477,413,120,13,0,2436,391,284,487,321,293,225,261,88,12,2371,26,34,111,93,90,91,53,16,0,507,511,541,1167,950,862,736,434,106,12,5318,41,125,313,268,268,241,57,3,0,1316,43,49,142,164,109,87,33,3,0,623,5,9,43,38,44,68,12,0,0,218,3,3,18,5,8,3,0,0,0,52,89,179,517,476,431,406,101,10,0,2211,20,18,44,32,19,10,0,0,0,140,10,10,14,12,6,0,0,0,0,49,32,24,60,46,29,10,0,0,0,194
SOSR722,18,59,204,238,203,193,68,5,0,984,20,48,90,87,66,57,33,8,0,405,0,7,29,27,41,61,37,3,0,211,4,6,15,13,9,17,4,0,0,69,44,121,338,363,323,327,145,17,0,1673,35,53,88,53,28,9,0,0,0,268,16,15,29,23,11,3,0,0,0,91,47,61,111,81,36,18,0,0,0,359,92,180,451,443,357,346,144,17,0,2031,357,264,471,328,306,302,434,123,20,2589,31,33,98,64,75,116,99,24,0,544,481,485,1013,829,739,757,678,160,21,5165,14,47,176,164,203,189,34,0,0,831,27,49,135,144,109,80,26,0,0,567,0,9,27,40,50,69,21,0,0,211,4,8,16,16,9,20,0,0,0,68,50,112,356,357,372,345,86,4,0,1683,27,38,54,39,18,15,0,0,0,191,14,24,23,25,13,8,0,0,0,99,35,62,79,60,29,24,3,0,0,295
SOSR731,256,586,1471,1432,1609,1152,307,44,0,6861,163,120,215,187,252,294,140,29,5,1404,17,33,139,198,267,367,130,10,0,1158,19,34,50,48,46,38,20,5,0,260,455,774,1884,1865,2167,1855,605,81,5,9689,38,44,102,52,82,56,16,0,0,398,20,8,31,16,17,17,14,0,0,122,58,51,131,70,104,81,31,0,0,526,515,827,2013,1935,2271,1929,627,81,5,10207,573,388,726,618,542,1107,2036,614,54,6668,168,298,752,653,748,669,513,137,8,3941,1256,1515,3494,3209,3556,3708,3175,835,67,20822,164,401,949,958,1176,760,151,15,0,4580,267,153,398,474,458,415,150,13,0,2339,13,40,238,207,270,342,83,3,0,1196,13,23,32,32,32,32,12,3,0,177,466,621,1614,1671,1940,1549,399,27,4,8293,34,43,79,64,56,31,7,0,0,314,24,13,28,20,27,24,3,0,0,145,62,55,106,91,87,55,13,0,0,458
SOSR779,5,8,24,60,64,54,6,0,0,215,0,0,3,5,3,4,0,0,0,12,0,0,0,0,4,0,0,0,0,11,0,0,7,0,0,0,0,0,0,12,3,12,33,60,75,60,4,0,0,249,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,33,59,75,63,4,0,0,253,0,0,0,0,0,3,8,4,0,29,4,5,15,41,43,33,7,0,0,136,10,17,51,101,111,97,19,4,0,414,0,10,3,6,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,1393,7009,25667,25293,20366,10967,2146,149,13,93003,4293,5231,5777,3830,2737,2807,1768,375,28,26859,309,377,818,818,674,622,211,29,8,3865,68,212,560,335,214,100,32,6,4,1547,6067,12830,32824,30276,23995,14507,4163,563,49,125273,206,489,816,553,465,357,67,3,0,2953,1079,544,344,159,121,158,87,12,0,2506,1287,1027,1164,707,585,512,154,18,0,5458,7352,13859,33990,30983,24573,15021,4311,585,56,130729,5457,2314,2682,1822,2225,5747,11271,7556,2540,41614,566,987,1879,1352,943,730,561,428,263,7699,13381,17161,38545,34158,27736,21494,16146,8571,2856,180045,780,6196,20430,17649,15987,8229,1096,44,0,70415,5606,6666,8975,9677,6499,4850,1844,220,21,44361,386,528,2187,1716,847,728,205,23,5,6621,58,173,391,196,145,74,29,11,0,1070,6831,13559,31985,29247,23479,13881,3178,294,29,122472,119,261,588,368,262,179,17,0,0,1793,1013,452,429,341,229,214,60,3,0,2739,1135,714,1020,705,494,395,80,3,0,4538
SOSR822,4,6,21,32,38,13,0,0,0,119,8,0,6,5,7,3,3,4,0,40,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,13,14,28,41,46,17,3,5,0,166,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,9,15,13,28,41,46,21,5,5,0,174,12,0,0,3,0,6,20,6,0,59,0,0,0,0,0,0,8,0,0,8,28,13,30,47,47,25,30,15,0,239,0,7,11,28,23,14,0,0,0,87,16,8,4,15,21,7,4,0,0,72,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,15,20,38,44,25,10,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
