SOSR_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR201,645,1207,7667,5754,1607,10984,2290,14094,825,45075,4572,14371,25973,12125,8537,14392,9524,16400,2637,108522,32176,84170,62334,19346,22853,17142,26159,26538,7153,297867,57379,83556,49413,13095,20479,13115,24124,18608,6277,286049,52397,54477,40277,10515,15838,10942,22524,17949,4720,229648,32649,34877,28675,7602,11846,7832,20165,15242,3056,161938,8665,13006,6878,2001,3624,2704,5050,4671,994,47601,1408,2162,705,194,453,486,327,681,277,6688,123,134,37,17,35,39,11,47,89,530,190026,287979,221956,70638,85258,77642,110167,114236,26018,1183922,659,1548,1129,11739,3096,24733,578,5963,699,50143,4823,20211,5086,25573,16691,22671,2170,6910,1909,106048,28138,111522,13811,40131,44244,19804,4241,12279,5238,279413,38381,93962,10810,33174,46373,14721,3602,10301,4704,256034,33104,63444,8799,30470,48674,15063,4329,12264,3538,219687,16020,36874,5222,20822,37274,11141,3169,10898,2007,143436,3301,9381,1088,4239,9696,2658,557,2738,614,34278,357,824,78,261,857,253,43,312,228,3210,20,51,3,4,35,11,0,12,81,230,124815,337822,46022,166412,206934,111058,18703,61685,19021,1092471
SOSR203,96,59,1090,515,97,1250,231,1786,86,5217,414,854,2821,1076,467,1155,773,1723,214,9508,2088,4765,6232,1892,1237,1350,2125,2813,434,22935,3249,4402,4224,1294,1118,889,1675,1958,332,19157,3274,3452,3282,1285,1054,825,1955,1723,339,17198,2142,2320,2582,895,864,708,1989,1628,251,13374,622,850,571,233,246,242,523,496,87,3867,113,92,55,20,30,43,36,63,43,490,14,5,5,0,0,0,0,5,7,44,12012,16802,20864,7218,5112,6464,9320,12199,1792,91778,78,64,187,1327,273,2865,83,786,64,5715,438,1452,586,3126,1249,1926,202,787,119,9879,1679,7979,1287,4235,3231,1728,273,1219,264,21885,2044,6715,915,3161,3509,1205,213,1083,253,19098,1959,4902,731,3199,3868,1329,258,1341,222,17803,1197,3269,464,2639,3146,1139,258,1394,155,13667,284,748,80,488,719,249,51,347,50,3019,30,44,3,21,46,15,3,45,28,233,0,3,0,0,0,3,0,0,11,27,7710,25168,4247,18192,16047,10454,1344,7007,1167,91338
SOSR211,14,18,438,85,27,296,65,408,26,1387,106,108,979,168,107,204,341,434,60,2498,504,738,1884,513,423,346,1317,949,187,6864,769,955,1404,495,440,253,1411,762,160,6643,657,507,901,347,339,206,1039,593,107,4689,397,320,606,213,227,132,774,431,83,3181,111,100,130,51,72,44,184,137,19,844,13,13,8,4,0,4,8,16,0,81,0,0,0,0,0,4,0,0,3,8,2564,2756,6349,1875,1632,1490,5139,3729,652,26187,18,15,47,244,89,758,26,182,29,1401,100,222,127,564,352,455,116,156,40,2133,415,1491,304,1424,1091,558,221,392,134,6026,528,1288,264,1241,1126,415,164,406,85,5520,372,760,162,894,996,405,166,419,75,4257,214,409,108,619,776,325,85,330,33,2896,39,93,19,121,161,64,21,83,7,615,0,0,0,0,13,0,0,10,7,39,0,0,0,0,0,0,0,0,0,4,1694,4290,1032,5108,4605,2974,802,1983,414,22891
SOSR212,62,43,875,292,61,951,146,1269,57,3761,251,388,1896,442,240,566,446,984,96,5311,1319,2385,4172,1026,640,752,1172,1888,308,13671,2416,2576,3144,865,702,605,1262,1532,253,13356,2620,2122,2532,840,721,653,1494,1410,296,12696,1884,1622,1899,610,648,565,1547,1181,187,10149,543,605,456,143,233,185,415,361,61,2998,89,72,40,12,26,29,34,53,18,383,15,0,0,3,0,4,0,0,5,32,9208,9820,15014,4235,3275,4310,6529,8676,1287,62354,46,46,120,892,217,1990,43,506,65,3930,231,763,335,1570,780,993,90,444,89,5295,1086,4606,780,2513,2084,1030,143,952,193,13381,1588,4458,630,2120,2488,895,129,842,208,13355,1600,3322,525,2299,3008,1090,152,948,190,13129,944,2209,380,1785,2577,968,122,946,104,10034,203,500,81,349,605,205,29,252,46,2272,10,26,0,17,43,16,3,20,17,153,0,0,0,0,0,0,0,0,11,20,5713,15940,2848,11551,11791,7197,701,4908,921,61575
SOSR213,66,35,904,230,62,784,134,1204,68,3471,256,268,1781,363,176,463,404,980,81,4785,1156,1723,3877,851,506,655,1264,1968,263,12257,1826,1887,2889,771,535,541,1343,1469,265,11531,1916,1532,2465,764,577,542,1577,1394,232,10997,1479,1242,1891,616,595,468,1670,1217,196,9365,489,516,501,154,188,184,464,363,62,2909,109,71,46,17,25,27,43,46,25,423,19,8,3,0,0,0,3,3,9,46,7325,7273,14363,3769,2654,3662,6901,8643,1201,55783,46,37,135,787,176,1704,45,556,59,3530,229,614,317,1367,652,899,87,440,69,4665,857,3589,707,2519,1856,966,154,898,182,11716,1121,3218,618,2178,2209,887,118,851,166,11370,1146,2596,508,2421,2510,1028,175,1080,167,11624,788,1890,338,1894,2121,859,178,1082,93,9237,223,484,60,388,541,179,23,268,44,2205,35,23,5,19,26,10,3,22,29,179,3,0,0,0,4,0,0,0,8,18,4453,12455,2686,11558,10092,6525,779,5198,812,54555
SOSR214,44,13,459,144,26,403,54,576,43,1758,128,111,939,231,82,242,181,574,49,2536,601,812,2001,436,211,343,595,1060,150,6200,930,860,1571,372,235,268,599,805,124,5756,1044,768,1406,427,293,303,766,846,145,6005,960,729,1117,388,320,304,912,790,141,5669,369,366,326,114,120,132,284,258,61,2032,89,61,39,10,10,25,13,35,30,312,12,5,3,0,0,0,0,3,4,27,4175,3718,7867,2126,1288,2027,3406,4938,749,30299,24,10,67,454,86,834,19,283,21,1792,90,309,158,730,266,435,36,272,41,2332,440,1634,405,1260,906,518,63,514,98,5843,666,1606,334,1101,1079,454,66,481,75,5857,780,1355,311,1282,1347,625,88,609,81,6479,516,1148,263,1133,1291,552,81,666,80,5726,197,336,53,258,380,146,14,154,35,1572,26,33,0,15,32,8,0,20,14,149,0,4,0,0,0,0,0,0,10,20,2739,6428,1583,6227,5404,3566,366,2996,459,29776
SOSR215,57,30,785,240,30,567,88,843,62,2703,211,191,1528,286,107,295,282,784,79,3766,1011,1079,3522,644,309,427,1094,1549,226,9864,1728,1392,2734,544,434,406,1152,1234,198,9824,1940,1389,2323,565,438,459,1477,1334,234,10160,1669,1215,2020,530,505,431,1646,1284,209,9504,669,558,522,164,206,183,540,400,96,3346,191,92,55,17,32,32,38,48,34,546,25,0,0,0,0,0,0,4,10,45,7508,5943,13492,2985,2058,2806,6321,7495,1161,49765,30,19,112,714,110,1195,21,402,73,2681,153,396,243,1032,485,597,59,352,54,3374,727,2652,678,1916,1553,795,117,656,125,9216,1134,2752,559,1740,1827,705,112,708,156,9683,1333,2334,504,1962,2078,903,155,934,141,10339,988,1849,399,1726,2060,924,150,1019,128,9244,291,538,87,345,542,203,28,279,58,2375,57,39,7,15,51,18,5,32,25,256,7,4,0,0,4,0,0,0,11,25,4723,10590,2589,9463,8710,5331,641,4383,766,47194
SOSR221,22,7,215,50,7,128,26,263,23,744,52,36,390,61,19,95,85,195,17,947,291,264,791,148,74,106,259,373,41,2344,501,352,798,141,104,108,286,297,53,2652,540,390,686,185,135,124,407,358,59,2885,555,374,649,159,131,135,461,389,65,2911,270,202,149,41,55,61,120,101,16,1010,57,27,10,5,7,5,14,13,15,147,9,0,0,0,0,0,0,0,0,12,2300,1654,3691,787,536,759,1657,1987,281,13655,13,4,21,202,33,329,10,131,14,754,36,106,62,233,111,143,14,79,19,806,192,646,149,464,372,208,25,151,37,2236,269,750,130,433,521,203,30,181,37,2547,390,688,158,537,636,252,46,247,51,3003,314,602,104,518,602,245,41,308,45,2782,81,174,17,105,149,70,9,64,15,696,14,8,3,0,11,6,0,13,4,53,0,0,0,0,0,0,0,0,0,6,1312,2976,650,2490,2439,1445,177,1185,219,12896
SOSR222,7,11,97,57,6,71,23,125,18,409,31,22,230,121,10,66,104,148,20,757,175,170,466,172,37,82,195,231,38,1567,324,232,409,85,46,50,153,187,38,1529,379,250,392,124,76,92,264,226,46,1859,352,241,366,122,72,60,298,247,36,1798,153,100,105,37,34,36,114,69,26,674,43,16,8,4,8,8,5,3,8,92,0,0,0,0,0,0,0,0,0,8,1476,1042,2084,723,284,465,1158,1235,225,8685,4,6,22,191,25,145,19,101,5,519,31,76,49,260,85,116,51,87,6,758,147,342,103,309,197,131,39,136,20,1415,221,439,76,228,282,113,11,100,24,1505,263,460,83,305,334,146,29,156,23,1808,225,358,80,287,313,155,31,189,22,1658,55,80,13,58,91,33,3,48,8,402,17,4,0,5,7,3,0,0,3,40,4,0,0,0,0,0,0,0,0,4,962,1762,432,1636,1347,847,180,825,118,8110
SOSR231,286,57,1983,519,79,1107,324,2114,164,6636,758,395,2941,587,212,563,661,1517,175,7808,2864,1467,4503,783,390,471,1438,2289,325,14528,5263,2199,4618,747,561,567,1998,2066,385,18399,7481,2792,5413,1003,817,813,2977,2573,518,24372,8225,2827,4565,987,835,872,3307,2774,510,24895,5211,1452,1197,279,353,346,1037,1055,267,11201,1912,200,106,23,50,63,90,165,153,2774,279,7,9,0,0,0,9,27,42,371,32267,11396,25338,4925,3300,4808,11836,14582,2531,110990,148,80,301,1581,290,2492,64,1152,160,6262,358,796,570,1793,877,1066,139,842,123,6559,1584,3875,1001,2402,2231,978,218,1201,243,13736,2960,5092,1044,2333,3562,1037,197,1206,284,17711,4417,5753,1161,3411,5251,1618,312,1745,349,24007,4242,4777,926,3099,4673,1488,312,1908,325,21760,2594,1260,214,614,1388,331,58,538,200,7198,772,72,13,25,162,33,3,100,97,1286,72,0,0,0,19,0,0,4,28,132,17133,21713,5231,15256,18449,9039,1304,8703,1797,98636
SOSR279,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,4,0,0,0,3,4,0,11,3,11,6,7,0,0,5,7,0,39,9,10,11,0,4,0,11,6,4,44,0,8,7,3,0,0,12,8,0,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,39,6,4,0,31,33,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,22
SOSR301,455,770,5031,3267,981,7173,2514,9686,467,30340,2414,7902,12993,6745,4379,6723,5945,9452,1240,57788,13728,33468,30769,10083,9690,7777,13914,14167,2941,136535,24217,36366,25605,7180,9517,5832,12977,10453,2784,134929,24469,28107,20440,6324,8312,5147,12222,9435,2164,116613,14664,16734,14038,3913,5988,3896,10346,7426,1348,78358,3518,5275,3100,1000,1531,1293,2675,2089,389,20877,560,719,238,91,186,215,198,243,127,2594,51,37,11,4,18,20,14,10,39,190,84075,129385,112228,38609,40592,38079,60807,62960,11499,578228,551,1046,1066,8946,2506,14582,605,4480,488,34268,2835,11195,3015,15288,10533,9761,1252,3684,913,58470,12603,46609,6704,21516,24012,9824,2003,6993,2289,132557,17488,45274,5122,17884,25791,7130,1557,6221,2160,128627,15753,33683,4279,16690,26820,7350,1690,6962,1604,114838,7399,18823,2392,11313,19506,5543,1256,6036,916,73191,1386,3862,475,2058,4581,1428,273,1398,238,15704,157,306,35,106,370,133,8,131,95,1343,15,5,0,0,14,5,0,0,38,85,58185,160809,23093,93811,114133,55757,8641,35917,8745,559088
SOSR302,169,250,2356,1409,281,3082,732,4030,243,12541,800,1791,5403,2309,911,2433,1335,3268,470,18712,4745,8303,12592,3797,2064,2989,3434,5053,1065,44051,8728,9524,11648,2933,2258,2605,3423,4053,1014,46189,9393,8608,9844,3020,2410,2881,3895,4071,969,45090,6387,5808,6839,2040,2025,2324,3549,3475,643,33090,2196,2381,1675,444,652,1029,1206,1142,242,10970,442,347,124,48,109,199,134,147,96,1657,30,20,7,0,12,4,3,7,26,120,32890,37029,50481,16006,10716,17548,17726,25251,4765,212407,204,326,429,4058,809,6224,200,1839,229,14317,1027,3135,1036,5960,3075,3961,364,1254,345,20138,4690,13894,2584,8670,7474,4089,549,2304,822,45081,6261,14601,2207,7440,9206,3493,441,2336,835,46820,5994,12110,2001,7763,10919,4289,509,2835,717,47142,3416,7225,1225,5578,8711,3753,440,2697,429,33463,930,1750,271,1107,2497,1134,116,689,163,8657,108,119,21,55,238,129,9,69,51,796,0,8,0,3,9,3,0,0,25,53,22626,53169,9770,40628,42940,27073,2629,14029,3605,216467
SOSR303,94,86,1351,771,137,1598,330,1976,135,6487,436,870,3084,1877,473,1073,877,1700,224,10613,1986,3998,6499,2984,979,1234,2073,2664,492,22909,3122,3922,5016,1959,1074,929,2240,2047,385,20690,3365,3780,4411,1733,1191,962,2549,1958,384,20332,2448,2728,3180,1194,1064,799,2434,1775,282,15893,736,975,786,261,237,281,676,498,86,4536,129,124,71,31,42,44,48,81,31,610,12,7,5,0,4,0,0,5,6,39,12325,16484,24399,10809,5200,6925,11233,12698,2021,102110,124,170,293,1940,507,3274,83,929,136,7451,455,1822,640,3197,1586,1708,166,622,150,10357,1698,7406,1272,4752,3759,1815,271,1197,301,22459,2384,6923,1005,4148,4318,1458,241,1433,285,22205,2496,5843,878,4121,4870,1754,261,1630,267,22129,1530,3737,507,2818,3939,1434,217,1521,190,15899,324,897,122,582,985,444,47,452,58,3910,41,69,13,37,95,40,6,51,25,370,5,0,0,0,7,3,0,6,3,29,9059,26867,4725,21599,20076,11937,1285,7844,1423,104809
SOSR311,64,35,874,282,57,1013,220,1206,73,3826,167,376,1721,490,161,518,565,1069,98,5166,837,1610,3800,906,385,616,1436,1688,246,11529,1335,1692,3194,754,434,500,1603,1275,276,11059,1496,1542,2668,722,524,472,1849,1221,250,10736,1220,1206,2107,582,508,456,1814,1100,182,9174,345,393,461,142,118,168,438,289,57,2406,60,47,31,8,14,13,35,36,19,272,6,0,0,0,4,5,3,0,4,23,5530,6901,14853,3894,2197,3753,7960,7882,1207,54183,50,60,171,1028,280,1814,43,519,76,4042,212,812,359,1428,834,831,112,426,74,5092,789,3133,694,2240,2073,1040,233,913,173,11296,1063,3146,508,2231,2254,952,190,913,173,11420,1145,2636,474,2353,2552,964,234,1105,159,11621,712,1745,320,1859,2006,887,156,1065,108,8860,169,402,54,346,497,221,26,275,40,2025,31,31,3,18,33,12,0,31,16,182,0,0,0,0,4,0,0,0,7,10,4165,11954,2595,11498,10531,6729,996,5250,833,54553
SOSR312,20,17,289,95,12,296,71,424,28,1256,55,86,579,138,43,189,187,432,34,1752,270,472,1357,252,151,216,518,609,110,3953,436,515,1218,230,176,173,544,555,104,3960,567,535,1153,263,239,163,665,522,105,4214,451,478,856,213,204,175,706,463,87,3623,149,157,180,62,40,68,168,135,23,979,22,18,12,3,14,7,9,13,10,110,0,0,0,0,0,0,0,0,5,7,1962,2276,5651,1260,896,1287,2877,3158,502,19860,17,16,56,316,70,599,31,207,18,1343,86,202,129,429,217,293,35,137,35,1564,282,842,254,729,621,346,107,283,75,3540,333,933,202,794,738,363,75,346,51,3835,382,874,202,899,864,404,101,430,53,4200,253,679,111,766,779,367,74,385,36,3450,72,152,19,103,192,64,21,98,19,740,10,6,0,10,13,5,0,9,16,67,0,0,0,0,0,0,0,0,3,4,1437,3695,973,4048,3513,2436,445,1897,298,18740
SOSR313,38,24,643,181,38,648,142,969,52,2739,146,239,1185,239,72,304,388,769,74,3416,700,996,2705,558,303,408,1373,1275,187,8497,1061,1050,2202,447,270,288,1442,820,172,7746,1139,917,1823,427,301,332,1444,712,150,7250,907,767,1340,316,266,287,1230,650,96,5865,315,274,328,62,103,98,334,197,26,1742,71,41,37,0,18,16,32,26,11,258,12,0,0,4,0,0,0,0,4,26,4394,4308,10262,2240,1371,2380,6389,5428,765,37532,29,30,137,678,210,1174,51,319,55,2682,138,580,237,871,592,561,102,299,48,3429,605,2078,478,1568,1405,771,250,677,115,7962,825,1994,384,1419,1627,685,183,658,139,7902,789,1623,324,1342,1602,705,194,688,83,7343,565,1143,184,991,1352,534,136,633,58,5611,134,241,44,181,307,144,23,147,25,1251,24,18,7,11,37,5,0,9,13,118,4,0,0,0,0,0,0,0,3,11,3117,7702,1803,7069,7133,4584,931,3440,533,36311
SOSR314,50,20,652,162,33,522,173,861,50,2524,146,166,1207,168,95,238,396,799,82,3313,752,813,2607,407,260,296,1226,1713,206,8281,1199,913,2299,403,313,299,1473,1048,211,8156,1263,956,2067,429,358,322,1558,965,233,8158,942,739,1494,308,296,278,1426,869,154,6498,297,263,314,78,94,92,398,236,56,1826,93,35,29,6,7,23,31,32,18,275,9,0,0,0,0,5,0,0,5,24,4744,3921,10668,1956,1453,2079,6678,6524,1020,39045,46,56,133,668,180,1045,42,422,45,2640,135,453,222,761,473,451,103,369,49,3018,653,1818,477,1261,1410,599,236,1177,144,7774,838,1857,408,1394,1686,557,211,700,138,7793,872,1597,331,1508,1774,698,198,844,120,7942,549,1005,246,1039,1325,592,116,805,88,5762,137,258,55,224,296,133,26,189,20,1336,31,14,4,16,30,17,0,13,10,139,3,3,0,0,0,0,0,0,10,16,3264,7054,1880,6864,7180,4098,939,4523,628,36417
SOSR315,53,35,911,199,38,716,193,1043,85,3270,143,218,1580,330,116,343,474,1033,100,4335,869,1051,3794,716,330,402,1534,1962,241,10894,1375,1204,3366,591,405,387,1992,1475,271,11070,1696,1334,2813,722,516,410,2392,1477,296,11649,1477,1119,2224,566,482,455,2323,1402,244,10284,577,479,567,133,162,186,628,356,103,3192,110,56,44,10,16,29,52,46,36,396,9,0,0,0,0,0,8,3,18,40,6304,5491,15300,3275,2060,2930,9588,8791,1399,55138,45,46,170,886,207,1358,52,565,63,3389,142,557,359,1170,619,601,161,448,85,4147,843,2397,648,2107,1973,875,352,1083,163,10454,1141,2514,567,2015,2174,863,322,1081,181,10859,1188,2175,505,2209,2342,1057,374,1252,186,11297,910,1789,387,1851,2091,870,235,1249,135,9512,280,404,77,333,542,252,50,306,54,2289,36,26,7,20,49,34,0,20,35,223,8,0,0,3,3,0,0,0,13,25,4594,9911,2725,10581,10008,5910,1539,6008,905,52188
SOSR321,22,17,330,89,13,252,65,390,37,1207,48,108,504,126,37,108,175,315,35,1461,269,350,1122,226,104,123,481,549,85,3323,544,423,1122,220,137,128,639,470,98,3787,691,548,1026,314,191,159,886,617,110,4538,647,461,934,212,212,171,904,588,96,4227,245,201,214,45,74,77,255,169,32,1313,46,30,17,8,14,17,15,23,8,171,4,0,0,0,0,0,0,3,0,10,2526,2137,5272,1241,777,1038,3423,3130,503,20040,16,21,60,313,83,458,21,189,21,1192,49,185,101,351,211,221,28,116,32,1302,253,800,216,639,607,274,83,276,77,3229,462,932,208,743,796,298,76,353,83,3952,526,897,196,876,978,422,78,468,72,4515,389,745,190,743,839,400,90,500,66,3949,118,192,28,123,213,89,20,114,25,923,14,14,3,8,18,4,4,13,8,93,0,0,0,0,0,0,0,0,0,6,1832,3784,1009,3788,3746,2187,395,2037,392,19162
SOSR322,5,8,119,29,3,65,24,136,17,405,21,35,221,38,13,35,80,175,17,631,138,166,463,98,36,60,259,276,50,1542,251,178,462,86,42,49,282,232,48,1621,302,224,441,126,71,54,434,295,65,2009,366,220,469,101,108,74,537,363,66,2307,167,102,133,36,29,25,141,101,28,762,40,5,19,0,4,7,15,25,11,129,6,0,0,0,0,0,0,0,5,7,1291,927,2319,509,313,365,1780,1597,305,9410,6,4,27,111,23,156,3,64,16,405,16,102,38,164,86,62,11,82,10,575,116,292,92,287,252,122,43,129,25,1365,161,324,82,325,298,126,46,166,38,1568,270,342,96,377,394,192,71,236,27,1998,246,371,91,357,413,180,48,272,36,2020,79,97,15,56,97,52,13,74,14,499,14,9,0,6,13,0,4,4,9,57,0,0,0,0,0,0,0,0,3,6,905,1543,431,1686,1567,906,237,1033,177,8495
