SOSR_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR321,733,10073,10805,12176,3567,15746,4671,535,5208,4139,358,4497,2031,176,2200,1442,133,1571,25194,14845,40035
SOSR322,347,5876,6227,5785,2767,8553,1890,282,2171,1457,236,1693,763,90,853,666,59,726,10911,9314,20226
SOSR331,3256,34295,37547,54225,14755,68982,21598,2830,24430,20166,2019,22186,10259,1031,11293,7215,575,7791,116723,55513,172232
SOSR379,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
SOSR401,7162,139676,146838,143834,21020,164850,72003,6429,78438,68101,3059,71157,24950,1225,26172,11825,617,12443,327875,172031,499902
SOSR412,758,12444,13197,12302,1651,13955,5464,415,5883,4856,216,5066,1945,81,2031,866,46,917,26192,14855,41046
SOSR413,689,12156,12841,12388,1842,14233,4581,411,4989,3975,243,4216,1610,98,1709,781,57,836,24018,14809,38830
SOSR414,251,4079,4328,4874,598,5471,1565,128,1698,1311,79,1387,534,33,567,264,9,268,8799,4926,13723
SOSR415,872,15091,15963,16266,2743,19015,5535,555,6087,5082,324,5401,2289,136,2424,1019,86,1103,31063,18932,49995
SOSR421,263,4237,4497,4454,856,5314,1405,156,1554,1339,98,1439,604,34,639,305,20,319,8371,5396,13767
SOSR422,177,3059,3240,2769,736,3505,822,81,910,653,59,710,324,21,343,223,11,233,4965,3970,8936
SOSR431,1034,12710,13738,19261,3482,22745,6870,656,7531,6890,527,7412,3503,237,3743,1662,115,1780,39222,17734,56953
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,17103,197730,214831,220888,31492,252384,118339,9548,127893,116451,4915,121361,44592,2047,46638,20774,996,21776,538147,246732,784879
SOSR511,736,7851,8583,8922,1219,10143,4070,295,4372,3819,155,3975,1574,65,1642,732,35,767,19856,9625,29481
SOSR512,1135,13976,15111,13979,2676,16657,6171,711,6888,5450,384,5830,2365,216,2585,1274,101,1376,30377,18069,48447
SOSR513,730,6876,7610,5689,3141,8832,3358,754,4109,3363,574,3935,1656,271,1926,966,149,1109,15765,11761,27524
SOSR514,308,3122,3432,3243,663,3903,1453,174,1632,1378,158,1536,527,59,592,232,31,268,7150,4207,11356
SOSR515,991,11381,12366,10269,3967,14233,4312,766,5075,3883,596,4480,1891,280,2172,1052,197,1252,22399,17179,39577
SOSR521,361,5193,5557,4402,1733,6131,1640,260,1905,1430,224,1652,658,92,744,501,47,546,8983,7551,16534
SOSR522,189,3197,3384,2314,1206,3524,800,161,959,725,103,831,415,53,473,442,51,492,4880,4775,9655
SOSR531,1570,13280,14848,18760,7110,25871,7082,969,8052,6619,896,7507,3380,448,3822,1996,191,2187,39395,22891,62293
SOSR579,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
SOSR603,1260,22550,23809,23124,3576,26700,11223,1380,12601,9596,711,10303,3849,320,4167,1872,156,2026,50921,28690,79611
SOSR611,529,10439,10966,9829,1586,11419,4456,454,4910,3777,228,4011,1492,105,1592,716,45,765,20807,12860,33667
SOSR612,326,6403,6731,5966,860,6829,2506,159,2669,1941,99,2039,767,49,811,405,18,422,11905,7584,19493
SOSR613,111,1777,1882,1869,237,2108,663,57,717,515,15,529,221,19,236,97,3,105,3465,2108,5573
SOSR614,147,2208,2357,2267,280,2548,876,84,964,774,32,810,296,30,324,147,10,160,4510,2644,7154
SOSR615,430,8538,8972,9262,1173,10438,3426,245,3671,2788,147,2934,1185,65,1251,570,34,606,17663,10210,27870
SOSR621,191,2914,3104,3161,507,3673,1082,72,1153,1005,59,1063,349,19,370,187,10,194,5971,3582,9549
SOSR622,79,1228,1313,1421,226,1646,458,47,504,360,22,381,135,11,146,78,0,81,2540,1538,4077
SOSR631,848,9422,10268,14992,2166,17159,5473,488,5966,5032,321,5353,2224,134,2352,1270,68,1333,29836,12598,42432
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,1186,11146,12327,10550,4154,14700,7061,1292,8354,6001,780,6783,2679,342,3021,1688,180,1872,29176,17892,47064
SOSR712,185,2696,2887,2077,997,3076,1368,245,1608,1138,126,1262,554,62,620,403,24,429,5729,4151,9878
SOSR714,39,665,707,450,309,763,271,66,335,232,55,283,128,21,156,130,17,145,1255,1133,2392
SOSR715,56,937,995,588,277,867,438,87,523,427,60,492,323,33,357,1016,20,1033,2847,1422,4265
SOSR721,38,1107,1142,516,440,958,324,72,400,326,51,377,239,19,255,707,7,723,2161,1698,3855
SOSR722,31,796,822,487,668,1159,278,81,357,297,75,375,258,28,290,699,17,715,2051,1664,3713
SOSR731,260,2963,3224,2461,3195,5660,1236,371,1611,1332,389,1716,783,153,932,965,91,1059,7037,7165,14198
SOSR779,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
SOSR802,2631,44359,46995,48551,8056,56599,25329,2962,28290,26254,1461,27712,9828,561,10393,4345,255,4604,116933,57655,174586
SOSR822,4,33,35,64,4,68,34,0,34,42,3,41,26,0,26,9,0,9,173,41,212
SOSR831,4,45,46,42,17,57,21,9,30,16,4,19,10,3,16,12,0,12,106,66,176
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,14,158,166,107,24,131,63,13,78,65,5,71,32,0,33,11,0,11,291,205,497
SOSR921,11,312,323,249,64,306,78,23,101,54,11,66,26,0,28,9,0,6,426,406,839
SOSR922,7,36,45,39,20,59,23,7,31,23,11,29,22,0,24,32,0,36,144,80,215
SOSR931,3,76,84,69,22,97,26,0,26,28,0,33,12,3,16,12,0,12,155,102,256
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
