SOSR_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR579,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,15
SOSR603,..,503,1131,199,50,40,24,6,3,1963,..,1041,1955,333,232,300,214,78,22,4175,..,323,1053,982,1276,2434,3150,2643,1345,13199,233,444,383,196,180,217,147,51,29,1887,3,5,18,4,11,31,13,4,5,97,15042,10416,15993,12374,11422,11382,10119,5984,2161,94902,..,405,9031,12123,11313,11342,10711,5672,1187,61781,..,1800,7344,4122,2970,2073,1072,338,44,19751,..,279,1390,2444,2670,1547,695,446,269,9736,30520,..,..,..,..,..,..,..,..,30520,..,7906,..,..,..,..,..,..,..,7906,..,5257,2859,993,723,376,74,0,0,10291,..,974,861,263,308,555,566,339,172,4030,..,1038,2707,492,157,97,66,23,15,4588,..,2094,4646,868,527,590,416,149,48,9342,..,586,2253,2121,2667,4312,4769,3608,1817,22138,458,810,859,473,390,392,273,103,40,3790,9,15,33,12,18,37,26,7,4,165,30986,21161,31982,23913,21748,21329,18668,10672,3590,184049
SOSR611,..,182,205,42,11,13,8,3,0,462,..,438,443,94,92,107,103,40,6,1328,..,188,510,394,609,1047,1425,1191,622,5985,76,198,147,79,81,89,55,39,9,773,0,4,9,0,3,5,4,0,0,25,6422,4585,5676,4766,4970,4659,4151,2608,931,38767,..,182,3476,4661,4845,4745,4303,2466,481,25148,..,1015,2650,1466,1123,754,352,90,13,7460,..,154,688,1054,1181,611,259,188,99,4233,12916,..,..,..,..,..,..,..,..,12916,..,3176,..,..,..,..,..,..,..,3176,..,2354,1092,394,308,145,22,0,0,4316,..,401,333,106,112,211,209,133,60,1563,..,351,565,101,41,38,18,10,4,1127,..,839,1247,278,219,248,209,79,19,3142,..,376,1108,931,1320,1872,2126,1655,837,10227,166,389,314,196,174,176,93,58,14,1572,6,6,10,8,8,7,7,0,0,55,13086,9243,11486,9199,9330,8806,7596,4672,1521,74945
SOSR612,..,67,75,15,14,11,5,3,0,193,..,100,133,50,46,78,75,26,0,505,..,126,268,175,386,723,832,662,377,3565,88,111,62,32,45,68,35,16,10,460,0,0,7,0,0,3,4,0,0,13,3701,2416,2808,2496,2720,2928,2627,1551,570,21817,..,121,1533,2142,2401,2828,2748,1642,310,13720,..,592,1468,770,744,473,237,56,3,4349,..,119,490,722,668,322,150,116,64,2667,7292,..,..,..,..,..,..,..,..,7292,..,1588,..,..,..,..,..,..,..,1588,..,1411,555,210,178,106,23,0,0,2475,..,205,109,53,74,139,101,75,26,791,..,146,198,50,32,27,13,6,0,474,..,189,373,114,123,170,131,51,9,1164,..,244,568,489,832,1259,1358,969,506,6221,152,222,181,109,96,114,67,29,6,977,0,0,7,4,0,5,5,0,0,32,7445,4840,5503,4652,5151,5446,4840,2940,938,41757
SOSR613,..,19,14,5,0,4,0,0,0,48,..,21,23,8,9,16,23,11,0,103,..,22,45,41,97,222,254,293,123,1083,21,23,19,18,17,20,5,4,0,135,0,0,3,0,0,0,0,0,0,7,885,634,629,621,773,944,888,607,203,6183,..,28,351,568,715,992,1022,602,137,4412,..,123,325,174,186,163,63,29,4,1065,..,17,99,180,182,83,53,30,28,673,1795,..,..,..,..,..,..,..,..,1795,..,467,..,..,..,..,..,..,..,467,..,418,146,59,56,35,4,0,0,715,..,55,22,12,17,35,41,19,13,209,..,34,38,13,9,14,4,0,0,104,..,29,67,18,23,26,37,21,0,223,..,42,105,112,190,350,396,392,162,1754,45,51,47,29,43,36,18,6,3,280,0,0,3,0,0,0,0,0,0,7,1842,1259,1188,1155,1424,1738,1635,1104,352,11701
SOSR614,..,24,14,3,4,4,4,0,0,45,..,24,29,10,17,33,26,7,0,144,..,18,54,51,119,241,328,268,104,1198,35,40,21,12,15,22,10,9,0,161,0,0,0,0,0,0,0,0,0,3,1353,807,940,930,981,1137,1027,609,169,7949,..,29,468,794,801,1202,1157,576,92,5116,..,199,603,406,284,237,123,40,4,1903,..,33,178,248,247,121,56,50,28,949,2744,..,..,..,..,..,..,..,..,2744,..,522,..,..,..,..,..,..,..,522,..,544,245,76,75,39,6,0,0,989,..,80,36,21,23,69,28,28,12,296,..,46,39,14,19,10,5,4,0,135,..,55,53,18,49,74,49,14,5,307,..,42,146,142,269,472,520,384,150,2119,56,69,40,44,42,43,26,16,0,329,0,0,5,0,0,0,0,0,0,10,2801,1619,1800,1771,1814,2263,1960,1102,285,15417
SOSR615,..,91,48,16,14,11,5,6,3,200,..,90,115,34,78,109,95,34,11,565,..,97,256,189,436,916,1290,1149,502,4834,100,117,74,51,69,73,58,21,16,574,0,5,0,4,0,0,0,0,0,16,5091,2945,3716,3399,3762,4300,4355,2643,796,31007,..,145,2364,3297,3564,4523,5001,2674,482,22063,..,780,2140,1193,990,890,452,142,16,6594,..,109,529,789,848,378,219,176,95,3148,10293,..,..,..,..,..,..,..,..,10293,..,2097,..,..,..,..,..,..,..,2097,..,1954,763,318,275,135,28,0,0,3481,..,216,131,59,109,182,154,119,47,1020,..,188,171,57,49,32,22,8,4,526,..,165,304,87,168,207,191,79,26,1228,..,192,576,482,947,1668,2141,1574,685,8266,180,236,177,130,147,159,103,43,16,1190,0,0,7,4,6,5,0,0,0,25,10471,6086,7167,6425,7095,8181,8313,4820,1380,59934
SOSR621,..,26,24,7,4,3,0,0,0,75,..,24,27,19,19,45,33,17,0,180,..,26,78,65,121,272,371,288,126,1345,25,37,28,17,24,43,17,14,6,218,0,0,0,0,0,0,0,0,0,4,1640,831,1072,1129,1308,1653,1439,754,188,10007,..,24,620,1116,1407,1810,1820,880,116,7794,..,164,625,469,400,400,202,61,3,2319,..,30,134,214,209,135,65,48,22,849,3270,..,..,..,..,..,..,..,..,3270,..,676,..,..,..,..,..,..,..,676,..,572,276,93,85,46,7,0,0,1072,..,54,49,27,32,47,56,32,10,299,..,57,57,21,10,11,5,3,0,167,..,51,66,33,45,86,64,34,3,391,..,66,197,189,323,576,657,468,182,2659,51,79,55,48,44,82,41,15,4,418,0,0,0,0,3,0,3,0,0,10,3320,1772,2083,2202,2563,3187,2903,1539,349,19914
SOSR622,..,11,3,0,3,0,0,0,0,24,..,0,0,3,17,20,15,3,4,61,..,14,21,16,55,136,164,102,37,539,11,20,12,8,10,4,19,0,0,82,0,0,0,0,0,0,0,0,0,0,606,343,375,421,567,754,685,296,67,4118,..,13,218,392,577,879,848,370,50,3355,..,65,236,192,188,156,106,15,0,953,..,9,50,76,89,52,34,25,13,354,1224,..,..,..,..,..,..,..,..,1224,..,267,..,..,..,..,..,..,..,267,..,246,122,55,48,18,4,0,0,492,..,16,8,11,14,24,22,19,10,129,..,14,18,8,8,10,8,4,0,70,..,12,16,18,22,42,39,12,5,164,..,12,49,51,142,294,350,187,58,1143,25,29,30,13,17,13,23,0,0,155,0,0,0,0,0,0,0,0,0,0,1253,698,744,816,1106,1481,1442,634,128,8299
SOSR631,..,167,132,45,32,34,23,4,0,428,..,66,117,66,108,173,137,47,4,714,..,63,173,198,461,947,956,596,208,3608,137,233,170,99,97,124,107,61,23,1039,0,3,6,0,3,4,0,0,0,19,8191,4537,4629,5890,7238,8342,6047,2333,516,47728,..,132,2896,6386,8477,10607,8782,3298,407,40989,..,697,2663,2421,2514,2191,1036,202,17,11732,..,80,417,773,926,617,280,211,80,3380,16615,..,..,..,..,..,..,..,..,16615,..,3916,..,..,..,..,..,..,..,3916,..,3463,1559,552,385,171,29,0,0,6164,..,293,133,81,134,299,282,185,134,1548,..,315,277,119,94,90,58,16,5,971,..,175,369,160,238,350,302,113,20,1722,..,169,520,635,1254,2388,2322,1193,357,8838,309,424,363,224,206,237,191,95,36,2084,0,4,20,10,11,10,0,4,0,59,16925,9665,9218,11349,14232,16966,13284,5315,1056,98012
SOSR679,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,..,269,484,114,56,42,18,8,0,990,..,500,1153,299,204,202,107,36,4,2503,..,257,798,653,727,966,962,537,137,5043,198,291,378,228,210,382,371,118,27,2201,3,15,26,8,10,47,23,10,0,144,11166,6217,10965,9112,6975,5630,3771,1484,328,55644,..,358,6797,9425,7137,5427,3454,1288,163,34052,..,1511,4867,2863,1884,1166,459,98,3,12858,..,181,810,1385,1332,735,365,154,77,5040,22431,..,..,..,..,..,..,..,..,22431,..,4057,..,..,..,..,..,..,..,4057,..,2993,1453,543,271,112,9,0,0,5389,..,768,693,209,289,425,431,224,80,3120,..,542,1100,280,151,123,60,15,0,2276,..,1096,2460,710,511,473,277,84,11,5624,..,564,1717,1397,1624,1918,1793,836,209,10070,425,510,692,451,392,637,728,238,45,4124,6,27,60,20,16,54,42,13,0,245,22859,12610,20646,17293,13626,11075,7621,2953,592,109282
SOSR712,..,37,102,24,21,10,4,0,0,204,..,71,249,68,61,46,23,11,3,529,..,38,184,150,199,255,199,89,39,1166,36,57,84,46,37,56,46,16,0,389,0,0,8,0,0,9,5,4,0,18,2328,1195,2265,1807,1462,1292,716,279,69,11420,..,71,1259,1710,1243,1196,617,207,22,6327,..,258,1029,653,436,290,105,17,7,2792,..,63,203,305,278,143,89,29,14,1117,4777,..,..,..,..,..,..,..,..,4777,..,706,..,..,..,..,..,..,..,706,..,666,267,86,54,16,0,0,0,1084,..,221,156,81,91,124,109,33,9,825,..,72,214,66,40,22,6,0,0,433,..,133,488,173,133,106,46,21,3,1102,..,106,412,328,412,494,354,150,47,2303,80,99,160,103,65,98,81,35,6,728,0,0,6,0,0,5,5,7,0,31,4859,2393,4190,3505,2744,2502,1411,499,104,22220
SOSR714,..,11,16,0,0,0,0,0,0,35,..,40,65,12,20,20,0,0,0,153,..,12,42,37,43,67,32,18,8,249,20,27,30,14,12,24,12,4,0,135,0,0,0,0,0,6,0,0,0,9,586,301,532,374,331,281,133,45,12,2592,..,24,272,312,207,214,108,38,0,1181,..,73,249,149,126,76,38,3,0,720,..,11,65,78,73,33,19,7,0,283,1187,..,..,..,..,..,..,..,..,1187,..,117,..,..,..,..,..,..,..,117,..,160,60,13,16,3,0,0,0,245,..,73,29,31,27,18,17,6,3,197,..,32,62,8,9,8,3,0,0,115,..,82,115,32,29,38,5,0,0,303,..,33,95,74,64,111,76,41,7,513,41,51,52,24,31,47,23,6,0,274,0,3,0,0,0,8,0,0,0,18,1230,653,995,721,587,537,301,99,20,5137
SOSR715,..,9,14,4,8,3,0,0,0,43,..,9,30,22,19,14,10,7,4,110,..,18,93,37,77,78,33,10,4,338,47,48,49,29,29,33,9,0,0,238,0,0,0,0,0,4,0,0,0,9,1982,1344,1489,1227,951,630,235,68,12,7935,..,347,982,1124,835,510,210,37,7,4055,..,139,474,360,272,108,30,4,0,1387,..,82,242,265,178,129,62,15,4,981,4039,..,..,..,..,..,..,..,..,4039,..,478,..,..,..,..,..,..,..,478,..,1037,422,151,54,8,0,0,0,1673,..,493,327,269,250,228,84,31,7,1693,..,31,24,9,12,12,0,0,0,87,..,24,60,38,36,25,17,5,4,212,..,33,161,110,149,167,79,28,3,733,98,83,99,63,47,50,28,6,0,468,0,0,0,0,0,4,0,0,0,5,4135,2746,2795,2399,1836,1239,513,134,25,15812
SOSR721,..,25,7,10,4,4,4,0,0,50,..,15,22,6,0,3,0,0,0,57,..,47,84,44,48,82,36,9,0,348,26,22,35,20,20,16,20,5,0,168,0,0,6,0,0,6,0,0,0,8,1344,980,1073,832,699,519,246,59,17,5773,..,244,759,742,648,408,184,24,3,3006,..,164,308,272,168,101,25,3,0,1035,..,61,170,164,144,96,50,30,3,717,2747,..,..,..,..,..,..,..,..,2747,..,265,..,..,..,..,..,..,..,265,..,651,289,100,44,16,0,0,0,1102,..,360,196,135,157,155,97,22,14,1137,..,43,22,17,11,12,4,5,0,99,..,30,39,12,19,6,0,5,0,116,..,72,188,122,138,150,60,20,0,754,53,51,62,31,34,37,43,22,0,324,0,3,6,0,0,6,0,0,0,13,2804,1939,2039,1589,1359,980,470,123,21,11319
SOSR722,..,12,7,7,7,4,4,0,0,39,..,7,12,5,10,18,11,6,0,63,..,6,38,26,45,80,58,11,0,263,32,26,45,25,25,25,17,0,0,205,0,0,0,0,0,0,0,0,0,0,1321,884,952,744,679,525,303,80,8,5508,..,317,732,707,525,389,195,53,8,2916,..,97,212,162,161,74,27,9,0,743,..,54,194,158,161,106,59,21,3,765,2762,..,..,..,..,..,..,..,..,2762,..,180,..,..,..,..,..,..,..,180,..,662,278,100,36,14,0,0,0,1090,..,376,203,160,169,142,117,45,7,1225,..,28,12,9,13,9,3,0,0,82,..,10,30,12,24,30,21,5,0,135,..,9,74,67,106,142,113,26,5,548,70,60,79,59,43,51,41,7,4,414,0,0,0,0,0,0,0,0,0,0,2838,1793,1819,1432,1255,964,577,167,25,10866
SOSR731,..,70,44,27,33,27,10,6,0,216,..,29,45,20,33,62,32,9,3,240,..,41,97,52,116,181,122,42,8,647,81,98,113,80,89,153,173,55,8,845,0,3,8,4,0,4,0,0,0,25,3013,1681,1915,2019,2126,1840,1174,350,65,14174,..,234,1138,1960,2179,1829,1186,333,31,8892,..,274,998,767,781,521,196,42,4,3586,..,71,171,274,275,199,104,69,19,1174,6007,..,..,..,..,..,..,..,..,6007,..,803,..,..,..,..,..,..,..,803,..,1204,468,199,119,31,10,0,0,2026,..,439,226,163,182,248,204,91,31,1586,..,147,121,62,80,69,31,14,6,526,..,81,111,64,102,136,88,28,8,611,..,89,229,169,352,511,396,123,16,1892,180,185,209,133,145,261,379,111,10,1613,3,5,18,6,0,10,0,0,0,49,6187,3536,3687,3792,4215,3809,2594,817,121,28764
SOSR779,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12
SOSR802,..,997,1384,257,115,74,36,10,7,2881,..,3495,3392,582,361,456,271,90,42,8682,..,1026,3755,2782,2851,4093,4793,3679,1764,24753,404,840,807,400,326,414,395,192,66,3846,26,24,48,32,41,104,84,20,0,383,38652,25905,36959,33550,27224,22375,17871,9612,3176,215329,..,955,23997,41057,32763,25793,20709,10123,2047,157452,..,4657,17556,8693,5800,3442,1560,421,57,42184,..,231,1770,4237,5240,2848,1146,705,438,16614,78958,..,..,..,..,..,..,..,..,78958,..,20533,..,..,..,..,..,..,..,20533,..,11267,6206,1878,1163,538,113,4,0,21169,..,2212,2277,678,596,1031,1107,757,353,9011,..,2097,3515,753,342,236,85,26,11,7068,..,6652,8267,1745,1011,986,558,180,61,19474,..,1924,7720,6031,5906,7090,7188,5030,2391,43282,836,1593,1701,945,800,748,650,299,88,7658,43,63,97,69,80,155,142,38,7,694,79840,52196,73095,66090,53712,42869,33257,17594,5460,424100
SOSR822,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,9,5,9,0,19,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,62,36,23,44,46,38,29,16,3,295,..,0,20,55,71,49,47,16,0,265,..,5,12,20,13,6,0,0,0,51,..,0,6,3,12,3,0,0,0,22,126,..,..,..,..,..,..,..,..,126,..,38,..,..,..,..,..,..,..,38,..,23,15,0,3,0,0,0,0,44,..,0,0,4,0,0,0,5,0,8,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,9,8,7,4,28,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,125,75,54,91,98,65,50,27,6,589
SOSR831,..,3,9,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,5,..,0,5,0,3,0,3,0,0,11,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,34,36,40,26,24,31,12,3,5,211,..,0,22,24,30,39,25,7,3,145,..,3,23,14,5,0,6,0,0,51,..,0,4,9,3,4,0,0,0,19,84,..,..,..,..,..,..,..,..,84,..,19,..,..,..,..,..,..,..,19,..,12,6,0,4,0,0,0,0,21,..,10,0,0,0,0,3,0,0,12,..,3,8,0,5,0,0,0,0,16,..,4,3,0,0,3,0,0,0,13,..,4,0,0,3,3,5,0,0,28,0,7,3,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,85,51,72,45,50,58,41,8,4,421
SOSR879,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,5,..,0,3,4,7,7,15,0,0,40,5,0,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,111,41,60,93,84,60,42,9,0,499,..,0,58,103,94,78,68,10,3,423,..,7,26,10,22,16,8,0,0,89,..,0,3,3,15,7,3,0,0,34,238,..,..,..,..,..,..,..,..,238,..,34,..,..,..,..,..,..,..,34,..,23,16,6,6,0,0,0,0,48,..,0,0,3,0,0,6,4,0,15,..,0,0,0,0,0,0,0,0,0,..,0,3,5,0,0,0,0,0,11,..,3,20,14,19,30,38,5,0,121,9,5,4,3,3,8,3,0,0,32,0,0,0,0,0,0,0,0,0,0,249,83,134,148,155,138,117,22,4,1044
SOSR921,..,0,0,0,0,0,0,0,0,6,..,3,6,0,4,4,0,0,0,22,..,5,7,9,11,46,48,31,14,175,6,7,3,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,102,62,52,93,98,168,120,58,18,780,..,5,22,70,76,136,119,52,13,490,..,14,40,38,45,46,22,4,0,210,..,4,4,18,28,12,3,5,0,68,220,..,..,..,..,..,..,..,..,220,..,34,..,..,..,..,..,..,..,34,..,34,5,10,0,0,0,0,0,57,..,9,5,5,6,4,4,0,3,32,..,0,0,0,0,0,0,0,0,8,..,8,8,0,5,11,3,0,0,41,..,10,19,24,25,89,60,39,16,280,3,7,5,6,6,6,6,0,0,32,0,0,0,0,0,0,0,0,0,4,219,128,103,175,195,305,216,106,33,1475
SOSR922,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,4,4,8,0,0,3,4,0,0,20,0,0,0,0,0,0,0,0,0,0,72,32,36,38,27,54,28,9,0,294,..,8,36,63,36,80,43,24,0,294,..,0,10,4,4,8,0,0,0,31,..,0,0,3,4,0,0,0,0,14,139,..,..,..,..,..,..,..,..,139,..,6,..,..,..,..,..,..,..,6,..,28,5,3,0,3,0,0,0,37,..,0,0,0,0,0,0,3,5,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,9,3,0,4,0,15,4,5,7,0,3,5,6,0,0,30,0,0,0,0,0,0,0,0,0,0,146,58,62,82,58,99,50,33,10,588
SOSR931,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,8,5,11,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,29,26,24,44,39,37,32,3,271,..,0,12,27,43,32,40,24,0,191,..,3,11,12,15,15,5,0,0,56,..,0,4,8,8,5,5,7,0,23,99,..,..,..,..,..,..,..,..,99,..,16,..,..,..,..,..,..,..,16,..,16,6,8,6,3,0,0,0,40,..,5,11,5,6,7,4,0,0,41,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,6,..,3,0,0,14,15,21,15,3,71,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,99,51,46,50,91,73,79,56,9,548
