SOSR_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,15
SOSR201,105735,56196,34209,19624,7321,1377,342538,2347,21651,27370,25219,19097,12256,3725,624,112285,63676,240683,206880,134408,82301,51831,20604,5799,806175,26009,76428,84087,73214,53933,35610,16554,5132,370968,40507,94873,85181,84729,71456,41079,21048,6783,445653,6016,5930,5438,4859,4233,2599,885,195,30163,3520,6963,9255,11696,11205,8009,4160,1508,56314,50042,107768,99873,101285,86894,51683,26094,8487,532131,1696,4626,4893,3465,3266,3194,2144,932,24202,29785,49254,39884,31320,26713,25455,23629,16924,242970,180720,611302,568726,425120,306410,199655,100077,39268,2431279
SOSR203,3853,2665,1930,1282,505,59,15877,194,1849,2222,1970,1613,1255,352,60,9507,3495,14008,11739,7892,5252,4084,1589,426,48490,1802,5629,5775,5640,4775,3807,1747,482,29652,5588,13332,10657,9813,8752,5492,2529,828,56992,814,805,687,521,453,357,94,23,3758,329,552,665,782,806,715,374,134,4358,6737,14689,12012,11122,10006,6560,3001,988,65109,108,242,211,207,213,240,223,89,1528,3037,3539,2862,2835,2694,2988,3147,2111,23200,15791,45097,38668,32332,26482,20215,10552,4223,193361
SOSR211,1108,391,219,135,34,0,2977,55,388,447,301,200,167,42,3,1601,466,2967,2936,1403,761,555,161,30,9285,477,2226,2290,1411,1044,683,253,37,8418,1794,4574,3763,2962,2309,1409,510,101,17428,231,303,247,194,132,78,10,6,1200,126,251,263,271,246,185,70,15,1421,2150,5124,4273,3422,2690,1676,595,121,20049,26,86,119,59,46,55,31,11,430,1044,1510,1334,959,760,735,550,198,7097,4275,13342,12504,7949,5717,4000,1652,407,49845
SOSR212,2174,1450,1106,690,228,33,7859,100,1007,1317,1263,1026,787,208,32,5735,1447,7427,7062,5017,3492,2604,959,226,28235,952,3624,4251,4051,3535,2735,1165,242,20547,3530,8826,7895,7432,6501,3915,1642,490,40231,503,511,462,383,300,223,64,12,2457,244,384,484,629,583,527,224,74,3153,4273,9718,8843,8449,7389,4669,1929,575,45841,53,160,171,138,157,146,123,66,1008,2014,2549,2432,2226,2277,2391,2422,1769,18085,8997,26507,26250,22591,18980,14015,7021,2944,127312
SOSR213,1466,1054,820,654,235,41,5807,92,809,1021,926,899,766,241,27,4777,1049,5529,5084,3693,2700,2348,1056,240,21700,702,3243,3634,3687,3271,2627,1314,345,18822,3453,9199,8012,7414,6809,4544,2097,553,42084,512,500,448,386,333,281,67,18,2551,203,362,457,568,588,533,267,82,3058,4171,10064,8916,8368,7730,5362,2434,651,47687,46,121,133,123,124,208,168,59,982,1759,2157,2012,1955,1961,2324,2502,1788,16458,7902,23373,22256,19807,17498,14295,7952,3155,116245
SOSR214,751,525,608,573,212,35,3469,51,395,544,519,581,584,152,20,2857,514,2741,2556,2051,1824,1939,825,200,12652,417,1661,1825,1935,2071,1974,930,252,11063,1754,4412,4052,4186,4153,3273,1540,436,23812,242,286,240,243,253,182,73,19,1541,107,176,245,323,344,394,206,69,1873,2103,4881,4536,4752,4753,3853,1818,531,27220,19,68,67,61,78,133,121,52,602,1048,1203,1198,1253,1529,1917,2050,1234,11428,4203,11654,11481,11107,11438,10977,6112,2322,69291
SOSR215,1210,1135,1039,870,287,42,5649,87,635,858,923,997,812,257,27,4595,759,4030,4294,3547,3080,2878,1191,262,20037,603,2562,3011,3148,3194,2860,1245,338,16959,2719,7858,6945,6632,6750,4625,1904,478,37907,390,405,433,335,361,272,85,22,2298,152,293,373,466,576,583,278,103,2828,3261,8557,7750,7431,7691,5473,2271,604,43040,35,83,104,86,132,200,147,43,836,1855,1805,1893,2146,2463,3053,2550,1491,17245,6644,18675,19118,18418,18601,16145,7958,2806,108365
SOSR221,311,301,345,316,103,14,1613,20,147,235,275,289,266,54,7,1291,178,1037,1183,1064,1010,877,310,61,5725,134,552,818,887,1053,883,337,67,4737,694,1867,1980,1993,2213,1406,556,115,10827,90,95,90,95,108,80,22,8,591,27,72,89,119,173,181,77,15,759,813,2035,2162,2209,2498,1671,654,136,12170,5,19,26,33,36,50,34,10,224,467,421,534,628,803,900,680,403,4839,1620,4431,5266,5397,6041,4961,2180,704,30601
SOSR222,227,224,191,148,38,5,989,9,91,141,177,185,117,30,5,747,231,752,793,747,650,459,134,21,3792,103,394,496,540,557,442,163,20,2720,464,1092,1044,1126,1262,769,259,49,6067,70,73,59,50,67,42,13,0,368,31,39,63,77,101,87,40,7,443,568,1202,1165,1251,1426,897,306,60,6879,7,17,14,25,26,27,13,6,130,600,426,391,511,621,566,358,182,3647,1517,3033,3212,3477,3660,2651,1043,302,18902
SOSR231,1909,2477,2538,1953,568,77,10924,109,853,1502,2045,2137,1672,338,29,8679,1612,6698,8686,8865,7955,6360,1903,261,42342,1133,3539,5499,7365,7678,5800,1964,272,33258,5164,11048,12643,15431,15824,8941,2933,493,72482,756,611,735,647,770,481,116,11,4123,307,467,704,1116,1354,1049,374,65,5434,6223,12120,14085,17196,17945,10484,3424,564,82037,60,155,177,254,331,358,208,46,1593,4427,3497,4347,5586,6692,6380,3706,1069,35718,13660,28171,36214,43793,45272,33001,12113,2323,214545
SOSR279,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,6,3,6,0,0,0,19,0,3,5,8,6,0,0,0,32,0,5,21,32,14,0,0,0,73,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,8,0,5,22,32,22,0,0,0,86,0,0,0,0,0,0,0,0,5,4,38,94,127,108,13,0,0,389,7,48,136,178,147,17,0,0,530
SOSR301,38132,25541,16036,9096,3184,573,123130,1144,10390,12037,11610,8030,4856,1433,255,49754,28431,97612,88577,62395,36234,22962,9205,2250,347659,15014,34614,39027,37721,28535,17258,7350,1856,181391,38526,66000,58810,53456,43614,26652,12008,3241,302307,9128,4831,3490,2717,2166,1499,495,91,24424,3134,4038,5421,6207,5682,4573,2159,621,31832,50793,74868,67721,62378,51456,32727,14669,3954,358567,910,1756,2035,1829,1603,1575,1096,398,11205,16859,22816,18731,15264,12504,11818,10948,7731,116674,114841,270934,266255,216741,154405,100299,47881,17024,1188376
SOSR302,8743,6611,5023,3620,1352,195,33808,369,2728,3422,3537,2853,2215,701,109,15937,7671,28634,27509,21012,14105,11044,4723,1014,115709,6397,13396,16307,17517,14229,10165,4556,1108,83679,14503,24643,25608,26244,23132,16088,7900,1985,140110,2833,1422,1174,1103,1096,952,326,51,8950,1297,1614,2346,2845,2892,2879,1458,397,15717,18632,27679,29122,30198,27115,19915,9684,2438,164782,331,589,764,763,854,975,748,259,5276,6898,9692,8388,7800,7468,8241,8015,5203,61712,40760,90525,94252,87445,71649,56172,29774,10326,480900
SOSR303,3533,2981,2336,1385,492,63,13997,210,1509,1692,1735,1353,895,229,38,7660,3103,12803,11395,8967,6072,4172,1659,345,48518,1523,5172,6380,7131,5864,3713,1497,318,31596,8217,15103,13397,12540,11018,6725,2755,611,70376,2173,1161,760,644,492,306,98,19,5651,590,719,883,1099,1048,885,412,121,5763,10980,16983,15045,14283,12558,7917,3270,756,81791,158,237,246,314,270,309,218,56,1804,5501,6310,5000,4709,4377,4159,3128,1621,34795,21658,46047,43281,40117,32831,22552,10492,3188,220162
SOSR311,1135,962,791,511,166,27,4597,78,536,649,701,658,426,122,27,3207,1281,4959,4996,3786,2787,1984,779,183,20758,531,2067,2820,3246,3247,2285,929,218,15334,4201,9103,8323,7854,7702,5652,2509,553,45901,1249,728,554,402,298,274,87,14,3606,384,410,524,600,617,585,319,73,3513,5835,10242,9393,8857,8617,6515,2919,644,53022,66,111,130,147,159,182,169,48,1011,2258,2637,2399,2404,2486,2732,2843,1538,19299,10104,21474,21529,20112,18752,14641,7923,2690,117226
SOSR312,335,334,313,275,97,15,1624,21,173,212,288,245,215,70,5,1238,341,1421,1628,1286,1117,989,471,105,7352,218,796,1089,1378,1397,1155,508,131,6672,1617,3377,3354,3313,3316,2426,1154,264,18823,579,304,219,141,171,128,39,4,1589,119,162,192,272,281,307,153,39,1519,2315,3846,3772,3725,3764,2860,1350,305,21931,26,48,41,76,71,107,76,26,478,697,817,900,882,947,1044,1050,618,6966,3640,7337,7974,7974,7860,6647,3617,1214,46257
SOSR313,705,608,531,364,102,18,2976,51,426,481,473,438,320,104,7,2294,858,3407,3157,2347,1811,1338,505,104,13519,429,1698,2113,2137,2100,1419,565,112,10572,3055,6614,5925,5083,4463,2963,1145,248,29493,891,515,364,248,210,151,47,5,2442,231,284,351,392,407,383,162,35,2249,4181,7417,6644,5727,5076,3497,1353,291,34186,32,103,82,102,110,117,91,15,652,1654,2152,1885,1732,1789,1704,1210,568,12701,7231,15814,15065,13129,11855,8758,3926,1114,76894
SOSR314,690,636,437,362,117,26,2911,52,393,399,476,382,285,79,16,2078,745,3344,2943,2280,1601,1296,529,99,12843,530,1801,2212,2404,2049,1380,588,154,11107,2930,6129,6075,5649,4822,3125,1316,250,30290,796,399,334,267,210,132,47,3,2196,217,306,394,426,417,378,177,41,2356,3938,6841,6797,6347,5450,3629,1544,292,34842,43,109,84,102,107,130,76,27,687,2205,2868,2521,2463,2123,1974,1455,789,16393,7546,15959,15650,14702,12155,9063,4385,1410,80866
SOSR315,758,828,899,722,203,30,4096,61,443,645,699,680,576,139,22,3267,981,4273,4003,3256,2885,2559,823,153,18935,665,2270,2928,3492,3790,2909,1001,166,17212,4051,9074,8834,8364,8478,6192,2302,402,47692,1164,695,560,403,397,298,78,9,3605,277,421,563,692,735,757,274,56,3766,5489,10181,9951,9463,9614,7246,2651,462,55059,63,121,133,145,195,241,178,54,1127,3064,4118,3753,3955,4301,3985,2658,1305,27139,10340,22052,22164,21849,22360,18236,7656,2180,126842
SOSR321,327,369,405,333,96,6,1723,15,153,223,278,330,258,74,5,1333,320,1231,1422,1425,1277,1142,366,52,7225,209,687,1057,1422,1670,1235,440,67,6786,1331,2859,3176,3313,3580,2706,976,126,18064,398,207,208,181,194,114,34,0,1337,96,126,179,251,345,322,130,11,1458,1823,3185,3564,3744,4113,3136,1141,138,20854,16,34,45,59,72,97,63,15,392,1133,1203,1133,1347,1491,1626,1026,262,9221,3525,6672,7764,8637,9358,7830,3205,547,47535
SOSR322,120,130,187,143,46,0,712,7,56,80,108,139,139,23,0,548,152,484,530,516,633,578,164,21,3074,75,274,422,577,748,632,193,16,2941,567,1350,1321,1489,1924,1525,487,66,8741,205,161,114,102,106,70,34,3,794,50,54,83,116,161,176,45,8,694,823,1564,1521,1707,2195,1776,566,77,10231,10,12,14,25,47,48,25,6,188,525,569,548,684,974,958,566,168,4994,1590,3037,3238,3744,4919,4274,1581,290,22684
SOSR331,1664,2164,2176,1551,457,46,8892,76,604,1035,1449,1514,1096,241,22,6029,1613,6361,8360,8542,7086,5196,1589,219,38972,1175,3127,5238,7656,7837,5138,1588,197,31953,6846,13429,15355,17188,17474,11409,3463,468,85631,1694,870,751,838,815,553,139,7,5666,469,609,940,1448,1672,1292,478,58,6957,9007,14898,17038,19468,19967,13254,4078,534,98253,109,152,209,308,423,494,221,41,1961,5618,6517,7113,8809,9082,7391,3805,859,49197,17650,32442,40659,48399,48083,34122,11979,1921,235260
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,6,3,4,0,3,0,0,0,9,4,20,6,9,0,5,0,0,37,0,0,8,0,0,0,0,0,10,0,0,0,4,0,0,0,0,6,4,17,15,15,3,3,0,0,56,0,0,0,0,0,0,0,0,0,13,57,78,46,16,6,0,0,223,20,79,96,65,27,12,0,0,308
SOSR401,19092,11145,7782,5388,2089,448,65958,438,4383,5675,5148,4665,3574,1097,172,25157,14140,50090,43360,29025,19867,15128,6246,1686,179550,4196,14396,17944,18530,16994,12582,5237,1481,91353,16631,33652,30514,29561,26773,17614,8593,2851,166198,2822,3286,2460,1853,1487,1008,332,92,13337,1141,1839,2552,3478,3456,3077,1581,578,17697,20594,38772,35525,34884,31718,21701,10504,3520,197232,498,1003,1044,925,905,948,709,271,6305,6761,8751,7816,7230,6867,7234,7067,4805,56528,47785,136254,130463,106888,88799,66546,32957,12394,622078
SOSR412,475,393,273,153,55,12,1839,32,235,315,330,259,190,63,9,1436,543,2079,1868,1547,925,727,310,65,8062,181,870,1210,1477,1325,884,368,93,6403,1672,3922,3258,3163,2767,1723,791,215,17507,273,405,274,200,162,113,27,3,1465,103,146,232,283,240,234,130,33,1399,2047,4476,3764,3644,3173,2067,954,253,20375,35,52,40,54,66,52,44,16,362,628,698,685,692,710,738,779,518,5456,3502,8841,8361,8144,6734,4813,2565,960,43922
SOSR413,500,537,437,404,155,23,2498,17,174,248,302,333,340,92,15,1526,378,1532,1686,1580,1228,1202,544,131,8279,130,576,801,1089,1244,1188,534,116,5681,1230,2613,2298,2463,2453,1889,930,247,14121,225,259,229,178,146,111,37,12,1202,81,144,188,233,228,289,137,39,1342,1537,3020,2711,2875,2823,2289,1103,291,16668,31,45,69,64,72,69,65,33,443,662,744,701,793,890,963,821,421,6000,2785,6499,6723,7240,7030,6446,3320,1040,41081
SOSR414,115,96,90,108,46,8,546,3,59,65,79,99,103,30,4,437,113,517,542,436,395,470,192,40,2716,37,271,322,427,487,552,244,35,2370,411,1045,983,921,900,779,375,98,5509,70,97,77,51,58,48,11,3,418,43,56,69,93,93,119,69,27,559,515,1194,1130,1066,1057,947,454,128,6491,9,16,13,22,24,34,44,13,168,150,182,202,189,246,359,390,204,1913,829,2315,2395,2313,2394,2568,1404,427,14643
SOSR415,461,363,333,258,77,16,1960,22,212,287,300,315,327,94,14,1568,456,1990,1927,1583,1283,1165,467,125,9005,173,896,1284,1573,1697,1421,559,136,7734,1754,3858,3603,3582,3418,2559,1034,289,20093,281,381,295,206,205,127,43,10,1546,93,181,232,335,365,346,166,37,1748,2125,4418,4128,4123,3986,3031,1238,335,23386,25,37,68,64,79,106,85,21,487,866,904,900,1100,1240,1479,1424,769,8685,3703,8885,9054,9106,8934,7777,3941,1411,52814
SOSR421,87,79,104,82,28,5,510,5,41,66,76,100,93,20,0,400,94,507,496,395,363,362,119,29,2382,41,184,315,450,519,389,146,38,2082,438,970,979,988,1106,756,255,63,5552,78,96,81,63,54,34,6,4,418,22,50,67,87,112,106,41,16,513,537,1117,1132,1137,1280,895,311,78,6482,3,11,19,21,20,31,25,7,141,267,243,296,330,417,484,407,269,2700,960,2208,2399,2487,2809,2344,1058,431,14697
SOSR422,48,37,66,43,11,0,260,0,27,30,41,64,52,15,0,235,60,232,193,179,206,225,76,6,1173,20,108,135,179,313,252,78,11,1092,202,527,500,588,776,551,177,29,3361,47,69,44,35,51,29,0,0,284,12,28,26,52,78,68,32,0,302,261,633,580,675,905,648,212,34,3947,3,7,11,17,14,22,8,5,93,207,180,202,287,415,438,266,93,2071,555,1232,1191,1415,1978,1675,666,144,8856
SOSR431,564,691,668,534,172,12,3050,25,201,377,473,562,398,79,4,2111,656,2396,2906,2687,2314,1842,564,75,13417,191,906,1582,2403,2579,1937,526,65,10189,2125,4226,4724,5239,5348,3090,980,146,25887,312,337,363,328,276,172,38,5,1825,125,162,316,524,555,438,136,21,2272,2559,4720,5405,6085,6177,3703,1155,170,29979,31,83,107,113,142,141,91,17,720,1484,1609,1626,2113,2386,1974,1106,299,12591,4958,10294,12568,14562,14808,10521,3684,641,72044
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,9,0,0,12,7,5,0,0,0,28
