SOSR_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SOSR722,45,383,50,0,481,53,383,50,0,487,119,777,115,0,1016,90,653,87,0,829,96,557,90,0,739,61,580,118,0,761,25,542,110,0,680,7,131,26,0,160,0,13,0,0,21,505,4023,640,9,5171,48,323,71,0,448,67,377,49,0,494,157,838,110,3,1111,139,638,82,0,868,143,613,109,3,864,88,661,123,0,876,50,471,99,0,618,3,95,16,0,116,0,10,4,0,12,709,4031,664,8,5410,100,707,122,0,929,122,759,99,0,981,280,1618,221,11,2130,235,1293,172,0,1699,243,1169,194,3,1603,149,1243,242,4,1636,78,1009,213,0,1302,14,229,45,0,281,0,28,0,0,34,1213,8049,1308,17,10585
SOSR731,75,940,247,6,1266,89,1022,403,68,1579,177,2324,992,91,3583,190,2123,895,39,3241,265,2420,874,18,3576,280,2712,718,18,3721,183,2459,533,11,3187,35,655,141,0,841,3,55,11,0,67,1307,14698,4806,248,21060,77,857,191,0,1123,82,903,199,22,1205,227,2182,515,57,2986,300,2045,448,7,2800,381,2151,462,4,2994,441,2418,494,8,3365,245,1909,405,8,2573,44,412,83,0,541,10,58,9,0,75,1815,12937,2805,98,17650,155,1795,430,8,2392,174,1922,601,86,2781,408,4507,1508,141,6564,488,4170,1339,44,6046,646,4567,1333,15,6569,720,5125,1213,22,7082,432,4370,935,14,5758,79,1063,229,0,1379,12,117,18,0,145,3120,27638,7611,343,38714
SOSR779,0,10,0,0,10,0,14,5,0,17,0,33,13,0,54,0,62,41,0,106,0,70,42,0,117,0,63,33,0,96,0,11,3,0,22,0,4,0,0,4,0,0,0,0,0,9,266,141,12,429,0,0,0,0,0,0,12,0,0,15,0,6,5,7,16,0,6,0,0,3,0,7,0,0,7,0,6,0,0,12,0,13,5,0,21,0,4,0,0,5,0,0,0,0,0,0,48,17,7,67,0,4,0,0,11,0,24,3,0,27,0,41,17,9,65,0,67,43,0,112,0,77,42,0,124,0,70,34,0,106,0,28,7,0,40,0,5,3,0,10,0,0,0,0,0,12,314,158,17,494
SOSR802,629,12061,686,19,13398,867,15157,1132,50,17207,2102,34150,2294,88,38635,3180,29338,1635,100,34260,3939,22653,1141,72,27816,3697,16984,810,60,21554,2274,13253,619,64,16208,1301,6808,464,22,8592,358,2224,272,5,2859,18346,152636,9064,494,180542,677,11637,687,20,13019,1016,15200,1016,43,17276,2834,34178,1883,84,38983,4688,28879,1289,75,34928,5683,21554,904,63,28214,5533,16912,667,122,23233,3529,14394,691,87,18701,1527,8303,599,21,10452,287,3554,497,3,4340,25762,154613,8236,523,189138,1306,23697,1369,45,26420,1886,30359,2149,92,34485,4940,68326,4176,179,77611,7867,58220,2932,177,69193,9628,44209,2049,139,56022,9229,33899,1482,179,44784,5797,27650,1311,153,34910,2820,15114,1061,49,19045,643,5774,772,7,7199,44105,307248,17301,1016,369675
SOSR822,0,29,0,0,28,0,7,0,0,13,0,24,0,0,30,0,43,5,0,47,9,39,0,0,47,5,21,0,0,25,4,16,6,0,28,0,8,4,0,15,0,0,0,0,0,28,197,11,0,239,0,22,0,0,23,0,15,0,0,17,0,23,0,0,23,7,42,3,0,46,15,35,0,0,52,7,29,0,0,41,9,18,0,0,25,0,15,0,0,16,0,3,0,0,3,36,198,13,0,239,0,47,4,0,47,0,26,0,0,24,0,50,0,0,54,7,85,3,0,94,25,75,0,0,99,10,54,0,0,69,13,36,7,0,62,0,24,4,0,33,0,6,0,0,6,67,394,25,0,479
SOSR831,0,25,8,0,33,0,40,8,0,55,3,57,12,0,70,6,25,0,0,30,7,22,8,0,38,5,22,4,0,30,3,24,5,0,33,0,6,0,0,6,0,3,0,0,3,25,226,54,0,303,0,13,3,0,19,0,26,9,0,36,3,47,5,0,60,8,20,0,0,30,0,25,7,0,32,9,24,9,0,45,5,19,3,0,21,0,5,0,0,3,0,5,0,0,5,32,178,36,0,255,0,40,7,0,51,0,70,15,0,87,8,103,19,0,134,13,45,4,0,61,5,50,17,0,71,15,44,15,0,74,9,38,11,0,58,0,12,0,0,9,0,7,0,0,7,55,408,91,0,553
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,4,13,9,0,27,0,21,13,0,36,0,97,56,0,163,6,70,37,0,110,4,79,40,0,125,12,83,26,0,125,4,86,26,0,113,0,21,5,0,24,0,4,0,0,4,31,483,212,5,728,5,29,3,0,34,0,16,8,0,28,5,66,32,0,106,6,93,28,0,131,10,85,36,0,127,13,72,28,0,111,8,48,12,0,57,0,12,4,0,11,0,0,0,0,0,46,408,152,0,604,4,42,13,0,59,0,39,26,0,67,5,164,92,0,264,15,164,66,0,240,18,162,76,0,258,23,155,47,0,227,13,130,37,0,175,0,32,3,0,36,0,4,0,0,4,73,890,363,6,1332
SOSR921,0,30,9,0,40,5,19,3,0,29,3,47,7,0,59,6,77,10,0,97,10,86,14,0,114,24,137,25,0,190,11,100,10,0,124,5,47,14,0,64,3,13,0,0,13,65,565,101,5,733,0,32,8,0,40,4,30,6,0,42,6,57,9,0,74,12,84,13,0,112,29,88,11,0,133,36,139,14,0,195,19,121,16,0,158,9,52,13,0,72,0,20,3,0,20,122,623,95,3,841,3,60,12,0,83,11,53,11,0,71,9,108,19,0,133,22,159,26,0,205,40,181,29,0,249,59,280,44,0,380,28,223,28,0,281,15,100,24,0,139,3,33,3,0,37,188,1189,195,8,1578
SOSR922,0,26,0,0,30,0,43,4,5,47,4,72,8,3,89,3,45,10,0,60,5,39,11,0,51,5,56,22,0,84,3,29,16,0,49,5,14,13,0,31,0,3,3,0,3,18,342,88,3,445,3,12,0,0,21,0,31,4,0,38,4,58,14,0,72,4,40,11,0,53,5,30,10,0,50,14,43,24,0,75,7,27,13,0,41,0,13,3,0,16,0,0,0,0,0,30,262,83,5,377,3,42,5,0,50,0,72,8,3,88,5,130,23,4,161,6,88,21,0,116,6,72,23,0,100,13,102,46,0,164,9,60,28,0,92,4,28,16,0,45,0,6,3,0,10,47,605,171,3,828
SOSR931,0,18,0,0,17,0,10,26,0,38,0,26,116,0,144,4,32,62,0,99,9,45,36,0,95,8,35,19,0,59,8,45,12,0,70,3,20,6,0,26,0,3,0,0,9,40,238,273,4,554,0,10,8,0,15,0,17,5,0,21,3,29,13,0,44,8,27,0,0,33,10,44,13,0,70,7,48,5,0,60,4,36,11,0,49,4,23,8,0,41,0,7,0,0,4,45,232,64,0,340,0,26,5,0,37,0,23,30,0,58,8,55,124,0,188,7,57,64,0,130,22,91,48,0,165,18,79,24,0,120,20,85,20,0,120,10,44,14,0,69,5,5,0,0,10,82,475,330,5,893
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
