SOSR_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,462,1454,194,479,92,17,2700,245,2049,242,367,93,16,3008,1091,12443,1057,2319,486,135,17534,2383,5030,1764,3644,675,102,13602,2923,2506,1060,3020,468,55,10042,12189,2499,1138,5537,1321,113,22794,68097,2260,890,14597,2142,260,88240,160701,1773,546,18149,2539,314,184025,72606,410,167,8731,780,122,82813,31488,106,48,3763,231,51,35684,15659,58,25,1962,142,24,17866,8612,40,21,1241,61,11,9989,4668,29,12,624,46,8,5387,8578,25,4,1439,179,24,10253,7346,2663,525,5723,1462,1130,18856,397043,33356,7699,71590,10725,2385,522793
SOSR203,35,288,24,59,29,3,442,27,308,33,46,15,4,428,241,2047,175,396,49,26,2939,1065,853,404,769,82,33,3208,1239,415,168,784,75,15,2703,4620,586,231,1341,122,33,6935,10751,275,186,2012,154,39,13416,11124,99,76,1264,142,13,12723,2930,17,8,326,44,7,3327,579,6,5,102,20,0,710,201,7,0,67,9,0,278,76,0,0,26,9,0,115,27,5,0,11,8,0,46,74,0,0,43,15,0,136,522,342,78,423,191,98,1655,33516,5253,1397,7664,954,265,49054
SOSR211,9,62,4,6,5,0,89,5,79,0,5,5,0,90,44,424,14,51,4,4,532,179,214,44,108,19,6,578,215,91,25,161,6,4,504,928,144,25,278,148,11,1530,3676,53,35,563,96,18,4440,3359,15,14,311,80,11,3793,286,4,0,51,13,4,354,49,0,0,12,0,0,65,20,0,0,5,4,0,26,15,0,0,0,3,0,21,5,0,0,0,0,0,3,23,0,0,11,0,0,33,183,89,19,102,30,20,449,8996,1172,181,1660,417,78,12505
SOSR212,29,142,28,41,38,3,284,14,183,22,29,14,6,259,194,1125,113,272,61,11,1782,693,586,186,452,80,27,2021,952,310,62,548,73,13,1960,2494,303,114,818,114,15,3849,4785,138,115,1200,182,34,6450,5282,56,45,821,113,19,6337,1831,13,4,306,41,5,2199,554,9,4,92,20,0,677,180,9,3,45,10,0,239,71,0,0,27,17,0,118,35,0,0,10,10,0,52,52,0,0,38,16,0,110,309,226,43,288,146,89,1104,17489,3092,725,4985,926,227,27447
SOSR213,26,157,18,38,25,0,278,24,179,29,37,9,6,276,259,1246,83,294,77,33,1992,1205,529,186,538,127,12,2595,1199,257,77,608,73,13,2229,2593,299,122,847,140,22,4018,4343,121,84,1069,121,21,5765,5048,40,29,727,67,18,5924,957,16,8,142,18,0,1134,188,0,3,24,3,0,223,46,3,0,16,8,0,72,17,0,0,11,0,0,25,11,0,0,6,0,0,16,31,3,4,18,3,3,58,296,257,42,241,116,65,1018,16234,3101,691,4611,787,194,25623
SOSR214,16,79,15,30,9,0,152,10,99,31,29,12,4,175,130,721,76,174,55,16,1179,580,329,124,358,84,16,1490,522,133,42,408,41,7,1157,1621,160,43,568,60,11,2460,2491,73,37,622,77,18,3323,2370,17,7,386,37,12,2828,580,15,0,103,16,4,722,92,0,0,29,7,0,131,24,0,0,13,0,0,42,8,0,0,0,6,0,13,9,0,0,0,4,0,15,24,0,0,25,3,5,60,160,136,39,165,86,41,630,8635,1758,416,2913,510,128,14370
SOSR215,20,89,18,66,34,6,228,16,112,26,55,34,5,247,184,709,155,360,133,17,1555,758,345,117,672,115,34,2051,732,155,32,677,80,9,1682,1705,90,44,833,135,12,2817,2588,42,35,851,94,9,3627,2528,14,10,565,39,8,3162,613,5,0,158,25,0,799,150,6,0,28,12,0,198,51,0,0,21,10,0,85,17,0,0,6,4,0,35,11,0,0,11,0,0,17,43,0,0,49,18,0,112,191,116,22,291,149,59,822,9600,1677,461,4653,887,156,17435
SOSR221,7,28,4,27,37,0,98,0,32,14,23,12,0,87,48,88,18,135,83,8,379,120,14,31,224,40,5,430,129,10,11,195,16,5,361,290,4,3,215,21,0,540,537,0,0,239,19,3,804,427,0,0,124,9,0,561,115,0,0,30,3,0,149,20,0,0,11,0,0,37,9,0,0,4,3,0,15,6,0,0,3,0,0,6,8,0,0,0,5,0,7,15,0,0,10,5,0,30,42,10,4,113,42,15,226,1770,193,95,1350,287,38,3733
SOSR222,0,7,0,18,25,0,56,8,12,0,6,4,0,32,40,41,8,97,46,0,216,78,9,14,136,32,5,270,51,3,5,106,16,0,185,145,0,0,105,30,6,278,159,0,0,113,21,4,303,137,0,0,66,14,0,216,35,0,0,15,0,0,54,13,0,0,6,4,0,27,3,0,0,4,4,0,14,0,0,0,4,3,0,8,0,0,0,3,6,0,4,21,0,0,30,15,0,66,17,6,0,78,25,5,135,697,72,32,796,244,23,1868
SOSR231,15,6,5,240,189,15,466,14,23,10,170,87,5,306,137,27,27,931,409,32,1568,306,16,19,1070,288,11,1704,353,5,5,939,286,13,1597,665,11,7,897,346,11,1937,996,10,6,964,217,15,2212,1022,3,3,669,132,5,1837,537,0,0,230,45,0,807,235,0,4,75,25,0,335,157,0,0,46,7,0,214,57,0,0,25,16,0,100,30,0,0,14,3,0,50,53,0,0,103,24,0,178,130,14,18,866,709,50,1796,4708,118,104,7249,2769,169,15116
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,157,1633,75,176,69,18,2118,68,2022,94,110,37,7,2336,548,8946,470,963,333,65,11332,1402,4466,932,1900,583,75,9351,1706,1786,577,1924,449,53,6496,9725,1911,713,3475,2629,102,18554,39609,1414,683,8818,2656,199,53375,90243,519,335,13139,4598,259,109098,42976,136,79,5887,1185,82,50348,16075,36,27,2313,409,25,18880,6312,15,12,989,126,10,7466,2805,6,8,500,78,4,3404,1382,8,7,236,28,3,1657,1921,0,0,481,82,8,2495,3225,1768,272,2153,850,626,8894,218142,24673,4282,43059,14127,1533,305814
SOSR302,67,310,10,70,39,6,508,8,497,27,39,36,3,615,79,2310,121,256,93,10,2875,337,875,245,589,255,24,2326,278,405,150,691,194,22,1733,1022,325,165,1069,293,25,2903,5393,310,194,2627,738,56,9320,22343,170,180,5555,2369,111,30732,24085,41,56,4105,1544,61,29894,11362,3,27,1760,511,43,13715,4767,5,5,847,207,9,5834,2219,6,3,429,68,5,2728,1135,3,5,226,30,4,1398,1621,7,0,493,108,3,2237,1302,449,75,1148,399,264,3635,76037,5711,1260,19905,6892,650,110447
SOSR303,44,409,19,49,41,3,562,28,507,49,45,29,4,664,196,1881,150,403,142,16,2791,785,1102,269,731,152,27,3070,1654,409,110,1024,181,27,3409,5893,541,192,1886,1243,45,9801,12052,292,108,3104,739,51,16347,13263,110,84,2482,570,36,16552,3850,24,13,672,124,16,4706,1067,7,0,201,36,4,1317,334,3,0,82,22,0,448,97,3,0,34,14,0,149,59,0,0,35,5,0,100,92,4,0,90,41,0,223,647,450,76,509,323,140,2139,40060,5746,1085,11342,3673,367,62277
SOSR311,17,296,26,48,25,8,414,5,325,23,40,13,0,410,96,1115,101,240,91,17,1669,422,738,241,463,178,14,2062,847,267,94,694,180,11,2096,2817,296,109,1313,221,30,4780,5561,162,116,2038,330,44,8262,6079,47,68,1205,244,21,7667,1748,14,8,276,63,4,2107,404,3,4,71,22,0,507,106,0,0,32,14,0,155,30,0,0,23,15,0,66,8,0,0,11,8,0,30,20,0,0,39,28,0,86,362,296,75,361,223,84,1393,18519,3577,865,6847,1661,246,31711
SOSR312,10,125,11,17,18,3,178,4,111,24,5,9,0,157,102,557,52,106,34,7,864,560,281,137,219,66,13,1268,519,113,71,318,87,19,1128,1347,95,71,523,83,13,2131,2405,38,43,585,56,17,3149,2110,25,12,405,52,3,2607,671,3,4,95,17,5,789,170,0,0,16,0,0,190,56,0,0,8,3,0,70,15,0,0,4,0,0,23,6,0,0,0,0,0,11,17,0,0,13,5,0,31,159,110,26,114,81,36,528,8152,1453,446,2435,517,122,13126
SOSR313,26,155,7,19,232,5,441,17,148,17,22,111,0,308,109,463,44,142,132,13,899,457,356,137,306,162,16,1431,651,138,65,431,117,5,1409,2051,133,76,750,173,20,3197,4080,60,36,1005,241,14,5435,4974,24,14,767,157,7,5932,1281,0,0,236,62,0,1582,322,0,0,71,31,0,426,88,0,0,23,17,0,126,23,0,0,8,14,0,52,19,0,0,9,12,0,40,30,0,0,44,36,0,116,264,96,25,220,280,50,931,14388,1558,422,4045,1772,135,22326
SOSR314,45,150,8,22,760,0,990,19,145,15,18,219,0,419,169,518,69,216,353,15,1339,535,378,194,365,186,22,1673,741,133,90,449,130,11,1554,1850,163,102,727,191,21,3054,3308,66,39,945,203,13,4586,3369,20,11,649,93,10,4143,1072,0,5,179,37,0,1294,282,0,0,56,20,0,362,105,0,0,18,29,0,153,32,0,0,11,12,0,58,14,0,0,0,11,0,24,19,0,0,17,28,0,66,262,118,25,217,282,57,954,11825,1695,557,3895,2562,150,20678
SOSR315,59,359,57,62,1435,4,1976,19,334,58,35,218,4,665,196,1210,257,301,335,19,2310,830,652,353,614,287,37,2786,1119,167,90,713,180,26,2287,2804,182,98,1088,347,43,4565,4560,131,58,1229,258,23,6257,3556,48,16,779,174,15,4583,1252,12,3,270,72,6,1616,425,6,0,90,48,0,564,184,3,0,39,61,0,286,99,0,0,22,42,0,156,49,0,0,14,20,0,85,87,0,0,105,50,0,247,314,179,38,381,582,79,1577,15551,3289,1028,5749,4093,261,29971
SOSR321,7,204,50,25,362,0,648,6,180,65,21,82,8,354,49,582,132,144,141,11,1068,170,317,165,332,129,25,1131,201,44,19,356,99,3,726,523,52,42,447,107,4,1178,728,25,23,473,85,6,1344,729,11,5,322,70,7,1131,278,4,0,89,17,0,394,88,0,0,27,6,0,123,57,0,0,21,6,0,77,13,0,0,6,8,0,31,11,0,0,4,5,0,25,34,0,0,34,15,0,78,64,81,40,136,245,18,585,2957,1506,538,2434,1376,90,8894
SOSR322,4,112,54,27,313,3,511,3,106,44,20,69,6,244,32,439,160,137,116,16,903,122,338,127,215,142,23,964,117,23,10,208,52,4,411,291,26,6,244,71,9,650,321,14,4,227,52,0,620,222,0,0,110,30,0,355,67,0,0,26,15,0,107,15,0,0,14,7,0,39,9,0,0,7,4,0,26,3,0,0,3,9,0,16,7,0,0,0,13,0,25,29,0,0,14,19,0,62,29,38,30,94,190,18,400,1274,1100,436,1354,1085,72,5322
SOSR331,20,56,17,233,410,3,742,23,42,29,135,166,0,401,79,111,75,841,402,13,1529,197,90,154,1211,456,24,2125,338,22,10,1254,319,23,1966,833,20,13,1424,331,19,2631,1491,20,5,1591,344,20,3470,1598,8,4,1179,185,19,2996,939,6,0,492,65,7,1514,480,0,0,180,34,3,703,209,3,0,72,33,0,320,105,0,0,42,15,0,172,50,0,0,25,18,0,90,73,0,0,112,67,0,253,154,43,25,1197,1493,90,3009,6593,415,345,10005,4337,223,21910
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,55,687,110,183,32,9,1069,26,1480,223,130,37,14,1911,338,8944,1161,1094,237,110,11884,993,3812,2472,1902,275,104,9553,1329,1539,781,2046,221,42,5967,7737,1833,1102,4722,1158,127,16694,23175,1506,809,10143,1195,114,36949,26640,651,402,8111,874,82,36765,9803,108,62,2489,222,16,12704,2951,24,29,731,71,4,3803,1111,16,16,268,33,4,1448,490,20,3,158,16,0,684,266,13,0,68,5,0,363,344,6,3,183,34,4,578,945,1241,457,1387,442,380,4852,76217,21870,7622,33633,4848,1020,145208
SOSR412,3,97,8,19,8,3,142,10,261,19,16,11,3,323,211,1235,47,142,73,8,1722,819,680,69,301,87,9,1961,422,243,31,280,44,6,1028,1068,189,37,398,163,4,1864,1799,93,42,477,68,7,2488,1470,15,22,256,39,3,1811,273,3,9,61,9,0,351,41,4,4,6,3,0,61,10,0,0,3,14,0,26,3,0,0,4,6,0,15,0,0,0,3,3,0,8,4,0,0,8,6,0,22,86,153,26,118,96,31,511,6222,2978,319,2088,634,87,12319
SOSR413,11,79,4,29,5,4,131,7,160,21,30,11,4,238,104,902,97,134,65,8,1312,747,463,129,345,109,12,1803,542,187,29,360,57,4,1180,1476,164,37,509,78,10,2282,1372,75,17,476,50,4,1993,579,7,7,202,19,4,822,139,5,0,60,9,0,216,62,0,5,19,12,0,99,25,3,0,9,9,0,50,7,0,0,3,0,0,15,7,0,0,3,0,0,12,9,0,0,16,19,0,41,76,136,24,125,128,38,529,5169,2191,369,2335,576,87,10724
SOSR414,3,0,0,17,0,0,17,6,8,11,3,0,0,26,20,53,9,56,21,0,153,64,65,98,70,44,5,343,71,23,30,87,12,3,223,264,47,35,202,32,0,580,641,5,12,261,25,3,957,457,9,4,98,9,0,575,37,0,0,9,4,0,52,7,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,6,20,6,6,26,27,9,102,1585,222,212,842,167,30,3054
SOSR415,19,37,19,45,25,0,143,23,98,22,40,30,0,206,135,546,116,244,244,17,1298,600,337,167,542,276,31,1951,562,139,79,521,173,14,1488,1350,138,50,650,144,13,2350,1414,27,20,572,71,10,2114,816,17,7,250,34,6,1138,177,4,7,42,26,3,259,40,0,0,14,14,0,65,4,0,0,6,11,0,24,10,0,0,10,19,0,36,0,0,0,3,7,0,15,9,0,0,39,25,0,69,109,80,24,196,188,41,634,5274,1432,503,3165,1283,136,11788
SOSR421,0,16,9,16,14,0,63,5,50,10,9,10,4,84,23,108,60,94,41,6,337,111,62,41,275,60,8,559,97,16,15,172,25,0,318,226,17,8,189,26,0,472,167,0,3,123,18,0,313,92,0,0,52,10,0,165,21,0,0,20,4,0,38,4,0,0,5,6,0,7,0,0,0,6,4,0,12,0,0,0,6,8,0,8,0,0,0,0,0,0,0,0,5,0,5,9,0,18,6,26,8,72,63,7,177,752,307,158,1032,303,30,2577
SOSR422,0,51,10,21,23,0,109,0,119,30,12,11,3,178,9,94,19,81,46,0,252,72,22,17,170,28,5,311,59,3,3,117,17,0,200,98,0,4,115,7,0,231,76,0,3,52,7,0,139,29,0,0,20,3,0,61,3,0,0,4,8,0,20,0,0,0,0,6,0,12,0,0,0,4,0,0,11,4,0,0,0,5,0,10,0,0,0,0,4,0,4,0,0,0,12,9,0,18,3,21,8,42,83,6,169,367,315,104,656,259,13,1717
SOSR431,0,55,41,139,184,8,431,0,66,28,92,44,0,234,40,87,37,495,180,6,851,170,26,34,564,168,12,965,140,5,7,419,98,6,668,309,6,4,455,104,7,888,390,0,3,399,60,3,855,293,0,0,244,42,0,578,101,0,0,73,20,0,197,31,0,0,36,0,0,74,17,4,0,16,13,0,41,6,0,0,11,10,0,30,0,0,0,10,7,0,13,4,0,0,38,15,0,62,19,29,36,378,444,22,933,1534,276,189,3362,1389,67,6822
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,133,704,85,239,40,11,1209,29,1140,144,171,30,12,1532,427,7257,610,1458,241,76,10067,1400,3358,1381,2181,355,74,8747,2638,1295,379,2578,326,53,7266,9388,1784,554,5259,1093,64,18149,28880,1288,379,12692,1507,147,44890,45624,556,290,14987,1545,167,63173,20113,95,63,5293,433,43,26044,7236,18,11,1764,115,16,9162,3153,21,15,797,63,7,4058,1673,19,5,430,51,0,2187,939,12,5,227,27,5,1213,1543,10,0,469,90,8,2124,1801,1142,296,2459,713,485,6892,124981,18710,4229,51005,6632,1168,206721
SOSR511,5,21,3,10,7,0,39,3,48,11,4,9,0,80,29,323,39,54,11,5,457,54,208,118,83,31,6,500,123,90,42,154,19,4,428,444,105,24,322,39,5,931,1326,50,19,738,54,6,2189,1661,20,24,492,61,5,2263,337,0,0,66,5,0,424,68,0,0,14,9,0,90,16,0,0,7,5,0,32,5,3,0,4,0,0,13,0,0,0,9,0,0,8,7,0,0,3,11,0,17,84,47,21,79,83,21,333,4166,912,299,2045,332,49,7799
SOSR512,5,51,7,25,11,0,104,6,82,7,27,22,0,147,73,645,113,136,86,14,1069,253,401,168,270,128,19,1239,301,178,40,358,127,3,1006,698,304,79,524,169,10,1787,1845,236,53,935,213,10,3298,2281,62,16,791,121,5,3273,772,14,4,167,27,5,985,208,4,0,41,12,0,267,45,3,0,14,3,0,66,12,3,0,3,10,0,29,0,0,0,4,0,0,10,11,0,0,21,20,0,55,112,118,40,178,190,23,664,6631,2101,529,3506,1138,96,14000
