SOSR_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR614,12,36,57,60,43,54,9,0,0,268,7,14,50,50,35,29,9,3,0,205,369,598,1422,1401,1345,1334,322,28,0,6819
SOSR615,62,114,289,219,183,163,54,3,0,1087,35,88,163,142,158,142,68,20,5,828,1420,2305,5806,5219,5544,4983,1325,156,13,26762
SOSR621,16,27,92,56,83,62,19,0,0,353,14,19,41,69,55,55,21,13,0,283,448,650,1800,1902,2141,2015,605,91,0,9654
SOSR622,9,8,29,20,22,30,12,0,0,126,7,8,24,20,27,22,13,3,0,128,170,237,605,648,840,937,257,31,6,3748
SOSR631,116,172,313,384,424,324,110,9,0,1847,89,108,232,285,367,329,159,71,19,1649,2652,3287,7816,9786,11742,11060,3393,593,59,50394
SOSR679,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,58,76,70,53,12,0,0,277
SOSR703,124,214,711,610,434,342,104,8,0,2546,125,309,791,630,452,326,115,20,8,2782,2974,6116,19078,15969,12651,9084,2655,238,20,68792
SOSR712,30,43,153,144,96,96,28,3,0,593,20,27,154,124,87,61,29,6,0,511,606,842,3730,3095,2512,2224,658,56,0,13722
SOSR714,0,15,30,25,18,27,4,0,0,113,6,11,51,21,25,22,4,0,0,154,104,293,918,627,494,489,134,11,0,3072
SOSR715,6,8,54,45,39,27,13,0,0,195,26,27,51,46,42,21,3,0,0,217,184,333,1231,1160,997,740,216,19,0,4882
SOSR721,11,5,33,41,27,31,15,0,0,158,7,21,29,31,42,21,5,0,0,149,160,358,1015,975,890,795,216,15,0,4431
SOSR722,6,10,20,33,33,16,10,0,0,116,9,19,24,29,20,24,11,6,0,124,92,229,695,718,692,678,233,20,0,3360
SOSR731,43,62,135,118,152,121,39,3,0,674,57,75,142,145,163,130,62,8,0,776,919,1395,3496,3539,4102,3406,1005,108,7,17978
SOSR779,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,4,0,0,39,0,17,42,59,79,62,11,0,0,282
SOSR802,470,947,1782,1494,1265,803,289,39,0,7092,204,561,1568,1123,743,413,123,33,13,4787,12898,26389,64807,59524,47465,28384,7343,858,76,247742
SOSR822,0,6,3,3,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,10,26,26,46,88,93,45,15,5,0,332
SOSR831,0,0,0,0,3,0,0,0,0,9,0,4,0,0,0,0,0,0,0,8,31,67,106,53,50,46,26,3,0,378
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,7,9,0,6,3,0,0,18,0,4,10,3,8,12,10,0,0,43,30,37,158,156,164,149,79,0,0,777
SOSR921,0,0,4,3,6,7,5,0,0,32,3,0,0,7,11,8,4,0,0,37,51,52,106,159,195,272,111,25,0,979
SOSR922,0,0,0,0,0,0,0,0,0,4,0,9,3,4,0,3,3,0,0,26,39,66,129,80,71,87,13,6,0,497
SOSR931,0,0,0,0,0,4,0,0,0,12,0,0,3,3,4,0,5,0,0,21,15,23,55,61,90,71,46,10,0,361
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
