SOSR_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,1052,1039,947,1053,349,294,285,20731,0,6,57,168,350,4677,6442,4620,2453,1925,922,2090,569,65,347,24691,72,470,1175,1167,1852,896,2787,2627,415,440,584,792,292,69,244,13871,1699,19907,20585,3583,1240,886,1512,2516,475,419,418,397,129,34,2228,56009,19,64,78,239,604,1350,2586,1257,330,331,410,494,266,107,191,8320,4,3,15,185,778,1460,6206,3007,584,608,604,586,255,55,220,14571,30,225,1778,4403,3166,2248,2780,1365,285,303,281,288,140,91,598,17977,35,205,1304,3691,9488,5249,13523,8863,3123,3296,3171,2567,1014,178,872,56578,0,0,4,11,45,391,4299,3112,1151,2057,2993,3067,804,48,298,18273,377,4612,1151,619,691,461,872,448,127,131,139,133,57,21,270,10104,199,452,1993,5496,9384,11336,19370,14441,2416,2411,2587,2693,1074,1078,1936,76872,56,406,4162,5083,2848,1974,1402,639,122,119,125,99,33,27,453,17541,8,18,61,190,658,1466,6022,9083,1904,2284,2338,2201,1010,428,428,28093
SOSR203,28,24,35,32,13,15,5,597,0,0,0,0,0,32,58,73,89,27,17,18,8,0,0,324,6,40,77,73,92,56,148,136,14,17,15,14,3,0,29,718,76,562,462,97,27,20,45,47,15,7,10,10,3,0,74,1451,0,5,5,3,10,40,98,48,5,6,11,11,5,0,8,252,0,0,0,0,27,30,100,80,18,21,13,8,0,0,7,316,0,0,16,21,17,8,17,7,8,3,0,4,0,0,0,120,4,11,36,82,142,83,244,167,73,64,75,72,26,0,17,1102,0,0,0,0,0,5,102,140,77,118,100,86,33,0,3,662,43,1030,117,56,41,23,42,26,4,7,11,8,0,0,42,1455,16,37,171,470,612,564,726,425,65,73,71,76,41,32,109,3469,0,27,275,182,73,29,26,12,3,0,3,0,0,0,10,644,0,0,0,4,9,13,160,397,62,81,93,133,41,6,24,1030
SOSR211,0,12,5,0,0,0,0,93,0,0,0,0,0,12,30,76,39,6,8,6,0,0,10,189,0,8,29,19,22,7,22,17,0,0,0,7,0,0,5,138,3,104,119,33,7,11,15,23,0,0,0,0,4,0,6,330,0,0,0,0,0,6,14,10,0,0,0,0,0,0,0,42,0,0,0,0,16,12,47,15,0,0,0,0,0,0,0,98,3,4,10,17,18,29,28,12,0,0,0,4,4,0,0,128,0,0,7,18,34,29,73,102,20,18,11,14,6,6,14,346,0,0,0,0,0,10,100,88,14,25,9,11,0,0,5,248,4,147,28,22,6,3,9,8,3,0,0,0,0,0,8,237,0,7,51,116,250,345,574,622,129,115,88,91,32,30,90,2541,0,0,53,50,37,34,25,8,3,4,4,0,3,0,3,229,0,0,0,4,19,35,219,250,57,78,29,41,10,18,10,758
SOSR212,19,7,3,9,3,0,0,200,0,0,0,3,0,165,180,100,24,31,15,21,6,3,12,566,3,42,63,53,111,63,109,90,7,10,10,8,0,0,18,597,83,628,454,99,20,21,29,43,8,3,0,10,9,0,76,1483,0,0,3,3,5,18,51,23,3,5,0,22,5,3,11,152,0,0,0,0,11,16,68,25,16,6,5,15,9,0,8,171,0,0,9,10,10,5,18,7,0,0,5,0,0,0,0,68,0,7,22,60,66,18,152,274,246,313,254,247,51,3,88,1800,0,0,0,0,0,0,65,58,43,38,53,28,11,0,0,293,39,490,79,46,67,32,51,15,6,3,6,8,4,0,31,885,10,20,104,360,456,525,739,442,45,58,71,59,24,30,98,3051,6,19,45,19,11,10,7,3,4,4,0,0,0,0,4,122,0,0,0,0,11,21,86,170,31,29,46,25,25,15,7,456
SOSR213,5,0,11,3,0,0,4,100,0,0,0,0,0,29,36,25,0,9,7,6,0,0,8,118,9,30,86,51,62,22,70,54,3,0,8,12,9,0,16,427,65,537,433,71,14,21,24,24,7,0,0,0,3,0,88,1291,0,3,6,0,3,19,31,18,4,8,3,4,4,0,9,116,0,0,0,0,13,10,22,11,10,4,4,11,5,0,0,83,0,0,4,15,12,9,9,11,3,0,0,0,0,0,10,72,0,7,23,40,55,30,94,118,37,63,77,46,12,0,34,632,0,0,0,0,0,3,50,64,45,39,33,10,11,0,7,264,33,805,129,53,65,21,25,20,0,3,6,5,0,0,28,1195,25,30,135,379,472,406,540,293,52,28,46,31,15,16,104,2572,0,0,23,22,14,12,12,0,0,0,0,0,0,0,8,91,0,5,0,4,4,9,53,113,18,30,21,19,6,3,7,295
SOSR214,0,0,0,0,0,0,3,39,0,0,0,0,0,17,19,8,0,7,0,0,0,0,0,58,6,18,49,48,53,11,53,39,0,4,3,8,4,0,7,291,58,367,222,49,25,6,23,23,9,4,7,0,0,0,56,845,0,0,0,3,9,5,22,6,0,3,0,3,0,0,5,69,0,0,0,0,5,4,24,13,0,3,0,4,0,0,0,53,0,0,3,9,3,0,6,0,0,0,0,0,0,0,0,31,0,0,15,14,20,8,49,64,51,55,28,22,7,0,18,351,0,0,0,0,0,0,31,42,20,22,19,15,0,0,0,154,24,444,76,37,34,19,29,13,0,0,0,6,0,0,21,714,11,29,127,251,338,268,335,154,18,13,39,17,9,7,54,1661,0,3,12,8,7,0,10,4,0,0,0,0,0,0,0,46,0,3,0,0,0,0,17,34,0,8,13,4,4,0,6,88
SOSR215,0,0,0,0,0,0,0,30,0,0,0,0,0,13,5,14,0,5,7,0,0,0,0,45,3,21,62,61,73,26,77,70,3,7,0,3,5,3,10,423,64,366,226,48,14,9,9,24,4,5,5,8,3,0,67,849,0,0,0,5,5,18,41,21,0,3,5,0,0,0,0,114,0,0,0,4,3,4,13,14,0,0,0,6,0,0,0,44,0,5,7,3,6,0,12,0,9,0,0,0,0,0,0,51,6,4,28,23,30,26,64,67,71,73,66,82,13,0,34,581,0,0,0,0,0,0,23,42,29,25,24,21,9,0,4,174,38,620,136,78,62,30,46,22,7,0,4,5,5,0,38,1090,18,27,171,413,521,460,531,239,37,29,26,24,6,4,111,2628,0,5,14,15,8,6,4,0,0,0,0,0,0,0,0,55,0,0,4,0,0,6,26,30,7,4,7,0,4,0,0,88
SOSR221,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,25,20,19,9,22,14,0,0,0,0,0,0,4,125,7,67,55,8,0,0,7,6,0,0,0,0,0,0,4,170,0,4,0,4,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,10,18,7,15,13,3,11,7,4,0,0,0,103,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,14,19,152,36,14,24,9,7,8,0,0,0,0,0,0,9,266,3,10,50,134,156,125,118,54,16,0,3,4,0,3,19,703,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,12,4,0,0,0,3,0,0,0,19
SOSR222,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,9,4,19,4,0,5,0,0,0,0,0,67,6,29,29,12,5,0,4,3,0,0,0,4,0,0,7,95,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,15,3,0,0,0,3,0,5,0,3,0,8,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,11,7,4,5,0,4,12,5,4,0,0,73,0,0,0,0,0,0,0,6,5,5,0,3,0,0,0,21,7,86,23,10,10,7,10,9,0,0,0,4,0,0,6,165,0,6,39,78,94,55,62,27,3,7,4,3,0,0,21,403,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
SOSR231,4,0,0,4,5,0,15,92,0,0,4,5,0,39,11,0,0,0,0,0,0,0,20,71,8,55,104,94,119,52,132,64,3,4,7,15,5,3,24,690,114,919,613,104,34,15,19,31,0,3,5,7,0,0,150,2020,0,6,8,20,17,26,52,17,3,4,0,10,4,0,8,159,0,0,0,0,12,4,30,11,3,0,0,8,0,0,5,74,0,4,29,56,33,21,36,13,0,5,0,0,0,0,28,224,3,18,53,68,78,34,82,131,91,87,105,87,27,13,69,937,0,0,0,0,0,0,7,11,0,0,3,4,0,0,0,37,58,961,234,146,203,83,124,49,10,4,10,8,0,5,56,1951,20,56,284,779,975,824,1026,408,54,44,41,46,26,20,372,4979,0,23,80,64,25,19,14,3,0,5,0,4,0,0,20,256,0,0,4,9,0,0,34,24,0,6,4,8,0,4,6,97
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
