SOSR_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,18,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,35
SOSR201,1304,2757,8795,17491,4698,35725,2870,20058,1522,95218,9395,34582,31061,37693,25224,37062,11691,23312,4544,214569,60318,195697,76144,59475,67092,36947,30406,38821,12384,577283,95760,177517,60226,46264,66849,27840,27728,28912,10980,542081,85505,117923,49070,40985,64510,26006,26859,30213,8264,449335,48672,71755,33899,28424,49114,18972,23334,26140,5069,305383,11971,22389,7970,6235,13322,5363,5605,7419,1605,81875,1772,2992,782,457,1311,735,369,987,503,9898,145,189,40,22,65,55,12,61,171,756,314841,625801,267977,237046,292191,188698,128873,175925,45039,2276394
SOSR203,175,128,1275,1838,372,4114,311,2568,145,10932,852,2308,3406,4197,1723,3077,979,2507,339,19382,3765,12742,7523,6129,4465,3072,2398,4035,692,44817,5289,11118,5139,4454,4628,2096,1886,3043,589,38255,5230,8352,4014,4481,4926,2153,2218,3067,558,35005,3340,5585,3041,3542,4010,1845,2251,3024,397,27045,897,1599,649,719,963,487,578,846,142,6882,145,137,55,38,71,56,39,108,77,728,14,10,4,4,3,10,0,5,25,69,19723,41968,25116,25412,21160,16914,10660,19210,2959,183117
SOSR211,30,34,480,329,117,1060,86,592,51,2783,205,331,1103,732,460,652,456,592,101,4633,912,2230,2194,1934,1509,902,1541,1343,320,12886,1300,2240,1668,1732,1563,663,1574,1172,245,12161,1035,1268,1063,1240,1334,608,1207,1011,185,8946,609,729,707,833,1002,457,862,763,114,6077,147,190,149,175,232,113,200,217,31,1460,13,21,8,8,20,5,8,28,7,120,3,0,0,0,0,4,0,4,3,14,4258,7044,7378,6978,6229,4465,5941,5710,1060,49077
SOSR212,114,90,986,1188,281,2944,192,1774,126,7694,484,1146,2232,2010,1019,1563,537,1431,185,10611,2403,6993,4946,3541,2725,1783,1313,2841,498,27052,4009,7034,3780,2984,3186,1500,1385,2372,458,26713,4215,5442,3057,3136,3726,1746,1648,2355,485,25824,2831,3831,2279,2393,3219,1529,1669,2125,292,20181,750,1105,537,493,838,389,441,607,107,5271,101,100,45,25,69,46,41,74,36,532,12,5,0,0,0,4,0,0,20,48,14920,25762,17860,15782,15069,11510,7234,13583,2212,123925
SOSR213,110,70,1036,1015,236,2480,171,1752,130,7004,484,883,2101,1730,829,1362,489,1421,144,9450,2019,5308,4581,3368,2357,1617,1417,2867,442,23977,2944,5112,3513,2948,2744,1422,1467,2325,427,22900,3066,4131,2966,3188,3089,1566,1750,2473,396,22621,2269,3131,2231,2504,2711,1325,1847,2295,287,18606,708,991,562,540,727,361,489,630,104,5119,144,99,48,38,58,37,44,72,53,599,21,7,7,0,9,0,3,3,18,64,11774,19727,17048,15332,12750,10188,7673,13838,2007,110334
SOSR214,69,28,527,591,109,1236,74,856,69,3552,217,417,1093,959,350,680,216,846,93,4870,1038,2448,2405,1699,1119,863,659,1572,242,12040,1593,2467,1906,1471,1309,720,662,1282,193,11610,1827,2118,1718,1716,1640,925,860,1459,223,12483,1477,1876,1381,1520,1605,859,1003,1458,225,11394,560,704,387,378,508,280,298,410,98,3604,119,93,37,26,48,31,17,52,45,469,12,8,3,0,0,0,0,3,19,49,6912,10146,9455,8353,6689,5597,3779,7937,1210,60077
SOSR215,87,48,898,961,141,1757,114,1257,137,5384,363,589,1767,1318,598,893,341,1137,133,7141,1739,3738,4199,2562,1859,1222,1212,2207,352,19083,2860,4143,3293,2289,2262,1102,1267,1943,354,19513,3278,3719,2828,2520,2519,1361,1634,2274,372,20505,2660,3061,2418,2254,2565,1351,1795,2305,336,18745,961,1099,608,510,749,392,568,673,155,5719,252,134,63,38,81,52,40,83,56,807,32,8,0,0,6,0,0,4,23,76,12230,16536,16078,12448,10768,8135,6968,11877,1929,96962
SOSR221,30,7,239,252,39,463,37,393,39,1495,92,148,452,298,132,233,98,278,30,1752,478,903,944,612,443,309,287,524,76,4589,774,1105,932,572,624,311,314,484,91,5201,930,1081,845,720,777,377,454,605,111,5886,865,980,758,676,728,373,500,700,108,5696,357,372,163,144,214,134,136,164,29,1712,68,35,15,9,20,6,14,20,19,201,9,0,0,0,0,0,0,0,6,18,3609,4634,4343,3278,2981,2205,1828,3166,505,26550
SOSR222,14,16,115,244,31,214,43,230,23,929,62,94,282,385,95,180,158,232,27,1516,318,516,571,480,230,210,231,364,59,2984,546,667,490,317,334,170,163,292,62,3036,645,708,481,427,412,243,297,383,62,3666,579,597,443,409,388,215,329,433,57,3453,207,182,124,91,122,72,119,123,30,1071,56,19,7,8,14,8,5,5,12,132,8,0,0,0,0,0,0,0,0,15,2432,2801,2512,2357,1630,1314,1338,2065,337,16800
SOSR231,429,136,2286,2103,370,3599,386,3269,324,12902,1114,1183,3510,2377,1085,1631,798,2361,299,14363,4449,5340,5506,3185,2622,1451,1654,3496,570,28270,8220,7294,5661,3082,4119,1602,2195,3269,671,36115,11897,8540,6570,4414,6065,2428,3283,4315,860,48377,12462,7606,5490,4090,5503,2352,3616,4680,836,46652,7804,2710,1413,890,1747,677,1094,1599,462,18397,2683,275,124,52,216,95,99,261,250,4056,350,8,9,0,17,0,3,33,68,501,49404,33108,30567,20187,21747,13850,13136,23287,4333,209629
SOSR279,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,4,4,0,0,3,4,0,16,3,11,9,8,0,0,5,8,0,44,9,10,11,3,4,0,8,6,4,56,0,8,7,3,0,0,12,11,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,36,22,4,0,29,33,5,170
SOSR301,1004,1816,6099,12215,3485,21755,3121,14172,961,64613,5244,19099,16008,22030,14911,16484,7195,13139,2154,116257,26332,80081,37474,31598,33707,17603,15916,21164,5230,269095,41704,81641,30726,25062,35306,12967,14534,16669,4940,263557,40225,61785,24719,23014,35133,12498,13916,16396,3773,231458,22060,35562,16431,15230,25490,9446,11600,13465,2270,151549,4908,9143,3576,3061,6112,2720,2947,3492,629,36580,722,1023,277,201,560,355,212,379,225,3936,62,48,11,5,30,23,15,16,74,275,142254,290187,135313,132421,154731,93835,69448,98879,20246,1137316
SOSR302,371,577,2779,5464,1086,9304,932,5872,475,26862,1822,4920,6439,8267,3981,6395,1696,4519,811,38848,9439,22190,15174,12463,9548,7080,3988,7361,1885,89129,14987,24126,13852,10371,11464,6093,3871,6385,1852,93003,15387,20717,11845,10786,13328,7172,4401,6903,1687,92227,9800,13031,8062,7619,10735,6078,3991,6171,1068,66555,3124,4131,1941,1555,3147,2165,1328,1834,406,19625,549,471,143,109,348,335,148,218,146,2451,30,28,7,3,21,10,3,11,52,168,55512,90196,60242,56637,53655,44626,20356,39278,8376,428878
SOSR303,219,251,1643,2714,648,4874,410,2906,266,13940,890,2693,3720,5078,2062,2787,1047,2326,375,20966,3678,11400,7769,7737,4736,3046,2346,3856,799,45368,5507,10842,6021,6107,5398,2391,2481,3481,672,42896,5865,9620,5285,5853,6060,2715,2817,3588,653,42457,3977,6466,3685,4013,5000,2232,2652,3294,467,31792,1060,1870,913,839,1221,726,717,951,147,8446,171,192,84,63,140,91,55,133,58,981,17,11,9,0,10,3,0,5,12,71,21381,43353,29123,32408,25276,18860,12518,20544,3443,206917
SOSR311,116,92,1048,1313,339,2827,267,1726,148,7868,377,1195,2077,1919,995,1352,674,1496,175,10256,1619,4742,4492,3148,2460,1654,1676,2609,422,22823,2392,4837,3706,2984,2684,1452,1790,2187,442,22478,2639,4177,3145,3071,3071,1438,2085,2329,409,22355,1938,2947,2424,2437,2518,1345,1967,2162,291,18033,514,787,519,491,615,390,462,563,98,4430,95,73,35,29,50,32,38,69,41,455,6,4,0,0,3,3,3,0,12,37,9696,18853,17445,15393,12728,10485,8958,13129,2038,108728
SOSR312,39,32,349,406,93,899,100,629,51,2595,140,287,711,568,267,483,227,568,69,3322,549,1312,1613,984,773,569,625,892,180,7498,770,1451,1417,1025,914,536,624,903,158,7794,944,1406,1360,1166,1107,559,765,954,157,8413,701,1148,965,982,987,537,786,851,123,7073,219,302,205,162,234,128,189,240,34,1715,32,26,12,16,30,12,9,22,23,176,0,0,0,0,0,0,0,0,10,17,3402,5972,6626,5309,4409,3721,3317,5046,800,38599
SOSR313,68,53,781,860,247,1819,190,1288,99,5421,280,824,1422,1111,664,863,486,1075,117,6840,1308,3068,3184,2131,1705,1184,1625,1953,299,16461,1893,3040,2593,1868,1895,969,1624,1471,306,15650,1930,2536,2144,1766,1906,1036,1630,1403,233,14591,1469,1911,1525,1311,1620,822,1368,1292,155,11475,450,518,370,241,412,250,360,352,50,2990,99,51,46,11,55,26,32,38,19,377,16,0,0,4,4,0,0,0,11,35,7511,12009,12062,9306,8505,6962,7321,8869,1297,73847
SOSR314,96,78,782,829,212,1567,220,1281,96,5168,289,619,1428,927,574,689,498,1167,137,6331,1403,2631,3080,1671,1669,895,1461,2892,355,16056,2030,2774,2711,1791,2000,856,1687,1747,355,15945,2138,2555,2401,1942,2131,1019,1756,1812,358,16101,1493,1747,1736,1339,1617,866,1540,1672,241,12259,433,518,372,294,388,228,423,424,73,3165,121,52,35,20,40,38,31,46,25,413,12,0,0,5,0,5,0,0,14,39,8010,10969,12552,8819,8634,6176,7617,11039,1650,75466
SOSR315,96,78,1080,1084,244,2074,245,1604,148,6662,283,771,1945,1499,734,941,636,1484,187,8478,1710,3452,4443,2823,2300,1276,1887,3050,408,21349,2518,3715,3936,2610,2579,1257,2309,2554,452,21927,2889,3511,3318,2928,2857,1468,2765,2733,482,22947,2385,2911,2610,2415,2576,1324,2553,2646,380,19802,858,883,643,470,704,437,681,660,154,5481,144,88,52,29,62,63,51,67,66,621,21,0,0,3,3,3,8,3,25,67,10896,15406,18032,13856,12067,8838,11130,14795,2310,107323
SOSR321,36,38,392,401,94,711,83,581,59,2398,103,295,607,473,249,324,205,437,61,2756,523,1153,1343,862,709,400,561,832,164,6550,1009,1357,1330,959,933,435,716,818,180,7734,1216,1444,1220,1189,1163,586,962,1084,185,9055,1034,1203,1123,956,1050,571,991,1087,159,8176,366,386,242,168,286,168,270,281,63,2240,64,40,22,14,30,19,20,32,16,267,5,4,0,0,0,0,0,0,5,17,4354,5919,6280,5032,4525,3226,3814,5165,891,39207
SOSR322,8,9,143,139,23,223,31,204,31,813,39,136,251,197,93,105,97,257,28,1207,253,460,553,383,281,185,299,408,77,2904,411,500,545,413,340,173,322,398,90,3194,571,561,536,503,460,246,509,529,91,4009,608,589,560,461,520,255,589,635,107,4327,249,194,146,93,124,80,157,175,41,1268,53,15,17,5,17,8,15,26,17,179,4,0,0,0,0,0,0,0,7,14,2200,2473,2751,2198,1878,1270,2021,2634,482,17909
SOSR331,273,203,2535,2009,619,3571,518,3515,341,13583,787,1252,3207,1999,1167,1337,1059,3065,305,14171,3919,4791,6311,3002,3262,1568,2832,4520,615,30810,7610,7063,6679,3427,4876,1650,3573,3935,828,39654,11061,8154,6869,4666,6474,2556,5073,5103,1054,51010,10293,6347,5722,3955,5658,2243,5072,5215,872,45370,5807,1846,1348,812,1557,692,1371,1582,417,15438,2042,212,111,57,215,109,131,269,229,3379,229,8,6,0,15,8,8,27,56,359,42024,29879,32795,19909,23851,13741,19646,27227,4704,213770
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,10,0,19,0,12,0,0,0,0,3,12,0,27,0,9,0,0,0,0,9,12,0,27,0,6,0,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,9,3,3,0,21,37,0,99
SOSR401,368,647,2658,5847,1256,11143,866,7137,483,30412,2377,8478,8542,12315,6314,9320,2715,7222,1045,58322,12194,39025,20193,19672,15798,9007,7483,12101,2357,137826,19321,38175,16419,15501,17414,6608,6772,9397,2303,131917,19292,28785,13947,13436,18363,6940,6813,9442,2040,119063,12852,20168,10489,10390,15633,6059,6341,8155,1382,91466,3298,6121,2462,2104,3967,1675,1392,1996,433,23439,479,708,255,123,386,233,99,209,194,2697,43,39,15,8,12,22,5,15,65,223,70217,142156,74978,79397,79155,51005,32489,55680,10293,595366
SOSR412,41,39,363,462,97,1094,98,780,34,3009,184,432,829,799,374,634,281,627,82,4237,801,1915,1863,1371,955,788,777,962,166,9595,1199,1918,1389,1173,1140,606,759,766,151,9092,1314,1787,1296,1260,1437,676,897,895,148,9713,1011,1147,992,1024,1007,563,897,831,153,7625,243,314,234,189,229,142,189,213,43,1795,42,28,19,8,15,7,15,24,15,170,3,0,0,0,0,5,0,0,6,23,4825,7583,6994,6279,5249,4523,3914,5095,797,45260
SOSR413,30,30,267,435,78,813,59,671,37,2425,158,362,576,635,236,419,134,537,45,3103,558,1500,1188,1073,622,634,376,928,110,6985,972,1628,922,955,774,449,391,793,105,6989,1206,1782,939,1106,937,578,506,878,134,8062,955,1346,793,1095,859,523,574,828,104,7067,325,451,195,235,280,133,155,234,39,2052,63,53,20,15,36,14,14,26,28,273,7,4,0,0,4,0,0,0,4,19,4276,7144,4901,5548,3816,3566,2215,4905,606,36978
SOSR414,5,10,81,153,21,255,16,249,15,803,44,83,248,192,70,141,45,218,14,1062,242,420,522,328,241,196,153,437,40,2573,362,503,381,303,317,183,159,370,50,2628,412,446,392,337,381,219,201,384,38,2807,296,368,292,368,303,211,182,380,32,2436,134,138,97,69,89,60,51,95,15,742,36,18,13,4,16,9,10,14,16,122,0,0,0,0,0,0,0,0,0,4,1535,1986,2024,1762,1440,1270,815,2134,222,13186
SOSR415,49,25,395,552,88,878,73,818,74,2948,171,390,866,679,301,505,257,781,71,4017,904,1804,1950,1209,893,673,741,1368,153,9697,1451,1836,1537,1161,1179,614,760,1197,175,9914,1705,1689,1453,1399,1417,781,804,1355,201,10813,1462,1385,1210,1204,1239,692,945,1390,173,9701,631,432,323,252,349,178,270,358,72,2865,165,40,35,17,45,17,23,44,50,436,17,0,0,4,0,0,0,4,11,36,6557,7599,7768,6484,5518,4337,3879,7316,978,50434
SOSR421,16,6,132,160,17,213,19,201,11,778,43,83,248,184,63,106,63,182,15,993,229,464,451,268,252,140,168,356,42,2380,387,419,444,309,298,164,176,307,44,2550,480,415,447,353,381,204,259,384,55,2979,506,431,367,368,371,203,329,420,56,3065,260,131,94,73,96,70,112,125,37,998,51,15,9,0,9,10,9,23,10,130,7,0,0,0,3,0,0,0,6,11,1982,1950,2198,1720,1497,1117,1145,1997,280,13887
SOSR422,9,3,68,72,5,77,12,106,14,365,27,50,111,88,33,54,34,98,3,497,136,214,242,190,97,76,94,180,20,1248,187,177,192,158,157,79,96,186,25,1257,264,214,209,196,187,96,168,252,35,1627,286,251,256,239,206,112,173,306,34,1866,122,92,67,39,67,33,75,79,10,578,32,10,4,0,10,0,3,18,6,90,4,0,0,0,0,0,0,0,0,12,1065,1016,1150,984,761,535,665,1227,152,7544
SOSR431,125,61,686,720,144,1059,130,1202,101,4220,394,409,1025,763,338,524,362,1029,100,4950,1764,1791,1991,994,843,500,854,1538,187,10460,3307,2488,1896,1119,1431,540,974,1338,237,13324,4667,2640,2133,1518,2012,848,1300,1779,304,17199,4763,2304,1947,1411,1919,840,1291,1949,278,16697,2720,771,488,292,564,196,375,617,181,6196,795,95,47,16,68,29,24,108,92,1267,87,3,0,0,0,0,0,11,16,119,18622,10563,10210,6830,7313,4533,5309,9569,1489,74441
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,9,0,22
