SOSR_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,4,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,8,3,0,0,38
SOSR201,7429,25376,27365,22826,24420,29080,50447,43223,24091,254252,7634,32626,42207,32425,30549,30511,36422,23919,9703,246000,4374,31700,52113,39879,34890,31573,27423,15724,5277,242947,2928,34779,78367,55849,48364,40029,23992,10469,3522,298297,1441,29887,99218,69910,58170,46708,22352,7775,2153,337606,408,15752,84930,60014,46815,34936,14380,4410,1235,262885,229,7022,72645,59698,46416,32236,11396,3751,1202,234590,95,2783,47035,49023,37228,24493,7665,2208,654,171173,94,2217,67874,100883,73941,43272,11469,3043,907,303699,51,404,10995,26246,21056,11692,3198,944,325,74917,107,643,11122,42694,46994,25100,7704,2578,922,137857,13050,19181,47386,36961,29429,23204,20326,19246,16899,225682,361,754,1704,1206,1400,2111,1886,589,145,10153,254490,309850,744329,690091,584639,486538,367372,217571,95291,3750163
SOSR203,955,2275,2580,2146,2470,3483,6498,5147,2921,28477,1081,3195,4051,3203,3007,3626,4885,2942,1257,27239,614,3390,4833,3464,3164,3301,3207,1879,605,24455,353,3673,7087,4742,4385,3980,2604,1100,402,28324,158,2655,8184,5683,5131,4613,2133,692,202,29462,40,1370,6282,4477,4039,3296,1249,329,92,21177,18,597,5343,4387,3758,2792,921,319,136,18266,10,235,3249,3414,3091,1993,535,143,40,12708,11,172,4044,5805,5258,3254,709,152,51,19453,6,37,527,1136,1130,706,166,52,24,3782,11,66,575,1700,1987,1094,409,154,60,6058,1432,1682,3346,2605,2548,2241,2413,2334,1994,20590,29,26,66,53,34,54,61,15,4,353,22724,26521,57260,48619,45878,43437,37544,22463,10160,314605
SOSR211,255,487,861,730,730,844,1663,1017,416,7009,285,707,1315,1011,847,854,1031,492,185,6713,202,812,1618,1268,905,762,689,305,64,6636,172,1024,2363,1910,1355,1107,496,165,31,8628,101,815,2699,2261,1656,1180,450,79,24,9269,13,362,1885,1798,1247,808,261,42,13,6429,8,151,1449,1461,938,648,169,42,10,4864,3,75,730,1002,729,423,105,12,4,3081,0,39,794,1291,1033,561,108,11,0,3842,0,9,103,174,153,80,16,8,0,541,0,15,115,187,184,118,39,25,12,688,527,537,1394,1203,871,637,549,433,193,6346,0,9,25,16,19,47,54,8,0,175,6840,6895,18309,16906,12712,10801,8978,4127,1245,86814
SOSR212,735,1106,1475,1408,1624,2200,4302,3356,1860,18058,790,1599,2238,1990,1946,2304,3289,2038,795,16993,425,1949,2969,2438,2313,2319,2435,1215,335,16399,226,2102,4202,3371,3137,2878,1802,780,260,18762,100,1613,5126,3896,3670,3375,1684,468,131,20082,25,767,3893,3158,3025,2495,931,257,66,14629,14,411,3348,3015,2890,2131,653,222,87,12772,4,141,1966,2364,2239,1506,450,92,35,8793,8,123,2333,4049,3878,2580,546,132,45,13687,0,18,345,824,848,543,142,42,9,2786,11,34,324,1193,1455,924,309,112,44,4401,1087,1003,2353,2234,2099,1868,1919,1805,1525,15889,3,40,83,71,47,49,37,12,7,346,15301,14544,35092,33992,33174,31656,27156,15533,6776,213214
SOSR213,650,993,1484,1370,1673,2544,4954,4095,2074,19824,780,1419,2095,1940,2047,2469,3538,2331,921,17544,425,1757,2751,2317,2349,2387,2436,1437,481,16345,257,2030,4092,3100,3043,2949,1864,747,277,18355,121,1495,4511,3622,3654,3231,1529,498,142,18797,38,708,3371,2824,2546,2093,872,258,70,12774,11,290,2743,2592,2354,1812,611,195,63,10678,6,128,1599,1820,1827,1336,344,85,34,7181,5,98,1895,3014,2948,2080,428,115,41,10619,5,17,257,559,571,410,108,24,7,1954,6,22,279,659,865,665,243,101,43,2888,964,911,2202,1994,1848,1655,1903,1924,1717,15116,7,8,71,50,28,30,16,11,6,229,13876,12991,31465,29546,29809,30432,28283,17882,7695,201975
SOSR214,365,515,791,805,1033,1732,3573,2826,1548,13193,355,750,1097,1121,1270,1686,2722,1706,682,11381,224,958,1459,1250,1428,1540,1764,1044,311,9976,156,1015,2004,1591,1736,1868,1307,584,192,10451,60,752,2303,1819,1977,1987,1102,390,108,10497,19,363,1545,1403,1409,1358,558,177,53,6871,7,160,1372,1285,1258,1111,454,172,80,5897,9,77,777,897,893,767,278,74,24,3795,3,54,949,1422,1547,1012,291,87,31,5399,0,7,132,265,290,256,78,20,6,1057,4,9,115,292,429,389,175,114,37,1566,608,431,1104,1090,1120,1215,1468,1608,1326,9964,6,11,22,19,12,17,13,7,3,115,7440,6666,15760,15263,16750,19371,20833,13183,5635,120898
SOSR215,513,652,1145,1218,1563,2566,5369,4129,2087,19241,611,1111,1766,1632,1820,2442,3604,2056,796,15839,329,1380,2120,1908,2100,2433,2439,1300,367,14379,187,1515,2977,2476,2827,2913,1842,812,238,15788,91,1058,3574,2979,3044,3237,1626,541,120,16280,26,545,2673,2457,2339,2172,864,252,67,11394,11,260,2240,2179,2045,1734,633,227,80,9395,6,104,1160,1543,1573,1210,376,99,30,6098,0,92,1503,2497,2620,1961,519,118,32,9348,0,12,229,495,531,427,142,32,14,1888,14,27,243,749,939,737,319,122,51,3197,1048,795,1770,1810,2014,2044,2268,1940,1355,15042,6,14,58,30,37,25,13,12,5,199,11617,9728,24683,25143,27137,30851,29721,17190,7047,183126
SOSR221,169,176,292,323,429,826,1615,1042,464,5337,161,259,425,446,560,785,949,456,176,4208,99,325,528,495,590,747,770,334,70,3962,50,368,702,642,778,898,516,205,50,4216,34,294,806,803,877,919,473,134,12,4351,12,140,647,622,721,653,264,81,12,3145,3,44,520,562,591,547,197,48,19,2533,0,25,298,377,443,358,116,31,0,1653,0,12,332,689,731,548,166,54,7,2534,0,3,52,128,138,98,51,17,6,490,10,0,50,194,268,233,110,34,15,915,316,184,400,503,582,669,718,525,381,4278,0,3,7,5,7,4,9,0,0,43,3119,2381,5871,6696,7810,9666,8963,4418,1635,50560
SOSR222,84,150,177,184,264,472,863,530,196,2917,120,247,313,230,336,429,528,219,58,2474,102,331,384,315,370,442,378,151,35,2510,57,344,560,379,429,515,277,97,25,2679,23,171,559,431,517,566,238,59,16,2573,4,81,368,344,424,408,161,37,3,1838,3,42,294,314,355,336,91,35,15,1482,0,16,148,238,264,225,87,14,0,983,4,10,189,377,456,370,91,11,0,1508,0,0,20,72,107,66,17,7,3,294,3,4,34,205,254,173,74,27,9,784,308,310,422,387,490,530,432,257,154,3305,0,14,53,10,11,9,7,3,0,107,2015,2090,4013,4036,4923,5932,4772,2210,689,30678
SOSR231,1193,1329,1703,1984,2975,4671,7646,4323,1330,27147,1431,1982,2423,2793,3812,5290,5757,2530,606,26633,903,2422,2923,3322,4299,5256,4730,1930,342,26131,572,2832,4197,4223,5630,6233,4015,1338,234,29273,289,2228,5095,5017,6837,7132,3724,983,157,31464,86,1133,3703,4002,5236,5109,2184,612,88,22159,38,550,3054,3777,4928,4479,1756,512,95,19183,20,192,1792,2906,3539,3093,1118,292,49,12996,16,150,2264,4678,6172,4814,1663,399,76,20226,6,28,355,1118,1576,1186,448,133,26,4879,14,45,521,1832,2984,2648,1231,419,95,9778,2758,1945,4379,5040,5878,6234,5404,2994,989,35625,14,44,118,45,42,40,32,16,4,354,26402,19341,37732,46805,62328,71155,57867,24700,5817,352148
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,4,4,3,3,0,0,0,13,0,0,5,11,3,4,0,0,0,26,0,0,3,19,21,23,0,0,0,67,0,0,3,0,10,0,0,0,0,17,0,0,0,13,14,8,0,0,0,47,0,9,38,96,128,106,13,0,0,387,0,0,0,0,0,0,0,0,0,0,0,4,52,140,182,158,16,0,0,565
SOSR301,5787,12146,13561,10927,11687,14515,27896,21768,10301,128588,6345,17413,21962,16239,14698,15366,21798,13335,4735,131886,4259,19783,27521,20280,16750,15362,14184,7838,2250,128213,2721,22110,40973,28885,24755,19972,12086,5047,1428,157993,1255,17655,47729,36480,31154,24640,11236,3520,900,174557,401,10063,38571,30977,25795,18629,6934,1787,476,133637,161,4725,33055,29900,24723,16552,5243,1509,450,116319,66,1713,21062,24908,21186,13171,3457,868,214,86643,56,1424,28564,47768,41648,22710,4781,1119,309,148373,30,221,4481,10894,10107,5203,1245,364,102,32650,80,312,4422,17677,21010,11137,3063,1017,332,59044,7388,10127,22281,17506,13942,10490,9320,8804,7788,107645,189,435,1182,680,606,901,750,218,60,5013,143234,162862,349243,331495,294866,238479,181738,100479,39100,1841492
SOSR302,2328,4051,4830,4297,4928,6854,14686,11527,5135,58631,2653,6313,8164,6805,7102,8441,12404,8003,2646,62533,1714,7626,10728,8672,8245,8241,8041,4485,1279,59027,941,7795,15110,11642,11876,10198,6714,3016,795,68079,385,5366,16539,14399,13910,11692,6285,2364,550,71496,100,2463,11776,11171,10658,8156,3624,1280,275,49493,50,1157,9315,10393,9812,6968,2868,1077,313,41954,34,466,5863,7978,7869,5199,1905,612,130,30057,11,409,7315,13227,13414,7873,2568,847,169,45832,12,73,1220,2836,3070,1942,752,251,78,10226,21,143,1533,4831,5895,3967,1867,764,183,19205,3122,4039,9217,7596,7088,6331,6569,6164,4665,54788,83,185,586,311,321,385,431,209,46,2546,51945,53155,116340,117666,118501,108267,98922,59493,21510,745805
SOSR303,1296,1873,2343,2125,2387,3289,6464,4948,2330,27068,1490,2892,3875,3302,3215,3679,5104,3085,1013,27651,1060,3686,5135,4051,3739,3538,3338,1688,467,26701,721,4314,7441,5703,5454,4777,2720,1064,284,32475,286,3308,8353,6873,6416,5625,2586,749,134,34330,127,2275,6586,5475,5251,4010,1455,385,82,25648,46,1062,5711,5124,4876,3499,1115,325,72,21832,19,434,3426,3906,4101,2786,743,164,34,15627,18,337,4096,6178,6570,4162,933,156,56,22504,5,36,530,1085,1155,845,219,62,19,3964,19,48,525,1526,1960,1361,491,178,63,6180,2274,3274,6405,4922,4465,3927,3611,2705,1567,33152,37,205,491,140,130,139,128,57,14,1349,28733,30476,62184,56785,56493,51427,41534,22658,8188,358477
SOSR311,745,917,1445,1367,1654,2581,5180,4224,2055,20173,972,1524,2235,1958,2002,2583,3707,2396,722,18094,681,1960,2728,2204,2234,2197,2249,1360,350,15971,417,2245,3876,3069,3000,2745,1664,714,205,17945,149,1557,4001,3353,3380,3066,1495,500,88,17585,48,943,2819,2743,2539,2150,808,215,54,12321,25,499,2391,2412,2337,1879,566,211,77,10397,9,262,1657,1915,1913,1453,370,74,30,7690,8,288,2351,3244,3201,2215,472,104,22,11898,0,37,421,737,721,486,105,30,13,2564,12,46,322,817,1017,724,248,119,37,3336,1096,1205,2515,2153,2190,2181,2260,2376,1398,17382,18,39,134,61,50,67,65,26,9,469,15190,14297,30912,29608,30236,32185,30085,18914,6926,208345
SOSR312,227,371,622,623,815,1202,2569,1901,926,9251,308,574,839,795,882,1163,1774,1105,358,7806,174,698,1005,852,879,968,1025,589,156,6334,129,661,1223,1059,1128,1083,699,358,71,6410,68,454,1239,1186,1282,1191,630,226,46,6316,27,286,921,913,903,855,335,81,20,4337,12,163,820,845,871,673,222,97,39,3740,5,84,516,653,657,518,138,30,11,2615,5,80,713,1072,1249,911,188,36,4,4263,0,16,114,210,244,204,39,13,0,843,0,7,92,247,334,272,95,27,7,1086,388,327,775,791,811,757,769,764,542,5926,0,4,16,23,8,22,18,16,6,101,5565,4888,10597,10901,11997,13432,13209,8050,2859,81494
