SOSR_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,0,0,3,29,534,2445,6990,7137,1168,1338,970,1389,530,452,406,23396,0,3,12,90,246,887,3507,2116,458,499,479,448,230,55,89,9129,10,83,352,769,842,1045,1768,1371,303,300,373,406,184,74,114,7999,120,415,704,1054,11429,17024,51770,35244,9146,9917,9460,11388,3772,773,2793,165014,52,985,5447,1869,775,1845,642,178,28,18,19,28,6,3,344,12243,220,1298,2168,1022,1428,1362,2252,1635,240,271,329,214,112,44,325,12924,16,53,124,517,2588,2230,2783,1160,224,253,239,300,118,40,167,10816,2391,3929,2065,1106,1452,1335,2200,1191,250,271,278,322,154,63,474,17484,380,7713,23092,5697,1623,698,566,2065,256,214,151,161,59,18,1591,44276,45,152,450,1540,5298,5340,4144,2664,725,768,829,887,705,258,412,24220,226,178,2300,3356,6043,11802,77528,46422,13372,15402,20583,23463,7572,1661,3422,233332,45,139,199,481,1300,3798,5433,2573,767,922,966,1250,714,85,303,18961,12,16,66,231,1378,1218,4055,8731
SOSR203,0,0,0,0,5,10,57,406,61,42,19,58,17,10,6,686,0,0,0,0,0,13,125,98,11,31,16,24,9,0,0,318,0,10,34,46,37,56,143,84,22,14,17,32,7,7,6,514,5,6,80,18,54,144,831,551,138,159,180,230,51,11,45,2500,14,214,561,172,64,153,51,14,0,0,0,3,0,0,47,1285,13,11,18,5,7,19,68,41,9,10,26,24,22,11,5,292,3,0,0,11,33,33,69,54,5,6,6,12,5,5,8,243,252,459,132,74,86,41,110,50,18,16,7,3,9,0,54,1319,10,94,189,47,8,17,6,7,9,5,0,0,0,0,31,422,0,4,9,23,38,36,68,53,16,16,17,19,22,0,5,341,13,6,45,47,47,108,1873,1561,543,603,846,1091,452,46,151,7437,0,18,4,6,28,57,108,78,10,12,22,24,21,4,3,407,0,0,0,0,32,28,89,283
SOSR211,0,0,0,0,0,3,22,46,3,5,5,3,0,0,0,97,0,0,0,0,3,31,226,139,18,25,15,12,4,0,6,488,0,0,4,9,9,14,25,14,0,4,0,3,0,0,0,82,0,0,0,6,21,33,129,76,13,16,7,20,0,0,8,336,4,28,132,38,9,49,12,4,3,0,0,0,0,0,6,290,0,13,13,20,14,15,64,44,0,5,11,6,0,0,4,210,0,0,0,0,30,63,84,70,22,17,22,14,6,3,0,341,106,167,67,32,26,24,31,13,0,3,0,3,0,0,14,479,0,19,73,20,8,7,0,4,0,0,0,0,0,0,9,139,0,0,3,6,13,13,12,9,4,0,0,0,3,0,0,57,3,0,22,33,42,108,2648,1484,395,318,373,494,146,31,60,6161,0,0,0,3,11,26,53,24,11,7,6,7,0,0,0,156,0,0,0,0,3,5,18,47
SOSR212,0,0,0,0,0,40,297,379,51,59,57,53,27,11,19,1007,0,0,0,3,7,9,63,26,10,10,4,16,6,0,0,160,0,3,10,43,32,54,82,62,19,18,9,14,9,3,0,363,0,4,15,18,46,59,270,181,78,82,141,118,21,4,29,1047,3,31,112,33,26,22,3,5,0,0,0,0,0,0,13,258,4,17,18,9,9,0,33,23,13,9,17,15,6,0,0,177,0,0,3,8,41,38,59,40,14,9,20,21,9,5,4,275,167,265,96,50,48,21,116,50,8,11,7,11,6,0,30,877,15,113,143,44,18,12,6,17,4,0,0,7,0,0,11,388,0,0,4,16,22,23,35,44,6,3,12,17,12,7,5,212,4,8,52,57,61,127,1483,936,262,248,321,424,159,29,95,4283,0,12,4,13,14,23,58,61,15,20,14,25,21,0,13,284,0,0,4,0,5,10,43,96
SOSR213,0,0,0,0,3,3,30,67,3,3,0,13,0,5,11,136,0,0,0,0,6,9,21,23,0,6,7,0,0,0,0,71,0,6,28,34,31,30,67,34,14,5,4,12,4,3,10,286,6,9,10,0,23,52,211,149,55,86,109,52,17,0,30,805,8,30,119,55,16,31,0,0,0,0,0,0,0,0,7,280,6,22,22,0,7,5,25,7,0,0,0,3,0,4,7,113,0,0,3,9,35,40,51,26,0,0,3,16,8,0,0,198,218,382,126,55,80,35,53,15,4,11,11,8,0,0,40,1034,9,41,86,41,8,5,3,8,0,0,5,0,0,0,11,220,3,4,7,7,23,15,24,19,4,3,5,10,3,0,3,129,13,15,32,30,42,58,961,651,175,160,191,249,88,23,42,2730,3,14,4,3,15,25,62,21,6,21,11,26,11,0,3,228,0,0,0,0,3,10,21,38
SOSR214,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,12,5,4,0,0,0,0,0,51,0,4,12,24,23,17,43,34,0,6,3,5,0,0,0,174,4,5,4,3,20,23,119,71,17,16,31,137,0,0,13,450,0,15,76,25,3,0,5,0,0,0,0,0,0,0,10,138,6,24,18,5,4,4,8,5,0,0,0,0,0,0,3,90,0,0,3,7,12,17,22,16,3,0,0,5,0,0,3,92,109,215,93,34,48,31,34,19,0,4,0,3,9,6,21,633,3,60,131,36,4,11,5,4,3,0,0,0,0,0,17,271,0,3,0,0,13,11,12,11,3,5,3,0,3,0,0,65,13,12,31,14,13,21,460,335,80,101,129,133,40,4,38,1436,0,9,0,9,9,14,16,19,7,10,9,3,12,0,5,119,0,0,0,0,4,7,4,20
SOSR215,0,0,0,0,0,0,3,12,0,0,0,0,0,5,0,24,0,0,0,0,0,6,5,7,0,5,3,0,0,0,0,27,4,3,25,48,39,31,69,43,6,5,4,3,5,4,3,286,8,4,12,3,18,30,92,67,20,29,19,31,4,0,11,345,3,39,80,20,3,4,4,4,0,0,0,0,0,0,3,161,4,24,25,7,0,3,14,3,4,0,0,0,0,0,0,84,3,3,9,9,38,20,37,21,0,10,7,4,9,0,3,163,143,323,145,75,81,50,53,30,9,10,6,12,3,4,41,972,0,42,85,20,12,4,0,3,0,0,0,0,0,0,10,189,0,0,4,8,7,7,12,11,0,0,0,4,5,0,4,68,13,11,32,43,31,22,384,219,61,64,101,88,38,9,26,1125,6,4,10,10,6,8,26,26,0,7,15,18,11,0,0,148,0,0,3,0,10,4,4,8
SOSR221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,13,0,0,11,11,14,7,12,3,0,0,0,5,0,0,0,65,0,0,7,0,5,4,20,18,6,0,0,4,6,0,0,88,0,5,26,10,4,0,0,0,0,0,0,0,0,0,3,44,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,16,0,4,3,4,9,11,13,0,0,0,0,0,0,0,3,47,37,93,41,22,31,16,17,9,0,4,0,0,0,0,5,288,4,17,26,16,3,0,0,4,0,0,0,0,0,0,4,71,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,23,3,4,15,8,13,9,62,33,19,15,21,16,9,0,10,231,0,4,3,0,0,3,8,0,4,0,0,0,0,0,0,40,0,0,0,0,3,0,8,4
SOSR222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,10,0,0,10,9,7,9,11,11,0,0,0,4,0,0,0,60,0,0,0,0,4,6,9,10,7,0,4,12,5,0,0,67,0,4,11,3,0,3,0,0,0,0,0,0,0,0,0,18,0,5,5,0,3,4,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,13,29,50,23,9,16,4,7,4,0,0,4,0,0,0,3,146,0,13,12,4,0,3,0,0,0,0,0,0,0,0,0,25,0,0,4,0,5,3,4,4,0,0,0,4,0,0,0,22,3,0,12,6,7,4,19,6,3,3,6,12,5,0,6,93,0,0,0,0,5,0,6,7,5,0,0,6,0,0,0,34,0,0,0,0,0,0,0,0
SOSR231,0,0,0,0,4,7,20,0,7,0,0,0,0,0,17,54,0,0,0,9,5,3,10,4,3,0,3,6,0,0,0,36,3,11,44,79,71,77,102,62,16,16,11,20,8,0,15,534,8,16,24,12,64,55,213,129,37,38,38,37,12,6,58,751,7,71,238,88,13,41,6,3,0,0,0,0,0,0,25,497,4,25,31,9,8,9,9,0,0,0,0,7,0,0,12,129,0,0,14,31,49,31,32,15,0,5,3,6,11,0,17,210,235,544,253,149,196,110,148,64,12,13,11,22,12,0,61,1830,20,161,240,60,16,5,4,4,0,0,0,0,0,0,36,545,0,5,6,18,18,26,23,20,4,9,11,10,4,5,17,172,18,15,68,75,76,96,313,156,40,50,48,91,24,5,83,1157,6,16,11,8,17,15,35,32,7,15,18,29,6,0,14,235,0,0,3,8,12,4,14,22
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
