SOSR_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SOSR179,0,0,0,0,4,5,0,0,0,9,0,0,0,0,4,3,0,0,0,6,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,14,0,0,0,0,5,0,0,0,0,3
SOSR201,32157,129989,291410,266426,186643,126753,86748,37268,10566,1167959,4771,8865,20272,18675,33849,36671,19444,7806,2205,152565,5118,7590,22279,23858,31691,36060,25394,14954,4590,171533,1577,1664,5572,6605,9368,11796,12011,8767,3062,60408,728,963,3545,4926,5582,8265,13620,17432,9187,64247,173,820,3271,3420,3606,4214,3947,3474,1856,24777,5101,8416,21830,16951,13074,10668,9344,8404,4974,98768,49625,158308,368187,340861,283806,234429,170516,98107,36436,1740264,34766,131129,318273,291896,216246,140626,84689,33627,11958,1263217,2859,5525,13670,12862,29233,38616,24361,11152,3810,142086,2701,4304,13313,14636,23584,32727,33227,20360,7997,152838,827,962,3332,4568,7393,11427,14872,10850,5489,59732,389,616,2758,4378,6177,10127,20635,26051,15880,87004,113,548,2754,3555,4483,5793,5920,5909,3976,33051,4541,6980,19613,15463,11702,10132,10795,10723,9528,99483,46198,150063,373717,347358,298818,249446,194504,118680,58631,1837412,66926,261116,609679,558322,402892,267383,171436,70892,22523,2431174,7633,14392,33941,31536,63082,75285,43807,18960,6012,294649,7818,11890,35589,38491,55272,68780,58628,35310,12580,324373,2406,2630,8905,11167,16762,23227,26882,19615,8551,120140
SOSR203,2299,9434,19436,15305,10845,6940,6108,2638,713,73729,656,1271,2685,2279,4081,4761,2863,918,253,19763,911,1166,3032,2901,3732,4722,3743,2027,625,22858,274,261,828,840,1235,1737,1851,1522,454,9005,145,152,403,459,510,770,1447,1734,983,6601,18,59,206,183,203,185,152,118,61,1178,536,795,1615,1206,1252,1108,1065,1019,652,9251,4839,13141,28195,23174,21868,20226,17229,9972,3742,142384,2793,10605,22306,19121,14138,9290,6347,2499,1000,88112,437,891,1980,1750,3882,5429,3605,1558,422,19959,497,775,2290,2196,3138,4587,4766,2816,1007,22071,173,200,509,554,1004,1829,2305,1688,901,9172,79,101,275,330,437,759,1792,2298,1717,7796,15,36,123,181,215,189,175,140,114,1196,571,669,1474,1230,1138,1049,1248,1462,1242,10084,4571,13285,28960,25366,23961,23125,20234,12471,6403,158381,5098,20044,41741,34432,24981,16230,12452,5138,1713,161840,1096,2166,4662,4021,7965,10184,6465,2478,672,39716,1410,1940,5326,5095,6875,9306,8508,4841,1631,44929,450,456,1340,1399,2245,3567,4154,3210,1356,18178
SOSR211,659,2220,5309,5061,2695,1461,1219,443,96,19178,267,458,922,824,1082,990,591,160,30,5327,323,466,1261,1258,1383,1466,1103,436,77,7771,76,99,351,366,372,495,527,268,62,2619,44,59,179,176,218,275,424,372,116,1861,3,20,85,89,92,70,61,28,17,469,214,237,614,539,410,319,292,197,68,2888,1588,3553,8726,8313,6252,5086,4212,1906,470,40111,721,2354,6695,5848,3165,1812,1123,386,106,22213,146,302,803,695,1057,1140,682,179,41,5051,154,311,977,944,1174,1489,1373,529,166,7113,53,56,235,229,343,539,615,329,76,2482,20,41,129,171,168,265,523,448,235,1999,6,16,64,121,125,114,87,66,17,610,225,215,637,561,389,294,309,267,133,3040,1332,3293,9540,8567,6428,5656,4708,2212,775,42512,1379,4575,12005,10914,5869,3276,2341,828,210,41390,420,757,1725,1523,2138,2129,1273,338,75,10379,476,783,2237,2205,2553,2960,2471,967,243,14886,133,157,590,595,719,1035,1145,602,135,5107
SOSR212,1315,4756,10532,10018,7543,4917,4249,1671,447,45440,586,991,1988,1841,3045,3532,2060,636,149,14836,612,794,2184,2136,2870,3605,2948,1425,370,16935,182,204,637,665,899,1223,1411,1050,278,6552,93,75,280,363,354,516,1019,1304,702,4703,16,41,160,166,183,156,109,85,45,962,432,454,1114,1052,989,922,863,831,509,7156,3236,7307,16892,16230,15881,14870,12664,7003,2503,96589,1632,5483,13397,13032,10019,6646,4104,1560,564,56422,318,582,1389,1371,2911,3916,2737,1011,254,14494,313,507,1503,1477,2305,3334,3584,2032,660,15712,116,105,386,416,662,1236,1607,1167,514,6207,50,49,199,221,292,557,1279,1537,1134,5315,10,38,125,154,158,139,115,117,67,933,368,396,1087,998,876,882,1023,1091,1064,7785,2810,7156,18091,17665,17221,16716,14447,8509,4262,106865,2941,10240,23930,23046,17556,11565,8353,3227,1010,101868,906,1570,3378,3214,5957,7453,4801,1642,409,29327,929,1298,3682,3606,5169,6941,6533,3455,1030,32650,302,307,1023,1074,1560,2454,3020,2215,797,12760
SOSR213,1187,4022,8710,7965,5971,4146,4089,1896,504,38497,574,1018,2146,1797,2948,3450,2222,738,190,15084,660,844,2494,2398,3065,3992,3337,1782,443,19005,230,186,636,760,885,1313,1569,1298,373,7246,96,74,270,316,315,620,1159,1477,808,5140,3,20,72,82,107,107,81,62,30,573,362,375,942,834,870,776,849,821,516,6348,3108,6542,15268,14150,14169,14401,13300,8068,2868,91882,1371,4665,11497,10674,8334,5744,4170,1854,591,48906,316,628,1557,1433,2952,4104,2776,1211,350,15317,381,543,1549,1701,2456,3400,3833,2437,840,17144,122,129,394,429,731,1326,1843,1312,649,6937,44,49,159,191,303,546,1229,1748,1368,5632,5,15,70,65,94,99,99,88,62,599,323,371,871,845,732,774,1003,1147,960,7023,2573,6406,16096,15337,15602,15982,14944,9794,4815,101554,2556,8687,20206,18641,14302,9892,8263,3751,1098,87394,890,1648,3706,3231,5902,7553,4996,1947,536,30396,1038,1391,4041,4096,5524,7393,7169,4210,1283,36149,359,316,1034,1183,1615,2638,3405,2609,1020,14176
SOSR214,629,2115,4385,3973,3291,2704,3121,1465,404,22092,297,556,1009,952,1562,2137,1628,629,134,8900,347,424,1247,1277,1693,2325,2330,1354,330,11335,117,123,331,385,608,891,1178,872,283,4790,44,45,152,161,188,368,779,1078,590,3413,7,18,39,36,37,48,44,60,36,324,208,195,557,519,540,643,714,704,364,4442,1653,3484,7728,7294,7918,9120,9795,6170,2141,55302,698,2318,5646,5575,4762,3824,3271,1446,515,28043,156,279,756,724,1623,2466,2019,852,259,9122,197,290,775,815,1326,2137,2687,1652,627,10505,67,60,227,216,415,844,1325,949,431,4540,31,31,80,81,152,354,870,1136,938,3668,3,7,25,25,35,36,54,63,44,301,195,177,493,509,488,573,794,889,683,4792,1348,3168,8003,7939,8804,10228,11015,6993,3485,60973,1327,4427,10029,9543,8053,6526,6397,2910,919,50130,452,840,1766,1671,3184,4600,3646,1478,390,18025,550,712,2027,2088,3018,4464,5016,3005,961,21837,183,186,566,596,1019,1737,2502,1820,713,9329
SOSR215,920,3038,6468,6460,5373,4321,4712,2060,473,33835,441,756,1773,1638,2568,3226,2306,744,188,13640,552,645,2091,2128,2857,3991,3306,1681,434,17676,189,151,593,649,951,1486,1807,1164,345,7341,65,59,245,262,330,543,1126,1468,734,4840,9,15,48,58,82,84,66,52,31,447,391,381,817,882,921,1084,1141,898,449,6963,2562,5047,12038,12067,13073,14742,14473,8075,2659,84743,1035,3349,8969,9168,7804,6188,4823,1973,634,43938,255,491,1182,1194,2436,3777,2735,1103,339,13512,274,381,1202,1360,1984,3366,3702,2097,752,15123,86,77,269,329,639,1231,1705,1179,573,6096,37,38,115,138,206,475,1022,1496,1211,4735,3,8,44,46,48,66,58,70,37,388,340,307,780,801,885,968,1182,1177,828,7266,2029,4645,12574,13032,14008,16063,15225,9100,4378,91054,1956,6387,15436,15630,13170,10506,9540,4031,1109,77768,698,1242,2954,2831,5003,7007,5047,1849,527,27149,820,1025,3295,3487,4845,7357,7007,3781,1187,32799,276,231,870,980,1584,2716,3513,2343,916,13436
SOSR221,236,788,1514,1745,1559,1368,1528,573,145,9450,126,194,435,450,752,1036,758,238,39,4031,150,163,495,588,798,1355,1044,484,87,5164,62,31,145,190,278,484,551,339,81,2157,24,11,53,46,91,162,312,374,172,1242,3,0,9,12,3,15,18,10,0,71,90,82,183,234,282,323,389,240,120,1947,691,1268,2835,3267,3766,4749,4604,2242,640,24063,278,817,2191,2428,2234,1929,1508,495,157,12031,75,107,280,306,712,1153,737,281,75,3727,66,95,281,328,613,1015,1033,501,168,4091,30,16,74,86,166,355,483,275,109,1598,13,6,20,37,62,126,276,333,249,1121,0,5,6,4,14,11,16,18,9,79,89,65,172,238,234,315,303,268,224,1910,558,1106,3027,3427,4032,4911,4346,2170,991,24566,518,1603,3700,4170,3793,3301,3032,1065,297,21478,201,303,715,762,1469,2189,1502,517,112,7757,223,253,779,914,1407,2371,2077,984,258,9262,88,44,218,281,450,838,1041,614,191,3752
SOSR222,193,645,1114,1044,1022,849,843,270,45,6035,55,109,270,236,439,589,382,101,19,2189,77,98,280,335,530,770,573,208,29,2905,30,27,74,88,164,324,274,174,61,1217,6,9,32,37,50,119,210,207,77,740,3,6,3,5,6,8,7,9,6,55,104,141,216,178,230,263,264,141,58,1598,462,1032,1996,1924,2444,2932,2558,1105,291,14738,302,767,1400,1474,1413,1177,722,245,62,7567,38,65,149,181,372,686,363,114,22,1999,37,55,172,185,342,582,522,247,56,2198,11,15,27,51,85,205,257,151,40,848,3,4,12,12,24,69,143,189,115,576,0,0,10,4,3,4,4,4,3,40,107,141,188,196,223,257,190,146,95,1552,501,1044,1957,2104,2461,2993,2207,1101,399,14767,493,1416,2513,2521,2428,2034,1571,524,108,13603,92,170,422,412,810,1275,747,209,41,4188,112,150,452,518,873,1355,1095,459,88,5101,41,38,103,139,250,530,533,325,99,2062
SOSR231,2230,6442,9560,11305,12082,10878,10426,3502,524,66942,1020,1392,2606,3063,6421,8082,5055,1326,198,29162,1241,1373,3930,5062,6969,9650,7161,2817,451,38661,350,306,898,1279,2145,3315,3529,1946,355,14121,132,88,317,425,648,1208,2177,2310,830,8134,19,33,63,78,90,85,100,141,66,666,977,811,1756,2093,2597,2962,2687,1500,417,15794,5972,10441,19131,23301,30948,36177,31137,13545,2834,173486,2571,6804,13402,16948,18139,15176,9817,2771,556,86194,455,657,1554,1906,5463,7939,4925,1479,247,24631,512,545,1563,2095,4064,6333,5648,2457,547,23759,165,109,322,492,1039,2172,2465,1283,384,8432,72,31,143,155,290,674,1509,1679,727,5274,12,15,51,32,59,74,94,102,76,515,910,666,1422,1809,2265,2547,2218,1356,446,13646,4697,8836,18460,23441,31311,34917,26677,11132,2981,162457,4799,13246,22960,28257,30223,26053,20242,6278,1079,153136,1478,2052,4161,4968,11880,16025,9980,2806,445,53793,1754,1920,5494,7157,11028,15988,12810,5274,1000,62417,516,422,1223,1772,3183,5478,5990,3229,739,22559
SOSR279,0,4,6,23,26,8,0,0,0,71,0,0,0,11,13,13,0,0,0,36,0,0,3,8,16,19,0,0,0,47,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,19,90,121,93,13,0,0,339,0,4,30,131,163,141,16,0,0,493,0,0,5,5,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,16,30,26,15,0,0,0,86,0,0,0,11,11,14,0,0,0,38,0,0,3,8,16,17,0,0,0,49,0,0,0,0,0,5,0,0,0,5
SOSR301,22432,67791,130996,121588,93375,58188,39184,17157,4159,554855,2222,3469,8931,8722,10013,8904,4880,1978,489,49602,3524,4276,15394,16793,25393,32756,25224,11812,3014,138186,1130,814,2693,3270,4193,5314,4793,2949,1042,26196,380,316,1252,1685,2235,3140,5692,7512,3183,25401,73,214,1023,988,1049,1107,854,530,283,6123,2867,4320,9819,7885,6455,5004,4494,3824,2258,46932,32620,81199,170108,160928,142715,114417,85121,45765,14424,847296,23339,69917,144900,137095,105191,62786,36646,15169,4768,599810,1682,2674,7777,7525,9755,8570,5247,2400,709,46339,2457,3343,11687,12591,23691,37507,35094,17359,6197,149929,685,559,1949,2455,3501,4958,5620,3857,1676,25271,218,235,1014,1487,2131,3071,7169,9809,6099,31222,46,179,883,1109,1340,1331,1079,793,554,7310,2746,4040,9510,7459,5770,4779,4876,5038,4593,48800,31173,80951,177730,169718,151366,123008,95725,54427,24595,908681,45768,137710,275890,258685,198561,120971,75827,32325,8927,1154663,3899,6143,16704,16248,19766,17479,10132,4377,1196,95942,5979,7622,27086,29383,49083,70265,60315,29176,9211,288120,1820,1369,4652,5723,7689,10272,10418,6809,2710,51464
SOSR302,7017,20464,39889,38524,33043,23141,21205,10699,2594,196584,972,1409,3707,4184,4996,5052,3685,1916,434,26355,1650,1738,6198,7728,12468,15745,13107,7494,1911,68037,450,305,868,1221,1668,2299,3036,2277,746,12867,133,106,277,396,556,947,1953,2752,1327,8448,14,42,177,165,162,162,165,138,97,1128,1225,1630,4149,3373,3092,2823,3083,2815,1542,23722,11455,25695,55264,55584,55993,50186,46225,28094,8646,337135,7930,22903,47461,47193,40106,27203,19441,9097,2667,224000,623,1009,3089,3576,5225,5724,4573,2239,567,26623,1129,1318,4849,6186,11715,18196,18796,10224,3175,75580,273,176,637,873,1369,2294,3622,2612,1220,13071,72,56,214,321,466,986,2235,3297,2137,9776,17,37,128,172,177,173,211,189,146,1245,1211,1737,4066,3423,3077,3066,3332,3506,2890,26316,11246,27236,60441,61736,62142,57641,52210,31158,12803,376617,14945,43367,87349,85715,73151,50344,40645,19796,5260,420583,1598,2421,6796,7752,10230,10781,8258,4151,996,52979,2773,3058,11042,13909,24186,33943,31898,17722,5088,143619,718,484,1503,2091,3039,4594,6655,4889,1960,25934
SOSR303,3712,11189,20366,17077,14410,9229,6974,3028,641,86633,591,861,2008,1947,2460,2383,1361,502,99,12208,1021,1108,3653,4023,6095,8664,6969,2872,707,35109,315,221,604,777,993,1385,1299,801,240,6641,91,108,285,449,556,860,1486,1954,810,6605,29,53,180,195,204,221,150,112,45,1188,999,1729,3006,2270,2175,1968,1833,1234,497,15712,6755,15267,30109,26739,26897,24707,20063,10499,3038,164081,4052,11836,23537,21379,17983,10742,6469,2797,770,99571,458,650,1643,1876,2454,2467,1450,576,174,11733,697,884,2676,3258,5595,9294,8623,3969,1305,36311,266,180,512,568,804,1276,1397,921,396,6319,83,98,228,372,402,684,1489,2293,1515,7171,34,65,249,296,283,252,224,126,59,1594,873,1223,2687,2110,1911,1843,1656,1411,911,14623,6468,14939,31535,29868,29429,26556,21316,12091,5131,177321,7771,23017,43903,38461,32398,19972,13444,5826,1410,186204,1047,1508,3655,3819,4914,4854,2805,1074,272,23946,1716,1997,6327,7282,11693,17960,15592,6839,2006,71418,583,401,1120,1349,1797,2655,2703,1717,639,12960
SOSR311,1769,5063,9261,8368,6536,4243,3751,1895,463,41354,398,506,1234,1113,1325,1356,878,453,82,7340,716,795,2461,2594,4190,6681,5778,2429,563,26204,211,127,441,549,745,1187,1385,800,216,5671,65,63,154,259,356,645,1503,2131,882,6069,3,22,81,64,89,81,75,72,30,519,453,502,1193,1071,1090,1099,1107,1008,497,8022,3625,7072,14835,14020,14343,15293,14478,8783,2736,95179,1808,5455,11241,10522,8399,5383,3491,1758,517,48583,296,392,1132,1157,1428,1557,949,456,105,7456,543,626,1987,2188,4136,7235,6937,3272,959,27877,160,122,314,438,587,1103,1514,955,321,5518,24,24,96,165,296,498,1440,2285,1384,6225,4,28,53,56,58,88,68,80,42,480,404,525,1097,978,919,938,1121,1287,846,8124,3242,7170,15927,15508,15831,16808,15526,10080,4182,104265,3580,10519,20505,18892,14934,9627,7247,3659,981,89935,690,891,2368,2269,2757,2908,1827,901,188,14799,1256,1419,4444,4781,8337,13908,12718,5700,1521,54083,375,256,759,989,1335,2291,2897,1755,535,11185
SOSR312,675,1786,3149,2965,2579,1792,1922,1029,211,16119,149,216,496,470,574,640,457,180,41,3228,263,264,976,1058,1750,2771,2462,1113,217,10876,82,63,145,232,331,482,577,312,104,2333,34,23,45,95,142,287,554,731,334,2241,3,4,24,15,32,24,31,25,10,174,143,156,373,433,414,397,395,354,199,2859,1354,2514,5207,5275,5808,6396,6403,3755,1124,37836,646,1692,3651,3665,3202,2313,1741,918,248,18080,116,185,396,413,615,676,463,202,51,3131,197,300,803,932,1621,2984,3013,1467,422,11738,55,45,126,195,271,479,585,417,173,2334,20,12,39,54,113,199,544,827,482,2293,0,7,7,12,30,29,32,19,16,150,131,120,346,340,313,332,407,421,329,2738,1151,2365,5370,5602,6166,7013,6790,4280,1729,40462,1322,3480,6807,6632,5781,4101,3670,1950,462,34199,262,403,892,888,1190,1320,923,387,94,6360,458,558,1775,1993,3369,5754,5477,2581,640,22606,138,110,267,417,605,959,1163,729,279,4668
SOSR313,1149,3188,6550,5525,4242,2886,2379,1046,196,27158,280,376,877,834,888,864,560,232,45,4958,503,543,1866,1904,2685,3715,3202,1322,267,15995,163,96,296,368,479,684,722,403,118,3335,43,31,122,140,212,326,817,1009,397,3105,4,13,33,30,39,47,43,40,18,272,332,444,1082,914,860,864,747,446,173,5866,2466,4691,10822,9724,9408,9386,8477,4497,1214,60684,1115,3714,8106,7283,5392,3520,2306,933,231,32614,192,277,767,746,930,941,581,235,54,4723,340,442,1437,1619,2517,4192,3748,1653,487,16424,104,85,262,292,353,579,710,450,189,3031,22,17,73,93,163,269,743,1025,608,3010,3,3,28,21,33,38,53,38,21,240,267,350,829,701,634,680,689,506,313,4960,2049,4897,11497,10749,10016,10222,8830,4830,1905,64992,2262,6903,14665,12810,9631,6409,4688,1974,430,59772,474,657,1645,1582,1815,1802,1136,460,105,9677,839,985,3296,3521,5205,7904,6943,2979,755,32421,264,182,556,661,833,1265,1435,849,309,6364
SOSR314,1131,3162,6365,5654,4755,2867,2475,1125,262,27791,250,304,875,909,1037,970,550,239,39,5183,465,450,1689,2067,3013,4127,3268,1336,272,16685,138,105,300,395,529,767,815,487,112,3645,37,42,130,141,264,429,913,1114,482,3554,6,21,84,51,63,52,57,62,31,432,437,618,1543,1392,1339,1134,908,596,247,8208,2468,4703,10980,10606,11003,10348,8984,4955,1441,65494,1176,3364,7823,7201,5787,3398,2286,993,260,32290,161,231,690,794,1008,1006,594,249,57,4795,300,354,1250,1573,2651,4225,3826,1690,504,16380,89,64,229,278,404,695,772,469,195,3185,18,21,87,103,176,335,805,1178,723,3464,6,8,60,40,46,45,55,43,42,339,378,417,1061,874,851,700,728,620,441,6059,2124,4456,11201,10876,10931,10409,9063,5239,2217,66511,2307,6522,14185,12858,10541,6266,4762,2115,517,60082,412,542,1568,1707,2046,1979,1139,484,95,9976,764,806,2938,3640,5666,8355,7096,3029,774,33068,227,167,522,673,934,1459,1586,955,304,6833
SOSR315,1586,4205,8386,7677,6530,4758,4896,2059,408,40505,462,527,1255,1320,1620,1552,1216,392,63,8407,797,939,3182,3261,4993,7511,6427,2438,379,29929,245,175,488,703,1034,1453,1636,781,185,6703,111,66,185,282,374,817,1791,1968,727,6315,17,21,48,40,47,76,93,64,46,456,535,764,2317,2143,2179,2226,1755,1015,448,13373,3756,6695,15865,15424,16788,18387,17808,8710,2255,105687,1679,4692,10633,9937,8265,6012,4401,1674,415,47702,296,363,1102,1267,1600,1761,1196,433,77,8099,573,582,2056,2415,4175,7622,7021,2626,656,27727,173,113,321,446,702,1232,1454,758,248,5460,59,36,84,148,256,504,1530,1891,1114,5625,11,11,46,51,44,66,71,57,47,405,536,619,1520,1299,1347,1559,1517,1136,727,10260,3333,6415,15763,15558,16398,18756,17197,8579,3287,105282,3260,8893,19021,17618,14793,10778,9292,3734,819,88208,758,891,2355,2589,3226,3310,2417,822,144,16507,1367,1523,5240,5675,9176,15132,13454,5062,1042,57658,423,287,808,1150,1740,2685,3095,1538,435,12160
