UCL_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL112002,15437,16201,31638,24,29,50,69,49,111,18,35,48,41,39,76,39,57,93,5,9,8,86,99,180,10,13,20,16,18,29,14,34,49,18,12,28,37,37,70,14,15,27,44,37,82,100,95,190,89,76,161,24,25,44,48,40,80,4,7,11,353,317,673,16,22,41,14,15,27,7,6,15,19,21,35,0,0,0,22,29,55,19,21,39,3,6,13,6,0,6,0,6,13,14,4,16,7,11,18,23,34,62,9,13,19,47,64,109,10,10,13,88,113,208,41,44,86,31,29,67,23,39,63,4,6,6,34,45,79,183,168,358,1112,1168,2278,1627,840,2470,20,19,45,18201,18229,36428
UCL112003,12791,13711,26502,0,4,6,24,31,56,32,26,52,42,50,86,61,85,147,3,5,10,110,139,246,9,12,18,50,64,121,85,115,199,30,36,66,0,3,9,0,0,0,29,24,47,13,13,25,10,10,21,10,7,16,9,0,8,0,0,3,68,59,132,50,56,102,18,51,69,12,21,33,24,24,48,0,4,7,8,8,18,12,7,18,41,34,80,9,24,33,25,39,69,5,7,9,12,14,23,16,25,38,13,26,42,18,32,50,8,20,25,48,102,154,96,126,218,0,5,8,28,44,79,0,6,10,47,53,104,242,250,487,1060,1343,2404,570,593,1164,23,25,50,14446,15674,30123
UCL112004,9725,10933,20652,18,17,33,22,10,35,0,0,3,19,34,56,35,59,89,6,3,9,56,97,157,6,12,21,33,39,72,46,51,97,41,43,86,9,9,20,31,24,59,29,27,59,169,156,321,48,50,100,3,6,5,14,7,20,3,4,8,305,283,588,59,75,130,14,11,27,0,0,0,14,12,24,12,14,31,36,36,71,5,12,17,13,13,29,3,15,16,8,6,21,0,0,4,8,18,29,12,11,27,3,5,12,25,28,52,11,13,24,50,59,108,40,58,97,9,7,16,17,39,57,11,6,17,10,23,37,112,138,247,963,1098,2065,522,578,1098,22,24,46,11233,12627,23858
UCL112005,9623,10233,19864,6,6,13,13,11,17,3,10,11,19,18,37,20,22,41,0,0,0,29,42,72,0,0,9,7,5,11,10,5,16,0,0,4,10,0,8,5,6,10,12,11,20,15,13,32,10,3,11,0,0,4,0,6,8,0,0,0,48,41,90,8,11,15,5,4,8,0,0,0,7,0,5,0,0,0,4,9,14,0,0,0,0,8,8,4,5,5,4,5,11,3,5,10,0,5,3,7,11,22,0,0,0,10,25,43,0,4,8,21,44,69,15,16,33,4,0,4,28,53,77,0,0,0,11,15,23,55,58,112,283,355,643,2047,598,2648,4,13,10,11963,11197,23163
UCL112006,15192,16799,31989,15,23,42,50,38,92,62,76,137,53,46,99,86,94,181,7,8,12,145,151,294,5,0,7,13,16,30,16,17,33,14,16,26,78,75,153,35,48,85,80,69,148,382,372,755,194,157,359,63,58,118,96,75,172,12,17,28,942,866,1815,12,23,36,9,9,12,8,6,12,23,31,54,5,3,6,107,105,209,10,12,20,11,9,21,7,11,16,5,5,17,6,0,4,0,4,7,51,66,118,6,6,15,65,91,155,10,10,19,131,176,308,21,23,39,46,39,82,21,28,46,0,0,0,26,32,58,291,279,576,1945,1923,3871,1657,1657,3318,27,26,55,18823,20402,39223
UCL112007,2838,3043,5877,0,0,0,0,0,0,0,0,0,7,9,11,4,4,14,0,0,0,9,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,4,0,4,13,17,28,8,4,15,0,0,0,0,0,0,30,25,49,10,8,19,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,18,0,0,0,7,6,15,0,5,3,15,14,26,0,0,0,0,0,3,4,0,8,0,0,0,6,12,17,22,21,41,102,104,211,185,186,373,0,0,0,3131,3333,6463
UCL112008,8849,9943,18791,9,8,13,19,20,37,15,5,16,12,19,36,12,14,30,0,0,0,31,32,66,9,6,15,13,19,24,17,27,49,8,3,16,9,5,11,0,0,0,8,12,19,39,33,78,4,4,10,0,0,0,4,0,4,0,0,0,66,56,121,18,25,39,0,0,0,0,3,6,0,6,9,0,0,0,14,11,26,0,5,4,6,6,11,10,3,12,0,4,8,0,0,0,0,4,8,8,18,30,7,8,22,9,18,27,5,4,5,32,46,79,20,15,35,3,0,0,5,19,25,0,0,0,10,13,28,62,58,119,359,398,759,517,664,1179,11,9,23,9734,11009,20747
UCL112009,10157,10677,20835,3,7,10,39,27,62,3,9,13,22,22,42,73,67,137,0,0,4,97,89,181,0,4,11,13,13,29,11,19,21,45,43,85,18,14,37,9,4,10,30,27,57,90,78,173,36,35,70,4,8,11,22,20,36,3,4,5,211,188,402,18,16,30,3,6,8,13,7,17,27,26,56,0,0,3,41,49,88,13,0,16,10,10,18,22,19,38,7,12,21,4,4,5,7,4,7,11,26,43,14,18,31,23,34,59,16,17,33,67,92,160,19,17,35,5,3,13,11,29,45,5,3,14,17,9,27,141,131,268,856,824,1682,1171,710,1878,19,10,30,12203,12219,24418
UCL112010,6867,7102,13975,29,30,59,23,14,40,15,8,18,20,32,49,111,146,259,0,0,0,129,179,310,0,0,0,4,8,16,8,13,31,0,7,7,16,23,38,504,442,942,65,42,103,9,12,23,471,408,878,15,8,24,50,39,92,4,5,9,1127,977,2104,473,576,1044,0,3,3,0,7,4,11,8,15,5,3,4,43,37,76,5,3,10,0,0,0,11,10,26,0,0,0,123,165,291,4,0,5,63,62,122,5,4,12,85,80,163,91,81,175,246,226,472,44,50,96,26,17,41,9,18,23,53,48,99,8,8,14,444,352,794,2836,2765,5599,755,694,1450,85,37,123,10542,10596,21137
UCL112011,9071,9416,18492,9,3,12,12,8,12,6,11,19,8,11,15,7,4,10,0,0,0,14,10,21,0,0,0,0,6,10,6,9,11,0,0,4,0,0,0,11,8,17,11,5,14,4,4,10,13,13,25,0,0,3,5,8,12,0,0,0,43,37,82,3,0,9,0,0,0,0,0,0,7,3,12,3,3,9,3,0,12,0,0,0,4,4,6,4,0,4,3,0,3,4,0,4,3,0,4,14,31,47,0,3,5,16,26,45,4,6,9,30,72,104,13,14,25,4,3,9,0,24,28,0,0,0,9,10,16,43,48,97,223,276,506,456,434,888,8,10,15,9753,10135,19893
UCL112012,11801,12675,24478,9,7,23,25,19,47,39,70,108,16,16,32,41,47,87,3,0,3,60,60,121,0,4,11,33,30,64,34,52,85,14,9,23,10,10,15,5,3,14,10,9,15,24,22,45,58,62,114,14,11,28,14,15,32,7,3,12,141,135,273,62,62,129,26,28,54,3,5,3,15,18,35,4,0,4,14,7,23,6,4,15,4,7,14,5,15,25,0,4,9,5,0,5,0,0,9,14,30,49,3,12,19,15,36,46,3,9,14,39,89,133,28,28,58,0,9,13,13,31,46,0,0,5,27,43,74,157,203,355,752,904,1652,1052,1103,2152,34,15,53,13641,14695,28336
UCL112013,1046,1040,2083,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,5,5,0,7,7,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,3,0,3,3,6,8,0,0,0,8,7,19,12,10,21,0,0,0,0,0,0,0,5,7,4,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,7,0,5,4,0,0,0,10,16,31,59,61,120,85,87,177,36,16,51,1226,1203,2426
UCL112014,9634,10292,19926,25,28,51,17,14,33,11,8,11,11,10,25,15,26,46,0,0,0,29,38,61,6,7,19,15,13,33,9,14,24,12,14,28,12,12,25,0,0,0,11,14,25,11,9,15,8,10,19,0,3,3,5,7,6,3,0,3,48,50,96,12,14,23,0,9,11,5,3,9,16,18,33,4,0,6,11,10,19,8,7,15,10,18,26,6,6,9,8,10,24,35,27,59,4,9,8,9,22,31,6,0,3,11,22,31,7,8,16,35,57,85,36,49,83,6,5,12,18,14,31,0,0,0,0,0,8,133,159,289,505,587,1092,369,446,814,0,10,11,10513,11336,21849
UCL112015,13683,14501,28188,9,15,22,45,24,70,16,15,29,34,39,73,35,54,88,0,0,0,66,99,166,19,19,34,17,21,40,24,25,51,31,26,53,18,12,33,31,43,79,49,36,85,67,54,122,59,38,102,12,22,32,31,27,59,5,3,8,272,239,513,33,27,58,10,14,28,4,3,9,18,19,39,12,8,25,45,46,97,17,12,29,5,7,11,16,17,32,8,12,16,11,10,17,11,9,13,22,40,64,6,13,17,46,101,143,8,14,24,83,169,252,52,61,115,11,23,28,27,59,88,6,9,13,24,31,48,173,202,381,1053,1204,2255,2024,1199,3224,24,10,35,16782,16914,33698
UCL112016,17017,18193,35215,45,39,84,46,36,84,20,20,44,45,44,87,84,96,180,4,6,14,129,151,276,15,19,38,24,10,40,29,33,64,31,31,60,16,16,33,13,7,22,56,44,101,113,116,237,77,55,127,28,12,42,58,53,119,3,8,9,364,318,686,47,48,97,14,17,24,4,5,7,43,37,76,4,5,5,137,151,287,9,11,21,4,16,24,13,8,16,24,42,62,11,5,16,4,16,17,39,45,85,9,16,25,64,80,138,18,12,31,131,147,281,47,44,94,29,24,54,27,45,76,5,16,26,31,37,69,293,263,550,1557,1591,3146,1102,1182,2280,33,24,62,19710,20996,40703
UCL112017,20636,22976,43610,32,31,63,39,41,83,31,36,72,34,49,86,76,80,155,4,8,12,117,137,259,17,24,34,55,61,113,64,59,123,22,15,34,13,7,14,23,21,43,13,22,31,64,56,122,41,32,76,8,13,23,21,13,35,8,8,15,194,170,367,52,55,105,18,34,47,3,0,5,26,29,52,0,0,5,30,20,51,10,5,19,6,17,21,18,29,46,9,19,32,6,4,3,4,3,14,26,57,85,6,13,13,37,71,115,9,15,25,83,156,239,57,70,123,23,22,46,22,49,72,14,13,26,30,47,84,237,255,487,1185,1363,2551,1192,1224,2411,45,37,81,23056,25603,48654
