UCL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
UCL113006,37,176,0,213,1022,134,5,1369,16,99,5,116,1051,89,0,1253,6,23,0,30,678,88,3,791,0,0,0,0,256,30,0,287,1213,554,69,1836,5576,1622,8,9045
UCL113007,71,306,0,374,1674,70,0,2123,14,394,0,409,1714,79,6,2205,3,56,0,60,1087,77,0,1216,0,0,0,6,396,108,0,504,2252,944,122,3315,8247,591,17,12164
UCL113008,57,189,4,253,1255,81,0,1591,12,126,0,145,1245,77,0,1473,0,23,0,20,929,77,0,1025,0,0,0,4,352,25,0,379,1421,557,80,2052,6663,640,0,9361
UCL113009,36,201,0,239,906,18,0,1163,9,142,0,154,695,17,0,867,0,21,0,22,389,17,0,427,0,0,0,0,69,6,0,69,1959,584,91,2633,4678,189,10,7509
UCL113010,39,164,0,200,973,83,0,1263,0,121,0,121,856,68,0,1038,3,33,0,39,663,70,0,771,0,0,0,6,283,47,0,334,2009,565,102,2677,5975,647,4,9308
UCL113011,46,147,4,193,1033,72,0,1299,13,101,0,113,797,53,0,957,0,22,0,22,418,41,0,481,0,0,0,0,152,30,0,178,1857,532,66,2456,5571,632,7,8666
UCL113012,75,238,5,313,1845,64,4,2230,11,272,0,284,2069,85,0,2437,0,54,0,54,1424,100,0,1578,0,0,0,0,442,125,0,575,1870,756,65,2692,9120,634,9,12458
UCL113013,55,274,4,337,1279,65,0,1683,16,171,0,186,1096,74,0,1357,0,29,0,29,662,69,0,760,4,5,0,7,222,20,0,240,2153,830,104,3086,7329,706,4,11121
UCL113014,56,270,0,329,1194,81,3,1606,15,172,0,188,909,60,0,1151,3,39,0,46,573,38,0,647,0,4,0,4,270,17,0,292,2569,849,112,3532,7145,605,14,11295
UCL113015,37,180,0,215,1202,65,0,1490,4,148,0,148,1575,78,0,1802,0,31,0,30,975,61,0,1068,0,4,0,5,287,20,0,315,1410,580,64,2058,6536,526,8,9131
UCL113016,74,276,4,353,1782,158,0,2295,16,224,7,242,1873,174,0,2283,3,48,0,52,1542,206,0,1801,0,0,0,0,726,151,0,873,2208,898,124,3227,10420,1416,7,15068
UCL113017,62,238,3,304,1739,133,0,2172,10,271,3,280,2195,109,0,2586,5,40,0,46,1358,88,3,1490,0,3,0,5,421,42,0,474,1901,765,83,2756,8729,760,8,12260
UCL113018,3,50,0,59,250,24,0,334,0,26,0,26,372,41,0,438,0,19,0,24,216,35,0,277,0,0,0,0,65,19,0,80,294,140,11,446,1334,186,0,1962
UCL114001,37,78,0,112,555,11,0,680,8,100,0,112,613,24,0,749,4,28,0,33,529,37,0,605,0,4,0,3,301,40,0,341,713,306,48,1062,3043,202,0,4306
UCL114002,35,121,0,156,1090,60,3,1314,4,128,0,129,1763,70,0,1966,7,34,0,41,1310,68,0,1419,6,0,0,5,542,54,0,597,619,369,26,1014,5920,356,13,7294
UCL114003,30,158,0,184,910,88,0,1180,4,113,0,120,1054,94,0,1269,0,23,0,22,793,98,0,909,0,0,0,0,339,72,0,412,1176,492,68,1747,5531,837,3,8120
UCL114004,26,115,0,134,702,59,0,899,4,82,0,88,573,43,0,708,0,11,0,16,459,41,0,516,0,0,0,0,217,21,0,234,901,309,27,1237,3695,565,12,5509
UCL114005,24,108,0,135,639,47,0,822,0,100,0,102,795,44,0,940,0,27,0,26,579,58,0,661,0,0,0,0,228,23,0,256,698,352,33,1088,3391,317,3,4799
UCL114006,21,105,0,127,640,40,0,810,6,96,0,96,679,47,0,832,0,16,0,16,509,46,0,567,0,0,0,0,211,32,0,244,641,328,25,991,3255,289,3,4543
UCL114007,31,152,3,181,800,56,4,1042,8,108,0,118,955,62,0,1126,3,15,0,17,653,63,0,735,0,0,0,0,319,29,0,349,1069,473,55,1595,4726,476,7,6812
UCL114008,26,127,0,158,703,82,3,942,0,97,0,99,698,65,0,865,0,15,0,15,471,58,0,545,0,0,0,0,239,30,0,271,736,356,48,1138,3666,567,5,5376
UCL114009,16,59,0,85,253,14,0,351,3,45,0,50,180,19,0,251,0,7,0,7,159,59,0,228,0,0,0,0,95,67,0,164,1363,252,35,1656,3457,293,14,5419
UCL114010,27,118,0,144,645,69,0,858,4,100,5,107,666,50,0,828,0,14,0,20,492,69,0,579,0,0,0,0,165,26,0,194,928,379,67,1379,3639,523,7,5543
UCL114011,22,52,0,76,600,73,0,743,3,53,0,60,642,50,0,756,0,13,0,15,421,64,0,501,0,0,0,0,163,50,0,213,597,191,18,813,2997,480,13,4293
UCL114012,17,46,0,59,210,9,3,287,7,46,0,51,107,15,0,172,0,6,0,6,42,0,0,46,0,0,0,0,9,0,0,5,1718,207,55,1987,2158,151,13,4298
UCL114013,25,138,0,162,722,79,0,969,7,98,0,104,610,77,0,791,0,24,0,25,525,81,0,626,0,0,0,0,246,32,0,276,1245,470,74,1790,4160,666,16,6636
UCL114014,40,67,3,109,648,10,0,767,9,76,0,80,352,9,0,444,0,4,0,8,197,5,0,214,0,0,0,0,49,0,0,56,1470,242,16,1730,2980,91,0,4805
UCL114015,37,147,0,185,841,95,0,1124,3,100,0,108,863,84,0,1056,0,42,0,37,713,76,0,827,0,0,0,0,299,45,0,348,1278,516,66,1865,5202,794,34,7892
UCL114016,18,124,0,142,668,61,0,875,0,89,0,90,535,46,4,674,7,30,0,29,406,40,0,475,0,3,0,3,210,31,0,248,1043,441,44,1533,3868,504,7,5910
UCL114017,48,140,0,188,815,45,0,1051,7,181,0,193,598,24,4,823,0,21,0,23,273,8,0,302,0,0,0,0,92,6,0,96,1421,456,62,1937,3757,291,28,6008
UCL114018,43,133,0,178,1104,75,0,1367,15,142,0,157,1346,96,3,1597,4,35,0,36,857,65,0,957,0,0,0,3,287,56,0,343,937,420,54,1409,5500,502,12,7422
UCL114019,29,106,0,132,667,187,0,994,3,78,0,83,567,140,0,793,4,29,0,34,360,85,0,478,0,0,0,0,110,30,0,140,796,368,49,1214,3548,1315,7,6089
UCL114020,49,130,7,183,921,39,0,1145,5,132,0,135,953,40,0,1126,0,29,0,29,663,44,0,741,0,0,0,0,161,19,0,183,1379,426,47,1857,4947,332,14,7144
UCL114021,78,155,0,229,1082,76,0,1395,11,151,0,158,949,92,0,1204,0,34,0,34,638,102,3,771,0,0,0,0,294,142,0,434,1517,519,66,2103,5242,706,8,8061
UCL114022,23,100,0,127,848,115,3,1099,5,93,0,103,1104,126,0,1329,0,10,0,18,809,72,0,900,0,0,0,0,328,40,0,369,624,294,40,960,4372,603,3,5938
UCL114023,19,84,0,101,601,72,0,767,9,84,0,84,442,44,0,575,0,26,0,26,334,27,0,389,0,3,0,3,143,18,0,163,804,311,33,1143,3136,425,9,4704
UCL114024,27,175,0,197,919,75,0,1194,10,126,0,137,831,54,0,1024,0,29,0,34,621,37,0,692,0,5,0,5,285,27,0,315,1473,565,75,2117,5233,531,7,7883
UCL114025,37,129,0,170,634,23,0,833,10,128,0,130,711,31,0,875,0,27,0,25,401,19,0,454,0,0,0,0,162,35,0,193,1439,371,63,1875,3330,288,7,5496
UCL114026,12,54,5,70,404,14,0,486,8,64,0,76,513,21,0,600,0,11,0,8,408,13,0,437,0,0,0,0,145,9,0,158,972,219,30,1217,3021,157,4,4398
UCL114027,25,59,0,87,743,33,0,863,9,87,0,97,841,41,0,971,0,16,0,19,746,63,0,828,0,0,0,0,257,32,0,290,620,232,11,864,3735,239,8,4843
UCL114028,21,88,0,110,476,14,3,599,3,57,0,65,406,31,0,499,3,7,0,13,295,29,0,331,0,0,0,0,134,23,0,162,781,274,30,1079,2790,230,15,4112
UCL114029,24,75,0,99,517,21,0,636,0,37,0,44,316,8,0,365,0,0,0,0,129,7,0,146,0,5,0,5,36,0,0,45,1125,218,11,1356,2603,151,0,4104
UCL114030,25,84,0,112,827,55,0,988,7,80,0,88,1118,73,0,1280,0,13,0,13,673,44,0,732,0,0,0,0,208,24,0,230,596,241,21,866,3883,340,9,5089
UCL114031,27,113,0,141,717,40,0,898,7,84,0,91,753,20,0,864,7,19,0,20,421,22,0,467,0,0,0,0,119,15,0,128,1027,323,27,1374,3678,242,0,5294
UCL114032,17,54,3,79,402,9,3,490,0,34,0,34,371,18,4,427,4,6,0,8,222,4,0,234,0,0,0,0,62,6,0,69,938,184,37,1161,2484,167,10,3821
UCL114033,15,108,0,133,667,57,5,858,9,91,0,97,583,28,0,709,0,22,0,21,449,36,0,510,0,0,0,0,181,12,0,195,959,363,40,1373,3544,364,5,5283
UCL114034,21,112,0,130,743,41,3,918,0,114,0,113,853,39,0,1009,0,30,0,27,587,46,0,664,0,0,0,3,275,23,0,305,1130,453,63,1642,4351,379,3,6376
UCL114035,20,94,4,119,619,57,3,798,6,106,5,115,811,45,3,970,4,22,0,23,459,43,3,532,0,0,0,0,180,30,0,213,764,327,41,1134,3594,353,18,5100
UCL114036,33,94,0,130,859,53,0,1045,3,100,0,109,1252,97,0,1457,4,16,0,19,852,68,0,940,0,0,0,0,283,27,0,308,721,271,29,1018,4562,421,8,6008
UCL114037,20,107,4,131,522,51,3,706,10,106,0,113,485,32,0,629,0,10,0,9,346,33,0,393,0,0,0,0,194,26,0,228,954,358,46,1360,3034,390,15,4800
UCL114038,19,110,6,133,705,61,0,896,6,121,0,123,720,53,0,903,0,16,0,16,557,42,0,622,0,0,0,0,288,28,0,313,1103,367,61,1536,4240,433,4,6212
UCL115001,3,25,0,24,223,18,0,265,0,26,0,25,170,7,0,204,0,3,0,3,94,9,0,106,0,0,0,0,29,6,0,35,301,98,10,408,1014,88,0,1514
UCL115002,37,97,0,134,527,35,0,689,0,81,0,81,402,30,0,516,0,7,0,7,213,22,0,246,0,0,0,0,49,0,0,56,703,286,37,1020,2268,155,0,3446
UCL115003,13,46,0,56,193,8,0,258,0,24,0,25,143,5,0,168,0,4,0,4,63,3,0,76,0,0,0,0,12,0,0,18,696,105,22,825,1179,69,5,2069
UCL115004,12,27,0,41,231,13,0,291,0,37,0,43,326,18,0,383,0,5,0,5,167,19,0,185,0,0,0,0,44,8,0,54,223,101,8,334,1279,87,33,1731
UCL115005,4,30,0,27,142,17,0,189,6,12,0,15,126,21,0,165,0,0,0,0,64,13,0,73,0,0,0,0,28,7,0,43,126,53,6,183,607,127,0,917
UCL115006,14,16,3,33,200,12,0,248,0,35,0,36,171,14,0,213,0,4,0,4,73,10,5,80,0,0,0,0,55,5,0,59,458,81,12,552,1038,128,5,1724
UCL115007,7,53,0,63,325,11,0,404,0,40,0,44,279,11,0,334,0,3,0,9,205,12,0,226,0,0,0,0,59,5,0,63,571,161,28,752,1761,104,0,2621
UCL115008,4,18,0,21,165,10,0,201,0,7,0,7,191,15,0,214,0,0,0,0,151,18,0,164,0,0,0,0,80,19,0,100,89,35,13,133,788,80,0,1001
UCL115009,10,40,0,50,175,17,0,237,0,31,0,33,228,22,0,280,0,5,0,5,126,6,0,138,0,0,0,0,33,6,0,40,253,120,7,382,962,101,0,1437
UCL115010,3,24,0,25,140,16,0,180,0,12,0,14,187,11,0,214,0,4,0,5,146,12,0,161,0,0,0,0,45,10,0,50,106,53,0,156,669,80,0,912
UCL115011,14,32,0,48,182,16,0,246,4,22,0,23,175,7,0,200,0,4,0,4,116,17,0,135,0,0,0,0,47,4,0,56,238,89,12,345,886,77,0,1309
UCL115012,3,21,0,19,117,8,0,146,0,11,0,15,130,5,0,155,0,0,0,0,77,11,0,85,0,0,0,0,36,0,0,35,115,49,5,168,615,75,0,850
UCL115013,18,89,0,107,416,36,0,560,5,58,0,60,388,34,0,483,0,18,0,18,326,39,0,387,0,0,0,0,114,71,0,182,619,274,35,925,2322,331,0,3580
UCL115014,24,41,0,70,337,24,0,428,3,43,0,42,321,28,0,398,0,15,0,15,200,32,0,242,0,0,0,0,66,34,0,99,538,150,42,731,1651,214,5,2600
UCL115015,12,20,0,35,269,21,0,330,7,22,0,25,359,27,0,415,0,9,0,8,162,17,0,188,0,0,0,0,63,9,0,72,192,73,11,277,1165,146,0,1592
UCL115016,11,21,0,28,122,11,0,161,0,13,0,15,103,7,0,129,0,0,0,0,53,5,0,60,0,0,0,0,29,4,0,33,159,42,7,210,605,84,0,900
UCL115017,17,44,0,63,252,15,0,325,6,61,0,65,336,33,0,431,0,11,0,15,317,29,0,360,0,0,0,0,158,65,0,221,338,133,19,490,1455,177,0,2123
UCL115018,0,7,0,9,133,11,0,150,3,13,0,16,190,20,0,222,0,6,0,4,141,16,0,165,0,0,0,0,79,0,0,79,80,36,4,121,740,75,0,934
UCL115019,52,42,5,98,690,28,4,820,3,41,0,54,699,27,0,778,4,12,0,15,397,17,6,429,0,0,0,0,97,4,0,100,659,153,20,831,2838,179,9,3848
UCL115020,17,41,0,56,316,24,0,388,0,29,0,30,262,16,0,308,0,10,0,5,186,12,0,208,0,0,0,0,77,3,0,87,477,146,21,641,1620,120,0,2385
UCL115021,5,20,0,25,111,16,0,153,0,14,0,16,131,13,0,158,0,0,0,0,91,9,0,102,0,0,0,0,41,0,0,43,150,69,6,229,644,70,8,952
UCL115022,14,63,0,82,360,14,0,456,0,33,0,33,403,11,0,449,0,16,0,15,257,14,0,285,0,0,0,0,62,3,0,61,370,164,8,541,1779,71,4,2398
UCL115023,11,23,0,26,131,38,0,198,0,21,0,21,182,23,0,228,0,4,0,4,116,11,0,131,0,0,0,0,50,5,0,52,146,63,6,217,806,162,0,1181
UCL115024,7,23,0,27,144,36,0,202,0,8,0,14,110,21,0,148,0,0,0,0,49,15,0,64,0,0,0,0,18,3,0,26,183,54,8,248,763,209,4,1221
UCL115025,8,13,0,22,141,0,0,168,0,10,0,10,81,3,0,101,0,0,0,0,38,0,0,45,0,0,0,0,9,0,0,9,298,46,4,350,757,40,0,1148
UCL115026,9,13,0,20,141,15,0,173,0,32,0,31,153,18,0,194,0,5,0,5,154,13,0,178,0,0,0,0,43,0,0,46,191,77,16,281,787,114,0,1174
UCL115027,5,53,0,63,177,10,0,246,0,32,0,32,214,9,0,256,0,4,0,8,87,7,0,101,0,0,0,0,29,0,0,33,594,149,12,752,1320,87,0,2165
UCL115028,13,54,0,65,325,10,0,401,4,71,0,70,301,22,0,390,0,7,0,7,238,11,0,259,0,0,0,0,117,10,0,130,326,167,20,514,1554,114,0,2187
UCL115029,4,24,0,28,239,23,0,292,3,23,0,28,225,23,0,283,0,5,0,5,125,9,0,133,0,0,0,0,36,0,0,41,242,77,14,332,1120,122,7,1573
UCL115030,5,22,0,30,159,13,0,198,0,23,0,20,182,6,0,216,0,5,0,5,113,3,0,118,0,0,0,0,50,3,0,57,108,66,4,175,752,63,0,996
UCL115031,22,30,0,49,367,12,0,429,0,42,0,44,554,12,0,614,0,9,0,9,323,23,0,355,0,0,0,0,101,22,0,126,300,110,13,425,1827,99,0,2353
UCL115032,27,26,0,50,325,17,0,393,4,39,0,41,260,8,0,310,0,11,0,11,135,5,0,152,0,0,0,0,39,6,0,39,360,101,4,463,1206,60,0,1737
UCL115033,14,46,0,67,368,15,0,446,0,66,0,72,192,23,0,281,0,12,0,14,106,5,0,129,0,0,0,0,27,0,0,27,837,191,33,1058,1781,110,3,2950
UCL115034,20,14,0,32,165,6,0,201,0,3,0,13,91,0,0,101,0,0,0,0,44,4,0,42,0,0,0,0,7,0,0,7,354,41,10,406,868,65,0,1332
UCL115035,19,56,0,76,289,6,0,377,0,60,0,62,261,7,0,330,0,12,0,15,169,11,0,198,0,0,0,0,44,0,0,44,709,235,32,976,1924,130,6,3031
UCL115036,17,44,0,61,449,14,0,524,0,60,0,60,453,17,0,527,4,0,0,5,288,13,0,306,0,0,0,0,73,6,0,86,379,160,19,560,1998,93,6,2649
UCL115037,6,32,0,36,138,7,0,176,3,22,0,25,119,0,0,150,0,7,0,7,44,6,0,50,0,0,0,0,16,3,0,20,205,84,13,298,631,30,0,959
UCL115038,3,36,0,44,157,20,0,222,0,27,0,28,173,17,0,219,0,4,0,4,128,10,0,143,0,0,0,0,44,6,0,53,162,108,12,284,792,128,0,1201
UCL115039,10,50,0,57,358,73,0,489,5,30,0,34,245,56,0,331,0,0,0,0,148,36,0,189,0,0,0,0,57,7,0,68,486,157,10,656,1720,489,0,2862
UCL115040,10,33,0,39,143,4,0,182,0,21,0,24,139,5,0,167,0,10,0,10,58,0,0,68,0,0,0,0,11,0,0,11,264,89,14,364,801,34,0,1206
UCL115041,14,49,4,62,246,40,0,349,0,34,0,35,203,20,0,261,0,7,0,7,170,22,0,196,0,0,0,0,89,17,0,109,328,146,7,488,1295,279,5,2068
UCL115042,10,34,0,50,153,14,0,220,0,37,0,37,169,15,0,222,0,3,0,3,136,13,0,152,0,0,0,0,71,16,0,88,254,118,10,388,910,94,0,1388
UCL115043,6,26,4,39,243,58,0,336,0,27,0,28,309,69,0,410,0,12,0,12,180,73,0,259,0,0,0,0,106,48,0,158,255,106,15,380,1325,410,0,2115
UCL115044,7,40,0,45,226,35,0,308,0,25,0,27,207,31,0,261,0,0,0,0,135,17,0,150,0,0,0,0,59,0,0,64,281,122,9,415,1187,278,3,1885
UCL115045,4,16,0,18,123,19,0,164,0,12,0,12,135,16,0,166,0,0,0,0,82,17,0,102,0,0,0,0,36,6,0,43,119,60,0,181,656,148,0,987
UCL115046,6,33,0,44,174,6,0,221,0,25,0,25,168,16,0,209,0,6,0,6,63,9,0,77,0,0,0,0,14,0,0,14,247,95,27,365,931,80,14,1396
UCL115047,6,35,3,48,241,16,0,304,7,24,0,34,265,18,0,313,0,6,0,0,207,18,0,230,0,0,0,0,108,18,0,126,246,105,13,364,1289,110,0,1766
UCL115048,13,79,0,88,525,13,0,629,0,54,0,62,461,13,0,536,0,6,0,6,389,25,0,422,0,0,0,0,146,6,0,155,426,206,25,654,2364,119,0,3142
UCL115049,8,21,0,30,106,11,0,146,0,18,0,18,141,14,0,167,0,6,0,6,92,5,0,106,0,0,0,0,26,0,0,27,150,76,10,244,599,64,0,901
UCL115050,5,20,0,27,171,9,0,206,0,33,0,33,127,7,0,166,0,6,0,3,53,5,0,71,0,0,0,0,10,3,0,13,435,109,10,550,895,71,0,1525
UCL115051,13,33,0,44,301,26,4,374,4,41,0,48,350,28,0,425,0,4,0,4,205,28,0,231,0,4,0,4,162,37,0,207,256,96,9,371,1357,187,4,1918
UCL115052,5,26,0,30,162,13,0,203,0,11,0,12,150,12,0,184,0,7,0,7,93,12,0,111,0,0,0,0,47,8,0,55,239,72,10,324,890,84,0,1298
UCL115053,8,17,0,23,149,8,0,178,0,15,0,15,163,4,0,184,0,0,0,0,121,10,0,135,0,0,0,0,49,0,0,51,118,47,6,170,656,51,0,882
UCL115054,10,24,0,29,123,3,0,156,0,20,0,17,111,5,0,135,0,0,0,0,24,0,0,28,0,0,0,0,13,0,0,13,198,57,4,262,576,28,0,862
