UCL_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
UCL112002,6823,4772,4866,4207,4151,3898,3245,1977,911,34856,0,11,7,0,5,10,13,6,12,69,127,380,225,147,155,118,110,75,20,1374,0,12,4,0,3,0,4,0,0,24,4,0,8,0,0,4,4,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,133,401,245,159,171,133,122,75,26,1461,136,415,251,159,181,142,134,83,38,1530,4,6,6,8,7,6,3,3,0,45,6958,5192,5119,4378,4340,4048,3380,2065,946,36428
UCL112003,4591,2790,2602,3429,4149,4412,4357,2063,652,29045,4,4,4,0,4,4,4,3,4,29,119,110,108,108,125,153,136,60,32,952,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,4,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,119,115,109,116,125,164,148,61,38,1003,121,114,116,118,130,168,149,68,40,1026,9,0,4,8,11,6,10,7,0,50,4717,2907,2725,3551,4288,4589,4510,2136,692,30123
UCL112004,3666,1986,1859,2274,2799,2926,3497,2794,1055,22863,0,0,0,3,6,4,9,4,0,26,112,140,113,81,87,101,121,72,31,863,0,0,0,0,0,3,9,0,0,14,0,6,0,4,10,3,0,3,0,28,0,0,4,0,0,0,3,0,0,10,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,115,156,120,86,98,113,135,75,35,929,116,156,123,92,99,116,146,77,36,953,13,10,5,3,4,9,9,3,0,46,3797,2146,1982,2369,2904,3047,3647,2873,1085,23858
UCL112005,4110,2656,3169,2801,2704,2627,2346,1344,637,22388,5,7,6,4,0,7,7,4,0,44,140,115,135,94,62,69,45,20,7,690,0,0,0,0,0,0,3,0,0,9,0,0,0,4,5,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,116,135,96,65,75,56,23,7,716,148,124,141,96,72,81,60,24,13,760,0,0,0,5,0,0,3,0,0,10,4261,2780,3307,2905,2773,2706,2413,1365,644,23163
UCL112006,8184,4254,6269,4528,3941,3935,3122,2120,860,37218,10,12,3,7,10,8,11,15,3,80,189,335,295,222,210,201,164,76,25,1726,0,3,8,7,8,10,3,6,0,35,7,5,16,9,15,18,6,0,0,66,0,0,3,7,0,3,7,0,0,21,0,4,0,0,6,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,5,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,193,342,322,244,238,238,187,84,26,1881,202,356,323,252,243,246,196,101,36,1958,3,0,15,7,6,4,8,0,0,55,8388,4615,6606,4795,4192,4184,3326,2222,897,39223
UCL112007,1109,533,584,658,728,797,979,643,202,6230,4,0,0,3,0,0,5,5,0,19,4,0,14,12,6,10,12,9,3,72,8,20,19,15,15,17,28,6,3,123,0,0,0,0,5,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,30,23,22,26,58,12,4,212,18,26,30,25,22,26,61,15,8,233,0,0,0,0,0,0,0,0,0,0,1124,561,617,683,749,825,1041,661,205,6463
UCL112008,2370,1477,1364,1610,1969,2833,3847,2780,1295,19545,4,5,4,0,3,10,19,14,7,60,87,136,97,74,111,189,205,71,38,1004,0,0,3,0,0,5,26,15,4,54,3,8,4,10,0,8,5,7,0,33,0,0,0,0,0,0,4,4,0,9,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,91,142,108,78,112,206,236,96,38,1115,96,144,114,81,117,214,257,105,47,1178,0,0,3,4,3,6,5,0,0,23,2465,1626,1481,1694,2084,3049,4108,2889,1344,20747
UCL112009,4307,2545,3237,2728,2740,2814,2484,1587,677,23126,3,3,9,7,3,0,0,10,4,45,72,305,248,123,102,104,87,33,39,1112,0,3,3,0,4,3,4,0,0,19,0,0,8,0,3,9,0,0,0,25,0,5,3,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,17,6,4,5,0,0,0,43,0,0,0,0,0,0,0,0,0,0,77,323,274,127,122,124,95,39,39,1223,77,331,282,131,125,129,97,47,40,1265,0,7,9,3,0,4,4,0,0,30,4391,2883,3531,2863,2871,2948,2588,1635,717,24418
UCL112010,3935,2324,3223,2642,2455,2246,1654,1082,570,20132,5,3,7,3,5,11,5,0,0,44,71,118,135,91,109,102,31,28,23,702,3,11,16,12,10,7,10,0,0,69,0,3,0,0,0,9,3,0,0,17,0,0,0,3,5,0,6,0,0,12,0,0,0,0,0,3,0,0,0,4,0,0,0,0,6,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,78,131,165,109,129,126,52,29,21,847,85,134,171,111,138,138,54,32,25,887,0,12,51,37,14,10,5,0,0,123,4025,2469,3439,2790,2602,2390,1711,1113,598,21137
UCL112011,4143,2377,3099,2282,2262,2161,1835,843,307,19309,3,3,0,3,4,7,8,0,0,27,98,79,88,55,54,47,40,30,22,512,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,86,90,55,58,54,40,29,22,536,105,90,93,59,62,59,49,30,22,570,0,0,0,0,3,7,3,0,0,15,4250,2465,3193,2345,2331,2220,1885,871,323,19893
UCL112012,4674,3210,3325,3192,3326,3586,3040,1756,820,26928,8,16,7,10,7,9,6,7,0,66,103,164,164,109,119,159,128,101,83,1137,0,4,3,3,7,5,11,3,0,28,8,6,18,12,21,14,23,5,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,115,181,188,132,139,176,155,111,90,1283,123,192,198,139,142,187,166,114,88,1349,7,9,15,7,3,10,0,0,4,53,4797,3414,3539,3341,3479,3779,3202,1880,913,28336
UCL112013,508,270,289,281,297,292,218,103,29,2289,0,0,7,0,0,0,0,0,0,10,0,6,4,11,8,3,0,0,0,35,12,7,9,5,3,3,0,3,0,36,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,8,16,12,9,10,9,0,84,8,8,14,12,12,9,10,9,0,89,0,9,24,10,0,0,0,0,0,51,520,291,327,307,309,307,224,108,29,2426
UCL112014,3797,2290,2467,2248,2346,2623,2577,2004,905,21265,0,3,6,0,0,0,0,7,5,23,84,86,78,60,44,81,42,35,10,521,0,0,0,0,0,0,0,0,0,6,0,0,6,0,4,0,4,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,90,88,62,54,83,46,33,9,550,84,95,86,60,53,85,53,41,13,573,0,3,3,0,0,3,0,0,0,11,3880,2382,2560,2313,2394,2714,2625,2051,924,21849
