UCL_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115062,..,3,0,0,0,0,0,0,0,5,..,0,5,5,0,7,0,3,0,17,..,0,0,0,0,19,10,10,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,138,80,84,86,78,96,57,28,4,650,..,3,68,116,103,118,85,32,4,534,..,12,35,20,15,3,8,5,0,109,..,0,9,6,19,8,8,0,0,45,267,..,..,..,..,..,..,..,..,267,..,53,..,..,..,..,..,..,..,53,..,67,35,12,4,0,0,0,0,117,..,6,0,4,12,0,3,3,3,31,..,4,3,0,4,0,0,0,0,9,..,3,5,5,5,7,3,3,0,27,..,0,7,3,7,29,12,15,0,74,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,267,159,162,172,163,171,126,63,10,1287
UCL115063,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,8,..,0,0,4,0,14,20,11,3,53,3,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,110,61,65,82,95,86,62,31,7,590,..,0,64,111,114,99,68,43,7,507,..,0,19,14,21,8,0,0,0,69,..,0,0,8,16,15,5,0,0,40,250,..,..,..,..,..,..,..,..,250,..,70,..,..,..,..,..,..,..,70,..,43,30,6,9,0,0,0,0,87,..,4,0,0,0,7,5,3,0,11,..,0,0,0,0,0,0,0,0,6,..,0,5,0,0,0,0,0,0,14,..,0,0,4,3,14,30,14,7,81,0,0,6,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,253,122,120,153,174,143,113,59,13,1157
UCL115064,..,0,5,3,0,0,0,0,0,18,..,6,7,0,3,10,7,4,3,45,..,3,0,12,11,41,62,65,43,243,4,6,3,0,10,10,5,0,0,41,0,0,0,0,0,0,0,0,0,0,380,217,203,255,283,325,284,173,61,2173,..,0,124,302,363,405,377,201,22,1802,..,11,132,90,47,50,23,10,0,368,..,4,10,30,42,26,10,8,8,138,784,..,..,..,..,..,..,..,..,784,..,216,..,..,..,..,..,..,..,216,..,143,64,11,14,12,0,0,0,242,..,6,8,0,7,8,9,8,3,59,..,10,10,3,6,4,0,0,0,30,..,17,21,3,6,9,10,5,0,80,..,7,13,19,29,66,99,86,53,373,7,19,16,12,11,17,7,0,0,89,0,0,0,0,0,4,0,0,0,4,792,438,385,480,529,595,541,319,91,4179
UCL115065,..,0,0,0,0,0,0,0,0,8,..,7,0,0,5,0,7,5,0,23,..,5,5,15,14,35,41,47,35,195,0,5,3,3,3,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,178,118,120,115,116,161,145,106,44,1106,..,0,41,64,88,152,150,97,12,612,..,35,57,43,35,23,11,4,0,200,..,10,42,42,40,23,11,4,0,174,371,..,..,..,..,..,..,..,..,371,..,59,..,..,..,..,..,..,..,59,..,63,42,14,7,4,0,0,0,130,..,14,3,7,3,10,17,10,4,68,..,5,6,0,4,0,3,0,0,18,..,6,5,3,4,8,7,8,0,48,..,6,20,18,42,64,63,81,38,336,9,12,5,3,6,7,4,0,3,50,0,0,0,0,0,0,0,0,0,3,377,221,221,190,236,292,267,202,67,2070
UCL115066,..,3,4,0,0,0,0,0,0,10,..,0,3,0,0,9,0,0,0,8,..,0,3,0,5,12,10,6,0,45,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,280,150,195,153,149,166,82,25,7,1215,..,20,166,191,173,223,132,37,10,957,..,45,133,63,38,25,9,0,0,310,..,4,10,24,37,16,5,0,0,102,562,..,..,..,..,..,..,..,..,562,..,104,..,..,..,..,..,..,..,104,..,134,47,13,14,0,0,0,0,207,..,3,3,3,9,9,10,7,3,45,..,8,4,4,0,0,0,0,0,18,..,5,3,3,0,9,0,0,0,20,..,5,12,12,18,37,15,11,3,109,0,6,5,4,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,562,326,390,312,288,323,178,59,10,2460
UCL115067,..,0,4,0,0,0,3,0,0,13,..,0,4,0,6,0,6,3,0,29,..,4,8,6,18,48,58,67,51,258,9,8,8,3,5,5,0,0,0,40,0,0,0,0,0,0,0,0,0,0,168,91,99,116,137,190,204,143,81,1224,..,0,47,90,97,181,221,133,32,805,..,22,52,35,41,36,28,6,0,221,..,3,21,36,27,11,9,8,6,135,337,..,..,..,..,..,..,..,..,337,..,59,..,..,..,..,..,..,..,59,..,64,29,20,11,8,3,0,0,133,..,14,4,3,5,13,12,4,12,61,..,12,5,0,5,0,8,0,0,21,..,6,9,3,5,8,17,9,0,66,..,6,12,24,29,85,93,94,56,412,15,13,12,3,0,12,3,4,0,67,0,0,0,0,0,0,0,0,0,0,354,193,188,229,232,355,392,258,114,2314
UCL115068,..,3,0,0,0,0,0,0,0,3,..,0,4,5,0,3,7,0,0,11,..,0,7,4,7,17,19,24,10,82,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,83,36,39,53,61,101,120,71,13,586,..,0,15,55,70,117,159,93,8,510,..,3,31,9,21,23,19,0,0,114,..,0,4,11,10,5,6,0,6,40,138,..,..,..,..,..,..,..,..,138,..,33,..,..,..,..,..,..,..,33,..,31,10,11,11,4,4,0,0,66,..,0,0,0,3,3,4,0,4,19,..,3,0,0,0,3,0,4,0,14,..,0,4,7,3,9,10,8,0,31,..,0,13,7,18,32,48,45,11,184,4,6,5,0,3,0,0,6,0,25,0,0,0,0,0,0,0,0,0,0,146,85,88,101,133,188,259,150,30,1177
UCL115069,..,0,0,0,0,0,0,0,0,5,..,3,0,0,3,3,7,0,0,16,..,0,9,0,16,33,52,43,23,181,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,118,68,80,70,106,132,174,111,43,906,..,0,59,75,80,136,181,112,30,670,..,13,36,36,29,27,24,14,0,178,..,0,8,16,26,13,3,8,7,90,247,..,..,..,..,..,..,..,..,247,..,63,..,..,..,..,..,..,..,63,..,41,25,7,12,9,5,0,0,96,..,13,5,0,5,13,15,7,0,50,..,3,0,0,0,0,0,0,0,10,..,10,7,4,9,5,16,3,0,52,..,4,20,17,34,67,96,80,44,353,0,9,0,3,5,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,248,151,155,155,199,272,340,228,87,1833
UCL115070,..,13,4,0,0,0,0,0,0,19,..,8,9,0,4,4,3,3,0,25,..,4,9,6,7,24,29,16,0,112,11,4,5,6,3,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,354,206,267,220,194,136,119,48,4,1552,..,18,187,244,239,164,137,58,5,1047,..,44,172,95,51,29,15,0,0,406,..,6,34,37,30,9,11,3,4,133,718,..,..,..,..,..,..,..,..,718,..,121,..,..,..,..,..,..,..,121,..,154,38,16,12,8,0,0,0,217,..,10,10,9,4,9,12,7,4,60,..,16,13,8,0,0,0,0,0,40,..,10,16,6,13,7,4,4,0,64,..,9,34,29,28,57,48,28,7,239,11,8,10,8,3,0,3,0,0,54,0,0,0,0,0,0,0,0,0,5,729,396,500,447,388,289,233,101,15,3100
UCL115071,..,4,0,0,5,0,0,0,0,6,..,0,0,0,0,5,0,0,0,11,..,5,6,7,18,27,30,39,22,149,0,6,4,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,213,92,110,115,104,136,117,71,32,987,..,0,52,96,94,127,151,52,13,586,..,34,70,39,33,29,18,0,0,222,..,0,23,32,14,16,10,7,0,115,393,..,..,..,..,..,..,..,..,393,..,61,..,..,..,..,..,..,..,61,..,62,24,12,11,0,0,0,0,112,..,9,0,4,3,4,0,7,7,37,..,7,3,3,3,0,0,0,0,16,..,7,0,3,0,9,0,6,0,21,..,3,25,17,32,49,56,53,25,264,3,5,12,14,0,5,9,0,0,45,0,0,0,0,0,0,0,0,0,3,398,189,220,218,199,244,242,126,42,1873
UCL115072,..,0,0,0,0,0,3,0,0,4,..,0,3,0,0,4,3,0,0,12,..,0,0,0,0,4,12,6,0,29,0,7,7,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,155,72,66,107,105,161,181,53,8,909,..,7,47,122,140,200,292,93,4,901,..,6,29,26,43,46,25,10,0,178,..,4,0,16,12,5,5,6,0,46,315,..,..,..,..,..,..,..,..,315,..,68,..,..,..,..,..,..,..,68,..,58,23,10,9,7,0,0,0,109,..,5,3,0,0,3,4,3,4,26,..,9,0,3,3,0,0,0,0,14,..,0,3,0,4,5,8,6,0,25,..,0,0,4,6,18,24,12,0,66,0,10,11,3,4,4,5,0,0,33,0,0,0,0,0,0,0,0,0,0,321,161,123,184,212,292,360,131,12,1797
UCL115073,..,4,3,4,0,0,0,0,0,7,..,4,3,0,3,5,0,3,0,24,..,3,5,6,15,33,32,38,15,151,5,8,0,0,0,6,5,0,0,22,0,0,0,0,0,0,0,0,0,0,138,90,96,93,83,144,114,82,27,873,..,3,61,96,89,133,132,68,11,586,..,19,60,44,22,26,15,0,0,184,..,4,11,12,18,9,10,3,3,71,288,..,..,..,..,..,..,..,..,288,..,58,..,..,..,..,..,..,..,58,..,49,21,12,12,3,0,0,0,93,..,10,0,0,6,4,13,8,5,44,..,7,11,8,0,0,0,0,0,24,..,15,9,7,9,13,6,6,0,55,..,4,16,14,32,61,64,49,23,267,0,14,4,3,3,3,4,0,0,33,0,0,0,0,0,0,0,0,0,0,296,186,193,184,174,250,243,138,41,1710
UCL115074,..,5,0,0,0,0,0,0,0,7,..,6,12,0,0,3,5,3,0,35,..,7,4,0,12,26,33,41,13,138,0,4,0,5,5,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,155,91,87,79,102,122,107,78,27,843,..,0,38,79,94,134,104,60,19,528,..,12,45,26,29,29,11,3,0,160,..,8,23,17,13,9,4,10,3,77,317,..,..,..,..,..,..,..,..,317,..,54,..,..,..,..,..,..,..,54,..,44,21,7,9,8,0,0,0,85,..,15,4,0,6,16,7,0,0,48,..,8,9,9,4,0,0,0,0,26,..,16,36,15,5,10,11,3,0,98,..,20,14,21,31,54,60,56,19,274,0,7,3,4,0,3,6,0,0,32,0,0,0,0,0,0,0,0,0,0,317,190,192,172,189,260,211,138,44,1702
UCL115075,..,0,0,0,0,0,0,0,0,5,..,0,0,0,3,0,3,0,0,14,..,0,0,0,3,17,40,36,11,104,5,3,0,0,3,4,4,0,0,16,0,0,0,0,0,0,0,0,0,0,63,30,23,40,52,93,150,105,20,562,..,0,0,34,60,99,174,147,18,542,..,4,13,12,9,16,14,7,3,74,..,0,6,8,7,3,0,5,0,31,103,..,..,..,..,..,..,..,..,103,..,35,..,..,..,..,..,..,..,35,..,28,14,0,8,5,0,0,0,47,..,7,0,3,0,0,5,0,6,12,..,0,6,0,0,0,0,0,0,6,..,0,3,0,6,6,4,3,0,18,..,0,7,0,12,27,58,49,16,158,3,3,6,0,5,4,7,0,0,33,0,0,0,0,0,0,0,0,0,0,108,67,50,57,101,159,265,213,39,1054
UCL115076,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,4,3,0,0,20,..,9,5,0,10,32,44,34,17,147,9,3,0,0,6,4,0,4,4,25,0,0,0,0,0,0,0,0,0,0,148,87,84,79,91,121,155,84,30,864,..,0,55,93,66,113,153,94,19,599,..,21,47,14,28,11,16,12,0,151,..,0,16,12,21,20,9,6,4,88,273,..,..,..,..,..,..,..,..,273,..,44,..,..,..,..,..,..,..,44,..,58,16,7,17,6,0,0,0,101,..,8,0,3,5,10,10,3,0,32,..,0,0,0,0,4,0,0,0,4,..,9,0,0,4,8,14,6,0,37,..,9,20,15,24,67,78,59,24,284,11,7,3,3,9,4,0,4,4,43,0,0,0,0,0,0,0,0,0,0,283,150,161,154,169,235,287,182,47,1659
UCL115077,..,0,0,0,0,0,0,5,0,5,..,0,0,0,3,8,9,4,0,24,..,0,5,0,12,43,56,70,28,210,0,9,0,5,10,7,3,4,0,39,0,0,0,0,0,0,0,0,0,0,126,75,88,82,132,322,430,221,57,1532,..,0,43,72,105,335,659,263,46,1532,..,11,39,31,37,55,64,20,0,262,..,5,14,20,31,11,17,22,12,128,256,..,..,..,..,..,..,..,..,256,..,46,..,..,..,..,..,..,..,46,..,53,32,20,19,24,5,0,0,145,..,7,6,0,4,11,16,7,3,55,..,9,0,3,0,0,4,6,0,28,..,0,5,3,3,9,20,4,3,45,..,4,8,24,30,104,135,118,39,452,3,11,8,3,16,11,3,5,3,70,0,0,0,0,0,0,0,0,0,0,263,148,160,184,245,566,911,439,118,3035
UCL115078,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,6,0,0,0,10,..,0,0,6,7,25,27,18,18,98,3,0,5,4,4,4,3,0,0,24,0,0,0,0,0,5,0,0,0,5,52,37,48,40,60,137,121,70,22,588,..,0,22,42,44,149,160,107,16,547,..,7,24,10,21,15,17,11,4,106,..,4,4,12,14,10,0,3,5,53,106,..,..,..,..,..,..,..,..,106,..,27,..,..,..,..,..,..,..,27,..,27,15,0,3,4,0,0,0,57,..,0,5,0,8,4,7,6,3,29,..,0,0,0,0,0,0,0,0,6,..,7,5,0,0,3,0,0,0,29,..,8,0,5,17,57,62,32,20,210,11,4,5,4,3,9,4,3,0,39,0,0,0,0,0,5,0,0,0,0,116,85,87,73,120,264,260,169,50,1219
UCL115079,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,7,4,0,0,12,..,7,17,10,8,47,37,39,17,179,0,0,3,0,0,3,0,6,0,19,0,0,0,0,0,0,0,0,0,0,149,99,100,87,101,178,116,104,27,966,..,6,55,67,90,173,120,112,18,648,..,51,61,22,19,36,8,0,0,208,..,3,15,32,17,13,16,11,6,107,297,..,..,..,..,..,..,..,..,297,..,49,..,..,..,..,..,..,..,49,..,55,30,12,15,3,0,0,0,117,..,15,8,0,3,7,0,0,0,40,..,4,4,0,0,4,0,0,0,15,..,0,8,4,7,10,3,4,0,41,..,19,34,19,32,91,65,46,25,333,0,5,5,5,3,8,4,5,0,32,0,0,0,0,0,0,0,0,0,0,297,206,215,166,199,338,226,177,52,1877
UCL115080,..,0,0,0,0,0,0,0,0,6,..,0,4,0,8,0,3,4,0,23,..,0,9,0,12,11,24,13,7,72,9,5,3,0,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,276,115,182,152,158,110,82,48,5,1123,..,5,143,179,153,129,91,47,7,747,..,31,96,52,39,28,11,0,0,264,..,0,17,29,38,16,7,6,0,118,517,..,..,..,..,..,..,..,..,517,..,91,..,..,..,..,..,..,..,91,..,87,33,14,11,0,0,0,0,144,..,9,7,3,0,11,7,9,0,51,..,4,9,0,7,0,5,0,0,24,..,0,10,9,14,6,4,3,0,42,..,4,18,17,25,31,39,25,5,161,12,9,4,4,5,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,528,241,337,303,292,234,164,90,8,2198
UCL115081,..,0,4,0,0,0,0,0,0,6,..,0,11,5,0,0,0,0,0,18,..,5,0,3,9,6,14,8,9,60,0,9,5,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,88,46,78,72,52,63,34,29,10,472,..,0,46,54,42,59,35,32,10,276,..,16,52,23,11,13,8,0,0,127,..,4,12,18,3,5,3,5,0,51,163,..,..,..,..,..,..,..,..,163,..,18,..,..,..,..,..,..,..,18,..,19,5,3,4,4,0,0,0,43,..,4,4,0,0,9,3,0,0,21,..,5,7,0,4,0,0,0,0,16,..,4,32,7,10,6,0,0,0,62,..,7,19,8,18,22,22,12,12,122,7,6,6,4,5,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,170,82,178,128,102,125,77,45,21,935
UCL115082,..,0,0,0,0,0,0,0,0,4,..,5,0,0,0,4,0,0,0,15,..,3,8,7,8,10,25,27,19,111,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,70,57,52,58,62,83,89,55,21,545,..,4,26,42,50,95,104,52,4,385,..,4,24,20,13,14,13,6,0,96,..,0,11,10,18,5,5,3,0,55,156,..,..,..,..,..,..,..,..,156,..,38,..,..,..,..,..,..,..,38,..,35,14,4,4,0,0,0,0,57,..,0,0,0,0,5,0,0,0,12,..,0,0,0,0,0,0,0,0,8,..,12,0,0,6,9,3,0,0,30,..,3,16,11,20,34,58,46,17,214,0,0,0,0,3,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,157,95,91,94,114,165,201,114,28,1056
UCL115083,..,0,0,0,0,0,0,0,0,0,..,0,7,0,4,0,7,3,0,27,..,4,10,3,6,23,45,35,17,146,3,0,0,0,0,3,4,0,0,25,0,0,0,0,0,0,0,0,0,0,196,101,114,138,129,171,205,113,34,1204,..,3,82,144,136,203,272,131,29,999,..,40,71,58,58,42,21,4,0,292,..,4,13,22,21,12,10,9,11,102,412,..,..,..,..,..,..,..,..,412,..,76,..,..,..,..,..,..,..,76,..,62,21,11,11,11,4,0,0,120,..,6,0,0,0,8,8,6,6,35,..,7,3,3,5,0,0,0,0,15,..,12,33,3,11,3,10,3,3,79,..,3,15,25,25,51,83,60,25,291,11,10,9,12,0,3,6,0,0,45,0,0,0,0,0,0,0,0,0,0,425,219,241,273,267,336,417,210,72,2465
UCL115084,..,4,0,0,0,0,0,0,0,5,..,0,0,0,3,8,14,0,0,39,..,0,4,4,9,34,38,39,23,145,0,4,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,78,38,32,45,90,168,196,111,37,797,..,0,7,34,54,145,229,135,19,620,..,10,24,19,32,64,38,15,0,201,..,0,7,16,24,11,5,5,5,80,162,..,..,..,..,..,..,..,..,162,..,29,..,..,..,..,..,..,..,29,..,23,14,12,15,10,0,0,0,71,..,5,3,6,6,8,14,4,9,42,..,3,0,0,0,3,3,0,0,14,..,0,4,0,10,17,33,8,0,74,..,0,6,3,26,67,90,85,26,304,3,4,5,4,6,10,7,5,4,37,0,0,0,0,0,0,0,0,0,0,164,83,75,95,171,334,412,247,62,1634
UCL115085,..,0,0,0,0,0,0,0,0,0,..,0,0,0,5,0,0,0,0,5,..,0,0,0,0,18,20,6,3,49,3,7,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,108,70,49,69,75,95,91,46,16,609,..,0,42,75,109,123,119,67,13,556,..,8,24,28,14,8,9,3,0,92,..,0,0,4,12,3,3,3,0,25,203,..,..,..,..,..,..,..,..,203,..,50,..,..,..,..,..,..,..,50,..,59,22,4,3,0,0,0,0,82,..,0,4,0,0,5,4,3,3,28,..,0,0,0,0,0,0,0,0,6,..,0,3,0,5,5,0,0,0,11,..,0,0,5,3,21,23,16,9,75,5,11,3,4,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,208,132,95,119,145,173,165,91,26,1161
UCL115086,..,14,16,4,0,0,0,0,0,30,..,76,72,6,0,4,0,0,0,164,..,11,23,9,9,19,16,21,4,109,9,108,60,11,13,10,4,0,0,219,0,3,3,0,0,0,0,0,0,6,126,278,289,132,114,108,48,33,6,1136,..,0,34,111,119,84,55,25,3,430,..,30,149,49,25,31,7,0,0,292,..,3,4,20,25,11,3,3,0,74,256,..,..,..,..,..,..,..,..,256,..,66,..,..,..,..,..,..,..,66,..,32,16,4,3,0,0,0,0,58,..,6,8,0,0,3,0,0,0,20,..,22,45,10,3,0,0,0,0,77,..,158,197,17,5,14,3,0,0,400,..,18,52,23,29,48,39,25,5,240,18,183,114,26,27,24,11,0,0,406,0,3,7,0,0,0,0,0,0,12,275,513,623,267,236,214,126,62,14,2324
UCL115087,..,0,4,0,0,0,0,0,0,4,..,5,6,0,0,0,0,0,0,10,..,0,3,4,7,12,9,6,3,52,4,0,4,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,166,75,84,93,71,67,59,22,6,647,..,4,61,102,91,88,82,22,0,448,..,14,46,32,6,8,4,0,0,112,..,0,7,15,18,7,0,3,0,53,319,..,..,..,..,..,..,..,..,319,..,68,..,..,..,..,..,..,..,68,..,51,18,3,8,0,0,0,0,79,..,0,0,0,0,3,6,0,0,13,..,0,6,0,3,0,0,0,0,8,..,9,9,0,0,0,0,0,0,19,..,0,8,7,15,24,22,8,7,90,7,5,4,9,3,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,327,153,152,166,140,133,116,40,6,1244
UCL115088,..,0,0,0,0,0,0,0,0,5,..,8,3,0,4,0,7,0,0,21,..,0,0,0,11,15,16,17,10,73,0,4,0,0,0,5,0,3,0,14,0,0,0,0,0,0,0,0,0,0,136,84,79,62,86,100,122,68,26,760,..,3,56,76,84,127,177,84,21,635,..,11,48,12,20,7,15,7,0,134,..,0,20,12,16,10,0,6,3,61,274,..,..,..,..,..,..,..,..,274,..,48,..,..,..,..,..,..,..,48,..,38,12,3,4,3,0,0,0,70,..,6,4,3,3,10,4,0,4,29,..,0,0,0,0,0,0,0,0,12,..,8,14,3,4,6,10,5,0,43,..,0,4,6,19,22,22,24,13,121,0,5,0,4,9,4,0,5,0,33,0,0,0,0,0,0,0,0,0,0,274,132,157,121,158,196,239,128,47,1455
UCL115089,..,10,3,4,0,0,0,0,0,19,..,0,7,6,8,13,4,0,0,37,..,7,14,21,30,52,55,50,27,245,11,8,8,5,5,3,3,4,0,39,0,0,0,0,0,0,0,0,0,0,349,186,227,204,217,267,226,123,40,1838,..,20,157,178,214,270,255,139,23,1251,..,55,111,48,50,47,21,4,0,346,..,9,44,60,45,23,17,8,4,216,706,..,..,..,..,..,..,..,..,706,..,122,..,..,..,..,..,..,..,122,..,125,48,27,15,13,0,0,0,225,..,19,10,13,10,14,18,3,0,94,..,21,23,11,6,0,3,0,0,63,..,10,44,28,19,24,9,0,0,135,..,12,33,37,64,102,97,88,31,472,11,12,16,14,0,11,3,4,3,77,0,0,3,5,0,0,0,0,0,10,719,405,482,418,436,498,433,246,70,3704
