UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL221005,119,52,83,65,89,83,104,60,29,676
UCL221006,129,49,74,88,73,78,97,35,6,615
UCL221007,98,40,66,65,53,103,56,30,4,513
UCL221008,127,54,48,72,76,113,133,99,89,814
UCL221009,125,79,78,81,55,84,78,21,4,611
UCL221010,109,53,71,71,72,99,59,24,3,554
UCL221011,127,82,44,81,107,92,54,23,3,601
UCL221012,106,58,41,60,85,89,46,11,3,503
UCL221013,122,64,67,92,92,108,44,26,7,620
UCL221014,126,80,79,109,117,180,167,82,25,962
UCL221015,73,41,36,42,71,94,97,32,4,493
UCL221016,302,117,98,165,114,69,56,14,4,940
UCL221017,175,81,91,89,109,138,147,59,11,907
UCL221018,108,82,80,68,128,181,198,108,62,1015
UCL221019,126,65,89,93,129,167,140,73,35,900
UCL221020,100,63,56,70,96,153,157,88,73,861
UCL221021,137,70,107,109,75,103,72,25,9,706
UCL221022,85,36,54,50,76,68,98,43,11,522
UCL221023,87,42,36,40,81,129,134,98,24,667
UCL221024,91,69,61,55,123,177,219,95,28,929
UCL221025,89,45,70,66,80,102,132,83,55,722
UCL221026,81,52,64,58,102,128,124,75,44,726
UCL221027,121,48,75,61,88,116,99,92,20,723
UCL221028,83,59,34,53,89,173,200,121,19,841
UCL221029,145,84,95,68,101,109,43,37,8,688
UCL221030,37,19,19,29,76,179,119,48,4,530
UCL221031,144,57,65,100,80,72,44,26,5,594
UCL221032,111,56,44,69,78,80,76,48,8,563
UCL221033,47,36,50,40,45,97,98,55,43,518
UCL221034,232,125,54,155,158,92,70,15,3,906
UCL221035,97,64,58,58,103,102,138,88,65,777
UCL221036,164,85,80,92,110,122,77,27,7,765
UCL221037,88,67,67,62,75,102,118,68,30,685
UCL221038,187,95,105,121,154,109,86,31,4,896
UCL221039,118,86,83,73,94,122,109,58,11,755
UCL221040,90,77,56,52,95,102,102,67,4,639
UCL221041,146,59,82,82,88,88,58,12,3,626
UCL221042,86,43,74,71,60,71,79,35,10,533
UCL221043,51,38,29,42,124,277,321,113,19,1008
UCL221044,116,65,66,96,124,248,293,122,39,1171
UCL221045,136,101,81,92,103,126,91,31,8,771
UCL221046,446,131,342,253,106,106,87,25,9,1508
UCL221047,128,80,55,83,109,81,61,20,6,632
UCL221048,90,63,59,57,59,58,68,38,15,499
UCL221049,177,71,53,119,106,84,62,18,7,690
UCL221050,114,69,77,58,104,110,145,63,24,764
UCL221051,135,88,61,69,92,115,126,65,17,769
UCL221052,110,46,67,51,67,96,56,11,4,509
UCL221053,88,43,34,54,84,126,198,98,22,734
UCL221054,111,49,56,74,74,109,119,52,11,657
