UCL_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL112002,22,75,760,4493,4626,854,181,482,11493,6,144,663,377,56,3,3,96,1345,6,94,101,127,39,0,0,52,418,4,238,767,504,90,5,0,150,1765,20,149,425,72,10,0,4,70,742,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,4,16,20,153,429,74,9,0,4,70,769,0,9,10,4,0,4,0,40,74,5,4,4,3,4,0,3,5,29,48,479,1974,5085,4739,866,192,747,14124
UCL112003,31,241,1836,5351,2956,767,158,405,11747,4,58,107,110,15,0,0,24,316,0,21,69,135,10,0,4,15,251,5,76,181,248,22,0,4,37,576,18,162,180,35,7,4,0,40,444,4,33,103,22,0,0,4,14,180,0,4,13,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,12,26,16,9,3,0,0,65,19,209,316,75,13,11,6,56,705,5,9,14,10,0,0,0,7,36,4,12,3,0,0,0,0,21,54,68,544,2347,5686,2999,776,173,528,13114
UCL112004,11,105,626,2999,3508,773,180,288,8486,3,60,369,190,24,0,6,37,680,0,6,106,194,21,0,0,3,327,3,65,473,376,46,0,6,45,1006,4,62,158,28,8,0,0,18,284,0,3,12,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,8,5,3,0,35,4,80,177,35,17,6,4,25,342,9,16,13,9,0,0,0,17,58,0,3,6,8,6,0,3,3,27,29,273,1289,3424,3577,781,190,367,9926
UCL112005,0,83,1000,3592,1944,261,54,330,7268,0,97,461,285,13,0,0,86,950,0,48,39,17,8,0,0,5,126,0,147,494,314,20,0,0,100,1075,3,60,44,9,0,0,0,19,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0,17,3,66,54,11,3,0,0,20,159,3,24,17,3,0,0,0,16,56,0,8,10,6,0,0,0,0,22,10,319,1581,3919,1964,270,54,462,8585
UCL112006,17,82,745,4923,4891,640,102,837,12237,3,81,887,268,51,3,0,163,1456,0,7,38,20,0,0,0,14,78,3,83,926,283,56,5,0,175,1531,21,286,683,78,11,0,4,164,1241,0,8,11,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,4,0,0,4,21,21,296,701,78,20,0,4,166,1282,13,30,29,9,8,0,0,24,103,9,19,4,4,4,0,0,32,73,59,511,2395,5291,4972,651,110,1234,15231
UCL112007,0,16,223,969,855,94,13,120,2288,0,16,231,36,5,0,0,26,314,0,0,6,8,0,0,0,0,17,0,16,240,42,3,0,0,26,325,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,11,41,3,0,0,0,6,67,0,0,0,0,3,0,0,0,7,0,45,509,1015,858,95,9,157,2704
UCL112008,7,77,599,2844,1787,298,49,222,5883,3,54,515,811,30,0,0,77,1486,0,37,91,88,16,0,0,18,245,3,96,607,898,42,0,0,89,1735,15,202,509,136,4,0,4,81,954,5,43,301,52,0,0,3,27,428,0,29,283,70,5,0,0,29,413,0,4,36,48,0,0,0,12,100,0,0,7,0,0,0,0,0,4,15,276,1135,308,9,3,9,147,1903,33,83,103,21,7,3,0,25,271,0,12,12,10,0,0,0,4,45,63,547,2465,4083,1849,304,52,484,9845
UCL112009,8,111,866,3769,2548,388,93,379,8153,10,133,353,317,46,0,0,77,930,0,3,109,45,12,0,0,11,186,10,134,459,366,54,5,0,88,1112,0,75,183,17,6,0,0,28,309,0,29,34,0,0,0,0,12,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,20,0,106,226,21,4,0,0,38,396,13,36,17,9,3,0,0,14,100,0,3,8,9,0,0,0,12,29,30,395,1577,4165,2605,390,94,541,9790
UCL112010,3,44,435,2756,2219,290,43,349,6141,0,43,139,155,10,0,0,28,375,0,30,21,8,0,0,0,14,76,0,70,156,168,10,0,0,44,450,4,129,519,181,8,4,0,109,954,0,4,23,3,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,10,4,133,544,191,14,3,0,106,993,10,43,22,13,5,0,3,47,148,3,0,4,3,4,0,0,8,27,23,305,1170,3124,2249,295,42,561,7762
UCL112011,21,97,879,3148,2129,280,45,299,6902,0,38,198,144,8,0,0,28,423,0,28,71,34,0,0,0,3,139,0,68,272,176,8,0,0,35,557,0,39,57,9,0,0,0,14,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6,0,0,0,3,29,0,44,72,16,3,0,0,14,156,0,4,7,0,0,0,0,4,10,0,0,0,3,9,0,0,5,15,20,215,1221,3338,2147,287,48,363,7639
UCL112012,26,89,889,4515,2498,463,99,414,8997,14,147,724,253,22,0,0,89,1240,7,60,230,171,15,9,3,57,555,14,207,954,424,30,10,3,143,1788,18,129,355,115,24,0,4,66,714,0,6,62,3,0,0,0,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,11,18,142,418,125,31,0,4,75,809,38,109,46,6,0,5,0,43,253,0,4,15,6,0,0,0,10,40,99,549,2317,5083,2566,475,104,683,11878
UCL112013,3,0,40,399,286,29,8,53,814,0,9,26,3,4,0,0,9,48,0,0,4,0,0,0,0,0,0,0,9,29,3,4,0,0,9,58,0,3,13,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,3,20,0,5,5,0,0,0,0,4,17,0,0,0,3,0,0,0,0,4,4,16,89,406,287,29,8,69,909
UCL112014,25,162,1009,2696,2921,518,112,269,7718,0,30,302,207,7,0,0,35,579,0,0,49,85,23,0,0,10,175,0,34,352,293,32,0,3,40,757,0,41,75,20,7,0,0,10,146,0,0,7,0,0,0,0,0,13,0,0,17,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8,13,3,5,0,0,0,23,0,43,110,25,16,3,0,6,210,0,8,6,0,0,0,0,0,17,0,5,10,0,3,0,0,0,17,25,245,1487,3019,2967,525,115,325,8713
UCL112015,18,134,884,4729,3977,620,109,651,11123,0,139,719,278,28,0,5,110,1267,0,72,123,59,3,0,0,35,294,0,215,837,333,34,4,5,144,1562,5,105,143,59,5,0,0,49,366,0,0,10,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,4,4,0,0,33,5,112,169,77,8,3,0,49,427,6,30,41,5,0,0,0,53,134,0,9,7,4,3,0,0,26,46,30,494,1934,5147,4019,626,116,941,13298
UCL112016,20,126,954,5930,4905,782,122,632,13478,8,199,809,320,30,0,5,137,1505,0,84,68,43,3,0,0,31,234,8,280,875,367,30,0,5,162,1733,3,135,287,63,16,0,4,66,575,0,3,27,3,0,0,0,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,4,0,0,0,16,3,145,312,71,17,0,0,96,648,3,28,12,3,5,0,0,5,65,7,10,10,18,7,0,0,12,51,43,592,2167,6385,4966,786,130,912,15986
UCL112017,18,137,1125,5950,4627,993,166,463,13475,5,155,1351,945,62,5,5,187,2718,3,41,277,560,76,8,0,51,1014,11,200,1631,1507,135,17,5,241,3740,4,345,680,249,14,0,0,101,1401,0,33,470,94,6,0,0,30,628,14,144,560,259,7,0,0,50,1032,0,13,78,58,0,0,0,3,155,0,0,0,4,3,0,0,0,11,20,538,1788,661,24,4,0,187,3231,32,54,35,16,8,0,0,16,159,4,18,18,11,4,0,0,20,81,88,945,4600,8138,4805,1010,171,935,20683
UCL112018,19,105,1015,5644,3703,525,112,808,11932,13,260,1044,313,14,3,0,208,1866,3,73,209,58,8,0,0,46,395,20,332,1256,366,25,3,0,257,2264,9,86,177,27,3,0,0,47,357,0,0,21,0,0,0,0,10,29,0,0,17,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,9,84,225,32,6,0,0,57,412,4,15,20,9,0,0,0,61,102,5,27,26,19,6,0,3,18,95,55,565,2535,6072,3735,529,117,1201,14815
UCL112019,18,83,1313,7409,5818,1099,174,724,16639,10,92,551,130,10,5,0,84,874,0,8,116,84,5,0,0,11,230,6,100,671,215,14,4,0,91,1106,7,240,1502,182,20,6,3,186,2139,0,40,53,16,0,0,0,8,120,0,15,22,11,0,0,0,3,53,0,0,0,0,0,0,0,0,0,0,5,4,6,4,0,0,0,21,6,296,1578,222,19,6,3,197,2334,8,26,23,16,8,0,10,16,104,0,9,6,11,0,4,0,30,57,46,515,3595,7869,5859,1106,187,1064,20245
UCL113001,4,56,699,2243,1334,219,33,195,4781,5,63,635,560,33,0,0,107,1403,3,113,454,488,45,4,0,76,1182,3,171,1093,1043,80,5,0,181,2580,0,66,257,65,0,0,0,43,437,0,4,103,42,0,0,0,11,154,0,10,25,39,0,0,0,16,88,0,0,12,3,0,0,0,0,18,0,4,4,0,0,0,0,0,11,0,87,395,152,6,0,0,62,706,8,88,168,36,0,0,0,200,505,4,30,12,3,0,0,0,5,60,29,434,2361,3476,1424,229,29,650,8635
UCL113002,6,39,375,1768,1202,235,62,233,3909,0,14,170,159,4,0,0,39,390,0,26,126,129,15,3,0,36,346,0,41,301,292,15,0,0,74,735,0,75,382,188,13,8,0,55,724,0,0,21,3,0,0,0,0,26,0,0,19,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,0,75,425,201,13,8,0,57,788,10,38,46,12,8,0,0,17,125,0,4,8,3,4,0,0,3,27,17,195,1151,2274,1245,241,61,384,5584
UCL113003,14,142,1315,3960,1206,203,37,537,7428,0,57,79,17,5,0,0,25,187,0,3,14,12,0,0,0,4,23,0,59,84,31,5,0,0,28,206,0,95,84,4,0,0,0,44,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,84,4,0,0,0,44,226,17,38,3,0,0,0,0,3,69,4,4,3,5,0,0,3,10,31,39,342,1497,3997,1218,206,44,614,7965
UCL113004,29,132,240,962,791,181,54,159,2544,0,28,150,155,12,0,0,31,368,5,46,178,389,51,7,0,71,744,5,74,334,541,67,7,0,94,1115,3,87,91,74,8,0,0,32,298,0,3,17,21,4,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,0,0,5,0,3,39,9,100,112,105,16,3,0,39,387,48,82,42,8,3,0,0,35,219,5,14,13,5,3,5,3,8,47,90,397,732,1622,872,191,55,342,4314
UCL113005,12,56,780,2907,1383,293,55,330,5815,5,108,111,57,5,0,0,36,328,0,28,104,90,20,0,0,29,276,10,138,213,147,23,3,0,67,601,3,107,339,114,11,0,4,64,652,0,0,12,0,0,0,0,0,17,0,5,4,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,120,357,114,11,0,4,70,687,18,49,14,36,11,4,0,20,157,3,9,9,5,0,0,0,8,25,47,364,1375,3208,1441,302,55,494,7290
UCL113006,10,51,486,1813,715,127,30,302,3525,0,0,24,6,3,0,0,5,43,0,3,41,0,0,0,0,10,55,0,5,67,7,3,0,0,12,98,9,88,163,12,0,0,0,57,332,0,3,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,96,177,12,0,0,0,60,345,8,12,8,6,3,0,0,35,76,0,0,5,0,0,0,0,6,16,28,164,734,1840,723,133,37,410,4068
UCL113007,3,22,212,1592,1706,400,75,116,4131,0,4,116,111,12,4,0,14,258,0,18,197,422,48,3,0,34,728,0,23,313,540,55,7,0,46,984,9,20,107,49,11,0,0,24,214,0,8,80,50,0,0,0,9,152,0,69,162,59,6,0,5,21,325,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,24,10,106,353,168,22,0,5,55,710,5,14,11,6,4,0,0,7,54,0,0,3,3,0,0,0,3,10,21,173,896,2314,1784,416,76,218,5888
UCL113008,6,54,825,2093,908,131,40,241,4297,12,54,261,163,3,0,0,58,549,0,25,34,29,0,0,0,11,94,12,73,293,185,3,0,0,70,638,0,40,62,17,0,0,0,11,131,3,4,4,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,39,70,22,3,0,0,14,147,4,3,6,8,0,5,0,7,32,0,8,0,0,5,0,0,0,14,31,188,1181,2309,919,138,42,334,5130
