UCL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
UCL112012,150,8,0,0,0,162,62,11,3,0,0,75,80,12,3,0,0,98,146,23,8,0,0,175,213,18,8,0,0,247,693,61,15,0,0,765,763,32,9,0,0,807,617,20,6,0,0,640,146,0,0,0,0,149,85,0,0,0,0,87,35,0,0,0,0,35,153,8,0,0,0,165,3148,192,61,0,0,3404
UCL112013,12,0,0,0,0,12,5,0,0,0,0,6,5,0,0,0,0,6,24,0,0,0,0,25,33,3,0,0,0,29,87,0,0,0,0,86,83,0,0,0,0,83,60,0,0,0,0,66,17,0,0,0,0,17,14,0,0,0,0,14,12,0,0,0,0,12,19,0,0,0,0,16,373,0,4,0,0,383
UCL112014,117,8,0,0,0,124,47,3,0,0,0,50,42,13,0,0,0,50,78,0,0,0,0,82,93,0,0,0,0,98,302,8,0,0,0,312,434,7,0,0,0,446,701,7,3,0,0,708,348,0,0,0,0,349,198,0,0,0,0,198,108,0,0,0,0,108,157,3,4,0,0,159,2614,51,18,0,0,2686
UCL112015,161,10,3,0,0,173,92,0,0,0,0,92,50,8,0,0,0,56,128,11,4,0,0,149,191,11,3,0,0,211,546,42,4,0,0,591,647,32,3,0,0,680,839,15,3,0,0,856,300,8,0,0,0,310,164,4,0,0,0,171,75,7,0,0,0,79,186,14,0,0,0,204,3387,156,26,4,0,3572
UCL112016,133,10,3,0,0,145,74,3,6,0,0,81,77,7,0,0,0,84,187,6,3,0,0,197,242,10,3,0,0,258,825,41,21,0,0,885,1157,24,0,0,0,1184,1136,7,0,0,0,1139,383,4,0,0,0,385,251,0,0,0,0,251,158,0,0,0,0,157,235,5,4,0,0,243,4859,114,40,0,3,5021
UCL112017,201,34,21,0,5,256,84,23,7,0,0,110,68,17,15,0,0,101,118,38,13,0,0,173,182,28,21,0,0,230,452,96,70,0,0,618,720,109,56,0,0,890,1086,79,37,0,0,1199,496,16,12,0,0,529,338,17,11,0,0,364,181,8,5,0,0,192,179,19,13,0,0,215,4107,470,276,5,10,4875
UCL112018,111,12,0,0,0,119,61,0,0,0,0,66,54,7,0,0,0,61,168,8,0,0,0,177,303,13,0,0,0,320,922,35,4,0,0,959,841,21,3,0,3,868,530,4,0,0,0,537,150,3,0,0,0,155,100,4,0,0,0,105,54,0,0,0,5,63,152,5,0,0,0,162,3448,110,13,5,5,3586
UCL112019,206,7,6,0,0,219,111,5,4,0,0,114,105,0,0,0,0,111,213,4,16,0,0,231,387,4,26,0,0,420,1470,26,33,0,0,1529,1327,20,17,0,0,1365,999,4,8,0,0,1011,327,3,0,0,0,336,279,3,0,0,0,285,160,4,0,0,0,167,307,5,0,0,0,311,5900,86,110,6,0,6102
UCL113001,69,26,6,0,0,92,22,12,3,0,0,35,23,10,3,0,0,34,39,27,3,0,0,60,41,29,8,0,0,78,122,60,16,0,0,200,176,68,25,0,0,276,275,77,21,0,0,372,135,27,6,0,0,167,106,18,9,0,0,130,50,7,3,0,0,61,78,28,4,0,0,109,1129,389,101,3,0,1622
UCL113002,68,0,12,0,0,80,33,5,3,0,0,37,18,4,0,0,0,26,36,9,5,0,0,45,55,8,8,0,0,70,157,10,15,0,0,183,201,16,9,0,0,225,190,14,7,0,0,206,72,0,3,0,0,80,38,4,3,0,0,48,23,0,0,0,0,23,54,5,5,0,0,60,954,68,60,0,3,1086
UCL113003,134,0,0,0,0,136,183,6,0,0,0,183,184,0,0,0,0,186,334,0,0,0,0,335,319,3,0,0,0,319,476,0,0,0,0,480,229,0,0,3,0,225,110,0,0,0,0,108,38,0,0,0,0,38,22,0,0,0,0,28,19,0,0,0,0,19,145,0,0,0,0,145,2188,10,0,0,4,2210
UCL113004,47,10,0,0,0,61,19,6,0,0,0,24,8,5,0,0,0,15,12,5,4,0,0,12,13,8,0,0,0,18,48,18,4,4,0,75,59,35,7,0,0,102,100,35,19,0,0,153,65,37,8,0,0,105,103,30,12,0,0,139,145,20,9,0,0,170,58,21,3,0,0,80,675,223,59,6,0,963
UCL113005,62,0,0,0,0,69,36,0,0,0,0,39,52,5,6,0,0,58,121,3,0,4,0,127,174,7,0,3,0,182,524,8,11,0,0,548,386,12,6,6,0,405,222,3,0,3,0,232,51,0,0,0,0,46,36,0,0,0,0,37,28,0,0,0,0,34,78,0,0,5,0,87,1770,44,24,18,0,1854
UCL113006,38,0,0,0,0,43,39,0,0,0,0,44,25,0,0,0,0,27,71,0,0,0,0,71,99,0,0,0,0,100,306,0,0,0,0,305,170,4,0,0,0,174,91,0,0,0,0,91,23,0,0,0,0,23,14,0,0,0,0,14,11,0,0,0,0,11,60,5,0,0,0,59,952,9,10,3,5,966
UCL113007,85,10,7,0,0,104,16,0,7,0,0,25,14,4,0,0,0,16,31,8,0,0,0,42,36,6,0,0,0,40,123,16,9,0,0,148,133,41,7,0,0,178,281,56,10,0,0,350,239,37,7,0,0,278,262,25,11,0,0,291,145,9,4,0,0,159,75,15,6,0,0,101,1447,231,65,0,0,1740
UCL113008,53,7,0,0,0,63,28,0,0,0,0,30,31,4,0,0,0,35,65,3,0,0,0,66,86,5,0,0,0,94,286,6,0,0,0,290,246,8,0,0,0,256,174,0,3,0,0,179,80,0,0,0,0,86,51,0,0,0,0,51,22,0,0,0,0,22,50,3,0,0,0,58,1171,37,6,3,4,1221
UCL113009,53,0,0,0,0,54,24,0,0,0,0,24,19,0,0,0,0,15,41,0,0,0,0,43,56,0,0,0,0,61,197,5,0,0,0,206,267,4,0,0,0,272,401,0,0,0,0,397,209,0,0,0,0,209,148,0,0,0,0,148,52,0,0,0,0,52,82,0,0,0,0,86,1555,15,3,0,0,1569
