UCL_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
UCL315091,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,8,0,4,10,0,20,0,5,13,0,15,3,7,17,0,27,3,3,11,3,26,6,6,10,3,23,7,16,22,3,45,15,9,12,0,35,4,14,8,0,29,17,31,12,0,68,14,30,0,0,50,21,30,6,0,53,11,28,0,0,33,17,32,0,0,53,21,51,26,4,93,0,9,13,0,20,155,269,177,23,624
UCL315092,11,0,0,0,14,14,0,0,0,14,3,0,0,0,3,7,0,0,0,7,26,0,9,0,33,20,0,9,0,41,137,0,8,0,145,67,5,7,0,76,56,7,7,0,73,47,12,9,0,66,16,6,4,0,24,20,6,4,0,30,20,9,4,0,31,12,6,0,0,18,12,0,0,0,13,4,3,0,0,4,8,4,0,0,15,22,16,7,0,44,13,3,0,0,13,499,85,66,3,659
UCL315093,3,0,0,0,7,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,3,0,8,8,0,9,0,12,32,7,3,0,37,21,3,9,0,33,16,5,10,0,35,12,8,10,0,35,0,5,0,0,9,0,7,4,0,11,12,8,5,0,17,4,4,0,0,5,3,7,0,0,7,0,5,0,0,8,0,5,0,0,5,6,10,0,0,12,8,0,0,0,4,138,67,51,3,255
UCL315094,9,0,0,0,12,3,0,0,0,3,4,0,0,0,4,7,0,3,0,9,17,0,10,0,30,16,6,7,0,29,90,6,8,0,105,59,8,23,0,92,31,12,17,0,64,44,20,13,0,75,16,22,6,0,43,28,13,4,0,47,30,28,6,0,60,18,9,0,0,26,9,12,0,0,22,6,5,0,0,10,9,8,0,0,18,22,21,5,0,49,0,4,0,0,3,411,186,103,6,707
UCL315095,3,0,0,0,7,7,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,0,4,0,14,0,3,6,0,9,24,0,11,0,37,17,8,18,0,41,19,13,14,0,55,28,17,5,3,56,14,16,3,3,37,15,20,5,0,35,21,22,10,0,50,17,27,4,0,52,8,10,0,0,22,4,8,0,0,9,8,11,0,0,19,8,21,10,0,38,5,0,0,0,18,218,173,103,15,501
UCL315096,5,0,3,0,8,8,0,0,0,6,5,0,0,0,6,4,0,3,0,7,11,0,5,0,16,0,0,7,0,7,28,0,5,0,37,16,0,11,0,25,27,5,11,0,42,26,11,7,0,45,8,10,5,0,22,21,30,7,0,64,56,64,7,0,132,40,65,8,0,108,36,52,3,0,95,15,40,0,0,59,27,93,3,0,125,45,78,10,0,133,18,3,0,0,18,390,448,113,5,960
UCL315097,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,7,4,5,10,0,16,14,3,9,0,23,19,9,7,0,31,21,9,7,0,34,20,21,8,0,47,15,15,8,0,33,12,16,4,0,34,32,46,14,3,93,16,34,5,0,55,13,25,0,0,41,9,23,0,0,28,7,27,0,0,41,9,17,0,0,27,0,0,0,0,4,191,243,84,7,518
UCL315098,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,6,5,0,3,0,11,0,6,6,0,11,10,3,11,0,21,0,3,8,0,10,8,5,16,0,30,18,12,13,0,40,38,57,9,0,108,50,59,4,0,108,45,71,0,4,128,37,59,6,3,101,87,164,7,4,257,43,86,9,0,137,9,5,4,0,19,344,525,101,7,977
UCL315099,6,0,4,0,11,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,3,0,5,9,4,9,0,17,29,6,8,0,38,18,8,14,3,38,36,15,13,0,64,25,16,7,0,46,12,33,14,0,67,20,30,7,0,58,59,99,16,0,176,42,94,3,0,145,23,88,4,0,114,18,50,3,0,65,9,89,10,0,107,21,75,12,0,107,4,0,5,0,8,342,603,128,8,1076
UCL315100,5,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,10,3,0,0,0,7,19,5,6,0,36,14,4,3,0,24,12,3,8,0,24,13,7,0,0,19,4,8,0,0,11,12,5,5,0,26,20,20,5,0,46,8,33,0,0,44,5,26,0,0,32,3,12,0,0,16,3,21,0,0,28,5,21,3,0,33,7,0,0,0,7,148,162,45,0,358
UCL315101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,4,0,10,13,0,7,0,15,3,7,5,0,22,9,7,10,0,23,23,8,5,0,34,8,14,7,0,31,19,15,0,0,32,35,45,7,0,84,12,41,6,0,68,17,41,0,0,57,3,17,0,0,25,13,38,0,0,53,11,28,8,0,49,0,0,0,0,0,182,269,60,3,515
UCL315102,3,0,0,0,8,0,0,0,0,4,0,0,0,0,6,0,0,0,0,6,13,0,5,0,18,3,0,8,0,9,56,0,14,0,72,33,6,12,0,47,15,5,13,0,37,20,9,6,0,44,10,11,3,6,25,12,9,10,0,26,20,28,3,0,50,9,21,0,0,30,8,9,5,0,20,3,12,0,0,15,5,4,0,0,11,9,16,0,0,27,3,4,0,0,8,233,134,88,13,465
UCL315103,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,0,0,0,6,3,0,4,0,10,26,3,9,0,41,9,5,9,0,24,20,9,4,0,33,21,8,0,0,28,4,4,7,0,13,12,4,0,0,22,12,9,4,0,29,18,11,0,0,31,4,10,0,0,18,3,10,0,0,9,4,18,0,0,21,11,13,10,0,34,3,0,0,0,0,186,97,52,9,340
UCL315104,16,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,0,6,0,21,3,0,6,0,12,56,5,15,0,66,22,9,20,5,48,24,9,17,0,52,31,13,12,0,53,13,21,8,0,47,24,19,5,0,55,34,30,7,0,78,21,39,0,0,61,16,13,0,0,29,7,8,0,0,22,14,26,0,0,35,13,32,5,0,52,4,0,3,0,7,309,224,113,9,655
UCL315105,15,0,0,0,12,6,0,0,0,6,6,0,0,0,6,4,0,0,0,4,23,0,0,0,19,7,0,0,0,11,83,4,0,0,84,41,5,0,0,42,35,0,4,0,45,38,3,0,0,42,12,9,0,0,19,21,3,0,0,21,20,11,0,0,29,13,11,0,0,22,9,4,0,0,10,3,0,0,0,8,7,12,0,0,17,17,3,5,0,24,12,0,0,0,11,361,58,20,0,441
UCL315106,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,4,0,8,0,13,20,0,11,0,37,15,4,13,0,30,9,13,13,0,39,21,18,15,0,47,15,25,8,0,44,13,28,7,0,43,33,43,3,0,77,21,43,6,0,71,8,18,0,0,30,7,12,0,0,17,7,15,4,0,24,13,26,3,0,49,0,5,0,0,5,190,251,93,3,537
UCL315107,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,5,0,19,3,0,10,0,18,29,6,19,0,47,14,6,14,0,33,21,17,15,0,60,23,30,7,5,68,21,31,5,0,59,24,26,5,5,55,54,60,13,0,127,37,34,4,0,72,13,28,3,0,43,5,6,0,0,15,10,20,0,0,33,12,26,12,0,53,5,4,3,0,8,292,306,127,12,739
UCL315108,0,0,0,0,0,4,4,3,0,12,3,9,8,4,18,0,0,9,0,11,7,5,12,4,22,0,3,14,0,20,5,6,15,3,34,6,13,8,0,22,0,14,8,0,30,4,12,9,3,32,0,10,7,0,21,3,5,0,0,11,5,6,6,0,13,0,6,0,0,10,0,0,0,0,4,0,0,0,0,5,0,4,0,0,5,0,12,8,0,16,0,0,4,0,4,32,111,131,14,291
UCL315109,0,0,0,0,0,4,0,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,9,10,0,7,0,13,27,0,6,0,31,14,0,4,0,16,13,3,9,0,32,18,3,10,0,30,10,4,4,0,16,4,12,0,0,16,15,12,0,0,33,9,14,0,0,25,7,12,0,0,17,3,8,0,0,11,11,16,0,0,28,9,10,4,0,24,8,0,0,0,13,163,90,49,0,305
UCL321001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,6,0,6,0,3,16,0,6,0,26,14,3,5,0,20,5,3,4,0,14,7,4,0,3,16,5,3,0,0,7,5,10,0,0,8,3,4,4,0,17,0,7,3,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,7,0,0,8,0,0,0,0,0,72,49,36,7,158
UCL321002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,3,0,10,3,0,4,0,9,20,3,4,0,33,14,0,3,0,23,12,7,5,0,18,12,9,0,0,20,4,3,4,0,8,4,4,0,0,12,11,11,0,0,25,0,6,0,0,13,3,3,0,0,9,0,6,4,0,5,3,3,0,0,9,9,7,3,0,22,3,0,4,0,4,107,60,50,0,213
UCL321003,0,0,0,0,0,6,0,0,0,6,3,0,0,0,3,0,0,0,0,0,4,0,0,0,6,4,4,0,0,10,19,3,0,0,28,6,4,4,0,15,5,4,0,0,13,7,4,5,0,11,4,0,0,0,9,5,5,0,0,15,3,9,0,0,17,4,6,0,0,6,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,4,0,13,7,0,0,0,3,83,51,18,0,156
UCL321004,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,4,0,20,0,0,8,0,7,8,0,3,0,13,7,5,0,0,14,5,0,0,0,11,4,4,0,0,7,9,12,0,0,21,3,6,0,0,13,4,6,0,0,13,0,7,0,0,7,0,0,0,0,8,8,8,0,0,14,8,0,0,0,4,82,53,22,0,152
UCL321005,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,10,4,3,0,15,8,0,5,0,6,4,0,0,0,11,4,4,0,0,6,3,6,4,0,13,0,0,0,0,5,9,8,7,0,18,12,11,0,0,23,9,12,0,0,20,4,9,0,0,11,11,13,5,0,24,9,28,0,0,31,7,0,4,0,6,97,79,19,0,204
UCL321006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,5,11,0,22,0,0,7,0,16,3,11,3,0,17,11,6,9,0,31,0,3,8,0,16,0,9,5,0,16,0,6,0,0,7,3,0,0,0,5,0,10,0,0,10,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,15,3,0,15,3,0,0,0,3,29,73,63,5,170
UCL321007,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,9,4,0,0,16,8,3,4,0,18,6,0,5,0,10,5,10,4,0,18,10,15,7,0,30,5,6,0,0,16,24,29,10,0,59,12,36,3,0,47,13,28,3,0,42,11,17,0,0,33,6,26,0,0,41,8,23,7,0,44,4,0,0,0,7,141,201,56,4,394
UCL321008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,11,5,0,6,0,10,43,0,0,0,46,27,0,3,0,30,13,4,7,0,25,16,3,0,0,18,5,4,3,0,18,12,0,0,0,11,12,9,0,0,19,6,10,0,0,16,5,0,0,0,10,0,4,0,0,8,6,3,0,0,14,24,4,0,0,34,9,0,4,0,7,187,46,31,6,276
UCL321009,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,17,0,0,0,18,14,0,9,0,15,3,3,10,0,14,9,8,4,0,15,11,0,6,0,16,11,0,5,0,18,19,23,7,4,53,11,15,0,0,27,10,13,0,0,29,3,3,0,0,12,6,19,0,0,24,13,19,9,3,38,8,0,6,0,7,141,99,53,8,302
UCL321010,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,6,14,0,5,0,18,8,0,5,0,11,11,6,6,0,21,10,9,0,0,21,0,4,4,0,11,6,8,0,0,14,16,21,0,0,36,8,13,0,0,20,13,10,4,0,27,0,7,0,0,8,0,7,0,0,4,0,11,5,0,17,3,3,0,0,4,92,100,43,4,235
