UCL_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
UCL114012,211,41,19,24,33,10,0,9,756,0,0,0,0,0,0,0,0,0,0,0,396,319,303,58,29,22,43,11,8,28,1211
UCL114013,50,14,11,21,31,14,6,5,256,0,0,0,0,0,0,0,0,0,0,0,214,81,75,16,16,30,43,17,6,23,526
UCL114014,33,3,3,4,3,0,0,3,146,0,0,0,0,0,0,0,0,0,0,0,459,121,97,19,4,10,11,7,0,7,742
UCL114015,76,16,27,22,59,44,34,15,433,0,0,0,0,0,0,0,0,0,0,0,261,106,105,22,27,31,71,51,38,35,748
UCL114016,136,34,48,78,97,35,0,18,666,0,0,0,0,0,0,0,0,0,0,0,311,103,167,47,54,91,103,40,0,34,954
UCL114017,70,9,13,17,16,7,0,5,267,0,0,0,0,0,0,0,0,0,0,0,610,183,187,30,38,25,35,14,0,18,1141
UCL114018,42,21,8,8,16,12,0,9,302,0,0,0,0,0,0,0,0,0,0,0,1013,105,84,36,12,16,26,20,0,39,1349
UCL114019,53,12,25,21,22,15,6,0,292,0,0,0,0,0,0,0,0,0,0,5,217,93,91,19,25,25,29,17,5,19,539
UCL114020,133,26,35,40,43,30,4,6,578,0,0,0,0,0,0,0,0,0,0,7,914,194,164,26,51,54,55,33,11,30,1540
UCL114021,50,17,8,7,8,14,0,11,309,0,0,0,0,0,0,0,0,0,25,26,814,146,112,25,7,11,11,12,3,61,1209
UCL114022,16,7,11,0,10,4,3,3,145,0,0,0,0,0,0,0,0,0,0,5,607,46,35,9,9,3,12,8,3,32,769
UCL114023,31,10,13,9,24,16,0,3,156,0,0,0,0,0,0,0,0,0,3,9,135,43,46,12,26,14,28,18,0,16,323
UCL114024,65,16,12,36,13,12,3,0,275,3,0,0,0,0,0,0,0,0,0,3,307,86,102,32,21,41,19,18,6,11,637
UCL114025,46,8,8,6,9,3,0,8,183,0,0,0,0,0,0,0,0,0,6,6,606,143,150,21,15,15,22,17,0,33,1028
UCL114026,67,17,18,11,7,8,0,0,265,0,0,0,0,0,0,0,0,0,0,0,509,88,116,17,24,11,8,7,0,17,799
UCL114027,22,4,9,4,8,9,3,3,161,0,0,0,0,0,0,0,0,0,0,4,645,80,65,17,11,7,14,18,5,28,888
UCL114028,47,11,25,47,102,17,18,3,341,0,0,0,0,0,0,0,0,0,0,3,183,64,89,26,30,55,112,29,18,9,615
UCL114029,15,0,0,0,0,4,0,4,175,0,0,0,0,0,0,0,0,0,0,0,446,18,31,5,0,0,0,4,5,17,520
UCL114030,19,13,5,8,6,12,0,0,132,0,0,0,0,0,0,0,0,0,4,4,408,39,44,19,9,10,4,15,9,27,591
UCL114031,14,0,5,7,3,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,557,33,48,3,13,9,3,0,0,19,678
UCL114032,37,0,5,0,6,0,0,0,179,0,0,0,0,0,0,0,0,0,0,3,409,46,52,6,9,3,13,3,0,8,546
UCL114033,59,7,13,22,22,19,0,9,278,0,0,0,0,0,0,0,0,0,0,0,291,119,86,7,26,21,29,17,3,25,637
UCL114034,25,4,4,4,6,0,0,5,97,3,0,0,0,0,0,0,0,0,0,3,426,41,42,6,8,12,14,0,3,38,584
UCL114035,157,54,66,90,134,35,3,27,953,0,0,0,0,0,0,0,0,0,5,5,598,189,178,57,80,95,150,48,3,49,1450
UCL114036,23,17,10,4,3,9,0,6,147,0,0,0,0,0,0,0,0,0,0,0,561,74,68,25,17,13,11,9,5,43,823
UCL114037,39,13,7,6,15,0,0,4,175,0,0,0,0,0,0,0,0,0,4,4,355,61,72,13,11,9,23,3,7,20,568
UCL114038,69,15,20,15,52,12,4,10,340,0,0,0,0,0,0,0,0,0,5,5,299,83,93,18,30,18,60,13,13,24,660
UCL115001,8,0,5,3,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,59,14,20,6,4,4,0,0,0,5,118
UCL115002,10,0,9,5,4,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,353,53,53,8,5,13,6,0,0,11,506
UCL115003,14,5,3,0,0,0,0,6,96,0,0,0,0,0,0,0,0,0,0,0,232,13,27,4,8,3,3,0,0,11,304
UCL115004,13,11,4,14,93,23,11,8,189,0,0,0,0,0,0,0,0,0,0,0,173,19,22,9,8,16,102,25,11,21,395
UCL115005,14,3,5,10,7,0,0,5,67,0,0,0,0,0,0,0,0,0,0,0,38,4,18,3,5,10,9,0,0,4,94
UCL115006,20,3,5,0,3,3,0,9,89,0,0,0,0,0,0,0,0,0,0,0,237,59,60,16,8,11,4,8,0,19,422
UCL115007,4,0,0,0,3,3,0,0,87,0,0,0,0,0,0,0,0,0,0,0,327,15,16,0,3,0,3,3,0,8,375
UCL115008,7,3,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,52,4,9,3,4,3,3,0,0,3,79
UCL115009,12,4,0,7,3,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,98,18,15,5,0,7,10,0,0,6,154
UCL115010,3,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,57,3,8,0,3,0,4,0,0,3,87
UCL115011,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,169,0,9,0,0,0,0,0,0,11,192
UCL115012,9,4,0,4,0,3,0,4,68,0,0,0,0,0,0,0,0,0,0,0,75,21,12,9,0,4,5,8,0,4,143
UCL115013,29,19,21,6,5,5,0,3,148,0,0,0,0,0,0,0,0,0,0,0,248,37,49,20,27,10,10,5,0,9,414
UCL115014,9,8,4,6,7,0,0,0,87,0,0,0,0,0,0,0,0,0,5,5,361,48,28,7,10,3,9,4,0,24,502
UCL115015,4,0,4,0,6,0,0,0,53,3,0,0,0,0,0,0,0,0,0,3,194,22,7,0,3,3,9,0,0,13,255
UCL115016,5,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,86,8,9,0,3,0,0,0,0,4,118
UCL115017,0,0,3,3,4,0,0,12,48,0,0,0,0,0,0,0,0,0,3,3,320,20,23,3,9,5,4,0,0,38,424
UCL115018,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,3,0,0,0,0,5,65
UCL115019,25,3,0,9,8,4,0,3,200,0,0,0,0,0,0,0,0,0,0,0,744,68,68,9,4,15,14,10,0,26,957
UCL115020,0,0,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,109,20,15,0,0,5,0,0,0,6,163
UCL115021,3,3,0,3,3,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,46,4,14,8,0,3,10,0,0,3,90
UCL115022,4,0,0,0,7,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,220,15,9,7,3,0,7,0,0,5,279
UCL115023,4,0,0,3,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,65,10,10,0,0,4,3,4,0,0,100
UCL115024,9,3,0,0,8,7,3,0,57,0,0,0,0,0,0,0,0,0,0,0,33,11,13,3,0,5,7,7,3,5,91
UCL115025,5,0,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,135,19,21,3,0,0,4,0,0,8,189
UCL115026,8,0,0,5,8,5,0,3,48,0,0,0,0,0,0,0,0,0,0,0,136,16,14,0,3,5,7,5,0,9,191
UCL115027,5,7,0,4,15,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,108,40,20,5,0,8,15,0,0,3,200
UCL115028,3,0,7,0,5,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,233,23,20,0,3,9,10,3,0,13,320
UCL115029,19,8,0,0,10,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,178,28,36,3,3,11,11,3,0,10,279
UCL115030,3,5,0,0,3,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,69,3,3,5,0,0,3,0,0,13,98
UCL115031,17,0,5,0,7,4,0,7,98,0,0,0,0,0,0,0,0,0,3,3,466,47,28,0,8,0,18,10,0,36,613
UCL115032,8,0,0,5,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,344,54,47,5,6,6,4,0,0,4,468
UCL115033,9,3,0,3,4,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,328,94,49,0,0,11,7,3,0,8,514
UCL115034,5,0,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,112,18,6,0,0,0,0,4,0,3,155
UCL115035,25,13,9,12,5,10,0,0,133,0,0,0,0,0,0,0,0,0,0,0,125,43,37,17,12,12,7,17,3,4,274
UCL115036,5,7,0,0,4,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,440,30,10,10,0,0,0,4,0,6,505
UCL115037,16,0,0,6,9,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,116,22,19,0,0,6,4,5,0,5,174
UCL115038,11,0,7,4,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,48,12,13,0,7,4,0,0,0,4,83
UCL115039,28,14,12,12,16,5,0,5,150,0,0,0,0,0,0,0,0,0,0,0,110,67,45,15,16,18,19,5,0,11,311
UCL115040,4,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,148,13,8,0,4,0,0,0,0,5,187
UCL115041,16,10,18,13,19,3,0,5,101,0,0,0,0,0,0,0,0,0,0,0,51,11,23,9,18,16,22,3,8,6,163
UCL115042,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,54,11,8,0,3,9,0,0,0,0,87
UCL115043,11,5,7,10,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,104,12,11,5,10,10,3,0,0,0,159
UCL115044,11,3,5,3,7,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,43,8,16,3,5,4,7,3,0,7,93
UCL115045,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,34,9,3,0,0,0,0,0,0,7,57
UCL115046,22,9,9,6,14,10,0,0,106,0,0,0,0,0,0,0,0,0,0,0,112,10,32,9,9,12,18,15,0,8,222
UCL115047,7,4,0,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,104,10,7,4,0,8,0,0,0,6,136
UCL115048,8,8,3,0,0,3,0,6,101,4,0,0,0,0,0,0,0,0,0,4,331,36,27,8,10,5,4,5,0,25,445
UCL115049,8,0,0,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,72,13,11,0,3,9,8,0,4,6,121
UCL115050,22,4,4,4,0,3,0,0,93,0,0,0,0,0,0,0,0,0,0,0,138,62,51,9,7,5,4,5,0,6,287
UCL115051,10,8,6,5,4,0,0,3,66,0,0,0,0,0,0,0,0,0,0,0,261,19,8,8,9,5,8,0,0,14,326
UCL115052,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,74,7,5,0,6,0,0,0,0,0,103
UCL115053,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,97,10,7,0,0,0,0,0,0,0,126
UCL115054,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,104,3,3,0,0,0,6,0,0,9,118
UCL115055,0,0,3,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,68,6,0,0,6,0,0,0,0,3,87
UCL115056,5,10,4,9,4,0,0,5,92,0,0,0,0,0,0,0,0,0,0,3,293,22,18,10,4,9,4,3,0,17,383
UCL115057,8,0,0,8,5,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,149,20,18,3,0,11,8,3,0,6,227
UCL115058,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,6,8,178,16,9,0,0,3,8,0,0,9,226
UCL115059,19,3,0,0,4,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,87,12,28,3,4,0,7,6,0,7,157
UCL115060,45,13,9,12,14,7,0,5,196,0,0,0,0,0,0,0,0,0,0,3,100,85,63,10,9,16,9,11,0,10,317
UCL115061,8,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,65,11,14,4,0,0,0,0,0,5,102
UCL115062,0,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,111,9,4,8,0,0,0,0,0,0,136
UCL115063,15,5,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,146,20,35,16,3,0,7,6,0,5,223
UCL115064,8,7,0,9,0,4,0,13,106,0,0,0,0,0,0,0,0,0,5,5,378,67,26,6,11,14,9,4,0,26,552
UCL115065,0,3,0,9,7,3,0,3,38,0,0,0,0,0,0,0,0,0,0,0,55,4,8,3,0,6,8,3,0,6,96
UCL115066,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,154,7,12,0,0,0,3,0,0,3,185
UCL115067,4,0,0,0,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,156,11,11,0,0,4,4,0,0,8,196
UCL115068,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,127,0,7,0,0,0,0,0,0,8,150
UCL115069,4,0,0,0,3,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,88,5,13,0,0,0,3,0,6,8,133
UCL115070,11,0,3,6,10,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,148,31,25,0,3,8,10,0,0,5,231
UCL115071,9,0,0,4,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,113,16,12,4,0,4,3,0,0,3,152
UCL115072,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,167,13,7,0,0,0,0,0,10,3,201
UCL115073,15,7,7,6,61,8,10,0,134,0,0,0,0,0,0,0,0,0,0,0,68,11,19,10,7,8,68,6,10,7,201
UCL115074,9,5,5,3,41,13,7,7,119,0,0,0,0,0,0,0,0,0,0,0,63,19,12,5,9,3,54,21,13,11,201
UCL115075,0,0,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,157,9,0,0,0,6,0,5,0,3,176
UCL115076,10,4,0,3,3,0,0,5,35,0,0,0,0,0,0,0,0,0,0,3,98,4,18,4,0,3,4,0,0,6,137
UCL115077,5,3,3,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,261,11,11,3,3,3,4,0,0,12,321
UCL115078,4,9,0,0,7,5,0,0,58,3,0,0,0,0,0,0,0,0,0,3,167,14,7,9,0,5,11,3,3,4,222
UCL115079,5,3,0,6,8,3,3,3,79,0,0,0,0,0,0,0,0,0,0,0,92,17,16,6,0,6,15,3,3,11,171
UCL115080,4,3,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,195,15,16,5,0,0,4,0,0,5,240
UCL115081,14,7,16,31,66,22,11,3,203,0,0,0,0,0,0,0,0,0,4,9,34,31,24,15,22,34,75,28,24,6,294
UCL115082,10,4,8,0,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,46,3,15,4,8,0,7,0,0,10,84
UCL115083,9,0,0,6,6,0,0,8,43,0,0,0,0,0,0,0,0,0,5,0,143,19,16,0,0,9,11,0,0,15,210
UCL115084,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,149,3,3,0,5,0,9,0,0,3,173
UCL115085,5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,125,8,15,3,5,0,0,0,0,0,155
UCL115086,30,7,7,14,37,18,0,3,197,0,0,0,0,0,0,0,0,0,0,0,262,72,60,7,14,23,66,32,3,14,540
UCL115087,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,54,12,4,8,0,3,0,0,0,4,85
UCL115088,7,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,53,8,13,0,0,0,0,0,0,0,76
UCL115089,20,26,49,53,30,14,15,4,249,0,0,0,0,0,0,0,0,0,92,92,129,34,31,26,53,54,33,14,17,106,486
UCL115090,4,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,90,13,4,0,0,0,0,0,0,0,114
UCL115091,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,96,6,4,0,0,0,6,0,0,3,117
UCL115092,4,0,0,5,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,54,3,10,0,0,5,3,0,0,11,80
UCL115093,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,140,6,6,7,0,0,0,0,0,6,162
UCL115094,12,6,0,0,0,3,7,4,60,6,0,0,0,0,0,0,0,0,6,10,140,34,20,4,0,0,0,3,8,13,225
UCL115095,11,5,11,0,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,27,5,16,5,16,4,6,0,0,7,84
UCL115096,0,0,4,0,3,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,344,31,13,3,7,8,5,0,0,19,436
UCL115097,7,0,0,0,0,9,0,0,65,0,0,0,0,0,0,0,0,0,0,0,270,18,11,3,0,7,0,9,0,5,325
UCL115098,4,0,6,0,0,8,0,5,102,0,0,0,0,0,0,0,0,0,5,4,151,14,9,0,12,3,4,7,0,13,210
UCL115099,11,3,11,3,12,4,0,0,87,0,0,0,0,0,0,0,0,0,0,0,155,20,22,3,13,3,18,3,0,7,253
UCL115100,10,4,7,5,4,0,4,0,65,0,0,0,0,0,0,0,0,0,0,0,181,23,34,7,12,7,7,0,7,19,293
UCL115101,9,0,3,0,3,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,314,18,20,0,4,0,4,4,0,15,384
UCL115102,7,0,0,0,3,0,0,0,14,5,0,0,0,0,0,0,0,0,0,5,65,8,6,0,0,4,5,0,0,9,96
UCL115103,0,6,0,0,0,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,32,6,3,5,0,0,0,5,0,0,67
UCL115104,3,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,175,10,10,0,0,3,0,0,0,14,210
UCL115105,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,57,10,4,0,0,4,0,0,0,0,72
