UCL_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
UCL122099,0,0,0,0,0,0,0,0,0,0,4,7,9,4,4,5,3,0,0,47,0,0,4,0,0,3,0,0,0,11,0,0,0,0,0,3,0,0,0,9,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,3,0,3,0,0,4,0,0,0,17,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,6,4,0,0,8,0,0,0,0,0,0,0,0,0,0
UCL122100,0,0,0,0,0,0,0,0,0,3,0,0,7,13,14,32,8,0,0,82,0,0,0,0,4,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,5,5,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,3,0,4,3,0,0,0,9,0,0,0,0,3,5,0,0,0,10,0,0,0,4,0,4,0,0,0,10,0,0,0,7,7,14,3,0,0,30,0,0,0,0,0,0,0,0,0,0
UCL122101,0,0,0,0,0,0,0,0,0,0,6,7,4,19,24,15,10,0,0,84,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,5,7,0,0,0,0,8,4,0,0,9,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,5,6,0,10,0,0,0,0,16,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,4,0,0,8,0,0,5,0,0,0,5,6,0,0,0,0,14,0,0,0,6,3,5,0,0,0,13,0,6,3,9,14,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0
UCL122102,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,16,3,0,0,42,0,0,0,3,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,5,7,0,0,0,23,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,0,0,0,6,0,0,0,0,5,0,0,4,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
UCL122103,0,0,0,0,3,0,0,0,0,6,0,0,6,3,6,6,0,0,0,39,0,6,0,4,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,6,5,10,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
UCL122104,0,5,0,0,0,0,0,0,0,7,5,21,7,15,33,22,4,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,7,8,5,8,13,0,5,0,0,40,0,4,0,0,9,0,0,0,0,12,0,5,0,0,3,0,0,0,0,11,0,0,0,0,5,0,0,0,0,9,0,0,0,3,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,5,0,0,16,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,6,0,0,0,14,0,4,0,3,7,7,0,0,0,22,0,8,0,0,5,11,0,0,0,25,0,0,0,0,0,3,0,0,0,0
UCL122105,0,0,0,0,0,0,0,0,0,0,0,5,12,23,14,11,5,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,8,0,5,0,5,0,0,0,15,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,4,0,0,0,7,0,5,0,5,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,15,4,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,0,0,12,0,0,5,5,7,0,0,0,0,19,0,0,5,7,6,7,0,0,0,22,0,0,0,0,0,0,0,0,0,5
UCL122106,0,0,0,0,0,0,0,0,0,5,0,0,13,0,12,9,7,0,0,43,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,12,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
UCL122107,0,0,0,0,0,0,0,0,0,3,7,6,19,14,19,21,4,0,0,82,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,5,8,7,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,12,5,4,0,4,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,3,5,0,0,0,7,0,0,0,0,0,4,3,0,0,11,0,0,0,4,8,5,0,0,0,21,0,0,7,0,3,6,0,0,0,15,0,0,4,5,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,3
UCL122108,0,0,0,0,0,0,0,0,0,0,0,3,4,10,10,16,0,0,0,50,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,5,0,8,0,0,0,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,6
UCL122109,0,0,3,0,0,0,0,0,0,5,12,38,85,51,58,48,8,0,0,301,0,0,0,3,0,12,10,0,0,29,0,0,3,0,5,5,0,0,0,11,0,0,0,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,0,4,8,8,0,0,0,16,0,0,0,0,3,0,0,0,0,10,0,0,0,5,8,5,0,0,0,13,23,58,89,29,28,19,7,0,0,257,0,0,3,8,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,4,0,0,3,3,7,3,0,0,0,22,0,0,0,4,3,0,0,0,0,12,0,0,5,9,8,22,10,0,0,60,0,0,4,0,0,0,0,0,0,11,0,0,15,10,12,11,4,0,0,59,0,0,4,4,8,14,0,0,0,28,0,0,6,12,16,18,0,0,0,54,3,0,10,3,5,0,0,0,0,21
UCL122110,0,0,0,0,4,0,0,0,0,7,5,5,18,22,18,16,4,0,0,88,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,3,8,3,4,7,0,0,0,24,0,0,3,0,0,0,0,0,0,4,0,0,8,0,3,0,0,0,0,13,6,0,4,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,0,0,0,13,0,0,6,9,5,4,0,0,0,16,0,4,4,8,7,5,3,0,0,36,0,0,0,0,0,0,0,0,0,3
UCL122111,0,0,0,0,0,0,0,0,0,3,6,7,16,25,21,18,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,4,3,6,7,7,5,3,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,5,0,0,0,11,7,5,0,0,0,0,0,0,0,12,0,0,0,4,4,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,11,0,0,0,4,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,7,10,5,0,0,0,18,4,0,4,0,6,3,0,0,0,21,0,4,0,5,7,4,0,0,0,13,0,0,0,0,0,0,0,0,0,3
UCL122112,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,16,7,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,3,0,0,0,10,0,0,0,3,0,4,0,0,0,16,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,0,0,0,0,8,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,7,3,0,0,18,0,0,0,0,0,0,0,0,0,0
UCL122113,0,0,0,0,0,4,0,0,0,4,0,5,4,9,9,11,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,11,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,3,5,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0
UCL122114,0,0,0,0,0,0,0,0,0,5,6,0,9,11,14,18,3,0,0,55,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,6,0,3,3,8,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,0,0,0,15,0,0,0,6,0,4,0,0,0,8,0,0,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,3
UCL122115,0,0,0,0,0,0,0,0,0,0,0,0,6,15,16,7,6,0,0,45,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,3,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,5,0,0,0,0,13,0,0,3,3,4,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0
UCL122116,0,0,0,0,0,0,0,0,0,0,6,5,3,6,19,25,5,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,10,0,0,0,0,20,0,0,0,0,0,4,0,0,0,6,4,0,0,0,3,0,0,0,0,10,0,0,0,0,0,6,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,4,4,0,0,0,16,0,0,0,0,14,10,0,0,0,22,0,0,0,0,0,0,0,0,0,4
UCL122117,0,0,3,0,0,0,0,0,0,3,10,9,28,19,19,23,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,11,3,0,7,8,3,9,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,4,5,5,7,7,0,0,0,33,0,0,0,0,0,5,0,0,0,10,3,3,5,0,0,5,0,0,0,22,5,0,0,0,0,0,0,0,0,11,0,0,0,0,4,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,0,0,0,15,0,0,4,3,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,8,0,0,3,0,6,10,0,0,0,17,0,3,11,4,0,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0
UCL122118,0,0,0,0,0,0,0,0,0,0,6,11,19,15,21,8,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,6,0,0,7,0,0,4,0,0,0,7,0,0,6,0,0,0,0,0,0,4,0,0,7,0,5,8,0,0,0,19,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,0,0,0,0,16,0,0,8,0,0,0,0,0,0,5,0,0,4,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,5,0,0,0,0,8,0,3,4,8,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
UCL122119,0,0,0,0,0,0,0,0,0,5,0,0,9,19,21,25,13,0,0,83,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,9,0,0,5,0,9,4,0,0,0,15,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,7,5,7,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,4,4,0,0,17,0,0,5,3,3,4,0,0,0,23,0,0,4,0,6,8,3,0,0,22,0,0,0,0,0,0,0,0,0,7
UCL122120,0,0,0,0,3,0,0,0,0,4,5,7,24,30,29,28,0,0,0,118,0,0,5,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,5,7,6,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,22,0,0,0,3,4,0,0,0,0,10,0,0,5,5,6,3,0,0,0,19,7,0,4,0,7,0,0,0,0,23,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,8,0,0,3,4,3,7,0,0,0,22,0,0,0,5,6,0,0,0,0,9,0,0,4,6,3,0,0,0,0,27,0,0,0,7,12,11,0,0,0,34,0,0,0,0,0,0,0,0,0,3
UCL122121,0,0,0,0,0,0,0,0,0,0,6,3,10,16,14,19,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,5,0,6,3,3,3,0,0,0,16,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,11,0,0,4,8,5,14,0,0,0,27,0,0,0,0,0,0,0,0,0,0
UCL122122,0,0,0,0,0,0,0,0,0,6,3,8,26,20,30,19,3,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,6,8,9,8,8,0,0,0,32,0,0,0,0,4,5,0,0,0,7,3,0,0,0,5,0,0,0,0,6,5,4,3,0,0,3,0,0,0,13,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,5,7,5,0,0,0,12,0,4,11,3,12,5,6,0,0,37,3,7,11,6,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,6
UCL122123,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,3,0,0,0,25,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
UCL122124,0,0,0,0,0,0,0,0,0,0,3,8,8,25,21,7,4,0,0,76,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,5,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,4,14,16,3,0,0,0,42,0,0,0,6,3,0,6,0,0,13,0,0,8,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
