UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL222092,9,18,11,0,0,0,0,36,6,11,8,0,7,0,0,32,4,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,53,90,36,18,42,9,0,255
UCL222093,8,22,9,9,16,4,0,73,9,25,12,13,18,8,0,84,3,9,6,3,18,5,0,44,0,3,0,0,8,4,0,9,55,105,53,31,81,39,0,363
UCL222094,9,17,11,6,20,9,0,74,9,14,9,13,13,3,0,57,4,3,0,8,9,8,0,25,0,0,0,0,0,0,0,5,48,71,36,37,69,27,0,285
UCL222095,4,13,0,0,3,0,0,23,0,9,6,6,4,3,0,27,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,27,59,17,16,22,10,0,151
UCL222096,11,18,7,0,3,7,0,53,0,13,12,8,12,9,0,46,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,67,113,61,34,40,20,0,320
UCL222097,8,17,9,11,5,4,0,47,0,5,0,4,9,0,0,18,0,0,0,0,8,0,0,10,4,0,0,0,0,3,0,7,53,72,32,24,52,20,0,261
UCL222098,9,22,18,3,3,3,0,55,0,12,16,4,6,3,0,38,0,9,0,7,3,3,0,16,0,4,0,5,0,0,0,7,39,109,53,34,22,8,0,275
UCL222099,6,15,11,3,11,0,0,40,0,6,0,0,3,0,0,17,0,0,0,5,0,6,0,10,0,0,0,0,0,0,0,0,23,37,19,25,39,27,0,177
UCL222100,9,17,4,8,12,4,0,51,0,3,4,11,14,7,0,46,4,9,7,10,12,3,0,41,0,0,0,0,0,0,0,5,22,56,20,35,57,26,0,223
UCL222101,4,8,4,4,11,3,0,39,4,12,0,6,3,0,0,35,0,4,4,4,3,3,0,15,0,0,0,0,0,0,0,3,29,58,23,32,31,26,0,207
UCL222102,5,41,9,8,14,10,0,77,4,14,7,4,15,0,0,43,0,8,3,0,3,3,0,21,0,0,0,0,0,0,0,0,35,122,38,45,70,18,0,334
UCL222103,5,15,4,0,3,0,0,24,0,4,0,3,3,0,0,17,0,9,5,0,7,0,0,26,0,0,0,0,0,0,0,0,35,51,22,17,33,0,0,160
UCL222104,3,9,8,4,19,5,0,46,4,13,0,12,17,5,0,47,4,0,0,0,13,5,0,18,0,0,0,0,5,7,0,11,29,72,17,23,74,28,0,245
UCL222105,6,11,8,3,6,6,0,37,3,7,5,0,6,3,0,27,4,4,3,3,4,3,0,18,0,0,3,0,0,6,0,5,33,41,27,14,51,14,0,192
UCL231001,10760,22415,12970,8923,10678,5361,40,71155,6659,14173,10972,10053,11318,4650,32,57867,2825,4840,3676,4170,6572,2608,16,24700,779,927,551,505,2235,815,4,5817,65019,96159,53245,42616,62776,31977,354,352148
UCL279997,14,5,0,3,25,111,0,158,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,15,3,89,389,0,565
UCL301001,42752,81154,35826,20145,48049,9656,901,238479,23285,48610,31893,21546,47615,8041,750,181738,12000,21363,14604,10803,34640,6852,218,100479,4496,5243,2597,1784,19773,5147,60,39100,395682,534031,219349,144032,444026,99357,5013,1841492
UCL302001,12974,22571,9936,5559,15463,4056,286,70848,8214,15861,9988,6218,17346,3888,287,61805,4256,7210,4773,3411,13224,3403,126,36405,1412,1514,806,606,6218,2445,33,13029,105138,136444,57868,38294,129704,35816,1696,504946
UCL302002,6837,13176,5947,3033,6546,1789,94,37423,4724,10811,7083,4173,8261,1930,143,37116,2673,5177,3503,2513,7269,1872,83,23084,920,1105,621,514,4035,1261,19,8476,48904,70412,32545,20315,53344,14479,850,240850
UCL303001,3480,6308,2624,1374,4264,1873,86,19997,1981,3948,2306,1558,4264,1705,76,15833,831,1391,845,748,2738,1021,36,7608,242,309,129,113,1159,417,10,2369,25043,34184,13788,9106,32092,14233,876,129327
UCL303002,2071,4009,1615,957,2593,642,20,11902,1289,2804,1863,1354,2895,619,13,10838,794,1433,1052,927,2567,566,12,7349,335,415,221,200,1709,363,0,3238,17409,24308,10241,7407,23573,5343,129,88406
UCL303003,3345,6253,2684,1639,4329,1235,35,19522,1752,3704,2320,1778,4250,1025,40,14855,907,1382,1048,888,2790,675,15,7705,298,297,193,101,1300,383,8,2582,28305,38613,15265,10593,35549,12067,350,140741
UCL311001,1028,1853,889,614,1621,355,12,6366,608,1439,1043,921,1915,376,6,6317,465,761,597,590,1832,443,5,4691,182,195,123,117,994,227,0,1840,7474,10590,5141,4136,12923,3043,158,43466
UCL311002,1315,2584,1303,968,1904,492,26,8587,1181,2610,1868,1435,3049,665,25,10837,689,1225,909,768,2517,687,11,6807,232,213,125,110,1036,328,4,2042,8521,13070,6627,5121,13615,3637,106,50695
UCL311003,1699,3012,1273,818,2273,715,23,9805,858,1610,1122,923,2078,541,18,7155,439,661,467,477,1355,430,5,3843,159,185,83,85,725,244,7,1481,12570,17006,6960,5299,16170,5309,116,63425
UCL311004,1239,2228,1042,639,1804,466,9,7424,657,1338,970,710,1686,399,20,5781,373,639,413,424,1401,322,0,3571,185,178,93,84,764,255,5,1563,9727,13393,5725,4154,13807,3862,87,50756
UCL312001,595,1126,590,379,714,133,10,3539,530,1396,1050,707,1216,192,8,5098,338,737,514,429,1018,239,3,3274,90,153,76,71,441,126,0,954,2901,5021,2866,2058,4593,996,28,18464
UCL312002,732,1247,557,391,1010,260,8,4206,323,592,390,323,830,172,8,2630,129,214,149,159,469,117,3,1239,45,53,16,23,223,64,0,432,5253,7458,3074,2478,7026,1983,46,27314
UCL312003,516,898,485,360,749,170,0,3170,327,771,592,515,1081,173,4,3461,196,362,280,298,794,147,4,2080,84,72,48,54,438,85,0,777,3164,4481,2297,2040,5408,1302,8,18700
UCL312004,396,824,389,206,558,138,0,2512,248,540,322,265,547,88,0,2018,166,253,199,184,539,112,5,1452,50,92,33,45,371,103,0,691,3215,4836,2163,1585,4165,1026,18,17014
UCL313001,354,589,233,102,465,184,7,1932,218,409,201,128,443,156,11,1567,56,114,52,37,149,51,3,474,3,4,9,8,29,7,0,51,2144,2847,1107,721,2771,1200,124,10908
UCL313002,331,630,295,183,371,92,0,1901,277,698,466,325,601,141,3,2512,158,329,236,213,498,65,3,1500,35,45,30,17,218,35,0,386,2029,3358,1619,1121,2715,552,23,11425
UCL313003,235,392,184,121,327,85,4,1350,117,240,152,133,318,68,0,1036,64,122,67,70,184,40,0,558,34,39,21,10,147,21,0,269,1836,2462,1067,850,2514,856,20,9604
UCL313004,275,457,194,106,356,207,4,1592,111,201,119,79,200,152,7,876,29,61,33,33,84,55,0,287,8,11,3,6,26,30,0,87,2189,2945,1165,938,2520,1260,241,11264
UCL313005,192,334,142,96,287,36,0,1086,95,182,126,118,266,47,0,835,39,75,43,29,143,43,0,373,10,19,16,0,39,34,0,113,1526,2179,967,822,2221,509,15,8241
UCL313006,400,691,365,245,528,147,4,2388,249,530,398,337,710,132,3,2362,185,245,242,208,593,103,0,1578,58,88,49,34,410,66,0,706,3043,3961,1981,1655,4232,1071,17,15958
UCL313007,225,452,214,140,148,21,0,1201,119,335,259,239,230,25,0,1210,74,161,116,120,171,16,0,658,26,37,19,12,65,15,0,177,1715,2470,1232,905,1315,197,4,7839
UCL313008,184,335,164,121,275,72,5,1146,119,232,185,170,357,69,0,1135,56,132,96,94,242,51,0,677,27,36,26,22,149,45,0,308,1462,2117,946,843,2217,613,29,8210
UCL313009,337,561,263,154,515,384,15,2226,165,259,133,107,380,279,5,1331,65,80,55,52,187,110,0,547,9,11,12,5,47,29,6,114,2777,3740,1455,1089,3752,2427,57,15297
UCL313010,284,557,259,167,398,117,0,1777,208,414,333,263,494,99,0,1813,128,242,171,166,433,112,0,1257,58,58,28,18,226,62,0,449,2153,2884,1473,1171,2937,841,7,11464
UCL313011,68,116,52,39,163,17,0,457,46,45,32,40,105,10,5,284,8,10,13,18,42,10,0,105,3,0,0,0,3,5,0,13,1166,1615,718,713,1910,410,12,6546
UCL313012,416,864,387,224,547,153,0,2593,281,614,400,302,639,159,0,2397,154,281,173,182,454,100,0,1340,48,67,24,27,252,38,0,452,2946,4251,1955,1437,3679,936,15,15230
UCL314001,185,293,133,95,224,65,3,998,144,267,181,150,275,100,3,1119,69,114,107,96,225,71,0,676,27,31,17,19,156,78,0,323,1188,1600,762,628,1554,678,66,6469
UCL314002,186,267,154,103,290,62,0,1067,120,221,161,152,330,74,0,1055,87,112,81,87,258,65,0,688,30,31,18,22,138,45,0,281,1170,1562,778,612,2073,715,176,7091
UCL314003,152,269,121,100,265,52,0,957,96,200,150,105,328,63,0,940,63,99,66,74,256,65,0,631,27,23,12,10,137,80,0,281,1076,1531,747,622,1975,539,3,6491
UCL314004,89,203,94,54,159,32,0,634,61,137,112,88,160,33,0,591,38,58,50,39,134,24,0,344,14,16,12,12,69,13,0,139,834,1281,607,450,1116,285,5,4577
UCL314005,99,191,95,63,148,97,0,699,54,91,80,56,113,64,0,451,20,46,21,33,78,53,0,250,10,10,8,8,47,36,0,118,830,1169,520,411,1079,699,9,4718
UCL314006,251,449,186,109,442,152,5,1592,202,337,231,177,536,158,5,1642,104,158,101,66,329,103,0,874,26,19,15,9,138,26,0,234,1538,2064,916,709,2754,931,166,9078
UCL314007,172,274,143,98,296,136,0,1118,135,204,175,159,322,148,0,1139,56,109,76,72,239,83,0,632,16,19,13,10,123,25,0,209,1202,1546,738,602,1892,976,7,6964
UCL314008,114,198,98,59,190,92,0,758,63,118,90,68,142,69,0,556,35,45,43,33,105,48,0,311,10,12,12,6,48,30,0,118,987,1258,549,478,1374,868,51,5569
UCL314009,110,222,100,63,135,42,0,673,49,102,71,55,114,34,0,428,23,23,14,13,57,9,0,140,0,4,0,0,9,4,0,24,1104,1607,668,539,1364,404,8,5691
UCL314010,107,166,80,65,172,42,0,635,57,97,105,88,194,30,0,569,51,69,43,55,177,38,0,435,13,24,11,4,119,23,0,189,992,1117,553,436,2073,465,14,5657
UCL314011,137,186,75,44,167,55,0,666,78,125,95,55,155,46,0,557,41,51,49,49,116,47,0,343,17,19,6,6,73,12,0,126,850,1164,460,345,1074,450,8,4352
UCL314012,112,226,119,91,158,42,0,757,54,132,95,78,148,48,0,564,37,57,34,34,82,40,0,280,14,16,4,4,44,27,0,114,874,1301,596,442,1059,383,9,4658
UCL314013,135,277,137,73,256,85,3,963,127,200,116,83,254,60,0,841,46,103,57,76,194,59,0,539,33,28,15,16,175,33,0,302,1002,1330,607,499,1955,638,117,6148
UCL314014,95,184,99,67,117,22,0,587,50,100,57,45,118,16,0,377,23,32,23,22,81,14,0,192,6,3,0,3,51,0,0,61,772,1191,560,406,1035,240,6,4214
UCL314015,110,200,98,69,157,18,0,649,49,99,84,91,143,14,0,484,18,31,26,36,72,5,0,185,5,3,0,0,13,4,0,28,743,1161,581,506,988,168,0,4152
UCL314016,160,290,153,60,220,90,9,975,106,190,140,149,249,81,3,925,65,143,118,113,243,74,0,763,21,44,20,31,131,50,0,297,1229,1580,794,626,1928,837,91,7080
UCL314017,154,210,73,52,201,421,0,1102,34,38,27,17,73,126,0,313,0,3,4,3,16,50,0,81,0,0,0,0,4,9,0,19,1353,1903,635,511,1532,2819,46,8808
UCL314018,130,241,112,36,81,3,0,605,38,89,54,47,68,4,0,301,11,22,14,16,27,6,0,99,6,4,0,0,11,0,0,25,1174,1692,719,443,768,84,0,4880
UCL314019,97,241,104,44,107,19,0,620,69,152,95,87,103,22,3,542,30,74,52,44,98,23,0,324,19,23,7,5,89,13,0,161,813,1237,552,386,813,207,8,4016
UCL314020,126,225,101,66,193,99,6,804,77,143,79,58,171,81,0,597,36,51,38,38,80,67,0,310,8,14,0,7,32,54,0,116,1055,1313,551,395,1379,783,16,5489
UCL314021,173,429,208,146,270,36,3,1266,170,433,395,275,487,78,3,1837,113,210,174,158,340,52,0,1041,31,42,19,24,70,13,0,200,1332,2208,1281,971,2115,353,196,8450
UCL314022,187,464,253,168,150,62,0,1283,111,373,251,228,254,56,3,1270,79,172,126,95,180,48,0,703,29,37,24,17,67,26,0,194,1182,2052,1095,828,1116,418,10,6695
UCL314023,211,463,207,149,288,80,0,1392,94,219,162,139,266,107,4,985,32,61,72,51,116,34,0,366,6,14,13,0,32,23,0,95,1410,2255,983,786,1669,454,7,7562
UCL315001,51,118,43,31,48,74,0,376,45,116,67,38,78,80,3,421,17,24,15,12,31,20,0,115,0,0,5,0,3,0,0,12,243,426,188,123,261,328,11,1575
UCL315002,56,102,68,34,63,10,0,323,14,67,49,41,42,4,0,220,7,19,10,10,22,4,0,76,0,0,0,5,7,0,0,11,396,630,297,210,380,36,0,1940
UCL315003,33,66,39,33,60,10,0,237,20,77,55,44,83,7,0,287,11,32,16,16,40,7,0,128,6,10,0,3,6,0,0,28,151,282,161,140,264,71,0,1071
UCL315004,53,31,0,0,10,12,0,108,19,5,0,0,17,5,0,42,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,342,214,14,4,173,81,3,833
UCL315005,27,59,27,22,45,16,0,197,24,45,20,34,58,16,0,195,14,14,10,17,34,7,0,94,3,5,5,0,16,7,0,37,155,261,92,112,246,117,0,984
UCL315006,28,36,4,5,19,17,0,111,14,16,4,8,22,6,0,66,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,209,221,45,69,187,102,0,834
UCL315007,71,187,68,54,125,12,0,521,58,135,103,91,152,29,0,579,25,64,35,49,113,23,0,304,15,8,3,3,41,41,0,110,458,742,380,321,719,190,5,2808
UCL315008,91,158,63,45,117,244,0,718,28,37,19,15,53,56,0,199,5,12,6,4,15,9,0,42,0,0,0,0,5,3,0,6,776,1107,395,327,859,1471,80,5006
UCL315009,63,114,63,49,74,20,0,379,33,89,66,79,110,17,0,405,25,52,36,42,111,24,0,288,15,13,13,15,104,27,0,189,363,537,290,289,666,156,14,2321
UCL315010,64,161,86,70,132,24,0,535,67,162,113,95,196,31,0,671,30,45,53,41,106,15,0,292,9,6,3,0,18,6,0,43,341,663,376,301,713,151,0,2545
UCL315011,50,114,64,30,73,25,0,362,73,111,139,102,162,22,0,607,30,49,46,50,90,17,0,278,0,8,4,3,21,11,0,60,216,356,291,211,389,99,0,1565
UCL315012,46,122,50,51,92,26,0,386,22,54,44,49,95,12,0,285,11,18,7,15,38,13,0,97,3,3,5,3,7,4,0,20,508,827,361,377,737,188,0,2991
UCL315013,33,42,21,16,31,14,0,158,11,22,17,9,27,4,0,97,5,7,4,11,17,8,0,56,3,0,0,0,4,0,0,8,258,367,163,133,288,104,0,1321
UCL315014,38,92,45,28,72,27,0,307,46,104,48,51,113,43,0,416,13,32,19,14,83,19,0,187,4,3,4,5,41,5,0,60,183,322,164,140,388,139,0,1348
UCL315015,39,105,45,23,57,13,0,286,21,50,17,27,58,9,0,175,10,15,11,7,29,5,0,80,3,0,0,4,7,5,0,18,305,477,218,171,386,75,0,1635
UCL315016,50,80,58,45,58,12,0,300,29,46,25,30,49,8,0,186,6,16,6,8,27,5,0,67,7,4,0,0,10,0,0,22,506,642,306,249,521,88,0,2314
UCL315017,68,118,49,39,108,69,0,458,49,70,58,45,116,33,0,374,15,25,4,12,64,19,0,144,7,11,0,4,51,16,0,90,439,493,233,177,659,298,8,2305
UCL315018,19,28,12,11,29,0,0,100,4,8,3,3,15,0,0,33,0,0,0,0,8,0,0,16,0,0,0,0,3,0,0,5,144,175,95,96,220,26,0,747
UCL315019,28,54,22,18,44,42,0,203,12,40,28,21,56,55,0,220,18,30,23,24,74,24,0,193,4,9,6,4,32,5,0,66,162,275,118,117,408,203,30,1304
UCL315020,54,102,39,29,66,15,4,304,27,64,25,32,73,15,0,235,19,18,17,14,56,12,0,132,9,0,0,0,23,7,0,46,334,480,193,161,445,136,7,1755
UCL315021,28,44,19,18,38,0,0,146,23,45,29,29,80,8,0,211,13,22,20,21,63,9,0,142,4,9,4,3,53,9,0,72,167,223,127,123,354,52,0,1038
UCL315022,87,107,43,28,111,79,0,459,61,71,38,31,109,84,0,403,11,17,10,14,34,18,0,95,3,0,0,0,13,4,0,21,471,571,238,192,638,464,11,2574
UCL315023,36,54,21,23,44,44,0,215,16,38,19,15,51,13,0,144,3,13,8,14,23,8,0,73,0,3,0,0,9,9,0,21,189,278,112,99,272,196,0,1148
UCL315024,92,114,39,28,145,58,0,482,98,100,66,42,147,75,0,524,0,26,20,16,42,20,0,123,4,3,0,0,9,0,0,12,369,524,218,146,585,302,14,2154
UCL315025,76,142,80,63,89,37,0,490,88,180,162,150,205,24,0,814,35,49,40,68,126,36,0,356,7,8,8,0,27,3,0,55,393,592,373,382,607,178,0,2525
UCL315026,73,141,77,41,79,21,0,425,61,111,95,63,115,24,0,471,28,66,51,46,109,32,0,327,16,9,16,9,59,66,0,171,571,770,426,303,642,227,3,2939
UCL315027,41,72,27,23,53,39,0,254,41,63,67,59,73,37,0,341,26,43,45,38,70,62,0,284,4,9,4,0,29,76,0,131,246,330,203,188,345,284,0,1589
UCL315028,17,49,28,14,20,4,0,133,22,33,15,17,42,12,0,141,5,8,8,13,15,6,0,47,0,0,0,0,9,0,0,9,201,299,133,125,216,45,0,1014
UCL315029,52,89,66,25,30,12,0,274,34,53,49,40,43,11,0,238,9,20,6,11,27,0,0,74,0,0,6,0,12,5,0,24,344,523,300,179,267,81,0,1685
UCL315030,40,38,6,0,20,14,0,123,11,9,0,0,6,6,0,36,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,4,340,319,40,6,237,76,3,1020
UCL315031,54,102,36,22,92,171,0,473,9,25,13,7,36,39,0,136,0,5,3,0,8,8,0,25,0,0,0,0,0,0,0,0,381,653,227,162,549,1157,6,3140
UCL315032,118,217,111,76,180,39,0,738,86,224,131,115,215,81,0,856,53,96,74,57,156,62,0,500,12,14,9,17,59,43,0,148,649,1078,536,437,1046,368,7,4118
UCL315033,40,49,41,35,59,18,0,243,26,72,57,44,99,11,0,315,16,29,14,25,63,11,0,163,3,8,5,4,11,5,0,31,173,274,176,154,305,73,0,1158
UCL315034,31,55,29,15,17,8,0,151,20,26,21,9,20,10,0,108,5,8,6,3,16,0,0,40,0,0,0,0,8,0,0,13,183,265,134,80,138,64,0,864
UCL315035,42,98,68,41,64,4,0,320,30,48,44,45,71,9,0,257,12,21,9,5,30,7,0,81,6,0,0,0,8,0,0,13,444,630,328,264,526,94,0,2284
UCL315036,27,61,32,17,55,29,0,229,30,51,23,41,58,40,0,240,16,15,11,20,84,14,0,154,6,7,5,0,30,6,0,52,217,312,152,125,416,232,8,1473
UCL315037,63,174,74,70,102,13,0,506,57,132,92,65,92,21,0,463,25,47,48,32,65,8,0,228,9,11,7,0,27,0,0,62,589,959,471,358,674,119,16,3181
UCL315038,43,98,53,31,38,6,0,270,16,28,27,21,42,3,0,140,12,16,12,6,22,0,0,64,0,0,3,0,3,0,0,12,312,507,234,130,246,49,0,1484
UCL315039,22,8,7,5,58,0,0,99,4,5,0,0,20,7,0,33,3,8,0,0,16,5,0,27,0,0,0,0,0,0,0,0,134,71,34,37,417,62,0,751
UCL315040,33,48,14,5,46,170,7,320,10,34,10,0,31,114,4,204,7,9,5,3,3,25,0,41,0,0,0,0,0,0,0,0,434,419,76,36,523,752,49,2298
UCL315041,28,53,32,28,34,23,0,199,10,36,29,27,33,20,6,153,3,6,6,9,25,15,0,59,0,0,0,0,9,0,0,9,184,263,143,110,234,141,3,1080
UCL315042,68,120,47,51,95,34,0,412,56,105,63,69,142,30,0,461,21,36,33,43,94,24,0,249,5,20,11,10,73,16,0,127,371,559,256,252,703,222,3,2372
UCL315043,23,41,19,28,51,8,0,167,18,44,47,38,83,6,0,232,14,17,9,12,47,17,0,124,5,5,0,3,24,3,0,44,119,211,123,115,288,50,0,907
UCL315044,130,171,97,69,148,58,0,680,63,128,80,117,167,64,0,622,41,68,53,70,190,49,0,467,34,34,13,8,133,34,0,255,636,855,453,389,1059,412,0,3807
UCL315045,72,158,59,45,97,12,5,451,35,85,52,41,69,13,0,304,9,29,19,17,38,3,0,115,0,6,0,0,11,4,0,17,438,739,317,209,513,85,5,2308
UCL315046,34,62,27,27,59,43,0,252,26,61,42,38,68,21,0,260,15,16,18,14,55,18,0,135,7,3,3,0,37,11,0,63,312,336,186,167,669,283,11,1956
UCL315047,29,74,41,26,47,7,0,220,15,34,19,25,53,8,0,155,15,23,11,14,26,3,0,90,7,5,0,7,9,0,0,23,292,433,177,155,348,72,0,1475
UCL315048,60,77,52,36,61,9,0,291,20,73,49,51,101,18,0,313,14,24,17,23,40,13,0,128,0,0,0,4,16,4,0,28,235,328,200,181,340,106,0,1394
UCL315049,48,159,68,43,61,57,0,437,40,103,67,40,54,38,0,343,11,45,24,34,45,15,0,165,6,9,0,0,10,3,0,37,346,654,302,206,312,248,4,2071
UCL315050,60,126,60,49,132,40,0,465,38,92,88,70,192,44,0,520,25,41,43,46,144,63,0,357,11,13,3,8,62,68,0,170,505,697,380,339,938,339,0,3204
UCL315051,97,184,112,72,120,20,0,608,57,115,93,86,124,14,0,493,28,45,40,38,92,15,0,263,11,13,3,4,34,10,0,68,731,1101,535,404,807,142,6,3721
UCL315052,54,131,63,54,92,5,0,396,45,114,85,56,103,13,0,422,29,60,37,17,66,19,0,226,5,4,7,0,25,0,0,41,496,851,399,259,642,155,0,2792
UCL315053,72,137,43,27,93,63,0,434,54,89,42,44,126,46,0,392,14,19,18,20,76,16,0,167,9,9,3,7,43,5,0,82,513,690,219,204,584,305,9,2527
UCL315054,72,141,81,67,135,22,0,522,55,79,57,75,164,26,0,457,20,41,23,36,81,33,0,233,6,8,0,5,19,22,0,59,539,684,351,371,834,254,3,3036
UCL315055,90,190,112,76,164,35,0,674,101,184,166,118,228,54,0,860,28,72,66,60,147,27,0,397,8,15,9,10,35,11,0,78,392,684,439,356,775,235,10,2886
UCL315056,29,89,48,21,46,14,0,255,35,75,55,42,62,20,0,292,17,34,30,20,57,26,0,185,3,10,7,0,30,28,0,76,242,401,224,144,293,124,0,1436
UCL315057,61,163,91,44,60,22,0,444,69,202,139,97,94,30,0,621,34,95,87,68,113,15,0,418,21,17,13,11,92,14,0,168,412,797,455,315,504,141,8,2634
UCL315058,49,82,29,26,60,8,0,258,20,27,27,24,38,12,0,151,15,7,6,10,24,7,0,70,4,0,0,0,7,0,0,13,509,680,276,259,543,104,0,2372
UCL315059,26,57,10,11,28,5,0,132,16,27,4,22,27,11,0,107,11,22,16,17,53,20,0,127,0,5,0,5,31,0,0,40,280,358,138,111,249,54,0,1190
UCL315060,48,84,36,24,31,0,0,221,10,34,22,22,34,4,0,123,9,12,14,4,18,0,0,49,4,3,0,0,0,0,0,11,330,559,231,192,292,25,0,1629
UCL315061,48,72,16,14,79,240,0,477,6,19,8,0,19,55,0,103,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,288,463,154,106,388,1401,7,2814
UCL315062,27,34,29,13,49,31,0,184,12,38,18,19,68,20,0,177,13,17,9,6,51,17,0,113,13,3,3,0,21,22,0,59,217,274,120,80,374,214,0,1280
UCL315063,33,45,27,15,39,14,0,176,15,32,28,22,51,24,0,173,17,29,15,20,32,6,0,122,7,4,4,3,22,5,0,30,185,247,147,110,325,133,12,1168
UCL315064,19,38,17,20,30,18,0,142,20,28,15,27,44,13,0,149,9,10,4,5,47,11,0,73,0,3,0,0,32,3,0,40,190,268,124,132,268,180,0,1165
UCL315065,23,34,32,16,37,10,0,157,11,39,23,26,62,17,0,179,7,19,17,15,33,6,0,102,4,10,4,6,49,7,0,73,115,213,117,91,293,86,0,917
UCL315066,65,137,77,46,57,23,0,405,39,97,58,55,56,18,0,315,15,27,28,18,37,10,0,141,6,4,3,4,18,4,0,37,442,745,391,261,460,158,0,2477
UCL315067,45,124,78,51,85,16,0,393,51,98,104,79,129,25,0,498,9,45,34,22,80,10,0,207,10,0,0,3,19,5,0,34,314,485,318,250,523,112,5,2012
UCL315068,64,77,33,17,58,17,0,275,38,57,34,33,55,26,0,233,10,23,11,15,39,18,0,121,8,0,4,0,24,4,0,41,281,369,166,136,345,167,0,1464
UCL315069,51,80,49,51,127,50,0,424,33,67,65,61,149,54,0,432,21,31,12,29,89,26,0,212,3,3,5,0,38,17,0,66,252,381,243,227,641,305,0,2045
UCL315070,38,60,27,10,71,91,0,298,17,45,22,21,58,47,0,201,4,11,8,4,15,11,0,69,7,0,5,0,5,4,0,21,267,368,160,134,386,528,3,1850
UCL315071,32,71,30,15,49,40,0,240,31,58,21,26,70,47,0,255,15,16,4,9,29,29,0,106,0,0,0,0,4,6,0,11,197,308,110,89,257,148,0,1110
UCL315072,27,33,12,14,45,29,0,158,15,17,18,18,39,16,0,125,16,8,11,13,32,11,0,89,6,0,0,0,22,12,0,41,163,179,81,83,339,194,61,1098
UCL315073,50,72,29,31,72,30,0,283,31,51,32,53,87,26,0,281,14,21,26,17,68,15,0,169,8,10,7,4,59,9,0,95,261,352,186,175,478,179,0,1628
UCL315074,62,125,74,56,131,46,0,498,64,128,95,89,217,57,0,656,35,60,30,55,131,37,0,353,0,5,6,9,64,15,0,102,425,635,334,323,875,310,0,2911
UCL315075,50,108,47,22,53,58,0,340,35,101,55,42,69,29,0,338,15,29,17,21,37,20,0,141,6,12,5,0,6,3,0,35,215,405,187,117,234,178,8,1358
UCL315076,83,158,71,38,138,26,0,516,51,96,58,67,155,20,0,453,29,47,43,33,117,22,0,296,12,15,9,8,63,6,0,117,547,841,382,302,1111,189,12,3387
UCL315077,57,36,9,13,68,13,0,208,27,8,10,0,40,3,0,89,5,5,0,0,4,3,0,15,0,0,0,0,0,0,0,0,457,211,100,38,513,118,4,1442
UCL315078,50,92,36,30,54,20,0,282,33,67,45,53,103,16,0,320,29,37,37,30,101,23,0,263,13,9,16,11,133,8,0,185,402,528,265,242,662,155,16,2267
UCL315079,49,117,59,41,36,14,0,314,22,64,56,47,58,4,0,250,19,31,22,12,34,0,0,109,4,5,3,3,13,0,0,28,263,452,245,179,244,73,4,1449
UCL315080,243,328,119,48,227,268,12,1245,236,314,125,69,262,294,4,1297,79,89,57,33,178,116,7,566,14,9,0,6,40,21,0,93,1240,1461,526,297,1478,1291,112,6405
UCL315081,68,137,71,42,125,21,0,464,51,99,40,53,144,24,0,414,29,30,35,39,141,26,0,297,9,20,12,6,74,6,0,127,513,681,328,258,883,158,4,2845
UCL315082,50,88,50,31,63,24,3,304,39,75,59,35,77,27,0,312,12,28,24,22,23,8,0,117,3,0,0,0,4,4,0,11,228,349,183,133,237,118,8,1249
