UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL115138,26,48,26,12,33,3,0,153,18,36,28,32,39,4,0,149,12,11,7,4,19,4,0,60,0,0,0,0,4,0,0,8,334,485,191,160,301,66,0,1546
UCL115139,46,112,60,39,66,27,0,352,58,135,90,85,136,55,0,550,39,52,34,34,96,49,0,308,9,7,12,5,57,22,0,107,323,540,284,227,518,233,0,2133
UCL115140,40,72,26,21,34,11,0,204,25,81,59,33,75,27,0,304,8,17,19,10,33,9,0,99,5,9,0,7,11,0,0,28,192,300,156,107,231,83,4,1072
UCL115141,32,63,25,19,63,10,0,216,20,33,34,28,53,19,0,191,9,32,17,19,36,12,0,128,5,4,4,3,33,12,0,65,211,312,162,133,335,119,0,1274
UCL115142,95,168,70,51,73,29,0,484,68,171,139,99,113,33,0,624,17,82,56,47,81,22,3,307,3,12,7,11,34,5,0,79,330,638,363,259,401,125,3,2117
UCL115143,47,100,63,33,77,17,0,344,37,100,50,43,89,25,0,347,11,31,20,21,80,14,0,178,6,7,5,9,30,13,0,59,345,507,285,213,451,116,0,1924
UCL115144,85,155,84,38,102,33,0,492,86,143,107,75,135,58,0,618,30,80,60,31,109,36,0,344,17,18,7,14,50,9,0,111,396,670,383,242,572,224,0,2495
UCL115145,33,100,43,21,36,6,0,234,32,88,58,50,62,20,0,307,18,39,28,22,52,21,0,173,4,3,3,0,7,7,0,26,199,405,195,148,237,85,0,1266
UCL115146,83,192,109,43,49,8,0,479,58,169,104,55,87,21,0,494,30,57,48,33,83,13,0,259,16,15,4,14,35,11,0,95,480,769,391,221,403,95,0,2357
UCL115147,21,52,17,12,15,5,0,127,20,43,37,27,28,3,0,166,5,5,15,3,13,0,0,43,0,0,0,0,5,0,0,7,165,275,142,98,146,30,0,857
UCL115148,34,54,28,24,34,13,0,177,37,53,33,38,56,15,0,229,19,37,27,26,68,30,0,198,9,5,3,5,38,4,0,67,192,269,138,134,307,108,0,1145
UCL115149,19,35,11,0,44,88,0,200,15,23,5,5,16,61,0,136,5,8,4,0,13,25,0,49,0,0,0,0,0,12,0,13,111,171,56,34,193,507,9,1079
UCL115150,22,47,16,17,36,3,0,147,19,27,34,24,29,4,0,138,8,8,9,4,19,4,0,51,0,4,0,0,4,0,0,9,163,214,138,89,206,44,0,858
UCL115151,44,72,34,22,85,13,0,273,21,51,33,29,79,11,0,234,8,17,18,12,42,3,0,97,0,6,4,0,13,0,0,28,273,423,220,155,484,73,0,1626
UCL115152,20,41,29,19,41,14,0,170,13,34,23,22,71,12,0,174,12,17,8,14,56,20,0,132,4,4,7,0,37,3,0,53,131,207,109,92,309,76,0,925
UCL115153,25,54,22,14,65,25,0,209,24,37,21,22,72,25,0,199,11,14,18,10,53,40,0,147,4,6,5,3,29,32,0,77,172,257,105,88,363,215,7,1202
UCL115154,32,65,21,17,76,23,0,224,17,27,18,18,55,12,0,152,10,18,10,18,47,13,0,109,0,4,0,0,29,6,0,35,178,291,110,114,391,168,6,1247
UCL115155,101,163,89,48,183,50,0,630,65,108,78,71,171,43,0,535,32,58,36,50,133,40,0,346,12,22,6,0,87,28,0,156,524,788,382,321,1165,495,12,3684
UCL115156,30,80,39,19,47,24,0,241,29,50,36,35,83,40,0,280,14,21,21,19,61,20,0,146,9,5,0,0,45,7,0,64,164,264,144,107,340,179,0,1192
UCL115157,21,56,25,16,68,16,0,195,14,38,27,42,74,16,0,216,9,16,23,23,57,12,0,140,3,0,6,5,30,8,0,48,142,243,135,145,353,104,0,1121
UCL115158,71,98,47,35,76,36,0,364,42,77,37,46,88,29,0,320,32,44,27,31,86,30,0,248,10,26,8,3,54,28,0,136,431,632,263,229,573,250,7,2380
UCL115159,32,64,56,32,36,7,0,233,18,38,35,20,40,4,0,150,4,12,9,11,26,0,0,66,9,5,6,5,8,0,0,25,264,415,246,155,296,52,0,1437
UCL115160,36,81,54,16,43,3,0,237,15,49,31,16,34,8,0,155,8,15,4,6,12,0,0,48,0,4,0,0,7,0,0,7,392,650,336,199,365,70,0,2013
UCL115161,98,186,90,78,169,48,0,671,44,146,95,100,193,45,0,620,50,67,57,46,139,44,0,404,16,23,10,5,66,32,0,156,551,948,452,421,1015,303,0,3687
UCL115162,76,120,66,21,60,5,0,342,39,96,67,48,69,3,0,322,24,46,32,30,64,11,0,217,12,13,4,3,23,7,0,54,500,732,351,228,488,74,0,2375
UCL115163,31,83,44,34,51,9,0,253,18,49,25,24,56,0,0,181,17,15,17,20,64,9,0,136,7,9,0,0,90,10,0,115,278,436,195,168,473,46,0,1605
UCL115164,31,41,30,10,43,12,0,156,23,48,39,41,67,19,0,232,24,33,28,22,66,17,0,192,0,7,3,0,19,0,0,42,189,271,161,117,348,70,0,1152
UCL115165,13,30,23,11,39,9,0,125,16,17,23,15,29,4,0,98,4,9,15,9,22,7,0,69,0,5,5,0,9,0,0,16,173,210,138,90,212,68,0,884
UCL121001,17,36,21,20,43,3,0,141,13,23,27,18,44,11,0,128,7,10,12,6,24,3,0,71,4,4,0,0,7,0,0,22,145,176,99,79,174,42,0,714
UCL121002,10,16,11,6,22,11,0,80,6,14,14,3,33,15,0,87,4,8,4,4,28,12,0,63,6,0,0,0,15,5,0,31,77,91,44,35,151,83,4,480
UCL121003,35,45,33,23,12,9,0,159,25,37,24,35,22,0,0,145,12,10,11,9,18,7,0,65,0,0,0,0,9,0,0,9,121,190,110,86,79,36,4,617
UCL121004,14,35,23,12,15,3,0,108,13,29,15,24,17,0,0,96,3,11,11,9,10,6,0,49,0,3,0,4,12,0,0,17,148,188,122,91,118,28,0,691
UCL121005,9,21,17,15,11,3,0,80,3,21,11,12,8,8,0,64,4,11,8,0,0,0,0,25,0,0,0,0,0,0,0,0,83,129,84,53,75,24,0,444
UCL121006,26,49,19,4,29,7,0,134,11,31,24,13,30,18,0,125,3,19,11,9,10,6,0,69,0,0,6,0,4,0,0,15,76,182,85,52,99,54,0,546
UCL121007,24,34,14,20,43,6,0,142,13,37,23,25,46,19,0,162,9,15,17,18,33,22,0,119,5,9,6,3,12,31,0,68,128,184,98,102,204,109,0,819
UCL121008,7,9,3,4,23,21,0,69,3,8,12,3,21,18,0,63,0,0,6,3,5,9,0,23,0,0,0,0,0,3,0,7,34,31,24,33,164,154,0,442
UCL121009,14,25,13,3,29,24,0,116,6,10,18,14,43,20,0,108,4,10,4,8,42,14,0,79,3,4,0,3,21,14,0,46,116,152,74,67,230,165,0,807
UCL121010,18,47,22,9,21,4,0,132,10,50,24,23,23,22,0,147,4,20,5,5,10,7,0,57,0,4,0,0,4,0,0,9,93,205,103,64,112,48,6,630
UCL121011,14,29,21,13,30,23,0,132,10,23,22,17,41,8,0,122,3,9,3,7,20,8,0,56,4,5,5,0,9,0,0,24,129,140,92,86,208,111,0,765
UCL121012,19,50,46,32,30,0,0,177,15,23,20,20,25,0,0,106,3,6,9,6,9,0,0,33,0,0,0,4,0,0,0,9,139,212,132,104,134,8,0,719
UCL121013,16,18,5,11,51,14,0,120,12,7,4,0,20,17,0,57,0,7,4,5,14,7,0,29,0,6,0,0,10,4,0,15,77,106,45,35,225,111,0,607
UCL121014,14,29,14,8,22,8,0,97,6,20,14,7,24,10,0,79,3,3,10,9,12,4,0,40,0,0,0,0,5,0,0,8,79,109,61,49,95,56,0,445
UCL121015,21,68,21,15,22,0,0,150,11,24,17,8,21,3,0,76,4,15,10,12,3,3,0,47,0,3,0,0,0,0,0,11,133,230,101,54,94,20,0,633
UCL121016,18,39,18,7,18,3,0,106,14,19,10,0,8,5,0,60,3,4,7,3,5,0,0,23,0,0,0,0,11,0,0,11,88,142,67,31,91,36,0,451
UCL121017,23,42,14,12,17,3,0,116,12,20,4,3,9,5,0,57,3,8,4,0,5,5,0,21,0,0,0,0,0,0,0,0,126,215,92,66,91,19,0,618
UCL121018,17,52,13,20,16,8,0,124,11,16,22,13,29,0,0,98,0,5,17,11,14,4,0,57,0,0,0,0,0,0,0,0,113,194,113,102,127,31,0,676
UCL121019,13,39,17,9,13,0,0,90,12,29,18,24,18,0,0,100,5,7,7,8,12,0,0,39,0,0,0,0,0,0,0,8,99,190,86,64,81,3,0,524
UCL121020,16,35,17,8,10,3,0,80,11,18,12,8,12,4,0,58,0,6,3,0,3,0,0,21,3,0,0,0,0,0,0,3,98,146,79,45,65,23,0,448
UCL121021,9,23,4,5,17,10,0,77,8,16,12,13,21,16,0,86,3,13,0,3,16,0,0,42,0,7,0,0,20,3,0,33,83,130,59,34,117,70,0,496
UCL121022,12,34,15,19,37,4,0,114,13,20,19,12,32,10,0,102,5,15,11,7,45,9,0,96,9,3,3,0,15,4,0,35,92,143,70,56,184,64,0,611
UCL121023,14,43,35,21,38,7,0,152,24,36,30,24,40,10,0,165,8,12,4,4,17,0,0,44,0,0,0,0,11,4,0,16,62,138,85,73,136,39,0,538
