UCL_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
UCL115061,0,0,0,0,0,6,4,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,8,3,6,0,0,0,0,25,0,0,4,0,0,0,0,0,0,4,0,5,7,5,3,3,6,0,0,27,0,0,0,0,0,0,0,0,0,6,0,4,0,4,0,0,0,0,0,26,8,3,0,0,4,0,0,0,0,20,0,0,3,0,8,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,0,0,3,0,0,0,0,0,0,7,0,0,4,7,8,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,5,0,0,0,13
UCL115062,0,0,3,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,10,8,5,0,0,0,31,0,0,0,0,0,0,0,0,0,5,4,14,22,22,16,7,0,0,0,86,0,0,6,4,3,0,0,0,0,14,4,3,3,3,3,7,7,0,0,27,4,0,0,0,0,0,0,0,0,10,0,0,9,3,5,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,4,3,0,3,3,0,0,0,20,0,0,0,7,0,3,0,0,0,15,0,0,0,6,0,4,0,0,0,20,0,0,3,0,3,4,6,0,0,16,0,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,5,6,3,8,7,0,0,0,0,30,0,0,3,3,5,5,0,0,0,17
UCL115063,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,4,6,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,10,17,20,20,7,5,0,0,85,0,0,4,7,5,6,0,0,0,15,0,0,3,8,3,0,0,0,0,14,0,4,0,0,0,0,0,0,0,10,0,0,5,0,3,6,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,6,0,0,4,0,0,6,0,0,0,4,0,0,5,9,4,3,7,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,3,0,6,4,0,0,0,15,0,0,6,7,0,0,0,0,0,11,4,0,0,0,0,4,4,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,16,0,0,3,6,3,4,0,0,0,17
UCL115064,0,0,0,3,0,0,0,0,0,7,0,0,4,0,3,0,0,0,0,17,3,8,3,14,17,27,3,0,0,65,0,0,3,5,4,5,0,0,0,20,27,16,48,50,41,24,10,0,0,223,0,0,0,9,5,3,0,0,0,23,7,4,8,3,7,12,4,0,0,51,35,8,10,14,10,7,4,0,0,89,0,3,0,6,5,13,3,0,0,39,0,5,13,11,10,4,0,0,0,38,0,0,3,6,10,3,0,0,0,29,0,0,0,3,9,0,0,0,0,15,0,8,19,21,17,13,9,3,0,85,3,0,6,8,8,6,0,0,0,30,0,10,26,39,24,23,0,0,0,118,0,3,12,19,20,27,4,0,0,83,0,0,17,12,20,25,9,0,0,88,5,0,0,5,0,0,3,0,0,14,0,0,0,4,7,3,4,0,0,27,5,5,8,7,12,4,0,0,0,33
UCL115065,0,6,8,11,5,9,3,5,0,49,0,0,0,0,3,0,0,0,0,5,0,0,7,4,0,4,0,0,0,16,0,0,0,8,4,0,0,0,0,11,0,0,15,4,7,15,0,0,0,53,0,0,4,0,0,3,0,0,0,13,5,5,9,0,5,5,0,0,0,34,0,0,0,3,0,0,3,0,0,17,0,0,7,4,4,9,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,6,9,20,10,8,0,0,51,0,0,3,3,0,5,0,0,0,8,0,0,4,5,13,4,6,0,0,34,0,0,3,0,0,0,0,0,0,3,4,3,8,4,3,4,0,0,0,24,0,3,6,6,4,3,0,0,0,24
UCL115066,0,0,10,0,5,3,0,0,0,22,0,0,0,0,0,0,0,0,0,8,3,12,8,10,7,12,3,0,0,57,0,0,0,7,5,3,0,0,0,19,15,31,74,48,35,18,4,0,0,228,0,0,5,8,10,10,0,0,0,29,4,0,9,3,4,7,0,0,0,40,11,0,0,0,0,0,0,0,0,19,0,0,5,10,10,14,0,0,0,37,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,4,0,0,0,5,0,0,3,0,0,0,0,0,0,12,0,0,9,6,5,0,0,0,0,17,0,0,5,0,3,0,0,0,0,17,0,0,4,3,6,18,4,0,0,45,0,0,4,4,0,5,0,0,0,15,0,0,5,3,7,6,0,0,0,19,0,0,3,3,0,0,0,0,0,9,5,10,17,7,7,10,0,0,0,50,5,6,13,12,7,4,6,0,0,45
UCL115067,0,5,0,5,0,9,6,4,0,30,0,0,5,0,10,0,0,0,0,14,5,4,4,8,5,8,0,0,0,44,0,0,0,0,0,4,0,0,0,6,0,5,11,22,10,16,3,0,0,77,0,0,0,0,0,0,0,0,0,3,4,10,10,4,3,7,0,0,0,40,8,6,0,6,9,0,3,0,0,31,0,0,0,6,6,5,13,0,0,31,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,7,5,0,0,10,0,0,5,0,0,5,0,0,0,7,0,3,9,3,9,9,0,0,0,33,0,0,0,4,3,0,0,0,0,9,0,0,3,0,7,9,0,0,0,24,0,0,0,3,7,0,0,0,0,9,0,0,4,0,3,8,0,0,0,20,0,0,5,7,0,8,3,0,0,29
UCL115068,0,4,0,3,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,24,0,0,0,0,6,0,0,0,0,4,5,9,10,10,9,5,3,0,0,46,0,0,0,0,4,4,0,0,0,12,7,3,8,4,8,6,0,0,0,32,4,4,3,5,4,5,3,0,0,30,0,0,3,0,6,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,0,0,8,0,0,0,5,10,6,0,0,0,16,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,5,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,6,0,0,11
UCL115069,8,8,11,14,7,5,0,0,0,57,0,0,4,0,3,0,0,0,0,14,5,0,8,3,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,11,4,7,9,16,11,14,4,0,0,57,5,0,4,0,0,7,0,0,0,13,9,0,6,4,0,0,0,0,0,28,0,0,3,4,6,4,0,0,0,18,0,0,3,0,9,15,6,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,7,0,0,35,0,0,3,4,0,4,0,0,0,12,0,0,4,6,3,0,0,0,0,9,0,0,0,0,0,4,0,0,0,3,0,0,0,4,3,3,0,0,0,10,0,0,4,0,9,6,4,0,0,22
UCL115070,0,0,0,0,3,6,0,0,0,11,5,11,48,65,49,21,3,0,0,193,0,11,19,8,13,17,0,0,0,67,0,0,7,0,5,0,0,0,0,17,12,12,39,26,22,14,5,0,0,132,4,0,11,9,4,0,0,0,0,34,8,6,8,10,6,0,0,0,0,52,18,4,7,3,4,7,0,0,0,39,0,3,8,20,16,11,7,0,0,65,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,4,7,5,7,0,0,0,0,21,0,9,11,3,5,0,0,0,0,29,0,8,3,5,11,5,3,0,0,30,3,0,0,4,4,5,0,0,0,15,0,0,7,12,5,4,0,0,0,22,0,0,0,0,0,0,0,0,0,8,0,4,17,8,9,8,0,0,0,49,0,6,14,14,3,3,4,0,0,43
UCL115071,0,0,0,0,0,5,6,0,0,14,4,11,42,37,41,26,3,0,0,161,0,3,3,4,7,3,3,0,0,27,0,0,0,3,0,0,0,0,0,11,3,7,17,10,7,12,0,0,0,50,0,0,0,8,0,0,0,0,0,9,0,3,4,7,6,3,0,0,0,30,7,4,0,3,10,4,4,0,0,39,0,0,0,3,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,7,0,4,0,0,0,3,0,0,0,5,0,0,5,0,0,7,0,0,0,16,0,0,3,0,0,5,4,0,0,18,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,5,3,8,7,3,0,3,0,0,23,0,0,6,0,8,0,5,0,0,25
UCL115072,0,0,6,0,6,5,4,0,0,22,0,0,0,5,0,0,0,0,0,3,0,0,4,6,11,8,4,0,0,41,0,0,3,5,4,3,0,0,0,18,6,9,11,14,11,18,0,0,0,68,0,0,4,3,4,3,0,0,0,16,12,3,0,0,6,4,0,0,0,30,12,3,3,4,3,0,0,0,0,26,0,0,0,0,3,7,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,11,0,4,0,0,9,0,0,0,0,13,0,0,3,9,15,11,6,0,0,42,0,0,4,4,3,5,0,0,0,21,0,0,6,0,4,8,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,9,7,0,4,4,3,0,0,0,0,17
UCL115073,5,0,7,0,4,5,5,6,0,31,0,0,0,0,0,3,0,0,0,6,3,9,32,33,20,17,3,0,0,111,0,0,5,0,0,0,0,0,0,4,3,8,19,12,18,9,3,0,0,70,0,0,0,0,0,5,0,0,0,4,0,5,0,3,0,5,0,0,0,17,5,4,6,4,9,5,0,0,0,38,0,0,0,0,5,5,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,3,0,0,14,0,0,0,4,0,0,0,0,0,9,3,4,0,3,6,9,0,0,0,29,0,0,9,0,3,5,0,0,0,17,0,0,4,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,6,0,6,4,5,0,0,0,0,16,6,0,5,3,0,0,0,0,0,25
UCL115074,5,22,41,36,17,25,4,3,0,152,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,7,3,0,0,23,0,0,0,0,0,0,0,0,0,3,3,7,11,3,4,18,5,0,0,52,0,0,0,0,0,0,0,0,0,10,4,3,4,5,5,5,0,0,0,26,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,12,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,6,0,0,0,17,5,0,3,10,14,3,0,0,0,39,0,0,3,5,4,0,0,0,0,13,0,0,3,0,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,4,3,3,4,0,0,0,16,0,0,0,5,0,7,0,0,0,21
UCL115075,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,3,0,7,5,6,7,9,3,0,0,43,0,0,0,0,4,0,0,0,0,3,6,3,0,0,0,4,0,0,0,16,3,0,0,0,3,6,0,0,0,18,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,9,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,3,0,0,6
UCL115076,0,4,7,12,4,8,10,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,3,0,0,15,0,0,0,5,0,0,0,0,0,10,0,3,13,11,12,9,7,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,6,7,3,0,5,0,0,24,4,5,0,0,0,3,0,0,0,16,0,3,7,4,5,13,8,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,11,9,18,10,0,0,0,49,0,0,4,0,7,0,0,0,0,11,0,0,4,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,3,0,0,0,15,4,5,5,0,3,7,0,0,0,21
UCL115077,0,0,0,0,0,3,0,0,0,8,0,0,0,4,0,3,0,0,0,11,0,0,6,0,0,6,10,0,0,25,0,0,0,0,0,0,0,0,0,3,3,8,14,18,10,12,0,0,0,62,0,0,0,0,0,3,4,0,0,4,7,0,9,3,7,9,0,0,0,37,6,3,10,7,10,7,3,0,0,48,0,0,0,3,7,11,3,0,0,22,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,6,0,5,0,5,0,0,0,16,0,0,0,0,8,6,7,0,0,14,0,0,6,8,8,10,0,0,0,24,0,0,0,0,11,10,3,0,0,19,0,0,8,0,7,9,5,0,0,25,0,0,0,5,0,0,0,0,0,12,0,0,4,0,5,3,5,0,0,15,0,4,0,0,0,15,3,0,0,20
UCL115078,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,6,0,0,0,9,3,0,0,0,3,6,0,0,0,16,0,0,0,0,0,0,0,0,0,4,5,5,9,4,8,12,3,0,0,44,0,0,0,0,3,0,0,0,0,3,3,0,5,7,3,0,0,0,0,18,0,3,4,9,5,7,0,0,0,30,0,0,0,0,0,4,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,15,0,0,0,0,4,8,3,0,0,11,0,0,0,3,0,3,4,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,3,3,3,3,4,0,0,21,0,0,0,0,4,0,0,0,0,6,0,3,4,0,0,4,0,0,0,6,0,0,5,6,5,5,3,0,0,23
UCL115079,5,10,19,16,13,27,9,0,0,96,0,0,0,0,0,0,0,0,0,0,4,0,11,5,5,3,0,0,0,25,0,0,3,5,3,3,0,0,0,12,3,13,16,7,12,22,3,0,0,77,0,0,7,0,0,0,0,0,0,6,3,11,6,6,6,6,7,0,0,46,5,0,0,0,4,9,0,0,0,22,0,3,6,6,4,6,9,0,0,33,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,5,0,0,0,8,0,0,6,0,0,6,6,0,0,13,0,0,7,0,14,17,4,0,0,48,0,0,4,3,6,7,0,0,0,19,0,0,3,4,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,4,0,5,6,3,3,0,0,25,0,6,6,3,6,9,0,0,0,36
UCL115080,0,5,0,4,0,4,0,0,0,8,0,0,3,9,0,0,0,0,0,17,7,5,18,17,19,13,9,0,0,79,0,0,5,0,4,0,0,0,0,15,15,14,50,34,11,10,0,0,0,136,0,0,6,5,5,3,4,0,0,17,0,3,7,5,11,12,0,0,0,47,3,0,4,9,0,0,0,0,0,20,0,0,11,19,10,16,5,0,0,57,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,6,4,0,0,0,23,0,3,0,3,3,9,0,0,0,14,0,0,3,6,8,0,0,0,0,23,0,6,6,6,3,0,3,0,0,23,0,0,0,4,3,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7,10,3,10,8,5,0,0,38,0,6,3,9,12,7,0,0,0,35
UCL115081,3,12,40,19,20,30,5,3,0,138,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,12,0,6,0,0,0,0,23,3,8,33,7,9,8,5,0,0,73,0,0,5,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,10,0,0,4,3,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,9,3,6,4,0,0,0,18,0,0,3,10,3,7,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,13,0,3,16,6,3,3,0,0,0,30
UCL115082,0,3,3,4,4,8,4,0,0,27,0,0,0,0,4,0,0,0,0,3,3,3,3,5,9,4,0,0,0,21,0,0,0,0,5,3,0,0,0,7,0,9,11,3,4,7,0,0,0,35,0,0,0,0,0,3,0,0,0,9,4,0,3,0,0,4,0,0,0,14,0,0,3,0,0,0,0,0,0,4,0,0,3,3,3,7,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,4,9,9,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,6,0,0,0,12
UCL115083,0,5,10,7,3,0,4,0,0,38,0,0,4,0,0,0,0,0,0,3,5,11,23,26,32,21,6,0,0,117,0,0,0,4,3,0,0,0,0,6,12,12,22,14,25,14,0,0,0,101,0,0,4,0,8,6,0,0,0,17,4,4,13,9,0,10,4,0,0,47,5,0,3,0,4,5,0,0,0,22,0,0,4,14,14,25,8,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,4,6,3,0,0,0,11,0,0,4,13,3,8,0,0,0,30,0,0,0,5,6,3,3,0,0,18,0,0,6,0,0,7,4,0,0,14,0,3,0,0,0,0,0,0,0,7,0,3,4,4,5,5,4,0,0,21,6,0,6,12,10,8,0,0,0,39
UCL115084,0,0,0,6,4,7,5,0,0,22,0,0,0,0,0,0,0,0,0,3,0,4,4,0,3,6,4,0,0,23,0,0,0,0,0,0,0,0,0,4,4,0,4,8,10,18,5,0,0,48,0,0,0,0,0,0,0,0,0,6,3,0,5,3,3,9,0,0,0,26,0,6,0,0,3,3,0,0,0,20,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,6,0,0,0,10,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,9,0,0,0,0,4,7,0,0,0,10,0,0,0,4,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,4,0,0,4,0,0,0,3,0,4,0,0,5,4,3,0,0,19
UCL115085,0,0,3,0,0,3,0,0,0,8,0,0,0,4,7,0,0,0,0,9,4,0,5,6,6,8,0,0,0,33,0,0,0,0,0,3,0,0,0,7,10,9,7,11,13,15,3,0,0,59,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,7,0,3,0,17,3,0,3,4,0,0,0,0,0,17,0,0,0,6,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,3,0,0,8,0,3,0,3,4,5,0,0,0,23,0,0,0,0,3,0,0,0,0,5,0,0,4,9,9,0,0,0,0,22,0,0,3,3,10,0,0,0,0,19,0,0,8,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,5
UCL115086,0,0,6,0,5,0,0,0,0,14,0,0,4,0,0,0,0,0,0,8,0,4,0,5,6,0,0,0,0,16,0,0,8,8,7,6,0,0,0,24,5,8,47,31,22,18,4,0,0,138,0,3,6,0,0,3,0,0,0,15,8,12,28,4,7,5,3,0,0,65,26,70,104,28,17,24,11,0,0,279,8,13,16,10,3,8,4,0,0,53,0,5,7,9,10,5,0,0,0,30,0,4,3,4,8,3,0,0,0,19,3,4,6,3,4,0,0,0,0,23,0,0,13,13,11,13,3,0,0,44,4,9,8,4,0,4,0,0,0,29,0,4,19,21,16,11,0,0,0,69,0,20,25,10,12,3,4,0,0,71,0,0,0,10,7,14,4,0,0,39,12,60,79,19,5,14,0,0,0,197,0,4,7,6,7,5,6,0,0,31,0,11,20,4,8,0,0,0,0,50
