UCL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
UCL215042,70,103,147,89,63,34,42,52,14,610
UCL215043,145,155,336,196,219,134,184,217,32,1630
UCL215044,96,143,131,127,76,91,54,94,11,814
UCL215045,176,197,274,238,160,159,131,229,28,1586
UCL215046,90,151,149,102,107,59,53,73,24,808
UCL215047,89,110,229,124,129,76,129,122,27,1044
UCL215048,71,84,172,107,95,76,82,119,28,823
UCL215049,156,169,100,62,66,67,10,55,13,704
UCL215050,290,469,166,133,136,99,35,72,18,1419
UCL215051,157,286,338,267,194,131,173,250,25,1830
UCL215052,84,128,90,66,54,40,21,47,10,541
UCL215053,255,297,335,244,159,196,91,194,29,1799
UCL215054,57,80,112,115,91,85,72,121,18,755
UCL215055,119,135,88,93,80,50,18,49,12,660
UCL215056,46,56,132,105,49,41,64,97,13,601
UCL215057,69,174,115,87,84,51,44,91,16,732
UCL215058,55,47,66,62,34,40,32,88,11,429
UCL215059,155,214,167,141,97,81,35,107,12,1007
UCL215060,135,175,194,184,130,126,112,187,17,1263
UCL215061,115,112,137,115,97,53,59,142,23,848
UCL215062,80,97,96,83,68,57,42,99,19,630
UCL215063,72,71,70,56,52,33,41,63,3,463
UCL215064,116,134,100,97,74,54,74,195,21,873
UCL215065,158,215,205,195,155,117,103,230,35,1409
UCL215066,59,85,66,94,62,68,51,113,12,610
UCL215067,82,68,53,48,32,19,61,59,16,436
UCL215068,142,198,164,186,137,118,62,109,26,1139
UCL215069,260,409,176,174,138,95,42,120,31,1447
UCL215070,110,117,178,148,109,143,119,199,38,1158
UCL215071,243,408,320,222,259,123,101,115,40,1848
UCL215072,119,66,76,48,52,34,89,354,59,900
UCL215073,123,144,150,156,88,87,121,173,24,1061
UCL215074,264,415,519,264,361,195,192,234,47,2484
UCL215075,38,63,94,82,53,55,34,69,11,501
UCL215076,138,153,131,121,115,60,80,173,18,1004
UCL215077,114,146,116,83,84,56,24,57,14,695
UCL215078,117,131,244,120,143,77,68,95,12,1009
UCL215079,108,99,105,132,79,78,46,157,16,831
UCL215080,93,135,180,178,98,69,71,132,26,983
UCL215081,234,326,269,223,212,151,135,268,34,1862
UCL215082,107,201,225,157,128,71,95,108,11,1108
UCL215083,88,100,115,145,95,67,95,132,20,855
UCL215084,39,54,89,64,50,67,62,95,13,535
UCL215085,61,58,124,67,76,50,56,68,10,563
UCL215086,178,300,251,208,217,138,136,208,17,1663
UCL215087,105,96,188,97,113,54,74,68,10,815
UCL215088,103,163,102,127,67,36,45,85,17,754
UCL215089,104,131,135,168,83,78,65,103,15,891
UCL215090,97,147,181,113,80,65,75,119,12,894
UCL215091,177,191,121,66,135,77,23,55,16,851
UCL215092,328,658,245,241,222,135,56,136,33,2045
UCL215093,192,219,548,290,220,152,183,256,30,2096
UCL215094,57,63,70,64,60,54,23,45,7,448
UCL215095,30,56,92,80,45,31,50,78,13,468
UCL215096,163,190,245,143,160,123,69,97,19,1210
