UCL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
UCL112002,3833,297,92,17,12,4244,4079,181,36,0,0,4303,2030,795,425,14,8,3264,323,119,52,0,4,498,50,58,7,0,0,113,514,117,41,0,4,684,47,19,8,5,0,84,20,9,0,0,0,30,2989,1109,538,22,17,4674,110,28,32,0,0,173,486,143,69,36,0,726,11493,1765,769,74,29,14124
UCL112003,4855,150,97,0,8,5112,4372,67,62,0,3,4510,1361,131,270,12,6,1776,36,48,37,0,0,123,77,77,84,4,0,242,463,32,57,5,4,562,28,3,14,3,3,53,10,5,5,0,0,20,1976,297,463,21,15,2776,128,20,27,0,9,184,408,35,60,7,21,536,11747,576,705,36,54,13114
UCL112004,4083,378,58,28,10,4553,2586,82,32,6,5,2709,955,247,155,5,0,1360,80,24,9,0,0,113,87,27,16,0,0,139,255,39,22,0,3,316,34,13,7,13,3,68,3,10,0,0,0,7,1411,354,210,17,7,2001,124,147,18,0,0,293,284,46,21,17,3,373,8486,1006,342,58,27,9926
UCL112005,2368,181,7,29,12,2596,2480,74,5,3,3,2560,1408,422,92,5,0,1926,193,116,14,0,0,322,34,47,10,0,0,93,333,53,3,3,0,389,37,16,4,0,0,60,11,9,0,0,0,19,2013,657,120,9,10,2810,74,55,0,0,0,136,337,106,18,16,0,478,7268,1075,159,56,22,8585
UCL112006,3403,254,74,26,4,3764,4491,102,35,4,4,4637,2181,594,623,21,8,3423,337,92,151,0,0,580,89,45,42,3,0,182,708,64,58,7,3,838,88,23,51,21,14,191,15,12,20,0,0,43,3419,821,950,50,25,5260,97,174,61,4,5,339,829,176,173,24,33,1237,12237,1531,1282,103,73,15231
UCL112007,983,105,7,33,3,1115,783,17,0,6,0,806,247,99,4,0,0,350,14,0,0,0,0,14,5,14,0,0,0,23,73,16,0,4,0,96,28,5,0,22,0,57,0,0,0,0,0,3,370,137,7,23,7,540,31,38,0,0,4,74,125,31,0,4,0,167,2288,325,12,67,7,2704
UCL112008,3160,865,513,168,12,4715,1389,170,154,6,3,1724,655,285,626,31,8,1607,28,82,72,0,0,180,43,72,74,0,0,182,246,94,110,9,3,463,27,12,21,41,4,108,3,5,7,0,0,23,1004,549,906,79,26,2557,94,40,179,6,6,323,244,100,156,15,4,520,5883,1735,1903,271,45,9845
UCL112009,2811,205,26,20,0,3068,2670,116,16,6,3,2809,1347,410,206,20,5,1984,393,83,35,0,0,515,38,61,18,0,0,119,383,62,36,7,0,487,44,15,12,17,3,87,13,4,4,0,0,18,2209,632,310,52,13,3208,73,77,3,6,3,154,392,88,37,20,12,547,8153,1112,396,100,29,9790
UCL112010,2138,66,76,29,5,2314,1983,41,42,3,5,2076,831,180,545,24,0,1582,216,22,42,0,0,289,35,20,29,0,0,83,358,35,85,7,4,494,86,20,37,29,0,176,14,3,9,0,0,28,1538,276,751,64,13,2642,125,21,24,6,0,176,353,46,105,48,7,561,6141,450,993,148,27,7762
UCL112011,2098,74,7,0,0,2182,2790,68,10,0,3,2876,1181,306,70,3,3,1555,126,37,26,0,0,196,26,13,4,0,0,43,271,16,16,0,0,301,38,0,0,0,0,41,5,5,4,0,0,15,1646,384,115,7,0,2147,61,0,0,0,0,69,305,34,20,4,5,368,6902,557,156,10,15,7639
UCL112012,3253,311,87,85,9,3751,3148,192,61,0,0,3404,1061,594,378,4,9,2046,231,143,52,0,0,430,48,136,37,0,0,230,669,149,89,13,3,915,55,18,19,102,0,194,12,18,4,3,0,37,2079,1059,577,120,16,3849,86,94,11,6,0,191,421,141,77,39,10,688,8997,1788,809,253,40,11878
UCL112013,275,3,4,3,0,283,373,0,4,0,0,383,52,31,12,0,0,92,9,0,0,0,0,3,13,0,0,0,0,13,26,0,0,0,0,32,11,9,0,3,0,21,0,0,0,0,0,0,108,36,10,7,0,162,7,0,0,0,0,14,52,9,3,5,0,71,814,58,20,17,4,909
UCL112014,2953,164,36,13,5,3165,2614,51,18,0,0,2686,1270,158,98,0,9,1532,25,26,4,0,0,55,11,22,10,0,0,38,357,10,22,4,3,395,49,14,5,0,0,73,3,0,0,0,0,12,1718,228,144,9,11,2109,125,264,4,0,0,391,297,48,8,0,0,356,7718,757,210,17,17,8713
UCL112015,3654,217,61,57,7,3990,3387,156,26,4,0,3572,1796,595,167,4,0,2564,455,149,21,0,0,625,317,169,55,0,3,544,488,70,28,4,0,586,266,17,9,7,4,302,20,11,3,0,0,40,3339,1017,284,15,12,4660,93,31,12,3,3,140,659,143,49,54,26,934,11123,1562,427,134,46,13298
UCL112016,4139,274,55,12,0,4494,4859,114,40,0,3,5021,2546,713,274,22,5,3555,487,186,79,0,0,747,68,80,28,0,0,182,528,93,35,0,5,668,97,18,9,16,11,150,20,7,3,0,0,32,3746,1095,430,36,22,5332,106,90,29,3,10,233,633,160,95,6,12,900,13478,1733,648,65,51,15986
UCL112017,5914,1135,723,88,22,7877,4107,470,276,5,10,4875,1874,999,1313,19,6,4211,112,120,128,0,0,357,135,204,167,0,0,506,572,201,200,12,5,984,70,43,46,17,16,187,11,22,15,0,0,39,2773,1579,1864,53,30,6293,202,291,178,0,4,678,483,255,196,19,21,972,13475,3740,3231,159,81,20683
UCL112018,3711,273,17,23,21,4046,3448,110,13,5,5,3586,2489,1106,218,4,13,3836,417,143,56,0,0,617,109,99,26,0,0,232,688,126,13,0,4,830,60,24,5,17,3,109,37,21,5,0,0,67,3795,1524,327,19,19,5682,170,98,0,0,23,292,811,257,54,59,19,1205,11932,2264,412,102,95,14815
UCL112019,5311,210,244,24,5,5795,5900,86,110,6,0,6102,2691,440,1374,31,7,4552,713,38,133,0,0,889,71,52,71,0,0,190,795,74,122,3,0,1003,196,17,31,15,3,266,23,5,9,0,0,36,4492,627,1735,52,21,6929,213,87,48,5,3,362,718,97,192,12,30,1053,16639,1106,2334,104,57,20245
UCL113001,2214,735,147,189,14,3294,1129,389,101,3,0,1622,540,672,228,20,0,1460,166,265,47,0,0,480,27,60,18,0,0,102,215,179,46,13,4,456,41,9,8,77,31,162,17,12,0,0,0,20,994,1198,347,108,35,2682,240,78,50,7,0,376,203,185,60,197,12,662,4781,2580,706,505,60,8635
UCL113002,1787,238,184,46,7,2266,954,68,60,0,3,1086,487,188,295,4,0,982,85,46,55,0,0,189,43,21,21,0,0,85,228,42,75,3,0,344,35,10,16,43,6,107,7,4,0,0,0,19,888,308,464,53,9,1721,46,51,25,5,3,123,242,70,55,20,3,384,3909,735,788,125,27,5584
UCL113003,3063,29,3,32,7,3140,2188,10,0,0,4,2210,668,60,72,0,0,804,82,26,16,0,0,121,37,12,20,0,0,73,541,30,23,5,6,599,161,15,19,26,6,223,4,3,3,0,0,22,1490,146,159,28,10,1833,137,5,21,0,4,163,547,21,46,3,5,618,7428,206,226,69,31,7965
UCL113004,951,255,74,82,13,1374,675,223,59,6,0,963,314,301,91,5,12,723,21,13,16,0,0,55,29,29,22,0,0,83,266,155,65,20,4,503,66,9,8,63,3,151,6,3,3,0,0,9,704,512,206,88,23,1529,51,28,13,6,0,94,166,97,39,35,9,343,2544,1115,387,219,47,4314
UCL113005,2175,83,106,61,3,2432,1770,44,24,18,0,1854,792,195,310,10,0,1309,171,44,37,0,0,255,38,69,22,0,0,130,419,58,74,8,6,562,40,19,25,33,5,119,16,12,4,3,0,29,1479,396,472,53,14,2406,71,14,21,7,0,108,324,68,68,22,8,489,5815,601,687,157,25,7290
UCL113006,1239,5,36,6,0,1290,952,9,10,3,5,966,498,51,141,6,0,700,127,8,28,0,0,162,126,12,46,0,3,181,210,7,22,0,0,244,34,0,9,18,0,65,8,0,0,0,0,12,1000,75,248,30,6,1359,30,0,4,0,0,35,307,12,52,39,10,413,3525,98,345,76,16,4068
UCL113007,2014,378,242,21,4,2660,1447,231,65,0,0,1740,325,225,177,4,3,732,21,14,7,0,0,36,11,3,4,0,0,24,140,38,45,9,0,241,8,4,5,5,0,23,3,0,0,0,0,9,508,290,237,20,4,1064,38,38,121,0,0,197,119,49,53,7,3,229,4131,984,710,54,10,5888
UCL113008,1744,129,8,16,0,1883,1171,37,6,3,4,1221,662,194,67,7,0,933,231,81,18,0,0,329,8,16,11,0,0,38,175,22,13,3,0,214,21,3,7,5,7,43,5,3,0,0,0,9,1097,323,118,9,9,1561,43,87,0,0,0,134,243,69,16,3,0,336,4297,638,147,32,14,5130
UCL113009,966,14,0,0,0,981,1555,15,3,0,0,1569,468,37,0,0,0,504,12,0,0,0,0,12,0,0,0,0,0,0,76,6,0,0,0,87,147,0,0,0,0,147,0,0,0,0,0,0,706,45,4,0,0,755,19,0,0,0,0,18,62,5,0,0,0,73,3305,82,9,0,0,3402
UCL113010,1209,114,0,11,6,1329,1352,43,0,8,0,1401,782,298,20,5,0,1109,123,27,17,0,0,172,27,19,3,0,0,53,173,32,0,0,0,211,25,10,0,15,4,59,8,3,0,0,0,14,1142,389,47,31,9,1611,24,13,0,0,5,41,173,60,4,89,0,325,3898,616,53,133,13,4706
UCL113011,1093,43,7,15,6,1157,1398,26,3,0,0,1429,663,289,22,0,0,973,155,72,0,0,0,227,43,32,0,0,0,75,205,14,0,0,0,224,21,12,0,3,5,40,7,0,0,0,0,8,1091,420,22,5,9,1543,39,15,0,0,0,63,201,70,0,5,0,281,3822,584,33,22,11,4469
UCL113012,1901,601,233,10,3,2750,1175,255,61,0,0,1499,463,397,289,0,0,1153,3,30,28,0,0,67,9,47,23,0,0,75,132,72,47,0,4,258,66,29,3,0,3,101,8,5,3,0,0,17,671,584,400,0,8,1665,45,65,10,0,6,129,121,69,38,0,3,236,3909,1583,743,21,19,6279
UCL113013,1235,142,0,65,0,1446,1529,112,5,3,0,1652,752,348,20,12,0,1133,361,72,16,0,0,448,96,38,8,3,0,148,187,57,0,0,0,250,63,0,0,62,0,131,3,3,0,0,0,14,1469,530,44,81,3,2124,41,10,0,6,0,56,220,72,8,43,0,345,4499,865,60,190,8,5618
UCL113014,1355,87,44,23,0,1505,1929,94,20,0,0,2047,576,304,124,0,3,1000,241,32,25,0,0,298,35,14,9,0,0,58,147,35,3,6,4,198,75,5,3,56,0,134,3,0,0,0,0,7,1072,395,164,61,5,1692,42,10,7,3,6,68,182,58,31,30,0,300,4576,642,263,115,13,5606
UCL113015,1859,72,27,22,3,1983,1225,20,9,0,0,1251,718,48,33,0,0,798,15,4,0,0,0,18,24,4,0,0,0,29,198,9,9,0,0,215,57,3,0,20,0,75,5,0,0,0,0,6,1014,64,44,22,0,1143,48,50,3,0,4,101,225,15,19,5,0,263,4364,222,101,44,12,4747
UCL113016,2348,237,75,0,0,2667,1578,58,25,0,0,1664,985,243,315,3,4,1551,207,53,77,0,0,342,79,78,85,0,0,238,305,47,42,4,3,395,32,23,9,0,0,66,10,20,3,0,0,36,1621,466,534,14,5,2634,68,37,11,0,0,115,414,76,76,3,3,575,6028,868,718,18,13,7646
UCL113017,2748,178,29,155,13,3121,1370,47,22,5,3,1443,585,151,47,0,0,786,53,38,14,0,0,102,68,61,19,0,0,145,279,36,11,5,0,331,17,7,4,22,7,54,3,3,0,0,0,4,1009,292,94,27,3,1434,69,8,3,11,0,89,270,37,8,45,5,363,5463,563,152,240,30,6444
UCL113018,382,37,5,4,0,427,286,13,5,0,0,295,68,35,7,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,47,9,3,0,0,55,15,0,4,0,0,23,4,0,0,0,0,0,125,44,11,0,0,191,13,22,0,0,0,37,74,17,0,0,0,86,879,133,22,5,0,1037
UCL114001,803,196,9,0,0,1003,493,82,0,0,0,573,204,132,9,0,0,344,28,17,0,0,0,47,4,7,0,0,0,11,58,47,4,0,0,109,3,6,0,0,0,8,0,0,0,0,0,0,300,211,17,0,0,523,25,64,0,0,0,87,42,30,0,7,0,80,1663,572,22,7,4,2272
UCL114002,1718,222,67,100,8,2117,532,42,14,3,0,591,271,108,85,17,5,480,0,4,27,0,0,33,0,5,19,0,0,29,78,22,13,8,3,125,22,6,0,20,5,54,0,5,0,0,0,9,379,151,141,46,13,728,53,51,0,6,0,106,182,142,13,99,7,443,2860,602,236,256,23,3976
UCL114003,1299,67,39,35,10,1446,1006,17,9,3,0,1042,496,152,116,5,0,761,150,12,12,0,0,180,20,23,16,0,0,55,205,28,23,0,0,258,36,8,4,20,4,74,7,8,3,0,0,12,908,230,167,35,8,1337,32,30,0,0,0,67,288,48,46,22,0,394,3534,389,265,100,14,4301
UCL114004,957,26,9,6,0,1004,739,12,4,0,0,757,327,76,85,7,0,493,32,14,6,0,0,50,28,12,6,0,0,48,147,13,11,3,4,177,47,12,3,11,4,73,4,0,0,0,0,6,589,117,118,22,10,851,45,19,4,0,0,71,108,8,19,5,0,143,2439,191,147,37,12,2824
UCL114005,1145,28,0,8,0,1183,553,11,0,0,0,563,204,98,3,6,0,310,130,7,13,0,0,150,0,0,0,0,0,0,112,25,0,6,0,139,18,4,0,0,0,26,0,6,0,0,0,0,459,137,17,14,0,627,35,26,0,0,0,59,122,25,4,4,0,156,2315,218,18,27,3,2589
UCL114006,971,103,0,20,3,1103,594,32,0,5,0,629,221,152,0,6,0,378,29,3,0,0,0,34,0,11,0,0,0,8,95,41,4,0,0,140,3,4,0,3,0,11,5,3,0,0,0,7,352,209,3,12,4,582,17,9,0,0,0,30,93,28,0,5,3,131,2033,384,3,37,14,2477
UCL114007,1312,43,0,13,0,1367,831,11,3,0,0,852,424,144,44,3,0,615,141,10,18,0,0,171,33,9,5,0,0,45,192,28,9,0,0,227,23,11,6,9,0,43,10,4,0,0,0,12,821,196,80,8,5,1107,34,10,3,0,0,52,200,21,20,3,0,249,3205,288,108,22,9,3630
UCL114008,1007,49,4,8,7,1068,736,7,6,0,4,749,317,161,11,3,0,486,51,15,0,0,0,71,25,14,0,0,0,34,114,17,0,0,0,132,27,9,0,6,7,43,3,0,0,0,0,6,528,214,16,10,9,770,30,3,0,3,0,30,218,63,4,21,16,324,2517,332,22,35,35,2948
UCL114009,310,36,12,0,0,363,967,17,0,0,0,989,461,43,14,0,0,517,9,0,0,0,0,4,0,0,0,0,0,3,90,6,0,0,0,95,60,3,0,0,0,63,4,0,0,0,0,4,623,53,16,0,0,690,10,53,20,0,5,90,57,42,0,0,0,105,1969,199,56,0,5,2233
UCL114010,946,34,10,15,5,1009,791,14,5,8,0,814,314,74,109,5,0,492,113,10,14,0,0,134,8,0,5,0,0,19,132,19,8,0,0,163,18,3,4,12,0,41,7,0,4,3,0,13,593,99,138,28,0,868,43,3,7,3,0,49,214,18,41,17,3,294,2588,174,198,66,12,3038
UCL114011,848,21,5,12,0,885,500,0,0,4,0,508,324,111,29,3,0,471,38,0,0,0,0,42,33,0,21,0,0,52,121,9,8,0,3,135,12,0,5,5,0,26,9,0,0,0,0,3,531,125,61,9,5,728,27,6,0,0,0,34,204,25,6,6,0,246,2106,181,78,38,4,2400
UCL114012,122,4,6,0,0,129,1303,70,10,0,0,1378,167,26,6,0,0,198,9,0,0,0,0,9,0,0,0,0,0,0,38,9,0,0,0,47,138,0,0,0,0,143,0,0,0,0,0,0,358,32,5,0,0,398,5,0,0,0,0,9,62,12,4,0,0,72,1846,115,23,0,0,1990
UCL114013,932,49,0,10,0,994,921,24,0,0,0,946,511,167,64,0,0,747,81,27,5,0,0,113,30,24,7,0,0,66,159,23,0,3,0,181,23,4,4,12,0,38,9,0,0,0,0,9,812,248,75,16,4,1159,33,35,0,0,0,69,236,77,16,26,0,359,2934,431,95,55,5,3528
UCL114014,553,15,78,0,0,647,965,31,125,0,4,1126,114,10,68,11,3,208,30,0,0,0,0,30,0,0,0,0,0,0,45,0,24,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,189,14,92,14,0,311,20,0,5,0,0,28,34,0,10,0,0,51,1766,62,304,12,8,2153
UCL114015,1185,44,3,6,3,1247,945,14,0,9,4,964,639,254,22,4,8,929,100,25,0,0,0,126,42,52,8,0,9,111,189,13,11,0,5,217,33,10,5,21,11,77,9,11,4,0,0,21,1011,366,48,30,21,1476,43,9,0,0,0,61,303,88,4,29,3,426,3487,518,62,68,35,4166
UCL114016,834,10,59,12,0,919,767,8,24,12,3,820,337,59,167,10,0,570,85,4,6,0,0,94,4,5,0,0,0,7,154,19,47,0,0,220,30,4,14,10,0,58,0,0,3,0,0,8,619,86,235,21,0,961,21,5,3,0,4,37,171,18,38,8,0,242,2408,134,355,60,11,2966
UCL114017,789,200,24,33,0,1045,789,157,26,0,0,971,222,155,44,0,0,424,0,0,0,0,0,0,3,0,0,0,0,6,108,73,28,0,0,209,6,0,0,7,0,17,0,0,0,0,0,0,339,235,73,9,9,661,11,8,0,0,0,21,66,49,7,0,0,128,2000,647,129,38,10,2823
UCL114018,1375,261,131,16,12,1792,691,88,79,0,11,872,219,117,217,0,4,559,8,22,4,0,0,33,13,11,5,0,0,28,111,51,54,3,5,219,27,0,3,24,0,58,3,0,0,0,0,5,386,193,280,31,9,904,55,27,10,0,0,103,78,41,33,36,5,192,2598,608,536,84,37,3862
UCL114019,657,31,0,54,9,754,573,22,0,6,0,604,387,187,38,5,0,613,129,30,13,0,0,173,27,18,10,0,3,53,128,13,0,6,7,155,31,17,0,26,22,99,4,10,0,0,0,9,708,274,65,34,27,1103,26,10,3,7,0,49,392,140,42,16,11,596,2349,480,111,117,52,3104
UCL114020,1182,84,15,52,0,1339,1042,36,13,5,0,1086,432,88,43,4,0,570,79,22,16,0,0,113,68,37,18,0,0,123,111,15,7,3,0,128,10,0,0,14,0,26,7,0,0,0,0,11,702,165,84,21,0,972,33,5,0,0,0,41,114,21,3,9,0,146,3078,307,114,85,7,3587
UCL114021,1149,26,126,21,3,1332,1160,24,18,3,0,1208,358,79,173,9,0,618,68,36,23,0,0,131,20,15,5,0,0,36,168,25,76,7,0,275,14,0,15,5,0,38,4,0,6,0,0,11,632,167,292,20,4,1114,31,0,60,0,0,100,146,20,68,35,6,273,3117,245,568,77,14,4024
UCL114022,1117,106,80,72,33,1404,427,30,21,3,0,489,255,113,179,6,0,554,65,17,5,0,0,85,81,51,13,0,0,149,95,14,24,4,0,146,47,7,4,19,7,83,0,3,7,0,0,16,541,209,233,29,19,1027,28,22,4,9,5,63,159,34,48,86,0,330,2272,406,388,195,50,3307
UCL114023,656,16,3,23,0,695,593,12,0,0,0,602,237,183,22,0,0,436,95,38,0,0,0,133,32,27,0,0,0,61,119,23,4,0,0,140,40,9,0,14,0,71,7,6,0,0,0,13,532,280,20,14,4,850,27,9,0,6,0,36,136,40,4,14,0,203,1940,356,33,55,0,2387
UCL114024,1183,28,35,15,5,1269,1176,9,9,5,4,1202,445,57,141,0,0,642,130,15,32,0,0,179,20,11,5,0,0,39,294,10,18,3,0,330,39,3,7,14,6,68,3,0,0,0,0,3,930,105,197,20,10,1266,44,12,35,5,0,88,212,19,52,3,5,282,3536,173,324,46,34,4108
UCL114025,771,118,19,64,0,974,832,121,21,3,0,972,226,144,53,0,0,421,0,18,0,0,0,18,0,3,0,0,0,4,78,41,10,0,0,129,6,6,0,12,0,21,0,0,0,0,0,0,303,209,65,14,0,592,16,4,0,0,0,23,69,24,7,3,0,105,1993,476,104,90,3,2666
