UCL_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
UCL722003,17,36,0,0,3,17,13,49,34,126,48,188,0,0,0,0,5,14,5,14,53,203,0,0,0,7,5,15,11,34,18,62,0,0,0,0,10,16,8,18,21,84,0,4,94,329
UCL722004,12,25,0,3,0,0,0,11,8,43,10,62,0,5,0,0,0,0,0,5,14,64,0,5,0,0,11,41,10,33,14,73,0,0,0,0,8,34,8,34,31,106,3,4,58,206
UCL722005,8,19,0,0,0,12,8,58,29,122,38,193,0,0,0,0,5,35,5,35,49,226,4,17,0,5,9,57,9,41,23,118,0,0,0,0,9,29,9,30,33,147,0,0,89,396
UCL722006,11,21,0,5,5,10,7,28,11,45,23,88,0,0,0,3,0,8,3,12,20,103,0,0,0,0,0,6,4,16,3,24,0,0,0,0,6,6,6,6,8,34,4,9,42,164
UCL722007,8,14,0,0,4,13,4,26,19,84,22,123,0,3,0,0,5,10,0,17,26,141,0,0,0,0,0,15,3,13,8,32,0,0,0,0,10,17,10,17,16,52,5,9,50,212
UCL722008,12,21,0,0,0,8,4,31,13,55,22,95,0,0,0,0,3,14,9,16,24,112,0,5,0,0,0,7,8,28,9,42,0,0,0,0,0,5,0,5,14,43,0,3,50,174
UCL722009,15,29,5,17,0,0,7,27,19,93,28,133,0,5,0,0,0,5,3,9,30,144,0,0,0,9,6,22,22,66,27,96,0,0,0,0,3,17,3,17,32,115,0,0,80,293
UCL722010,20,42,0,3,0,10,0,8,14,45,12,64,0,0,0,0,0,0,0,0,12,64,0,5,0,0,0,7,7,31,13,38,0,0,0,3,8,22,12,25,25,63,0,0,59,175
UCL722011,10,26,0,0,0,8,3,32,13,44,18,86,0,0,0,0,3,12,3,12,21,99,0,0,3,11,5,21,13,34,18,66,0,0,0,0,6,13,6,13,23,76,3,6,53,209
UCL722012,18,30,0,6,0,10,3,23,24,87,25,121,0,0,0,0,4,18,4,18,32,138,0,5,0,4,0,14,4,16,10,37,0,0,3,3,3,7,3,13,15,51,0,13,66,229
