UCL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
UCL113012,52,1900,666,390,1690,0.7,1334,2.3
UCL113013,37,1517,649,325,1530,0.8,1280,2.5
UCL113014,35,1733,806,320,2241,0.8,1864,2.5
UCL113015,49,1560,552,360,1342,0.7,1087,2.3
UCL113016,45,1300,553,290,1303,0.7,989,2.2
UCL113017,51,1646,612,350,1426,0.7,1143,2.2
UCL113018,53,1509,644,271,1568,0.7,1171,2.2
UCL114001,51,1647,648,380,1612,0.7,1244,2.2
UCL114002,64,1517,505,335,1182,0.7,889,2
UCL114003,42,1220,584,280,1299,0.8,1007,2.3
UCL114004,43,1281,779,290,1881,0.7,1377,2.2
UCL114005,52,1083,548,220,1318,0.7,952,2.1
UCL114006,52,1196,638,230,1543,0.7,1113,2.1
UCL114007,45,1192,592,230,1392,0.7,1034,2.2
UCL114008,47,1083,675,230,1622,0.7,1156,2.1
UCL114009,27,1814,918,400,2480,0.8,2247,2.8
UCL114010,41,1200,700,230,1559,0.7,1175,2.2
UCL114011,48,975,500,230,1228,0.7,864,2.1
UCL114012,31,2600,1624,530,3444,0.8,3362,3.1
UCL114013,36,1369,776,300,1871,0.7,1437,2.3
UCL114014,37,2500,994,535,2721,0.9,2478,2.9
UCL114015,39,1127,638,270,1415,0.7,1081,2.3
UCL114016,37,1300,749,250,1778,0.7,1360,2.4
UCL114017,41,2249,957,580,2328,0.8,2131,2.7
UCL114018,55,1625,704,350,1611,0.7,1240,2.1
UCL114019,39,1300,812,230,1836,0.8,1445,2.3
UCL114020,43,2000,763,400,1981,0.7,1494,2.4
UCL114021,46,1733,601,350,1472,0.8,1157,2.4
UCL114022,58,1300,502,280,1234,0.7,847,2
UCL114023,39,1356,822,260,1929,0.7,1412,2.3
UCL114024,39,1300,727,260,1792,0.7,1350,2.4
UCL114025,42,2071,731,500,1831,0.8,1549,2.7
UCL114026,38,2300,810,400,2066,0.7,1664,2.5
UCL114027,57,1863,630,388,1504,0.7,1180,2.1
UCL114028,39,1517,787,290,1950,0.7,1435,2.3
UCL114029,34,2383,992,410,2524,0.8,2340,3.1
UCL114030,58,1517,553,340,1254,0.7,1033,2.1
UCL114031,45,1733,665,395,1701,0.7,1411,2.5
UCL114032,34,2057,780,410,1961,0.8,1687,2.7
UCL114033,41,1300,667,250,1610,0.8,1259,2.3
UCL114034,42,1600,600,360,1405,0.8,1173,2.4
UCL114035,46,1733,628,360,1481,0.8,1162,2.4
UCL114036,58,1630,607,400,1395,0.7,1127,2.1
UCL114037,41,1733,856,340,2084,0.8,1652,2.4
UCL114038,40,1179,636,250,1427,0.7,1059,2.3
UCL115001,41,1495,690,280,1879,0.7,1372,2.4
UCL115002,45,1833,722,410,1966,0.7,1620,2.6
UCL115003,33,2500,1004,450,2510,0.8,2448,3.2
UCL115004,51,1558,607,350,1491,0.8,1161,2.3
UCL115005,50,893,696,200,1631,0.7,1166,2.2
UCL115006,39,2167,926,690,2326,0.9,2104,2.7
UCL115007,41,2167,750,400,2082,0.8,1689,2.7
UCL115008,61,1016,527,200,1245,0.6,858,1.9
UCL115009,46,1350,700,270,1689,0.7,1336,2.3
UCL115010,60,659,465,195,1029,0.6,750,1.8
UCL115011,47,1529,624,360,1555,0.7,1258,2.4
UCL115012,48,867,588,188,1342,0.7,968,2.2
UCL115013,42,1325,653,320,1489,0.7,1133,2.2
UCL115014,45,1445,628,390,1493,0.8,1217,2.4
UCL115015,58,1550,611,330,1297,0.7,1051,2.1
UCL115016,44,1270,748,280,1898,0.7,1406,2.2
UCL115017,58,2167,759,520,2003,0.7,1421,2.2
UCL115018,62,997,477,210,1004,0.7,821,2
UCL115019,52,1733,738,380,1812,0.7,1333,2
UCL115020,38,1300,681,260,1681,0.7,1321,2.4
UCL115021,46,1027,711,217,1583,0.7,1217,2.1
UCL115022,51,1800,681,445,1794,0.7,1402,2.5
UCL115023,49,1207,609,250,1464,0.7,1080,2.2
UCL115024,35,890,868,180,1833,0.8,1472,2.5
UCL115025,35,2158,948,415,2404,0.8,2225,2.9
UCL115026,48,1700,774,350,1836,0.7,1365,2.1
UCL115027,33,1733,868,370,2231,0.8,1931,2.7
UCL115028,51,1733,778,380,1835,0.7,1453,2.3
UCL115029,49,2054,729,450,1790,0.8,1299,2.1
UCL115030,55,1083,493,290,1197,0.7,904,2.2
UCL115031,59,1771,655,400,1604,0.6,1272,2.1
UCL115032,49,2600,822,558,2156,0.8,1861,2.5
UCL115033,36,2383,1307,520,3101,0.8,2859,2.9
UCL115034,32,2008,801,410,2049,0.8,1932,2.9
UCL115035,34,1582,913,350,2112,0.7,1865,2.7
UCL115036,52,1733,641,390,1486,0.7,1259,2.3
UCL115037,42,1950,838,498,2390,0.7,2190,2.8
UCL115038,50,1083,524,220,1278,0.7,904,2.1
UCL115039,37,1083,989,200,2307,0.7,1791,2.3
UCL115040,37,2103,797,430,2051,0.8,1887,2.8
UCL115041,39,867,648,200,1603,0.7,1214,2.3
UCL115042,44,1347,707,270,1630,0.7,1304,2.4
UCL115043,52,867,578,210,1320,0.7,1021,2.2
UCL115044,37,867,613,190,1410,0.8,1139,2.3
UCL115045,47,1158,493,300,1283,0.7,1034,2.4
UCL115046,41,1733,727,440,1765,0.8,1554,2.7
UCL115047,51,1300,620,275,1572,0.7,1113,2.2
UCL115048,53,1733,629,350,1502,0.7,1247,2.2
UCL115049,45,975,583,220,1421,0.7,1055,2.3
UCL115050,36,2167,912,610,2236,0.8,2172,3
UCL115051,59,1408,557,335,1430,0.7,1084,2.1
UCL115052,42,1577,712,280,1867,0.7,1375,2.3
UCL115053,57,1300,565,295,1261,0.7,902,2
UCL115054,41,2216,960,432,2447,0.8,2329,3.1
UCL115055,50,1300,590,300,1384,0.7,1071,2.2
UCL115056,52,1517,580,270,1334,0.7,1027,2.2
UCL115057,55,1560,615,330,1453,0.8,1071,2.1
UCL115058,63,1733,582,390,1303,0.7,1123,2.1
UCL115059,53,867,591,175,1387,0.7,957,2
UCL115060,24,1300,935,310,1953,0.8,1698,2.8
UCL115061,51,1300,524,330,1302,0.8,1054,2.4
UCL115062,38,2150,883,440,2264,0.8,2095,2.9
UCL115063,40,2383,1033,550,2787,0.8,2412,2.8
UCL115064,45,2167,816,500,2271,0.8,1901,2.6
UCL115065,47,900,595,203,1287,0.7,1021,2.2
UCL115066,33,2015,907,430,2189,0.8,2107,3
UCL115067,54,1250,548,275,1302,0.7,920,2.1
UCL115068,58,1517,595,300,1359,0.7,1095,2.1
UCL115069,55,1013,516,200,1285,0.7,927,2
UCL115070,33,1746,803,360,2208,0.8,1924,2.8
UCL115071,42,1343,651,300,1717,0.7,1291,2.3
UCL115072,49,1654,570,450,1355,0.7,1301,2.7
UCL115073,45,1124,664,230,1648,0.7,1165,2.3
UCL115074,44,1083,622,250,1339,0.7,955,2.3
UCL115075,64,1733,603,375,1381,0.7,1111,2.1
UCL115076,51,910,552,220,1327,0.7,980,2.1
UCL115077,64,1517,483,340,1080,0.6,905,2
UCL115078,60,1767,641,330,1398,0.6,1142,2
UCL115079,49,867,665,175,1528,0.7,1125,2.1
UCL115080,34,2000,843,440,2072,0.8,1886,2.8
UCL115081,36,876,866,222,1590,0.8,1435,2.2
UCL115082,54,1049,577,185,1408,0.7,959,2
UCL115083,48,1300,667,290,1576,0.7,1272,2.3
UCL115084,64,1300,484,300,1070,0.7,865,1.9
UCL115085,47,2468,851,500,2355,0.7,2127,2.6
UCL115086,29,1517,911,440,2265,0.9,2075,2.4
UCL115087,35,1300,795,310,2004,0.8,1754,2.8
UCL115088,47,1517,668,350,1492,0.7,1336,2.4
UCL115089,39,1218,721,260,1698,0.7,1336,2.4
UCL115090,54,867,455,220,983,0.7,665,1.8
UCL115091,51,1408,540,290,1338,0.8,1045,2.3
UCL115092,38,1300,666,310,1553,0.7,1217,2.4
UCL115093,49,2167,876,410,2322,0.7,2086,2.5
UCL115094,49,1200,544,280,1270,0.7,950,2.2
UCL115095,38,867,630,170,1437,0.8,1108,2.3
UCL115096,53,1842,646,380,1476,0.7,1262,2.4
UCL115097,52,1600,528,370,1316,0.7,1072,2.3
UCL115098,50,797,524,200,1259,0.8,944,2.2
UCL115099,47,1319,503,320,1209,0.7,942,2.3
UCL115100,55,1387,519,328,1256,0.7,968,2.1
UCL115101,54,1733,734,418,1645,0.6,1419,2.3
UCL115102,47,1083,523,260,1225,0.7,946,2.2
UCL115103,44,1083,511,240,1390,0.7,1043,2.3
UCL115104,55,1647,597,387,1657,0.7,1342,2.3
UCL115105,43,1343,650,270,1578,0.7,1174,2.3
UCL115106,49,1452,558,295,1351,0.7,1021,2.2
UCL115107,44,1950,659,490,1603,0.8,1328,2.4
UCL115108,38,2643,1486,570,3489,0.8,3360,3.1
UCL115109,58,1447,565,272,1304,0.7,951,2
UCL115110,43,975,604,210,1388,0.7,1028,2.2
UCL115111,39,1088,651,250,1566,0.7,1157,2.4
UCL115112,30,1993,1045,450,2362,0.8,2206,2.8
UCL115113,40,1083,786,200,1939,0.7,1404,2.3
UCL115114,43,1430,696,285,1597,0.7,1260,2.2
UCL115115,43,1902,702,500,1719,0.8,1444,2.4
UCL115116,50,1662,626,360,1437,0.7,1160,2.2
UCL115117,61,1300,493,345,1242,0.7,940,2.1
UCL115118,54,1517,636,330,1637,0.8,1232,2.2
UCL115119,37,2301,898,370,2370,0.8,1974,2.7
UCL115120,37,3000,1054,560,2892,0.8,2737,3.2
UCL115121,48,1083,526,250,1413,0.7,992,2.2
UCL115122,46,1083,596,250,1427,0.7,1086,2.2
UCL115123,44,1961,752,450,2069,0.7,1712,2.6
UCL115124,38,1820,794,440,1805,0.8,1673,2.7
UCL115125,55,1950,621,370,1533,0.7,1086,2.1
UCL115126,49,2167,757,560,2067,0.7,1529,2.4
UCL115127,49,1473,625,380,1377,0.7,1238,2.3
UCL115128,41,1961,756,550,1872,0.8,1649,2.6
UCL115129,45,2839,1122,460,3170,0.8,2837,2.9
UCL115130,62,1430,488,310,1170,0.7,858,2
UCL115131,48,1517,581,370,1399,0.7,1140,2.4
UCL115132,56,1618,745,325,1562,0.7,1259,2
UCL115133,69,1365,522,360,1170,0.6,978,1.9
UCL115134,48,1083,639,240,1541,0.7,1123,2.2
UCL115135,56,1083,492,245,1117,0.7,820,2
UCL115136,35,2362,943,400,2439,0.8,2229,3.1
UCL115137,37,2275,798,412,2062,0.8,1692,2.6
UCL115138,31,2076,904,460,2137,0.8,1990,2.8
UCL115139,57,1300,557,250,1375,0.7,1054,2.1
UCL115140,55,1508,696,365,1608,0.7,1288,2.2
UCL115141,46,1129,699,220,1606,0.7,1255,2.3
UCL115142,62,1430,592,340,1329,0.6,1061,1.9
UCL115143,46,1246,618,250,1422,0.7,1106,2.2
UCL115144,57,1625,575,340,1304,0.7,1019,2.1
UCL115145,55,1602,587,400,1406,0.7,1082,2.1
UCL115146,54,1893,787,400,1886,0.6,1421,2.1
UCL115147,38,2085,890,500,2115,0.7,1942,2.6
UCL115148,55,1083,604,220,1426,0.7,973,2
UCL115149,35,884,961,179,1937,0.8,1754,2.4
UCL115150,40,2342,883,380,2321,0.8,1830,2.6
UCL115151,38,1500,690,278,1938,0.8,1442,2.5
UCL115152,52,1000,510,230,1244,0.7,905,2.1
UCL115153,50,867,668,210,1425,0.7,1102,2
UCL115154,37,1040,652,200,1560,0.8,1188,2.4
UCL115155,41,1010,584,240,1355,0.7,1076,2.3
UCL115156,57,867,490,200,1142,0.7,892,2
UCL115157,50,891,489,220,1177,0.7,918,2.1
UCL115158,42,1200,816,231,1890,0.7,1444,2.2
UCL115159,38,2200,972,475,2527,0.8,2347,2.9
UCL115160,33,2600,1254,580,2988,0.8,2943,3.4
UCL115161,46,1300,569,300,1351,0.7,1056,2.3
UCL115162,39,1811,790,430,1911,0.7,1621,2.6
UCL115163,43,1950,664,360,2003,0.8,1775,2.9
UCL115164,53,2010,603,400,1461,0.8,1112,2.3
UCL115165,37,1280,802,270,2025,0.8,1507,2.5
UCL121001,49,1138,588,200,1424,0.7,1134,2.2
UCL121002,50,600,511,157,1227,0.8,960,2.1
UCL121003,56,1733,693,360,1699,0.7,1348,2.3
UCL121004,37,1950,682,368,1641,0.8,1508,2.8
UCL121005,39,2383,797,480,2216,0.8,2222,3.3
UCL121006,57,1400,666,300,1511,0.7,1172,2.1
UCL121007,56,867,524,175,1134,0.7,898,2.1
UCL121008,39,433,441,175,985,0.9,836,2.6
UCL121009,43,1088,711,300,1708,0.7,1439,2.2
UCL121010,52,2167,798,350,1839,0.8,1592,2.2
UCL121011,39,1020,479,235,1020,0.8,867,2.4
UCL121012,47,2167,815,538,2471,0.7,2410,3
UCL121013,34,699,651,153,1312,0.8,1092,2.3
UCL121014,49,1539,670,250,1458,0.9,977,2.2
UCL121015,48,2500,930,470,2687,0.8,2053,2.4
UCL121016,45,1739,660,420,1696,0.8,1485,2.6
UCL121017,36,2800,1147,650,2845,0.8,2779,3.1
UCL121018,40,1637,686,350,1812,0.8,1530,2.6
UCL121019,43,2167,949,400,2625,0.7,2663,3.1
UCL121020,40,2000,879,520,2170,0.8,1906,2.6
UCL121021,48,915,793,183,1633,0.7,1386,2.1
UCL121022,54,950,501,195,1244,0.7,936,2.1
UCL121023,61,893,426,315,911,0.7,772,1.9
UCL121024,40,1300,557,320,1281,0.8,1125,2.7
UCL121025,41,2304,853,530,2513,0.8,2250,2.9
UCL121026,55,1582,773,330,1529,0.7,1304,2
UCL121027,39,1798,796,470,2042,0.8,1816,2.8
UCL121028,54,1600,651,328,1431,0.7,1170,2
UCL121029,36,1019,673,290,1597,0.8,1375,2.6
UCL121030,44,1083,673,203,1495,0.7,1213,2.2
UCL121031,49,1658,711,400,1526,0.7,1353,2.4
UCL121032,53,1072,529,200,1297,0.6,840,2
UCL121033,38,1733,812,355,2118,0.8,1674,2.7
UCL121034,32,2167,991,530,2801,0.8,2366,2.7
UCL121035,35,1733,698,400,1756,0.8,1660,3
UCL121036,39,2042,722,520,1959,0.8,1884,3.1
UCL121037,49,1534,703,380,1683,0.7,1465,2.3
UCL121038,51,1142,603,220,1458,0.8,1070,2.2
UCL121039,42,3340,966,650,2705,0.9,2630,2.8
UCL121040,44,2134,1053,300,2687,0.7,2446,3
UCL121041,52,867,510,200,1385,0.7,953,2.3
UCL121042,54,1825,931,520,2195,0.7,2037,2.2
UCL121043,37,2400,994,570,2516,0.8,2282,3
UCL121044,40,1362,548,350,1437,0.8,1271,2.7
UCL121045,53,1517,604,395,1353,0.7,1187,2.2
UCL121046,39,2492,1537,528,3449,0.9,3369,3
UCL121047,39,1632,1030,350,2397,0.8,1922,2.6
UCL121048,50,2100,642,400,1589,0.8,1480,2.8
UCL121049,35,1452,838,300,1968,0.8,1820,2.8
UCL121050,67,1087,524,300,1006,0.8,772,1.7
UCL121051,56,921,535,220,1221,0.7,900,2.1
UCL121052,54,2167,783,350,1738,0.7,1364,1.9
UCL121053,52,815,606,175,1433,0.7,1021,2.1
UCL121054,44,2383,889,750,2740,0.8,2903,3.5
UCL121055,44,1733,769,375,1882,0.8,1379,2.4
UCL121056,44,1443,636,341,1560,0.8,1341,2.6
UCL121057,39,1950,780,370,2157,0.8,2100,3.1
UCL121058,45,2167,718,410,2192,0.7,2077,3
UCL121059,48,1759,665,378,1539,0.7,1348,2.4
UCL121060,44,1785,784,360,2168,0.7,2040,2.9
UCL121061,35,1733,601,300,2083,0.8,2010,3.1
UCL121062,40,2383,1067,465,2734,0.7,2454,2.7
UCL121063,65,1500,517,340,1074,0.7,902,1.9
UCL121064,52,1378,563,345,1299,0.7,1010,2.2
UCL121065,57,1300,489,310,1209,0.7,1036,2.3
UCL121066,40,1700,823,360,2211,0.8,1970,2.7
UCL121067,55,867,568,195,1419,0.7,1004,2
UCL121068,50,1647,654,400,1441,0.7,1318,2.4
UCL121069,35,2600,1099,553,3416,0.8,3429,3.5
UCL121070,49,2600,1098,500,2704,0.8,2349,2.5
UCL121071,44,1127,703,240,1976,0.7,1408,2.4
UCL121072,33,1907,746,383,1769,0.7,1474,2.5
UCL121073,53,906,521,185,1229,0.7,953,2
UCL121074,51,1603,768,388,1645,0.7,1351,2.1
UCL121075,73,2167,558,430,1350,0.8,1047,2.2
UCL121076,36,1777,682,320,1909,0.8,1743,2.9
UCL121077,40,1560,900,328,2114,0.8,1708,2.6
UCL121078,36,1950,794,400,2038,0.8,1875,2.9
UCL121079,47,1820,746,428,1937,0.7,1795,2.7
UCL121080,42,1842,854,450,1981,0.8,1753,2.5
UCL121081,39,2080,812,425,2182,0.8,2106,3.1
UCL121082,51,1625,710,350,1665,0.7,1361,2.3
UCL121083,49,1608,686,380,1741,0.7,1213,2.1
UCL121084,36,2630,985,450,2839,0.8,2491,3.3
UCL121085,46,2200,954,560,2304,0.7,1937,2.6
UCL121086,54,1035,513,250,1265,0.7,816,2
UCL121087,43,1517,572,335,1370,0.8,1280,2.6
UCL121088,37,1733,748,400,1827,0.8,1601,2.5
UCL121089,43,2000,754,400,1947,0.8,1695,2.6
UCL121090,45,2167,663,440,1949,0.7,1960,3.2
UCL121091,50,1950,747,460,1960,0.7,1786,2.7
UCL121092,33,2102,921,390,2260,0.8,2070,2.9
UCL121093,33,1668,717,345,1839,0.8,1656,2.9
UCL121094,46,715,482,185,1158,0.7,892,2.1
UCL121095,43,2600,1096,390,3116,0.7,2838,2.9
UCL121096,58,1842,612,400,1538,0.7,1228,2.3
UCL121097,49,1729,671,405,1739,0.8,1432,2.5
UCL121098,51,2167,876,405,2125,0.7,2016,2.6
UCL121099,54,1109,496,275,1437,0.7,970,2.1
UCL121100,45,2054,780,500,2006,0.7,1826,2.7
UCL121101,45,1950,609,310,1705,0.8,1458,2.7
UCL121102,55,1300,580,340,1441,0.7,1209,2.2
UCL121103,45,1300,622,330,1419,0.8,1224,2.5
UCL121104,49,1528,568,300,1660,0.8,1238,2.4
UCL121105,57,1083,469,280,1008,0.7,757,1.9
UCL121106,59,1993,659,400,1409,0.6,1320,2.2
UCL121107,46,1213,605,240,1557,0.8,1284,2.5
UCL121108,43,1430,657,350,1414,0.7,1239,2.5
UCL121109,47,2084,745,530,1947,0.8,1836,2.9
UCL121110,42,1419,577,365,1370,0.7,1060,2.4
UCL121111,47,867,599,175,1368,0.7,961,2.1
UCL121112,38,1300,768,305,1869,0.7,1571,2.7
UCL121113,40,1047,577,209,1426,0.7,1051,2.2
UCL121114,44,2000,851,420,2023,0.7,1783,2.6
UCL121115,62,1127,558,320,1235,0.7,934,1.9
UCL121116,39,2167,929,358,2742,0.8,2567,3.2
UCL121117,43,1535,729,360,1485,0.8,1370,2.5
UCL121118,40,2383,834,530,2363,0.8,2250,3
UCL121119,48,1508,609,375,1693,0.7,1577,2.7
UCL121120,31,488,495,150,985,1,1206,2.8
UCL121121,42,1768,705,325,1761,0.9,1596,2.6
UCL121122,35,1509,839,323,2016,0.8,1769,2.9
UCL121123,40,1560,652,340,1570,0.8,1369,2.5
UCL121124,62,1340,509,350,976,0.8,865,1.9
UCL121125,57,1300,492,293,1239,0.8,936,2.2
UCL121126,45,1599,743,390,1841,0.7,1683,2.8
UCL121127,35,1894,785,435,2140,0.9,2051,3
UCL121128,38,1950,781,420,2122,0.8,1956,2.8
UCL122001,34,1549,729,360,2227,0.9,2042,3
UCL122002,45,889,884,383,1292,0.6,1149,1.9
UCL122003,38,2184,1026,420,2680,0.8,2374,2.9
UCL122004,58,1560,730,545,1812,0.8,1562,2.3
UCL122005,56,433,446,150,966,0.7,734,1.9
UCL122006,56,867,514,160,1149,0.8,835,2.1
UCL122007,55,650,463,180,1067,0.7,809,2
UCL122008,34,1213,861,280,2230,0.8,1531,2.5
UCL122009,40,1232,698,280,1583,0.8,1302,2.5
UCL122010,38,1747,783,300,2115,0.9,1666,2.8
UCL122011,43,2167,915,415,2266,0.8,2146,3
UCL122012,49,707,532,200,1463,0.7,981,2
UCL122013,53,737,428,200,820,0.7,707,2.1
UCL122014,49,1083,564,240,1357,0.9,1149,2.3
UCL122015,58,2167,952,495,2291,0.7,1968,2.3
UCL122016,43,1369,909,250,2173,0.7,1875,2.5
UCL122017,46,1228,756,280,2016,0.7,1226,2.1
UCL122018,53,520,447,150,866,0.7,713,1.9
UCL122019,49,1300,558,245,1430,0.8,1015,2.1
UCL122020,60,612,452,210,885,0.7,581,1.7
UCL122021,52,2167,670,445,1485,0.7,1468,2.5
UCL122022,52,1874,652,300,1597,0.8,1375,2.7
UCL122023,51,2134,732,410,2250,0.8,2107,2.9
UCL122024,44,1473,728,370,1892,0.8,1597,2.5
UCL122025,44,1638,1013,400,2374,0.8,2055,2.6
UCL122026,42,1500,665,373,1812,0.8,1437,2.6
UCL122027,62,1400,495,280,1292,0.8,812,1.9
UCL122028,53,719,436,200,1031,0.8,900,2.3
UCL122029,57,2994,935,500,2250,0.8,1792,2.4
UCL122030,47,1083,595,260,1431,0.8,1132,2.2
UCL122031,33,1983,1055,490,2550,0.8,2611,3.4
UCL122032,37,1300,933,300,2125,0.9,1507,2.4
UCL122033,36,1300,787,280,1906,0.8,1702,2.8
UCL122034,47,1785,875,373,2611,0.7,2591,2.9
UCL122035,51,1040,490,300,1312,0.8,871,2.2
UCL122036,41,650,502,172,1266,0.8,949,2.2
UCL122037,37,1950,1147,300,2431,0.9,2183,2.9
UCL122038,50,1582,630,380,1444,0.6,1199,2.2
UCL122039,45,1200,507,325,1266,0.8,1018,2.5
UCL122040,48,932,453,285,1257,0.8,1025,2.3
UCL122041,39,1445,734,420,1612,0.8,1512,2.6
UCL122042,40,2250,767,365,2020,0.8,1791,2.9
UCL122043,47,1157,619,260,1485,0.8,1102,2.2
UCL122044,53,1517,470,171,1166,0.8,985,2.4
UCL122045,50,867,563,220,1303,0.8,1098,2.2
UCL122046,60,1833,664,313,1480,0.7,1262,2
UCL122047,56,2167,1034,420,2625,0.8,1910,2.2
UCL122048,48,884,468,180,1073,0.8,831,2.2
UCL122049,58,650,433,200,1075,0.8,703,1.9
UCL122050,55,837,453,150,1062,0.7,695,1.9
UCL122051,43,737,463,200,1062,0.7,833,2.3
UCL122052,53,1571,740,400,1713,0.7,1611,2.4
UCL122053,58,794,461,150,1036,0.7,742,1.8
UCL122054,40,1083,775,250,1437,0.8,1292,2.5
UCL122055,56,2100,771,400,1843,0.7,1518,2.2
UCL122056,48,1696,532,340,1357,0.7,1298,2.7
UCL122057,45,2167,647,350,1774,0.7,1478,2.7
UCL122058,49,1517,492,300,1222,0.8,1016,2.2
UCL122059,41,1300,733,315,1553,0.7,1271,2.4
UCL122060,47,1083,495,248,1187,0.8,968,2.5
UCL122061,37,1000,350,173,849,0.9,695,2.4
UCL122062,39,783,725,218,1568,0.8,1210,2.5
UCL122063,41,1441,524,280,1553,0.8,1062,2.4
UCL122064,45,542,464,170,1107,0.8,766,2.3
UCL122065,61,1820,556,285,1408,0.7,1083,2
UCL122066,43,1647,945,380,2536,0.7,2178,2.7
UCL122067,49,1300,528,350,1375,0.7,983,2.2
UCL122068,44,200,718,130,1375,0.7,1109,2
UCL122069,51,1761,780,348,1946,0.7,1518,2.2
UCL122070,44,2809,870,260,2833,0.8,1928,2.7
UCL122071,42,1738,600,380,1397,0.7,1240,2.5
UCL122072,46,914,813,225,1392,0.7,1406,2.1
UCL122073,58,1459,606,370,1312,0.7,1089,2
UCL122074,56,715,456,210,985,0.8,721,1.8
UCL122075,37,2524,985,360,2125,0.8,1949,2.9
UCL122076,42,1181,881,280,2078,0.8,1642,2.7
UCL122077,51,1083,490,330,1142,0.7,961,2.3
UCL122078,63,1400,594,395,1875,0.6,900,1.9
UCL122079,46,1955,900,468,2172,0.7,2036,2.5
UCL122080,37,2243,921,520,2319,0.8,2139,3
UCL122081,49,1114,720,230,1468,0.8,1199,2.2
UCL122082,62,1181,520,210,1325,0.8,713,1.6
UCL122083,46,2167,967,460,2600,0.7,2324,2.9
UCL122084,39,1712,785,500,2041,0.8,1656,2.8
UCL122085,47,594,439,210,900,0.8,735,2.1
UCL122086,52,650,503,188,1125,0.7,852,2
UCL122087,59,1300,643,355,1687,0.7,1292,2.3
UCL122088,47,1300,483,220,1375,0.9,1042,2.7
UCL122089,39,1300,698,280,1442,0.8,1320,2.4
UCL122090,50,2600,981,390,2517,0.7,2150,2.4
UCL122091,44,799,590,150,1333,0.8,1057,2.2
UCL122092,44,1858,756,373,2166,0.8,2015,2.8
UCL122093,47,867,571,170,1321,0.7,900,2
UCL122094,52,1675,604,360,1524,0.8,1114,2.2
UCL122095,41,1322,612,380,1562,0.8,1300,2.4
UCL122096,56,1170,589,400,1221,0.7,1125,2.2
UCL122097,50,1300,772,300,1843,0.8,1125,2.1
UCL122098,49,1300,471,300,1125,0.8,654,1.8
UCL122099,47,700,511,250,1333,0.7,949,2.1
UCL122100,58,1919,604,330,1392,0.7,1227,2.2
UCL122101,48,1532,758,388,1768,0.8,1489,2.4
UCL122102,56,1000,487,190,1093,0.7,730,1.9
UCL122103,53,802,520,150,1274,0.7,880,2
UCL122104,48,2817,931,623,3150,0.8,3075,3.3
UCL122105,41,2700,1275,550,3291,0.8,2833,2.9
