UCL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115075,119,174,126,25,626
UCL115076,121,142,68,13,744
UCL115077,361,499,219,44,1630
UCL115078,224,205,128,65,907
UCL115079,188,111,75,26,901
UCL115080,143,78,40,4,958
UCL115081,83,43,15,10,616
UCL115082,93,110,40,10,522
UCL115083,197,210,92,39,1182
UCL115084,241,274,143,24,950
UCL115085,143,138,76,11,737
UCL115086,287,154,45,9,2097
UCL115087,97,55,18,9,594
UCL115088,126,140,52,17,712
UCL115089,351,234,113,33,2567
UCL115090,94,89,66,23,491
UCL115091,121,132,66,5,620
UCL115092,93,98,48,23,800
UCL115093,140,119,49,12,647
UCL115094,235,228,124,74,1271
UCL115095,83,42,27,3,441
UCL115096,403,430,239,36,2069
UCL115097,304,271,126,23,1316
UCL115098,175,142,82,21,825
UCL115099,244,161,108,56,1276
UCL115100,239,260,161,71,1312
UCL115101,304,317,150,25,1377
UCL115102,122,125,68,19,799
UCL115103,64,80,29,16,421
UCL115104,163,174,77,53,813
UCL115105,119,96,61,38,726
UCL115106,269,221,136,64,1367
UCL115107,347,298,104,23,1963
UCL115108,184,98,24,3,1144
UCL115109,359,486,210,64,1824
UCL115110,248,207,122,52,1523
UCL115111,217,189,134,51,1503
UCL115112,125,60,16,0,1117
UCL115113,108,77,51,30,744
UCL115114,165,160,79,24,1088
UCL115115,511,422,149,39,2801
UCL115116,390,448,209,100,2295
UCL115117,102,184,175,64,835
UCL115118,193,163,72,37,843
UCL115119,317,208,80,21,1923
UCL115120,236,143,61,8,1565
UCL115121,144,139,59,9,789
UCL115122,180,172,113,42,1180
UCL115123,143,144,50,5,807
UCL115124,416,304,89,27,2356
UCL115125,314,353,189,53,1730
UCL115126,118,117,48,10,572
UCL115127,173,142,61,10,757
UCL115128,229,142,51,9,1259
UCL115129,231,156,66,34,1079
UCL115130,381,441,261,110,1805
UCL115131,383,333,165,46,1877
UCL115132,216,195,84,30,903
UCL115133,252,514,366,109,1520
UCL115134,323,261,129,58,1729
UCL115135,257,298,141,35,1339
UCL115136,135,80,23,7,1007
UCL115137,261,234,112,64,1962
UCL115138,80,80,21,6,1016
UCL115139,210,259,148,42,1161
UCL115140,139,181,52,16,681
UCL115141,115,84,55,22,667
UCL115142,347,405,181,39,1357
UCL115143,219,200,75,27,1130
UCL115144,330,355,163,44,1484
UCL115145,178,201,106,23,864
UCL115146,387,357,144,41,1646
UCL115147,91,100,23,0,591
UCL115148,102,121,77,27,603
UCL115149,157,89,25,10,819
UCL115150,83,74,25,3,496
UCL115151,122,113,44,7,856
UCL115152,92,61,39,15,428
UCL115153,100,80,60,42,614
UCL115154,108,59,38,10,615
UCL115155,340,249,174,63,1973
UCL115156,136,128,71,27,637
UCL115157,80,88,36,10,483
UCL115158,198,130,102,45,1342
UCL115159,148,83,21,6,873
UCL115160,164,84,25,0,1369
UCL115161,372,300,162,56,1941
UCL115162,250,200,117,17,1514
UCL115163,139,96,63,48,873
UCL115164,78,124,98,23,606
UCL115165,69,40,13,5,452
UCL121001,74,68,21,6,376
UCL121002,38,43,27,8,239
UCL121003,116,99,46,4,438
UCL121004,69,55,24,7,422
UCL121005,40,46,13,0,260
UCL121006,102,98,44,14,404
UCL121007,72,77,54,42,441
UCL121008,40,34,13,0,234
UCL121009,62,45,32,25,447
UCL121010,91,108,37,5,440
UCL121011,84,67,22,7,404
UCL121012,112,71,15,4,454
UCL121013,52,28,5,4,304
UCL121014,62,52,18,0,263
UCL121015,117,44,30,4,423
UCL121016,61,33,8,9,282
UCL121017,91,40,9,0,456
UCL121018,80,36,18,0,377
UCL121019,68,69,25,0,361
UCL121020,64,34,13,3,319
UCL121021,39,36,10,6,261
UCL121022,55,58,42,17,314
UCL121023,93,88,12,11,279
UCL121024,31,25,15,0,203
UCL121025,64,43,23,4,322
UCL121026,165,142,50,14,660
UCL121027,72,25,10,0,314
UCL121028,131,126,30,6,508
UCL121029,38,26,4,0,202
UCL121030,58,50,19,6,333
UCL121031,160,131,31,10,608
UCL121032,47,65,40,8,310
UCL121033,46,31,14,0,277
UCL121034,101,63,22,4,706
UCL121035,94,46,19,0,484
UCL121036,97,96,42,6,635
UCL121037,93,96,23,8,438
UCL121038,46,46,24,11,248
UCL121039,86,61,29,8,461
UCL121040,49,22,11,0,273
UCL121041,46,50,25,6,257
UCL121042,83,76,38,14,364
UCL121043,54,36,15,4,333
UCL121044,38,41,10,8,246
UCL121045,56,52,22,8,274
UCL121046,48,32,13,5,285
UCL121047,39,34,13,3,281
UCL121048,58,68,24,0,284
UCL121049,41,21,18,0,300
UCL121050,60,85,89,23,367
UCL121051,67,71,46,13,360
UCL121052,122,106,29,9,532
UCL121053,53,63,25,12,326
UCL121054,69,48,17,5,388
UCL121055,84,59,21,4,356
UCL121056,86,57,21,4,422
UCL121057,63,53,6,0,333
UCL121058,202,155,57,15,991
UCL121059,69,61,17,3,326
UCL121060,93,74,23,0,464
UCL121061,21,18,5,3,203
UCL121062,100,57,20,4,517
UCL121063,73,146,48,9,379
UCL121064,86,59,25,14,353
UCL121065,94,106,63,8,456
UCL121066,40,32,19,10,244
UCL121067,81,65,38,16,375
UCL121068,258,269,94,15,1167
UCL121069,64,31,5,0,390
UCL121070,83,47,25,6,330
UCL121071,29,27,10,3,217
UCL121072,41,39,17,5,347
UCL121073,41,54,25,10,281
UCL121074,82,73,35,6,384
UCL121075,43,55,96,90,385
UCL121076,73,54,14,0,476
UCL121077,59,47,21,5,391
UCL121078,43,29,15,0,296
UCL121079,53,47,14,0,279
UCL121080,102,90,35,5,553
UCL121081,57,32,9,0,288
UCL121082,153,160,48,18,688
UCL121083,115,113,45,7,569
UCL121084,60,42,11,0,384
UCL121085,124,133,40,3,608
UCL121086,90,86,42,23,434
UCL121087,58,45,13,3,274
UCL121088,45,26,7,0,295
UCL121089,109,72,28,10,469
UCL121090,86,52,12,0,379
UCL121091,109,74,25,9,399
UCL121092,70,43,13,3,520
UCL121093,63,46,11,0,476
UCL121094,67,43,26,9,325
UCL121095,84,51,21,3,393
UCL121096,118,126,34,5,465
UCL121097,88,77,26,3,386
UCL121098,113,105,39,7,501
UCL121099,61,61,31,11,301
UCL121100,100,132,39,6,567
UCL121101,103,67,35,5,529
UCL121102,160,158,46,8,635
UCL121103,86,53,27,7,417
UCL121104,66,56,29,14,338
UCL121105,81,84,23,8,316
UCL121106,116,151,63,4,559
UCL121107,81,68,19,6,401
UCL121108,72,69,23,3,381
UCL121109,49,58,25,7,281
UCL121110,60,66,30,3,425
UCL121111,50,45,36,24,302
UCL121112,54,54,12,7,366
UCL121113,53,16,13,3,234
UCL121114,94,101,27,0,495
UCL121115,101,115,42,3,375
UCL121116,83,50,12,3,459
UCL121117,66,31,13,3,300
UCL121118,30,29,12,0,246
UCL121119,95,58,23,10,414
UCL121120,35,24,7,8,256
UCL121121,43,48,17,0,280
UCL121122,59,24,9,0,299
UCL121123,35,34,19,6,336
UCL121124,82,103,30,4,318
UCL121125,109,111,47,14,476
UCL121126,48,35,18,10,254
UCL121127,34,34,17,0,312
UCL121128,71,40,22,7,484
UCL122001,15,4,0,0,106
UCL122002,35,18,19,3,220
UCL122003,29,20,3,0,200
UCL122004,31,52,10,0,132
UCL122005,30,25,7,0,128
UCL122006,18,41,6,9,132
UCL122007,34,37,23,4,184
UCL122008,25,13,3,0,117
UCL122009,16,17,5,0,127
UCL122010,38,17,0,0,144
UCL122011,49,23,4,0,198
UCL122012,9,19,10,0,103
UCL122013,20,17,5,0,84
UCL122014,26,30,9,0,156
UCL122015,41,42,27,3,169
UCL122016,17,24,6,0,122
UCL122017,34,24,9,0,141
UCL122018,27,42,16,5,160
UCL122019,34,17,9,0,141
UCL122020,41,35,13,3,149
UCL122021,28,29,9,0,114
UCL122022,63,35,26,4,236
UCL122023,44,53,26,7,250
UCL122024,15,20,3,0,107
UCL122025,34,10,5,0,121
UCL122026,12,6,4,0,88
UCL122027,31,45,26,9,147
UCL122028,37,21,14,0,169
UCL122029,35,50,19,0,169
UCL122030,68,39,6,0,216
UCL122031,20,18,4,0,199
UCL122032,34,24,7,0,201
UCL122033,15,4,4,0,93
UCL122034,26,14,4,5,121
UCL122035,55,46,18,0,214
UCL122036,37,23,9,0,180
UCL122037,16,5,4,0,133
UCL122038,31,31,8,3,150
UCL122039,41,32,9,3,181
UCL122040,31,19,0,0,104
UCL122041,52,35,7,4,208
UCL122042,17,16,8,0,144
UCL122043,20,22,3,4,125
UCL122044,13,8,0,0,49
UCL122045,22,11,11,0,98
UCL122046,117,71,20,11,322
UCL122047,61,54,25,0,214
UCL122048,42,26,25,3,211
UCL122049,26,33,16,8,146
UCL122050,22,17,5,0,81
UCL122051,22,18,7,4,116
UCL122052,42,45,14,0,181
UCL122053,33,20,18,12,129
UCL122054,32,42,11,4,254
UCL122055,54,70,46,3,257
UCL122056,17,32,10,0,116
UCL122057,15,22,3,0,129
UCL122058,47,54,21,0,238
UCL122059,41,40,10,0,230
UCL122060,37,30,12,4,185
UCL122061,12,7,9,0,64
UCL122062,26,10,8,0,134
UCL122063,21,12,7,4,112
UCL122064,27,17,6,3,119
UCL122065,76,65,22,0,250
UCL122066,44,18,4,0,188
UCL122067,54,49,18,0,239
UCL122068,19,10,0,0,102
UCL122069,50,34,10,5,197
UCL122070,42,38,19,7,234
UCL122071,18,34,16,4,171
UCL122072,30,17,13,0,143
UCL122073,51,40,15,0,167
UCL122074,22,27,7,0,106
UCL122075,23,4,4,0,132
UCL122076,17,13,9,0,95
UCL122077,30,20,8,0,139
UCL122078,39,42,17,5,166
UCL122079,40,24,11,3,169
UCL122080,34,21,15,0,201
UCL122081,20,20,14,6,117
UCL122082,23,31,15,6,109
UCL122083,33,16,8,0,153
UCL122084,12,7,3,0,81
UCL122085,19,18,10,0,108
UCL122086,27,36,7,0,154
UCL122087,25,36,4,0,113
UCL122088,22,26,3,0,112
UCL122089,33,24,12,3,214
UCL122090,65,50,18,3,288
UCL122091,21,18,15,3,153
UCL122092,47,44,16,3,217
UCL122093,23,19,13,4,160
UCL122094,42,38,16,3,199
UCL122095,32,12,0,0,117
UCL122096,34,22,22,0,134
UCL122097,18,9,13,0,107
UCL122098,74,63,11,10,296
UCL122099,22,25,5,0,117
UCL122100,73,77,28,8,298
UCL122101,39,51,10,0,223
UCL122102,52,38,16,5,171
UCL122103,25,7,3,0,86
UCL122104,53,25,12,0,203
UCL122105,42,19,4,0,188
UCL122106,37,21,16,0,149
UCL122107,41,28,7,0,184
UCL122108,38,61,24,8,168
UCL122109,150,69,11,6,673
UCL122110,35,25,14,0,195
UCL122111,49,25,3,0,199
UCL122112,47,41,21,4,170
UCL122113,26,15,8,0,106
UCL122114,47,57,24,3,189
UCL122115,41,41,18,0,171
UCL122116,59,53,28,10,216
UCL122117,41,29,8,0,217
UCL122118,18,14,3,0,141
UCL122119,61,71,23,0,253
UCL122120,39,28,6,4,218
UCL122121,25,12,4,0,138
UCL122122,43,38,14,3,270
UCL122123,21,18,11,5,84
UCL122124,20,9,7,0,159
UCL122125,32,30,17,3,128
UCL122126,67,36,19,0,224
UCL122127,30,25,3,8,152
UCL122128,17,15,3,0,89
UCL122129,30,31,12,6,154
UCL122130,13,23,7,0,96
UCL122131,267,154,34,0,1251
UCL122132,28,18,9,3,142
UCL122133,30,33,19,4,144
UCL122134,47,35,4,0,223
UCL122135,13,13,6,3,117
UCL122136,7,0,0,0,33
UCL122137,27,19,7,11,114
UCL122138,31,19,17,5,163
UCL122139,29,19,7,0,103
UCL122140,19,18,5,8,113
UCL122141,64,24,10,0,220
UCL122142,28,25,3,0,106
UCL122143,23,21,3,0,125
UCL122144,40,39,11,7,207
UCL122145,26,25,3,3,90
UCL122146,31,22,3,4,97
UCL122147,14,19,5,5,79
UCL122148,45,16,5,0,107
UCL122149,17,16,0,0,116
UCL122150,43,22,12,0,222
UCL122151,38,29,16,5,144
UCL122152,30,33,17,0,144
UCL122153,57,34,14,0,227
UCL122154,82,51,6,0,267
UCL122155,53,29,5,7,228
UCL122156,31,31,10,0,161
UCL122157,48,20,5,0,210
UCL122158,13,0,7,4,62
UCL131001,63787,47152,17683,3599,300541
UCL179997,12,0,0,0,15
UCL201001,306410,199655,100077,39268,2431279
UCL203001,7267,5786,2970,1177,52041
UCL203002,7111,5546,2984,1255,48854
UCL203003,12106,8884,4594,1788,92465
UCL211001,2568,1884,875,232,17729
UCL211002,3157,2114,780,172,32119
UCL212001,1297,964,458,115,10077
UCL212002,1048,783,456,221,6406
UCL212003,2324,1671,871,360,15886
UCL212004,2129,1903,799,301,12198
UCL212005,2979,2111,1186,571,21710
UCL212006,2817,1731,739,238,18542
UCL212007,1812,1460,631,242,12510
UCL212008,2045,1537,904,416,13828
UCL212009,2538,1853,982,468,16158
UCL213001,960,910,606,268,6284
UCL213002,1035,1065,657,302,5963
UCL213003,760,668,349,145,5097
UCL213004,938,863,446,111,6713
UCL213005,1343,1261,634,176,7959
UCL213006,822,490,297,125,5346
UCL213007,1092,829,422,194,7400
UCL213008,890,663,282,73,7391
UCL213009,876,619,402,139,5983
UCL213010,1142,967,498,197,6928
UCL213011,971,726,428,235,6075
UCL213012,837,677,298,106,4601
UCL213013,979,808,443,212,6732
UCL213014,673,461,283,131,4775
UCL213015,758,379,125,23,6420
UCL213016,1424,1172,744,359,9454
UCL213017,1406,1105,622,197,9391
UCL213018,592,630,415,146,3735
UCL214001,522,410,219,82,3053
UCL214002,298,222,128,63,2847
UCL214003,849,747,484,193,4729
UCL214004,277,299,177,83,2113
UCL214005,71,83,30,9,461
UCL214006,660,729,378,159,3495
UCL214007,230,117,36,4,2574
UCL214008,719,603,348,171,4406
UCL214009,797,569,351,147,4376
UCL214010,614,680,363,94,3256
UCL214011,565,443,249,89,4062
UCL214012,421,355,200,118,2578
UCL214013,385,348,220,93,2560
UCL214014,569,687,350,100,3194
UCL214015,366,379,236,72,2537
UCL214016,524,583,373,107,3233
UCL214017,693,886,515,170,3464
UCL214018,1069,1205,539,163,4953
UCL214019,472,339,170,69,2681
UCL214020,397,374,240,116,2514
UCL214021,314,270,123,75,2451
UCL214022,629,648,394,144,3758
UCL215001,313,249,88,18,1107
UCL215002,227,227,104,40,1210
UCL215003,431,464,201,55,2110
UCL215004,183,152,66,21,883
UCL215005,80,102,41,20,490
UCL215006,208,150,70,32,1253
UCL215007,270,248,162,52,1457
UCL215008,161,88,23,0,968
UCL215009,77,72,26,5,378
UCL215010,211,128,44,15,1133
UCL215011,83,89,56,17,494
UCL215012,327,354,150,50,1825
UCL215013,152,63,8,0,1860
UCL215014,73,39,26,6,529
UCL215015,269,234,147,42,1592
UCL215016,245,180,76,23,1748
UCL215017,195,97,87,35,1256
UCL215018,217,204,124,50,1288
UCL215019,238,189,55,15,1303
UCL215020,123,110,71,26,576
UCL215021,113,100,46,3,598
UCL215022,333,249,124,20,2076
UCL215023,100,77,59,28,591
UCL215024,114,159,79,30,739
UCL215025,129,125,45,13,538
UCL215026,111,85,49,6,536
UCL215027,112,71,47,30,546
UCL215028,273,256,143,67,1471
UCL215029,505,417,173,76,2221
UCL215030,99,90,49,22,549
UCL215031,111,92,48,26,572
UCL215032,214,256,146,57,1395
UCL215033,139,86,16,0,1286
UCL215034,108,137,93,47,628
UCL215035,103,88,44,6,741
UCL215036,99,75,36,7,600
UCL215037,131,110,59,11,656
UCL215038,165,161,111,45,860
UCL215039,98,122,69,35,664
UCL215040,97,101,26,25,554
UCL215041,281,239,132,60,1549
UCL215042,131,81,21,0,645
UCL215043,149,101,58,40,1357
UCL215044,136,114,46,11,821
UCL215045,280,249,142,53,1710
UCL215046,146,110,34,8,829
UCL215047,94,75,29,9,927
UCL215048,120,58,34,10,825
UCL215049,207,222,73,41,963
UCL215050,326,298,106,18,1650
UCL215051,314,272,143,44,1957
UCL215052,200,231,99,24,859
UCL215053,328,286,176,67,2011
UCL215054,143,93,54,27,804
UCL215055,246,266,96,16,964
UCL215056,114,79,34,9,733
UCL215057,155,132,58,22,876
UCL215058,107,90,40,16,502
UCL215059,234,259,116,29,1325
UCL215060,212,172,98,60,1282
UCL215061,156,154,81,51,948
UCL215062,124,109,53,23,689
UCL215063,84,103,56,16,559
UCL215064,142,85,63,42,843
UCL215065,319,271,162,48,1851
UCL215066,182,167,99,28,896
UCL215067,70,63,46,29,483
UCL215068,374,506,287,77,1803
UCL215069,342,432,196,90,1940
UCL215070,190,168,77,24,1287
UCL215071,367,201,108,9,1838
UCL215072,96,111,47,25,883
UCL215073,219,145,120,71,1142
UCL215074,333,225,98,14,2342
UCL215075,102,78,33,5,574
UCL215076,199,189,88,28,1121
UCL215077,188,168,83,32,980
UCL215078,141,71,34,0,883
UCL215079,154,158,99,47,909
UCL215080,151,161,52,7,1026
UCL215081,315,230,160,57,1957
UCL215082,159,108,29,5,1076
UCL215083,183,110,60,30,868
UCL215084,69,76,37,22,539
UCL215085,79,65,13,5,531
UCL215086,214,219,116,64,1716
UCL215087,159,101,35,0,858
UCL215088,236,169,85,26,1080
UCL215089,181,160,98,53,1010
UCL215090,160,136,57,40,1044
UCL215091,209,116,38,12,814
UCL215092,371,353,200,49,2453
UCL215093,270,193,59,12,1932
UCL215094,90,51,15,4,455
UCL215095,99,58,16,0,492
UCL215096,158,134,64,21,1139
UCL215097,212,201,112,33,1526
UCL215098,106,101,28,10,652
UCL215099,121,128,72,35,738
UCL215100,113,118,79,16,606
UCL221001,38,25,11,4,299
UCL221002,82,75,32,8,423
UCL221003,56,30,20,0,266
UCL221004,97,52,20,3,551
UCL221005,46,37,22,7,305
UCL221006,56,51,12,0,315
UCL221007,73,29,14,6,276
UCL221008,80,72,44,39,401
UCL221009,53,41,10,0,297
UCL221010,55,34,8,0,277
UCL221011,64,39,13,0,311
UCL221012,52,29,6,0,233
UCL221013,56,26,18,4,308
UCL221014,146,121,45,10,599
UCL221015,74,61,17,4,293
UCL221016,36,33,4,4,418
UCL221017,75,73,29,0,381
UCL221018,103,99,47,35,487
UCL221019,104,80,32,6,455
UCL221020,81,68,38,21,367
UCL221021,60,44,10,5,354
UCL221022,41,63,21,10,293
UCL221023,59,61,45,7,284
UCL221024,122,108,50,16,517
UCL221025,59,68,35,18,331
UCL221026,74,57,33,26,362
UCL221027,55,42,45,5,330
UCL221028,144,156,94,14,593
UCL221029,64,17,19,5,335
UCL221030,90,52,26,0,249
UCL221031,52,19,16,6,309
UCL221032,53,35,30,0,280
UCL221033,44,38,13,8,206
UCL221034,52,28,3,0,352
UCL221035,55,51,35,33,318
UCL221036,89,50,17,0,416
UCL221037,39,52,30,9,296
UCL221038,66,55,19,4,476
UCL221039,66,45,27,6,374
UCL221040,56,78,44,4,337
UCL221041,50,23,5,0,298
UCL221042,43,32,16,4,224
UCL221043,148,165,57,10,518
UCL221044,169,192,75,16,700
UCL221045,94,64,22,3,436
UCL221046,56,41,9,0,647
UCL221047,60,45,11,3,341
UCL221048,37,35,23,8,249
UCL221049,60,37,10,3,357
UCL221050,59,65,28,9,347
UCL221051,66,60,24,10,318
UCL221052,66,26,0,0,227
UCL221053,78,120,51,3,388
UCL221054,76,83,27,3,360
UCL221055,44,18,14,4,310
UCL221056,45,21,11,3,213
UCL221057,60,37,12,8,359
UCL221058,37,37,18,4,260
UCL221059,57,47,24,3,380
UCL221060,73,134,71,13,363
UCL221061,93,123,36,3,394
UCL221062,95,66,42,24,402
UCL221063,47,40,11,5,244
UCL221064,39,20,4,0,327
UCL221065,77,78,46,11,333
UCL221066,58,47,12,0,344
UCL221067,31,24,5,0,221
UCL221068,44,30,9,0,249
UCL221069,134,77,28,9,578
UCL221070,96,66,48,35,494
UCL221071,54,46,19,16,339
UCL221072,49,37,0,0,243
UCL221073,35,30,4,0,248
UCL221074,121,114,76,28,536
UCL221075,128,122,48,9,503
UCL221076,154,135,47,8,575
UCL221077,82,77,43,28,379
UCL221078,39,29,14,4,255
UCL221079,80,54,35,9,287
UCL221080,65,41,24,4,276
UCL221081,48,31,24,22,250
UCL221082,77,27,8,0,538
UCL221083,133,115,57,26,628
UCL221084,77,42,24,14,395
UCL222001,41,25,8,3,150
UCL222002,63,35,14,4,249
UCL222003,25,12,4,0,153
UCL222004,0,3,0,0,60
UCL222005,10,23,4,0,95
UCL222006,48,38,14,0,208
UCL222007,30,15,5,3,110
UCL222008,44,27,8,0,221
UCL222009,42,31,18,5,176
UCL222010,35,21,7,0,172
UCL222011,23,20,3,0,163
UCL222012,53,32,15,0,215
UCL222013,32,22,17,4,144
UCL222014,28,20,0,0,191
UCL222015,28,13,5,0,177
UCL222016,28,13,5,0,95
UCL222017,20,13,12,3,91
UCL222018,29,17,3,0,289
UCL222019,45,27,15,0,194
UCL222020,29,23,10,0,131
UCL222021,28,30,14,0,157
UCL222022,38,30,9,0,144
UCL222023,35,17,8,0,232
UCL222024,113,64,12,0,915
UCL222025,8,29,14,4,124
UCL222026,35,29,5,0,174
UCL222027,26,28,7,0,158
UCL222028,29,26,9,6,173
UCL222029,10,19,6,0,68
UCL222030,21,15,14,3,131
UCL222031,12,22,4,0,103
UCL222032,68,46,7,7,322
UCL222033,42,21,7,0,207
UCL222034,29,26,7,0,159
UCL222035,43,27,14,9,134
UCL222036,19,19,9,0,115
UCL222037,18,6,6,0,110
UCL222038,24,13,9,0,105
UCL222039,37,15,7,0,159
UCL222040,54,44,18,9,247
UCL222041,21,22,4,0,126
UCL222042,23,13,8,4,86
UCL222043,41,37,16,3,188
UCL222044,35,27,10,5,131
UCL222045,31,15,5,0,151
UCL222046,32,23,14,11,163
UCL222047,20,15,4,0,85
UCL222048,25,9,10,5,83
UCL222049,36,59,17,3,201
UCL222050,61,60,24,0,293
UCL222051,55,62,29,6,270
UCL222052,24,32,9,3,194
UCL222053,35,27,11,3,191
UCL222054,28,24,8,0,130
UCL222055,38,33,17,19,185
UCL222056,141,60,16,0,1068
UCL222057,40,20,7,0,168
UCL222058,127,60,9,0,694
UCL222059,20,19,4,0,101
UCL222060,20,16,6,0,85
UCL222061,15,11,0,0,106
UCL222062,55,21,22,28,234
UCL222063,66,56,20,6,259
UCL222064,24,13,5,0,125
