UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL413005,4995,11445,902,1533,15,28,915,1561,119,151,0,0,0,0,0,0,0,0,122,153,50,81,0,0,8,8,4,12,62,103,22,40,6117,13293,740,..,6859,13293
UCL413006,6864,14373,654,932,110,209,766,1133,127,169,31,49,18,31,0,0,0,0,176,255,34,61,28,44,0,3,8,17,70,124,39,80,7913,15969,2817,..,10728,15969
UCL414001,3769,7608,257,362,70,147,322,506,80,103,0,0,0,0,0,0,0,0,80,103,14,24,44,57,0,0,0,0,56,85,16,28,4253,8334,1972,..,6224,8334
UCL414002,1890,4916,31,58,0,0,33,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,1934,4990,98,..,2029,4990
UCL414003,1983,4700,147,241,0,4,150,242,3,5,0,0,0,0,0,0,0,0,3,5,8,13,3,3,0,0,0,4,7,21,37,53,2183,5023,273,..,2454,5023
UCL414004,2464,5664,172,236,0,0,172,236,10,12,0,0,0,0,0,0,0,0,10,12,31,52,13,20,0,0,0,3,41,73,12,16,2699,6002,182,..,2881,6002
UCL414005,2461,5876,162,228,0,0,162,228,0,0,0,0,0,0,0,0,0,0,0,3,14,18,0,0,0,0,11,16,21,36,13,26,2659,6166,150,..,2808,6166
UCL415001,757,1845,131,227,0,0,131,227,41,44,0,0,0,0,0,0,0,0,39,44,0,0,0,0,0,0,0,10,0,10,0,5,935,2126,87,..,1020,2126
UCL415002,1300,3963,19,29,0,0,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1327,4008,50,..,1375,4008
UCL415003,718,1667,101,169,0,0,101,169,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,4,0,0,10,13,5,9,832,1856,107,..,935,1856
UCL415004,615,1532,44,57,0,0,44,57,3,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,655,1603,42,..,702,1603
UCL415005,695,1483,168,239,6,21,176,257,18,20,0,0,0,0,0,0,0,0,18,20,21,46,5,16,0,9,0,0,34,64,4,8,922,1838,154,..,1080,1838
UCL415006,1449,3380,328,523,3,4,329,526,71,107,0,0,0,0,0,0,0,0,71,107,36,58,21,39,6,5,0,0,68,105,11,13,1928,4122,228,..,2160,4122
UCL415007,1042,2530,78,115,0,0,78,115,0,0,0,0,0,0,0,0,0,0,0,0,18,25,5,7,4,5,0,0,27,41,4,5,1156,2684,135,..,1284,2684
UCL415008,849,2067,43,57,3,3,44,55,25,32,0,0,0,0,0,0,0,0,21,28,70,128,28,52,0,5,0,0,97,182,28,50,1038,2389,177,..,1218,2389
UCL415009,1387,3072,111,156,4,5,111,156,0,0,0,0,0,0,0,0,0,0,0,0,26,48,16,24,0,0,0,4,46,77,5,12,1550,3315,186,..,1734,3315
UCL415010,685,1278,11,21,0,0,9,25,45,90,0,0,0,0,0,0,0,0,52,85,153,302,0,0,6,15,3,10,159,325,24,40,924,1745,446,..,1372,1745
UCL415011,498,1130,57,94,0,0,57,94,0,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,0,0,5,9,19,36,3,5,578,1260,69,..,646,1260
UCL415012,836,2392,8,13,0,0,8,13,8,8,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,854,2416,31,..,884,2416
