UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL122052,112,267,3,4,3,13,3,14,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,16,0,0,0,0,15,20,0,0,132,302,90,..,216,302
UCL122053,140,257,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,14,9,0,3,0,0,0,0,0,0,5,7,0,0,153,273,34,..,190,273
UCL122054,176,465,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,4,7,192,485,3,..,189,485
UCL122055,193,429,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,432,25,..,222,432
UCL122056,115,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,310,0,..,117,310
UCL122057,95,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,260,9,..,108,260
UCL122058,225,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,490,67,..,292,490
UCL122059,189,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,187,459,13,..,203,459
UCL122060,160,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,164,389,6,..,165,389
UCL122061,77,174,4,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,74,186,22,..,96,186
UCL122062,123,297,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,10,132,314,8,..,137,314
UCL122063,124,288,0,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,5,10,0,0,132,305,17,..,148,305
UCL122064,138,334,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,16,22,3,4,0,0,0,0,15,29,4,0,159,366,10,..,168,366
UCL122065,165,341,0,6,0,0,8,5,9,19,0,0,0,0,0,0,0,0,9,19,24,52,3,6,0,0,0,3,31,67,0,0,208,434,166,..,374,434
UCL122066,136,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,362,12,..,146,362
UCL122067,186,427,4,9,6,7,6,13,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,196,440,18,..,213,440
UCL122068,77,159,6,7,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,0,0,87,173,14,..,102,173
UCL122069,141,317,0,7,12,27,9,30,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,7,0,0,160,356,40,..,202,356
UCL122070,118,384,28,34,0,0,28,34,17,17,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,161,434,16,..,177,434
UCL122071,142,359,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,365,9,..,157,365
UCL122072,111,229,5,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,5,6,13,10,0,3,4,3,20,25,0,0,136,264,14,..,150,264
UCL122073,138,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,6,3,7,0,0,10,16,0,5,157,296,177,..,326,296
UCL122074,134,254,8,12,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,263,33,..,176,263
UCL122075,90,259,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,93,269,3,..,92,269
UCL122076,84,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,212,0,..,85,212
UCL122077,144,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,344,5,..,150,344
UCL122078,142,265,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,139,272,4,..,147,272
UCL122079,112,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,275,7,..,118,275
UCL122080,148,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,447,8,..,153,447
UCL122081,106,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,251,16,..,126,251
UCL122082,70,138,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,0,3,4,23,26,20,33,0,0,0,0,44,62,27,34,146,234,50,..,197,234
UCL122083,103,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,103,283,9,..,107,283
UCL122084,71,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,70,199,6,..,74,199
UCL122085,123,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,5,5,8,18,0,0,128,282,28,..,155,282
UCL122086,177,354,7,8,0,0,7,8,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,9,190,379,82,..,275,379
UCL122087,80,177,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,90,192,76,..,165,192
UCL122088,86,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,235,12,..,105,235
UCL122089,176,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,431,6,..,188,431
UCL122090,192,435,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,442,19,..,211,442
UCL122091,135,307,5,12,0,0,5,12,4,7,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,149,328,44,..,185,328
UCL122092,130,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,362,11,..,144,362
UCL122093,158,323,20,16,7,8,23,26,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,182,353,78,..,262,353
UCL122094,134,312,3,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,22,39,0,0,0,0,26,45,0,0,167,363,52,..,215,363
UCL122095,91,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,0,0,95,232,7,..,101,232
UCL122096,113,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,3,0,0,0,0,3,13,0,3,121,257,38,..,157,257
UCL122097,76,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,26,0,0,0,0,20,28,4,10,102,209,3,..,105,209
UCL122098,206,395,13,16,8,10,13,23,15,29,0,0,0,0,0,0,0,0,15,29,13,17,0,0,0,4,0,0,22,20,3,20,258,489,24,..,282,489
UCL122099,115,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,114,239,20,..,134,239
UCL122100,220,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,224,490,90,..,310,490
UCL122101,139,353,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,146,359,15,..,162,359
UCL122102,136,271,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,18,0,0,0,0,13,23,6,3,148,301,0,..,157,301
UCL122103,92,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,94,187,27,..,122,187
UCL122104,126,397,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,129,405,4,..,132,405
UCL122105,109,314,5,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,319,10,..,118,319
UCL122106,122,273,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,3,0,7,3,3,137,286,6,..,139,286
UCL122107,142,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,336,4,..,153,336
UCL122108,121,244,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,123,247,105,..,233,247
UCL122109,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,23,0,..,7,23
UCL122110,141,359,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,355,3,..,144,355
UCL122111,112,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,364,3,..,118,364
UCL122112,129,265,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,8,0,0,0,0,7,12,0,0,139,277,69,..,205,277
UCL122113,80,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,193,4,..,84,193
UCL122114,144,272,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,22,43,0,0,0,0,0,0,22,43,0,0,168,317,81,..,253,317
UCL122115,115,286,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,293,8,..,119,293
UCL122116,130,315,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,320,166,..,305,320
UCL122117,145,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,145,430,5,..,148,430
UCL122118,114,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,283,4,..,117,283
UCL122119,169,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,7,4,4,0,0,11,21,0,0,186,382,199,..,387,382
UCL122120,164,450,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,167,458,6,..,178,458
UCL122121,115,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,292,3,..,115,292
UCL122122,159,472,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,161,479,4,..,166,479
UCL122123,97,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,198,10,..,112,198
UCL122124,92,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,274,4,..,96,274
UCL122125,105,206,4,7,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,115,225,90,..,205,225
UCL122126,134,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,135,404,4,..,144,404
UCL122127,125,261,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,129,265,42,..,172,265
UCL122128,90,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,203,25,..,107,203
UCL122129,118,291,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,293,3,..,124,293
UCL122130,77,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,198,10,..,90,198
UCL122131,89,246,5,5,3,3,0,9,86,247,48,143,16,27,0,0,0,7,148,425,0,5,0,0,3,3,0,0,5,12,22,37,271,729,284,..,552,729
UCL122132,173,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,7,11,0,3,182,441,14,..,193,441
UCL122133,79,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,118,0,0,0,0,4,0,97,115,0,0,171,274,3,..,173,274
UCL122134,143,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,380,16,..,158,380
UCL122135,70,181,6,18,0,0,6,18,0,3,0,0,0,0,0,0,0,0,0,3,5,11,0,6,0,0,0,0,8,16,6,7,97,215,10,..,105,215
UCL122136,40,160,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,40,171,4,..,51,171
UCL122137,126,229,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,3,0,0,0,0,0,3,0,0,141,245,18,..,161,245
UCL122138,164,309,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,5,169,318,25,..,194,318
UCL122139,112,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,247,10,..,128,247
UCL122140,83,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,88,197,5,..,91,197
UCL122141,145,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,369,9,..,156,369
UCL122142,85,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,10,4,10,0,0,95,204,9,..,98,204
UCL122143,86,190,0,0,4,13,4,13,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,88,205,8,..,104,205
UCL122144,161,360,0,0,8,18,8,18,15,19,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,4,0,4,0,0,184,396,13,..,200,396
UCL122145,122,215,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,225,76,..,200,225
UCL122146,107,222,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,230,6,..,120,230
UCL122147,101,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,7,4,0,0,103,201,18,..,117,201
UCL122148,102,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,13,16,0,0,109,208,26,..,145,208
UCL122149,146,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,339,3,..,150,339
UCL122150,178,440,8,18,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,457,10,..,188,457
UCL122151,128,258,4,3,0,0,4,3,3,0,0,0,0,0,0,0,0,0,3,0,10,17,0,0,4,0,0,0,12,17,0,0,148,282,17,..,161,282
UCL122152,154,321,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,325,12,..,167,325
UCL122153,149,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,6,4,10,17,0,0,0,0,13,25,0,0,163,403,25,..,189,403
UCL122154,166,390,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,6,0,3,0,0,0,0,0,0,4,4,0,0,171,398,23,..,195,398
UCL122155,203,444,5,14,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,4,8,8,4,218,472,30,..,247,472
UCL122156,164,391,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,5,0,5,0,3,171,407,0,..,172,407
UCL122157,125,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,413,0,..,121,413
UCL122158,81,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,88,186,3,..,94,186
UCL131001,204759,551633,1041,2495,302,756,1344,3250,334,593,9,26,7,12,23,52,417,944,781,1626,1353,2266,1313,2184,673,1136,427,1080,3768,6665,1717,3522,212373,566693,30951,..,243326,566693
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
UCL201001,1139648,3300049,163742,337901,131817,325015,295563,662916,90593,163557,56268,92262,66669,109262,81245,140113,1075,2360,295856,507544,508,689,1561,1961,698,711,3942,7714,6708,11076,2068,4007,1739836,4485591,188947,..,1928785,4485591
UCL203001,36592,89928,5131,8530,594,1102,5725,9636,1095,1579,87,132,4,4,0,0,11,28,1201,1745,20,28,18,24,27,28,51,110,111,185,82,165,43713,101659,3370,..,47089,101659
UCL203002,36831,90507,3070,4763,480,906,3552,5670,446,699,19,48,0,0,0,0,13,15,482,761,38,65,38,57,17,15,35,79,130,220,84,180,41074,97335,2990,..,44061,97335
UCL203003,60310,153089,7633,12038,1770,3554,9402,15593,1868,2914,183,273,348,529,151,257,20,26,2565,3994,47,66,275,386,25,30,141,328,487,806,133,234,72894,173717,5193,..,78090,173717
UCL211001,13386,33733,1479,2148,99,189,1577,2335,299,423,0,0,0,0,0,0,3,8,300,431,49,57,0,0,17,15,9,25,73,100,21,35,15357,36627,1018,..,16375,36627
UCL211002,23906,71274,1890,3561,308,710,2195,4270,77,146,0,0,0,0,0,0,20,42,96,193,0,0,0,0,0,0,8,47,7,44,24,67,26227,75851,1450,..,27678,75851
UCL212001,7303,19722,674,1071,129,247,803,1320,49,57,0,0,21,26,0,0,8,18,84,99,15,30,34,51,4,8,6,9,58,98,8,15,8244,21247,491,..,8736,21247
UCL212002,4881,11806,794,1197,17,35,816,1227,16,25,0,0,0,0,0,0,0,5,15,33,6,7,77,124,0,0,9,10,88,142,10,25,5815,13231,576,..,6391,13231
UCL212003,11829,30065,1529,2487,76,135,1603,2626,1192,1824,32,34,0,0,0,0,3,3,1224,1862,94,181,104,221,0,4,16,36,218,443,58,98,14935,35101,1282,..,16217,35101
UCL212004,7990,20346,296,519,239,476,529,992,55,90,8,15,0,0,0,0,0,0,66,105,13,27,24,34,0,0,5,13,41,71,0,6,8632,21521,2302,..,10942,21521
UCL212005,16675,43834,2226,3662,113,221,2335,3883,56,71,21,19,0,0,0,0,5,11,81,103,45,61,101,139,31,34,232,336,406,566,37,89,19525,48482,1375,..,20905,48482
UCL212006,12617,34723,428,657,191,380,623,1035,1085,1730,0,0,0,0,0,0,5,14,1092,1746,0,0,0,0,0,3,0,3,7,10,9,10,14339,37526,649,..,14986,37526
UCL212007,7593,20771,291,495,334,695,629,1194,16,18,30,52,4,10,0,0,0,0,50,82,13,26,9,23,0,0,0,0,25,48,15,23,8314,22120,2135,..,10449,22120
UCL212008,9729,24069,484,708,59,111,538,817,1071,1495,0,0,0,0,0,0,3,5,1076,1497,18,26,91,134,16,29,0,5,125,196,24,43,11493,26617,936,..,12428,26617
UCL212009,11334,27896,1317,2011,366,679,1683,2689,621,881,52,71,0,0,0,0,3,7,673,960,46,80,51,101,9,9,4,13,112,199,22,52,13827,31794,1167,..,14995,31794
UCL213001,5003,11838,747,1078,30,65,780,1140,88,132,0,0,0,0,0,0,0,0,88,132,10,15,18,23,11,11,11,21,46,75,13,29,5924,13213,571,..,6496,13213
UCL213002,4339,9246,235,322,15,22,250,347,4,3,0,0,0,0,0,0,3,4,11,11,12,12,0,0,0,0,17,46,33,60,8,11,4638,9672,426,..,5059,9672
UCL213003,4530,10916,587,784,13,20,594,805,0,0,0,0,0,0,0,0,4,8,0,12,10,11,29,30,15,23,13,19,58,84,8,14,5202,11833,449,..,5652,11833
UCL213004,5136,13354,306,457,5,8,306,461,234,349,0,0,0,0,0,0,0,0,235,351,0,0,96,115,0,0,0,0,96,121,4,8,5781,14294,366,..,6142,14294
UCL213005,6282,15318,240,339,33,62,273,400,30,44,0,0,0,0,0,0,5,3,35,50,0,0,0,0,0,0,4,5,3,8,0,0,6595,15771,534,..,7128,15771
UCL213006,3347,9901,381,640,20,36,401,675,12,29,19,32,0,0,0,0,0,9,31,66,0,0,0,0,0,0,0,0,0,0,0,7,3778,10652,200,..,3974,10652
UCL213007,6246,14725,384,509,6,11,386,517,404,546,0,0,0,0,0,0,0,0,404,546,28,41,20,34,0,0,8,19,54,92,10,8,7100,15894,625,..,7726,15894
UCL213008,5149,14159,597,1112,31,54,621,1170,53,57,0,0,0,0,0,0,0,0,53,57,0,3,0,0,0,0,0,0,0,3,10,19,5835,15412,269,..,6097,15412
UCL213009,4406,11435,318,465,7,18,328,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4738,11922,224,..,4962,11922
UCL213010,5866,13440,983,1293,35,40,1017,1336,265,333,0,0,0,0,0,0,0,0,265,328,56,68,7,10,0,0,0,0,64,76,6,7,7224,15194,719,..,7939,15194
UCL213011,5331,12326,366,475,56,104,423,580,490,703,0,0,0,0,0,0,6,0,493,703,0,0,0,0,4,4,3,11,7,13,7,3,6255,13624,636,..,6891,13624
UCL213012,4005,9135,399,566,43,65,439,632,56,80,3,10,0,0,0,0,0,12,61,96,37,53,12,16,0,3,13,15,56,84,7,9,4576,9964,565,..,5134,9964
UCL213013,5039,12067,377,549,109,146,486,702,402,544,28,51,0,0,0,0,0,3,426,597,25,29,25,37,7,3,5,8,58,78,13,26,6031,13470,635,..,6665,13470
UCL213014,3686,9184,399,631,6,14,409,639,364,580,7,10,0,0,0,0,3,0,372,593,31,63,15,29,12,13,10,19,71,134,10,29,4548,10572,409,..,4956,10572
UCL213015,4574,13780,300,615,78,179,372,788,6,6,0,0,0,0,0,0,6,3,7,15,0,0,0,0,0,0,0,0,0,0,6,11,4965,14602,256,..,5217,14602
UCL213016,7188,17094,1168,1632,74,124,1251,1753,0,0,0,0,0,0,0,0,3,5,3,5,13,26,7,10,6,5,14,29,42,71,9,18,8498,18942,614,..,9114,18942
UCL213017,6597,16962,373,540,47,72,418,612,338,508,0,0,0,0,0,0,5,12,347,519,15,23,181,263,0,3,8,12,204,299,8,17,7568,18409,471,..,8039,18409
UCL213018,3026,7139,469,701,38,62,507,760,13,16,0,0,0,0,0,0,0,0,16,19,35,61,54,81,3,3,8,15,96,155,3,9,3646,8094,708,..,4353,8094
UCL214001,2742,6190,310,428,9,19,322,450,4,27,13,15,0,0,0,0,0,0,15,41,5,8,23,36,0,0,9,17,40,67,7,17,3124,6761,308,..,3432,6761
UCL214002,1921,5802,82,170,0,0,82,170,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,5972,72,..,2079,5972
UCL214003,3778,8268,634,884,3,8,635,890,4,5,0,0,0,0,0,0,0,0,9,3,27,24,7,15,0,0,13,34,45,71,18,29,4474,9265,467,..,4945,9265
UCL214004,2127,4782,204,308,0,0,204,308,3,6,0,0,0,0,0,0,0,0,3,6,14,19,15,34,8,7,0,5,33,62,4,19,2373,5170,280,..,2656,5170
UCL214005,376,901,48,74,0,0,48,74,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,422,986,40,..,467,986
UCL214006,2582,5652,265,392,92,184,359,575,88,120,30,32,6,5,0,0,0,0,125,165,11,13,8,11,0,0,0,3,13,24,9,29,3097,6447,3315,..,6406,6447
UCL214007,1771,4671,148,313,10,12,157,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1933,5004,92,..,2023,5004
UCL214008,3826,8569,268,366,5,12,274,379,107,132,0,0,0,0,0,0,4,0,110,131,16,23,12,25,0,0,3,10,35,60,7,13,4252,9155,480,..,4731,9155
UCL214009,3149,7762,284,426,14,40,302,467,15,18,0,0,0,0,0,0,0,0,13,21,4,7,41,53,0,0,3,10,45,69,5,15,3514,8330,288,..,3802,8330
UCL214010,2410,5433,178,252,77,136,253,395,7,14,3,4,0,0,0,0,0,0,8,17,4,6,0,0,0,0,0,0,4,6,0,0,2678,5853,1785,..,4469,5853
UCL214011,2919,7767,409,614,25,48,437,668,21,34,0,0,0,0,0,0,0,4,24,40,28,55,0,0,0,0,0,5,29,57,6,10,3414,8542,196,..,3606,8542
UCL214012,2240,5273,341,452,0,0,340,455,21,32,0,0,0,0,0,0,0,0,21,32,10,7,13,13,0,0,0,0,15,23,3,4,2620,5785,231,..,2850,5785
UCL214013,1823,4386,264,398,15,28,280,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,56,32,56,0,4,2134,4869,247,..,2389,4869
UCL214014,2445,5396,306,451,48,82,351,528,43,60,3,8,0,0,0,0,3,4,48,72,56,79,67,110,0,0,8,12,129,204,28,50,3002,6246,838,..,3843,6246
