UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL122037,5,0,5,14,15,29,0,0,0,0,0,0,14,12,29,0,4,7,3,3,10,5,0,5,12,11,19,0,0,0,0,0,0,0,0,0,9,4,8,0,0,0,7,4,9,0,4,4,0,0,0,0,0,0,3,4,6,0,0,0,3,3,9,6,10,19,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,44,39,83
UCL122038,4,0,4,18,7,22,0,0,0,0,0,0,18,7,22,4,4,6,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,4,0,4,4,0,5,0,0,0,5,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,5,5,6,0,0,0,0,0,3,0,0,0,0,0,3,10,3,11,0,0,0,42,18,55
UCL122039,5,9,9,9,27,37,0,0,0,7,0,6,16,28,45,8,6,13,4,4,4,3,3,10,17,12,24,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,4,8,16,0,0,0,0,0,0,0,0,0,0,0,0,17,9,26,0,0,0,62,66,125
UCL122040,5,0,5,12,9,24,0,0,0,0,5,4,14,15,25,0,8,7,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,10,9,22,0,0,0,31,39,65
UCL122041,0,3,7,12,14,26,0,6,3,0,3,3,15,16,33,3,9,17,3,0,3,0,0,0,10,17,17,0,0,0,0,3,3,5,4,6,0,8,8,0,0,0,7,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,11,20,0,0,0,0,6,7,0,0,0,0,6,7,12,14,22,0,0,0,40,64,100
UCL122042,5,3,3,11,7,13,0,0,6,0,5,8,11,13,30,6,3,6,3,0,3,0,3,3,6,4,15,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,5,4,5,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,8,6,14,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,0,0,0,43,31,76
UCL122043,4,0,7,22,6,32,5,0,5,0,0,0,30,6,38,9,8,14,0,0,5,0,0,0,10,10,18,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,13,13,0,0,0,53,34,84
UCL122044,0,0,0,0,4,5,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,11,12,19
UCL122045,8,4,12,11,6,19,0,0,0,0,0,0,12,6,23,0,4,6,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,0,0,0,30,28,56
UCL122046,0,0,0,7,7,8,0,0,0,4,6,9,9,9,14,4,5,7,0,0,5,0,10,6,8,11,19,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,5,3,10,0,3,0,0,0,0,0,0,0,0,7,4,0,0,0,4,7,14,12,11,20,0,0,0,0,0,4,0,0,0,0,0,4,8,10,21,0,0,0,37,46,79
UCL122047,0,0,3,8,7,21,0,0,0,0,0,0,8,7,21,11,16,25,0,0,0,0,5,9,19,12,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,3,3,0,0,0,0,0,0,0,4,5,0,0,0,0,4,9,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,37,34,73
UCL122048,0,0,8,10,13,23,0,0,5,0,0,0,12,12,25,9,13,17,0,3,3,0,0,0,9,18,24,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,3,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,7,11,0,0,0,0,0,0,0,0,0,0,0,0,58,62,122,0,0,0,90,94,186
UCL122049,0,0,0,5,9,15,0,0,0,0,0,0,4,9,12,8,12,18,0,0,0,0,0,0,8,12,18,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,10,0,0,0,0,0,3,0,0,0,0,0,3,12,15,33,0,0,0,35,46,79
UCL122050,0,0,0,4,5,11,0,0,0,0,0,0,4,5,11,3,3,12,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,19,29,48
UCL122051,0,5,5,8,7,14,4,4,9,0,0,0,8,10,21,13,12,22,0,0,5,0,0,0,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,5,4,26,21,46,0,0,0,50,55,102
UCL122052,3,5,6,13,9,19,0,0,0,4,0,5,15,15,26,4,3,7,0,0,0,3,0,0,10,4,11,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,4,0,9,0,0,0,6,0,6,0,0,0,0,0,3,0,0,0,0,4,10,8,10,11,0,0,0,0,0,0,0,0,0,0,0,0,11,15,27,0,0,0,46,39,86
UCL122053,0,0,3,7,6,12,0,3,3,0,0,0,7,6,15,6,6,10,0,0,0,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,20,21,37,0,0,0,31,36,64
UCL122054,8,4,11,19,11,23,8,3,9,0,0,0,24,12,37,12,12,22,0,4,6,0,0,0,9,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,76,63,142,19,10,30,141,108,246
UCL122055,4,7,12,15,12,28,4,4,0,5,8,14,20,20,40,8,8,13,6,4,3,3,4,4,11,13,24,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,3,4,11,5,6,13,0,0,0,0,0,4,0,0,0,4,0,4,10,12,14,0,0,0,49,57,104
UCL122056,0,5,4,5,9,9,8,4,11,5,0,5,11,9,25,13,10,22,5,6,11,3,0,3,20,18,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,9,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,46,42,85
UCL122057,0,0,0,5,6,11,3,0,4,8,4,7,14,15,22,0,3,3,6,5,7,0,0,0,4,9,10,0,0,0,0,0,0,0,5,3,3,3,11,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,7,14,0,0,0,0,3,3,0,0,0,0,3,3,3,4,4,0,0,0,27,29,61
UCL122058,10,3,13,18,18,35,0,0,0,0,0,0,18,18,35,9,10,20,0,0,0,0,0,0,11,10,24,0,0,0,0,0,0,0,0,6,3,0,3,0,0,3,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,10,15,0,0,0,0,0,0,0,0,0,0,0,0,17,9,31,0,0,0,60,52,113
UCL122059,9,0,10,24,9,36,4,0,4,0,3,3,23,16,41,13,8,26,0,3,3,0,0,0,13,19,31,5,4,9,0,0,0,0,0,4,6,3,9,0,0,0,6,7,16,0,4,4,0,0,0,0,4,4,0,6,6,0,0,0,0,6,12,7,16,24,0,0,0,0,0,0,0,0,0,0,0,0,12,19,34,0,0,0,67,77,138
UCL122060,8,6,6,10,13,25,6,3,8,0,0,0,10,20,33,3,19,22,0,0,5,0,0,0,6,18,26,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,3,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,26,20,49,0,0,0,55,70,125
UCL122061,6,6,6,7,3,14,0,0,0,0,0,0,7,3,14,4,5,12,0,0,0,0,0,0,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,26,44,0,0,0,42,39,75
UCL122062,0,0,10,9,13,18,0,0,0,0,0,0,9,12,24,8,9,19,0,0,0,0,0,0,8,9,19,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,20,22,42,0,0,0,44,55,97
UCL122063,3,4,8,9,14,24,0,0,0,0,0,0,9,14,24,4,11,16,0,0,0,0,0,0,7,11,17,0,0,0,0,0,0,4,0,3,0,3,3,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,0,0,0,31,40,71
UCL122064,4,4,8,10,15,24,4,3,4,0,0,0,12,19,34,12,9,15,0,0,0,0,4,4,12,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,15,19,38,0,0,0,49,51,99
UCL122065,0,0,4,0,3,4,3,0,7,0,0,6,8,9,12,0,3,3,3,0,8,0,3,3,6,6,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,18,13,34,0,0,0,35,34,64
UCL122066,3,0,3,11,7,22,4,0,7,0,4,7,19,20,37,0,7,8,9,9,14,4,4,6,10,15,30,0,0,0,0,0,0,0,4,4,0,4,3,0,0,0,0,6,6,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,7,9,14,8,13,22,0,0,0,0,0,5,0,0,0,0,0,5,3,4,6,0,0,0,46,54,102
UCL122067,3,0,6,8,6,10,3,3,6,0,0,5,12,12,22,8,15,26,0,0,0,7,7,14,16,19,36,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,3,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,5,7,11,14,0,0,0,0,0,0,0,0,0,0,0,0,15,10,23,0,0,0,52,51,103
UCL122068,0,0,0,6,0,3,0,0,0,0,0,0,6,0,3,4,4,3,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,38,19,58,0,0,0,45,24,75
UCL122069,0,9,8,7,12,24,0,0,0,0,0,5,9,18,27,0,5,9,9,9,15,0,3,3,8,14,22,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,4,7,8,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,3,4,9,18,0,0,0,0,0,3,0,0,0,0,0,3,0,7,8,3,0,4,36,57,91
UCL122070,10,6,17,8,18,25,0,0,7,6,5,4,18,20,43,5,3,14,9,0,9,4,7,8,15,13,25,0,0,0,0,0,0,5,4,8,0,0,3,0,0,0,4,3,11,5,5,11,0,0,0,0,0,0,0,0,3,0,0,0,4,7,11,10,12,25,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,0,0,0,57,59,114
UCL122071,0,4,10,5,12,22,8,9,16,0,0,0,16,21,38,10,8,19,4,4,3,0,0,0,15,8,25,0,0,0,0,0,0,4,4,8,0,0,3,0,0,0,9,9,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,4,12,11,18,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,0,0,0,45,51,99
UCL122072,0,0,7,13,6,23,0,0,0,0,0,0,13,8,19,11,3,11,0,0,0,0,0,0,11,3,11,6,0,6,0,0,0,3,0,6,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,7,8,11,16,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,0,0,0,32,36,66
UCL122073,0,0,0,8,6,15,0,0,0,0,0,0,8,6,15,3,0,11,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,3,8,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,4,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,13,8,25,0,0,0,32,27,58
UCL122074,0,0,0,4,4,12,0,0,0,0,0,0,4,4,12,4,3,9,0,0,0,0,0,0,4,3,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,9,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,13,13,29,0,0,0,28,26,51
UCL122075,0,3,9,7,15,24,0,3,0,0,0,0,9,19,27,6,6,14,7,0,4,4,5,3,15,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,6,5,3,3,6,0,0,0,0,3,3,0,0,0,0,3,3,10,5,16,0,0,0,40,43,80
UCL122076,0,0,0,7,14,17,0,0,4,3,0,3,9,14,24,7,6,14,0,0,0,0,0,0,7,10,20,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,23,31,61
UCL122077,0,0,6,5,14,22,0,0,0,0,3,4,10,13,24,10,3,14,0,0,0,5,5,7,9,8,19,0,3,4,0,0,0,6,0,3,0,4,4,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,21,22,44,0,0,0,42,51,100
UCL122078,0,0,3,0,0,4,0,0,3,0,0,0,4,0,8,0,0,4,3,0,3,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,16,12,18,0,4,5,24,23,53
UCL122079,9,0,13,11,3,12,0,4,4,4,0,6,14,9,26,11,7,17,0,0,3,5,0,3,12,9,25,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,10,9,0,0,0,0,9,9,3,11,17,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,40,33,74
UCL122080,10,4,11,15,8,18,10,7,21,3,0,3,26,21,45,3,0,7,8,5,17,3,0,4,17,10,24,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,9,8,0,6,4,0,0,3,0,0,4,3,0,3,0,0,0,7,5,12,9,11,19,0,0,0,0,0,0,0,0,0,0,0,0,12,7,15,0,0,0,65,58,123
UCL122081,0,0,4,5,7,15,0,0,0,3,6,9,9,14,23,0,5,9,0,0,0,0,0,3,6,10,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,17,30,0,0,0,35,42,76
UCL122082,0,4,4,5,3,8,0,0,0,0,0,0,5,3,8,5,5,5,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,7,7,12,0,0,0,11,19,37
UCL122083,6,6,7,5,5,12,3,3,6,0,0,0,9,9,15,6,0,5,9,7,16,6,0,6,15,8,23,0,0,0,0,0,0,4,6,4,0,4,6,0,0,0,6,5,11,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,11,14,25,0,0,0,0,4,4,0,0,0,0,4,4,3,6,8,0,0,0,39,41,87
UCL122084,6,3,4,8,8,14,0,0,0,0,0,0,6,9,17,6,5,14,0,0,0,0,0,4,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,9,23,0,0,0,35,31,67
UCL122085,4,0,5,9,7,15,0,0,0,0,0,0,6,13,23,10,13,27,0,0,0,0,0,0,10,13,27,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,5,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,11,13,22,0,0,0,33,46,84
UCL122086,4,0,9,13,8,25,0,0,0,0,0,0,13,8,25,5,9,17,0,0,0,0,0,0,5,9,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,6,0,0,0,0,0,0,0,0,0,0,0,3,35,34,70,0,0,0,65,62,125
UCL122087,0,0,6,3,3,8,0,0,0,0,0,0,3,3,8,6,0,12,0,5,5,0,0,0,8,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,4,0,0,0,0,5,5,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,18,19,38
UCL122088,4,0,3,10,6,17,0,0,0,0,0,0,6,7,21,5,3,11,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,12,25,0,0,0,37,28,67
UCL122089,3,5,8,12,19,33,3,5,7,0,0,0,17,24,41,6,15,26,0,0,0,0,0,0,8,16,29,0,0,0,0,0,0,4,0,5,0,6,8,0,0,0,8,8,14,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,7,10,16,0,0,0,0,0,0,0,0,0,0,0,0,22,15,39,0,0,0,63,78,133
UCL122090,0,0,4,11,6,17,0,0,0,0,3,3,11,12,19,3,13,11,3,0,3,0,0,0,6,10,16,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,6,3,10,4,3,6,0,0,4,0,0,0,0,3,0,0,0,0,10,8,17,14,16,27,0,0,0,0,0,0,0,0,0,0,0,0,18,18,31,0,0,0,51,48,102
UCL122091,8,0,12,17,12,25,0,0,0,0,0,0,17,12,25,9,3,17,0,0,0,0,0,0,8,9,17,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,0,0,0,0,0,0,0,0,0,0,0,0,28,33,62,0,0,0,66,59,124
UCL122092,3,5,5,14,5,20,0,0,0,3,4,6,15,15,31,10,3,15,0,0,0,0,9,5,13,12,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,10,9,21,0,0,0,50,46,93
UCL122093,0,4,3,0,7,12,7,7,11,0,0,0,11,16,25,7,16,19,0,0,0,0,0,0,7,16,18,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,36,33,62,0,0,0,52,69,118
UCL122094,0,0,3,13,3,18,0,0,3,0,4,7,16,6,21,6,5,12,0,0,0,3,4,3,9,14,18,0,0,0,0,0,0,3,0,3,0,0,8,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,16,0,0,0,0,0,0,0,0,0,0,0,0,13,14,26,0,0,0,40,47,84
UCL122095,0,0,0,14,4,20,0,0,0,0,0,0,14,4,21,5,3,14,3,3,5,4,0,4,14,6,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,3,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,11,8,20,0,0,0,40,29,71
UCL122096,0,0,0,4,3,8,0,3,3,0,0,0,3,5,8,4,4,6,3,0,3,0,0,0,4,9,13,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,11,23,0,0,0,32,31,55
UCL122097,0,0,0,8,8,13,4,0,5,0,0,0,9,14,22,0,3,3,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,8,24,0,0,0,28,32,58
UCL122098,0,4,9,19,9,27,0,0,0,0,6,8,16,10,31,11,3,18,0,0,0,0,0,0,11,3,18,0,0,0,0,3,3,0,4,4,6,4,10,0,0,0,6,15,16,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,4,5,5,4,13,22,0,0,0,0,0,0,0,0,0,0,0,3,63,81,146,0,0,0,101,119,223
UCL122099,0,0,3,3,4,11,0,0,0,0,0,6,9,6,16,5,5,8,0,0,0,0,3,7,10,9,17,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,8,12,0,0,0,0,0,0,0,0,0,0,0,0,14,9,21,0,0,0,35,34,66
UCL122100,3,0,0,11,9,11,0,0,0,0,4,6,10,15,21,3,6,15,0,0,0,6,5,8,9,9,20,0,0,0,0,0,0,4,0,4,0,5,12,0,0,0,5,7,16,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,16,23,0,0,0,0,0,0,0,0,0,0,0,0,27,28,58,0,0,0,58,66,123
UCL122101,0,0,7,4,5,12,7,10,18,0,0,0,15,16,27,3,0,5,11,3,16,5,0,5,22,10,27,0,0,0,0,0,0,3,0,5,0,5,5,0,0,0,0,3,9,0,3,4,0,0,0,0,0,0,0,6,3,0,0,0,4,9,11,6,9,13,0,0,0,3,0,5,0,0,0,3,0,5,8,14,21,0,0,0,56,45,103
UCL122102,4,0,5,15,12,27,0,0,0,0,0,0,15,12,27,3,3,9,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,47,29,80,0,0,0,69,48,123
UCL122103,0,0,0,6,8,7,0,0,0,0,0,0,6,8,7,4,6,6,0,0,0,0,0,0,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15,0,0,0,21,20,43
UCL122104,3,0,4,0,5,9,3,9,6,0,10,9,13,18,27,0,6,6,16,8,19,7,5,15,24,11,43,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,6,3,12,8,12,20,0,0,0,0,5,8,0,0,0,0,0,0,4,21,21,16,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,55,55,110
