UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL421007,3,7,12,16,12,25,0,3,10,0,0,0,19,19,43,6,3,14,0,0,0,0,0,4,11,4,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,9,9,0,0,0,0,3,3,0,0,0,0,0,4,12,15,26,5,0,5,59,56,117
UCL421008,10,3,15,41,31,74,0,0,0,0,0,4,41,32,73,15,16,34,0,0,0,0,0,0,15,16,34,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,7,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,3,5,9,7,14,17,4,0,0,0,0,0,0,0,0,4,0,0,45,40,90,0,0,0,125,111,234
UCL421009,7,3,6,39,39,75,0,0,0,0,0,0,39,39,75,19,25,44,0,0,0,0,0,0,19,24,42,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,5,13,3,12,16,0,0,0,0,0,4,0,0,0,0,0,4,19,19,37,0,0,0,92,97,184
UCL421010,3,11,13,23,22,42,3,0,8,13,7,19,42,31,72,7,12,21,0,3,3,3,5,14,14,20,35,0,0,0,0,0,0,0,0,4,4,5,8,0,0,0,8,9,15,4,9,11,0,5,5,0,0,0,0,4,8,0,0,0,9,17,24,11,24,41,0,0,0,0,3,0,0,0,0,0,3,0,15,15,29,0,0,0,82,105,188
UCL421011,3,0,3,12,18,30,0,0,0,5,0,7,15,23,35,13,13,24,0,0,0,0,0,0,13,13,24,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,12,0,0,0,0,0,3,0,0,0,0,5,3,22,27,51,0,0,0,63,66,131
UCL421012,7,3,9,12,12,27,10,16,27,0,0,0,26,24,49,13,17,28,6,0,6,0,0,0,16,19,35,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,13,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,10,3,19,22,0,0,0,0,0,0,0,0,0,0,0,0,28,32,67,0,0,0,84,102,178
UCL421013,11,12,20,29,28,54,0,0,6,17,10,34,46,39,91,18,28,48,6,0,3,10,11,19,35,36,73,0,0,0,0,6,6,6,0,3,4,9,13,0,0,0,11,17,28,5,5,14,0,4,4,0,0,0,4,11,9,0,0,0,5,22,31,16,43,58,0,0,0,3,3,3,0,0,0,3,4,9,43,46,92,0,0,0,152,183,333
UCL421014,8,3,12,20,24,45,0,0,0,4,5,3,20,24,48,12,16,29,0,0,0,0,0,3,15,19,39,0,0,0,0,3,4,3,6,15,0,0,6,0,0,0,10,11,21,5,7,9,0,0,0,0,0,0,0,5,4,0,0,0,5,13,20,16,21,41,0,4,5,0,4,3,0,0,0,3,6,10,23,31,49,0,0,0,88,107,200
UCL421015,10,5,11,32,31,58,0,0,0,0,0,0,32,33,58,16,19,35,0,0,0,3,0,3,20,18,39,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,9,8,3,4,8,0,3,3,0,0,0,0,5,5,0,0,0,0,9,14,7,15,19,0,0,0,0,0,0,0,0,0,0,0,0,12,18,32,0,0,0,79,86,165
UCL421016,0,0,0,9,10,20,0,6,6,4,4,6,18,17,33,5,11,13,0,8,12,3,7,14,10,26,36,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,3,12,12,0,0,0,0,0,0,0,3,7,0,0,0,8,15,24,11,15,29,0,0,0,0,0,0,0,0,0,0,0,0,6,8,19,0,0,0,53,73,122
