UCL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115081,0,4,8,6,3,0,0,0,0,21,0,6,18,7,3,8,0,0,0,39,23,60,215,110,97,110,29,5,0,657
UCL115082,0,0,5,0,5,0,0,0,0,12,0,3,7,7,0,11,0,0,0,21,22,37,77,77,87,105,21,0,0,431
UCL115083,3,5,12,4,7,6,4,0,0,35,7,4,12,14,10,10,4,0,0,61,75,82,182,236,231,216,67,9,0,1104
UCL115084,0,0,4,3,4,3,0,0,0,12,0,4,0,3,7,5,3,0,0,27,24,22,43,71,113,152,42,7,0,465
UCL115085,3,3,5,0,4,4,0,0,0,18,0,0,0,4,4,3,0,0,0,15,54,51,80,111,128,118,32,9,0,580
UCL115086,3,9,19,12,11,9,6,4,0,63,0,17,25,8,4,7,6,0,0,77,170,471,733,351,314,256,68,16,0,2381
UCL115087,0,8,9,11,7,3,0,0,0,34,8,3,8,3,6,0,0,0,0,26,46,43,139,140,119,96,25,3,0,615
UCL115088,0,0,4,3,4,4,0,0,0,24,0,5,5,3,0,5,0,5,0,17,29,44,127,106,128,118,36,8,0,598
UCL115089,3,4,10,3,11,9,4,0,0,47,9,7,16,10,12,9,3,0,0,57,106,157,381,335,332,300,84,9,4,1708
UCL115090,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,10,12,20,42,39,82,72,17,5,0,295
