UCL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
UCL112002,0,4,3,18,21,35,5,0,5,0,0,0,31,31,60,5893,5349,11242,455,511,971,127,0,129,38,6,40,40,12,52,27,16,40,293,258,548,6923,6210,13131,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,6,5,10,58,29,92,64,39,102,0,0,0,0,0,4,0,0,0,4,8,10,719,1070,1791,754,1076,1831,43,25,67,8503,8426,16928
UCL112003,114,69,187,8,13,18,3,0,3,0,0,0,5,18,18,2796,2292,5091,125,180,301,95,0,94,36,0,40,18,9,28,18,36,54,180,152,333,3405,2764,6165,9,6,16,0,0,0,0,0,0,8,3,9,5,3,10,11,0,14,40,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,31,11,46,72,40,110,3,4,10,0,0,3,0,0,0,5,4,15,2201,2534,4734,903,1329,2233,29,32,66,6614,6704,13319
UCL112004,27,18,45,8,11,23,0,0,0,0,0,0,4,5,9,2841,2466,5304,200,257,456,108,0,106,28,0,29,17,8,23,16,22,39,160,169,330,3403,2962,6365,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,4,4,6,3,14,0,0,0,0,0,0,0,4,4,3,6,7,0,0,4,3,10,11,20,21,42,29,37,62,0,0,0,0,0,0,0,0,0,5,0,5,1365,1390,2752,434,672,1103,33,23,53,5265,5075,10341
UCL112005,0,3,4,3,7,15,3,3,7,0,0,0,3,3,9,2954,2331,5278,159,185,338,78,3,78,28,0,36,17,3,21,11,18,31,62,82,145,3319,2644,5964,6,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,28,14,46,33,23,58,3,0,3,0,0,0,4,0,4,4,0,4,310,600,908,632,928,1555,22,17,42,4329,4210,8536
UCL112006,0,0,0,34,28,60,0,3,3,0,0,0,25,43,71,6896,6302,13203,548,692,1241,152,4,152,73,6,75,66,18,77,44,32,76,204,208,412,8050,7328,15381,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,3,6,11,62,45,112,65,57,130,3,0,8,3,0,6,6,0,5,18,6,16,500,869,1364,631,1077,1712,44,37,87,9306,9376,18680
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1076,926,1999,52,64,113,15,0,15,8,0,8,18,6,26,4,3,4,30,27,52,1203,1019,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,11,4,14,15,10,18,0,0,0,0,0,0,0,0,0,0,0,0,98,157,254,105,217,323,21,18,37,1444,1417,2857
UCL112008,0,0,0,16,14,31,0,0,0,0,0,0,3,3,10,2168,2236,4402,155,219,374,53,0,56,18,4,21,29,11,47,16,14,29,155,155,306,2621,2661,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,4,24,16,42,23,23,49,0,0,0,0,0,0,3,0,0,3,0,0,302,390,692,299,520,818,39,44,80,3284,3638,6918
UCL112009,8,0,4,23,10,35,0,0,0,0,0,0,14,21,30,3994,3432,7430,322,329,650,82,5,88,30,0,34,26,4,31,31,5,33,185,190,376,4712,4000,8721,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,7,4,34,18,55,40,25,65,3,0,3,0,0,0,0,0,0,9,0,9,263,478,743,421,695,1126,38,30,64,5483,5235,10721
UCL112010,0,0,0,0,6,7,4,8,9,0,0,0,16,27,38,4356,3425,7784,481,619,1099,61,0,60,39,5,36,31,9,36,41,17,60,130,126,255,5150,4238,9390,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,9,42,23,60,46,31,76,0,0,0,0,0,0,0,0,0,0,0,0,149,266,415,221,480,698,33,31,60,5595,5042,10640
UCL112011,0,3,3,8,15,28,0,0,0,0,0,0,0,0,4,3138,2502,5643,162,143,303,80,5,89,20,0,20,8,4,12,11,15,19,47,40,92,3470,2725,6197,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,8,4,7,25,4,36,36,13,54,3,0,4,0,0,0,0,0,0,8,0,6,299,639,941,563,857,1420,19,15,39,4401,4259,8657
UCL112012,0,0,0,25,18,42,4,0,4,0,0,0,8,17,30,4149,3704,7851,280,383,660,82,0,84,60,3,67,56,11,66,29,17,45,176,184,353,4865,4339,9203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,3,4,5,37,31,70,39,32,76,0,0,0,0,0,0,3,0,3,4,0,7,499,817,1316,638,1028,1667,24,28,48,6079,6244,12324
UCL112013,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,437,400,840,23,26,52,14,0,14,4,0,4,0,0,0,0,0,0,3,7,9,489,442,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,63,106,25,58,84,4,12,12,559,571,1133
UCL112014,28,16,45,8,4,10,0,0,0,0,0,0,0,0,0,2775,2220,4995,135,138,271,125,7,126,26,3,34,7,5,10,18,12,27,62,51,116,3176,2453,5629,11,6,11,0,0,0,0,0,0,5,0,9,0,0,0,5,0,5,17,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,43,46,20,65,6,9,5,0,0,0,0,0,0,6,9,10,763,1082,1843,549,830,1380,22,22,46,4568,4418,8979
UCL112015,5,5,5,6,15,21,4,0,4,0,0,0,8,23,31,4745,4158,8901,323,415,742,83,5,86,83,4,86,59,17,72,25,19,44,131,166,299,5476,4823,10296,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,3,0,6,7,0,0,0,3,8,13,58,31,90,63,46,110,0,0,3,0,0,0,3,0,3,4,0,4,415,597,1014,620,930,1550,45,46,93,6622,6440,13055
UCL112016,0,0,0,96,37,126,9,0,3,0,0,0,24,48,72,6714,6175,12887,569,581,1149,135,4,135,30,9,38,45,17,64,49,24,70,254,245,497,7916,7134,15048,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,14,0,14,0,5,9,0,4,4,20,9,25,57,37,93,75,53,127,0,0,0,0,3,4,4,0,4,5,5,10,750,1116,1869,724,1176,1896,48,33,82,9523,9518,19038
UCL112017,0,0,5,34,43,81,4,0,4,0,0,0,14,29,37,6531,6536,13068,458,609,1066,130,6,135,112,14,124,82,28,107,35,26,63,254,286,544,7655,7575,15237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,6,0,0,0,0,0,0,0,0,5,3,6,5,5,0,3,9,8,14,74,38,107,83,45,129,0,3,3,0,4,4,0,0,0,0,9,10,1160,1440,2595,891,1448,2336,37,58,99,9834,10572,20404
UCL112018,0,0,0,20,17,36,0,5,4,0,0,0,20,21,32,5304,4577,9882,497,553,1054,130,5,138,83,6,91,40,11,53,37,23,61,177,201,381,6314,5425,11738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,6,0,0,3,0,0,6,7,7,14,66,37,102,71,48,121,0,0,0,0,5,5,5,0,5,5,7,4,596,936,1533,806,1215,2022,45,27,70,7831,7654,15486
UCL112019,0,0,0,75,53,129,6,7,13,0,0,0,24,34,57,8845,7970,16822,717,724,1445,109,4,116,96,12,106,81,23,104,40,13,51,340,432,774,10340,9280,19622,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,4,0,6,4,6,9,3,0,6,15,9,26,87,58,149,108,75,181,0,0,0,0,4,4,6,0,11,6,3,11,709,1010,1715,788,1377,2165,54,40,95,11993,11786,23784
UCL113001,0,0,0,12,13,27,0,0,0,0,0,0,8,3,7,2301,2122,4423,129,163,294,64,6,66,32,3,31,116,39,152,18,11,29,119,138,255,2791,2497,5294,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,4,0,7,7,0,0,0,0,7,8,34,15,51,40,23,60,0,0,0,0,0,0,0,3,4,0,3,4,358,569,926,397,617,1016,22,21,46,3610,3733,7344
UCL113002,0,0,0,18,10,30,0,0,0,0,0,0,0,10,11,1512,1428,2943,127,141,269,55,0,51,12,0,15,17,11,26,11,4,19,69,57,125,1817,1667,3484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,24,6,32,29,11,36,0,0,0,0,0,0,4,0,0,4,6,3,156,246,399,207,299,510,19,16,36,2235,2236,4472
UCL113003,0,0,0,5,0,9,3,0,0,0,0,0,5,7,12,2571,2475,5045,220,261,484,34,0,34,36,6,43,21,0,25,16,5,24,147,143,293,3070,2906,5979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,16,20,36,25,20,41,0,0,0,0,0,0,0,0,0,0,0,0,112,199,308,375,443,825,23,23,45,3611,3586,7198
UCL113004,0,0,0,0,9,7,0,0,0,0,0,0,0,0,4,1235,1126,2362,58,69,126,16,0,16,33,6,41,119,96,216,22,17,42,139,138,282,1626,1471,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,14,22,42,19,24,47,0,0,0,0,0,0,0,0,0,0,7,3,617,808,1430,342,462,806,38,15,51,2646,2787,5433
UCL113005,0,0,0,10,14,20,0,0,0,3,0,3,9,4,18,2181,2131,4316,191,178,371,71,4,76,33,0,32,59,20,81,14,7,24,133,140,268,2695,2505,5204,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,28,9,38,37,14,45,0,0,0,0,0,0,6,0,6,4,0,4,153,273,430,296,394,691,27,25,50,3214,3211,6427
UCL113006,0,0,0,7,7,16,0,0,0,0,0,0,5,7,14,1098,1135,2229,93,149,240,39,0,43,7,0,13,6,0,10,7,6,22,56,48,104,1326,1349,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,12,10,19,16,15,26,0,0,0,0,0,0,0,0,0,4,0,4,50,105,153,132,205,332,21,17,39,1544,1685,3225
UCL113007,20,10,24,0,0,0,0,0,0,0,0,0,0,0,0,1827,1409,3239,77,91,167,49,0,46,5,0,5,10,3,17,6,12,15,62,75,137,2062,1599,3659,4,0,5,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,3,17,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,0,7,16,7,23,29,6,38,0,0,0,0,0,0,0,0,0,0,6,0,769,989,1762,371,541,909,17,10,22,3248,3147,6389
UCL113008,0,5,8,0,6,3,0,0,0,0,0,0,9,9,11,1485,1231,2715,100,101,199,19,4,23,11,0,12,8,3,12,6,7,15,116,105,215,1757,1465,3220,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,9,3,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,14,8,19,18,15,31,0,5,5,0,0,0,0,0,0,0,5,3,160,254,411,230,312,548,16,21,34,2189,2064,4254
UCL113009,0,0,0,4,4,10,0,0,0,0,0,0,3,0,4,1543,1174,2720,65,83,146,51,0,55,10,0,10,8,0,4,12,3,18,14,17,24,1708,1280,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,18,40,23,16,42,0,0,0,0,0,0,0,0,5,0,0,5,429,607,1041,321,466,788,8,7,14,2491,2383,4877
UCL113010,0,0,0,4,4,10,0,0,0,0,0,0,7,9,15,2123,1642,3759,187,159,340,45,0,46,19,0,20,17,0,19,9,3,17,103,131,235,2515,1953,4467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,28,55,27,29,57,0,0,0,0,0,0,0,0,0,0,0,0,110,238,346,262,426,690,15,15,34,2933,2658,5589
UCL113011,7,0,7,6,0,6,0,0,0,0,0,0,0,0,0,1936,1411,3353,127,115,243,24,0,26,18,3,14,9,0,9,12,9,16,52,65,122,2183,1615,3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,23,14,5,20,0,0,0,0,0,0,0,0,0,0,0,0,119,255,371,318,354,666,17,12,33,2655,2236,4890
UCL113012,0,0,0,4,24,28,3,0,3,0,0,0,0,0,5,1590,1356,2948,96,122,216,42,0,42,8,0,11,14,3,21,13,12,26,83,99,186,1862,1627,3482,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,5,6,9,20,15,32,23,19,38,0,0,0,0,0,0,0,0,3,0,0,0,566,595,1157,444,624,1077,24,17,45,2926,2881,5810
UCL113013,0,0,0,13,19,27,0,0,0,0,0,0,5,3,5,2020,1593,3611,138,123,261,50,4,55,22,0,22,9,3,8,9,8,19,34,37,75,2309,1790,4095,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,10,0,0,0,0,7,12,16,8,30,24,18,46,0,0,0,0,0,0,0,0,3,3,0,4,275,406,681,339,524,866,19,28,48,2970,2765,5731
UCL113014,0,0,4,9,4,15,0,0,0,0,0,0,4,9,10,2683,1801,4482,144,154,299,47,4,51,16,0,16,5,0,9,9,9,21,46,60,110,2973,2040,5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,29,11,43,34,18,47,0,0,0,0,0,0,0,0,0,0,0,0,206,467,669,514,629,1133,9,5,14,3735,3154,6883
UCL113015,0,0,0,0,0,5,0,0,0,0,0,0,0,5,8,1373,1265,2638,89,106,193,50,0,49,16,0,16,5,0,5,7,0,15,19,24,46,1570,1405,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,27,20,12,30,0,0,0,0,0,0,0,0,0,3,0,3,132,232,370,189,307,493,10,4,18,1923,1960,3886
