UCL_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
UCL112002,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,20,0,0,0,0,0,7,14,20,0,8,9,3,3,0,0,56,0,0,0,4,3,6,20,0,0,0,0,5,0,0,4,48,0,0,0,0,7,17,30,24,0,0,6,7,0,0,12,103,0,6,8,9,0,6,0,0,0,0,0,0,0,0,0,27,0,4,4,0,0,5,3,4,0,0,6,0,6,0,0,21,0,0,0,8,4,4,12,0,0,0,7,3,0,0,3,50,16,16,11,4,8,3,0,3,0,0,0,0,0,0,3,76,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,14,0,0,4,0,0,19,94,71,24,24,32,35,16,8,12,342,0,0,0,0,0,0,8,8,6,0,0,0,0,0,4,29,0,0,0,0,3,0,7,12
UCL112003,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,5,18,18,15,19,13,0,0,0,0,0,0,4,98,0,0,4,5,25,28,48,26,10,3,9,9,0,0,0,164,0,0,23,5,0,4,0,0,0,0,0,0,0,0,0,27,0,13,13,3,0,0,0,0,0,0,0,0,0,0,3,28,3,0,5,7,9,9,0,0,0,0,0,0,0,0,0,33,29,44,42,26,32,26,35,14,0,0,0,0,0,0,9,264,0,3,10,5,0,0,4,0,0,0,0,0,0,0,5,26,0,0,6,8,10,6,12,8,0,0,0,0,0,0,0,48,0,3,21,11,10,10,29,20,10,0,14,11,0,0,5,147,0,3,0,5,12,9,11,6,0,5,0,5,4,0,0,56,0,0,0,3,0,4,0,3
UCL112004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,21,0,5,17,19,7,8,9,8,0,0,0,0,4,0,0,74,5,0,0,0,11,12,20,16,7,0,0,4,4,0,0,86,0,0,13,3,5,0,0,0,0,0,0,0,0,0,0,21,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,10,0,4,4,0,0,0,0,0,0,4,36,23,38,17,16,17,9,10,4,0,0,0,0,0,0,9,141,0,8,12,8,0,0,3,0,0,0,0,0,0,0,0,32,0,0,3,5,11,7,8,4,0,3,3,0,5,0,0,57,7,4,9,10,8,17,87,53,20,26,32,21,11,0,9,311,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,4,8
UCL112005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,11,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,13,3,0,3,3,0,0,0,15,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,20,7,17,8,4,3,3,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,5,0,0,0,0,0,0,0,0,4,19,0,0,4,4,0,0,9,14,3,3,5,8,0,0,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,41,26,13,10,11,0,0,0,140,0,0,0,3,5,0,8,3,0,0,0,0,0,0,0,19,0,0,0,6,10,14,43,30,0,9,5,15,15,10,0,163,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,17,0,0,0,0,8,3,16,13,0,8,0,4,0,13,0,66,7,10,5,5,5,3,4,8,0,0,0,0,0,0,0,44,0,7,9,0,0,4,0,0,0,0,0,0,0,0,0,23,0,3,0,5,10,3,7,3,0,0,0,0,0,0,0,29,0,0,3,6,0,12,189,236,65,77,66,50,20,11,10,750,0,0,0,0,0,9,6,4,0,3,0,0,0,0,0,21,0,0,0,0,5,0,0,0
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,10,7,5,9,5,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
UCL112008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,9,4,6,0,10,4,0,3,0,0,0,0,0,29,0,0,0,0,5,7,13,8,0,0,0,0,0,0,0,40,0,9,9,4,0,0,0,0,0,0,0,0,0,0,0,21,4,8,3,0,0,0,4,0,0,0,3,3,4,0,0,28,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,32,10,3,9,3,6,6,0,0,0,0,0,0,7,85,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,6,0,0,3,0,0,13,14,0,9,11,12,8,0,6,74,0,0,0,0,4,0,0,6,0,4,0,0,0,0,0,27,0,0,0,5,0,0,0,0
UCL112009,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,4,12,3,0,4,14,0,0,3,32,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,13,0,0,0,0,11,12,26,21,0,3,0,19,0,11,11,116,0,4,10,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,5,5,9,11,3,0,0,0,11,5,0,5,55,8,7,5,9,3,0,5,6,0,0,0,0,0,0,5,43,0,4,11,0,0,0,6,0,0,0,0,0,0,0,3,28,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,3,6,40,68,17,20,21,34,5,0,6,217,0,0,0,0,0,0,6,10,0,3,0,3,6,0,0,32,0,0,0,0,0,0,4,3
UCL112010,0,0,0,0,0,0,4,24,0,0,6,9,0,0,0,48,0,0,0,0,0,0,9,10,5,3,0,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,20,7,3,11,6,11,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,6,18,22,26,26,4,15,7,15,0,0,14,158,0,3,0,7,0,0,6,5,0,0,0,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,11,0,0,3,5,20,110,432,269,155,156,209,293,94,6,35,1797,0,0,0,0,0,0,0,6,0,0,3,4,0,0,0,19,0,0,0,0,0,0,4,0
UCL112011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,10,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,14,8,20,0,0,5,0,3,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,25,15,0,6,3,6,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
UCL112012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,14,0,0,4,4,9,5,21,4,0,6,0,0,4,0,0,63,0,0,0,0,0,0,16,15,5,4,0,4,0,0,0,53,0,4,8,0,0,0,0,3,0,0,0,0,0,0,0,12,0,5,0,0,0,0,4,3,0,0,5,8,5,3,0,32,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,20,11,14,12,8,27,10,13,7,0,0,6,0,0,0,0,109,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,5,5,3,0,0,0,0,0,0,0,0,16,0,3,3,0,6,3,48,31,13,13,10,20,5,0,0,155,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,20,0,0,0,0,3,0,5,3
UCL112013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
