UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL121024,0,0,0,57,66,127,0,0,0,3,3,9,0,0,0,40,39,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,13,29,0,0,0,0,0,0,3,7,12,0,6,11,0,0,0,123,141,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,115,110,224,0,0,0,0,0,0,115,110,224,25,31,52,0,0,0,265,278,544
UCL121025,0,0,3,48,47,96,0,0,0,3,11,16,0,0,0,42,38,78,0,0,0,0,5,3,0,4,13,0,0,4,0,0,0,0,0,0,0,0,0,0,3,10,0,5,4,0,0,0,0,0,0,7,12,17,14,22,35,0,0,0,130,143,278,0,5,5,0,6,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,143,121,269,0,0,4,0,0,0,148,125,274,10,11,20,0,0,0,294,289,584
UCL121026,7,4,13,73,77,155,0,0,0,0,5,7,0,0,0,88,89,184,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,18,0,0,0,6,3,13,11,25,37,9,11,24,0,0,0,211,231,448,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,250,532,0,0,0,4,0,12,289,256,539,35,43,80,0,0,0,545,546,1094
UCL121027,0,9,12,36,55,86,0,0,0,0,0,5,0,0,0,67,64,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,4,4,6,0,0,0,0,0,0,8,12,17,3,10,21,0,0,0,125,151,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,143,297,0,0,4,0,0,0,151,147,297,17,16,35,0,0,0,291,325,621
UCL121028,6,11,12,67,67,137,0,0,0,11,11,22,0,0,0,67,67,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,10,4,15,0,0,0,3,0,4,6,12,22,0,4,6,0,0,0,171,177,351,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,224,172,393,0,0,3,4,0,8,229,171,407,34,28,58,0,6,4,443,393,839
UCL121029,0,0,3,55,57,107,0,0,0,3,6,13,0,0,0,50,46,97,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,5,0,4,0,0,0,11,9,19,12,14,26,4,0,4,142,137,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,135,130,262,0,0,0,0,0,0,135,131,263,26,11,34,0,0,0,304,280,590
UCL121030,0,0,4,102,125,230,0,0,0,0,0,0,0,0,0,95,71,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,9,11,21,0,0,0,0,3,0,13,14,31,3,0,6,0,0,0,230,231,464,7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,3,151,121,269,5,0,5,0,0,0,151,122,271,53,56,113,5,0,5,455,419,876
UCL121031,8,4,9,69,81,155,0,0,0,3,0,8,0,0,0,80,96,175,0,0,0,4,4,9,10,10,14,0,0,0,4,3,9,0,0,0,0,0,3,0,4,6,10,15,23,0,0,0,3,0,4,5,12,24,20,15,33,0,0,0,204,242,452,0,0,0,4,0,4,0,0,0,0,0,6,0,0,0,0,4,5,0,6,9,221,235,456,0,0,0,0,3,3,223,234,456,37,34,73,0,0,0,482,524,1006
UCL121032,0,0,0,101,117,217,0,0,0,0,0,0,0,0,0,77,108,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,15,15,32,3,0,4,0,0,0,11,10,18,0,0,10,0,0,0,218,266,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,69,169,0,0,0,3,0,3,97,69,169,44,44,87,0,0,0,357,376,740
UCL121033,0,0,5,26,21,49,0,0,0,0,0,0,0,0,0,35,41,73,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,9,3,0,0,0,0,0,0,5,3,11,0,3,3,0,0,0,74,76,154,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,259,0,3,3,0,0,0,129,130,265,43,39,78,0,0,0,247,251,501
UCL121034,5,0,7,65,60,123,0,0,0,5,5,10,0,0,0,88,93,182,0,0,0,3,0,4,3,4,3,0,0,0,3,0,5,0,0,0,3,0,6,3,0,9,11,13,23,0,0,0,0,0,0,9,18,24,10,17,24,0,0,0,206,207,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,302,623,0,0,0,3,6,6,321,303,631,62,57,120,5,6,17,606,585,1191
UCL121035,0,4,5,123,132,251,0,0,0,0,5,13,0,0,0,88,105,197,0,0,0,0,0,0,5,4,13,0,4,3,0,0,0,0,0,0,4,0,4,4,4,16,8,7,10,0,0,0,0,0,0,21,20,36,6,10,18,0,0,0,264,300,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,248,224,468,0,3,8,0,0,0,254,228,481,50,29,75,0,0,0,564,558,1128
UCL121036,0,0,6,96,115,211,0,0,0,7,12,21,0,0,0,120,147,262,0,0,0,0,4,4,0,4,11,0,0,0,0,0,4,0,0,0,0,0,0,10,13,30,12,18,30,0,0,0,0,3,3,11,20,29,28,27,59,0,0,0,294,373,666,0,0,0,4,4,9,0,0,5,0,0,0,0,0,4,0,0,3,0,0,3,338,305,643,6,0,3,0,0,0,341,306,649,27,24,50,3,0,0,670,718,1393
UCL121037,4,5,4,65,82,147,0,0,0,5,9,18,0,0,0,64,69,129,0,0,0,3,8,15,0,6,3,0,0,0,3,5,6,0,0,0,0,0,0,0,5,5,6,10,11,0,0,0,0,0,0,7,17,22,14,12,20,0,0,0,172,202,377,0,0,0,3,6,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,198,176,369,0,0,0,0,4,4,198,177,376,23,18,41,0,4,3,401,404,805
UCL121038,0,0,0,76,79,150,0,0,0,0,7,10,0,0,0,72,71,142,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,0,0,0,0,0,0,15,11,21,10,4,6,0,0,0,169,187,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,64,142,0,0,0,0,0,0,83,64,147,57,36,98,0,0,0,307,292,599
UCL121039,9,6,17,25,29,54,0,0,0,0,0,0,0,0,0,37,49,82,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,6,10,0,0,0,0,0,4,3,3,9,0,3,0,0,0,0,85,95,180,0,4,3,0,4,5,8,0,6,0,0,0,4,0,6,0,0,3,6,3,5,197,215,405,0,0,0,4,7,11,204,219,423,60,61,119,5,0,4,366,394,759
