UCL_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
UCL121012,109,12,5,4,0,0,0,126
UCL121013,23,3,0,3,0,0,5,35
UCL121014,34,3,3,0,0,0,0,40
UCL121015,78,20,4,0,0,0,0,95
UCL121016,48,9,6,0,0,0,0,61
UCL121017,120,15,0,0,0,0,0,139
UCL121018,78,17,10,5,0,0,0,114
UCL121019,79,8,3,0,0,0,0,96
UCL121020,65,4,0,0,0,0,0,73
UCL121021,40,4,0,0,0,0,0,44
UCL121022,38,7,0,0,0,0,0,50
UCL121023,25,5,0,0,0,0,6,34
UCL121024,41,4,7,0,0,0,0,53
UCL121025,79,3,9,0,0,0,0,91
UCL121026,58,7,0,3,0,0,4,73
UCL121027,61,8,4,0,0,0,0,79
UCL121028,53,6,0,0,0,0,0,53
UCL121029,50,9,6,0,0,0,0,67
UCL121030,52,5,0,0,0,0,0,59
UCL121031,67,8,3,0,0,0,0,85
UCL121032,43,10,5,0,0,0,0,54
UCL121033,56,0,0,0,0,0,0,59
UCL121034,94,8,0,0,0,0,0,104
UCL121035,100,21,11,4,0,0,0,134
UCL121036,152,26,9,0,0,0,0,190
UCL121037,62,10,0,0,0,0,4,81
UCL121038,41,5,5,0,0,0,0,48
UCL121039,70,8,8,0,0,0,0,83
UCL121040,64,7,0,0,0,0,0,72
UCL121041,35,6,3,0,0,0,0,44
UCL121042,37,3,0,0,0,0,0,37
UCL121043,90,12,0,0,0,0,0,103
UCL121044,41,6,0,0,0,0,0,51
UCL121045,33,11,4,0,0,0,0,45
UCL121046,73,5,3,0,0,0,0,86
UCL121047,69,11,4,0,0,0,0,85
UCL121048,53,9,0,0,0,0,0,54
UCL121049,69,6,5,0,0,0,0,78
UCL121050,20,4,0,0,0,0,0,22
UCL121051,50,8,3,6,0,0,3,62
UCL121052,52,3,0,0,0,0,0,56
UCL121053,47,6,0,0,0,0,0,52
UCL121054,115,7,3,0,0,0,0,127
UCL121055,69,3,3,0,0,0,3,77
UCL121056,75,11,5,0,0,0,0,95
UCL121057,87,12,6,0,0,0,0,104
UCL121058,237,33,9,3,0,0,0,278
UCL121059,48,10,0,0,0,0,0,62
UCL121060,109,16,0,0,0,0,0,135
UCL121061,65,11,4,3,0,0,0,80
UCL121062,109,20,0,0,0,0,0,131
UCL121063,27,0,0,0,0,0,0,30
UCL121064,40,12,0,0,0,0,5,53
UCL121065,58,14,4,4,0,0,0,78
UCL121066,45,6,5,0,0,0,0,61
UCL121067,44,6,0,0,0,0,0,51
UCL121068,167,19,11,6,0,0,4,204
UCL121069,131,9,0,0,0,0,0,148
UCL121070,56,4,3,0,0,0,0,60
UCL121071,43,9,9,0,0,0,0,61
UCL121072,69,12,4,0,0,0,0,88
UCL121073,41,7,5,0,0,0,0,49
UCL121074,33,5,0,0,0,0,0,39
UCL121075,51,3,0,0,0,0,0,57
UCL121076,111,15,0,0,0,0,4,136
UCL121077,63,11,4,0,0,0,0,87
UCL121078,78,8,9,0,0,0,0,93
UCL121079,61,9,0,0,0,0,3,74
UCL121080,97,16,5,0,0,0,0,113
UCL121081,69,9,0,0,0,0,0,78
UCL121082,83,14,0,0,0,0,0,102
UCL121083,68,8,0,0,0,0,0,76
UCL121084,130,7,0,0,0,0,0,138
UCL121085,103,23,9,0,0,0,0,132
UCL121086,53,10,4,0,0,0,0,64
UCL121087,51,4,5,0,0,0,3,66
UCL121088,61,4,0,0,0,0,0,67
UCL121089,74,20,8,0,0,0,0,103
UCL121090,90,14,6,0,0,0,4,113
UCL121091,82,12,3,0,0,0,0,92
UCL121092,135,9,8,0,0,0,0,152
UCL121093,106,13,13,5,0,0,0,145
UCL121094,30,7,0,3,0,0,0,47
UCL121095,90,9,6,0,0,0,0,97
UCL121096,59,6,0,5,0,0,0,78
UCL121097,62,10,6,0,0,0,0,73
UCL121098,89,9,3,0,0,0,0,100
UCL121099,45,7,3,0,0,0,0,55
UCL121100,117,15,8,0,0,0,0,140
