UCL_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
UCL214022,557,69,35,3,0,0,5,674
UCL215001,112,12,0,0,0,0,0,121
UCL215002,187,26,3,0,0,0,3,217
UCL215003,275,12,0,0,0,0,0,291
UCL215004,90,3,4,0,0,0,0,101
UCL215005,77,8,0,0,0,0,0,87
UCL215006,234,23,17,4,0,0,0,274
UCL215007,261,17,7,0,0,0,0,283
UCL215008,253,23,16,3,0,0,0,291
UCL215009,59,8,4,0,0,0,0,71
UCL215010,341,23,11,0,0,0,0,374
UCL215011,60,13,7,0,0,0,3,76
UCL215012,262,25,5,0,0,0,0,286
UCL215013,611,48,39,8,0,4,5,713
UCL215014,150,16,9,0,0,0,0,177
UCL215015,191,14,10,0,0,0,0,213
UCL215016,360,50,29,0,0,0,6,441
UCL215017,310,16,17,0,0,0,0,344
UCL215018,210,20,18,0,0,0,0,248
UCL215019,218,22,7,0,0,0,0,246
UCL215020,71,7,0,0,0,0,0,77
UCL215021,98,14,10,0,0,0,0,121
UCL215022,319,43,34,5,0,0,8,405
UCL215023,113,10,10,0,0,0,0,126
UCL215024,132,8,3,0,0,0,0,150
UCL215025,59,6,0,0,0,0,3,79
UCL215026,69,7,4,0,0,0,0,79
UCL215027,76,6,6,0,0,0,0,87
UCL215028,191,19,14,0,6,0,0,232
UCL215029,218,15,7,0,0,0,0,239
UCL215030,81,10,9,0,0,0,0,98
UCL215031,98,7,4,0,0,0,0,111
UCL215032,193,16,13,3,6,0,0,230
UCL215033,427,41,21,4,0,0,0,494
UCL215034,65,0,4,0,0,0,0,69
UCL215035,186,22,6,0,0,0,0,219
UCL215036,135,19,6,0,0,0,0,158
UCL215037,94,14,0,0,0,0,0,105
UCL215038,93,14,9,0,0,0,0,121
UCL215039,108,9,8,0,0,0,0,126
UCL215040,65,4,14,0,0,0,0,86
UCL215041,252,15,23,0,0,0,3,298
UCL215042,123,15,14,3,0,0,0,147
UCL215043,351,47,31,10,0,0,0,434
UCL215044,166,16,11,8,0,0,4,197
UCL215045,302,34,26,3,3,0,0,363
UCL215046,182,20,7,0,4,0,0,209
UCL215047,234,30,21,0,0,0,0,285
UCL215048,166,19,15,5,0,0,0,202
UCL215049,81,4,0,0,0,0,0,85
UCL215050,362,19,6,5,0,0,0,391
UCL215051,358,27,20,0,0,0,0,417
UCL215052,79,13,3,0,0,0,0,98
UCL215053,312,30,15,5,0,0,0,359
UCL215054,141,18,8,0,0,0,0,170
UCL215055,99,5,3,0,0,0,0,106
UCL215056,127,12,8,0,0,0,0,145
UCL215057,148,17,15,0,0,0,0,179
UCL215058,64,3,7,0,0,0,0,80
UCL215059,169,19,3,0,0,0,0,191
UCL215060,208,27,18,0,0,0,0,256
UCL215061,148,22,6,0,0,0,0,167
UCL215062,115,6,14,0,0,0,3,132
UCL215063,110,11,6,0,0,0,3,125
UCL215064,159,15,3,9,0,0,0,182
UCL215065,242,19,19,5,0,0,3,289
UCL215066,109,12,12,3,0,0,0,144
UCL215067,72,0,6,0,0,0,0,76
UCL215068,166,19,12,3,0,0,0,205
UCL215069,287,16,4,0,0,0,0,310
UCL215070,204,30,25,6,0,0,0,275
UCL215071,472,30,14,0,0,0,3,518
UCL215072,146,14,3,8,5,0,5,189
UCL215073,176,19,12,0,0,0,0,215
UCL215074,601,41,22,7,0,0,4,676
UCL215075,90,9,6,4,0,0,3,117
UCL215076,184,15,16,0,0,0,0,211
UCL215077,134,10,6,0,0,0,0,155
UCL215078,245,23,7,3,0,0,0,281
UCL215079,134,11,9,0,0,0,0,160
UCL215080,199,26,14,4,0,0,5,244
UCL215081,378,35,18,5,0,0,0,432
UCL215082,305,29,22,3,0,0,0,361
UCL215083,153,13,3,0,0,0,0,168
UCL215084,105,5,8,0,0,0,0,119
UCL215085,152,15,8,0,0,0,0,170
UCL215086,333,39,26,5,0,0,5,404
UCL215087,210,15,10,7,0,0,0,239
UCL215088,117,14,4,0,0,0,0,143
UCL215089,133,8,13,0,0,0,0,154
UCL215090,189,26,7,0,0,0,0,218
UCL215091,225,12,4,3,0,0,0,242
UCL215092,493,39,17,4,0,0,0,559
UCL215093,466,39,33,5,0,0,3,552
UCL215094,114,5,7,0,0,0,0,128
UCL215095,90,11,10,0,0,0,3,115
UCL215096,283,29,11,0,0,0,0,327
UCL215097,307,28,17,11,0,0,0,360
UCL215098,122,8,13,3,0,0,0,144
UCL215099,96,12,8,0,0,0,0,116
UCL215100,77,12,6,0,0,0,0,96
UCL221001,84,4,0,0,0,0,0,89
UCL221002,71,6,4,0,0,0,0,87
UCL221003,61,6,5,0,0,0,0,71
UCL221004,172,11,0,0,0,0,0,185
UCL221005,62,5,5,0,0,0,0,68
UCL221006,63,6,3,0,0,0,0,72
UCL221007,38,3,0,0,0,0,0,47
UCL221008,49,3,3,0,0,0,0,53
UCL221009,46,4,3,0,0,0,0,65
UCL221010,53,8,0,0,0,0,0,66
UCL221011,80,10,3,0,0,0,0,91
UCL221012,58,3,7,0,0,0,0,63
UCL221013,59,7,3,0,0,0,0,73
UCL221014,87,3,6,0,0,0,0,94
UCL221015,47,5,0,0,0,0,0,49
UCL221016,121,14,14,5,0,0,0,154
UCL221017,89,6,5,0,0,0,0,101
UCL221018,53,5,6,0,0,0,0,59
UCL221019,54,10,9,0,0,0,0,65
UCL221020,46,7,3,0,0,0,0,53
UCL221021,58,3,4,0,0,0,0,72
UCL221022,45,6,0,0,0,0,0,53
UCL221023,22,9,4,0,0,0,0,38
UCL221024,49,10,3,0,0,0,0,62
UCL221025,38,5,5,0,0,0,0,44
UCL221026,27,5,0,0,0,0,0,32
UCL221027,48,0,3,0,0,0,0,54
UCL221028,51,3,0,0,0,0,0,52
UCL221029,90,3,5,0,0,0,0,104
UCL221030,18,5,0,0,0,0,0,19
UCL221031,70,6,0,0,0,0,0,77
UCL221032,56,0,3,0,0,0,0,60
UCL221033,28,0,0,0,0,0,0,28
UCL221034,156,10,6,0,0,0,0,167
UCL221035,46,7,4,0,0,0,4,58
UCL221036,110,4,0,0,0,0,0,113
UCL221037,52,4,0,0,0,0,0,51
UCL221038,117,10,0,0,0,0,0,130
UCL221039,65,3,0,0,0,0,0,74
UCL221040,43,10,0,0,0,0,0,56
UCL221041,76,5,8,0,0,0,0,90
UCL221042,35,0,3,0,0,0,0,44
UCL221043,19,3,0,0,0,0,4,29
UCL221044,68,8,3,0,0,0,0,81
UCL221045,82,3,0,0,0,0,0,85
UCL221046,214,11,12,0,0,0,4,243
UCL221047,91,6,3,0,0,0,0,99
UCL221048,41,6,0,0,0,0,0,43
UCL221049,103,5,5,0,0,0,0,117
UCL221050,59,3,0,0,0,0,0,69
UCL221051,63,4,8,0,0,0,0,73
UCL221052,53,4,0,0,0,0,0,61
UCL221053,49,7,0,0,0,0,0,59
UCL221054,65,0,0,0,0,0,0,67
UCL221055,114,8,0,0,0,0,0,118
UCL221056,28,4,0,0,0,0,0,31
UCL221057,89,14,11,0,0,0,0,113
UCL221058,64,0,0,0,0,0,0,67
UCL221059,75,6,0,0,0,0,0,90
UCL221060,21,9,0,0,0,0,0,26
UCL221061,38,7,0,0,0,0,0,50
UCL221062,49,8,4,0,0,0,5,62
UCL221063,35,5,6,0,0,0,0,41
UCL221064,90,8,3,0,0,0,0,98
UCL221065,43,0,0,0,0,0,0,43
UCL221066,75,9,8,0,0,0,0,98
UCL221067,48,10,3,0,0,0,0,68
UCL221068,49,0,4,0,0,0,0,57
UCL221069,86,4,3,0,0,0,0,94
UCL221070,74,4,3,0,0,0,0,82
UCL221071,57,8,4,0,0,0,0,73
UCL221072,40,7,4,0,0,0,4,57
UCL221073,65,6,3,0,0,0,0,80
UCL221074,53,4,3,5,0,0,0,61
UCL221075,56,0,0,0,0,0,0,63
UCL221076,46,4,5,0,0,0,4,54
UCL221077,32,9,6,0,0,0,0,46
UCL221078,51,14,4,0,0,0,0,68
UCL221079,35,4,0,0,0,0,0,38
UCL221080,42,3,0,0,0,0,0,50
UCL221081,38,0,3,0,0,0,0,42
UCL221082,89,11,5,0,0,0,0,105
UCL221083,92,3,3,0,0,0,0,108
UCL221084,90,13,7,0,0,0,0,110
UCL222001,40,0,3,0,0,0,0,37
UCL222002,49,3,0,0,0,0,0,51
UCL222003,45,0,0,0,0,0,0,47
UCL222004,0,0,0,0,0,0,0,0
UCL222005,24,6,0,0,0,0,0,25
UCL222006,36,9,6,0,0,0,0,48
UCL222007,17,4,0,0,0,0,0,20
UCL222008,25,4,0,0,0,0,0,28
UCL222009,22,5,0,0,0,0,0,30
UCL222010,39,6,0,0,0,0,0,56
UCL222011,50,3,5,0,0,0,0,50
UCL222012,40,0,5,0,0,0,0,43
UCL222013,14,0,7,0,0,0,0,16
UCL222014,54,6,0,0,0,0,0,64
UCL222015,46,0,4,0,0,0,0,56
UCL222016,17,3,0,0,0,0,0,21
UCL222017,8,0,0,0,0,0,0,9
UCL222018,8,0,0,0,0,0,0,9
UCL222019,39,5,0,0,0,0,0,47
UCL222020,21,0,0,0,0,0,0,25
UCL222021,19,4,0,0,0,0,0,29
UCL222022,19,0,0,0,0,0,0,31
UCL222023,64,0,0,0,0,0,0,69
UCL222024,8,0,0,0,0,0,0,3
UCL222025,16,0,0,0,0,0,0,19
UCL222026,40,4,0,0,0,0,0,45
UCL222027,31,3,0,0,0,0,0,37
UCL222028,33,7,4,0,0,0,0,43
UCL222029,13,0,0,0,0,0,0,14
UCL222030,17,0,0,0,0,0,0,21
UCL222031,25,0,0,0,0,0,0,27
UCL222032,22,0,0,0,0,0,0,22
UCL222033,27,5,0,0,0,0,0,31
UCL222034,27,6,0,0,0,0,0,33
UCL222035,15,6,0,0,0,0,0,19
UCL222036,19,6,3,0,0,0,0,19
UCL222037,24,0,0,0,0,0,0,28
UCL222038,33,0,0,0,0,0,0,38
UCL222039,40,0,0,0,0,0,0,43
UCL222040,42,4,0,0,0,0,0,46
UCL222041,23,6,3,0,0,0,0,28
UCL222042,14,0,0,0,0,0,0,19
UCL222043,32,5,4,4,0,0,0,41
UCL222044,16,4,0,0,0,0,0,23
UCL222045,34,3,0,0,0,0,0,34
UCL222046,21,3,0,0,0,0,0,23
UCL222047,10,0,0,0,0,0,0,13
UCL222048,13,0,0,0,0,0,0,14
UCL222049,18,0,0,0,0,0,0,22
UCL222050,38,3,0,0,0,0,0,46
UCL222051,26,3,0,0,0,0,0,29
UCL222052,39,6,5,0,0,0,0,55
UCL222053,31,3,0,0,0,0,0,44
UCL222054,31,4,0,0,0,0,0,32
UCL222055,17,8,0,0,0,0,0,27
UCL222056,4,0,0,0,0,0,0,4
UCL222057,38,3,0,0,0,0,0,41
UCL222058,4,0,0,0,0,0,0,4
UCL222059,18,3,0,0,0,0,0,21
UCL222060,16,0,4,0,0,0,0,19
UCL222061,24,4,0,0,0,0,0,28
UCL222062,24,3,0,0,0,0,0,22
UCL222063,34,7,0,0,0,0,0,38
UCL222064,31,3,4,0,0,0,0,35
UCL222065,18,3,0,0,0,0,0,19
UCL222066,13,0,0,0,0,0,0,26
UCL222067,12,0,0,0,0,0,0,19
UCL222068,23,4,0,0,0,0,0,29
UCL222069,31,0,0,0,0,0,0,39
UCL222070,11,0,0,0,0,0,0,20
UCL222071,44,4,0,0,0,0,0,47
UCL222072,20,0,3,0,0,0,0,21
UCL222073,22,0,0,0,0,0,0,25
UCL222074,13,0,0,0,0,0,0,20
UCL222075,37,5,0,3,0,0,3,47
UCL222076,33,3,0,0,0,0,0,39
UCL222077,31,0,3,0,0,0,0,34
UCL222078,20,4,4,0,0,0,0,18
UCL222079,52,4,5,0,0,0,0,60
UCL222080,22,0,4,0,0,0,0,21
UCL222081,20,0,0,0,0,0,0,20
UCL222082,19,0,0,0,0,0,0,21
UCL222083,26,0,0,0,0,0,0,30
UCL222084,22,5,6,0,0,0,0,24
UCL222085,26,0,0,0,0,0,0,33
UCL222086,40,4,3,0,0,0,0,51
UCL222087,28,0,4,0,0,0,0,33
UCL222088,5,3,0,0,0,0,0,14
UCL222089,16,0,0,0,0,0,0,17
UCL222090,25,0,0,0,0,0,0,27
UCL222091,44,4,0,0,0,0,0,56
UCL222092,49,5,7,0,0,0,0,59
UCL222093,21,0,0,0,0,0,0,22
UCL222094,23,0,4,0,0,0,0,27
UCL222095,17,3,0,0,0,0,0,21
UCL222096,54,3,6,0,0,0,0,58
UCL222097,40,3,5,0,0,0,0,42
UCL222098,43,7,0,0,0,0,0,48
UCL222099,22,0,3,0,0,0,0,27
UCL222100,16,0,0,0,0,0,0,16
UCL222101,24,0,4,0,0,0,0,28
UCL222102,36,3,3,0,0,0,0,47
UCL222103,32,0,0,0,0,0,0,32
UCL222104,21,0,0,0,0,0,0,25
UCL222105,10,6,4,0,0,0,0,19
UCL231001,43739,3361,1886,405,69,21,315,49784
UCL279997,0,0,0,0,0,0,0,0
UCL301001,229824,25380,10683,2492,422,169,1171,270139
UCL302001,55765,7171,2867,479,104,36,294,66722
UCL302002,24931,3351,1048,181,34,14,139,29687
UCL303001,12134,1847,653,212,46,16,102,15011
UCL303002,8416,1085,490,105,11,7,71,10184
UCL303003,13761,2554,1016,179,36,15,122,17684
UCL311001,3561,569,311,52,15,9,37,4560
UCL311002,3600,650,274,53,13,8,47,4641
UCL311003,6698,1346,502,85,23,10,61,8713
UCL311004,4905,970,374,79,23,10,44,6405
UCL312001,917,193,55,23,4,0,16,1203
UCL312002,2968,503,223,28,4,10,36,3771
UCL312003,1247,239,132,27,3,0,24,1668
UCL312004,1754,285,132,16,5,0,9,2201
UCL313001,672,190,57,8,0,0,0,918
UCL313002,968,158,63,10,4,0,7,1210
UCL313003,982,170,68,16,3,3,10,1260
UCL313004,1358,254,96,18,4,4,9,1749
UCL313005,938,233,121,10,8,3,14,1331
UCL313006,1259,223,117,19,0,3,25,1646
UCL313007,1173,141,75,12,0,0,4,1396
UCL313008,715,100,63,5,0,0,10,895
UCL313009,1486,231,117,36,7,3,18,1898
UCL313010,942,148,85,5,4,0,13,1204
UCL313011,893,163,135,15,0,0,5,1208
UCL313012,1488,320,91,10,0,3,17,1932
UCL314001,439,56,30,0,0,0,10,546
UCL314002,573,81,29,0,6,0,7,692
UCL314003,553,88,54,8,4,3,4,708
UCL314004,529,77,27,0,3,0,0,650
UCL314005,523,44,36,4,0,0,0,607
UCL314006,647,99,49,12,3,0,13,826
UCL314007,453,53,40,8,6,0,8,564
UCL314008,488,43,43,0,0,4,0,580
UCL314009,880,139,73,16,8,0,13,1126
UCL314010,454,54,22,6,0,0,7,544
UCL314011,475,36,20,8,0,0,7,553
UCL314012,498,107,32,18,4,0,0,656
UCL314013,459,55,28,10,3,0,8,564
UCL314014,673,76,43,8,0,0,3,802
UCL314015,553,112,47,10,4,0,3,729
UCL314016,549,60,41,13,0,3,15,683
UCL314017,891,132,68,11,0,0,3,1112
UCL314018,1011,124,42,14,5,0,4,1197
UCL314019,474,75,21,4,0,0,4,580
UCL314020,505,97,45,3,0,0,7,659
UCL314021,701,163,58,7,0,0,7,942
UCL314022,722,93,30,7,0,0,7,860
UCL314023,932,153,53,11,4,0,12,1168
UCL315001,73,8,0,0,0,0,0,87
UCL315002,313,66,15,0,0,0,4,401
UCL315003,77,3,8,0,0,0,0,85
UCL315004,70,3,5,5,0,0,7,92
UCL315005,76,11,10,0,0,0,0,99
UCL315006,79,12,10,4,0,0,3,108
UCL315007,195,34,25,4,0,0,4,268
UCL315008,403,47,31,4,0,0,4,487
UCL315009,173,25,11,0,3,0,3,222
UCL315010,164,32,3,6,0,0,0,205
UCL315011,40,7,0,0,0,0,0,45
UCL315012,429,86,53,5,0,0,4,577
UCL315013,171,14,15,4,0,0,4,213
UCL315014,48,13,6,0,0,0,0,64
UCL315015,243,39,21,0,0,3,0,298
UCL315016,418,28,33,8,0,0,6,496
UCL315017,150,32,8,0,0,0,0,188
UCL315018,53,8,5,4,0,0,7,73
UCL315019,56,10,8,0,0,0,0,77
UCL315020,187,16,13,0,0,0,0,209
UCL315021,77,12,5,0,0,0,0,95
UCL315022,179,30,19,6,0,0,0,237
UCL315023,95,14,3,0,0,0,0,116
UCL315024,110,19,9,5,0,0,9,146
UCL315025,138,10,13,9,0,0,0,168
UCL315026,279,47,17,0,0,0,3,343
UCL315027,82,6,6,0,0,0,0,94
UCL315028,134,20,18,0,0,0,0,175
UCL315029,259,37,15,3,0,0,0,315
UCL315030,104,15,10,27,0,0,0,150
UCL315031,216,22,18,0,0,0,0,256
UCL315032,313,58,30,4,0,0,4,401
UCL315033,62,4,7,0,0,0,0,73
UCL315034,114,17,4,0,0,0,0,130
UCL315035,326,53,31,3,0,0,5,424
UCL315036,98,12,5,0,0,0,0,113
UCL315037,380,62,37,7,0,0,3,487
UCL315038,258,31,14,0,0,0,3,302
UCL315039,56,9,3,14,0,0,7,85
UCL315040,9,3,0,0,0,0,0,17
UCL315041,122,12,4,0,0,0,4,144
UCL315042,181,32,13,4,0,0,3,240
UCL315043,44,5,5,0,0,0,0,55
UCL315044,275,33,16,4,0,0,0,326
UCL315045,319,48,18,0,0,0,5,388
UCL315046,199,15,25,0,0,0,3,240
UCL315047,184,33,28,3,0,0,0,258
UCL315048,90,16,12,0,0,0,4,124
UCL315049,176,18,6,6,0,0,0,208
UCL315050,196,43,25,0,0,3,5,273
UCL315051,455,69,36,3,0,0,0,568
UCL315052,355,60,27,3,3,0,8,456
UCL315053,201,22,14,4,0,0,0,245
UCL315054,268,49,37,7,0,0,6,358
UCL315055,104,21,18,0,0,0,4,139
UCL315056,116,11,3,0,0,0,0,135
UCL315057,169,16,9,0,0,0,0,198
UCL315058,412,117,30,0,0,0,0,557
UCL315059,159,31,9,6,0,0,0,210
UCL315060,319,47,18,0,0,0,7,389
UCL315061,151,9,12,0,0,0,0,167
UCL315062,83,7,0,0,0,0,0,100
UCL315063,111,8,3,0,0,0,0,119
UCL315064,127,16,12,0,0,0,0,157
UCL315065,44,11,3,0,0,0,0,64
UCL315066,365,37,16,3,0,0,3,425
UCL315067,129,26,4,0,0,0,7,168
UCL315068,124,14,13,4,0,0,3,150
UCL315069,107,16,5,4,0,0,7,143
UCL315070,133,18,12,4,0,0,0,171
UCL315071,90,21,7,0,0,0,0,124
UCL315072,56,4,4,0,0,0,0,60
UCL315073,91,17,5,4,0,3,0,114
UCL315074,170,30,18,8,0,0,10,229
UCL315075,55,5,0,0,0,0,0,58
UCL315076,276,59,33,6,4,4,10,400
UCL315077,100,13,10,15,0,4,12,157
UCL315078,233,18,22,3,4,0,0,279
UCL315079,154,12,7,4,0,0,6,180
UCL315080,258,29,9,0,0,0,0,294
UCL315081,228,45,23,3,0,0,3,305
UCL315082,62,6,0,0,0,0,0,68
UCL315083,114,35,8,3,0,0,0,156
UCL315084,120,21,14,5,0,0,0,166
UCL315085,196,40,18,7,0,4,4,266
UCL315086,126,37,7,0,0,0,7,179
UCL315087,408,26,13,0,0,0,4,443
UCL315088,247,38,29,7,0,0,5,324
UCL315089,178,29,5,5,0,0,3,220
UCL315090,304,27,28,4,0,0,3,370
UCL315091,198,28,19,18,5,0,4,269
UCL315092,72,10,3,0,0,0,0,85
UCL315093,47,9,3,0,0,0,0,67
UCL315094,140,31,10,0,0,0,3,186
UCL315095,144,12,10,8,0,0,0,173
UCL315096,345,70,24,4,0,0,0,448
UCL315097,181,32,24,3,0,0,3,243
UCL315098,405,73,35,10,5,0,3,525
UCL315099,494,61,35,12,0,0,6,603
UCL315100,124,24,11,5,0,0,4,162
UCL315101,229,29,12,0,0,0,0,269
UCL315102,103,17,3,3,3,0,0,134
UCL315103,83,17,3,0,0,0,0,97
UCL315104,169,39,8,9,4,0,6,224
UCL315105,38,13,0,0,0,0,4,58
UCL315106,188,45,15,5,0,0,0,251
UCL315107,246,35,19,0,3,0,0,306
UCL315108,90,7,6,12,0,0,0,111
UCL315109,75,10,3,0,0,0,0,90
UCL321001,37,6,0,4,0,0,0,49
UCL321002,52,3,4,0,0,0,0,60
UCL321003,42,9,3,0,0,0,0,51
UCL321004,41,8,4,0,0,0,3,53
UCL321005,67,13,4,0,0,0,0,79
UCL321006,57,0,0,10,0,0,3,73
UCL321007,152,30,16,0,0,0,0,201
UCL321008,41,7,3,0,0,0,0,46
UCL321009,88,12,0,0,0,0,0,99
UCL321010,85,4,11,7,0,0,0,100
UCL321011,94,3,7,0,0,0,0,107
UCL321012,26,3,0,0,0,0,0,33
UCL321013,78,9,3,4,0,0,0,98
UCL321014,60,11,0,0,0,0,0,72
UCL321015,72,4,0,0,0,0,0,79
UCL321016,31,4,0,0,0,0,0,28
UCL321017,108,13,4,0,0,0,0,125
UCL321018,56,23,4,0,0,0,0,89
UCL321019,105,22,10,0,0,0,0,140
UCL321020,73,15,6,0,0,0,0,97
UCL321021,74,10,0,0,0,0,0,87
UCL321022,82,4,3,0,0,0,0,97
UCL321023,73,6,5,0,0,0,5,83
UCL321024,53,13,0,0,0,0,0,66
UCL321025,31,4,0,0,0,0,0,39
UCL321026,47,5,4,4,0,0,0,57
UCL321027,76,15,3,0,0,0,0,98
UCL321028,80,8,0,0,0,0,0,93
UCL321029,22,10,0,0,0,0,0,36
UCL321030,37,3,3,0,0,0,0,50
UCL321031,88,17,4,0,0,0,0,108
UCL321032,218,26,9,3,0,0,4,264
UCL321033,97,12,6,0,0,0,0,114
UCL321034,61,8,3,3,4,0,0,82
UCL321035,162,21,10,6,0,0,6,204
UCL321036,125,22,10,0,0,0,0,161
UCL321037,48,11,4,0,0,0,0,65
UCL321038,46,11,6,0,0,0,0,69
UCL321039,61,8,0,0,0,0,0,80
UCL321040,60,3,7,0,0,0,0,76
UCL321041,43,6,4,0,0,0,3,58
UCL321042,63,8,8,4,0,0,0,76
UCL321043,86,15,3,0,0,0,0,98
UCL321044,92,17,8,0,0,0,0,122
UCL321045,140,6,4,0,0,0,0,157
UCL321046,61,8,0,0,0,0,0,72
UCL321047,49,6,7,4,3,0,0,63
UCL321048,25,3,3,0,0,0,0,32
UCL321049,55,9,6,3,0,0,0,69
UCL321050,52,13,8,0,0,0,0,78
UCL321051,38,3,4,0,0,0,0,49
UCL321052,53,4,4,4,0,0,6,74
UCL321053,37,0,3,3,0,0,0,54
UCL321054,39,0,3,0,0,0,0,42
UCL321055,62,7,7,0,0,0,0,79
UCL321056,34,12,6,0,0,0,0,52
UCL321057,29,9,9,0,0,0,3,52
UCL321058,86,10,6,0,0,0,0,97
UCL321059,161,16,4,0,0,0,0,180
UCL321060,37,4,6,0,0,0,0,43
UCL321061,28,6,0,0,0,0,0,35
UCL321062,48,9,4,10,3,0,0,81
UCL321063,100,7,0,0,0,0,0,112
UCL321064,23,5,0,0,0,0,0,34
UCL321065,105,18,5,0,0,0,3,135
UCL321066,12,4,0,0,0,0,0,15
UCL321067,31,7,0,3,0,0,0,43
UCL321068,79,16,4,0,0,0,0,100
UCL321069,55,5,4,0,0,0,0,65
UCL321070,63,7,5,0,0,0,0,74
UCL321071,59,0,9,0,0,0,6,69
UCL321072,102,9,14,3,0,0,0,129
UCL321073,59,5,5,0,0,0,0,67
UCL321074,61,9,0,0,0,0,5,67
UCL321075,150,19,11,0,0,0,0,185
UCL321076,51,13,6,7,0,0,0,79
UCL321077,33,7,0,0,0,0,0,40
UCL321078,52,4,0,0,0,0,0,62
UCL321079,72,14,3,8,0,0,5,100
UCL321080,197,24,5,6,0,0,0,238
UCL321081,51,7,0,0,0,0,0,63
UCL321082,58,10,3,0,0,0,0,69
UCL321083,134,28,10,3,0,0,0,176
UCL321084,48,3,0,0,0,0,0,53
UCL321085,5,0,0,0,0,0,0,9
UCL321086,35,9,3,6,4,0,0,50
UCL321087,62,3,0,0,0,0,0,70
UCL321088,24,3,4,6,0,0,0,30
UCL321089,14,5,0,0,0,0,0,28
UCL321090,99,3,0,0,0,0,0,109
UCL321091,9,0,0,0,0,0,0,18
UCL321092,20,3,6,0,0,0,0,36
UCL321093,70,9,3,0,0,0,0,82
UCL321094,59,14,0,0,0,0,0,78
UCL321095,68,9,0,0,0,0,0,80
UCL321096,53,8,7,0,0,0,0,64
UCL321097,93,24,4,3,0,0,0,126
UCL321098,64,0,4,0,0,0,0,70
UCL321099,40,7,3,0,0,0,0,44
UCL321100,48,0,3,0,0,0,0,59
UCL321101,47,5,0,0,0,0,0,51
UCL321102,77,17,5,0,0,0,0,102
UCL321103,100,16,8,0,0,0,0,126
UCL321104,79,8,11,0,0,0,0,94
UCL321105,135,16,9,4,0,0,0,165
UCL321106,85,12,8,0,0,0,0,102
UCL321107,40,6,0,0,0,0,0,47
UCL321108,49,5,0,0,0,0,0,61
UCL321109,48,11,3,0,0,0,0,68
UCL321110,73,10,3,0,0,0,0,81
UCL321111,54,8,3,0,0,0,0,65
UCL321112,28,4,4,0,3,0,3,49
UCL321113,43,7,5,0,0,0,0,54
UCL321114,43,6,5,0,0,0,0,52
UCL322001,31,3,0,4,0,0,0,40
UCL322002,18,5,0,0,0,0,0,20
UCL322003,11,0,0,0,0,0,0,13
UCL322004,23,4,0,0,0,0,0,22
UCL322005,15,0,3,0,0,0,0,17
UCL322006,7,0,0,0,0,0,0,6
UCL322007,19,4,5,0,0,0,0,22
UCL322008,25,0,0,0,0,0,0,25
UCL322009,14,0,0,0,0,0,0,16
UCL322010,7,4,3,0,0,0,0,12
UCL322011,33,8,3,0,0,0,0,45
UCL322012,18,3,0,0,0,0,0,23
UCL322013,52,8,4,0,0,0,0,64
UCL322014,17,0,6,0,0,0,0,19
UCL322015,18,0,0,0,0,0,0,23
UCL322016,16,0,0,0,0,0,0,19
UCL322017,5,0,4,0,0,0,0,12
UCL322018,20,9,0,0,0,0,0,28
UCL322019,14,0,0,0,0,0,0,8
UCL322020,11,0,0,0,0,0,0,12
UCL322021,3,0,0,0,0,0,0,3
UCL322022,6,4,0,0,0,0,0,7
UCL322023,35,0,0,0,0,0,0,38
UCL322024,42,4,0,0,0,0,0,53
UCL322025,3,0,0,0,0,0,0,6
UCL322026,17,3,0,0,0,0,3,23
UCL322027,12,0,0,0,0,0,0,11
UCL322028,8,0,0,0,0,0,0,21
UCL322029,15,4,4,0,0,0,3,24
UCL322030,13,0,0,0,0,0,0,21
UCL322031,18,5,0,0,0,0,0,26
UCL322032,5,0,0,0,0,0,0,5
UCL322033,8,0,3,0,0,0,0,8
UCL322034,16,4,0,0,0,0,0,15
UCL322035,21,3,0,0,0,0,0,23
UCL322036,23,8,0,0,0,0,0,34
UCL322037,13,0,0,0,0,0,0,19
UCL322038,20,3,0,0,0,0,3,28
UCL322039,13,3,0,0,0,0,0,19
UCL322040,57,7,0,0,0,0,0,69
UCL322041,23,3,3,0,0,0,0,30
UCL322042,33,4,3,0,0,0,0,42
UCL322043,25,5,3,0,0,0,0,35
UCL322044,18,3,0,0,0,0,0,21
UCL322045,28,4,0,0,0,0,0,31
UCL322046,16,3,0,0,0,0,0,19
UCL322047,0,0,0,0,0,0,0,0
UCL322048,16,6,0,0,0,0,0,17
UCL322049,16,0,0,0,0,0,0,18
UCL322050,34,7,3,0,0,0,0,47
UCL322051,20,4,0,0,0,0,0,18
UCL322052,12,0,5,0,0,0,0,21
UCL322053,28,4,3,0,0,0,0,36
UCL322054,18,0,0,0,0,0,0,19
UCL322055,23,0,0,0,0,0,0,25
UCL322056,25,5,0,3,0,0,0,27
UCL322057,53,8,0,0,0,0,0,64
UCL322058,24,0,0,0,0,0,0,25
UCL322059,21,6,0,3,0,0,0,29
UCL322060,29,7,7,0,0,0,0,34
UCL322061,27,7,4,6,0,0,5,47
UCL322062,16,0,0,0,0,0,0,20
