UCL_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL112002,15300,15438,30743,11,9,20,31,26,56,29,22,48,42,63,103,13,14,27,11,9,21,29,18,50,35,44,76,16,7,19,3,6,14,192,152,342,16,18,29,24,9,36,14,3,20,31,36,69,22,22,41,0,18,21,14,18,35,26,10,37,20,23,48,91,84,177,34,47,75,215,172,387,38,27,67,98,140,241,9,5,15,12,11,17,54,64,121,50,43,97,5,4,4,25,56,74,418,409,825,38,48,88,38,45,84,232,223,456,950,875,1823,20,19,45,18201,18229,36428
UCL112003,10973,11830,22804,3,0,3,8,0,4,39,58,98,68,95,164,12,18,27,12,16,28,18,17,33,117,144,264,19,15,26,18,35,48,79,67,147,22,37,56,12,9,14,3,3,4,71,52,123,41,43,83,15,45,64,17,32,52,18,9,28,37,44,81,14,11,30,47,65,117,269,286,549,13,6,19,54,112,171,39,55,93,23,23,43,62,59,115,16,21,36,10,10,22,28,56,83,1057,1024,2078,108,138,247,51,54,106,450,598,1050,590,573,1160,23,25,50,14446,15674,30123
UCL112004,8263,9422,17679,3,0,3,12,9,21,33,42,74,25,57,86,5,17,21,9,8,15,11,25,36,72,71,141,18,14,32,23,32,57,176,137,311,12,16,25,5,15,20,6,0,9,47,27,78,51,38,92,9,18,21,14,14,28,11,7,17,16,21,39,155,144,307,45,46,96,200,203,400,18,8,24,47,58,98,20,22,44,24,10,36,83,108,188,10,12,24,12,15,18,21,43,64,857,874,1727,68,85,156,11,18,28,306,360,665,520,604,1126,22,24,46,11233,12627,23858
UCL112005,10404,9769,20170,0,0,5,12,0,11,9,3,15,29,20,43,6,0,3,10,3,13,17,4,20,26,22,46,3,0,3,8,11,19,31,28,58,0,0,0,3,0,3,4,0,4,11,10,20,13,0,10,0,0,0,10,8,12,24,5,25,9,12,21,17,13,32,19,13,35,124,109,233,6,3,11,39,80,118,6,5,6,3,0,7,21,27,49,9,3,8,4,3,7,24,54,77,265,248,504,23,17,38,24,20,40,137,82,221,620,620,1236,4,13,10,11963,11197,23163
UCL112006,14967,16522,31490,0,0,0,74,65,140,8,10,19,76,83,163,0,0,3,9,9,17,42,29,66,16,26,44,6,11,23,14,15,29,403,355,750,12,10,21,11,9,19,3,0,6,28,15,39,14,19,30,3,9,13,20,25,46,12,20,24,15,23,35,355,343,699,34,25,58,144,133,282,99,65,162,137,206,339,3,10,17,4,9,13,34,66,101,99,80,178,9,26,39,15,27,45,232,228,465,17,28,47,16,29,44,221,217,436,1621,1629,3255,27,26,55,18823,20402,39223
UCL112007,2666,2817,5486,0,0,0,0,0,0,6,0,0,4,7,5,0,0,0,0,0,0,0,0,0,6,9,12,0,0,6,0,0,3,26,16,38,0,3,3,0,0,0,0,0,0,10,3,14,16,3,19,0,0,0,0,0,0,0,0,0,0,3,9,4,0,4,12,15,30,21,27,51,0,0,0,12,15,29,0,0,0,0,0,0,3,8,14,8,3,15,0,0,4,0,6,7,93,120,205,0,8,9,5,14,14,19,27,48,219,215,435,0,0,0,3131,3333,6463
UCL112008,8049,9063,17110,0,0,0,9,3,6,7,24,29,16,23,40,18,10,21,17,7,28,3,8,11,38,49,85,3,4,9,6,5,11,39,33,74,14,15,27,0,10,10,0,4,8,18,20,42,34,14,43,0,4,0,4,11,14,5,6,12,10,10,20,36,40,75,32,32,63,110,128,243,4,0,4,26,75,107,10,9,17,0,11,11,33,27,64,3,5,6,0,3,3,8,30,37,399,420,819,17,28,42,6,17,18,149,160,308,595,699,1299,11,9,23,9734,11009,20747
UCL112009,10072,10244,20321,8,0,9,20,13,32,9,5,13,61,55,116,7,11,14,8,4,14,27,21,55,20,26,43,16,16,28,4,3,11,114,107,217,14,18,32,9,3,10,7,0,10,26,9,34,12,19,26,5,5,7,31,21,48,22,6,22,13,19,32,76,71,150,19,20,36,130,112,241,23,14,34,66,113,176,8,8,16,6,4,10,22,17,35,12,9,20,7,9,11,10,35,46,285,266,553,22,27,46,17,6,31,232,203,439,743,679,1421,19,10,30,12203,12219,24418
UCL112010,6944,7206,14144,29,15,48,10,15,27,3,7,3,33,43,77,0,0,0,0,6,7,85,75,158,17,15,33,0,0,0,0,6,11,972,824,1797,6,11,19,6,3,12,5,0,0,15,12,22,318,374,689,0,3,3,7,8,16,7,5,10,129,113,242,13,10,22,12,5,15,178,184,357,105,57,167,177,189,368,0,0,4,0,0,0,57,57,117,22,16,41,49,76,119,4,24,28,108,111,220,10,14,31,5,7,12,391,397,790,730,668,1405,85,37,123,10542,10596,21137
UCL112011,8775,9092,17866,0,0,0,0,0,0,0,7,11,3,5,10,4,0,3,0,0,0,8,8,14,18,27,41,7,0,5,5,4,5,34,28,63,0,3,5,0,0,0,0,0,4,11,7,18,3,0,6,0,0,0,4,6,6,0,0,4,10,4,13,5,4,7,16,12,25,50,74,121,3,0,7,33,85,123,6,3,6,0,3,3,19,11,27,3,6,7,0,0,0,6,26,34,192,179,371,10,12,24,11,6,14,62,43,109,452,456,910,8,10,15,9753,10135,19893
UCL112012,11239,12065,23302,0,0,0,6,7,14,26,34,63,23,33,53,6,4,12,17,11,32,13,10,20,56,54,109,8,0,8,12,5,16,91,61,155,6,13,20,8,7,15,0,0,3,9,10,19,52,38,89,11,31,39,19,17,31,6,0,4,19,22,39,27,24,51,18,28,44,138,170,308,11,13,29,31,140,170,3,6,18,5,10,14,38,45,85,16,16,31,0,10,16,14,38,45,348,334,685,48,46,95,25,35,60,196,226,421,1054,1120,2175,34,15,53,13641,14695,28336
UCL112013,1002,1001,2001,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,17,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,6,11,15,0,0,5,0,0,0,0,0,0,0,0,0,3,3,5,0,0,4,0,0,0,3,4,5,18,17,40,0,4,4,0,0,0,13,20,28,111,105,214,36,16,51,1226,1203,2426
UCL112014,8788,9322,18109,4,0,4,9,10,20,14,12,25,13,27,38,7,4,12,7,10,16,22,22,41,36,39,78,7,7,13,3,11,20,43,39,79,4,12,16,9,6,9,0,8,4,19,17,34,9,20,28,3,11,11,11,19,25,10,0,11,9,17,26,7,9,14,27,44,75,255,280,535,4,3,4,29,85,106,8,18,27,8,5,8,74,83,150,7,8,12,0,0,5,16,20,31,403,444,842,33,44,75,3,4,9,271,284,553,348,405,746,0,10,11,10513,11336,21849
UCL112015,13365,13368,26733,3,0,3,12,10,25,18,34,53,65,82,143,16,16,32,22,11,27,30,19,47,48,63,110,18,7,20,7,6,12,226,192,417,7,25,35,23,12,36,11,3,15,29,16,42,43,22,65,6,14,16,17,20,40,11,6,16,13,13,26,62,52,116,47,46,95,185,168,355,27,16,47,83,210,293,11,12,27,4,6,9,31,52,88,19,32,56,0,9,9,27,76,104,672,657,1329,47,49,94,24,24,45,299,301,595,1238,1235,2473,24,10,35,16782,16914,33698
UCL112016,16368,17465,33835,5,3,9,18,14,27,23,39,56,81,95,181,11,10,26,7,3,7,21,23,48,44,57,100,14,15,24,13,18,33,272,242,514,16,26,39,8,8,19,10,12,22,32,10,43,37,39,74,3,19,20,33,35,67,3,6,10,28,28,52,116,118,230,36,40,77,212,201,412,45,36,82,129,167,298,6,22,26,10,20,28,86,91,183,43,23,62,9,8,14,29,53,85,402,379,783,43,40,82,27,28,55,350,346,696,1102,1209,2316,33,24,62,19710,20996,40703
UCL112017,18518,20642,39153,0,0,6,10,3,14,54,65,110,65,82,146,23,17,36,34,20,49,24,25,46,101,115,219,9,9,21,21,28,49,134,124,262,14,32,42,14,13,24,7,3,11,62,59,124,46,37,79,14,24,39,18,33,51,7,5,13,24,31,56,61,58,122,77,105,177,347,406,751,20,10,30,93,208,304,16,21,36,17,15,29,120,136,261,24,23,46,6,6,10,14,61,76,1252,1277,2531,90,86,183,17,46,64,439,477,918,1231,1263,2487,45,37,81,23056,25603,48654
UCL112018,13783,15007,28794,3,0,3,17,8,27,13,17,23,121,124,238,0,6,3,15,21,33,65,29,98,18,24,42,11,0,7,14,11,22,230,199,426,23,30,48,12,4,19,4,7,9,13,19,28,18,6,26,5,16,14,11,16,24,6,3,9,35,30,60,96,100,205,22,20,38,114,117,230,44,22,64,228,252,477,7,3,11,8,9,14,24,49,73,21,19,38,86,63,149,22,47,67,238,222,459,29,33,64,162,168,337,213,175,384,1539,1652,3190,39,13,52,17310,18526,35838
UCL112019,19761,21605,41365,21,18,40,40,37,79,27,18,50,139,134,267,8,5,19,58,55,115,72,36,110,43,48,90,17,13,29,20,19,37,356,312,662,8,17,24,28,22,55,364,410,776,28,37,69,32,21,57,3,7,8,15,24,37,5,9,15,71,56,130,68,59,128,43,30,72,189,180,364,47,25,74,151,193,341,5,6,15,10,16,27,69,81,152,68,42,108,7,21,26,13,57,70,358,370,737,40,57,95,34,27,60,511,495,1011,1314,1324,2632,78,26,106,24118,25930,50049
UCL113001,7128,7836,14964,0,0,0,4,4,6,25,31,54,9,17,29,0,3,3,0,9,9,13,10,24,27,48,81,0,6,6,5,13,14,62,55,118,4,16,24,3,7,11,0,0,0,24,16,44,25,11,34,11,24,36,8,3,12,0,0,0,13,11,19,14,13,24,25,40,62,148,177,326,0,4,4,18,76,95,5,3,4,0,4,4,44,37,75,6,0,9,5,6,4,15,45,64,328,390,717,42,41,85,9,15,18,134,177,315,601,719,1321,12,8,20,8768,9867,18634
UCL113002,4580,4857,9434,0,0,0,0,0,0,8,16,27,25,19,48,24,29,54,0,4,0,0,5,3,36,44,84,14,9,27,3,4,7,42,39,77,6,12,15,0,0,0,0,0,0,11,26,31,27,21,52,0,10,10,7,6,11,6,0,9,9,9,19,22,14,37,25,27,54,104,95,193,0,0,5,15,51,69,10,9,19,0,8,8,24,19,45,3,0,6,0,0,4,4,22,26,324,343,672,13,13,28,7,11,14,120,150,274,555,529,1085,7,4,10,6027,6415,12449
UCL113003,7383,7725,15107,3,0,3,0,4,4,6,3,14,10,11,23,0,0,7,3,0,3,3,8,9,14,23,37,9,6,9,0,4,0,35,38,67,4,3,5,5,0,3,0,0,0,7,5,11,5,18,22,4,0,4,0,0,3,0,0,0,8,6,17,4,3,8,3,10,19,45,35,77,4,0,4,65,133,205,0,0,5,0,0,0,5,13,21,4,4,8,0,0,0,5,10,11,99,87,186,7,18,27,3,3,8,64,62,129,749,797,1546,7,10,15,8568,9054,17615
UCL113004,3337,3581,6922,0,0,0,0,0,0,32,40,79,5,16,21,3,0,3,0,4,4,3,4,7,66,88,156,3,0,5,3,3,7,24,12,30,5,5,11,5,0,5,0,0,0,25,12,43,83,57,143,28,57,87,5,3,8,0,0,4,0,9,16,6,5,10,13,48,66,153,137,287,0,0,0,5,33,38,3,8,11,4,4,11,37,36,72,4,5,8,6,6,11,9,25,38,358,338,696,68,96,166,5,10,12,468,523,992,452,445,895,57,42,104,5298,5659,10953
UCL113005,7243,7724,14967,0,0,0,6,4,8,6,7,15,15,14,27,0,0,4,0,0,4,7,3,15,12,19,29,4,0,8,10,7,16,52,36,84,7,10,14,0,3,3,0,0,0,4,3,17,0,4,4,0,3,4,3,4,4,0,0,4,4,10,14,8,3,12,15,14,29,68,56,121,4,0,5,7,63,72,4,3,3,0,8,8,6,10,22,12,9,21,4,5,9,4,11,17,134,151,292,13,15,23,7,10,15,78,77,152,594,623,1218,45,8,50,8366,8941,17311
UCL113006,4677,4536,9212,0,0,0,4,0,0,5,5,8,22,12,34,0,0,0,0,0,0,6,5,11,13,20,32,0,0,0,0,0,5,19,23,41,4,4,10,4,0,5,11,0,11,5,3,8,6,0,6,0,0,0,0,0,0,5,0,5,7,0,7,10,4,11,6,8,11,53,24,76,0,0,0,19,67,83,3,0,3,0,0,0,3,3,9,0,4,5,3,4,4,5,6,15,97,86,179,9,3,12,15,3,21,50,30,84,585,589,1170,4,7,8,5641,5466,11108
UCL113007,5766,5973,11742,0,4,5,0,0,0,19,33,51,29,36,61,0,8,11,11,4,16,8,4,12,39,42,81,12,10,23,9,4,9,9,11,20,0,4,8,0,6,8,0,0,0,23,33,57,25,20,49,4,5,8,6,4,12,7,4,8,6,14,18,4,3,10,19,26,41,103,97,204,0,0,0,11,31,41,5,10,11,5,11,13,39,50,85,0,7,7,0,0,0,9,20,30,457,536,985,39,48,98,10,9,17,167,179,350,255,241,499,8,13,16,7096,7503,14601
UCL113008,4496,4655,9143,0,0,0,3,0,5,3,4,7,24,23,45,3,8,14,4,0,4,6,6,14,16,20,34,6,6,11,4,9,10,36,30,70,7,5,8,8,0,8,0,0,0,8,9,15,13,14,28,0,0,4,0,4,3,3,3,13,8,10,17,11,10,23,10,18,28,48,70,119,6,0,11,26,52,80,12,13,18,5,3,7,8,8,21,4,3,9,0,0,0,6,23,30,172,183,355,11,6,19,7,11,22,88,86,172,440,376,818,0,0,0,5509,5689,11195
UCL113009,4347,4364,8718,0,0,0,0,0,0,3,4,9,8,9,17,0,0,3,0,4,4,3,4,7,8,9,24,0,3,4,0,0,4,8,12,19,4,4,6,0,0,4,0,0,0,8,9,13,8,4,13,0,5,5,0,3,5,0,0,0,9,13,25,4,0,3,16,10,30,44,46,96,0,3,8,7,24,29,5,0,8,7,0,7,37,22,60,0,0,0,0,0,0,7,14,27,191,176,370,12,15,32,0,9,4,68,50,115,83,85,166,11,3,8,4908,4924,9830
UCL113010,4967,5090,10061,0,0,0,4,7,19,9,10,17,15,9,23,5,0,6,0,0,0,6,10,7,7,23,29,3,3,11,0,4,4,22,22,49,4,8,7,0,0,0,0,0,0,6,13,22,8,0,8,0,8,3,0,11,9,8,0,5,0,7,4,24,23,47,12,12,20,62,50,115,4,0,4,23,36,62,5,0,6,0,0,3,20,14,36,3,4,5,0,0,0,10,24,30,131,149,283,12,14,25,10,5,15,63,71,137,357,336,692,0,4,4,5803,5972,11776
UCL113011,4766,4578,9346,0,0,0,0,0,3,4,3,6,18,16,34,5,3,6,3,0,3,3,0,9,3,3,7,0,0,3,0,4,8,43,37,81,0,6,5,0,0,0,0,0,0,8,8,14,3,4,7,0,5,5,0,0,0,0,0,4,3,5,6,11,4,17,9,5,17,90,74,164,3,7,8,41,75,116,5,0,4,0,5,8,21,13,34,5,5,16,0,5,5,11,26,40,77,74,152,9,4,9,4,0,0,74,71,143,408,330,736,3,4,7,5637,5390,11023
UCL113012,5390,5821,11213,0,0,0,0,3,4,19,29,42,18,26,44,27,19,49,5,4,9,11,7,14,35,44,74,23,15,42,12,8,15,38,33,65,0,11,12,0,0,0,3,0,3,21,26,45,35,24,62,6,11,12,4,5,10,0,5,6,22,16,36,50,34,81,23,28,52,118,128,249,6,0,6,27,64,93,16,12,24,3,5,14,39,46,88,3,0,6,0,7,7,17,39,54,513,524,1033,32,43,72,8,7,12,152,201,357,288,290,576,8,6,12,6962,7532,14495
UCL113013,5885,6095,11982,0,0,0,4,4,10,8,4,15,12,13,24,3,0,7,0,3,7,7,9,11,26,20,47,8,0,7,3,0,6,24,7,35,3,5,12,0,0,0,0,0,0,0,6,6,12,5,15,0,3,3,3,0,3,0,0,0,36,34,65,3,0,3,15,13,27,74,76,146,11,4,16,24,56,83,0,3,8,0,6,9,12,12,24,0,0,0,0,0,0,8,30,36,150,146,293,9,13,24,6,12,24,89,83,173,447,410,857,0,0,4,6872,7099,13972
UCL113014,6144,6172,12320,0,0,0,7,5,10,0,4,8,24,16,41,0,0,0,0,0,0,24,11,39,9,4,15,0,0,0,0,0,4,44,39,81,0,0,3,0,0,0,0,0,0,13,14,24,11,3,13,0,0,0,5,0,3,3,0,0,10,3,16,3,4,11,20,10,32,159,148,304,5,4,4,72,105,179,6,0,4,0,4,4,37,46,93,4,9,9,0,6,7,15,29,40,141,124,262,9,9,11,13,20,32,66,68,133,372,310,681,3,5,14,7205,7180,14390
UCL113015,4282,4446,8725,0,0,0,0,0,0,9,5,17,10,14,26,21,17,31,9,3,9,7,7,12,41,33,72,22,20,43,0,0,0,5,8,11,6,8,7,0,0,0,3,0,5,11,13,28,20,18,37,0,5,5,4,3,5,4,4,6,5,5,4,3,0,3,16,11,27,57,70,128,0,0,0,17,47,68,8,15,21,0,3,11,4,14,17,0,0,0,0,0,0,4,13,18,294,293,586,8,20,32,3,5,6,128,103,237,310,339,649,4,4,10,5320,5542,10862
UCL113016,7154,7960,15112,0,0,0,6,6,12,6,10,17,22,28,50,6,3,4,9,7,18,5,6,16,27,23,52,9,0,8,0,4,8,74,72,145,4,4,9,0,0,0,5,5,9,16,6,28,18,5,21,4,0,7,5,5,9,4,10,13,8,11,18,16,19,31,29,27,53,70,67,132,13,7,22,45,103,141,0,5,3,5,3,13,13,14,25,7,9,13,0,0,0,9,29,33,204,219,417,18,12,32,12,14,22,104,101,202,797,807,1604,4,3,7,8702,9611,18314
UCL113017,5695,5987,11684,0,0,0,0,0,0,15,17,27,10,17,30,11,8,20,6,3,5,0,6,6,26,42,67,5,5,11,4,4,11,21,18,40,8,6,10,4,4,8,0,0,0,14,8,20,48,27,68,0,12,10,8,8,12,0,0,4,6,10,12,0,0,0,30,24,53,92,109,201,3,0,6,23,45,69,3,9,13,0,6,3,23,32,54,3,0,4,0,3,4,4,25,33,377,371,750,22,30,55,4,13,20,125,154,283,459,422,876,5,8,14,7054,7433,14486
UCL113018,965,982,1945,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,13,21,0,0,0,3,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,32,42,74,0,0,4,0,0,0,10,7,17,113,114,227,0,0,0,1138,1188,2325
UCL114001,1966,2374,4339,0,0,0,0,0,0,0,10,14,3,10,11,0,0,0,0,0,0,0,0,0,12,9,19,0,0,0,0,0,5,9,5,11,0,0,4,0,0,0,0,0,0,7,0,7,7,6,17,3,0,5,0,0,0,0,0,0,4,4,12,0,0,0,7,13,16,36,50,86,3,0,3,0,8,8,0,0,5,0,0,0,4,10,22,0,0,0,0,0,0,5,3,8,112,125,234,9,6,16,0,0,0,39,51,86,94,111,201,0,0,0,2321,2805,5132
