UCL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL422023,0,0,0,0,0,0,12,7,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,3,11,0,0,42,5,16,22,28,47,46,42,22,0,227
UCL422024,0,0,0,3,6,10,7,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,31,49,38,26,18,8,3,0,197
UCL422025,0,0,0,0,0,0,4,10,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,16,10,5,28,23,28,47,64,36,31,270
UCL422026,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,13,0,29,69,48,58,55,27,12,3,301
UCL422027,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,12,4,18,24,31,7,3,108,0,8,30,19,21,46,45,8,3,185
UCL422028,0,0,0,0,0,0,4,0,5,21,0,0,0,0,0,0,0,0,0,5,0,0,4,4,3,10,8,14,3,51,5,3,30,29,23,49,57,24,7,227
UCL422029,0,0,0,6,8,12,4,0,0,27,0,0,0,0,5,3,0,0,0,7,0,0,0,0,3,0,0,0,0,15,17,28,66,31,36,26,4,0,0,215
UCL422030,0,0,0,0,0,0,5,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,0,26,4,12,25,30,35,61,67,29,5,266
UCL422031,0,0,0,0,0,6,11,7,0,26,0,0,0,0,0,0,0,0,0,3,4,0,0,5,6,7,12,5,0,33,13,9,17,27,47,60,54,24,4,261
UCL422032,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,16,8,9,28,46,46,58,36,7,3,239
UCL422033,0,0,0,0,0,0,3,6,0,7,0,0,0,0,0,0,0,0,0,0,8,3,6,3,11,17,4,8,5,59,10,21,24,21,67,80,32,16,5,256
UCL422034,0,0,0,0,0,0,3,7,3,12,0,0,0,0,0,0,0,0,0,0,3,3,4,0,9,8,4,0,0,24,5,15,36,15,50,62,43,17,7,262
UCL422035,0,0,0,0,4,0,3,7,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,3,5,4,0,0,0,25,12,25,53,49,62,62,36,22,3,314
UCL422036,0,0,4,0,0,4,9,11,0,25,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,5,3,3,15,10,13,43,49,54,66,67,32,3,335
UCL422037,0,0,0,0,0,0,7,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,12,11,11,25,44,36,31,43,25,0,219
UCL422038,0,0,0,0,0,0,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,17,4,6,19,24,36,37,35,32,3,199
UCL422039,0,0,0,0,0,3,4,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,4,0,0,23,0,8,21,16,28,54,55,18,0,204
UCL422040,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,3,12,3,6,24,37,40,48,42,33,10,256
UCL422041,0,0,0,0,0,3,10,16,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,6,0,25,3,18,20,24,28,69,97,54,3,317
UCL422042,0,0,0,0,4,0,3,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,18,12,10,48,4,9,21,14,43,79,78,51,7,307
UCL422043,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,10,5,21,36,34,17,4,135
UCL422044,0,0,0,0,0,0,3,17,9,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,10,7,4,35,6,3,20,27,42,60,71,44,16,279
UCL422045,0,0,0,0,0,0,3,16,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,34,10,6,23,30,44,129,168,72,31,513
UCL422046,0,0,0,0,0,4,6,12,6,27,0,0,3,0,0,0,0,0,0,3,3,4,3,3,0,14,6,3,0,43,5,12,35,31,47,72,67,44,11,332
UCL422047,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,9,0,3,8,23,18,39,44,5,8,153
UCL422048,0,0,0,0,0,0,7,11,3,26,0,0,0,0,3,0,0,0,0,3,0,0,4,0,3,7,5,8,0,38,0,5,30,30,40,71,63,42,18,293
UCL422049,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,3,0,20,8,12,32,26,31,59,21,23,7,222
UCL422050,0,0,0,0,0,4,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,10,7,5,16,28,24,31,32,14,0,150
UCL422051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,6,0,0,0,22,12,21,36,45,63,71,56,10,3,305
