UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL315108,0,25,25,26,11,33,19,5,27,41,0,41,32,0,28,91,0,91,208,39,242
UCL315109,6,134,145,169,54,221,53,12,60,43,7,50,20,3,20,14,0,14,300,208,505
UCL321001,3,77,85,77,24,102,35,4,39,12,0,16,8,0,12,11,0,9,151,109,263
UCL321002,4,132,138,115,15,128,39,0,41,31,3,33,9,0,9,6,5,15,210,157,366
UCL321003,0,67,70,84,16,106,36,8,45,15,6,19,16,0,16,0,0,0,154,92,255
UCL321004,3,54,59,76,12,85,21,0,26,26,6,30,14,0,14,10,0,10,148,75,227
UCL321005,12,57,69,95,29,125,36,0,40,32,0,34,10,0,16,13,0,17,199,100,295
UCL321006,6,33,36,48,4,48,27,5,29,40,3,44,23,0,24,17,3,19,160,44,203
UCL321007,13,191,201,142,84,226,86,3,89,86,8,89,48,0,48,16,0,16,383,283,666
UCL321008,17,153,170,174,85,261,28,6,32,23,5,24,19,6,18,10,3,15,271,258,524
UCL321009,9,214,228,153,89,245,59,9,63,42,5,50,26,5,30,8,3,11,299,322,619
UCL321010,5,83,87,94,16,113,43,5,44,59,0,57,27,0,26,14,0,13,231,100,336
UCL321011,3,25,30,88,8,95,43,0,43,47,0,49,23,0,23,10,0,10,210,36,246
UCL321012,4,152,155,97,30,126,21,5,32,21,5,25,8,0,9,0,0,6,152,201,351
UCL321013,4,45,43,113,13,125,48,9,52,49,0,48,14,4,13,3,0,4,228,66,291
UCL321014,5,31,37,56,8,63,33,3,33,28,0,32,7,0,12,11,0,11,145,45,187
UCL321015,11,179,193,162,43,205,43,12,50,44,3,44,12,0,12,9,0,9,277,238,514
UCL321016,5,125,133,107,18,125,22,4,34,6,0,12,10,0,10,8,0,8,162,151,315
UCL321017,7,32,36,151,4,154,48,3,50,51,0,53,29,3,31,12,0,18,298,42,342
UCL321018,12,57,66,80,22,97,25,6,33,28,0,32,19,0,19,21,0,21,189,85,270
UCL321019,12,44,52,110,3,114,57,8,65,49,0,49,33,0,33,23,0,23,278,56,341
UCL321020,5,47,52,113,12,124,51,0,58,34,0,34,25,0,24,20,0,20,246,67,306
UCL321021,6,68,69,91,14,108,44,3,48,30,0,31,13,4,20,8,0,13,201,91,297
UCL321022,0,11,11,61,12,71,21,3,21,42,4,50,32,0,32,16,6,21,169,32,203
UCL321023,5,91,96,97,21,118,51,4,48,30,0,28,14,0,16,7,0,11,203,122,325
UCL321024,3,28,30,66,6,72,29,6,25,35,0,37,10,0,10,11,0,14,154,39,189
UCL321025,7,54,58,125,8,134,14,0,21,15,0,19,13,0,13,5,0,5,187,66,249
UCL321026,7,53,59,68,9,82,31,0,33,25,0,25,11,0,11,5,0,5,153,61,212
UCL321027,8,63,70,94,20,112,56,0,63,35,0,38,16,0,20,8,7,12,222,92,315
UCL321028,13,123,134,91,50,139,44,3,46,36,12,43,31,7,38,8,0,9,216,195,416
UCL321029,12,167,170,167,35,203,30,3,34,16,0,20,6,0,6,0,0,0,242,199,436
UCL321030,3,45,46,60,15,72,37,0,42,24,0,28,11,0,11,4,0,4,139,60,199
UCL321031,13,114,121,101,24,127,65,3,68,56,5,62,18,0,17,13,0,18,264,146,409
UCL321032,12,82,93,208,18,226,122,8,131,121,13,132,48,0,48,33,0,31,541,122,668
