UCL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL112002,246,223,219,144,67,13,1153,12,91,122,126,99,99,37,5,590,243,1002,834,681,496,352,153,35,3800,126,388,407,496,460,307,150,59,2392,663,1384,1159,1042,892,552,260,70,6022,94,87,63,75,57,48,10,8,440,46,73,71,103,138,148,52,25,658,803,1542,1296,1218,1088,753,323,101,7118,8,16,15,34,31,36,28,14,180,420,580,493,381,268,235,270,167,2822,1638,3856,3409,3156,2660,1928,1017,399,18061
UCL112003,448,512,538,506,151,36,2428,4,72,119,208,238,221,61,6,929,121,648,932,1077,933,890,337,85,5031,90,289,427,556,658,590,226,54,2893,336,664,714,766,774,546,231,57,4086,41,47,38,50,69,36,13,0,305,20,24,32,91,122,145,86,21,538,397,737,777,906,956,725,335,82,4929,8,9,13,19,31,42,42,16,180,148,152,167,225,219,258,232,125,1532,773,2139,2884,3512,3585,3240,1382,411,17915
UCL112004,267,284,241,299,163,59,1523,4,32,74,98,120,143,63,8,550,113,509,689,681,592,659,434,104,3784,63,213,283,428,417,489,318,100,2318,199,455,452,517,547,449,333,82,3028,19,18,25,37,37,41,28,8,213,12,23,37,78,104,148,116,24,544,238,489,511,635,689,634,478,112,3786,7,9,11,16,26,69,57,29,226,98,94,132,166,153,222,315,279,1459,531,1549,1967,2308,2245,2527,1819,684,13634
UCL112005,48,31,33,29,7,0,195,11,29,22,19,22,27,4,6,143,39,227,262,166,123,128,40,10,1001,42,220,224,237,215,162,51,11,1171,413,972,823,765,716,447,191,35,4360,82,87,47,48,39,28,5,4,343,17,51,46,59,75,68,31,11,348,512,1108,914,873,832,541,221,48,5051,6,12,12,12,15,15,6,3,81,321,672,566,420,284,265,256,151,2938,933,2315,2050,1762,1531,1169,595,232,10580
UCL112006,359,153,127,59,22,7,1340,12,131,133,114,115,73,14,0,582,232,1408,962,551,421,292,104,25,3994,113,481,484,435,416,238,125,39,2338,593,1539,1147,1008,906,535,229,65,6015,89,118,66,48,64,28,16,4,440,36,86,74,92,124,109,69,14,590,718,1737,1287,1147,1100,669,318,78,7050,12,36,34,27,31,34,29,15,200,475,651,484,428,383,353,345,193,3308,1576,5057,3742,2855,2583,1706,952,354,18819
UCL112007,27,24,16,7,0,0,111,0,21,32,29,16,12,0,0,110,22,141,161,101,81,47,22,0,576,11,55,74,84,81,67,34,10,416,62,198,194,215,174,188,87,4,1114,4,9,6,9,8,4,3,0,35,3,4,3,24,12,21,9,0,80,70,210,200,241,195,212,96,9,1228,0,0,8,5,3,4,5,0,28,38,41,45,38,65,103,118,59,516,149,503,545,522,454,459,271,85,2987
UCL112008,58,66,67,52,33,6,346,6,28,33,36,62,70,21,6,255,43,249,265,216,264,315,153,32,1530,45,115,215,251,311,377,164,59,1522,205,437,464,550,793,777,441,138,3805,29,33,41,40,48,60,21,4,288,20,19,27,59,113,150,77,28,488,258,478,532,650,955,988,545,174,4576,3,0,10,8,24,43,23,13,134,130,121,122,171,256,407,463,337,2000,482,1057,1235,1399,1931,2251,1400,622,10371
UCL112009,126,85,97,86,34,11,584,3,70,85,57,76,49,15,6,368,131,548,377,292,230,208,115,34,1942,85,342,315,352,290,234,116,29,1752,437,969,758,693,682,411,191,46,4184,57,46,39,42,33,28,9,0,252,34,46,57,75,97,81,37,14,441,523,1060,850,814,811,514,240,65,4883,3,15,13,17,16,19,16,10,109,250,397,296,306,231,267,220,168,2132,999,2589,2059,1917,1761,1377,750,322,11768
UCL112010,123,68,51,20,8,0,497,3,41,33,46,37,37,10,0,201,119,668,443,295,174,107,42,12,1861,61,290,291,204,167,86,36,8,1154,303,680,630,515,474,243,102,27,2974,29,38,30,38,35,18,3,0,188,26,52,32,70,73,41,15,4,318,357,775,689,625,578,308,122,28,3484,8,25,22,13,12,14,5,7,106,180,333,242,228,206,172,167,163,1689,737,2350,1851,1472,1227,745,386,227,8994
UCL112011,35,16,23,16,4,0,137,11,34,33,29,26,11,0,0,146,71,314,218,113,103,80,19,9,930,61,283,214,187,171,100,25,3,1050,407,1151,835,736,606,387,132,15,4262,72,93,62,34,29,18,6,0,318,33,47,58,63,54,46,9,10,313,505,1287,952,839,693,449,140,26,4891,3,12,9,9,7,14,7,0,64,151,181,141,148,133,144,106,43,1046,801,2148,1601,1350,1158,819,299,89,8262
UCL112012,180,167,147,115,48,0,860,11,69,105,99,101,103,34,3,531,105,624,690,597,503,403,127,52,3098,92,262,326,388,424,298,105,37,1930,438,910,839,793,777,489,209,63,4516,84,77,49,58,52,49,9,4,377,37,57,69,68,115,98,60,18,527,553,1045,953,919,948,635,278,81,5416,8,10,12,16,18,38,16,12,127,344,325,310,272,300,321,289,227,2378,1130,2520,2577,2451,2445,1919,894,409,14339
UCL112013,5,8,6,0,0,0,29,4,3,4,14,9,3,0,0,33,15,63,42,41,26,19,4,6,213,5,31,44,44,40,19,10,0,187,28,96,90,75,66,37,10,0,398,6,6,0,4,9,0,0,0,24,5,4,5,4,4,6,0,0,33,32,106,96,83,83,43,15,0,456,0,0,0,0,4,0,0,0,9,39,17,34,38,20,23,12,8,187,100,233,226,223,176,106,34,12,1116
UCL112014,92,137,121,132,93,21,688,9,53,36,54,65,56,38,4,313,89,393,372,312,285,312,163,68,1993,69,247,260,308,321,277,171,80,1736,329,832,737,673,722,513,295,96,4197,59,62,43,30,32,35,19,6,290,26,40,40,68,99,107,77,33,494,413,932,825,774,851,650,391,135,4973,5,10,5,25,20,30,38,16,146,125,127,110,106,128,173,240,179,1194,706,1852,1709,1716,1787,1627,1133,505,11042
UCL112015,200,124,91,67,26,3,708,10,85,85,60,88,79,36,6,447,119,699,526,336,307,235,124,42,2395,72,386,424,443,445,334,154,51,2306,571,1364,1054,939,885,637,330,111,5897,80,97,65,62,62,58,9,8,451,34,62,63,85,113,139,53,24,586,698,1515,1193,1092,1065,837,399,142,6928,9,27,19,27,25,39,27,11,188,458,707,601,502,366,341,301,158,3421,1374,3601,3047,2583,2385,1931,1068,414,16402
UCL112016,384,254,177,123,34,15,1403,14,127,147,129,105,87,40,9,649,236,1314,1146,759,508,426,163,43,4589,114,467,541,591,472,364,183,55,2786,675,1581,1246,1094,893,524,247,84,6342,73,90,75,62,75,65,22,6,472,39,82,78,111,130,125,97,13,674,785,1756,1396,1272,1096,711,360,108,7485,15,18,28,33,31,34,31,6,200,319,381,333,336,327,335,317,205,2556,1500,4447,3980,3375,2718,2083,1123,441,19666
UCL112017,368,365,246,237,85,25,1626,0,79,158,186,172,191,62,10,854,205,1114,1128,1047,815,736,370,117,5518,116,353,678,815,839,735,390,135,4046,686,1204,1226,1395,1500,1185,675,227,8091,105,75,77,96,117,100,40,6,616,63,52,98,146,196,292,174,53,1075,854,1333,1397,1641,1812,1572,885,286,9788,14,20,25,31,55,74,52,17,296,279,289,305,345,425,587,633,513,3381,1472,3477,4070,4421,4364,4134,2479,1100,25512
UCL112018,187,133,98,51,32,3,811,17,81,106,83,70,84,23,0,472,185,900,615,449,353,290,148,54,2992,58,346,384,394,392,247,155,54,2033,574,1231,1043,913,863,566,300,83,5574,85,123,66,67,65,52,20,0,472,41,63,69,85,117,117,75,23,586,704,1414,1174,1061,1035,736,399,107,6630,16,40,18,10,21,37,18,4,166,481,539,446,403,361,371,466,287,3346,1466,3606,2924,2533,2339,1819,1242,510,16450
UCL112019,367,316,251,156,56,13,1543,12,149,173,201,163,116,39,9,866,294,1435,1254,913,650,475,197,56,5277,159,544,578,656,614,433,197,76,3248,897,1848,1464,1306,1317,806,315,100,8045,110,161,95,87,82,58,19,5,619,39,67,88,127,191,164,79,31,794,1052,2078,1644,1519,1594,1029,416,130,9460,20,42,34,31,40,39,33,13,251,428,472,392,405,379,399,343,234,3065,1974,5092,4442,4047,3689,2651,1285,530,23707
UCL113001,108,76,89,94,42,8,503,0,36,55,54,62,88,23,3,320,49,327,417,390,312,350,177,55,2073,37,167,193,246,292,322,201,54,1521,206,432,473,469,563,512,232,93,2982,28,25,18,37,48,47,8,5,210,10,31,33,33,70,115,59,23,369,253,489,522,539,683,668,299,116,3564,0,6,6,14,22,32,22,8,114,132,142,148,168,185,316,308,283,1684,471,1241,1449,1492,1647,1880,1072,539,9785
UCL113002,41,45,56,75,31,9,278,0,13,38,23,44,44,28,3,193,18,143,120,105,165,179,104,36,869,11,82,145,132,174,199,99,31,880,129,329,312,392,427,367,163,51,2172,18,23,17,16,34,27,3,0,151,8,22,15,45,59,64,45,10,270,156,372,349,455,523,463,217,55,2587,0,9,9,4,20,21,16,11,93,122,114,100,183,188,217,217,114,1258,324,752,794,949,1175,1203,709,255,6156
UCL113003,59,54,51,35,3,0,286,3,41,49,38,66,27,9,0,236,67,303,200,173,169,138,48,11,1100,26,147,153,203,224,103,28,13,908,217,605,503,500,577,397,142,36,2983,33,48,23,28,38,29,4,0,200,17,20,32,43,63,46,24,10,254,272,678,555,576,680,472,169,41,3443,9,7,3,6,18,15,5,0,68,213,211,229,203,216,241,198,145,1656,602,1466,1255,1252,1428,1027,461,209,7696
UCL113004,150,105,102,102,24,9,636,0,25,39,44,49,43,10,0,212,74,692,480,384,286,249,89,17,2268,52,248,231,171,160,126,47,7,1046,72,289,215,213,245,138,50,16,1236,9,19,10,16,19,11,3,0,92,10,26,32,36,38,42,10,6,198,95,334,259,268,306,188,63,24,1528,14,27,20,16,11,15,10,3,110,116,265,178,138,127,94,50,29,1008,344,1739,1361,1130,1043,821,285,84,6804
UCL113005,53,47,45,21,15,6,227,3,33,37,39,44,23,11,0,194,39,238,210,195,164,140,51,16,1052,30,121,188,195,179,156,78,19,965,347,655,553,502,472,297,155,47,3022,59,44,52,44,37,31,12,6,279,30,34,36,39,65,62,38,8,318,434,733,647,586,574,388,197,60,3618,3,12,5,9,11,13,12,5,72,195,203,184,192,184,229,209,197,1584,701,1379,1326,1272,1189,970,576,305,7712
UCL113006,17,13,10,7,0,6,62,5,13,12,18,18,16,8,0,82,10,103,85,94,78,65,28,12,477,13,63,82,97,99,90,25,5,478,159,322,269,275,311,220,95,17,1672,27,38,15,21,17,13,6,0,128,18,11,25,21,43,41,5,13,171,198,369,308,318,366,278,106,28,1978,3,6,7,0,8,9,6,4,45,326,490,370,215,197,143,128,59,1919,560,1057,876,757,775,607,303,107,5045
UCL113007,171,137,164,151,54,11,803,0,47,69,73,97,125,35,0,459,84,400,513,390,393,401,147,44,2377,33,148,231,278,331,288,127,28,1472,160,340,361,379,432,327,181,65,2246,24,12,12,19,36,40,8,0,151,8,16,19,40,94,95,50,27,348,189,373,386,435,568,467,235,100,2753,0,8,12,9,13,29,23,5,100,56,71,65,95,99,107,115,102,713,367,1159,1456,1422,1666,1582,740,295,8678
UCL113008,30,39,40,22,7,0,176,0,13,23,30,28,27,5,4,132,31,170,118,117,110,119,38,17,718,26,95,104,116,139,111,57,17,673,175,398,303,367,373,247,139,20,2017,40,32,19,28,35,16,4,0,168,18,27,19,23,40,38,27,4,187,230,455,341,408,452,304,161,31,2376,4,6,3,8,11,11,6,6,54,96,119,116,122,133,153,167,70,973,383,889,732,840,907,750,444,145,5094
UCL113009,60,46,25,17,8,0,184,3,13,34,30,27,12,0,0,125,34,164,228,155,73,87,27,4,759,37,123,189,231,171,108,27,5,889,150,451,466,473,345,190,98,7,2180,22,19,16,18,17,10,7,0,115,12,13,19,22,39,26,11,5,138,182,484,504,512,408,222,112,17,2435,0,3,6,3,8,10,4,0,35,47,42,34,35,35,44,39,12,293,299,855,1053,1010,755,504,215,29,4720
UCL113010,74,33,22,27,7,0,239,3,22,35,36,18,17,5,0,134,52,306,228,162,118,98,63,15,1041,24,124,155,152,117,85,55,10,723,238,638,464,387,309,165,90,24,2314,20,39,18,25,19,12,3,3,141,10,21,20,33,40,42,25,10,198,266,700,498,445,371,222,115,33,2651,8,8,13,8,10,11,12,3,74,79,136,110,106,115,94,101,72,802,433,1365,1108,944,773,550,354,127,5665
UCL113011,25,35,11,12,4,0,121,0,20,21,19,21,12,7,0,98,34,145,140,106,70,49,19,7,562,23,105,116,125,93,68,17,4,552,210,595,449,401,343,164,66,14,2239,19,34,24,29,25,15,0,0,146,9,18,30,37,30,26,11,0,163,240,650,505,463,399,202,72,14,2546,0,0,5,6,5,12,3,0,40,117,140,132,107,108,84,53,39,778,416,1093,946,862,713,428,174,67,4698
UCL113012,83,98,87,89,44,6,461,0,23,34,49,67,75,23,4,272,34,190,263,283,273,285,138,16,1489,38,133,200,256,337,294,143,23,1425,158,270,388,464,505,452,246,60,2539,20,23,24,16,44,45,9,4,181,7,22,23,47,70,92,54,13,329,182,314,437,527,620,587,310,75,3056,4,0,10,8,19,28,22,9,106,85,61,64,79,126,163,213,181,967,345,780,1091,1308,1532,1519,900,314,7782
UCL113013,33,27,27,20,3,0,143,4,17,19,18,16,9,6,0,94,27,157,148,119,76,86,20,11,641,39,142,196,163,170,82,32,4,832,236,606,489,477,441,236,105,22,2615,42,53,42,35,28,17,3,0,219,22,31,30,42,39,33,16,4,212,299,692,564,555,508,282,129,24,3043,0,0,12,7,11,9,6,0,51,96,161,143,140,116,130,109,39,936,471,1203,1107,1022,930,620,305,81,5734
UCL113014,48,45,30,16,9,0,225,3,23,31,26,22,15,9,0,124,56,303,228,130,94,94,28,3,925,47,176,176,194,132,82,29,7,848,307,843,637,594,444,197,81,22,3126,45,44,27,25,26,21,0,4,200,15,35,25,42,55,31,16,7,225,369,923,693,665,526,251,95,29,3549,3,10,9,8,12,9,8,0,56,99,153,105,105,110,106,71,26,770,577,1658,1286,1170,927,562,240,81,6501
UCL113015,25,29,24,31,8,0,148,3,15,21,14,18,33,11,0,103,21,120,112,101,77,115,29,5,590,21,95,141,133,141,153,57,9,753,158,375,350,354,405,348,164,40,2188,20,31,27,25,22,22,4,0,158,5,23,11,34,47,73,29,6,237,188,425,384,415,473,437,200,45,2580,0,3,3,10,10,13,11,3,53,109,84,84,83,97,157,130,51,792,346,774,768,791,846,928,445,113,5020
UCL113016,72,31,32,30,13,0,236,0,26,22,36,26,29,17,0,159,47,202,187,164,153,155,72,23,995,38,132,167,202,195,152,84,34,1017,302,572,461,504,521,353,229,60,3000,51,54,49,35,42,28,5,3,280,15,28,32,44,64,53,33,21,294,369,657,548,581,632,432,267,89,3577,6,13,4,9,19,17,21,4,92,204,223,215,200,252,275,356,247,1984,674,1319,1217,1216,1302,1098,831,395,8055
UCL113017,71,49,89,90,31,3,382,0,32,43,34,56,59,23,0,256,21,235,278,229,254,256,92,26,1391,23,106,160,192,231,234,117,31,1086,178,376,420,415,518,475,239,62,2683,21,21,31,20,33,34,10,0,173,13,30,34,37,64,97,55,17,353,202,431,484,466,623,611,300,81,3204,0,0,9,5,15,24,12,7,82,96,94,107,126,177,194,166,75,1032,356,949,1153,1100,1435,1475,748,221,7440
UCL113018,3,0,4,8,0,0,20,0,7,4,4,0,10,0,0,26,5,28,30,14,18,19,5,0,118,3,27,21,28,30,18,17,4,147,32,73,63,97,77,87,40,0,482,0,3,0,0,4,0,3,0,14,0,3,4,10,7,7,3,0,32,37,80,69,103,83,94,47,5,520,0,0,0,0,0,3,4,0,11,25,14,17,29,34,72,58,23,270,69,159,140,177,176,220,134,28,1108
UCL114001,29,25,32,28,14,5,155,4,11,21,22,24,27,7,0,107,8,92,137,113,97,123,62,23,659,3,40,63,91,98,88,49,28,456,57,125,128,141,166,126,81,26,854,10,7,8,6,9,8,4,0,57,0,8,15,17,25,30,17,9,113,70,138,154,163,201,161,96,39,1025,0,0,3,4,10,6,10,5,35,22,22,21,44,31,37,58,59,288,114,327,412,458,492,477,306,150,2735
UCL114002,21,23,27,43,22,0,152,0,6,8,14,22,36,18,0,117,8,57,81,69,107,172,98,20,602,11,30,50,68,138,176,107,24,598,72,126,147,232,375,400,234,89,1672,4,12,4,10,18,28,14,6,98,3,0,8,16,46,70,40,15,204,79,134,163,259,441,496,285,110,1977,0,0,0,0,11,22,16,6,55,34,28,34,43,88,167,132,87,609,140,259,354,476,840,1107,677,239,4101
UCL114003,12,16,15,12,5,0,77,4,3,8,14,11,13,0,0,55,26,91,80,63,55,71,27,6,418,19,62,63,75,63,85,43,11,429,226,365,258,226,245,179,94,20,1617,22,38,19,16,16,9,3,4,128,13,19,22,16,37,35,19,3,162,262,414,305,254,299,221,116,33,1903,0,7,0,3,10,7,4,5,34,149,152,152,125,123,145,172,107,1122,471,747,620,551,571,546,372,165,4042
