LGA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA54970,0,0,0,3,9,17,9,5,3,43,0,0,0,4,0,0,0,0,0,5,19,110,444,400,427,306,51,0,0,1754,46,246,920,833,874,681,140,19,0,3759
LGA55040,0,5,0,8,11,8,11,7,0,57,0,0,0,0,0,0,0,0,0,7,27,163,447,388,301,210,59,11,0,1611,59,312,930,784,640,497,205,32,5,3454
LGA55110,43,20,48,99,124,224,560,811,474,2403,4,4,18,30,31,37,42,36,14,220,205,211,431,435,480,428,594,731,577,4098,2307,4279,8683,9354,10264,11049,11518,7401,2668,67532
LGA55180,0,0,11,10,17,24,66,101,61,285,0,0,8,9,9,6,7,8,6,61,37,23,65,80,120,122,96,74,37,654,252,377,929,987,1233,1511,1161,605,209,7262
LGA55250,4,5,9,4,5,9,16,16,0,62,0,0,4,0,0,0,0,0,0,3,18,62,167,141,155,101,43,10,0,696,51,176,506,410,421,363,197,47,0,2180
LGA55320,13,15,23,51,50,127,318,505,473,1568,0,5,22,31,33,45,66,57,74,334,169,147,423,409,402,432,550,599,623,3760,2734,6086,10706,13113,13434,12563,11376,6718,3416,80144
LGA55390,0,0,0,3,6,3,0,0,0,11,0,0,0,0,0,4,0,0,0,8,7,50,125,128,108,77,29,7,0,523,16,125,311,312,284,211,75,11,0,1353
LGA55460,3,0,0,3,14,16,27,19,18,104,0,0,0,0,0,0,0,0,0,4,27,29,56,57,48,56,42,22,5,335,83,174,384,374,415,444,363,155,68,2461
LGA55530,0,0,0,0,0,0,8,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,35,31,14,3,111,3,18,40,57,72,106,99,41,4,447
LGA55600,0,0,6,0,4,6,16,18,8,61,0,0,0,0,0,0,0,0,0,0,15,19,37,30,45,52,41,23,14,284,54,120,256,244,318,355,277,141,47,1812
