LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA21180,4529,21771,23072,8860,4862,63097,4427,67522
LGA21270,121,824,859,427,315,2548,268,2813
LGA21370,737,4814,5539,2335,1556,14974,1084,16057
LGA21450,1029,11451,16707,6031,4068,39284,2105,41387
LGA21610,3393,30936,50099,17703,10058,112193,5754,117951
LGA21670,333,2218,1976,734,464,5719,478,6198
LGA21750,474,3168,3289,1231,784,8944,654,9593
LGA21830,263,1896,2263,1081,804,6295,468,6769
LGA21890,7366,27575,17619,4347,2133,59039,2775,61810
LGA22110,868,6944,7600,2802,1607,19824,1560,21385
LGA22170,3069,18910,20787,6419,3389,52571,2918,55490
LGA22250,210,1429,1543,653,468,4310,391,4700
LGA22310,5054,25042,20900,4580,2107,57691,2105,59790
LGA22410,383,2662,2999,1324,834,8193,574,8766
LGA22490,83,1384,3421,1785,1561,8227,444,8673
LGA22620,2336,16056,17788,6371,3836,46384,2677,49063
LGA22670,4255,18872,17974,6389,3490,50983,3268,54254
LGA22750,5527,37426,41523,12171,6602,103249,5002,108252
LGA22830,1246,8215,9188,3648,2229,24523,2172,26699
LGA22910,234,2392,2641,1059,603,6928,539,7469
LGA22980,140,750,792,380,313,2376,127,2498
LGA23110,2551,13982,13030,3311,1566,34442,1708,36149
LGA23190,501,2787,3028,1203,700,8223,473,8694
LGA23270,3410,23229,30855,10927,6394,74819,4589,79413
LGA23350,176,1807,2647,1136,797,6568,465,7038
LGA23430,3800,23428,24069,6312,2999,60604,2228,62830
LGA23670,2198,17728,24458,8109,4580,57073,1904,58979
LGA23810,2169,11085,10768,3972,2318,30321,2346,32665
LGA23940,104,860,1042,592,431,3031,404,3435
LGA24130,391,4474,7663,3233,2275,18038,923,18960
LGA24210,1966,14845,18438,5703,3466,44415,1305,45720
LGA24250,110,1240,1571,632,412,3961,316,4276
LGA24330,4244,16351,9833,2222,855,33494,1975,35472
LGA24410,2059,15375,17570,4914,2842,42766,1395,44163
LGA24600,32707,29957,6940,931,387,70917,6048,76969
LGA24650,1757,15977,23676,8164,4694,54267,3269,57535
LGA24780,1324,7288,7854,2976,1787,21220,1952,23170
LGA24850,556,4763,6800,2925,1966,17015,1155,18168
LGA24900,568,4031,4329,1741,1214,11891,901,12793
LGA24970,4810,24364,26387,7500,3493,66561,2699,69265
LGA25060,4723,19879,16338,4373,2236,47547,2147,49697
