LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA43360,465,8,0,3,0,472,247,11,0,0,0,252,60,15,6,0,0,84,7,3,0,0,0,8,11,0,0,0,0,11,63,0,0,0,0,66,23,0,0,7,0,33,6,0,0,0,0,6,174,17,7,7,0,203,56,4,0,0,0,59,61,4,0,5,0,64,994,37,9,12,3,1055
LGA43650,1877,13,0,14,4,1913,2685,12,0,3,4,2702,256,24,5,0,0,285,24,14,0,0,0,39,0,5,0,0,0,8,265,10,0,0,0,277,78,0,0,6,3,80,0,0,0,0,0,0,625,47,5,3,5,688,85,0,0,0,0,83,223,9,3,3,0,237,5497,78,10,27,15,5630
LGA43710,881,0,0,38,9,924,792,0,0,7,0,804,77,0,0,0,0,75,10,8,0,0,0,15,3,3,0,0,0,10,171,0,5,3,4,179,27,0,0,9,6,44,7,4,0,0,0,9,294,16,4,13,5,337,86,0,0,3,0,87,124,0,0,16,5,144,2177,26,4,80,17,2296
LGA43790,1819,66,0,33,11,1932,1355,24,0,3,5,1388,269,72,4,3,0,352,77,38,15,0,0,128,15,26,10,0,0,53,363,38,10,3,9,412,93,18,5,24,5,144,11,7,3,0,0,20,829,194,44,35,13,1112,127,85,0,3,0,215,310,43,0,35,0,392,4442,416,49,109,29,5040
LGA44000,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,19,3,0,0,5,0,5,7,0,0,0,0,8,19,12,0,5,4,36
LGA44060,9436,1677,395,4,11,11512,11481,2350,479,0,26,14333,2963,1771,673,0,20,5422,809,1088,413,0,10,2320,324,527,109,0,3,960,1464,652,298,6,11,2426,112,41,44,0,3,206,26,30,14,0,0,66,5696,4108,1545,7,43,11399,249,326,163,0,0,739,616,414,137,11,16,1192,27463,8879,2713,26,96,39173
LGA44210,1778,31,0,113,23,1944,1146,5,0,19,9,1177,218,4,3,0,0,228,51,0,4,0,0,55,8,12,0,0,0,27,246,11,5,4,0,269,42,0,0,21,6,74,0,0,0,0,0,4,566,33,15,32,10,659,132,0,0,4,6,142,352,8,8,30,0,389,3970,74,27,193,47,4313
LGA44340,8342,901,410,30,8,9694,9024,690,407,13,7,10147,1199,365,879,4,7,2453,64,73,52,0,0,194,37,68,101,0,5,203,857,210,364,5,13,1447,67,23,22,10,11,144,13,9,4,0,0,22,2238,746,1419,22,37,4463,200,443,113,0,3,757,334,122,81,18,3,554,20141,2900,2422,86,62,25615
LGA44550,4059,105,13,58,11,4250,6604,88,12,3,7,6719,1618,188,18,0,6,1831,240,76,0,0,0,315,66,49,0,0,0,115,627,46,11,0,10,689,91,22,0,27,4,139,6,9,0,0,0,17,2648,391,37,24,15,3118,264,94,13,6,3,369,543,43,5,9,5,599,14126,718,75,101,34,15055
LGA44620,2985,240,134,5,9,3369,3434,144,73,0,0,3660,1023,457,428,0,5,1914,273,369,150,0,0,791,48,36,16,0,0,98,440,66,76,0,4,585,71,38,22,3,10,142,14,4,14,0,0,30,1862,964,708,3,21,3555,199,136,22,0,5,360,296,209,63,20,33,620,8781,1692,996,31,63,11568
LGA44830,650,3,0,50,14,719,309,0,0,6,0,316,30,0,0,0,0,30,11,0,4,0,0,16,8,0,0,0,0,9,85,0,0,0,0,86,11,0,0,22,8,35,0,0,0,0,0,0,139,0,10,19,8,173,49,0,0,8,0,60,83,0,0,72,0,158,1239,3,10,155,20,1429
LGA45040,2613,78,0,68,13,2776,2572,39,5,3,11,2622,1153,263,32,0,4,1451,233,248,0,0,0,479,50,35,0,0,0,85,491,52,0,3,8,555,73,24,3,20,3,116,17,7,0,0,0,25,2012,631,36,22,19,2717,198,46,0,0,0,244,438,98,4,35,3,573,7832,895,37,125,42,8931
LGA45090,1277,16,0,7,3,1308,1019,4,0,0,6,1031,252,44,0,0,0,299,54,7,0,0,0,62,27,20,0,0,0,47,257,18,0,0,0,276,85,3,0,4,6,100,13,0,0,0,0,17,688,104,7,3,4,803,102,13,0,0,0,113,205,16,3,15,29,275,3303,153,3,32,41,3535
LGA45120,927,7,0,8,3,949,525,0,0,0,0,531,95,0,0,0,0,94,17,25,0,0,0,43,6,9,0,0,0,11,153,7,0,3,0,166,21,0,0,3,4,27,0,0,0,0,0,0,294,35,0,7,4,339,73,9,0,0,0,84,103,4,0,0,0,109,1926,53,0,26,11,2013
LGA45290,3655,1137,352,17,11,5175,2794,967,381,4,7,4157,949,1294,1181,6,8,3436,51,310,183,0,4,547,12,107,102,0,0,222,546,470,430,9,3,1460,54,32,51,24,4,169,4,14,20,0,0,34,1616,2232,1972,34,25,5874,153,348,259,0,7,768,194,183,189,9,8,577,8408,4863,3154,71,48,16546
LGA45340,19418,1028,191,234,23,20887,28288,1001,218,11,36,29557,6462,1111,305,4,10,7896,1448,799,216,0,0,2465,435,171,41,0,3,645,3478,413,101,7,15,4014,186,89,18,124,9,427,63,37,9,4,0,119,12073,2619,682,150,39,15559,669,981,131,12,4,1793,2000,499,116,101,11,2725,62445,6125,1336,508,112,70520
LGA45400,201,0,0,13,6,219,85,0,0,0,0,86,6,3,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,22,0,0,0,4,0,6,0,0,0,0,0,0,30,3,0,4,0,39,9,0,0,3,0,16,20,0,0,9,0,29,355,6,0,28,3,390
LGA45540,378,4,0,17,0,398,154,0,0,5,0,160,53,5,0,0,0,57,11,8,0,0,0,22,3,0,0,0,0,5,65,0,0,0,0,69,13,0,0,0,0,15,0,0,0,0,0,0,146,16,0,0,3,168,14,3,0,0,0,16,121,0,0,3,4,128,809,27,0,22,10,865
LGA45680,6697,461,9,62,10,7240,13589,724,14,9,21,14349,5169,1541,85,0,5,6801,945,1470,105,0,4,2527,199,388,22,0,4,614,1913,337,24,0,5,2273,462,59,4,11,4,541,62,45,6,0,0,113,8749,3835,243,15,28,12869,300,84,0,3,0,388,1495,650,52,20,9,2226,30818,5752,326,98,64,37070
LGA45890,10852,1680,409,75,31,13045,14563,2940,574,20,42,18140,4609,2216,1425,26,35,8303,1717,1703,500,0,5,3924,844,509,218,0,4,1568,2353,900,518,23,17,3819,479,165,125,18,11,795,71,46,30,0,0,147,10070,5540,2817,63,73,18556,436,392,59,3,5,896,1226,695,298,14,38,2266,37133,11244,4157,179,184,52900
LGA46090,1512,88,9,75,31,1711,1358,62,14,12,3,1452,536,210,114,0,8,861,280,152,169,0,4,607,27,12,21,0,0,60,269,30,23,5,3,332,98,26,10,59,9,197,3,0,3,0,0,14,1209,437,336,65,21,2065,69,6,14,7,5,103,250,89,73,162,9,583,4402,678,447,322,66,5912
LGA46300,1661,107,48,12,11,1841,1656,93,14,0,0,1767,514,203,127,3,5,841,286,128,59,0,0,478,26,7,13,0,0,46,387,80,49,3,3,524,64,13,16,6,0,100,9,6,5,0,0,20,1290,440,263,13,14,2016,100,3,23,0,5,128,243,82,35,79,3,452,4948,730,386,103,27,6199
LGA46450,2367,118,10,34,18,2551,2189,67,4,5,0,2272,723,235,19,0,4,973,216,305,53,0,4,577,24,24,17,0,0,68,375,50,5,4,0,434,77,11,0,20,0,108,10,8,0,0,0,20,1423,634,94,28,11,2190,101,31,0,0,3,141,269,130,16,34,6,450,6349,983,121,107,27,7590
LGA46510,2246,257,85,5,0,2599,2297,378,187,0,3,2864,657,507,655,7,6,1825,62,128,38,0,0,237,12,58,30,0,0,106,314,194,191,4,0,704,31,21,45,0,0,101,3,8,9,0,0,19,1082,920,968,6,14,2991,65,84,13,0,0,165,117,45,67,0,0,228,5799,1690,1320,18,15,8842
LGA46670,1339,66,0,70,11,1488,1143,64,0,3,0,1213,256,77,34,0,0,365,101,41,5,0,4,149,11,28,5,0,0,40,266,60,19,17,4,373,93,20,6,11,3,134,8,6,0,0,0,12,737,221,75,30,15,1073,62,68,0,0,0,137,206,27,8,32,13,292,3486,441,85,137,42,4197
LGA46860,315,5,4,10,4,331,167,0,0,0,0,169,60,7,0,0,0,67,4,0,0,0,0,4,3,0,0,0,0,3,46,8,0,0,0,50,18,0,3,0,11,32,0,0,0,0,0,0,134,15,3,0,11,162,29,0,0,7,0,33,34,4,3,0,0,42,680,22,4,15,20,741
LGA46970,82,0,5,0,0,89,265,0,0,0,0,268,371,0,22,0,0,402,18,0,0,0,0,18,3,0,0,0,0,3,30,0,0,0,0,32,401,0,5,4,0,413,3,0,0,0,0,3,832,0,37,4,0,876,55,0,0,4,0,61,129,0,8,3,4,141,1365,0,46,14,7,1433
LGA47140,13227,940,147,92,13,14415,19471,1363,293,14,28,21167,4940,1436,980,4,24,7380,1490,982,288,0,7,2772,358,159,85,0,3,605,2864,504,205,4,21,3599,560,137,85,68,15,855,71,38,28,0,4,131,10278,3251,1669,74,66,15340,414,551,50,0,0,1023,1647,440,210,84,18,2404,45043,6554,2370,259,124,54350
LGA47290,380,0,0,6,0,393,185,0,0,5,0,186,0,0,0,3,0,3,13,0,3,0,0,14,5,0,0,0,0,6,71,0,0,0,0,76,54,0,0,5,0,57,0,0,0,0,0,0,136,0,10,10,0,157,69,0,0,0,0,69,70,0,0,9,0,79,847,5,11,26,6,884
LGA47490,399,0,3,57,3,460,207,0,0,0,0,212,49,0,0,0,0,54,10,4,0,0,0,17,0,0,0,0,0,0,45,0,0,5,0,51,18,0,0,23,6,40,0,0,0,0,0,3,119,4,5,30,7,165,39,0,0,4,3,49,65,0,6,21,0,90,834,8,12,107,14,974
LGA47630,944,20,0,23,5,987,834,4,0,6,0,840,212,15,0,0,0,231,24,4,0,0,0,32,15,4,0,0,0,26,178,4,0,0,4,190,88,10,0,8,0,104,3,0,0,0,0,4,517,44,0,8,8,578,125,14,0,5,0,142,229,10,0,8,0,248,2645,90,4,47,10,2798
LGA47700,12622,645,220,12,9,13504,15767,683,198,5,12,16667,2880,545,185,0,3,3616,777,295,53,0,0,1130,88,70,15,0,0,176,1557,221,93,0,4,1878,179,32,12,0,5,221,36,8,3,0,0,47,5517,1174,363,0,16,7071,337,624,161,0,3,1123,760,150,64,0,3,976,35003,3280,1004,17,49,39342
LGA47800,939,5,0,9,0,961,543,6,0,3,3,552,136,10,0,0,0,149,46,6,7,0,0,56,24,7,0,0,0,34,164,6,0,0,0,170,86,4,0,4,0,92,4,0,0,0,0,8,464,34,7,0,0,502,153,10,4,0,5,167,216,14,0,4,0,233,2310,66,9,27,9,2421
LGA47910,577,19,13,31,3,647,258,8,0,0,3,264,56,3,10,0,0,68,3,0,0,0,0,10,0,18,0,0,0,18,85,13,15,3,0,121,14,3,9,13,6,42,0,0,0,0,0,5,161,34,30,18,10,253,51,0,0,10,4,61,63,11,0,13,0,86,1102,66,53,73,18,1307
LGA47980,4318,759,568,0,6,5650,3364,624,504,0,9,4502,848,617,1453,7,4,2919,30,193,126,0,0,350,3,62,104,0,3,178,458,273,519,4,7,1264,18,16,45,0,3,84,7,5,12,0,0,30,1363,1160,2268,9,24,4818,130,178,250,0,4,560,136,96,153,0,0,390,9307,2814,3739,18,38,15917
LGA48050,3432,179,20,33,16,3680,1644,62,6,0,5,1725,640,137,48,0,4,830,39,13,0,0,0,53,39,43,9,0,0,95,393,56,8,0,0,467,42,18,0,11,5,78,7,5,0,0,0,10,1163,263,82,13,11,1529,123,150,11,0,7,296,207,60,10,4,0,277,6564,713,138,49,39,7499
LGA48130,1017,40,0,21,0,1080,844,17,0,0,0,867,162,28,0,0,0,187,5,9,0,0,0,19,11,15,4,0,0,30,254,24,0,0,0,285,55,8,0,5,0,77,10,0,0,0,0,15,498,84,10,12,0,601,104,23,0,0,0,125,155,19,0,8,0,175,2610,179,10,46,7,2849
LGA48260,1029,225,40,16,5,1314,707,144,38,5,0,896,210,161,147,0,0,524,0,27,102,0,0,135,0,22,6,0,0,26,85,51,46,0,0,188,11,3,9,4,0,26,0,0,4,0,0,6,303,264,314,7,5,898,44,49,10,0,0,96,41,23,53,0,0,119,2132,706,449,25,11,3323
LGA48340,2010,33,21,12,7,2082,1480,27,3,6,5,1524,269,73,80,0,0,418,68,43,0,0,0,115,25,26,0,0,0,54,244,13,12,0,4,273,80,3,0,3,0,87,8,7,0,0,0,18,694,161,94,6,5,959,138,3,0,4,0,143,274,25,15,7,3,329,4596,257,129,31,22,5035
LGA48410,6167,897,352,0,13,7424,5927,1235,468,0,21,7659,2003,1294,1573,3,33,4903,310,499,244,0,4,1057,77,167,118,0,13,380,1217,645,589,9,9,2473,121,68,128,0,9,332,19,21,17,0,4,64,3746,2700,2680,11,69,9202,257,323,146,0,6,732,389,239,188,3,4,825,16479,5387,3836,22,112,25839
LGA48540,1819,557,27,23,19,2453,1998,762,25,5,4,2790,648,577,145,4,0,1372,166,1163,177,0,0,1506,10,31,0,0,0,46,236,259,13,4,3,522,108,47,31,30,36,250,7,21,0,0,0,27,1174,2101,366,38,44,3722,58,20,8,7,0,99,191,403,50,29,9,677,5244,3848,473,96,81,9746
LGA48640,200,8,0,7,3,215,82,0,0,0,0,84,3,0,0,0,0,3,11,3,0,0,0,16,0,0,0,0,0,0,49,0,0,0,0,49,22,0,0,0,0,21,0,0,0,0,0,0,86,3,0,0,0,92,32,0,0,0,0,34,51,0,4,4,3,53,449,7,4,9,8,483
LGA48750,1154,26,21,28,4,1234,777,16,0,0,0,795,140,20,23,0,0,185,3,6,0,0,0,11,0,5,0,0,0,13,143,6,7,4,0,167,29,0,0,6,8,39,0,0,0,0,0,0,312,44,31,13,6,407,85,0,0,7,0,92,120,3,5,12,0,141,2452,90,55,60,11,2670
LGA48830,2735,43,3,122,8,2908,1101,15,0,12,6,1130,225,4,5,4,0,238,70,30,9,0,0,101,43,9,3,0,0,54,381,14,5,8,3,408,87,7,3,36,4,128,10,0,0,0,0,10,810,60,15,52,5,944,172,5,0,7,0,182,309,16,0,83,4,414,5130,142,29,266,22,5586
LGA49399,352,0,6,174,112,642,77,0,0,12,15,107,3,0,0,0,6,16,134,6,0,0,9,156,42,0,0,0,0,50,53,0,0,3,16,72,119,6,8,44,53,233,5,0,0,0,0,5,358,14,11,59,77,514,170,4,10,18,47,254,118,0,9,44,27,198,1073,17,35,311,280,1716
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,5293,183,12,173,16,5666,4704,89,12,7,9,4818,1349,241,16,4,0,1603,432,165,7,0,3,605,96,158,10,0,0,270,1023,90,4,6,0,1125,164,40,9,85,5,303,15,16,0,0,0,33,3076,704,48,93,11,3938,284,96,6,14,0,408,604,105,0,115,8,835,13967,1175,74,401,53,15664
LGA50210,6445,442,24,155,8,7070,16983,541,35,9,8,17578,3310,913,55,0,8,4284,283,300,32,0,0,618,24,114,25,0,0,170,1593,238,17,3,6,1859,171,55,3,48,0,278,23,17,4,0,0,43,5413,1637,138,58,11,7248,229,133,24,8,7,391,1277,259,35,81,10,1663,30340,3014,252,312,43,33956
LGA50250,111,0,4,437,47,597,36,3,0,24,8,68,65,9,15,3,0,88,77,9,0,0,3,92,48,4,3,3,0,60,32,3,3,28,6,79,927,44,15,145,44,1174,6,0,4,0,0,8,1153,76,36,180,55,1501,176,17,14,42,30,280,230,10,3,120,54,414,1702,100,54,808,192,2862
LGA50280,1994,62,3,65,13,2135,2162,55,9,4,8,2230,499,50,3,3,4,564,56,39,10,0,0,95,8,11,0,0,0,14,615,43,8,11,5,687,75,0,0,57,8,136,4,0,0,0,0,9,1257,138,21,73,13,1512,144,36,9,13,5,200,419,23,5,79,13,535,5972,307,44,231,56,6612
LGA50350,1630,202,69,0,0,1909,2170,312,75,0,6,2555,588,214,80,0,4,885,125,149,30,0,0,298,35,31,0,0,0,65,327,93,23,0,0,447,15,8,0,0,0,26,6,7,0,0,0,18,1095,501,137,5,4,1738,60,35,9,0,0,100,214,85,15,4,0,323,5174,1137,305,8,10,6632
LGA50420,7046,988,280,7,0,8323,7999,1550,589,4,4,10145,2576,1510,1263,0,7,5350,235,410,142,0,0,788,35,80,19,0,0,135,1477,571,380,0,0,2433,164,82,36,0,5,293,11,19,7,0,0,40,4502,2666,1849,3,11,9037,208,139,32,0,0,384,629,316,199,24,14,1182,20382,5655,2961,34,38,29068
LGA50490,3097,464,236,20,4,3813,3954,831,542,0,5,5334,2207,1188,1277,0,4,4681,502,461,57,0,0,1027,70,70,7,0,0,148,896,325,248,0,3,1476,129,49,18,6,8,218,31,11,5,0,0,54,3834,2110,1617,9,18,7593,143,42,19,0,0,204,591,255,181,15,12,1049,11613,3697,2604,42,41,17996
LGA50560,366,0,0,5,0,375,175,0,0,5,0,180,19,0,0,0,0,19,7,6,0,0,0,10,0,0,0,3,0,4,36,0,0,0,0,42,7,0,0,0,0,7,0,0,0,0,0,0,70,6,0,8,0,83,37,0,0,0,0,38,83,7,0,0,0,91,724,15,0,18,4,767
LGA50630,204,0,0,8,0,206,200,0,0,0,0,201,62,9,0,0,0,71,12,0,0,0,0,17,4,3,0,0,0,5,44,0,0,0,0,44,37,0,0,3,0,39,0,0,0,0,0,0,158,15,0,3,0,178,17,5,0,0,0,19,52,11,0,5,0,66,629,28,0,15,6,670
LGA50770,346,0,0,0,0,352,170,0,0,0,0,170,21,0,0,0,0,21,12,0,0,0,0,12,0,0,0,0,0,0,55,0,0,0,0,60,20,0,0,0,0,20,0,0,0,0,0,0,114,3,0,0,0,121,37,0,0,0,0,42,79,0,0,4,0,81,753,7,0,7,0,763
LGA50840,908,4,0,10,3,932,697,0,0,4,0,707,137,3,3,0,0,147,31,10,0,0,0,41,8,6,0,0,0,13,111,0,5,0,0,114,32,0,0,10,0,42,0,0,0,0,0,5,323,19,7,10,0,359,51,26,0,5,4,79,128,8,0,7,4,145,2106,60,7,37,11,2217
LGA50910,166,0,0,0,0,174,63,0,0,0,0,63,3,0,0,0,0,3,10,3,0,0,0,17,0,4,0,0,0,5,28,0,0,0,0,27,15,0,0,0,0,15,0,0,0,0,0,0,57,8,0,0,0,68,27,0,0,0,0,29,34,0,0,0,0,36,358,9,0,0,0,370
LGA50980,644,52,7,1656,98,2466,1257,71,14,83,6,1433,533,217,62,15,8,838,708,226,6,4,6,953,165,30,0,0,3,206,313,49,20,54,20,452,307,51,6,387,65,821,12,3,0,11,0,28,2040,577,98,476,106,3302,153,21,0,80,28,288,597,153,21,161,70,1006,4694,886,147,2461,310,8495
LGA51080,195,0,0,3,0,196,76,0,0,0,0,76,6,0,0,0,0,6,14,0,0,0,0,13,0,4,0,0,0,10,20,0,0,0,0,20,14,0,0,0,0,18,0,0,0,0,0,0,56,3,0,0,4,61,37,0,0,0,0,37,46,0,0,0,0,46,406,3,0,3,5,421
LGA51120,151,0,0,3,8,168,58,0,0,0,0,61,6,0,0,3,0,9,5,0,0,0,0,6,0,12,0,4,0,11,16,0,0,0,0,20,19,0,0,4,0,18,0,0,0,0,0,0,45,15,0,12,0,70,30,0,0,0,4,27,48,0,0,0,5,60,340,20,0,11,21,393
LGA51190,3475,502,67,82,6,4137,3823,343,51,0,7,4234,1464,674,254,3,4,2400,229,394,11,0,0,633,39,124,33,0,0,199,903,270,50,0,4,1223,89,60,9,24,4,181,14,18,0,0,0,30,2740,1537,354,30,11,4667,116,139,20,5,0,280,497,261,66,74,8,912,10653,2785,561,190,38,14228
LGA51260,5061,354,29,166,7,5619,5177,225,11,15,4,5436,1481,238,3,7,4,1729,264,225,0,0,0,489,28,60,0,0,0,90,978,93,11,11,9,1107,155,24,3,99,9,291,14,3,0,0,0,21,2917,643,22,122,18,3726,258,162,19,24,4,468,639,130,4,105,14,897,14056,1507,85,438,50,16136
LGA51310,3505,368,253,0,5,4127,3039,332,328,0,6,3697,695,248,638,0,3,1583,3,20,5,0,0,31,0,5,5,0,0,16,275,94,197,0,0,565,20,0,16,0,0,39,0,3,0,0,0,0,998,372,856,0,4,2234,80,126,107,0,0,312,132,43,80,4,0,256,7750,1234,1626,3,16,10634
LGA51330,9343,869,186,13,11,10421,10147,1200,299,7,4,11660,4096,1774,515,14,18,6414,345,429,53,0,0,829,86,82,13,0,0,187,1799,659,130,3,11,2597,274,103,37,11,4,426,26,22,8,0,0,57,6627,3072,759,22,30,10513,365,237,62,0,3,670,788,372,120,22,15,1311,27272,5751,1425,65,72,34578
LGA51400,1742,18,0,5,0,1774,3012,16,0,0,4,3027,646,16,0,0,0,668,81,79,24,0,0,187,7,38,37,0,0,80,345,7,0,3,0,356,39,0,0,0,0,43,9,4,0,0,0,9,1126,142,63,5,0,1336,63,3,6,4,5,77,240,25,12,10,0,286,6186,203,75,25,12,6496
LGA51470,104,3,0,0,3,107,38,0,0,0,0,38,5,0,0,0,0,7,5,3,0,0,0,6,0,0,5,0,0,3,21,0,0,0,0,24,24,7,0,0,0,27,0,0,0,0,0,0,55,10,5,0,0,70,22,7,0,0,3,30,34,0,0,13,0,48,253,24,5,13,7,300
LGA51540,431,32,3,784,49,1309,360,6,0,44,6,418,80,35,8,3,0,123,125,61,6,0,4,201,36,15,25,0,0,72,138,46,0,30,3,223,128,35,9,217,20,414,3,0,4,3,0,11,516,187,52,262,32,1046,60,8,0,39,10,116,229,77,15,69,36,422,1593,310,71,1207,133,3306
LGA51610,188,0,0,29,3,212,207,0,0,6,0,214,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29,8,0,0,10,0,17,0,0,0,0,0,0,58,0,0,12,0,66,32,0,0,0,0,30,71,0,0,0,0,70,548,0,0,44,3,594
LGA51680,621,3,0,5,0,625,1091,0,0,0,0,1092,59,0,0,0,0,55,0,0,3,0,0,3,0,0,5,0,0,5,83,0,0,4,4,87,8,0,3,0,0,14,0,0,0,0,0,0,150,0,9,4,3,167,50,0,0,0,0,52,145,0,0,3,4,154,2052,6,17,11,7,2092
LGA51710,62,22,24,0,0,113,40,12,6,0,0,63,0,0,0,0,0,0,7,31,49,0,0,86,0,0,3,0,0,5,26,19,12,0,0,65,29,9,17,0,0,54,0,0,0,0,0,0,66,56,89,0,0,213,32,5,11,0,3,53,18,9,24,0,0,59,223,111,152,3,6,499
LGA51750,1073,427,332,0,3,1832,690,257,177,0,0,1130,171,181,578,0,0,936,9,11,0,0,0,17,0,4,3,0,0,8,88,80,137,0,0,309,12,3,8,0,0,24,0,0,0,0,0,3,280,289,728,0,0,1297,20,24,106,0,0,155,48,50,90,0,0,187,2115,1042,1434,0,3,4603
LGA51820,9852,1069,374,172,12,11482,18201,1472,623,4,9,20306,4348,1227,1318,3,5,6896,525,505,170,0,8,1206,47,87,63,0,0,196,1785,429,237,0,6,2454,215,66,23,44,5,357,28,20,8,0,0,49,6934,2335,1807,51,23,11156,269,167,38,8,5,492,1066,339,185,126,16,1733,36329,5387,3030,361,64,45173
LGA51860,12,0,4,0,0,13,0,0,0,0,0,0,4,0,0,0,0,6,47,0,0,0,0,47,9,0,0,0,0,9,4,0,0,0,3,8,22,0,0,0,0,17,0,0,0,0,0,0,80,0,0,0,5,89,21,0,0,0,0,24,35,0,0,0,5,36,159,0,4,0,10,168
LGA51890,1336,25,24,14,6,1401,1214,12,10,0,0,1237,211,14,37,3,0,265,70,37,25,0,0,131,8,0,0,0,0,12,209,18,4,0,0,230,33,0,3,3,3,48,4,0,4,0,0,3,529,70,75,9,4,688,47,0,0,0,0,47,242,17,8,8,3,280,3374,123,112,32,12,3653
LGA51960,298,5,0,17,10,337,354,10,0,0,0,366,179,62,11,0,0,256,17,0,0,0,0,14,25,0,5,0,0,31,72,3,0,0,0,85,26,0,0,0,3,32,9,0,0,0,0,9,319,68,19,3,5,421,19,0,0,0,4,29,239,41,6,10,16,307,1238,128,32,29,30,1456
LGA52030,222,9,0,11,10,243,89,0,0,0,0,92,12,0,0,0,0,12,4,6,0,0,0,7,4,0,0,0,0,4,29,4,0,0,0,35,16,0,0,6,0,19,0,0,0,0,0,0,71,5,0,7,0,86,30,0,0,0,0,38,61,0,0,3,3,70,475,17,0,19,9,519
LGA52100,194,0,0,0,0,199,84,0,0,0,0,80,5,0,0,0,0,3,7,6,0,0,0,14,0,8,0,0,0,9,36,0,0,0,0,39,23,0,0,3,0,18,0,0,0,0,0,0,68,14,0,0,0,88,27,0,0,0,0,29,23,10,0,0,0,29,398,24,0,8,0,427
LGA52170,1073,151,124,0,0,1350,630,79,67,0,0,776,211,85,258,0,0,546,5,0,42,0,0,42,0,0,0,0,0,5,109,37,100,0,0,245,3,0,5,0,0,6,0,0,0,0,0,3,327,123,399,0,0,851,25,18,4,0,0,57,50,20,39,0,0,110,2111,391,642,0,3,3138
LGA52240,183,0,0,0,4,187,68,0,0,0,0,68,14,0,0,0,0,14,5,0,0,0,0,5,5,0,3,0,0,8,39,0,0,0,0,37,30,0,0,0,0,33,0,0,0,0,0,0,87,0,3,3,0,95,54,0,0,0,5,55,43,0,0,6,0,53,442,0,0,11,8,468
