LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA30410,477,0,0,173,51,703,213,0,0,5,5,223,63,0,10,0,0,65,29,3,8,0,0,41,8,0,4,0,0,20,72,0,0,0,0,75,91,0,0,6,17,120,0,0,0,0,0,0,265,3,28,12,18,319,93,0,0,9,11,115,125,3,7,20,8,158,1171,8,32,220,92,1523
LGA30450,43,0,0,32,8,90,20,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,3,27,0,0,4,0,35,0,0,0,0,0,0,38,0,4,4,0,48,14,0,0,0,4,18,15,0,0,26,0,38,123,0,8,70,18,207
LGA30760,330,0,3,49,8,391,153,0,0,0,0,150,39,0,3,0,0,52,22,0,0,0,0,22,27,0,0,0,0,27,63,0,0,0,0,63,49,0,5,4,5,67,3,0,0,0,0,3,207,0,8,12,5,224,78,0,0,0,0,81,41,0,0,16,0,58,801,0,7,71,19,907
LGA30900,37,0,0,45,0,85,10,0,0,0,5,17,0,0,0,0,0,0,19,0,0,0,0,24,6,0,0,0,0,6,0,0,0,3,0,4,20,0,0,3,0,30,0,0,0,0,0,0,49,5,0,4,0,64,22,0,0,6,0,30,17,0,0,12,3,35,135,8,7,67,13,230
LGA31000,94882,8186,15047,390,100,118604,123869,13453,19631,57,107,157120,46900,19159,61328,128,399,127913,5399,2729,5553,4,29,13719,495,492,1529,3,24,2542,12998,3413,10495,54,157,27117,2006,2523,2466,631,117,7750,276,186,338,13,7,827,68082,28506,81707,837,733,179874,3024,1940,2431,12,62,7475,7931,2832,7543,519,187,19014,297791,54918,126365,1816,1192,482077
LGA31750,30,0,0,26,5,72,16,0,0,0,0,24,0,0,0,0,0,0,6,0,0,0,0,6,0,0,3,0,0,3,12,0,0,0,0,11,19,0,0,10,10,40,0,0,0,0,0,0,36,0,7,10,16,61,10,0,0,3,11,27,6,0,0,0,3,13,102,0,7,44,36,190
LGA31820,14120,522,601,1036,100,16373,10598,152,143,39,10,10947,4113,875,796,18,6,5806,437,383,191,0,3,1002,55,81,115,0,0,256,2334,165,266,28,14,2810,386,43,105,230,51,814,53,15,31,5,0,98,7370,1565,1497,278,81,10794,525,346,58,38,11,977,1816,280,232,257,108,2687,34434,2861,2532,1646,307,41783
LGA31900,2649,91,0,132,59,2922,1677,21,3,13,7,1723,545,278,25,5,6,852,74,35,0,0,0,109,14,27,0,0,0,40,361,55,3,7,0,427,159,12,0,16,26,215,7,7,0,0,0,18,1162,416,31,25,30,1663,163,0,0,8,6,185,451,100,7,91,19,661,6102,632,45,267,115,7155
LGA31950,23,0,0,130,12,169,6,0,0,10,0,22,0,0,0,0,0,0,20,0,5,0,0,18,3,0,0,0,0,3,4,0,0,4,0,9,12,0,0,29,8,48,0,0,0,0,0,0,37,0,3,32,13,87,15,0,0,16,4,39,34,0,0,110,3,148,114,0,6,307,35,461
LGA32080,13393,910,1585,635,131,16649,19192,877,1498,30,35,21633,6354,2358,4263,30,112,13115,966,463,565,4,10,2009,147,154,133,11,9,451,2780,749,1037,42,46,4642,457,183,380,227,82,1331,74,30,47,9,5,161,10772,3935,6424,319,251,21707,495,219,87,23,20,855,2552,714,1432,280,98,5084,46405,6661,11027,1287,538,65917
LGA32250,157,0,0,447,29,632,49,0,3,21,4,77,4,0,5,0,0,3,78,0,24,0,0,106,56,3,3,0,0,68,55,0,4,5,0,72,71,0,13,50,27,157,6,0,0,0,0,6,271,13,47,57,27,414,68,0,3,10,9,91,60,0,10,58,15,145,603,10,72,602,79,1365
LGA32260,4271,84,59,644,119,5182,2624,38,21,24,8,2722,1045,364,274,15,3,1695,154,68,28,0,0,251,86,12,13,0,0,117,814,97,67,17,14,1015,239,38,35,108,32,445,14,10,3,0,0,33,2353,582,426,143,53,3551,235,26,5,17,12,293,952,84,122,122,45,1317,10431,822,626,962,231,13061
