LGA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
LGA10800,0,3,6,8,9,0,27,0,4,0,3,0,0,11,10,7,9,26,19,0,71,36,7,4,21,8,0,76,7,0,0,19,5,4,38,26,3,0,22,13,0,71,35,5,0,18,10,0,62,19,0,0,9,3,0,26,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,20,0,41,130,32,15,152,100,0,434
LGA10850,3,3,0,0,3,0,15,0,5,0,0,0,0,9,4,13,16,9,3,0,52,29,11,3,18,5,0,65,32,3,0,30,0,0,63,73,12,0,33,0,0,114,113,0,0,33,0,0,146,80,0,0,14,0,0,96,11,0,0,4,0,0,21,6,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,13,19,0,36,346,49,24,161,34,6,614
LGA10900,0,5,0,0,0,0,12,0,11,10,6,0,0,26,9,13,18,39,0,0,80,22,85,126,60,12,3,318,33,20,32,60,9,0,146,128,16,65,120,12,5,344,398,29,52,216,10,4,700,1325,15,42,352,19,4,1765,1099,7,13,163,9,6,1291,325,0,0,43,7,0,378,128,0,0,11,0,0,141,45,0,0,3,0,0,46,13,0,0,4,0,0,14,7,0,0,9,0,0,16,41,14,22,80,25,16,198,3583,212,387,1178,102,33,5486
LGA10950,0,5,0,3,5,0,20,0,3,0,0,4,0,9,0,11,4,18,17,0,53,5,4,7,16,8,0,43,3,3,4,12,4,0,30,7,7,0,17,9,0,41,11,0,0,14,0,0,34,9,0,0,6,5,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,14,0,23,44,39,16,95,74,6,273
LGA11150,3,7,0,4,36,0,43,0,0,5,0,5,4,19,0,10,10,10,3,0,34,4,10,15,9,11,0,46,5,3,5,9,11,0,24,20,11,0,18,6,0,54,4,0,4,12,0,0,18,5,3,0,5,0,0,11,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,4,23,0,38,39,48,37,58,104,0,290
LGA11200,0,5,0,0,12,0,27,0,3,5,0,0,0,16,0,24,3,3,3,3,47,7,48,23,8,5,0,90,0,3,4,4,0,0,13,3,5,0,0,0,0,16,0,0,0,3,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,8,0,31,15,105,52,26,42,3,249
LGA11250,0,10,0,9,33,0,57,7,10,11,8,22,0,59,31,12,7,68,20,4,137,162,32,28,134,34,0,380,129,19,9,111,32,0,297,219,22,8,117,21,0,388,149,9,0,74,12,0,244,75,5,0,28,11,0,129,10,0,0,3,4,0,21,0,0,0,4,0,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,17,6,0,49,36,6,114,805,121,73,602,236,22,1845
LGA11300,6,14,0,4,0,0,19,6,10,0,0,0,0,15,21,170,18,22,9,0,236,34,35,28,42,14,3,153,64,13,0,39,13,0,135,139,24,10,43,18,0,234,298,12,12,62,17,3,402,882,8,10,139,27,5,1068,1588,6,17,191,38,5,1834,1249,5,9,123,24,0,1413,478,0,3,63,8,0,552,170,0,0,27,9,0,207,91,0,0,10,3,0,100,78,0,0,30,6,0,107,88,14,7,88,26,26,245,5179,315,103,869,216,44,6728
LGA11350,0,0,5,7,6,0,19,0,0,0,7,0,0,11,4,9,8,17,16,0,60,9,38,65,48,19,0,175,9,10,17,73,16,0,128,31,5,17,109,22,3,197,55,11,16,157,31,0,274,167,0,14,300,41,0,526,295,0,3,282,17,0,607,352,4,0,214,12,10,586,287,0,3,148,8,0,440,201,0,0,107,8,0,315,136,0,0,58,4,0,196,223,0,0,116,21,0,362,42,12,9,99,24,10,201,1811,97,153,1743,261,34,4092
LGA11400,0,4,4,3,18,0,33,3,0,5,5,0,0,18,3,7,13,30,8,0,65,40,8,3,48,10,0,104,24,0,3,49,4,0,89,70,0,0,74,3,0,151,96,0,0,46,9,0,147,58,0,0,26,3,0,83,11,0,0,3,0,0,14,6,0,0,5,0,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,3,0,30,27,3,66,304,23,28,333,88,5,779
LGA11450,7,9,0,5,0,0,22,0,4,6,3,0,0,19,7,123,14,12,4,3,162,12,52,35,22,13,0,140,8,33,9,28,5,0,87,54,39,28,44,54,3,220,361,35,12,96,15,0,517,1145,31,4,223,28,7,1435,3308,22,6,335,33,4,3711,1964,3,0,126,7,3,2106,298,0,0,28,4,0,330,91,0,0,10,4,0,104,24,0,3,6,0,0,30,33,0,0,3,0,0,38,158,18,14,89,34,25,337,7474,379,133,1032,204,47,9265
LGA11500,13,88,5,16,10,0,125,0,207,7,0,9,0,223,15,1330,58,36,15,13,1467,51,843,96,67,11,4,1064,58,399,38,87,9,0,591,247,459,64,145,30,0,952,1592,384,87,325,24,4,2414,5910,516,73,684,90,12,7281,2787,58,8,298,43,4,3204,1074,8,0,82,8,0,1169,180,8,0,33,7,0,223,39,4,0,8,6,0,50,14,6,0,4,0,0,21,23,0,0,11,4,0,40,241,264,44,137,44,44,770,12233,4575,487,1934,289,89,19601
LGA11520,10,19,5,3,3,0,38,0,37,0,5,8,0,44,24,294,28,18,44,3,412,20,98,67,29,6,0,219,23,47,13,38,10,0,127,50,37,20,56,48,0,211,180,32,7,90,28,0,334,1068,16,35,174,22,0,1316,2757,9,11,248,38,3,3068,2562,6,3,220,25,4,2825,1701,3,0,152,20,0,1879,892,0,0,100,9,0,1006,448,0,0,42,0,0,489,664,0,0,76,4,3,749,196,38,12,135,42,24,438,10598,636,217,1387,296,40,13171
LGA11570,35,189,23,25,8,0,292,12,492,45,16,3,9,577,77,2697,232,117,36,21,3183,134,1336,395,203,44,10,2120,193,610,151,237,40,3,1238,744,674,218,261,63,8,1969,3457,440,197,579,146,12,4831,8831,355,218,1379,293,31,11104,7156,225,69,1223,296,24,8992,3901,72,29,554,140,13,4711,2117,10,13,294,49,9,2491,810,7,4,131,18,0,974,275,0,0,31,7,0,324,173,0,5,54,6,0,238,569,458,73,517,175,137,1924,28487,7566,1686,5626,1323,274,44960
LGA11600,0,0,5,0,12,0,22,0,0,0,0,4,0,7,0,0,0,11,10,4,27,3,6,0,26,9,0,48,3,6,0,21,4,0,40,17,0,0,20,8,0,46,8,0,0,22,9,0,45,3,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,0,49,42,14,7,126,104,4,297
LGA11650,22,90,16,36,21,5,186,7,182,17,20,9,0,239,41,1309,109,114,69,10,1652,156,547,324,243,222,17,1504,255,237,141,309,84,16,1052,798,287,179,456,117,16,1852,3161,219,120,1085,118,16,4718,9865,233,99,1751,163,22,12128,6344,36,22,885,53,18,7360,2360,10,7,325,16,5,2717,885,3,5,116,12,0,1023,357,0,0,73,12,3,441,166,0,0,28,0,0,198,184,0,0,36,17,0,236,435,209,77,273,122,106,1221,25025,3358,1117,5760,1033,232,36531
LGA11700,5,21,0,6,26,0,48,0,3,0,0,6,0,14,0,10,5,17,7,0,38,4,22,14,10,10,0,55,0,8,13,7,5,0,26,0,6,7,0,3,0,19,0,5,8,5,4,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,26,0,40,7,78,53,35,81,0,257
LGA11720,3,6,3,6,4,0,17,0,6,6,4,0,0,20,19,57,12,48,3,4,144,62,144,42,60,27,3,327,101,40,5,89,12,0,254,360,86,22,123,9,3,605,1321,73,23,269,36,4,1719,1802,74,17,216,17,6,2125,572,4,0,53,4,0,621,61,0,0,13,0,0,73,22,0,0,9,0,0,32,7,0,0,0,0,0,14,0,0,0,0,0,0,3,6,0,0,4,0,0,21,60,31,9,75,25,19,220,4403,524,132,968,140,38,6204
LGA11730,0,5,3,10,13,0,35,0,10,3,11,3,0,29,18,96,20,72,30,4,247,79,64,88,120,54,8,413,105,30,25,136,28,4,330,330,38,32,227,57,12,689,742,22,18,387,44,10,1219,992,0,27,269,41,7,1345,353,0,0,66,9,0,433,94,0,0,23,6,0,118,29,0,0,4,4,0,38,7,0,0,4,0,0,19,4,0,0,4,7,0,15,18,0,0,19,10,0,47,47,27,13,95,52,12,241,2819,305,224,1461,354,54,5215
LGA11750,0,6,13,4,18,0,35,4,9,0,0,20,0,28,13,12,6,6,33,0,72,25,16,10,13,29,0,90,25,9,0,17,3,0,58,44,5,3,14,6,0,76,47,3,0,17,6,0,73,8,0,0,9,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,0,14,22,0,51,166,69,27,99,137,5,506
LGA11800,6,8,6,17,3,0,41,0,14,10,6,7,0,35,14,80,37,76,47,0,259,41,236,159,89,50,7,585,37,71,42,103,38,0,294,292,106,72,192,50,5,716,973,93,42,376,59,5,1549,1856,90,40,544,45,16,2591,1288,22,16,272,46,5,1642,495,6,0,87,12,0,605,161,4,0,26,7,0,202,39,0,0,15,5,0,60,11,0,0,4,0,0,22,17,0,0,22,15,0,48,81,58,38,87,63,27,357,5314,788,463,1918,438,73,8993
LGA12000,0,0,0,8,5,0,10,0,0,0,4,0,0,7,0,6,4,29,4,0,46,15,0,0,15,3,0,34,7,0,0,28,0,0,36,23,0,0,10,0,0,35,27,0,0,8,4,0,43,22,0,0,7,0,0,31,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,17,103,8,9,117,26,6,268
LGA12150,0,8,0,5,16,0,31,0,8,5,0,14,0,20,0,6,4,14,5,0,32,33,35,14,24,9,0,115,20,12,0,25,0,0,65,22,15,10,31,0,0,80,0,3,0,15,0,0,26,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,14,0,27,77,99,38,127,63,6,408
LGA12160,4,5,0,10,4,0,24,0,14,0,4,0,0,13,28,57,0,30,9,0,121,66,63,0,55,14,3,208,51,21,0,45,5,0,120,119,5,0,53,4,0,186,139,0,0,46,3,0,188,38,3,0,15,5,0,64,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,0,12,34,0,65,457,177,0,288,74,7,1004
LGA12350,0,5,0,10,4,0,21,3,9,0,10,0,0,21,18,53,18,26,7,3,125,125,43,10,61,12,7,251,72,16,7,65,11,0,167,184,27,4,81,9,5,308,175,4,0,50,4,4,234,59,0,0,19,7,0,85,0,0,0,5,0,0,9,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,6,17,26,0,76,659,171,45,347,78,17,1306
LGA12380,19,128,19,14,4,0,189,13,305,47,13,4,0,370,91,1408,140,94,36,12,1772,127,694,247,149,52,11,1282,164,283,102,162,43,4,752,417,332,162,152,45,9,1120,2089,210,183,368,90,12,2945,7486,221,150,991,260,29,9144,6237,115,39,871,261,24,7553,2505,23,13,366,118,6,3031,1010,0,3,136,37,3,1186,244,0,0,41,20,5,306,73,0,0,16,0,0,96,92,0,0,28,9,0,131,471,248,57,334,140,122,1380,21040,3965,1150,3738,1138,235,31258
LGA12390,3,20,3,12,10,0,43,3,30,5,8,3,0,55,43,213,21,68,15,6,368,218,133,67,103,22,7,552,208,69,37,121,12,5,450,599,80,20,171,21,6,898,1116,50,28,294,43,11,1537,1238,22,27,237,46,7,1574,277,5,6,54,15,3,355,60,0,0,13,0,0,67,14,0,0,3,3,0,18,8,0,0,0,8,0,13,6,0,0,0,0,0,6,3,0,0,3,4,0,5,81,48,4,68,70,11,287,3877,662,223,1149,264,59,6229
LGA12700,0,0,0,0,4,0,7,0,0,0,0,5,0,9,3,0,0,11,4,0,19,3,13,5,21,3,0,48,8,0,0,26,4,0,38,42,3,0,33,5,4,85,71,0,3,38,4,0,118,113,0,0,32,4,0,146,20,0,0,8,0,0,35,7,0,0,0,0,0,12,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,18,8,0,32,288,19,7,187,36,3,541
LGA12730,0,0,0,7,6,0,18,0,0,0,9,5,0,17,46,8,12,33,14,0,113,93,23,18,35,9,0,182,50,7,0,18,0,0,81,124,14,6,34,5,0,180,123,4,4,18,0,0,150,42,0,0,7,3,0,49,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,15,26,0,57,492,71,34,174,67,6,849
LGA12750,0,8,0,4,5,0,20,0,7,3,6,0,0,17,9,110,12,45,15,0,195,49,62,40,100,28,3,282,77,36,15,92,17,0,247,211,33,45,136,18,5,447,464,32,15,212,33,6,759,785,19,11,265,51,7,1136,284,5,0,99,10,0,402,78,0,0,39,4,0,123,11,0,0,3,0,0,17,11,0,0,4,4,0,16,0,0,0,0,0,0,8,16,0,0,12,5,0,31,37,31,15,82,51,21,224,2026,342,168,1099,249,41,3931
LGA12850,15,69,12,22,3,0,122,5,184,22,3,0,0,216,34,1119,97,80,27,4,1365,105,795,234,117,47,6,1299,145,372,70,151,35,6,773,531,375,163,240,70,8,1393,2257,285,156,515,170,28,3411,4290,325,132,1003,378,30,6157,3907,167,63,651,285,30,5097,1339,20,12,210,113,9,1706,497,10,3,59,18,0,586,103,5,5,24,7,0,145,24,0,0,6,0,0,34,33,4,0,13,3,0,50,241,209,45,314,90,84,980,13525,3930,1012,3403,1246,209,23332
LGA12870,0,4,0,8,8,0,27,5,8,0,4,3,0,17,33,10,3,35,15,7,96,105,10,5,67,6,3,198,58,0,0,52,3,0,109,146,5,0,52,4,3,212,219,0,0,41,7,0,261,81,0,0,19,6,0,97,8,0,0,3,0,0,17,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,18,18,4,51,658,34,13,300,73,20,1096
LGA12900,9,4,0,12,5,0,25,4,10,0,5,0,0,18,31,50,7,18,0,3,115,77,24,4,37,14,5,150,57,20,4,26,3,0,113,135,8,4,45,3,0,206,112,0,0,51,7,3,172,66,0,0,11,9,0,92,11,0,0,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,7,0,19,25,0,77,513,134,19,235,74,15,983
LGA12930,14,26,9,12,5,0,61,3,57,4,10,4,0,76,34,550,45,57,12,3,700,58,168,80,106,17,3,437,54,78,22,96,15,0,264,161,93,48,113,56,0,474,843,65,34,216,51,3,1214,3840,49,42,477,63,9,4488,4221,34,27,452,62,12,4803,2305,13,7,229,31,0,2587,902,5,3,85,0,4,998,364,0,0,56,3,0,428,143,0,0,21,3,0,168,219,0,0,35,7,0,259,252,68,12,191,51,37,607,13409,1212,332,2163,370,72,17562
LGA12950,0,3,0,5,4,0,15,0,0,0,3,0,0,7,13,7,3,12,4,0,47,40,18,9,26,10,0,103,25,10,0,18,0,0,56,57,6,0,23,3,5,97,22,0,0,7,0,0,32,0,0,0,3,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,10,0,32,159,53,17,116,37,12,391
LGA13010,0,0,0,8,4,0,19,6,0,0,5,0,0,7,27,5,19,24,0,4,81,113,19,16,57,5,0,203,81,10,9,32,4,0,131,172,8,6,39,11,0,240,101,0,0,32,3,0,140,19,0,0,3,0,0,26,6,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,15,21,0,45,530,42,55,223,46,9,913
LGA13310,5,17,0,6,4,0,20,0,38,3,8,0,0,53,21,189,18,34,7,0,273,70,101,58,43,10,0,287,76,25,4,60,9,0,177,218,30,12,71,8,0,350,602,63,5,137,27,5,837,846,16,10,154,18,4,1046,217,3,0,33,8,0,261,30,0,0,8,5,0,42,15,0,0,3,0,0,18,3,0,0,0,0,0,5,3,0,0,0,0,0,5,9,0,0,3,0,0,5,39,30,7,45,25,12,156,2160,511,121,601,125,20,3533
LGA13340,0,0,0,0,0,0,6,5,0,0,9,4,0,5,19,15,8,30,5,0,75,35,3,13,65,14,0,131,20,0,0,44,5,0,72,65,3,0,48,4,0,123,69,0,0,28,3,0,104,35,0,0,13,0,0,44,11,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,12,0,37,264,21,25,250,51,5,618
