LGA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA14550,1150,904,300,112,4636
LGA14600,425,271,145,50,2465
LGA14650,17627,14451,7883,2863,107253
LGA14700,3321,2360,1291,485,25314
LGA14750,765,486,255,93,4679
LGA14850,4529,3468,1349,505,23552
LGA14870,1935,1572,776,199,10164
LGA14900,13016,7005,3099,1137,100116
LGA14920,625,521,250,59,3390
LGA14950,329,226,103,31,1492
LGA15050,6001,4093,1942,605,41823
LGA15240,9857,9902,5223,1810,48549
LGA15270,2224,1646,844,228,12707
LGA15300,1077,732,338,85,6469
LGA15350,3044,2341,1555,576,17862
LGA15520,1019,873,471,144,5728
LGA15560,272,192,70,26,1453
LGA15650,1114,647,268,86,7338
LGA15700,2334,2069,944,269,10279
LGA15750,1045,648,299,106,5824
LGA15800,415,316,167,65,2353
LGA15850,457,354,225,78,2770
LGA15900,13071,9242,4611,2137,91662
LGA15950,6130,4901,2714,773,48777
LGA15990,24872,16399,9865,3911,151390
LGA16100,526,488,195,46,2856
LGA16150,3108,2415,1219,455,21506
LGA16200,1088,741,351,145,6281
LGA16260,17188,11023,5327,2032,152507
LGA16350,13105,8399,3490,1216,99788
LGA16380,8157,7823,4332,1638,45050
LGA16400,6880,6151,3291,842,36662
LGA16490,5456,3137,1231,300,33405
LGA16550,10488,6834,3651,1688,81899
LGA16610,1899,1666,789,286,10547
LGA16700,10237,6599,3161,1499,79255
LGA16900,5695,4039,1827,747,36089
LGA16950,10808,9885,4890,1524,56605
LGA17000,1871,1109,440,107,11721
LGA17040,2915,1829,769,212,15419
LGA17080,1323,920,496,171,6887
LGA17100,2928,1741,868,351,27489
LGA17150,20332,14357,7367,3159,125911
LGA17200,13847,8712,3733,1235,158875
LGA17310,4598,3577,1984,681,29519
LGA17350,482,429,182,74,2623
LGA17400,760,757,269,71,3362
LGA17420,15796,11073,4987,1446,106157
LGA17550,9303,7848,4171,1830,50684
LGA17620,1145,838,389,158,6612
LGA17640,992,732,319,80,4332
LGA17650,635,502,212,51,3095
LGA17750,4827,3390,1587,670,33037
LGA17850,277,267,130,30,1441
LGA17900,605,472,196,47,2926
LGA17950,213,124,80,49,1128
LGA18020,828,797,391,143,4423
LGA18050,4921,3341,1810,797,44863
LGA18100,319,270,147,52,1599
LGA18200,636,433,206,53,3549
LGA18250,6626,4691,2361,1173,46814
LGA18350,5300,5297,3245,1073,29707
LGA18400,3845,2737,1134,381,25450
LGA18450,17284,12069,6160,2427,111604
LGA18500,5001,4196,2635,1078,34350
LGA18710,1636,1186,521,140,9173
LGA19399,114,104,33,9,616
LGA19799,12,0,0,0,15
LGA20110,1400,1167,523,153,7460
LGA20260,993,774,374,112,5305
LGA20570,8008,6359,3136,1194,56050
LGA20660,10284,7608,3899,1412,70288
LGA20740,4175,3930,1817,569,21070
LGA20830,4567,3644,1750,487,27699
LGA20910,10892,7526,4210,1840,57823
LGA21010,1446,1228,651,219,7260
LGA21110,16698,11672,6403,2722,101683
LGA21180,10362,6567,2954,1077,82868
LGA21270,591,422,196,108,2794
LGA21370,3180,2265,1221,518,17342
LGA21450,6731,4255,2037,634,55973
LGA21610,19748,10778,4634,1461,165974
LGA21670,1117,1095,603,148,5825
LGA21750,1922,1634,645,208,10572
LGA21830,1374,955,467,187,7195
LGA21890,9675,5138,2201,1112,83388
LGA22110,4681,4698,2333,667,24090
LGA22170,9976,6696,3415,1374,69227
LGA22250,829,769,347,118,4486
LGA22310,12087,8672,3882,1839,87946
LGA22410,1821,1413,576,191,9121
LGA22490,1987,1397,488,113,12042
LGA22620,9260,7050,3591,1381,59159
LGA22670,7146,5110,2691,1011,67269
LGA22750,19924,15811,7911,2845,138578
LGA22830,4525,3130,1626,694,30111
LGA22910,2005,1767,728,227,9355
LGA22980,482,321,174,102,2419
LGA23110,6764,3892,1640,667,46901
LGA23190,1522,1062,534,240,9413
LGA23270,11997,6448,2580,728,104525
LGA23350,1865,1490,623,154,9090
LGA23430,12130,8063,4063,1762,83838
LGA23670,12634,8366,4165,1636,82857
LGA23810,6054,4504,2305,931,36395
LGA23940,787,619,268,122,3586
LGA24130,4774,3522,1603,401,26655
LGA24210,10851,7557,4853,1791,67876
LGA24250,1119,972,384,114,5459
LGA24330,4788,2432,889,452,48924
LGA24410,8766,5960,3297,1441,60556
LGA24600,7457,4897,2282,786,111835
LGA24650,7757,4316,1553,394,78600
LGA24780,4003,2731,1309,488,25077
LGA24850,3303,2121,922,273,22702
LGA24900,2340,1935,1083,347,13385
LGA24970,14107,9318,5900,2775,108768
LGA25060,9152,5783,2589,952,66165
LGA25150,2742,1921,808,206,17834
LGA25250,9819,5250,2339,1244,97489
LGA25340,15559,13860,8232,2980,88351
LGA25430,2312,2225,1114,383,11551
LGA25490,1568,1246,492,142,8381
LGA25620,1693,1392,606,162,8118
LGA25710,6488,4224,1623,392,33917
LGA25810,1066,947,462,181,5737
LGA25900,8755,5480,2483,785,69293
LGA25990,673,665,255,72,3579
LGA26080,479,577,363,113,2244
LGA26170,2955,2572,1134,324,14992
LGA26260,1400,1165,570,241,7857
LGA26350,8332,6369,3699,1455,69762
LGA26430,1154,1136,507,181,5804
LGA26490,3725,3074,1258,422,21519
LGA26610,1453,1007,473,200,9032
LGA26670,711,515,230,98,3088
LGA26700,2551,2011,1035,418,14687
LGA26730,2739,1998,1028,477,17359
LGA26810,3806,3233,1314,421,21572
LGA26890,325,293,120,48,1787
LGA26980,13256,9189,5563,2619,97092
LGA27070,11257,6713,2788,995,105041
LGA27170,2964,2174,1000,294,20454
LGA27260,12141,6803,2402,666,143051
LGA27350,6281,4303,1916,517,62487
LGA27450,12830,9056,4202,1142,78979
LGA27630,604,454,238,114,2892
LGA29399,406,204,47,4,2815
LGA29799,147,17,0,0,530
LGA30250,33,12,0,0,203
LGA30300,332,233,97,29,1955
LGA30370,1200,731,310,100,7582
LGA30410,325,308,129,18,1593
LGA30450,55,61,24,0,285
LGA30760,164,162,67,27,940
LGA30900,61,54,17,0,272
LGA31000,88914,55986,27125,10110,707798
LGA31750,66,47,6,0,300
LGA31820,8246,7406,3770,951,45477
LGA31900,1204,970,458,139,7213
LGA31950,224,173,45,0,766
LGA32080,14619,10094,4262,1148,90696
LGA32250,304,392,124,9,1627
LGA32260,2974,2555,1018,256,14541
LGA32270,2475,1285,364,84,15750
LGA32310,1058,878,367,79,5930
LGA32330,41,6,0,0,235
LGA32450,507,453,80,9,3165
LGA32500,1004,815,170,15,4368
LGA32600,45,45,10,0,210
LGA32750,49,31,5,0,246
LGA32770,59,17,6,0,331
LGA32810,1890,1705,620,108,9158
LGA33100,239,265,54,3,873
LGA33200,190,178,35,13,908
LGA33220,10518,10292,4983,1301,53308
LGA33360,5316,3271,1149,280,30598
LGA33430,47618,35374,18286,6257,333526
LGA33610,736,485,254,66,4426
LGA33620,5043,4094,1782,401,24907
LGA33800,1026,952,448,153,5216
LGA33830,57,32,9,0,373
LGA33960,12719,7447,3250,1013,102280
LGA33980,3204,1021,239,33,20831
LGA34420,55,17,7,0,356
LGA34530,3667,2952,1205,299,18877
LGA34570,20,10,6,0,173
LGA34580,2912,1938,835,209,17759
LGA34590,19531,13213,5774,1659,150971
LGA34710,424,353,105,42,2208
LGA34770,9037,5623,2410,764,55686
LGA34800,186,126,27,4,1248
LGA34830,32,16,4,0,221
LGA34860,1016,685,239,94,6568
LGA34880,2051,1672,740,170,10894
LGA35010,33411,24813,11915,3570,226418
LGA35250,46,12,10,0,242
LGA35300,1610,837,272,37,10336
LGA35600,434,283,83,31,1949
LGA35670,46,15,0,0,289
LGA35740,6649,6104,3154,943,33234
LGA35760,822,704,337,80,4539
LGA35780,248,146,17,0,1451
LGA35790,85,24,3,0,417
LGA35800,185,185,64,10,850
LGA36070,37,21,0,0,330
LGA36150,105,87,24,9,452
LGA36250,13899,10453,5051,1832,79991
LGA36300,86,74,16,3,444
LGA36370,5374,3521,1701,691,35773
LGA36510,4051,3118,1412,421,21201
LGA36580,2090,1672,704,122,11300
LGA36630,2728,2428,1075,243,14534
LGA36660,3050,2694,1282,361,16391
LGA36720,30639,24531,12730,4314,183394
LGA36820,2816,2633,1126,326,13983
LGA36910,12418,9098,4744,1593,82079
LGA36950,279,114,26,4,1745
LGA36960,220,87,14,3,1443
LGA37010,14275,9433,3966,1097,93966
LGA37300,344,93,11,5,2478
LGA37310,2463,1492,609,188,16348
LGA37340,4042,3171,1125,170,22572
LGA37400,202,276,56,3,964
LGA37550,28,8,0,0,234
LGA37570,12,6,0,0,102
LGA37600,101,37,9,0,713
LGA39799,27,12,0,0,308
LGA40070,2245,1954,972,405,19964
LGA40120,4287,3330,1381,373,22297
LGA40150,686,382,158,22,3977
LGA40220,2745,2989,1510,412,14271
LGA40250,106,33,3,7,652
LGA40310,2095,1692,749,226,11799
LGA40430,210,231,116,24,1086
LGA40520,787,647,261,105,4477
LGA40700,4494,3909,2279,780,26840
LGA40910,3846,2656,1653,650,28305
LGA41010,268,207,74,12,1600
LGA41060,8877,6302,2936,1064,61088
LGA41140,882,748,302,88,4444
LGA41190,153,90,43,21,750
LGA41330,240,250,135,21,1216
LGA41560,1242,1185,639,220,6443
LGA41750,118,110,20,4,503
LGA41830,210,212,71,15,923
LGA41960,115,113,41,14,609
LGA42030,1825,1276,737,322,11201
LGA42110,393,321,145,41,1805
LGA42250,674,482,190,60,3750
LGA42600,3789,3355,1676,675,21287
LGA42750,559,432,191,57,2568
LGA43080,81,49,32,7,394
LGA43220,62,52,28,12,411
LGA43360,172,188,76,18,940
LGA43650,1237,749,275,99,7003
LGA43710,461,363,144,27,2615
LGA43790,828,699,343,94,4909
LGA44000,15,5,0,0,55
LGA44060,6832,5178,2330,860,49136
LGA44210,918,914,333,75,4147
LGA44340,6303,4985,2721,989,38296
LGA44550,3061,2363,1013,311,19699
LGA44620,1652,1304,678,268,11296
LGA44830,374,314,126,27,1538
LGA45040,1481,1095,575,209,8608
LGA45090,596,408,205,66,3541
LGA45120,372,287,138,35,1936
LGA45290,3226,2565,1291,517,21873
LGA45340,13224,10456,4924,1590,83552
LGA45400,92,80,31,16,424
LGA45540,155,145,53,16,705
LGA45680,4861,3014,1432,567,37419
LGA45890,8220,5439,2336,858,64285
LGA46090,1053,720,314,63,5933
LGA46300,1009,743,357,139,6286
LGA46450,1221,884,437,126,6837
LGA46510,1852,1238,382,167,12442
LGA46670,661,542,227,69,4089
LGA46860,177,147,75,13,804
LGA46970,527,76,9,3,4198
LGA47140,7468,5141,2513,938,58854
LGA47290,149,98,50,22,880
LGA47490,205,216,57,22,1023
LGA47630,467,299,114,45,2969
LGA47700,7358,5665,3038,979,49516
LGA47800,438,314,173,51,2330
LGA47910,238,226,86,34,1215
LGA47980,3496,3083,1509,675,22701
LGA48050,1442,1938,1126,347,7883
LGA48130,474,398,161,67,2635
LGA48260,744,687,399,176,4830
LGA48340,912,708,326,99,4887
LGA48410,4090,2616,1376,712,33161
LGA48540,1685,985,564,195,9415
LGA48640,96,52,22,14,467
LGA48750,673,744,275,70,2953
LGA48830,1114,1110,534,142,5181
LGA49399,869,531,119,14,4028
LGA49799,5,0,0,0,28
LGA50080,3339,2563,1292,485,18511
LGA50210,5232,3439,1532,449,43021
LGA50250,1665,668,129,4,10481
LGA50280,1571,1175,440,143,8940
LGA50350,1223,814,374,109,8102
LGA50420,4623,3437,1708,584,36685
LGA50490,2577,1616,777,355,22679
LGA50560,153,165,70,19,762
LGA50630,194,105,36,7,965
LGA50770,160,117,70,7,806
LGA50840,572,540,211,39,2721
LGA50910,61,52,24,9,363
LGA50980,2518,2163,607,72,14065
LGA51080,78,47,21,4,412
LGA51120,78,60,29,9,453
LGA51190,2565,1854,919,386,15645
LGA51260,3412,3018,1445,436,20143
LGA51310,2962,1896,1106,555,17134
LGA51330,6400,4493,2107,616,50798
LGA51400,1394,872,293,44,8359
LGA51470,54,50,19,0,308
LGA51540,800,851,250,33,4198
LGA51610,137,98,33,5,747
LGA51680,581,314,167,27,2716
LGA51710,164,107,18,0,1243
LGA51750,1043,925,706,334,6916
LGA51820,7707,4776,1946,726,58968
LGA51860,82,50,22,0,364
LGA51890,637,462,224,83,3694
LGA51960,388,168,40,4,2457
LGA52030,117,107,52,11,507
LGA52100,65,55,23,14,405
LGA52170,903,694,400,156,4845
LGA52240,90,61,32,10,463
LGA52310,89,70,32,8,397
LGA52380,70,47,9,0,360
LGA52450,69,52,25,6,480
LGA52520,98,57,28,7,580
LGA52590,366,352,115,27,1891
LGA52660,933,676,352,180,6474
LGA52730,765,663,333,84,3584
LGA52800,768,582,96,7,4251
LGA52870,552,482,225,43,2857
LGA52940,34,54,5,6,273
LGA53010,62,40,14,4,322
LGA53080,108,100,17,0,603
LGA53150,858,605,307,165,4544
LGA53220,2011,507,58,5,14523
LGA53290,988,673,422,105,6290
LGA53360,679,746,202,26,3771
LGA53430,3330,2433,1041,395,19408
LGA53570,463,483,241,34,2448
LGA53640,84,64,8,6,481
LGA53710,81,70,18,8,398
LGA53780,6858,4628,2187,760,56325
LGA53800,2919,2051,928,370,18194
LGA53920,386,297,71,8,2025
LGA53990,2118,1437,584,154,12544
LGA54060,364,374,178,33,1826
LGA54130,95,57,15,8,506
LGA54170,14518,10330,3973,1234,82920
LGA54200,4252,3381,1816,615,27910
LGA54280,2123,1034,306,92,14721
LGA54310,2176,873,201,12,15992
LGA54340,248,164,89,37,1594
LGA54410,102,62,43,12,463
LGA54480,21,25,10,0,211
LGA54550,154,90,68,28,819
LGA54620,111,46,18,3,545
LGA54690,18,25,10,0,133
LGA54760,50,30,9,3,306
LGA54830,2127,1226,479,135,19937
LGA54900,92,50,15,6,533
LGA54970,515,99,10,0,3007
LGA55040,372,132,17,0,2766
LGA55110,6634,5773,3368,1215,39553
LGA55180,835,584,258,73,4112
LGA55250,250,111,29,0,1541
LGA55320,9318,7512,3934,1712,58224
LGA55390,159,52,8,0,1072
LGA55460,236,167,59,24,1415
LGA55530,61,57,23,5,284
LGA55600,183,143,54,18,1004
LGA55670,66,86,32,10,374
LGA55740,866,682,382,131,5346
LGA55810,181,93,18,4,991
LGA55880,29,16,3,3,177
LGA55950,48,28,14,7,243
LGA56090,3416,2589,1281,354,18530
LGA56160,18,27,0,0,90
LGA56230,1241,1069,597,199,7440
LGA56300,180,205,80,12,832
LGA56370,50,26,30,13,316
LGA56460,366,266,145,78,2219
LGA56580,2328,1974,1115,474,13449
LGA56620,77,16,3,0,345
LGA56730,857,708,307,86,4954
LGA56790,494,548,171,34,2174
LGA56860,24,23,3,0,128
LGA56930,187,140,63,28,846
LGA57000,134,53,14,5,735
LGA57080,2398,1630,743,241,23517
LGA57140,90,65,34,5,403
LGA57210,478,415,160,57,2423
LGA57280,1470,541,121,20,10474
LGA57350,91,99,36,16,482
LGA57420,251,115,59,7,1396
LGA57490,8727,5071,2736,902,60042
LGA57630,51,24,15,0,224
LGA57700,1819,1027,393,90,13591
LGA57770,419,398,118,6,1786
LGA57840,3835,3031,1508,752,26153
LGA57910,15516,11201,6125,2404,122723
LGA57980,1637,1451,810,254,11375
LGA58050,9050,5226,2288,727,68250
LGA58190,33,15,10,4,161
LGA58260,50,42,20,0,292
LGA58330,574,473,187,23,2249
LGA58400,19,26,12,0,119
LGA58470,41,54,7,0,169
LGA58510,2548,1711,907,603,22734
LGA58540,67,56,23,3,344
LGA58570,2760,1582,579,206,22722
LGA58610,115,121,52,7,646
LGA58680,42,44,17,0,251
LGA58760,12119,6956,3298,1133,92795
LGA58820,358,243,135,52,1869
LGA58890,76,37,11,7,319
LGA59030,50,14,10,0,220
LGA59100,73,36,18,4,282
LGA59170,70,44,25,7,444
LGA59250,108,39,7,0,949
LGA59310,94,83,28,9,532
LGA59320,37,39,9,0,197
LGA59330,25,33,18,9,202
LGA59340,1138,777,129,27,6047
LGA59350,128,58,18,0,864
LGA59360,203,68,18,8,1144
LGA59370,346,364,196,49,1660
LGA59799,465,123,24,0,2853
LGA60210,822,731,298,60,3425
LGA60410,930,724,284,65,7296
LGA60610,1455,947,536,183,8870
LGA60810,2025,1537,743,206,10457
LGA61010,264,213,74,10,1181
LGA61210,605,431,172,47,3480
LGA61410,4897,3758,1944,684,31176
LGA61510,793,520,235,63,4483
LGA61610,1882,1578,802,292,11704
LGA61810,585,451,224,113,2938
LGA62010,99,110,50,13,488
LGA62210,601,537,243,53,2994
LGA62410,615,547,244,77,2780
LGA62610,3045,2037,1180,450,24249
LGA62810,5095,4256,1946,741,36297
LGA63010,1928,1450,576,135,9234
LGA63210,699,452,185,42,3301
LGA63410,126,126,53,18,773
LGA63610,3452,2885,1404,422,21789
LGA63810,1005,940,450,125,5611
LGA64010,4933,3636,1976,698,34039
LGA64210,1710,1340,644,161,9319
LGA64610,1092,957,432,102,6071
LGA64810,1489,1027,426,114,8116
LGA65010,524,344,142,28,2786
LGA65210,356,312,115,31,1392
LGA65410,1289,983,522,128,6482
LGA65610,475,311,116,31,2257
LGA65810,2361,1902,942,280,12596
LGA69799,70,27,4,0,303
LGA70200,2560,1615,400,77,15445
LGA70420,567,424,87,5,3039
LGA70540,5,0,0,0,23
LGA70620,289,133,22,0,1773
LGA70700,341,319,61,6,1283
LGA71000,7304,4833,1594,288,51463
LGA71150,111,79,23,0,517
LGA71300,426,155,28,6,2549
LGA72200,1092,758,163,25,6455
LGA72300,2530,1801,475,55,14354
LGA72330,430,299,54,4,2153
LGA72800,2012,971,269,77,17780
LGA73600,872,747,100,3,4546
LGA74050,96,41,0,0,577
LGA74550,312,268,47,4,1642
LGA74560,75,53,16,0,241
LGA74660,633,376,66,0,3066
LGA74680,72,21,3,0,544
LGA79399,929,573,92,0,5352
LGA79799,96,35,6,0,406
LGA89399,33522,23965,11823,3943,263450
LGA89799,0,0,0,0,0
LGA99399,323,255,128,28,1557
LGA99799,0,0,0,0,0
